[['2, k, 0', [-0.0272921, -0.472846, 1.0]], ['2, k, 1', [-0.0282476, -0.152875, 1.0]], ['2, k, 2', [-0.0290315, 0.160329, 1.0]], ['2, k, 3', [-0.0150419, 0.31775, 1.0]], ['2, k, 4', [-0.137847, 0.0407558, 1.0]], ['2, k, 5', [-0.182778, 0.104771, 1.0]], ['2, k, 6', [-0.116664, 0.121159, 1.0]], ['2, k, 7', [-0.0885051, 0.16499, 1.0]], ['2, k, 8', [0.12819, 0.0962979, 1.0]], ['2, k, 9', [0.145583, -0.181171, 1.0]], ['2, k, 10', [0.295346, -0.0147742, 1.0]], ['2, k, 11', [0.360599, -0.0186057, 1.0]], ['2, k, 12', [-0.0875485, -0.479218, 1.0]], ['2, k, 13', [-0.263807, -0.664156, 1.0]], ['2, k, 14', [-0.290969, -0.913586, 1.0]], ['2, k, 15', [-0.250912, -1.00522, 1.0]], ['2, k, 16', [0.033688, -0.453857, 1.0]], ['2, k, 17', [0.188253, -0.743651, 1.0]], ['2, k, 18', [0.197703, -1.05285, 1.0]], ['2, k, 19', [0.221005, -1.10193, 1.0]], ['2, k, 20', [-0.0288651, 0.0829595, 1.0]], ['2, k, 21', [-0.106401, 0.165301, 1.0]], ['2, k, 22', [-0.13708, 0.170623, 1.0]], ['2, k, 23', [0.35911, -0.0185288, 1.0]], ['2, k, 24', [0.357167, -0.0184286, 1.0]]]
[['2, k, 0', [-0.0219023, -0.472411, 1.0]], ['2, k, 1', [-0.0219626, -0.159051, 1.0]], ['2, k, 2', [-0.0212822, 0.14955, 1.0]], ['2, k, 3', [-0.0165046, 0.311912, 1.0]], ['2, k, 4', [-0.139429, 0.0374909, 1.0]], ['2, k, 5', [-0.140352, 0.102043, 1.0]], ['2, k, 6', [-0.124632, 0.122867, 1.0]], ['2, k, 7', [-0.0450747, 0.167097, 1.0]], ['2, k, 8', [0.127602, 0.0966963, 1.0]], ['2, k, 9', [0.286594, 0.0682753, 1.0]], ['2, k, 10', [0.372959, 0.112795, 1.0]], ['2, k, 11', [0.435624, 0.15033, 1.0]], ['2, k, 12', [-0.0811008, -0.481632, 1.0]], ['2, k, 13', [-0.201606, -0.775539, 1.0]], ['2, k, 14', [-0.239153, -0.994336, 1.0]], ['2, k, 15', [-0.213164, -1.03827, 1.0]], ['2, k, 16', [0.0379694, -0.450707, 1.0]], ['2, k, 17', [0.0178059, -0.770631, 1.0]], ['2, k, 18', [0.138929, -0.975373, 1.0]], ['2, k, 19', [0.150254, -1.09036, 1.0]], ['2, k, 20', [-0.0219414, 0.0738573, 1.0]], ['2, k, 21', [-0.0575311, 0.16854, 1.0]], ['2, k, 22', [-0.0886863, 0.172715, 1.0]], ['2, k, 23', [0.427647, 0.148147, 1.0]], ['2, k, 24', [0.407774, 0.151784, 1.0]]]
[['2, k, 0', [-0.0154902, -0.456655, 1.0]], ['2, k, 1', [-0.0216996, -0.151489, 1.0]], ['2, k, 2', [-0.0236312, 0.151178, 1.0]], ['2, k, 3', [-0.0241437, 0.305888, 1.0]], ['2, k, 4', [-0.134195, 0.0438665, 1.0]], ['2, k, 5', [-0.0983673, 0.108752, 1.0]], ['2, k, 6', [-0.0441219, 0.142393, 1.0]], ['2, k, 7', [0.0187169, 0.166911, 1.0]], ['2, k, 8', [0.126845, 0.0965046, 1.0]], ['2, k, 9', [0.285941, 0.0714916, 1.0]], ['2, k, 10', [0.38393, 0.11981, 1.0]], ['2, k, 11', [0.44704, 0.153619, 1.0]], ['2, k, 12', [-0.0726084, -0.459941, 1.0]], ['2, k, 13', [-0.153004, -0.758178, 1.0]], ['2, k, 14', [-0.199123, -0.988184, 1.0]], ['2, k, 15', [-0.166576, -1.02985, 1.0]], ['2, k, 16', [0.0423908, -0.440192, 1.0]], ['2, k, 17', [0.131414, -0.739998, 1.0]], ['2, k, 18', [0.156983, -1.03184, 1.0]], ['2, k, 19', [0.162183, -1.14169, 1.0]], ['2, k, 20', [-0.0234257, 0.0758118, 1.0]], ['2, k, 21', [0.00939692, 0.166343, 1.0]], ['2, k, 22', [-0.0344858, 0.184028, 1.0]], ['2, k, 23', [0.431975, 0.152882, 1.0]], ['2, k, 24', [0.422448, 0.148572, 1.0]]]
[['2, k, 0', [-0.0122885, -0.450776, 1.0]], ['2, k, 1', [-0.0205, -0.144819, 1.0]], ['2, k, 2', [-0.0256012, 0.155631, 1.0]], ['2, k, 3', [-0.030913, 0.305004, 1.0]], ['2, k, 4', [-0.134141, 0.0437405, 1.0]], ['2, k, 5', [-0.0820017, 0.107813, 1.0]], ['2, k, 6', [0.00189151, 0.143629, 1.0]], ['2, k, 7', [0.0512701, 0.168567, 1.0]], ['2, k, 8', [0.125408, 0.0970172, 1.0]], ['2, k, 9', [0.280374, 0.0588561, 1.0]], ['2, k, 10', [0.401457, 0.114472, 1.0]], ['2, k, 11', [0.542438, 0.15413, 1.0]], ['2, k, 12', [-0.0703437, -0.456046, 1.0]], ['2, k, 13', [-0.133501, -0.729129, 1.0]], ['2, k, 14', [-0.217061, -0.949861, 1.0]], ['2, k, 15', [-0.19885, -1.05602, 1.0]], ['2, k, 16', [0.0462268, -0.432964, 1.0]], ['2, k, 17', [0.120348, -0.707091, 1.0]], ['2, k, 18', [0.145385, -1.017, 1.0]], ['2, k, 19', [0.174614, -1.05686, 1.0]], ['2, k, 20', [-0.0246452, 0.0808855, 1.0]], ['2, k, 21', [0.0494761, 0.165101, 1.0]], ['2, k, 22', [0.0145114, 0.172896, 1.0]], ['2, k, 23', [0.584146, 0.153942, 1.0]], ['2, k, 24', [0.539692, 0.156168, 1.0]]]
[['2, k, 0', [-0.0106869, -0.44583, 1.0]], ['2, k, 1', [-0.000910371, -0.153319, 1.0]], ['2, k, 2', [0.0250787, 0.114351, 1.0]], ['2, k, 3', [-0.0156455, 0.256342, 1.0]], ['2, k, 4', [-0.130903, 0.0460942, 1.0]], ['2, k, 5', [-0.0538171, 0.110062, 1.0]], ['2, k, 6', [0.0281628, 0.142948, 1.0]], ['2, k, 7', [0.0899584, 0.168831, 1.0]], ['2, k, 8', [0.122942, 0.0957667, 1.0]], ['2, k, 9', [0.272559, 0.0577793, 1.0]], ['2, k, 10', [0.186027, 0.0954677, 1.0]], ['2, k, 11', [0.0845681, 0.168384, 1.0]], ['2, k, 12', [-0.0680163, -0.450287, 1.0]], ['2, k, 13', [-0.132858, -0.70656, 1.0]], ['2, k, 14', [-0.207578, -0.944299, 1.0]], ['2, k, 15', [-0.17007, -0.98473, 1.0]], ['2, k, 16', [0.0470872, -0.429351, 1.0]], ['2, k, 17', [0.115029, -0.688185, 1.0]], ['2, k, 18', [0.132054, -0.972432, 1.0]], ['2, k, 19', [0.147304, -1.07815, 1.0]], ['2, k, 20', [0.0211648, 0.0470998, 1.0]], ['2, k, 21', [0.108352, 0.166426, 1.0]], ['2, k, 22', [0.0774854, 0.172309, 1.0]], ['2, k, 23', [0.0889784, 0.165659, 1.0]], ['2, k, 24', [0.0482558, 0.176177, 1.0]]]
[['2, k, 0', [-0.0102163, -0.44381, 1.0]], ['2, k, 1', [0.00390144, -0.160888, 1.0]], ['2, k, 2', [0.0265366, 0.101934, 1.0]], ['2, k, 3', [-0.0144437, 0.242526, 1.0]], ['2, k, 4', [-0.130732, 0.045975, 1.0]], ['2, k, 5', [-0.0314908, 0.101136, 1.0]], ['2, k, 6', [0.0743986, 0.142768, 1.0]], ['2, k, 7', [0.132229, 0.165657, 1.0]], ['2, k, 8', [0.122802, 0.0950085, 1.0]], ['2, k, 9', [0.213788, 0.0858969, 1.0]], ['2, k, 10', [0.163271, 0.124024, 1.0]], ['2, k, 11', [0.137734, 0.165707, 1.0]], ['2, k, 12', [-0.0677783, -0.448727, 1.0]], ['2, k, 13', [-0.13352, -0.694281, 1.0]], ['2, k, 14', [-0.196856, -0.94387, 1.0]], ['2, k, 15', [-0.159622, -0.984304, 1.0]], ['2, k, 16', [0.0479253, -0.426848, 1.0]], ['2, k, 17', [0.11159, -0.67549, 1.0]], ['2, k, 18', [0.132007, -0.972201, 1.0]], ['2, k, 19', [0.147129, -1.07773, 1.0]], ['2, k, 20', [0.0222303, 0.0373704, 1.0]], ['2, k, 21', [0.160818, 0.167075, 1.0]], ['2, k, 22', [0.1358, 0.178373, 1.0]], ['2, k, 23', [0.134423, 0.164839, 1.0]], ['2, k, 24', [0.103356, 0.170782, 1.0]]]
[['2, k, 0', [-0.00912895, -0.442701, 1.0]], ['2, k, 1', [-0.0380398, -0.111904, 1.0]], ['2, k, 2', [-0.0698738, 0.206876, 1.0]], ['2, k, 3', [-0.03954, 0.31571, 1.0]], ['2, k, 4', [-0.116749, 0.0531104, 1.0]], ['2, k, 5', [0.00215536, 0.102491, 1.0]], ['2, k, 6', [0.143843, 0.136045, 1.0]], ['2, k, 7', [0.194926, 0.151339, 1.0]], ['2, k, 8', [0.133125, 0.0696729, 1.0]], ['2, k, 9', [0.293321, 0.0693849, 1.0]], ['2, k, 10', [0.234543, 0.100048, 1.0]], ['2, k, 11', [0.177511, 0.161825, 1.0]], ['2, k, 12', [-0.0638043, -0.443994, 1.0]], ['2, k, 13', [-0.138107, -0.698457, 1.0]], ['2, k, 14', [-0.197333, -0.9571, 1.0]], ['2, k, 15', [-0.140142, -0.995833, 1.0]], ['2, k, 16', [0.0475751, -0.427465, 1.0]], ['2, k, 17', [0.116557, -0.685177, 1.0]], ['2, k, 18', [0.131819, -0.972047, 1.0]], ['2, k, 19', [0.146419, -1.07895, 1.0]], ['2, k, 20', [-0.062057, 0.128156, 1.0]], ['2, k, 21', [0.234602, 0.158094, 1.0]], ['2, k, 22', [0.171003, 0.156371, 1.0]], ['2, k, 23', [0.189745, 0.160492, 1.0]], ['2, k, 24', [0.148356, 0.173843, 1.0]]]
[['2, k, 0', [-0.00710004, -0.442273, 1.0]], ['2, k, 1', [-0.0368895, -0.112797, 1.0]], ['2, k, 2', [-0.0681867, 0.205318, 1.0]], ['2, k, 3', [-0.0407273, 0.312494, 1.0]], ['2, k, 4', [-0.113515, 0.0545284, 1.0]], ['2, k, 5', [0.01552, 0.102525, 1.0]], ['2, k, 6', [0.155783, 0.139076, 1.0]], ['2, k, 7', [0.231806, 0.156025, 1.0]], ['2, k, 8', [0.133567, 0.0674905, 1.0]], ['2, k, 9', [0.285034, 0.0693966, 1.0]], ['2, k, 10', [0.263961, 0.0975238, 1.0]], ['2, k, 11', [0.233764, 0.155918, 1.0]], ['2, k, 12', [-0.0594585, -0.441866, 1.0]], ['2, k, 13', [-0.113976, -0.693646, 1.0]], ['2, k, 14', [-0.231761, -0.92951, 1.0]], ['2, k, 15', [-0.209791, -1.03263, 1.0]], ['2, k, 16', [0.0481932, -0.429069, 1.0]], ['2, k, 17', [0.116426, -0.678083, 1.0]], ['2, k, 18', [0.131655, -0.971891, 1.0]], ['2, k, 19', [0.14614, -1.07761, 1.0]], ['2, k, 20', [-0.0605179, 0.126757, 1.0]], ['2, k, 21', [0.26549, 0.155203, 1.0]], ['2, k, 22', [0.208156, 0.172315, 1.0]], ['2, k, 23', [0.243702, 0.155273, 1.0]], ['2, k, 24', [0.197308, 0.162132, 1.0]]]
[['2, k, 0', [-0.0045249, -0.442143, 1.0]], ['2, k, 1', [-0.0356445, -0.113298, 1.0]], ['2, k, 2', [-0.0669947, 0.205024, 1.0]], ['2, k, 3', [-0.0403668, 0.310282, 1.0]], ['2, k, 4', [-0.110462, 0.0557295, 1.0]], ['2, k, 5', [0.0347298, 0.0950296, 1.0]], ['2, k, 6', [0.182638, 0.134137, 1.0]], ['2, k, 7', [0.273757, 0.150295, 1.0]], ['2, k, 8', [0.13422, 0.0641407, 1.0]], ['2, k, 9', [0.275246, 0.0628406, 1.0]], ['2, k, 10', [0.243237, 0.0940446, 1.0]], ['2, k, 11', [0.277182, 0.151225, 1.0]], ['2, k, 12', [-0.0553278, -0.440037, 1.0]], ['2, k, 13', [-0.106739, -0.701984, 1.0]], ['2, k, 14', [-0.195007, -0.956855, 1.0]], ['2, k, 15', [-0.132606, -0.995069, 1.0]], ['2, k, 16', [0.0489727, -0.430786, 1.0]], ['2, k, 17', [0.119628, -0.687905, 1.0]], ['2, k, 18', [0.131311, -0.972113, 1.0]], ['2, k, 19', [0.145932, -1.07904, 1.0]], ['2, k, 20', [-0.0593023, 0.126417, 1.0]], ['2, k, 21', [0.312126, 0.147761, 1.0]], ['2, k, 22', [0.259554, 0.164003, 1.0]], ['2, k, 23', [0.299541, 0.15066, 1.0]], ['2, k, 24', [0.249111, 0.167524, 1.0]]]
[['2, k, 0', [-0.00058538, -0.44518, 1.0]], ['2, k, 1', [-0.0273284, -0.11799, 1.0]], ['2, k, 2', [-0.0512109, 0.200198, 1.0]], ['2, k, 3', [-0.0389651, 0.308217, 1.0]], ['2, k, 4', [-0.0971872, 0.0649262, 1.0]], ['2, k, 5', [0.0652106, 0.0959647, 1.0]], ['2, k, 6', [0.22824, 0.129493, 1.0]], ['2, k, 7', [0.313984, 0.145297, 1.0]], ['2, k, 8', [0.14335, 0.0590249, 1.0]], ['2, k, 9', [0.261021, 0.0822836, 1.0]], ['2, k, 10', [0.265575, 0.109655, 1.0]], ['2, k, 11', [0.31369, 0.146868, 1.0]], ['2, k, 12', [-0.0519096, -0.441793, 1.0]], ['2, k, 13', [-0.10283, -0.708425, 1.0]], ['2, k, 14', [-0.217506, -0.952374, 1.0]], ['2, k, 15', [-0.199308, -1.05692, 1.0]], ['2, k, 16', [0.052434, -0.436038, 1.0]], ['2, k, 17', [0.128688, -0.695096, 1.0]], ['2, k, 18', [0.131219, -0.971816, 1.0]], ['2, k, 19', [0.145624, -1.07865, 1.0]], ['2, k, 20', [-0.0456154, 0.121552, 1.0]], ['2, k, 21', [0.353541, 0.145717, 1.0]], ['2, k, 22', [0.292182, 0.163327, 1.0]], ['2, k, 23', [0.342276, 0.144696, 1.0]], ['2, k, 24', [0.288138, 0.162158, 1.0]]]
[['2, k, 0', [0.0020993, -0.446555, 1.0]], ['2, k, 1', [-0.0240219, -0.120034, 1.0]], ['2, k, 2', [-0.0484559, 0.198289, 1.0]], ['2, k, 3', [-0.0357762, 0.305978, 1.0]], ['2, k, 4', [-0.0914535, 0.0644018, 1.0]], ['2, k, 5', [0.0820378, 0.0927518, 1.0]], ['2, k, 6', [0.25766, 0.126262, 1.0]], ['2, k, 7', [0.351589, 0.139195, 1.0]], ['2, k, 8', [0.147026, 0.0558689, 1.0]], ['2, k, 9', [0.293259, 0.0798312, 1.0]], ['2, k, 10', [0.291895, 0.106349, 1.0]], ['2, k, 11', [0.349206, 0.139695, 1.0]], ['2, k, 12', [-0.0486834, -0.442275, 1.0]], ['2, k, 13', [-0.1008, -0.715437, 1.0]], ['2, k, 14', [-0.231749, -0.955045, 1.0]], ['2, k, 15', [-0.207164, -1.0598, 1.0]], ['2, k, 16', [0.0542593, -0.438494, 1.0]], ['2, k, 17', [0.1349, -0.702363, 1.0]], ['2, k, 18', [0.130999, -0.971635, 1.0]], ['2, k, 19', [0.145684, -1.07946, 1.0]], ['2, k, 20', [-0.0425821, 0.119592, 1.0]], ['2, k, 21', [0.388658, 0.143087, 1.0]], ['2, k, 22', [0.338757, 0.156046, 1.0]], ['2, k, 23', [0.385664, 0.145808, 1.0]], ['2, k, 24', [0.325848, 0.152961, 1.0]]]
