[['2, k, 0', [-0.104351, -0.368907, 1.0]], ['2, k, 1', [-0.104569, -0.0648602, 1.0]], ['2, k, 2', [-0.104057, 0.231697, 1.0]], ['2, k, 3', [-0.0928404, 0.366086, 1.0]], ['2, k, 4', [-0.273385, 0.143321, 1.0]], ['2, k, 5', [-0.390553, -0.0283591, 1.0]], ['2, k, 6', [-0.216851, -0.172468, 1.0]], ['2, k, 7', [-0.159601, -0.220545, 1.0]], ['2, k, 8', [0.0647681, 0.147916, 1.0]], ['2, k, 9', [0.147573, -0.0302177, 1.0]], ['2, k, 10', [0.0317649, -0.224152, 1.0]], ['2, k, 11', [-0.00659025, -0.288839, 1.0]], ['2, k, 12', [-0.179922, -0.364319, 1.0]], ['2, k, 13', [-0.19487, -0.69287, 1.0]], ['2, k, 14', [-0.178472, -1.05475, 1.0]], ['2, k, 15', [-0.187134, -1.12598, 1.0]], ['2, k, 16', [-0.0255843, -0.362178, 1.0]], ['2, k, 17', [-0.0228035, -0.68093, 1.0]], ['2, k, 18', [-0.0308134, -1.04985, 1.0]], ['2, k, 19', [-0.0152588, -1.12402, 1.0]], ['2, k, 20', [-0.10431, 0.158673, 1.0]], ['2, k, 21', [-0.158923, -0.219607, 1.0]], ['2, k, 22', [-0.158037, -0.218383, 1.0]], ['2, k, 23', [-0.00656219, -0.287609, 1.0]], ['2, k, 24', [-0.00652558, -0.286005, 1.0]]]
[['2, k, 0', [-0.103985, -0.368937, 1.0]], ['2, k, 1', [-0.104445, -0.0648647, 1.0]], ['2, k, 2', [-0.104052, 0.231702, 1.0]], ['2, k, 3', [-0.0927704, 0.365971, 1.0]], ['2, k, 4', [-0.273347, 0.143244, 1.0]], ['2, k, 5', [-0.390063, -0.0266594, 1.0]], ['2, k, 6', [-0.292699, -0.22954, 1.0]], ['2, k, 7', [-0.260894, -0.2972, 1.0]], ['2, k, 8', [0.0647465, 0.147888, 1.0]], ['2, k, 9', [0.147726, -0.0301181, 1.0]], ['2, k, 10', [0.0511171, -0.232805, 1.0]], ['2, k, 11', [0.0641174, -0.26336, 1.0]], ['2, k, 12', [-0.17967, -0.36436, 1.0]], ['2, k, 13', [-0.193083, -0.69065, 1.0]], ['2, k, 14', [-0.178459, -1.05504, 1.0]], ['2, k, 15', [-0.187488, -1.12616, 1.0]], ['2, k, 16', [-0.0250839, -0.362177, 1.0]], ['2, k, 17', [-0.022045, -0.681754, 1.0]], ['2, k, 18', [-0.0306984, -1.04998, 1.0]], ['2, k, 19', [-0.0155858, -1.12402, 1.0]], ['2, k, 20', [-0.104285, 0.158677, 1.0]], ['2, k, 21', [-0.259788, -0.295941, 1.0]], ['2, k, 22', [-0.258345, -0.294298, 1.0]], ['2, k, 23', [0.0658824, -0.289663, 1.0]], ['2, k, 24', [0.0594894, -0.239474, 1.0]]]
[['2, k, 0', [-0.103007, -0.368676, 1.0]], ['2, k, 1', [-0.103826, -0.0646263, 1.0]], ['2, k, 2', [-0.103727, 0.231883, 1.0]], ['2, k, 3', [-0.0927088, 0.365907, 1.0]], ['2, k, 4', [-0.273307, 0.143362, 1.0]], ['2, k, 5', [-0.389917, -0.0267664, 1.0]], ['2, k, 6', [-0.292801, -0.22954, 1.0]], ['2, k, 7', [-0.261078, -0.297164, 1.0]], ['2, k, 8', [0.0647984, 0.147881, 1.0]], ['2, k, 9', [0.148309, -0.0307745, 1.0]], ['2, k, 10', [0.082362, -0.242257, 1.0]], ['2, k, 11', [0.06153, -0.302097, 1.0]], ['2, k, 12', [-0.178686, -0.364013, 1.0]], ['2, k, 13', [-0.191191, -0.689963, 1.0]], ['2, k, 14', [-0.178533, -1.05497, 1.0]], ['2, k, 15', [-0.187846, -1.12647, 1.0]], ['2, k, 16', [-0.0241585, -0.362004, 1.0]], ['2, k, 17', [-0.0216264, -0.681721, 1.0]], ['2, k, 18', [-0.0307826, -1.04977, 1.0]], ['2, k, 19', [-0.0159446, -1.1237, 1.0]], ['2, k, 20', [-0.103895, 0.158875, 1.0]], ['2, k, 21', [-0.259971, -0.295904, 1.0]], ['2, k, 22', [-0.258361, -0.294295, 1.0]], ['2, k, 23', [0.0658216, -0.358599, 1.0]], ['2, k, 24', [0.0538908, -0.299281, 1.0]]]
[['2, k, 0', [-0.102084, -0.368926, 1.0]], ['2, k, 1', [-0.103591, -0.0646981, 1.0]], ['2, k, 2', [-0.103743, 0.23188, 1.0]], ['2, k, 3', [-0.0926534, 0.365803, 1.0]], ['2, k, 4', [-0.273259, 0.143344, 1.0]], ['2, k, 5', [-0.388394, -0.0267091, 1.0]], ['2, k, 6', [-0.292973, -0.230168, 1.0]], ['2, k, 7', [-0.261812, -0.298021, 1.0]], ['2, k, 8', [0.0649195, 0.147638, 1.0]], ['2, k, 9', [0.151169, -0.0310634, 1.0]], ['2, k, 10', [0.080189, -0.241547, 1.0]], ['2, k, 11', [0.0624849, -0.301671, 1.0]], ['2, k, 12', [-0.177807, -0.364217, 1.0]], ['2, k, 13', [-0.189018, -0.686833, 1.0]], ['2, k, 14', [-0.178432, -1.05481, 1.0]], ['2, k, 15', [-0.188028, -1.12713, 1.0]], ['2, k, 16', [-0.0232279, -0.362282, 1.0]], ['2, k, 17', [-0.0211118, -0.681436, 1.0]], ['2, k, 18', [-0.0307413, -1.04909, 1.0]], ['2, k, 19', [-0.0160506, -1.1235, 1.0]], ['2, k, 20', [-0.103893, 0.158864, 1.0]], ['2, k, 21', [-0.260701, -0.296757, 1.0]], ['2, k, 22', [-0.25872, -0.294632, 1.0]], ['2, k, 23', [0.0703672, -0.365166, 1.0]], ['2, k, 24', [0.0488223, -0.30122, 1.0]]]
[['2, k, 0', [-0.100206, -0.368546, 1.0]], ['2, k, 1', [-0.102651, -0.0644881, 1.0]], ['2, k, 2', [-0.103556, 0.231946, 1.0]], ['2, k, 3', [-0.0925705, 0.365744, 1.0]], ['2, k, 4', [-0.272938, 0.143218, 1.0]], ['2, k, 5', [-0.387101, -0.0259761, 1.0]], ['2, k, 6', [-0.292259, -0.229792, 1.0]], ['2, k, 7', [-0.295243, -0.305976, 1.0]], ['2, k, 8', [0.0650977, 0.147117, 1.0]], ['2, k, 9', [0.152609, -0.031622, 1.0]], ['2, k, 10', [0.0788431, -0.241571, 1.0]], ['2, k, 11', [0.0649327, -0.295627, 1.0]], ['2, k, 12', [-0.175967, -0.363735, 1.0]], ['2, k, 13', [-0.188618, -0.685544, 1.0]], ['2, k, 14', [-0.178566, -1.05378, 1.0]], ['2, k, 15', [-0.188039, -1.12712, 1.0]], ['2, k, 16', [-0.0213717, -0.362005, 1.0]], ['2, k, 17', [-0.0204287, -0.681264, 1.0]], ['2, k, 18', [-0.0310765, -1.04953, 1.0]], ['2, k, 19', [-0.0160859, -1.12352, 1.0]], ['2, k, 20', [-0.103556, 0.158963, 1.0]], ['2, k, 21', [-0.295204, -0.320718, 1.0]], ['2, k, 22', [-0.290209, -0.287926, 1.0]], ['2, k, 23', [0.0715955, -0.36546, 1.0]], ['2, k, 24', [0.054704, -0.300785, 1.0]]]
[['2, k, 0', [-0.0990246, -0.368879, 1.0]], ['2, k, 1', [-0.101946, -0.0643684, 1.0]], ['2, k, 2', [-0.103358, 0.23217, 1.0]], ['2, k, 3', [-0.0925709, 0.365749, 1.0]], ['2, k, 4', [-0.272894, 0.143186, 1.0]], ['2, k, 5', [-0.386307, -0.0252982, 1.0]], ['2, k, 6', [-0.292693, -0.22934, 1.0]], ['2, k, 7', [-0.291417, -0.289513, 1.0]], ['2, k, 8', [0.0653648, 0.146697, 1.0]], ['2, k, 9', [0.154139, -0.0321133, 1.0]], ['2, k, 10', [0.0780824, -0.241135, 1.0]], ['2, k, 11', [0.0646039, -0.292865, 1.0]], ['2, k, 12', [-0.174835, -0.363971, 1.0]], ['2, k, 13', [-0.188055, -0.6853, 1.0]], ['2, k, 14', [-0.178544, -1.05378, 1.0]], ['2, k, 15', [-0.188998, -1.12863, 1.0]], ['2, k, 16', [-0.0201739, -0.362416, 1.0]], ['2, k, 17', [-0.0195128, -0.680266, 1.0]], ['2, k, 18', [-0.0309615, -1.04909, 1.0]], ['2, k, 19', [-0.0164468, -1.1229, 1.0]], ['2, k, 20', [-0.103247, 0.159198, 1.0]], ['2, k, 21', [-0.295175, -0.329965, 1.0]], ['2, k, 22', [-0.287756, -0.28092, 1.0]], ['2, k, 23', [0.074549, -0.366154, 1.0]], ['2, k, 24', [0.0545499, -0.302245, 1.0]]]
[['2, k, 0', [-0.0972643, -0.369451, 1.0]], ['2, k, 1', [-0.101124, -0.0644066, 1.0]], ['2, k, 2', [-0.103249, 0.232299, 1.0]], ['2, k, 3', [-0.0924856, 0.365732, 1.0]], ['2, k, 4', [-0.272798, 0.143105, 1.0]], ['2, k, 5', [-0.38559, -0.0250841, 1.0]], ['2, k, 6', [-0.292658, -0.229131, 1.0]], ['2, k, 7', [-0.288545, -0.278537, 1.0]], ['2, k, 8', [0.0658329, 0.146056, 1.0]], ['2, k, 9', [0.154833, -0.0331945, 1.0]], ['2, k, 10', [0.0777563, -0.24161, 1.0]], ['2, k, 11', [0.0667281, -0.293207, 1.0]], ['2, k, 12', [-0.17313, -0.364373, 1.0]], ['2, k, 13', [-0.188987, -0.685994, 1.0]], ['2, k, 14', [-0.178505, -1.05368, 1.0]], ['2, k, 15', [-0.188342, -1.12818, 1.0]], ['2, k, 16', [-0.0184059, -0.363124, 1.0]], ['2, k, 17', [-0.0185535, -0.679384, 1.0]], ['2, k, 18', [-0.0306709, -1.04819, 1.0]], ['2, k, 19', [-0.0169608, -1.12087, 1.0]], ['2, k, 20', [-0.103005, 0.159334, 1.0]], ['2, k, 21', [-0.293859, -0.331566, 1.0]], ['2, k, 22', [-0.28101, -0.24053, 1.0]], ['2, k, 23', [0.0734412, -0.371007, 1.0]], ['2, k, 24', [0.0547886, -0.306729, 1.0]]]
[['2, k, 0', [-0.0973244, -0.37082, 1.0]], ['2, k, 1', [-0.10072, -0.0648217, 1.0]], ['2, k, 2', [-0.102827, 0.23253, 1.0]], ['2, k, 3', [-0.0924106, 0.365707, 1.0]], ['2, k, 4', [-0.272643, 0.143038, 1.0]], ['2, k, 5', [-0.385054, -0.02451, 1.0]], ['2, k, 6', [-0.291925, -0.228197, 1.0]], ['2, k, 7', [-0.285259, -0.268649, 1.0]], ['2, k, 8', [0.0661451, 0.14558, 1.0]], ['2, k, 9', [0.155904, -0.0335223, 1.0]], ['2, k, 10', [0.0781339, -0.2414, 1.0]], ['2, k, 11', [0.0679808, -0.293778, 1.0]], ['2, k, 12', [-0.173201, -0.365627, 1.0]], ['2, k, 13', [-0.191176, -0.686004, 1.0]], ['2, k, 14', [-0.178478, -1.05369, 1.0]], ['2, k, 15', [-0.188045, -1.12814, 1.0]], ['2, k, 16', [-0.018449, -0.364555, 1.0]], ['2, k, 17', [-0.0180274, -0.679723, 1.0]], ['2, k, 18', [-0.0299505, -1.04929, 1.0]], ['2, k, 19', [-0.0169027, -1.12201, 1.0]], ['2, k, 20', [-0.10254, 0.159448, 1.0]], ['2, k, 21', [-0.293822, -0.322293, 1.0]], ['2, k, 22', [-0.273723, -0.22821, 1.0]], ['2, k, 23', [0.0742608, -0.370965, 1.0]], ['2, k, 24', [0.060601, -0.294636, 1.0]]]
[['2, k, 0', [-0.0978629, -0.370823, 1.0]], ['2, k, 1', [-0.100457, -0.0650732, 1.0]], ['2, k, 2', [-0.102345, 0.232344, 1.0]], ['2, k, 3', [-0.0922952, 0.365591, 1.0]], ['2, k, 4', [-0.272319, 0.142846, 1.0]], ['2, k, 5', [-0.384428, -0.0245357, 1.0]], ['2, k, 6', [-0.291974, -0.228189, 1.0]], ['2, k, 7', [-0.283953, -0.27021, 1.0]], ['2, k, 8', [0.0665642, 0.144903, 1.0]], ['2, k, 9', [0.156741, -0.0340251, 1.0]], ['2, k, 10', [0.0788977, -0.24158, 1.0]], ['2, k, 11', [0.0683369, -0.289793, 1.0]], ['2, k, 12', [-0.173754, -0.365554, 1.0]], ['2, k, 13', [-0.193002, -0.686775, 1.0]], ['2, k, 14', [-0.178441, -1.05331, 1.0]], ['2, k, 15', [-0.188348, -1.12812, 1.0]], ['2, k, 16', [-0.0189523, -0.364619, 1.0]], ['2, k, 17', [-0.0163901, -0.677758, 1.0]], ['2, k, 18', [-0.0300481, -1.05014, 1.0]], ['2, k, 19', [-0.0166084, -1.12256, 1.0]], ['2, k, 20', [-0.102048, 0.159221, 1.0]], ['2, k, 21', [-0.293449, -0.315734, 1.0]], ['2, k, 22', [-0.275517, -0.232933, 1.0]], ['2, k, 23', [0.0763572, -0.370069, 1.0]], ['2, k, 24', [0.0558826, -0.307323, 1.0]]]
[['2, k, 0', [-0.0979539, -0.371514, 1.0]], ['2, k, 1', [-0.100114, -0.0653383, 1.0]], ['2, k, 2', [-0.101869, 0.232413, 1.0]], ['2, k, 3', [-0.0920502, 0.365517, 1.0]], ['2, k, 4', [-0.272056, 0.142565, 1.0]], ['2, k, 5', [-0.383967, -0.0254251, 1.0]], ['2, k, 6', [-0.290533, -0.228317, 1.0]], ['2, k, 7', [-0.282604, -0.266464, 1.0]], ['2, k, 8', [0.0669686, 0.144232, 1.0]], ['2, k, 9', [0.157525, -0.0348527, 1.0]], ['2, k, 10', [0.0792861, -0.242013, 1.0]], ['2, k, 11', [0.0686312, -0.291864, 1.0]], ['2, k, 12', [-0.173803, -0.366097, 1.0]], ['2, k, 13', [-0.194016, -0.687594, 1.0]], ['2, k, 14', [-0.17848, -1.05305, 1.0]], ['2, k, 15', [-0.188317, -1.12801, 1.0]], ['2, k, 16', [-0.0190792, -0.365424, 1.0]], ['2, k, 17', [-0.0162928, -0.677545, 1.0]], ['2, k, 18', [-0.0297365, -1.05011, 1.0]], ['2, k, 19', [-0.0166724, -1.12281, 1.0]], ['2, k, 20', [-0.101567, 0.159221, 1.0]], ['2, k, 21', [-0.287898, -0.313112, 1.0]], ['2, k, 22', [-0.269694, -0.226938, 1.0]], ['2, k, 23', [0.0783648, -0.366581, 1.0]], ['2, k, 24', [0.059344, -0.299518, 1.0]]]
[['2, k, 0', [-0.0981454, -0.372084, 1.0]], ['2, k, 1', [-0.0998493, -0.0655828, 1.0]], ['2, k, 2', [-0.101344, 0.232461, 1.0]], ['2, k, 3', [-0.091776, 0.365464, 1.0]], ['2, k, 4', [-0.271777, 0.142195, 1.0]], ['2, k, 5', [-0.38374, -0.0247596, 1.0]], ['2, k, 6', [-0.288955, -0.226678, 1.0]], ['2, k, 7', [-0.28066, -0.264285, 1.0]], ['2, k, 8', [0.0675115, 0.143604, 1.0]], ['2, k, 9', [0.158133, -0.0353281, 1.0]], ['2, k, 10', [0.0799655, -0.242191, 1.0]], ['2, k, 11', [0.0678586, -0.293198, 1.0]], ['2, k, 12', [-0.174024, -0.366608, 1.0]], ['2, k, 13', [-0.194635, -0.687843, 1.0]], ['2, k, 14', [-0.178667, -1.05265, 1.0]], ['2, k, 15', [-0.188733, -1.12833, 1.0]], ['2, k, 16', [-0.0192362, -0.36601, 1.0]], ['2, k, 17', [-0.0160168, -0.676971, 1.0]], ['2, k, 18', [-0.0298832, -1.04934, 1.0]], ['2, k, 19', [-0.0156484, -1.12156, 1.0]], ['2, k, 20', [-0.101086, 0.159199, 1.0]], ['2, k, 21', [-0.288481, -0.319874, 1.0]], ['2, k, 22', [-0.272128, -0.23426, 1.0]], ['2, k, 23', [0.0783881, -0.366687, 1.0]], ['2, k, 24', [0.0605168, -0.302306, 1.0]]]
