[['2, k, 0', [0.137224, -1.51498, 1.0]], ['2, k, 1', [0.143183, -1.22845, 1.0]], ['2, k, 2', [0.148495, -0.941338, 1.0]], ['2, k, 3', [0.143893, -0.827726, 1.0]], ['2, k, 4', [0.00854631, -0.92647, 1.0]], ['2, k, 5', [-0.120458, -0.942954, 1.0]], ['2, k, 6', [-0.0560274, -0.923114, 1.0]], ['2, k, 7', [-0.0346745, -0.917559, 1.0]], ['2, k, 8', [0.28092, -0.941851, 1.0]], ['2, k, 9', [0.400972, -0.968647, 1.0]], ['2, k, 10', [0.43396, -0.944493, 1.0]], ['2, k, 11', [0.493621, -0.90768, 1.0]], ['2, k, 12', [0.0742602, -1.49797, 1.0]], ['2, k, 13', [-0.0392612, -1.52547, 1.0]], ['2, k, 14', [0.00486571, -1.7758, 1.0]], ['2, k, 15', [0.00389456, -1.82398, 1.0]], ['2, k, 16', [0.197739, -1.50494, 1.0]], ['2, k, 17', [0.306368, -1.51205, 1.0]], ['2, k, 18', [0.270259, -1.77282, 1.0]], ['2, k, 19', [0.254233, -1.82066, 1.0]], ['2, k, 20', [0.147283, -1.01335, 1.0]], ['2, k, 21', [-0.0345676, -0.91473, 1.0]], ['2, k, 22', [-0.0344282, -0.91104, 1.0]], ['2, k, 23', [0.52666, -0.909463, 1.0]], ['2, k, 24', [0.532168, -0.884393, 1.0]]]
[['2, k, 0', [0.132346, -1.43744, 1.0]], ['2, k, 1', [0.141906, -1.2015, 1.0]], ['2, k, 2', [0.148553, -0.941058, 1.0]], ['2, k, 3', [0.143953, -0.830773, 1.0]], ['2, k, 4', [0.00882266, -0.927348, 1.0]], ['2, k, 5', [-0.123464, -0.945839, 1.0]], ['2, k, 6', [-0.159183, -0.935274, 1.0]], ['2, k, 7', [-0.198601, -0.912199, 1.0]], ['2, k, 8', [0.279657, -0.944306, 1.0]], ['2, k, 9', [0.372686, -0.954561, 1.0]], ['2, k, 10', [0.420339, -0.937065, 1.0]], ['2, k, 11', [0.49163, -0.930882, 1.0]], ['2, k, 12', [0.0695919, -1.42096, 1.0]], ['2, k, 13', [-0.0205633, -1.51893, 1.0]], ['2, k, 14', [0.00916672, -1.86123, 1.0]], ['2, k, 15', [0.00439798, -1.90084, 1.0]], ['2, k, 16', [0.192867, -1.42966, 1.0]], ['2, k, 17', [0.289121, -1.51759, 1.0]], ['2, k, 18', [0.254059, -1.82765, 1.0]], ['2, k, 19', [0.239978, -1.87106, 1.0]], ['2, k, 20', [0.147213, -1.01149, 1.0]], ['2, k, 21', [-0.187066, -0.932459, 1.0]], ['2, k, 22', [-0.238919, -0.895815, 1.0]], ['2, k, 23', [0.517821, -0.937336, 1.0]], ['2, k, 24', [0.533079, -0.912758, 1.0]]]
[['2, k, 0', [0.134314, -1.43732, 1.0]], ['2, k, 1', [0.142147, -1.19977, 1.0]], ['2, k, 2', [0.14789, -0.942424, 1.0]], ['2, k, 3', [0.14365, -0.83537, 1.0]], ['2, k, 4', [0.00857059, -0.929353, 1.0]], ['2, k, 5', [-0.0918842, -0.950202, 1.0]], ['2, k, 6', [-0.133227, -0.953189, 1.0]], ['2, k, 7', [-0.199925, -0.935184, 1.0]], ['2, k, 8', [0.279341, -0.953313, 1.0]], ['2, k, 9', [0.362897, -0.972538, 1.0]], ['2, k, 10', [0.400234, -0.962824, 1.0]], ['2, k, 11', [0.465732, -0.956172, 1.0]], ['2, k, 12', [0.0717792, -1.42074, 1.0]], ['2, k, 13', [-0.0182324, -1.51841, 1.0]], ['2, k, 14', [-0.00528835, -1.8087, 1.0]], ['2, k, 15', [-0.0120497, -1.845, 1.0]], ['2, k, 16', [0.194709, -1.43026, 1.0]], ['2, k, 17', [0.283684, -1.51368, 1.0]], ['2, k, 18', [0.249978, -1.85333, 1.0]], ['2, k, 19', [0.236298, -1.89187, 1.0]], ['2, k, 20', [0.146872, -1.01107, 1.0]], ['2, k, 21', [-0.202754, -0.946594, 1.0]], ['2, k, 22', [-0.24201, -0.912199, 1.0]], ['2, k, 23', [0.494796, -0.958299, 1.0]], ['2, k, 24', [0.50663, -0.931374, 1.0]]]
[['2, k, 0', [0.134169, -1.44074, 1.0]], ['2, k, 1', [0.138831, -1.20315, 1.0]], ['2, k, 2', [0.136707, -0.960695, 1.0]], ['2, k, 3', [0.140337, -0.854849, 1.0]], ['2, k, 4', [0.00841556, -0.951105, 1.0]], ['2, k, 5', [-0.0938139, -0.970622, 1.0]], ['2, k, 6', [-0.149826, -0.945221, 1.0]], ['2, k, 7', [-0.210009, -0.956816, 1.0]], ['2, k, 8', [0.273315, -0.977197, 1.0]], ['2, k, 9', [0.361234, -0.991404, 1.0]], ['2, k, 10', [0.404341, -0.979497, 1.0]], ['2, k, 11', [0.469241, -0.979148, 1.0]], ['2, k, 12', [0.0717231, -1.42327, 1.0]], ['2, k, 13', [-0.0181072, -1.52298, 1.0]], ['2, k, 14', [-0.000652749, -1.84113, 1.0]], ['2, k, 15', [-0.00765921, -1.88227, 1.0]], ['2, k, 16', [0.194476, -1.43523, 1.0]], ['2, k, 17', [0.282873, -1.51247, 1.0]], ['2, k, 18', [0.270485, -1.776, 1.0]], ['2, k, 19', [0.258089, -1.81467, 1.0]], ['2, k, 20', [0.13877, -1.02116, 1.0]], ['2, k, 21', [-0.22498, -0.965223, 1.0]], ['2, k, 22', [-0.249906, -0.941838, 1.0]], ['2, k, 23', [0.501115, -0.981149, 1.0]], ['2, k, 24', [0.514065, -0.952894, 1.0]]]
[['2, k, 0', [0.132221, -1.45297, 1.0]], ['2, k, 1', [0.13963, -1.2144, 1.0]], ['2, k, 2', [0.14441, -0.975103, 1.0]], ['2, k, 3', [0.140491, -0.868922, 1.0]], ['2, k, 4', [0.00787502, -0.961013, 1.0]], ['2, k, 5', [-0.0947225, -0.983147, 1.0]], ['2, k, 6', [-0.15662, -0.971003, 1.0]], ['2, k, 7', [-0.211181, -0.978113, 1.0]], ['2, k, 8', [0.272103, -0.987994, 1.0]], ['2, k, 9', [0.370027, -1.01686, 1.0]], ['2, k, 10', [0.416795, -1.00712, 1.0]], ['2, k, 11', [0.483625, -1.00423, 1.0]], ['2, k, 12', [0.0700451, -1.43515, 1.0]], ['2, k, 13', [-0.0212344, -1.54222, 1.0]], ['2, k, 14', [-0.000627966, -1.84917, 1.0]], ['2, k, 15', [-0.00656955, -1.88964, 1.0]], ['2, k, 16', [0.192336, -1.4475, 1.0]], ['2, k, 17', [0.284109, -1.51745, 1.0]], ['2, k, 18', [0.254418, -1.85327, 1.0]], ['2, k, 19', [0.282483, -1.90693, 1.0]], ['2, k, 20', [0.143756, -1.03497, 1.0]], ['2, k, 21', [-0.229783, -0.990943, 1.0]], ['2, k, 22', [-0.25341, -0.962311, 1.0]], ['2, k, 23', [0.515543, -1.00907, 1.0]], ['2, k, 24', [0.525422, -0.981474, 1.0]]]
[['2, k, 0', [0.13173, -1.45964, 1.0]], ['2, k, 1', [0.137866, -1.22032, 1.0]], ['2, k, 2', [0.14238, -0.979786, 1.0]], ['2, k, 3', [0.139368, -0.875213, 1.0]], ['2, k, 4', [0.00835892, -1.0027, 1.0]], ['2, k, 5', [-0.0991658, -1.01353, 1.0]], ['2, k, 6', [-0.161027, -1.00032, 1.0]], ['2, k, 7', [-0.214761, -0.999022, 1.0]], ['2, k, 8', [0.272354, -1.0122, 1.0]], ['2, k, 9', [0.370644, -1.03366, 1.0]], ['2, k, 10', [0.432044, -1.03797, 1.0]], ['2, k, 11', [0.48606, -1.02754, 1.0]], ['2, k, 12', [0.0696273, -1.44372, 1.0]], ['2, k, 13', [-0.020737, -1.54246, 1.0]], ['2, k, 14', [0.00283706, -1.84013, 1.0]], ['2, k, 15', [-0.00191802, -1.88363, 1.0]], ['2, k, 16', [0.191796, -1.45265, 1.0]], ['2, k, 17', [0.283242, -1.52519, 1.0]], ['2, k, 18', [0.269683, -1.81298, 1.0]], ['2, k, 19', [0.258496, -1.85474, 1.0]], ['2, k, 20', [0.141562, -1.04018, 1.0]], ['2, k, 21', [-0.223206, -1.01493, 1.0]], ['2, k, 22', [-0.258207, -0.985199, 1.0]], ['2, k, 23', [0.511868, -1.03473, 1.0]], ['2, k, 24', [0.527947, -1.00537, 1.0]]]
[['2, k, 0', [0.130747, -1.4629, 1.0]], ['2, k, 1', [0.136646, -1.22586, 1.0]], ['2, k, 2', [0.141415, -0.988216, 1.0]], ['2, k, 3', [0.138245, -0.87927, 1.0]], ['2, k, 4', [0.00803819, -1.00482, 1.0]], ['2, k, 5', [-0.0978837, -1.02107, 1.0]], ['2, k, 6', [-0.152703, -1.01895, 1.0]], ['2, k, 7', [-0.210939, -1.01956, 1.0]], ['2, k, 8', [0.27216, -1.0125, 1.0]], ['2, k, 9', [0.367866, -1.04334, 1.0]], ['2, k, 10', [0.428887, -1.04364, 1.0]], ['2, k, 11', [0.482589, -1.05046, 1.0]], ['2, k, 12', [0.0685074, -1.44913, 1.0]], ['2, k, 13', [-0.0185683, -1.53839, 1.0]], ['2, k, 14', [0.00438471, -1.83937, 1.0]], ['2, k, 15', [-0.000406501, -1.88351, 1.0]], ['2, k, 16', [0.191008, -1.4543, 1.0]], ['2, k, 17', [0.284278, -1.5345, 1.0]], ['2, k, 18', [0.272039, -1.8271, 1.0]], ['2, k, 19', [0.265131, -1.90742, 1.0]], ['2, k, 20', [0.140422, -1.04788, 1.0]], ['2, k, 21', [-0.210028, -1.03016, 1.0]], ['2, k, 22', [-0.25506, -1.00375, 1.0]], ['2, k, 23', [0.515963, -1.05674, 1.0]], ['2, k, 24', [0.521524, -1.02989, 1.0]]]
[['2, k, 0', [0.130044, -1.47431, 1.0]], ['2, k, 1', [0.134852, -1.24278, 1.0]], ['2, k, 2', [0.138685, -1.01096, 1.0]], ['2, k, 3', [0.138334, -0.899647, 1.0]], ['2, k, 4', [0.0077955, -1.00705, 1.0]], ['2, k, 5', [-0.133195, -1.05345, 1.0]], ['2, k, 6', [-0.18251, -1.03969, 1.0]], ['2, k, 7', [-0.215139, -1.03735, 1.0]], ['2, k, 8', [0.269738, -1.03674, 1.0]], ['2, k, 9', [0.361057, -1.05878, 1.0]], ['2, k, 10', [0.430758, -1.07653, 1.0]], ['2, k, 11', [0.480736, -1.06896, 1.0]], ['2, k, 12', [0.0683818, -1.45607, 1.0]], ['2, k, 13', [-0.0183797, -1.53908, 1.0]], ['2, k, 14', [0.0102716, -1.89429, 1.0]], ['2, k, 15', [0.0241139, -1.94298, 1.0]], ['2, k, 16', [0.189502, -1.47065, 1.0]], ['2, k, 17', [0.284648, -1.53695, 1.0]], ['2, k, 18', [0.249364, -1.88708, 1.0]], ['2, k, 19', [0.232755, -1.9358, 1.0]], ['2, k, 20', [0.137867, -1.06915, 1.0]], ['2, k, 21', [-0.214918, -1.05323, 1.0]], ['2, k, 22', [-0.252097, -1.01668, 1.0]], ['2, k, 23', [0.508903, -1.06842, 1.0]], ['2, k, 24', [0.52118, -1.04519, 1.0]]]
[['2, k, 0', [0.130265, -1.48345, 1.0]], ['2, k, 1', [0.142838, -1.25824, 1.0]], ['2, k, 2', [0.16009, -1.03506, 1.0]], ['2, k, 3', [0.143553, -0.923137, 1.0]], ['2, k, 4', [0.00918009, -1.02906, 1.0]], ['2, k, 5', [-0.0983644, -1.04681, 1.0]], ['2, k, 6', [-0.157205, -1.04986, 1.0]], ['2, k, 7', [-0.215784, -1.05387, 1.0]], ['2, k, 8', [0.269644, -1.03532, 1.0]], ['2, k, 9', [0.360186, -1.07237, 1.0]], ['2, k, 10', [0.426379, -1.0874, 1.0]], ['2, k, 11', [0.477131, -1.09545, 1.0]], ['2, k, 12', [0.0687837, -1.47485, 1.0]], ['2, k, 13', [-0.0177181, -1.53844, 1.0]], ['2, k, 14', [-0.00560487, -1.81767, 1.0]], ['2, k, 15', [-0.0115487, -1.8626, 1.0]], ['2, k, 16', [0.189632, -1.47312, 1.0]], ['2, k, 17', [0.285961, -1.54062, 1.0]], ['2, k, 18', [0.251531, -1.8941, 1.0]], ['2, k, 19', [0.238252, -1.94444, 1.0]], ['2, k, 20', [0.155313, -1.09091, 1.0]], ['2, k, 21', [-0.214078, -1.06423, 1.0]], ['2, k, 22', [-0.254617, -1.03473, 1.0]], ['2, k, 23', [0.520205, -1.0997, 1.0]], ['2, k, 24', [0.516928, -1.0717, 1.0]]]
[['2, k, 0', [0.127752, -1.50426, 1.0]], ['2, k, 1', [0.14547, -1.27715, 1.0]], ['2, k, 2', [0.163834, -1.04912, 1.0]], ['2, k, 3', [0.145225, -0.938873, 1.0]], ['2, k, 4', [0.00881625, -1.03541, 1.0]], ['2, k, 5', [-0.0976306, -1.05896, 1.0]], ['2, k, 6', [-0.156689, -1.06262, 1.0]], ['2, k, 7', [-0.215326, -1.06741, 1.0]], ['2, k, 8', [0.272091, -1.05414, 1.0]], ['2, k, 9', [0.360954, -1.08745, 1.0]], ['2, k, 10', [0.425797, -1.10798, 1.0]], ['2, k, 11', [0.473472, -1.11416, 1.0]], ['2, k, 12', [0.0665975, -1.488, 1.0]], ['2, k, 13', [-0.0177507, -1.54596, 1.0]], ['2, k, 14', [-0.00336098, -1.81843, 1.0]], ['2, k, 15', [-0.0109121, -1.86423, 1.0]], ['2, k, 16', [0.187263, -1.49748, 1.0]], ['2, k, 17', [0.286227, -1.54218, 1.0]], ['2, k, 18', [0.26691, -1.84992, 1.0]], ['2, k, 19', [0.274902, -1.91211, 1.0]], ['2, k, 20', [0.159193, -1.10644, 1.0]], ['2, k, 21', [-0.224943, -1.07673, 1.0]], ['2, k, 22', [-0.254329, -1.04524, 1.0]], ['2, k, 23', [0.504232, -1.11806, 1.0]], ['2, k, 24', [0.517883, -1.10127, 1.0]]]
[['2, k, 0', [0.126646, -1.51114, 1.0]], ['2, k, 1', [0.136325, -1.2951, 1.0]], ['2, k, 2', [0.13877, -1.08398, 1.0]], ['2, k, 3', [0.139173, -0.969822, 1.0]], ['2, k, 4', [0.00845469, -1.04486, 1.0]], ['2, k, 5', [-0.0964531, -1.06662, 1.0]], ['2, k, 6', [-0.176792, -1.08208, 1.0]], ['2, k, 7', [-0.223195, -1.08264, 1.0]], ['2, k, 8', [0.272071, -1.05981, 1.0]], ['2, k, 9', [0.359773, -1.09482, 1.0]], ['2, k, 10', [0.427855, -1.11699, 1.0]], ['2, k, 11', [0.476596, -1.12898, 1.0]], ['2, k, 12', [0.0649399, -1.49561, 1.0]], ['2, k, 13', [-0.0157426, -1.55063, 1.0]], ['2, k, 14', [-0.00342525, -1.82087, 1.0]], ['2, k, 15', [-0.010621, -1.86848, 1.0]], ['2, k, 16', [0.186577, -1.50382, 1.0]], ['2, k, 17', [0.286965, -1.5479, 1.0]], ['2, k, 18', [0.263631, -1.90125, 1.0]], ['2, k, 19', [0.254051, -1.9671, 1.0]], ['2, k, 20', [0.138999, -1.13649, 1.0]], ['2, k, 21', [-0.23051, -1.09711, 1.0]], ['2, k, 22', [-0.262125, -1.07087, 1.0]], ['2, k, 23', [0.519763, -1.13349, 1.0]], ['2, k, 24', [0.515533, -1.10075, 1.0]]]
