[['2, k, 0', [8.39147, 78.78394, 1.0]], ['2, k, 1', [5.138235160121319, 111.57145546055014, 1.0]], ['2, k, 2', [2.693752148140878, 136.21841150843366, 1.0]], ['2, k, 3', [2.0154621323423227, 143.19607838071212, 1.0]], ['2, k, 4', [16.959670151025964, 126.67991987727537, 1.0]], ['2, k, 5', [19.021095463239266, 96.31388661547314, 1.0]], ['2, k, 6', [18.737936026347104, 74.2151423405549, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.370524329278105, 128.3194050565221, 1.0]], ['2, k, 9', [-21.38711474549327, 104.8858805027926, 1.0]], ['2, k, 10', [-24.881018777944632, 78.75363699067361, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.82511529741554, 78.15258628815954, 1.0]], ['2, k, 13', [1.6942318769894644, 40.54831679095422, 1.0]], ['2, k, 14', [-5.126758784247806, 12.768146877554724, 1.0]], ['2, k, 15', [1.405282918835626, 10.580772540443089, 1.0]], ['2, k, 16', [2.709190036584987, 79.30490900560572, 1.0]], ['2, k, 17', [-4.606798243954457, 47.43102498430564, 1.0]], ['2, k, 18', [-11.775403062518311, 11.153659508098876, 1.0]], ['2, k, 19', [-5.057949984153209, 8.439094773722578, 1.0]], ['2, k, 20', [2.693752148140878, 136.21841150843366, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.390413333333333, 78.7982, 1.0]], ['2, k, 1', [5.152562599352638, 111.57360473036704, 1.0]], ['2, k, 2', [2.7182362824048516, 136.22028410910343, 1.0]], ['2, k, 3', [2.0434952973214653, 143.19824446884505, 1.0]], ['2, k, 4', [16.987212756982473, 126.68116899309035, 1.0]], ['2, k, 5', [19.051714457437072, 96.31539437209321, 1.0]], ['2, k, 6', [18.72598907849205, 74.11635970759252, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.369695108303837, 128.31359819871304, 1.0]], ['2, k, 9', [-21.34434711731986, 104.90772045809894, 1.0]], ['2, k, 10', [-24.82447674102213, 78.61142018436175, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.822744163354388, 78.1825389508352, 1.0]], ['2, k, 13', [3.5000167116872642, 43.34796381996489, 1.0]], ['2, k, 14', [-5.3220642321098435, 12.035008946642296, 1.0]], ['2, k, 15', [-0.31399560425419715, 6.269397977459614, 1.0]], ['2, k, 16', [2.7173160080969723, 79.27247190245717, 1.0]], ['2, k, 17', [-4.656505284129613, 47.32232200745568, 1.0]], ['2, k, 18', [-11.769186916823656, 10.971733204387533, 1.0]], ['2, k, 19', [-5.836026089765857, 4.791309646446282, 1.0]], ['2, k, 20', [2.7182362824048516, 136.22028410910343, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.368579999999998, 78.75819999999999, 1.0]], ['2, k, 1', [5.1701042059730895, 111.5622566145403, 1.0]], ['2, k, 2', [2.761801245492927, 136.22191504183533, 1.0]], ['2, k, 3', [2.094865161273889, 143.20057706111487, 1.0]], ['2, k, 4', [17.032787564549476, 126.6838329007563, 1.0]], ['2, k, 5', [19.101125391542826, 96.31853423764919, 1.0]], ['2, k, 6', [18.794293585741606, 74.13811540556657, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.322512884115522, 128.32307302277317, 1.0]], ['2, k, 9', [-21.27147041115007, 104.93918756456438, 1.0]], ['2, k, 10', [-24.727406402091763, 78.62563666294808, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.80261773631129, 78.17400587296676, 1.0]], ['2, k, 13', [3.238018494452117, 43.031909871746464, 1.0]], ['2, k, 14', [-5.338210151865635, 12.138099096163554, 1.0]], ['2, k, 15', [-1.3705293282363473, 5.655560254463038, 1.0]], ['2, k, 16', [2.683181694024391, 79.19388041655473, 1.0]], ['2, k, 17', [-4.6545605919824, 47.2939148004057, 1.0]], ['2, k, 18', [-11.714893458398654, 10.835128666750172, 1.0]], ['2, k, 19', [-5.01833484687369, 5.912871108525232, 1.0]], ['2, k, 20', [2.761801245492927, 136.22191504183533, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.370971999999998, 78.75326, 1.0]], ['2, k, 1', [5.185039275502775, 111.55756184567754, 1.0]], ['2, k, 2', [2.7888251994272455, 136.22098804283468, 1.0]], ['2, k, 3', [2.125449132983305, 143.19987447441505, 1.0]], ['2, k, 4', [17.057556675986, 126.6803310777712, 1.0]], ['2, k, 5', [19.12193123495237, 96.31492732568385, 1.0]], ['2, k, 6', [18.83032568870535, 74.14199288198209, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.309765337096291, 128.31534640411036, 1.0]], ['2, k, 9', [-21.235725195079112, 104.95816197810677, 1.0]], ['2, k, 10', [-24.692777493943833, 78.56702166504176, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.808832934331678, 78.1945831812264, 1.0]], ['2, k, 13', [3.7562391412939906, 44.024549301300326, 1.0]], ['2, k, 14', [-5.326253910329781, 11.908909276229643, 1.0]], ['2, k, 15', [-2.022617151421791, 5.770574885099256, 1.0]], ['2, k, 16', [2.6992122045756473, 79.15947946473418, 1.0]], ['2, k, 17', [-4.624918858964216, 47.25700093439913, 1.0]], ['2, k, 18', [-11.651488997157628, 10.732079336513607, 1.0]], ['2, k, 19', [-4.981098313446192, 6.494170433302295, 1.0]], ['2, k, 20', [2.7888251994272455, 136.22098804283468, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.366538, 78.754862, 1.0]], ['2, k, 1', [5.1907729870552, 111.55302367192395, 1.0]], ['2, k, 2', [2.8025628384524786, 136.21876771155468, 1.0]], ['2, k, 3', [2.141562878275411, 143.19777155619377, 1.0]], ['2, k, 4', [17.067405175408513, 126.67405735217909, 1.0]], ['2, k, 5', [19.12397006761009, 96.30823700521084, 1.0]], ['2, k, 6', [18.789312793891554, 74.1453297453533, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.314307978067001, 128.33259113537392, 1.0]], ['2, k, 9', [-21.207624148548934, 104.99506403398996, 1.0]], ['2, k, 10', [-24.682596250355004, 78.63502971312082, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.804601252556235, 78.21012736516924, 1.0]], ['2, k, 13', [3.9161474836763634, 44.358481331034206, 1.0]], ['2, k, 14', [-5.389019552850227, 11.885808591982837, 1.0]], ['2, k, 15', [-2.362744263640249, 5.76480767297366, 1.0]], ['2, k, 16', [2.6801816505128713, 79.15080004808726, 1.0]], ['2, k, 17', [-4.663626938567868, 47.24923992288156, 1.0]], ['2, k, 18', [-11.654560163039013, 10.70278217439406, 1.0]], ['2, k, 19', [-4.671424472640754, 6.628500228781573, 1.0]], ['2, k, 20', [2.8025628384524786, 136.21876771155468, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.397064, 78.71454800000001, 1.0]], ['2, k, 1', [5.237798207815702, 111.53263954190331, 1.0]], ['2, k, 2', [2.8653313514016894, 136.20968473587166, 1.0]], ['2, k, 3', [2.210160165975426, 143.18899682814072, 1.0]], ['2, k, 4', [17.124859656974916, 126.66432541289075, 1.0]], ['2, k, 5', [19.180236203065697, 96.29875205728968, 1.0]], ['2, k, 6', [18.816091072515846, 74.14446889178964, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.282423985549258, 128.35517717466377, 1.0]], ['2, k, 9', [-21.138717222557368, 105.01392572240296, 1.0]], ['2, k, 10', [-24.69258549986183, 78.69111948693518, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.855790803075166, 78.18500615924336, 1.0]], ['2, k, 13', [3.9580808444059237, 44.244288730738226, 1.0]], ['2, k, 14', [-5.262985736764978, 11.91832315545551, 1.0]], ['2, k, 15', [-2.330951317200695, 5.638448725941382, 1.0]], ['2, k, 16', [2.727404352125257, 79.10122152838348, 1.0]], ['2, k, 17', [-4.604630571107944, 47.263488318843585, 1.0]], ['2, k, 18', [-11.567809923545628, 10.634154199602541, 1.0]], ['2, k, 19', [-4.4508393887843845, 6.7106443206501245, 1.0]], ['2, k, 20', [2.8653313514016894, 136.20968473587166, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.432419999999999, 78.715822, 1.0]], ['2, k, 1', [5.384276342128263, 111.52816538480765, 1.0]], ['2, k, 2', [3.0603157012090256, 136.2105805706672, 1.0]], ['2, k, 3', [2.4235650948357392, 143.19036658360284, 1.0]], ['2, k, 4', [17.324474313309647, 126.68013104471224, 1.0]], ['2, k, 5', [19.409455888911303, 96.31729157281691, 1.0]], ['2, k, 6', [18.97864518117267, 74.16682447312704, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-11.118771188351795, 128.38451093661357, 1.0]], ['2, k, 9', [-20.940179595297657, 105.02841627091553, 1.0]], ['2, k, 10', [-24.63985532230284, 78.77339972059954, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.903370384700061, 78.19131137212467, 1.0]], ['2, k, 13', [4.279578035383398, 45.0200970925512, 1.0]], ['2, k, 14', [-5.196090698167833, 11.75610439423577, 1.0]], ['2, k, 15', [-2.384696114134504, 5.487625721728245, 1.0]], ['2, k, 16', [2.7275663309829, 79.10844865391549, 1.0]], ['2, k, 17', [-4.513971857102523, 47.25672354417608, 1.0]], ['2, k, 18', [-11.437259284263408, 10.573357556040797, 1.0]], ['2, k, 19', [-4.389098537061653, 6.833619614789982, 1.0]], ['2, k, 20', [3.0603157012090256, 136.2105805706672, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.444798, 78.756064, 1.0]], ['2, k, 1', [5.588612353050699, 111.54266976506659, 1.0]], ['2, k, 2', [3.3750875342754467, 136.22555577388098, 1.0]], ['2, k, 3', [2.780331509845633, 143.20643686032187, 1.0]], ['2, k, 4', [17.650283603381148, 126.72024595600882, 1.0]], ['2, k, 5', [19.79146590082528, 96.36280089533373, 1.0]], ['2, k, 6', [19.21136315832256, 74.21514970723995, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-10.839120348853152, 128.45320500569503, 1.0]], ['2, k, 9', [-20.617763117674063, 105.0701249293611, 1.0]], ['2, k, 10', [-24.54264790202046, 78.85092632926009, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.91312951971578, 78.21362101771888, 1.0]], ['2, k, 13', [4.396129288733976, 45.184888297410836, 1.0]], ['2, k, 14', [-5.078997299357718, 11.62572243857192, 1.0]], ['2, k, 15', [-2.353237139018232, 5.351094634340227, 1.0]], ['2, k, 16', [2.672535259372614, 79.16514287463285, 1.0]], ['2, k, 17', [-4.4658956979743785, 47.22294720828461, 1.0]], ['2, k, 18', [-11.330516104467593, 10.458374150890613, 1.0]], ['2, k, 19', [-4.342618563989082, 6.834971674635973, 1.0]], ['2, k, 20', [3.3750875342754467, 136.22555577388098, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.466346, 78.773712, 1.0]], ['2, k, 1', [5.893550113438397, 111.55494382804446, 1.0]], ['2, k, 2', [3.8487199845852604, 136.24291405924254, 1.0]], ['2, k, 3', [3.316373229726115, 143.22486437075267, 1.0]], ['2, k, 4', [18.139799349140386, 126.77282195797883, 1.0]], ['2, k, 5', [20.361680208121832, 96.42405951500774, 1.0]], ['2, k, 6', [19.64136720559418, 74.28294018796963, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-10.404440168018992, 128.556272895061, 1.0]], ['2, k, 9', [-20.118820131286178, 105.10744058748466, 1.0]], ['2, k, 10', [-24.298284073306185, 78.986618782173, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.938930699495007, 78.2026641407671, 1.0]], ['2, k, 13', [4.492086729657489, 44.74500260076083, 1.0]], ['2, k, 14', [-4.751436694015391, 11.529493385835707, 1.0]], ['2, k, 15', [-2.0145539477898584, 5.192492718718349, 1.0]], ['2, k, 16', [2.6254904677471433, 79.19591544021024, 1.0]], ['2, k, 17', [-4.359352794904874, 47.176323125831736, 1.0]], ['2, k, 18', [-11.152040304043759, 10.328977662773006, 1.0]], ['2, k, 19', [-4.221965956131682, 6.777772878015511, 1.0]], ['2, k, 20', [3.8487199845852604, 136.24291405924254, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.392472, 78.741832, 1.0]], ['2, k, 1', [6.147506557218959, 111.54957336167158, 1.0]], ['2, k, 2', [4.303167358193108, 136.2473706953253, 1.0]], ['2, k, 3', [3.848447422440377, 143.23255411306363, 1.0]], ['2, k, 4', [18.625908514017624, 126.82927492216211, 1.0]], ['2, k, 5', [20.96839929165172, 96.49398659543793, 1.0]], ['2, k, 6', [20.09448466603122, 74.36003231377535, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-9.975423509030067, 128.64560456529463, 1.0]], ['2, k, 9', [-19.66122976271017, 105.13852335598818, 1.0]], ['2, k, 10', [-24.03594605126212, 78.98353381400644, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.845779562953354, 78.13111006108974, 1.0]], ['2, k, 13', [4.559041262914917, 44.32926785140221, 1.0]], ['2, k, 14', [-4.472738643940195, 11.416188624870188, 1.0]], ['2, k, 15', [-1.745800191036964, 5.073007359875079, 1.0]], ['2, k, 16', [2.5232185301879797, 79.17855621059347, 1.0]], ['2, k, 17', [-4.181498885336956, 47.07140315516235, 1.0]], ['2, k, 18', [-10.877863750013864, 10.165603440858533, 1.0]], ['2, k, 19', [-4.002953589190722, 6.664136295999871, 1.0]], ['2, k, 20', [4.303167358193108, 136.2473706953253, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [8.1989, 78.695174, 1.0]], ['2, k, 1', [6.2722898396016165, 111.53812334623073, 1.0]], ['2, k, 2', [4.6483928476438985, 136.24773386915535, 1.0]], ['2, k, 3', [4.269873719931369, 143.2366591566944, 1.0]], ['2, k, 4', [19.017595841286965, 126.89661980973696, 1.0]], ['2, k, 5', [21.529903144598745, 96.58097410289764, 1.0]], ['2, k, 6', [20.45743204658034, 74.05986745871672, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-9.646281108779561, 128.721428832093, 1.0]], ['2, k, 9', [-19.316987435798165, 105.14410765910243, 1.0]], ['2, k, 10', [-23.845757261818058, 79.03539543018098, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [13.623283096928905, 78.04460054893309, 1.0]], ['2, k, 13', [4.5546574810370455, 43.82100406410575, 1.0]], ['2, k, 14', [-4.224618512053478, 11.320217182967355, 1.0]], ['2, k, 15', [-1.50885810429901, 4.9880869974665245, 1.0]], ['2, k, 16', [2.3493253580088993, 79.15614973228094, 1.0]], ['2, k, 17', [-4.044044362615852, 46.951691873593234, 1.0]], ['2, k, 18', [-10.666576285888745, 10.080702222745899, 1.0]], ['2, k, 19', [-3.8360159384465113, 6.322875341512304, 1.0]], ['2, k, 20', [4.6483928476438985, 136.24773386915535, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
