[['2, k, 0', [-0.147662, -0.23033, 1.0]], ['2, k, 1', [-0.141813, 0.102441, 1.0]], ['2, k, 2', [-0.135231, 0.42537, 1.0]], ['2, k, 3', [-0.131681, 0.585964, 1.0]], ['2, k, 4', [-0.330268, 0.311517, 1.0]], ['2, k, 5', [-0.435795, 0.124336, 1.0]], ['2, k, 6', [-0.484316, -0.0654161, 1.0]], ['2, k, 7', [-0.478909, -0.141154, 1.0]], ['2, k, 8', [0.0432971, 0.310114, 1.0]], ['2, k, 9', [0.148189, 0.125042, 1.0]], ['2, k, 10', [0.2058, -0.0413514, 1.0]], ['2, k, 11', [0.198368, -0.109158, 1.0]], ['2, k, 12', [-0.230662, -0.226389, 1.0]], ['2, k, 13', [-0.256583, -0.642577, 1.0]], ['2, k, 14', [-0.289194, -1.00983, 1.0]], ['2, k, 15', [-0.342773, -1.09375, 1.0]], ['2, k, 16', [-0.0600601, -0.227122, 1.0]], ['2, k, 17', [0.0201345, -0.628867, 1.0]], ['2, k, 18', [0.0762749, -1.03036, 1.0]], ['2, k, 19', [0.103516, -1.08789, 1.0]], ['2, k, 20', [-0.137007, 0.346054, 1.0]], ['2, k, 21', [-0.464254, -0.189296, 1.0]], ['2, k, 22', [-0.412964, -0.170516, 1.0]], ['2, k, 23', [0.194161, -0.152832, 1.0]], ['2, k, 24', [0.228932, -0.114201, 1.0]]]
[['2, k, 0', [-0.14773, -0.23103, 1.0]], ['2, k, 1', [-0.141759, 0.102333, 1.0]], ['2, k, 2', [-0.135041, 0.425504, 1.0]], ['2, k, 3', [-0.131798, 0.586041, 1.0]], ['2, k, 4', [-0.330199, 0.311757, 1.0]], ['2, k, 5', [-0.436465, 0.113021, 1.0]], ['2, k, 6', [-0.482475, -0.0013404, 1.0]], ['2, k, 7', [-0.466513, -0.103208, 1.0]], ['2, k, 8', [0.0432123, 0.310139, 1.0]], ['2, k, 9', [0.147827, 0.151985, 1.0]], ['2, k, 10', [0.204849, 0.015861, 1.0]], ['2, k, 11', [0.1891, -0.0692858, 1.0]], ['2, k, 12', [-0.230724, -0.226945, 1.0]], ['2, k, 13', [-0.256469, -0.642642, 1.0]], ['2, k, 14', [-0.292943, -1.01818, 1.0]], ['2, k, 15', [-0.34159, -1.09425, 1.0]], ['2, k, 16', [-0.0601292, -0.227954, 1.0]], ['2, k, 17', [0.0201347, -0.62887, 1.0]], ['2, k, 18', [0.0755693, -1.03499, 1.0]], ['2, k, 19', [0.104585, -1.08869, 1.0]], ['2, k, 20', [-0.136877, 0.346108, 1.0]], ['2, k, 21', [-0.454566, -0.124955, 1.0]], ['2, k, 22', [-0.413052, -0.124654, 1.0]], ['2, k, 23', [0.170402, -0.0926682, 1.0]], ['2, k, 24', [0.224999, -0.0502249, 1.0]]]
[['2, k, 0', [-0.144503, -0.225779, 1.0]], ['2, k, 1', [-0.140495, 0.103792, 1.0]], ['2, k, 2', [-0.13453, 0.425558, 1.0]], ['2, k, 3', [-0.132341, 0.585697, 1.0]], ['2, k, 4', [-0.327999, 0.312729, 1.0]], ['2, k, 5', [-0.426462, 0.181954, 1.0]], ['2, k, 6', [-0.473101, 0.0785619, 1.0]], ['2, k, 7', [-0.464831, -0.0307145, 1.0]], ['2, k, 8', [0.0419332, 0.310616, 1.0]], ['2, k, 9', [0.144135, 0.166094, 1.0]], ['2, k, 10', [0.205223, 0.0819319, 1.0]], ['2, k, 11', [0.189966, -0.000195223, 1.0]], ['2, k, 12', [-0.227559, -0.221735, 1.0]], ['2, k, 13', [-0.25662, -0.642506, 1.0]], ['2, k, 14', [-0.292718, -1.01913, 1.0]], ['2, k, 15', [-0.341278, -1.09408, 1.0]], ['2, k, 16', [-0.0569342, -0.222811, 1.0]], ['2, k, 17', [0.0202654, -0.628575, 1.0]], ['2, k, 18', [0.0750616, -1.03584, 1.0]], ['2, k, 19', [0.104472, -1.08852, 1.0]], ['2, k, 20', [-0.13628, 0.346395, 1.0]], ['2, k, 21', [-0.448184, -0.0546457, 1.0]], ['2, k, 22', [-0.419032, -0.0332147, 1.0]], ['2, k, 23', [0.163317, -0.0246847, 1.0]], ['2, k, 24', [0.22578, 0.00918386, 1.0]]]
[['2, k, 0', [-0.14382, -0.215296, 1.0]], ['2, k, 1', [-0.140235, 0.107451, 1.0]], ['2, k, 2', [-0.134683, 0.425914, 1.0]], ['2, k, 3', [-0.132299, 0.586161, 1.0]], ['2, k, 4', [-0.322539, 0.319601, 1.0]], ['2, k, 5', [-0.418541, 0.200436, 1.0]], ['2, k, 6', [-0.466624, 0.149942, 1.0]], ['2, k, 7', [-0.463912, 0.0471388, 1.0]], ['2, k, 8', [0.0408972, 0.311486, 1.0]], ['2, k, 9', [0.113914, 0.213641, 1.0]], ['2, k, 10', [0.16814, 0.144436, 1.0]], ['2, k, 11', [0.189441, 0.0717068, 1.0]], ['2, k, 12', [-0.226625, -0.208621, 1.0]], ['2, k, 13', [-0.256835, -0.642204, 1.0]], ['2, k, 14', [-0.292021, -1.01854, 1.0]], ['2, k, 15', [-0.341114, -1.0936, 1.0]], ['2, k, 16', [-0.0565009, -0.214825, 1.0]], ['2, k, 17', [0.0205613, -0.628494, 1.0]], ['2, k, 18', [0.0746668, -1.0359, 1.0]], ['2, k, 19', [0.104139, -1.08831, 1.0]], ['2, k, 20', [-0.136323, 0.347272, 1.0]], ['2, k, 21', [-0.429006, 0.0201639, 1.0]], ['2, k, 22', [-0.409739, 0.0308941, 1.0]], ['2, k, 23', [0.152378, 0.0476898, 1.0]], ['2, k, 24', [0.226982, 0.0766507, 1.0]]]
[['2, k, 0', [-0.141631, -0.204517, 1.0]], ['2, k, 1', [-0.13849, 0.114488, 1.0]], ['2, k, 2', [-0.134013, 0.427677, 1.0]], ['2, k, 3', [-0.132143, 0.587307, 1.0]], ['2, k, 4', [-0.314827, 0.328366, 1.0]], ['2, k, 5', [-0.383426, 0.253938, 1.0]], ['2, k, 6', [-0.428053, 0.196611, 1.0]], ['2, k, 7', [-0.459274, 0.127691, 1.0]], ['2, k, 8', [0.0292764, 0.3287, 1.0]], ['2, k, 9', [0.109235, 0.257032, 1.0]], ['2, k, 10', [0.156516, 0.199671, 1.0]], ['2, k, 11', [0.193531, 0.146128, 1.0]], ['2, k, 12', [-0.224564, -0.200902, 1.0]], ['2, k, 13', [-0.2566, -0.642743, 1.0]], ['2, k, 14', [-0.291073, -1.01646, 1.0]], ['2, k, 15', [-0.340903, -1.0932, 1.0]], ['2, k, 16', [-0.054405, -0.201399, 1.0]], ['2, k, 17', [0.020834, -0.628333, 1.0]], ['2, k, 18', [0.0744446, -1.03533, 1.0]], ['2, k, 19', [0.103629, -1.08715, 1.0]], ['2, k, 20', [-0.135382, 0.350174, 1.0]], ['2, k, 21', [-0.44501, 0.0994944, 1.0]], ['2, k, 22', [-0.406104, 0.105449, 1.0]], ['2, k, 23', [0.163799, 0.126415, 1.0]], ['2, k, 24', [0.229517, 0.152322, 1.0]]]
[['2, k, 0', [-0.141835, -0.239079, 1.0]], ['2, k, 1', [-0.13959, 0.110604, 1.0]], ['2, k, 2', [-0.135981, 0.43025, 1.0]], ['2, k, 3', [-0.131838, 0.58736, 1.0]], ['2, k, 4', [-0.294467, 0.369655, 1.0]], ['2, k, 5', [-0.372476, 0.318122, 1.0]], ['2, k, 6', [-0.412508, 0.255408, 1.0]], ['2, k, 7', [-0.452712, 0.207237, 1.0]], ['2, k, 8', [0.023874, 0.366374, 1.0]], ['2, k, 9', [0.113342, 0.24502, 1.0]], ['2, k, 10', [0.13873, 0.260786, 1.0]], ['2, k, 11', [0.190714, 0.217827, 1.0]], ['2, k, 12', [-0.223278, -0.2358, 1.0]], ['2, k, 13', [-0.257215, -0.647333, 1.0]], ['2, k, 14', [-0.290745, -1.01614, 1.0]], ['2, k, 15', [-0.340882, -1.09317, 1.0]], ['2, k, 16', [-0.0560078, -0.235369, 1.0]], ['2, k, 17', [0.0221172, -0.634599, 1.0]], ['2, k, 18', [0.0743601, -1.03534, 1.0]], ['2, k, 19', [0.103701, -1.08718, 1.0]], ['2, k, 20', [-0.136474, 0.350989, 1.0]], ['2, k, 21', [-0.445437, 0.193756, 1.0]], ['2, k, 22', [-0.37956, 0.205853, 1.0]], ['2, k, 23', [0.177446, 0.208069, 1.0]], ['2, k, 24', [0.221276, 0.194622, 1.0]]]
[['2, k, 0', [-0.141008, -0.238978, 1.0]], ['2, k, 1', [-0.140037, 0.110272, 1.0]], ['2, k, 2', [-0.141421, 0.436779, 1.0]], ['2, k, 3', [-0.133961, 0.574642, 1.0]], ['2, k, 4', [-0.299578, 0.282573, 1.0]], ['2, k, 5', [-0.409008, 0.297505, 1.0]], ['2, k, 6', [-0.432042, 0.288107, 1.0]], ['2, k, 7', [-0.455727, 0.284971, 1.0]], ['2, k, 8', [0.0260592, 0.286886, 1.0]], ['2, k, 9', [0.167505, 0.29006, 1.0]], ['2, k, 10', [0.212901, 0.263043, 1.0]], ['2, k, 11', [0.200511, 0.292192, 1.0]], ['2, k, 12', [-0.221625, -0.235742, 1.0]], ['2, k, 13', [-0.257248, -0.64769, 1.0]], ['2, k, 14', [-0.29058, -1.01607, 1.0]], ['2, k, 15', [-0.339604, -1.0922, 1.0]], ['2, k, 16', [-0.0556778, -0.235222, 1.0]], ['2, k, 17', [0.0224217, -0.635251, 1.0]], ['2, k, 18', [0.073599, -1.03245, 1.0]], ['2, k, 19', [0.103646, -1.08411, 1.0]], ['2, k, 20', [-0.140343, 0.355151, 1.0]], ['2, k, 21', [-0.446307, 0.282983, 1.0]], ['2, k, 22', [-0.37563, 0.284754, 1.0]], ['2, k, 23', [0.157609, 0.282111, 1.0]], ['2, k, 24', [0.233395, 0.298362, 1.0]]]
[['2, k, 0', [-0.140804, -0.199976, 1.0]], ['2, k, 1', [-0.139966, 0.112209, 1.0]], ['2, k, 2', [-0.140528, 0.433688, 1.0]], ['2, k, 3', [-0.130769, 0.610001, 1.0]], ['2, k, 4', [-0.313018, 0.339519, 1.0]], ['2, k, 5', [-0.411604, 0.336511, 1.0]], ['2, k, 6', [-0.433037, 0.351932, 1.0]], ['2, k, 7', [-0.460101, 0.363158, 1.0]], ['2, k, 8', [0.0345717, 0.343091, 1.0]], ['2, k, 9', [0.159545, 0.320897, 1.0]], ['2, k, 10', [0.209583, 0.319318, 1.0]], ['2, k, 11', [0.202943, 0.362546, 1.0]], ['2, k, 12', [-0.219464, -0.198256, 1.0]], ['2, k, 13', [-0.256779, -0.645041, 1.0]], ['2, k, 14', [-0.290301, -1.01571, 1.0]], ['2, k, 15', [-0.339084, -1.09166, 1.0]], ['2, k, 16', [-0.0578119, -0.195141, 1.0]], ['2, k, 17', [0.0223581, -0.634186, 1.0]], ['2, k, 18', [0.0735611, -1.03244, 1.0]], ['2, k, 19', [0.103786, -1.08469, 1.0]], ['2, k, 20', [-0.140099, 0.35444, 1.0]], ['2, k, 21', [-0.447573, 0.368481, 1.0]], ['2, k, 22', [-0.404214, 0.355805, 1.0]], ['2, k, 23', [0.19085, 0.371976, 1.0]], ['2, k, 24', [0.240047, 0.361362, 1.0]]]
[['2, k, 0', [-0.140599, -0.199978, 1.0]], ['2, k, 1', [-0.139991, 0.113422, 1.0]], ['2, k, 2', [-0.140646, 0.433209, 1.0]], ['2, k, 3', [-0.132751, 0.588899, 1.0]], ['2, k, 4', [-0.313, 0.339396, 1.0]], ['2, k, 5', [-0.415077, 0.375855, 1.0]], ['2, k, 6', [-0.463441, 0.400423, 1.0]], ['2, k, 7', [-0.461325, 0.437442, 1.0]], ['2, k, 8', [0.0346098, 0.342918, 1.0]], ['2, k, 9', [0.162289, 0.360339, 1.0]], ['2, k, 10', [0.215811, 0.377731, 1.0]], ['2, k, 11', [0.202876, 0.429355, 1.0]], ['2, k, 12', [-0.21921, -0.198226, 1.0]], ['2, k, 13', [-0.256436, -0.643754, 1.0]], ['2, k, 14', [-0.29018, -1.01557, 1.0]], ['2, k, 15', [-0.339117, -1.09171, 1.0]], ['2, k, 16', [-0.0576561, -0.195214, 1.0]], ['2, k, 17', [0.0222893, -0.633285, 1.0]], ['2, k, 18', [0.0731307, -1.03296, 1.0]], ['2, k, 19', [0.106831, -1.09317, 1.0]], ['2, k, 20', [-0.140216, 0.354341, 1.0]], ['2, k, 21', [-0.442816, 0.444844, 1.0]], ['2, k, 22', [-0.409766, 0.421346, 1.0]], ['2, k, 23', [0.194972, 0.446195, 1.0]], ['2, k, 24', [0.243362, 0.428925, 1.0]]]
[['2, k, 0', [-0.140263, -0.200391, 1.0]], ['2, k, 1', [-0.139939, 0.114342, 1.0]], ['2, k, 2', [-0.140726, 0.433198, 1.0]], ['2, k, 3', [-0.133658, 0.569485, 1.0]], ['2, k, 4', [-0.313069, 0.339677, 1.0]], ['2, k, 5', [-0.41556, 0.393264, 1.0]], ['2, k, 6', [-0.467364, 0.457231, 1.0]], ['2, k, 7', [-0.461848, 0.508327, 1.0]], ['2, k, 8', [0.0355808, 0.343532, 1.0]], ['2, k, 9', [0.174287, 0.390002, 1.0]], ['2, k, 10', [0.20376, 0.449039, 1.0]], ['2, k, 11', [0.202072, 0.493008, 1.0]], ['2, k, 12', [-0.218918, -0.198539, 1.0]], ['2, k, 13', [-0.2562, -0.642093, 1.0]], ['2, k, 14', [-0.289929, -1.01542, 1.0]], ['2, k, 15', [-0.339013, -1.09159, 1.0]], ['2, k, 16', [-0.057233, -0.195873, 1.0]], ['2, k, 17', [0.0222792, -0.637728, 1.0]], ['2, k, 18', [0.0731893, -1.03327, 1.0]], ['2, k, 19', [0.105909, -1.09186, 1.0]], ['2, k, 20', [-0.140335, 0.354658, 1.0]], ['2, k, 21', [-0.439506, 0.519375, 1.0]], ['2, k, 22', [-0.407771, 0.49176, 1.0]], ['2, k, 23', [0.195163, 0.513918, 1.0]], ['2, k, 24', [0.241242, 0.487069, 1.0]]]
[['2, k, 0', [-0.140238, -0.200099, 1.0]], ['2, k, 1', [-0.140064, 0.116343, 1.0]], ['2, k, 2', [-0.140589, 0.433341, 1.0]], ['2, k, 3', [-0.133571, 0.57333, 1.0]], ['2, k, 4', [-0.313154, 0.341796, 1.0]], ['2, k, 5', [-0.411154, 0.417869, 1.0]], ['2, k, 6', [-0.460507, 0.508598, 1.0]], ['2, k, 7', [-0.461812, 0.574881, 1.0]], ['2, k, 8', [0.0359573, 0.343495, 1.0]], ['2, k, 9', [0.171857, 0.414188, 1.0]], ['2, k, 10', [0.208757, 0.496337, 1.0]], ['2, k, 11', [0.199652, 0.554874, 1.0]], ['2, k, 12', [-0.219081, -0.198044, 1.0]], ['2, k, 13', [-0.255882, -0.640998, 1.0]], ['2, k, 14', [-0.289916, -1.01403, 1.0]], ['2, k, 15', [-0.33915, -1.09149, 1.0]], ['2, k, 16', [-0.0571301, -0.19571, 1.0]], ['2, k, 17', [0.0216888, -0.634601, 1.0]], ['2, k, 18', [0.0730819, -1.03312, 1.0]], ['2, k, 19', [0.105883, -1.09155, 1.0]], ['2, k, 20', [-0.140329, 0.355247, 1.0]], ['2, k, 21', [-0.441174, 0.592478, 1.0]], ['2, k, 22', [-0.423914, 0.542641, 1.0]], ['2, k, 23', [0.182792, 0.584397, 1.0]], ['2, k, 24', [0.239814, 0.562483, 1.0]]]
