[['2, k, 0', [-0.283956, -0.343803, 1.0]], ['2, k, 1', [-0.29498, -0.282885, 1.0]], ['2, k, 2', [-0.304864, -0.222137, 1.0]], ['2, k, 3', [-0.315455, -0.105399, 1.0]], ['2, k, 4', [-0.46292, -0.270222, 1.0]], ['2, k, 5', [-0.522115, -0.301237, 1.0]], ['2, k, 6', [-0.546908, -0.353798, 1.0]], ['2, k, 7', [-0.589795, -0.383718, 1.0]], ['2, k, 8', [-0.187997, -0.287073, 1.0]], ['2, k, 9', [-0.0515081, -0.330819, 1.0]], ['2, k, 10', [0.0351807, -0.347567, 1.0]], ['2, k, 11', [0.0713748, -0.3467, 1.0]], ['2, k, 12', [-0.343652, -0.336638, 1.0]], ['2, k, 13', [-0.570952, -0.356962, 1.0]], ['2, k, 14', [-0.410932, -0.427025, 1.0]], ['2, k, 15', [-0.448178, -0.415265, 1.0]], ['2, k, 16', [-0.21874, -0.344283, 1.0]], ['2, k, 17', [-0.485475, -0.352299, 1.0]], ['2, k, 18', [-0.559132, -0.375058, 1.0]], ['2, k, 19', [-0.551413, -0.341142, 1.0]], ['2, k, 20', [-0.302603, -0.237354, 1.0]], ['2, k, 21', [-0.602652, -0.394147, 1.0]], ['2, k, 22', [-0.639478, -0.378311, 1.0]], ['2, k, 23', [0.106164, -0.347939, 1.0]], ['2, k, 24', [0.0818239, -0.318872, 1.0]]]
[['2, k, 0', [-0.573195, -0.450093, 1.0]], ['2, k, 1', [-0.409054, -0.340214, 1.0]], ['2, k, 2', [-0.246279, -0.231042, 1.0]], ['2, k, 3', [-0.295267, -0.120141, 1.0]], ['2, k, 4', [-0.45348, -0.248029, 1.0]], ['2, k, 5', [-0.491266, -0.275613, 1.0]], ['2, k, 6', [-0.537197, -0.305819, 1.0]], ['2, k, 7', [-0.588343, -0.326877, 1.0]], ['2, k, 8', [-0.200375, -0.272965, 1.0]], ['2, k, 9', [-0.0673257, -0.32544, 1.0]], ['2, k, 10', [0.0447146, -0.287942, 1.0]], ['2, k, 11', [0.122365, -0.31698, 1.0]], ['2, k, 12', [-0.63042, -0.440302, 1.0]], ['2, k, 13', [-0.414549, -0.279513, 1.0]], ['2, k, 14', [-0.0752853, -0.260677, 1.0]], ['2, k, 15', [-0.0034972, -0.281829, 1.0]], ['2, k, 16', [-0.505716, -0.451842, 1.0]], ['2, k, 17', [-0.489269, -0.192497, 1.0]], ['2, k, 18', [-0.146094, -0.171286, 1.0]], ['2, k, 19', [-0.0718544, -0.211383, 1.0]], ['2, k, 20', [-0.294277, -0.247977, 1.0]], ['2, k, 21', [-0.603863, -0.332935, 1.0]], ['2, k, 22', [-0.641271, -0.324466, 1.0]], ['2, k, 23', [0.15981, -0.328128, 1.0]], ['2, k, 24', [0.146858, -0.293406, 1.0]]]
[['2, k, 0', [-0.363042, -0.21843, 1.0]], ['2, k, 1', [-0.286409, -0.219843, 1.0]], ['2, k, 2', [-0.210151, -0.220559, 1.0]], ['2, k, 3', [-0.2749, -0.125394, 1.0]], ['2, k, 4', [-0.414965, -0.231485, 1.0]], ['2, k, 5', [-0.478729, -0.250704, 1.0]], ['2, k, 6', [-0.530273, -0.261663, 1.0]], ['2, k, 7', [-0.59196, -0.270636, 1.0]], ['2, k, 8', [-0.172236, -0.253777, 1.0]], ['2, k, 9', [-0.0524986, -0.256979, 1.0]], ['2, k, 10', [0.048635, -0.249932, 1.0]], ['2, k, 11', [0.118055, -0.261194, 1.0]], ['2, k, 12', [-0.419637, -0.210902, 1.0]], ['2, k, 13', [-0.341318, 0.0563787, 1.0]], ['2, k, 14', [-0.506914, -0.172558, 1.0]], ['2, k, 15', [-0.539875, -0.147045, 1.0]], ['2, k, 16', [-0.299839, -0.222, 1.0]], ['2, k, 17', [-0.518918, -0.251882, 1.0]], ['2, k, 18', [-0.262571, -0.269747, 1.0]], ['2, k, 19', [-0.215221, -0.192319, 1.0]], ['2, k, 20', [-0.229213, -0.220513, 1.0]], ['2, k, 21', [-0.603821, -0.278375, 1.0]], ['2, k, 22', [-0.636158, -0.265612, 1.0]], ['2, k, 23', [0.16291, -0.278922, 1.0]], ['2, k, 24', [0.142231, -0.236654, 1.0]]]
[['2, k, 0', [-0.459272, -0.0951623, 1.0]], ['2, k, 1', [-0.368932, -0.0759147, 1.0]], ['2, k, 2', [-0.278819, -0.0567241, 1.0]], ['2, k, 3', [-0.344346, 0.0421397, 1.0]], ['2, k, 4', [-0.483529, -0.0678957, 1.0]], ['2, k, 5', [-0.549657, -0.0898614, 1.0]], ['2, k, 6', [-0.59077, -0.0934089, 1.0]], ['2, k, 7', [-0.633258, -0.125046, 1.0]], ['2, k, 8', [-0.240805, -0.0901782, 1.0]], ['2, k, 9', [-0.358901, -0.135461, 1.0]], ['2, k, 10', [-0.301718, -0.0206916, 1.0]], ['2, k, 11', [-0.287602, -0.0320582, 1.0]], ['2, k, 12', [-0.526232, -0.0662471, 1.0]], ['2, k, 13', [-0.269786, 0.00823009, 1.0]], ['2, k, 14', [-0.342523, -0.227221, 1.0]], ['2, k, 15', [-0.348022, -0.278239, 1.0]], ['2, k, 16', [-0.38418, -0.122364, 1.0]], ['2, k, 17', [-0.204322, -0.0198209, 1.0]], ['2, k, 18', [-0.308564, -0.242256, 1.0]], ['2, k, 19', [-0.318561, -0.295513, 1.0]], ['2, k, 20', [-0.301373, -0.0615257, 1.0]], ['2, k, 21', [-0.645124, -0.133259, 1.0]], ['2, k, 22', [-0.677476, -0.121126, 1.0]], ['2, k, 23', [-0.281248, -0.0237574, 1.0]], ['2, k, 24', [-0.296546, -0.0142215, 1.0]]]
[['2, k, 0', [-0.29201, -0.778067, 1.0]], ['2, k, 1', [-0.303848, -0.48276, 1.0]], ['2, k, 2', [-0.314045, -0.191266, 1.0]], ['2, k, 3', [-0.308659, -0.0496104, 1.0]], ['2, k, 4', [-0.455305, -0.251138, 1.0]], ['2, k, 5', [-0.619204, -0.0447231, 1.0]], ['2, k, 6', [-0.654556, 0.171419, 1.0]], ['2, k, 7', [-0.649569, 0.224834, 1.0]], ['2, k, 8', [-0.154707, -0.232869, 1.0]], ['2, k, 9', [-0.000116295, -0.0234869, 1.0]], ['2, k, 10', [0.0834437, 0.18314, 1.0]], ['2, k, 11', [0.0742626, 0.235223, 1.0]], ['2, k, 12', [-0.35699, -0.773158, 1.0]], ['2, k, 13', [-0.410879, -1.07292, 1.0]], ['2, k, 14', [-0.457895, -1.45323, 1.0]], ['2, k, 15', [-0.418457, -1.54297, 1.0]], ['2, k, 16', [-0.22023, -0.764861, 1.0]], ['2, k, 17', [-0.146086, -1.06165, 1.0]], ['2, k, 18', [-0.122402, -1.4443, 1.0]], ['2, k, 19', [-0.105094, -1.49084, 1.0]], ['2, k, 20', [-0.311781, -0.263674, 1.0]], ['2, k, 21', [-0.644663, 0.271098, 1.0]], ['2, k, 22', [-0.690361, 0.209023, 1.0]], ['2, k, 23', [0.0804917, 0.291568, 1.0]], ['2, k, 24', [0.107105, 0.238493, 1.0]]]
[['2, k, 0', [-0.29712, -0.751221, 1.0]], ['2, k, 1', [-0.306029, -0.475982, 1.0]], ['2, k, 2', [-0.314239, -0.191395, 1.0]], ['2, k, 3', [-0.308382, -0.0495318, 1.0]], ['2, k, 4', [-0.455545, -0.250441, 1.0]], ['2, k, 5', [-0.61958, -0.0439842, 1.0]], ['2, k, 6', [-0.657568, 0.172749, 1.0]], ['2, k, 7', [-0.654307, 0.229426, 1.0]], ['2, k, 8', [-0.154557, -0.23255, 1.0]], ['2, k, 9', [-0.00154073, -0.0235026, 1.0]], ['2, k, 10', [0.080685, 0.182922, 1.0]], ['2, k, 11', [0.0689999, 0.242477, 1.0]], ['2, k, 12', [-0.362134, -0.746227, 1.0]], ['2, k, 13', [-0.412623, -1.16318, 1.0]], ['2, k, 14', [-0.418052, -1.52225, 1.0]], ['2, k, 15', [-0.383187, -1.56308, 1.0]], ['2, k, 16', [-0.2252, -0.738757, 1.0]], ['2, k, 17', [-0.159453, -1.03818, 1.0]], ['2, k, 18', [-0.128038, -1.35192, 1.0]], ['2, k, 19', [-0.107367, -1.40274, 1.0]], ['2, k, 20', [-0.31226, -0.263335, 1.0]], ['2, k, 21', [-0.65324, 0.281284, 1.0]], ['2, k, 22', [-0.693142, 0.204375, 1.0]], ['2, k, 23', [0.0697745, 0.295551, 1.0]], ['2, k, 24', [0.102486, 0.228406, 1.0]]]
[['2, k, 0', [-0.290502, -0.741948, 1.0]], ['2, k, 1', [-0.303487, -0.467919, 1.0]], ['2, k, 2', [-0.314312, -0.19112, 1.0]], ['2, k, 3', [-0.308235, -0.0488878, 1.0]], ['2, k, 4', [-0.457367, -0.250125, 1.0]], ['2, k, 5', [-0.618103, -0.0416034, 1.0]], ['2, k, 6', [-0.654397, 0.18968, 1.0]], ['2, k, 7', [-0.655627, 0.2408, 1.0]], ['2, k, 8', [-0.15388, -0.230605, 1.0]], ['2, k, 9', [-0.000968978, -0.00584006, 1.0]], ['2, k, 10', [0.0721859, 0.203547, 1.0]], ['2, k, 11', [0.0623151, 0.257437, 1.0]], ['2, k, 12', [-0.356091, -0.738669, 1.0]], ['2, k, 13', [-0.401519, -1.09383, 1.0]], ['2, k, 14', [-0.42887, -1.3789, 1.0]], ['2, k, 15', [-0.394397, -1.48664, 1.0]], ['2, k, 16', [-0.218185, -0.727934, 1.0]], ['2, k, 17', [-0.161122, -1.10866, 1.0]], ['2, k, 18', [-0.137174, -1.4968, 1.0]], ['2, k, 19', [-0.161769, -1.57906, 1.0]], ['2, k, 20', [-0.312236, -0.261742, 1.0]], ['2, k, 21', [-0.654135, 0.284386, 1.0]], ['2, k, 22', [-0.693393, 0.219792, 1.0]], ['2, k, 23', [0.058885, 0.306319, 1.0]], ['2, k, 24', [0.100159, 0.246152, 1.0]]]
[['2, k, 0', [-0.288156, -0.737968, 1.0]], ['2, k, 1', [-0.303021, -0.463844, 1.0]], ['2, k, 2', [-0.31525, -0.189693, 1.0]], ['2, k, 3', [-0.30829, -0.0486017, 1.0]], ['2, k, 4', [-0.458194, -0.248858, 1.0]], ['2, k, 5', [-0.617967, -0.0336576, 1.0]], ['2, k, 6', [-0.655508, 0.191962, 1.0]], ['2, k, 7', [-0.661128, 0.246117, 1.0]], ['2, k, 8', [-0.153656, -0.226704, 1.0]], ['2, k, 9', [-0.0141675, -0.00905932, 1.0]], ['2, k, 10', [0.0672217, 0.197077, 1.0]], ['2, k, 11', [0.0565788, 0.261727, 1.0]], ['2, k, 12', [-0.353717, -0.735035, 1.0]], ['2, k, 13', [-0.401505, -1.09422, 1.0]], ['2, k, 14', [-0.449131, -1.44235, 1.0]], ['2, k, 15', [-0.388551, -1.53899, 1.0]], ['2, k, 16', [-0.216001, -0.723899, 1.0]], ['2, k, 17', [-0.161371, -1.10647, 1.0]], ['2, k, 18', [-0.139139, -1.51118, 1.0]], ['2, k, 19', [-0.16141, -1.57889, 1.0]], ['2, k, 20', [-0.312938, -0.259217, 1.0]], ['2, k, 21', [-0.668638, 0.295503, 1.0]], ['2, k, 22', [-0.701742, 0.232049, 1.0]], ['2, k, 23', [0.0624865, 0.308578, 1.0]], ['2, k, 24', [0.0912158, 0.242954, 1.0]]]
[['2, k, 0', [-0.286737, -0.73228, 1.0]], ['2, k, 1', [-0.30288, -0.46093, 1.0]], ['2, k, 2', [-0.315627, -0.189452, 1.0]], ['2, k, 3', [-0.30846, -0.0483636, 1.0]], ['2, k, 4', [-0.458683, -0.247865, 1.0]], ['2, k, 5', [-0.615777, -0.0277469, 1.0]], ['2, k, 6', [-0.656566, 0.198379, 1.0]], ['2, k, 7', [-0.663629, 0.254251, 1.0]], ['2, k, 8', [-0.154011, -0.226174, 1.0]], ['2, k, 9', [-0.0104054, 0.00150119, 1.0]], ['2, k, 10', [0.0657629, 0.20978, 1.0]], ['2, k, 11', [0.0559755, 0.26185, 1.0]], ['2, k, 12', [-0.352254, -0.728865, 1.0]], ['2, k, 13', [-0.401406, -1.09429, 1.0]], ['2, k, 14', [-0.437823, -1.43047, 1.0]], ['2, k, 15', [-0.386892, -1.53209, 1.0]], ['2, k, 16', [-0.214692, -0.718931, 1.0]], ['2, k, 17', [-0.161373, -1.1063, 1.0]], ['2, k, 18', [-0.134961, -1.51753, 1.0]], ['2, k, 19', [-0.161647, -1.5822, 1.0]], ['2, k, 20', [-0.3133, -0.258294, 1.0]], ['2, k, 21', [-0.670281, 0.298637, 1.0]], ['2, k, 22', [-0.701589, 0.228387, 1.0]], ['2, k, 23', [0.0569718, 0.311674, 1.0]], ['2, k, 24', [0.0943407, 0.262416, 1.0]]]
[['2, k, 0', [-0.285854, -0.729465, 1.0]], ['2, k, 1', [-0.302758, -0.458549, 1.0]], ['2, k, 2', [-0.316192, -0.188788, 1.0]], ['2, k, 3', [-0.308676, -0.0479582, 1.0]], ['2, k, 4', [-0.463501, -0.24064, 1.0]], ['2, k, 5', [-0.612963, -0.0252926, 1.0]], ['2, k, 6', [-0.656914, 0.202982, 1.0]], ['2, k, 7', [-0.667019, 0.257317, 1.0]], ['2, k, 8', [-0.155516, -0.224462, 1.0]], ['2, k, 9', [-0.00977857, 0.00861123, 1.0]], ['2, k, 10', [0.0600716, 0.217479, 1.0]], ['2, k, 11', [0.0517627, 0.261153, 1.0]], ['2, k, 12', [-0.351443, -0.725402, 1.0]], ['2, k, 13', [-0.401544, -1.09462, 1.0]], ['2, k, 14', [-0.436934, -1.44334, 1.0]], ['2, k, 15', [-0.386551, -1.5409, 1.0]], ['2, k, 16', [-0.213778, -0.716788, 1.0]], ['2, k, 17', [-0.16119, -1.10617, 1.0]], ['2, k, 18', [-0.138294, -1.52251, 1.0]], ['2, k, 19', [-0.153041, -1.58058, 1.0]], ['2, k, 20', [-0.313767, -0.256863, 1.0]], ['2, k, 21', [-0.676744, 0.304176, 1.0]], ['2, k, 22', [-0.711316, 0.245174, 1.0]], ['2, k, 23', [0.0517039, 0.30986, 1.0]], ['2, k, 24', [0.0853844, 0.256663, 1.0]]]
[['2, k, 0', [-0.285414, -0.727532, 1.0]], ['2, k, 1', [-0.302495, -0.455408, 1.0]], ['2, k, 2', [-0.316681, -0.185758, 1.0]], ['2, k, 3', [-0.309129, -0.0474923, 1.0]], ['2, k, 4', [-0.46406, -0.239299, 1.0]], ['2, k, 5', [-0.611043, -0.0219876, 1.0]], ['2, k, 6', [-0.658429, 0.202769, 1.0]], ['2, k, 7', [-0.670452, 0.255522, 1.0]], ['2, k, 8', [-0.156266, -0.222787, 1.0]], ['2, k, 9', [-0.0212321, -0.000566298, 1.0]], ['2, k, 10', [0.0542087, 0.205314, 1.0]], ['2, k, 11', [0.0509113, 0.264766, 1.0]], ['2, k, 12', [-0.351093, -0.723453, 1.0]], ['2, k, 13', [-0.401444, -1.09452, 1.0]], ['2, k, 14', [-0.436746, -1.48361, 1.0]], ['2, k, 15', [-0.37563, -1.55615, 1.0]], ['2, k, 16', [-0.213259, -0.71495, 1.0]], ['2, k, 17', [-0.161203, -1.10524, 1.0]], ['2, k, 18', [-0.135191, -1.52935, 1.0]], ['2, k, 19', [-0.152814, -1.58228, 1.0]], ['2, k, 20', [-0.313927, -0.253207, 1.0]], ['2, k, 21', [-0.682495, 0.308149, 1.0]], ['2, k, 22', [-0.706966, 0.257401, 1.0]], ['2, k, 23', [0.0501285, 0.30769, 1.0]], ['2, k, 24', [0.0826657, 0.248792, 1.0]]]
