[['2, k, 0', [-14.04141, 86.53284, 1.0]], ['2, k, 1', [-11.129091501714953, 117.1028604452512, 1.0]], ['2, k, 2', [-8.940940353995847, 140.26542570220707, 1.0]], ['2, k, 3', [-8.309454134061522, 146.86122797133163, 1.0]], ['2, k, 4', [7.007979363896815, 134.26938724788133, 1.0]], ['2, k, 5', [18.141341577736096, 109.59036457389256, 1.0]], ['2, k, 6', [21.78484654496407, 84.14679608681536, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.357145505233074, 133.83936811695457, 1.0]], ['2, k, 9', [-29.13991715422647, 102.47510946888217, 1.0]], ['2, k, 10', [-29.93512946248176, 79.38142654040523, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.288874980776471, 86.51550942587822, 1.0]], ['2, k, 13', [0.43455645033417234, 48.15558618854969, 1.0]], ['2, k, 14', [6.055264748617509, 13.3497297602092, 1.0]], ['2, k, 15', [-0.07370462091128438, 10.097383320185902, 1.0]], ['2, k, 16', [-19.436608968650788, 86.40170297211093, 1.0]], ['2, k, 17', [-10.781673387838275, 46.36749628277504, 1.0]], ['2, k, 18', [-1.3060754516605861, 11.26880224143607, 1.0]], ['2, k, 19', [-7.272597275260518, 8.149708642732167, 1.0]], ['2, k, 20', [-8.940940353995847, 140.26542570220707, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.033226666666666, 86.57837666666666, 1.0]], ['2, k, 1', [-11.105292398869631, 117.1140906408804, 1.0]], ['2, k, 2', [-8.890523607335107, 140.25828774636076, 1.0]], ['2, k, 3', [-8.248752966780632, 146.84441834020384, 1.0]], ['2, k, 4', [7.077530870978571, 134.24998784100964, 1.0]], ['2, k, 5', [18.316753228533894, 109.13399378313214, 1.0]], ['2, k, 6', [21.90014493860101, 84.06655212432398, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.079726261358132, 133.75209997497612, 1.0]], ['2, k, 9', [-29.846963899616966, 102.38546454450321, 1.0]], ['2, k, 10', [-30.076373229779758, 79.1705833284972, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.274688598587549, 86.61638076134926, 1.0]], ['2, k, 13', [0.3789045400340605, 48.14113576180383, 1.0]], ['2, k, 14', [5.954087524678751, 13.270412543172348, 1.0]], ['2, k, 15', [-0.2560727344385638, 10.018674036905747, 1.0]], ['2, k, 16', [-19.425139029380787, 86.43199436671726, 1.0]], ['2, k, 17', [-10.894070780239476, 46.37772002411153, 1.0]], ['2, k, 18', [-1.4825343902398949, 11.14148632076084, 1.0]], ['2, k, 19', [-4.0384639019182185, 4.795870178848458, 1.0]], ['2, k, 20', [-8.890523607335107, 140.25828774636076, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.016175999999998, 86.57703999999998, 1.0]], ['2, k, 1', [-11.061798093618675, 117.10485603205572, 1.0]], ['2, k, 2', [-8.821816463631011, 140.23817363952492, 1.0]], ['2, k, 3', [-8.172966725446498, 146.8201203710685, 1.0]], ['2, k, 4', [7.1356077133312406, 134.24819731791044, 1.0]], ['2, k, 5', [18.34311150269892, 109.27374139606104, 1.0]], ['2, k, 6', [21.92265937579226, 84.08982108574513, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.191062300448223, 133.6932726765794, 1.0]], ['2, k, 9', [-29.94808682069744, 102.32495383729841, 1.0]], ['2, k, 10', [-30.017096899688863, 79.06835026877069, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.230662843014986, 86.61240212284675, 1.0]], ['2, k, 13', [0.30722313600796625, 48.092546699509434, 1.0]], ['2, k, 14', [5.905460283600808, 13.191409478601535, 1.0]], ['2, k, 15', [-0.3271836509823469, 9.941927637834622, 1.0]], ['2, k, 16', [-19.42384892409818, 86.39927498727529, 1.0]], ['2, k, 17', [-10.873090093591077, 46.36422175463557, 1.0]], ['2, k, 18', [-1.413141830159418, 11.101257855722409, 1.0]], ['2, k, 19', [-3.4649093978766548, 4.320226600369468, 1.0]], ['2, k, 20', [-8.821816463631011, 140.23817363952492, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.01521, 86.59118799999999, 1.0]], ['2, k, 1', [-11.044635186338791, 117.10559966556139, 1.0]], ['2, k, 2', [-8.79040055790696, 140.2279940435034, 1.0]], ['2, k, 3', [-8.137583370177925, 146.8058016570404, 1.0]], ['2, k, 4', [7.176431691310367, 134.26051762655666, 1.0]], ['2, k, 5', [18.396139965277545, 109.29371276316743, 1.0]], ['2, k, 6', [21.984485025076417, 84.06807800317432, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.46913103701406, 133.6889543173796, 1.0]], ['2, k, 9', [-30.21993180035497, 102.31958883688071, 1.0]], ['2, k, 10', [-30.31052654221163, 79.00452713286674, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.213555315452826, 86.63693476996795, 1.0]], ['2, k, 13', [0.2665341111458499, 48.06848374171013, 1.0]], ['2, k, 14', [5.877340679160748, 13.131692933404892, 1.0]], ['2, k, 15', [-0.3655860892371976, 9.887154496184065, 1.0]], ['2, k, 16', [-19.44109713358853, 86.40081286709697, 1.0]], ['2, k, 17', [-10.886102775888824, 46.36758914545965, 1.0]], ['2, k, 18', [-1.451770134142146, 11.053416941701464, 1.0]], ['2, k, 19', [-3.088396263414754, 5.1580157946887235, 1.0]], ['2, k, 20', [-8.79040055790696, 140.2279940435034, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.005405999999999, 86.59101799999999, 1.0]], ['2, k, 1', [-11.013999923697373, 117.09939353380472, 1.0]], ['2, k, 2', [-8.739512760837972, 140.21327766796406, 1.0]], ['2, k, 3', [-8.081149973295137, 146.78928330861655, 1.0]], ['2, k, 4', [7.232922169256647, 134.27497260828503, 1.0]], ['2, k, 5', [18.350725637980407, 109.47901406300167, 1.0]], ['2, k, 6', [21.969768389424893, 84.0694155517605, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.276657580025375, 133.87695615819985, 1.0]], ['2, k, 9', [-30.03711199308489, 102.50896860065131, 1.0]], ['2, k, 10', [-30.009219899316445, 79.18281078251182, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.18666576035453, 86.62965536137001, 1.0]], ['2, k, 13', [0.2353974140870143, 48.05843290193685, 1.0]], ['2, k, 14', [5.8409611892513595, 13.083763302511827, 1.0]], ['2, k, 15', [-0.4413992816515204, 9.836851061372968, 1.0]], ['2, k, 16', [-19.455556760495092, 86.39438935358146, 1.0]], ['2, k, 17', [-10.90679519668589, 46.36138523721602, 1.0]], ['2, k, 18', [-1.484379146702988, 11.021952809977016, 1.0]], ['2, k, 19', [-3.096558365630756, 4.593061374439968, 1.0]], ['2, k, 20', [-8.739512760837972, 140.21327766796406, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-13.993348000000001, 86.57772, 1.0]], ['2, k, 1', [-10.983150458653617, 117.09103522725786, 1.0]], ['2, k, 2', [-8.694882552691377, 140.20257326600958, 1.0]], ['2, k, 3', [-8.033515067913648, 146.77767403509648, 1.0]], ['2, k, 4', [7.295475655841775, 134.28493610552957, 1.0]], ['2, k, 5', [18.303501262908703, 109.5460852482972, 1.0]], ['2, k, 6', [21.967377753415494, 84.06270501633463, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.25064524335297, 134.2126670135247, 1.0]], ['2, k, 9', [-29.972041249786734, 102.83880343302059, 1.0]], ['2, k, 10', [-29.434935882159735, 79.51770905035592, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.16217171731541, 86.60512987856778, 1.0]], ['2, k, 13', [0.24739984256029146, 48.06109640495611, 1.0]], ['2, k, 14', [5.86009228255419, 13.052389426513741, 1.0]], ['2, k, 15', [-0.49244176910132076, 9.798983572198091, 1.0]], ['2, k, 16', [-19.47202702473272, 86.37587172764916, 1.0]], ['2, k, 17', [-10.94374966255351, 46.33932089108084, 1.0]], ['2, k, 18', [-1.531473055059653, 10.975857551287014, 1.0]], ['2, k, 19', [-3.100573989349194, 4.218067872049958, 1.0]], ['2, k, 20', [-8.694882552691377, 140.20257326600958, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.004538, 86.606882, 1.0]], ['2, k, 1', [-10.986776913934214, 117.10357459640673, 1.0]], ['2, k, 2', [-8.684065809861089, 140.20695627968107, 1.0]], ['2, k, 3', [-8.018080886583082, 146.77996389796473, 1.0]], ['2, k, 4', [7.322186313494072, 134.30929162947146, 1.0]], ['2, k, 5', [18.293129931327265, 109.61176813809553, 1.0]], ['2, k, 6', [21.963418931622304, 84.04697454467465, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.49796315598661, 133.92241739200327, 1.0]], ['2, k, 9', [-30.239196201357856, 102.5494107376491, 1.0]], ['2, k, 10', [-29.78264361207641, 79.13490265812084, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.16533848421817, 86.65063494726422, 1.0]], ['2, k, 13', [0.18238611247915593, 48.05670577651253, 1.0]], ['2, k, 14', [5.8016460766753415, 12.98201418154187, 1.0]], ['2, k, 15', [-0.4964409091093245, 9.74275322120993, 1.0]], ['2, k, 16', [-19.49830503987865, 86.41091398531977, 1.0]], ['2, k, 17', [-10.992687900002709, 46.36262121023376, 1.0]], ['2, k, 18', [-1.578672318385573, 10.933085826596454, 1.0]], ['2, k, 19', [-3.1450063923392104, 4.022343132130919, 1.0]], ['2, k, 20', [-8.684065809861089, 140.20695627968107, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-14.005928, 86.63963199999998, 1.0]], ['2, k, 1', [-10.985857894387491, 117.11385535939849, 1.0]], ['2, k, 2', [-8.677109148910805, 140.20587497697403, 1.0]], ['2, k, 3', [-8.009356806262959, 146.77513648295061, 1.0]], ['2, k, 4', [7.342825266828211, 134.32638175735605, 1.0]], ['2, k, 5', [18.31465309071314, 109.56631986518397, 1.0]], ['2, k, 6', [21.96396169897679, 84.07084163157626, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.891083492385995, 133.7717916624072, 1.0]], ['2, k, 9', [-30.644690349402634, 102.39774600122107, 1.0]], ['2, k, 10', [-30.098311864986407, 78.83173419391856, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.192520668964868, 86.7022620530065, 1.0]], ['2, k, 13', [0.12032813968344946, 47.99970931807456, 1.0]], ['2, k, 14', [5.729862676501567, 12.91674675456786, 1.0]], ['2, k, 15', [-0.5326282789205408, 9.690351483254645, 1.0]], ['2, k, 16', [-19.4743680603503, 86.44634168471656, 1.0]], ['2, k, 17', [-10.978337800947639, 46.39519115706504, 1.0]], ['2, k, 18', [-1.5494369149803315, 10.888721546454853, 1.0]], ['2, k, 19', [-3.173964592916054, 3.8634391800556696, 1.0]], ['2, k, 20', [-8.677109148910805, 140.20587497697403, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-13.999649999999999, 86.66759199999998, 1.0]], ['2, k, 1', [-10.981457863042024, 117.12057415393285, 1.0]], ['2, k, 2', [-8.670752113709668, 140.2011931475055, 1.0]], ['2, k, 3', [-8.00265771515434, 146.76677328855743, 1.0]], ['2, k, 4', [7.363441453166466, 134.33838033265556, 1.0]], ['2, k, 5', [18.354219495253588, 109.49270117001234, 1.0]], ['2, k, 6', [21.97994726497561, 84.14911258944339, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-26.08865127702529, 133.64507194602442, 1.0]], ['2, k, 9', [-30.846745732019304, 102.27143971163696, 1.0]], ['2, k, 10', [-30.27851745605498, 78.67229755703151, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.216664375516604, 86.74492468098819, 1.0]], ['2, k, 13', [0.08226816897963474, 47.94089409219896, 1.0]], ['2, k, 14', [5.6830247314172135, 12.863345043193867, 1.0]], ['2, k, 15', [-0.5688558804108892, 9.638892244738633, 1.0]], ['2, k, 16', [-19.437609414746383, 86.47448378824245, 1.0]], ['2, k, 17', [-10.934882752107905, 46.42431039753096, 1.0]], ['2, k, 18', [-1.5087303490640096, 10.850594943963323, 1.0]], ['2, k, 19', [-3.1676996676739484, 3.7689962770054377, 1.0]], ['2, k, 20', [-8.670752113709668, 140.2011931475055, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-13.987333999999999, 86.695502, 1.0]], ['2, k, 1', [-10.970331201677402, 117.12733700212083, 1.0]], ['2, k, 2', [-8.655153239173348, 140.19721024170988, 1.0]], ['2, k, 3', [-7.985898557178052, 146.7596023393442, 1.0]], ['2, k, 4', [7.398832979551134, 134.34242742536009, 1.0]], ['2, k, 5', [18.39286498116374, 109.46446734692441, 1.0]], ['2, k, 6', [21.998884075840753, 84.19478940141718, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-26.300165734937284, 133.58513005012588, 1.0]], ['2, k, 9', [-31.06436446824507, 102.21294809475383, 1.0]], ['2, k, 10', [-30.376014129050603, 78.60445744459963, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.186141397538977, 86.78491251755014, 1.0]], ['2, k, 13', [0.09450065388097428, 47.87446869418126, 1.0]], ['2, k, 14', [5.680056974872546, 12.802464605324424, 1.0]], ['2, k, 15', [-0.5722079166459775, 9.579411029247911, 1.0]], ['2, k, 16', [-19.406380302122592, 86.50521145116899, 1.0]], ['2, k, 17', [-10.89560313099937, 46.45706425137714, 1.0]], ['2, k, 18', [-1.4691897198684423, 10.811095876347935, 1.0]], ['2, k, 19', [-3.0530597870614335, 4.072394833163937, 1.0]], ['2, k, 20', [-8.655153239173348, 140.19721024170988, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-13.944486000000001, 86.692006, 1.0]], ['2, k, 1', [-10.925215288744926, 117.10755634771792, 1.0]], ['2, k, 2', [-8.60350472189441, 140.1677777323557, 1.0]], ['2, k, 3', [-7.9324352469860555, 146.7276304606977, 1.0]], ['2, k, 4', [7.454437112743513, 134.3311266930214, 1.0]], ['2, k, 5', [18.46512339094565, 109.36460845011926, 1.0]], ['2, k, 6', [22.057673896586355, 84.13145232030504, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-26.260872048269576, 133.59807979310423, 1.0]], ['2, k, 9', [-31.02305813357949, 102.22600040347122, 1.0]], ['2, k, 10', [-30.254740300065798, 78.61385526392058, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-8.125553405416982, 86.78142514091618, 1.0]], ['2, k, 13', [0.13724070801807997, 47.81303964594579, 1.0]], ['2, k, 14', [5.699585120848215, 12.773891490801816, 1.0]], ['2, k, 15', [-0.5476839752760556, 9.589077165087389, 1.0]], ['2, k, 16', [-19.359716199171082, 86.51143634664102, 1.0]], ['2, k, 17', [-10.843239469344125, 46.46865291518497, 1.0]], ['2, k, 18', [-1.4355082386398923, 10.817810729101303, 1.0]], ['2, k, 19', [-3.031843488853884, 4.150070608090769, 1.0]], ['2, k, 20', [-8.60350472189441, 140.1677777323557, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
