[['2, k, 0', [-0.175954, -0.389328, 1.0]], ['2, k, 1', [-0.184158, -0.087897, 1.0]], ['2, k, 2', [-0.1914, 0.207703, 1.0]], ['2, k, 3', [-0.176396, 0.354945, 1.0]], ['2, k, 4', [-0.362174, 0.111968, 1.0]], ['2, k, 5', [-0.465062, -0.145594, 1.0]], ['2, k, 6', [-0.517166, -0.387259, 1.0]], ['2, k, 7', [-0.514434, -0.451011, 1.0]], ['2, k, 8', [-0.010978, 0.094097, 1.0]], ['2, k, 9', [0.101031, -0.157351, 1.0]], ['2, k, 10', [0.158592, -0.384361, 1.0]], ['2, k, 11', [0.147881, -0.448373, 1.0]], ['2, k, 12', [-0.253834, -0.38077, 1.0]], ['2, k, 13', [-0.284776, -0.847888, 1.0]], ['2, k, 14', [-0.284865, -1.17794, 1.0]], ['2, k, 15', [-0.202344, -1.26991, 1.0]], ['2, k, 16', [-0.0940178, -0.388916, 1.0]], ['2, k, 17', [-0.0460069, -0.836669, 1.0]], ['2, k, 18', [0.00174301, -1.20174, 1.0]], ['2, k, 19', [0.0670225, -1.27516, 1.0]], ['2, k, 20', [-0.189757, 0.134602, 1.0]], ['2, k, 21', [-0.511904, -0.509024, 1.0]], ['2, k, 22', [-0.404161, -0.474165, 1.0]], ['2, k, 23', [0.139116, -0.50031, 1.0]], ['2, k, 24', [0.216363, -0.465159, 1.0]]]
[['2, k, 0', [-0.175697, -0.39439, 1.0]], ['2, k, 1', [-0.184018, -0.0890805, 1.0]], ['2, k, 2', [-0.191361, 0.207768, 1.0]], ['2, k, 3', [-0.17632, 0.355789, 1.0]], ['2, k, 4', [-0.362199, 0.112198, 1.0]], ['2, k, 5', [-0.464649, -0.146051, 1.0]], ['2, k, 6', [-0.517183, -0.387099, 1.0]], ['2, k, 7', [-0.517159, -0.450697, 1.0]], ['2, k, 8', [-0.010894, 0.0942833, 1.0]], ['2, k, 9', [0.100764, -0.157262, 1.0]], ['2, k, 10', [0.158222, -0.384074, 1.0]], ['2, k, 11', [0.147621, -0.450456, 1.0]], ['2, k, 12', [-0.253579, -0.385792, 1.0]], ['2, k, 13', [-0.284498, -0.845103, 1.0]], ['2, k, 14', [-0.281578, -1.1806, 1.0]], ['2, k, 15', [-0.198991, -1.26449, 1.0]], ['2, k, 16', [-0.093752, -0.393871, 1.0]], ['2, k, 17', [-0.0459669, -0.837471, 1.0]], ['2, k, 18', [0.000364804, -1.20144, 1.0]], ['2, k, 19', [0.0274254, -1.2809, 1.0]], ['2, k, 20', [-0.189711, 0.134555, 1.0]], ['2, k, 21', [-0.518152, -0.508395, 1.0]], ['2, k, 22', [-0.421356, -0.473787, 1.0]], ['2, k, 23', [0.146247, -0.499236, 1.0]], ['2, k, 24', [0.212606, -0.4437, 1.0]]]
[['2, k, 0', [-0.175638, -0.398094, 1.0]], ['2, k, 1', [-0.183735, -0.0906391, 1.0]], ['2, k, 2', [-0.191171, 0.207688, 1.0]], ['2, k, 3', [-0.17654, 0.355815, 1.0]], ['2, k, 4', [-0.362167, 0.112016, 1.0]], ['2, k, 5', [-0.464665, -0.146172, 1.0]], ['2, k, 6', [-0.51702, -0.387075, 1.0]], ['2, k, 7', [-0.517493, -0.448846, 1.0]], ['2, k, 8', [-0.0108286, 0.0937346, 1.0]], ['2, k, 9', [0.10065, -0.15726, 1.0]], ['2, k, 10', [0.157947, -0.384129, 1.0]], ['2, k, 11', [0.144029, -0.450388, 1.0]], ['2, k, 12', [-0.253514, -0.389306, 1.0]], ['2, k, 13', [-0.284785, -0.839904, 1.0]], ['2, k, 14', [-0.281628, -1.1807, 1.0]], ['2, k, 15', [-0.219649, -1.26652, 1.0]], ['2, k, 16', [-0.093686, -0.397736, 1.0]], ['2, k, 17', [-0.045618, -0.838285, 1.0]], ['2, k, 18', [-0.00121939, -1.20723, 1.0]], ['2, k, 19', [0.0184573, -1.27812, 1.0]], ['2, k, 20', [-0.189489, 0.134269, 1.0]], ['2, k, 21', [-0.517392, -0.503022, 1.0]], ['2, k, 22', [-0.419526, -0.473665, 1.0]], ['2, k, 23', [0.140556, -0.501002, 1.0]], ['2, k, 24', [0.0491292, -0.474539, 1.0]]]
[['2, k, 0', [-0.175511, -0.398178, 1.0]], ['2, k, 1', [-0.18373, -0.0908217, 1.0]], ['2, k, 2', [-0.191221, 0.207669, 1.0]], ['2, k, 3', [-0.176651, 0.355906, 1.0]], ['2, k, 4', [-0.362177, 0.11202, 1.0]], ['2, k, 5', [-0.464888, -0.146595, 1.0]], ['2, k, 6', [-0.516699, -0.386669, 1.0]], ['2, k, 7', [-0.518154, -0.450955, 1.0]], ['2, k, 8', [-0.0114653, 0.0951298, 1.0]], ['2, k, 9', [0.100592, -0.157331, 1.0]], ['2, k, 10', [0.1576, -0.383202, 1.0]], ['2, k, 11', [0.144311, -0.45127, 1.0]], ['2, k, 12', [-0.253394, -0.389514, 1.0]], ['2, k, 13', [-0.284304, -0.838722, 1.0]], ['2, k, 14', [-0.285703, -1.18412, 1.0]], ['2, k, 15', [-0.223192, -1.26579, 1.0]], ['2, k, 16', [-0.0935273, -0.397668, 1.0]], ['2, k, 17', [-0.0454474, -0.838065, 1.0]], ['2, k, 18', [-0.00777689, -1.20671, 1.0]], ['2, k, 19', [-0.0179244, -1.28199, 1.0]], ['2, k, 20', [-0.189535, 0.134199, 1.0]], ['2, k, 21', [-0.51723, -0.507963, 1.0]], ['2, k, 22', [-0.419009, -0.472933, 1.0]], ['2, k, 23', [0.143463, -0.49919, 1.0]], ['2, k, 24', [0.0510459, -0.474221, 1.0]]]
[['2, k, 0', [-0.175557, -0.399119, 1.0]], ['2, k, 1', [-0.183721, -0.0911689, 1.0]], ['2, k, 2', [-0.191177, 0.207752, 1.0]], ['2, k, 3', [-0.17673, 0.356191, 1.0]], ['2, k, 4', [-0.362169, 0.112022, 1.0]], ['2, k, 5', [-0.464591, -0.14669, 1.0]], ['2, k, 6', [-0.516447, -0.386701, 1.0]], ['2, k, 7', [-0.518286, -0.451166, 1.0]], ['2, k, 8', [-0.0113981, 0.0951843, 1.0]], ['2, k, 9', [0.10067, -0.15734, 1.0]], ['2, k, 10', [0.156978, -0.383414, 1.0]], ['2, k, 11', [0.144546, -0.449645, 1.0]], ['2, k, 12', [-0.253444, -0.390578, 1.0]], ['2, k, 13', [-0.284363, -0.838731, 1.0]], ['2, k, 14', [-0.285138, -1.18366, 1.0]], ['2, k, 15', [-0.212201, -1.27881, 1.0]], ['2, k, 16', [-0.093566, -0.398448, 1.0]], ['2, k, 17', [-0.0456421, -0.81247, 1.0]], ['2, k, 18', [-0.00761529, -1.20442, 1.0]], ['2, k, 19', [0.0667229, -1.27647, 1.0]], ['2, k, 20', [-0.189513, 0.134193, 1.0]], ['2, k, 21', [-0.522046, -0.506539, 1.0]], ['2, k, 22', [-0.417622, -0.473745, 1.0]], ['2, k, 23', [0.144964, -0.496164, 1.0]], ['2, k, 24', [0.0518515, -0.473134, 1.0]]]
[['2, k, 0', [-0.175091, -0.402039, 1.0]], ['2, k, 1', [-0.183524, -0.0925132, 1.0]], ['2, k, 2', [-0.191138, 0.20768, 1.0]], ['2, k, 3', [-0.177143, 0.355972, 1.0]], ['2, k, 4', [-0.362319, 0.111965, 1.0]], ['2, k, 5', [-0.464765, -0.149006, 1.0]], ['2, k, 6', [-0.516163, -0.387008, 1.0]], ['2, k, 7', [-0.515842, -0.451735, 1.0]], ['2, k, 8', [-0.0115629, 0.0943359, 1.0]], ['2, k, 9', [0.100693, -0.156996, 1.0]], ['2, k, 10', [0.157, -0.383419, 1.0]], ['2, k, 11', [0.144779, -0.450464, 1.0]], ['2, k, 12', [-0.252995, -0.392999, 1.0]], ['2, k, 13', [-0.284445, -0.838507, 1.0]], ['2, k, 14', [-0.284827, -1.1831, 1.0]], ['2, k, 15', [-0.185112, -1.27851, 1.0]], ['2, k, 16', [-0.0930994, -0.401807, 1.0]], ['2, k, 17', [-0.042897, -0.828731, 1.0]], ['2, k, 18', [-0.00798799, -1.20416, 1.0]], ['2, k, 19', [-0.0259375, -1.2773, 1.0]], ['2, k, 20', [-0.189446, 0.133934, 1.0]], ['2, k, 21', [-0.516817, -0.509014, 1.0]], ['2, k, 22', [-0.420384, -0.475929, 1.0]], ['2, k, 23', [0.145679, -0.499939, 1.0]], ['2, k, 24', [0.0520967, -0.470351, 1.0]]]
[['2, k, 0', [-0.174992, -0.402385, 1.0]], ['2, k, 1', [-0.183542, -0.0927022, 1.0]], ['2, k, 2', [-0.191215, 0.207812, 1.0]], ['2, k, 3', [-0.177104, 0.356136, 1.0]], ['2, k, 4', [-0.362426, 0.111985, 1.0]], ['2, k, 5', [-0.46475, -0.148977, 1.0]], ['2, k, 6', [-0.515993, -0.386834, 1.0]], ['2, k, 7', [-0.516749, -0.45143, 1.0]], ['2, k, 8', [-0.0115764, 0.0943922, 1.0]], ['2, k, 9', [0.100223, -0.156458, 1.0]], ['2, k, 10', [0.156995, -0.383441, 1.0]], ['2, k, 11', [0.145833, -0.449923, 1.0]], ['2, k, 12', [-0.252875, -0.393444, 1.0]], ['2, k, 13', [-0.284576, -0.838174, 1.0]], ['2, k, 14', [-0.282317, -1.18254, 1.0]], ['2, k, 15', [-0.183573, -1.28093, 1.0]], ['2, k, 16', [-0.093018, -0.402041, 1.0]], ['2, k, 17', [-0.0435186, -0.831844, 1.0]], ['2, k, 18', [-0.00622529, -1.21411, 1.0]], ['2, k, 19', [0.0218811, -1.28418, 1.0]], ['2, k, 20', [-0.189499, 0.133965, 1.0]], ['2, k, 21', [-0.51868, -0.509696, 1.0]], ['2, k, 22', [-0.418531, -0.472896, 1.0]], ['2, k, 23', [0.14564, -0.500194, 1.0]], ['2, k, 24', [0.0515738, -0.472447, 1.0]]]
[['2, k, 0', [-0.174606, -0.403262, 1.0]], ['2, k, 1', [-0.18338, -0.0932179, 1.0]], ['2, k, 2', [-0.191204, 0.207819, 1.0]], ['2, k, 3', [-0.177382, 0.35615, 1.0]], ['2, k, 4', [-0.362504, 0.112363, 1.0]], ['2, k, 5', [-0.464186, -0.148501, 1.0]], ['2, k, 6', [-0.515865, -0.38691, 1.0]], ['2, k, 7', [-0.516495, -0.451562, 1.0]], ['2, k, 8', [-0.0116863, 0.0957517, 1.0]], ['2, k, 9', [0.0993801, -0.155413, 1.0]], ['2, k, 10', [0.157009, -0.383433, 1.0]], ['2, k, 11', [0.159202, -0.451703, 1.0]], ['2, k, 12', [-0.252431, -0.394663, 1.0]], ['2, k, 13', [-0.28462, -0.837056, 1.0]], ['2, k, 14', [-0.282001, -1.18342, 1.0]], ['2, k, 15', [-0.186947, -1.28546, 1.0]], ['2, k, 16', [-0.0926974, -0.402594, 1.0]], ['2, k, 17', [-0.043705, -0.832093, 1.0]], ['2, k, 18', [-0.00656205, -1.21064, 1.0]], ['2, k, 19', [0.021307, -1.28302, 1.0]], ['2, k, 20', [-0.189463, 0.133879, 1.0]], ['2, k, 21', [-0.519681, -0.503396, 1.0]], ['2, k, 22', [-0.420711, -0.475883, 1.0]], ['2, k, 23', [0.175337, -0.493476, 1.0]], ['2, k, 24', [0.0901482, -0.473307, 1.0]]]
[['2, k, 0', [-0.174603, -0.403314, 1.0]], ['2, k, 1', [-0.183383, -0.0934683, 1.0]], ['2, k, 2', [-0.191218, 0.207673, 1.0]], ['2, k, 3', [-0.177608, 0.355863, 1.0]], ['2, k, 4', [-0.362587, 0.112171, 1.0]], ['2, k, 5', [-0.464053, -0.148288, 1.0]], ['2, k, 6', [-0.515353, -0.386903, 1.0]], ['2, k, 7', [-0.515352, -0.452778, 1.0]], ['2, k, 8', [-0.0120329, 0.0966643, 1.0]], ['2, k, 9', [0.0993775, -0.155525, 1.0]], ['2, k, 10', [0.157161, -0.383487, 1.0]], ['2, k, 11', [0.147199, -0.451969, 1.0]], ['2, k, 12', [-0.252429, -0.394859, 1.0]], ['2, k, 13', [-0.284558, -0.837234, 1.0]], ['2, k, 14', [-0.282274, -1.18379, 1.0]], ['2, k, 15', [-0.327148, -1.26855, 1.0]], ['2, k, 16', [-0.0926842, -0.402541, 1.0]], ['2, k, 17', [-0.0417742, -0.822784, 1.0]], ['2, k, 18', [-0.000674601, -1.20662, 1.0]], ['2, k, 19', [-0.0162028, -1.28404, 1.0]], ['2, k, 20', [-0.189471, 0.133646, 1.0]], ['2, k, 21', [-0.51509, -0.51021, 1.0]], ['2, k, 22', [-0.421404, -0.479508, 1.0]], ['2, k, 23', [0.147661, -0.503271, 1.0]], ['2, k, 24', [0.0522283, -0.470039, 1.0]]]
[['2, k, 0', [-0.174839, -0.403189, 1.0]], ['2, k, 1', [-0.183446, -0.0935247, 1.0]], ['2, k, 2', [-0.19122, 0.207594, 1.0]], ['2, k, 3', [-0.177579, 0.355847, 1.0]], ['2, k, 4', [-0.36278, 0.112165, 1.0]], ['2, k, 5', [-0.46399, -0.149717, 1.0]], ['2, k, 6', [-0.515005, -0.38746, 1.0]], ['2, k, 7', [-0.51597, -0.452266, 1.0]], ['2, k, 8', [-0.0125244, 0.0953016, 1.0]], ['2, k, 9', [0.0995065, -0.155638, 1.0]], ['2, k, 10', [0.157794, -0.3841, 1.0]], ['2, k, 11', [0.150066, -0.451079, 1.0]], ['2, k, 12', [-0.252695, -0.394905, 1.0]], ['2, k, 13', [-0.286681, -0.85154, 1.0]], ['2, k, 14', [-0.282151, -1.18457, 1.0]], ['2, k, 15', [-0.322962, -1.27074, 1.0]], ['2, k, 16', [-0.092948, -0.402088, 1.0]], ['2, k, 17', [-0.0407748, -0.820105, 1.0]], ['2, k, 18', [0.00015911, -1.20482, 1.0]], ['2, k, 19', [0.0496436, -1.26761, 1.0]], ['2, k, 20', [-0.18949, 0.133544, 1.0]], ['2, k, 21', [-0.516773, -0.510808, 1.0]], ['2, k, 22', [-0.41852, -0.475193, 1.0]], ['2, k, 23', [0.152326, -0.497017, 1.0]], ['2, k, 24', [0.0531321, -0.471263, 1.0]]]
[['2, k, 0', [-0.174662, -0.403355, 1.0]], ['2, k, 1', [-0.183197, -0.0939414, 1.0]], ['2, k, 2', [-0.190907, 0.20711, 1.0]], ['2, k, 3', [-0.177577, 0.355955, 1.0]], ['2, k, 4', [-0.362976, 0.110799, 1.0]], ['2, k, 5', [-0.464962, -0.151886, 1.0]], ['2, k, 6', [-0.51348, -0.387493, 1.0]], ['2, k, 7', [-0.513639, -0.449875, 1.0]], ['2, k, 8', [-0.0123949, 0.0906365, 1.0]], ['2, k, 9', [0.0997832, -0.155995, 1.0]], ['2, k, 10', [0.158186, -0.381871, 1.0]], ['2, k, 11', [0.160407, -0.448994, 1.0]], ['2, k, 12', [-0.252516, -0.39491, 1.0]], ['2, k, 13', [-0.28606, -0.850837, 1.0]], ['2, k, 14', [-0.279674, -1.2077, 1.0]], ['2, k, 15', [-0.325553, -1.26744, 1.0]], ['2, k, 16', [-0.0927098, -0.402413, 1.0]], ['2, k, 17', [-0.0415494, -0.825327, 1.0]], ['2, k, 18', [-0.00500569, -1.19031, 1.0]], ['2, k, 19', [-0.0118408, -1.28027, 1.0]], ['2, k, 20', [-0.189169, 0.133005, 1.0]], ['2, k, 21', [-0.513471, -0.509062, 1.0]], ['2, k, 22', [-0.41779, -0.47597, 1.0]], ['2, k, 23', [0.17699, -0.491821, 1.0]], ['2, k, 24', [0.0913917, -0.470651, 1.0]]]
