[['2, k, 0', [-0.311891, -0.770745, 1.0]], ['2, k, 1', [-0.30461, -0.468898, 1.0]], ['2, k, 2', [-0.295818, -0.170876, 1.0]], ['2, k, 3', [-0.288948, -0.0318515, 1.0]], ['2, k, 4', [-0.418807, -0.243785, 1.0]], ['2, k, 5', [-0.493117, -0.241357, 1.0]], ['2, k, 6', [-0.537235, -0.32091, 1.0]], ['2, k, 7', [-0.553309, -0.236428, 1.0]], ['2, k, 8', [-0.142488, -0.23802, 1.0]], ['2, k, 9', [0.00476721, -0.303121, 1.0]], ['2, k, 10', [0.108156, -0.2871, 1.0]], ['2, k, 11', [0.160828, -0.236887, 1.0]], ['2, k, 12', [-0.370826, -0.762398, 1.0]], ['2, k, 13', [-0.406631, -1.02396, 1.0]], ['2, k, 14', [-0.355485, -1.38736, 1.0]], ['2, k, 15', [-0.329052, -1.4317, 1.0]], ['2, k, 16', [-0.245148, -0.7598, 1.0]], ['2, k, 17', [-0.176617, -1.04288, 1.0]], ['2, k, 18', [-0.231472, -1.38636, 1.0]], ['2, k, 19', [-0.22121, -1.42792, 1.0]], ['2, k, 20', [-0.298288, -0.244876, 1.0]], ['2, k, 21', [-0.539885, -0.225634, 1.0]], ['2, k, 22', [-0.586443, -0.230991, 1.0]], ['2, k, 23', [0.203286, -0.228176, 1.0]], ['2, k, 24', [0.0890404, -0.232871, 1.0]]]
[['2, k, 0', [-0.313619, -0.783032, 1.0]], ['2, k, 1', [-0.305052, -0.477581, 1.0]], ['2, k, 2', [-0.295338, -0.17665, 1.0]], ['2, k, 3', [-0.288348, -0.0364128, 1.0]], ['2, k, 4', [-0.420599, -0.251722, 1.0]], ['2, k, 5', [-0.506292, -0.335877, 1.0]], ['2, k, 6', [-0.496343, -0.277521, 1.0]], ['2, k, 7', [-0.525616, -0.24513, 1.0]], ['2, k, 8', [-0.142499, -0.23832, 1.0]], ['2, k, 9', [0.00307806, -0.30509, 1.0]], ['2, k, 10', [0.108366, -0.287007, 1.0]], ['2, k, 11', [0.174144, -0.244524, 1.0]], ['2, k, 12', [-0.372654, -0.778351, 1.0]], ['2, k, 13', [-0.407658, -1.0368, 1.0]], ['2, k, 14', [-0.355477, -1.38736, 1.0]], ['2, k, 15', [-0.328041, -1.43283, 1.0]], ['2, k, 16', [-0.246666, -0.768587, 1.0]], ['2, k, 17', [-0.173173, -1.05038, 1.0]], ['2, k, 18', [-0.230736, -1.38676, 1.0]], ['2, k, 19', [-0.220776, -1.42847, 1.0]], ['2, k, 20', [-0.298008, -0.251313, 1.0]], ['2, k, 21', [-0.543066, -0.237435, 1.0]], ['2, k, 22', [-0.584169, -0.230866, 1.0]], ['2, k, 23', [0.216106, -0.230695, 1.0]], ['2, k, 24', [0.110849, -0.24241, 1.0]]]
[['2, k, 0', [-0.31345, -0.797475, 1.0]], ['2, k, 1', [-0.305153, -0.48974, 1.0]], ['2, k, 2', [-0.29549, -0.186226, 1.0]], ['2, k, 3', [-0.286883, -0.0505838, 1.0]], ['2, k, 4', [-0.423769, -0.29892, 1.0]], ['2, k, 5', [-0.5057, -0.340121, 1.0]], ['2, k, 6', [-0.520747, -0.302917, 1.0]], ['2, k, 7', [-0.530565, -0.258244, 1.0]], ['2, k, 8', [-0.141708, -0.281871, 1.0]], ['2, k, 9', [0.00375476, -0.310434, 1.0]], ['2, k, 10', [0.105159, -0.295702, 1.0]], ['2, k, 11', [0.175291, -0.254407, 1.0]], ['2, k, 12', [-0.372497, -0.790779, 1.0]], ['2, k, 13', [-0.403145, -1.04261, 1.0]], ['2, k, 14', [-0.35384, -1.38667, 1.0]], ['2, k, 15', [-0.326227, -1.43375, 1.0]], ['2, k, 16', [-0.246487, -0.784114, 1.0]], ['2, k, 17', [-0.168031, -1.06121, 1.0]], ['2, k, 18', [-0.231015, -1.38662, 1.0]], ['2, k, 19', [-0.222171, -1.43049, 1.0]], ['2, k, 20', [-0.298164, -0.261553, 1.0]], ['2, k, 21', [-0.545328, -0.254109, 1.0]], ['2, k, 22', [-0.586773, -0.251387, 1.0]], ['2, k, 23', [0.214777, -0.24576, 1.0]], ['2, k, 24', [0.11214, -0.254159, 1.0]]]
[['2, k, 0', [-0.314008, -0.817072, 1.0]], ['2, k, 1', [-0.305229, -0.509707, 1.0]], ['2, k, 2', [-0.294975, -0.206244, 1.0]], ['2, k, 3', [-0.284541, -0.0723235, 1.0]], ['2, k, 4', [-0.423551, -0.299035, 1.0]], ['2, k, 5', [-0.502375, -0.339603, 1.0]], ['2, k, 6', [-0.520885, -0.305554, 1.0]], ['2, k, 7', [-0.530958, -0.268131, 1.0]], ['2, k, 8', [-0.138778, -0.2946, 1.0]], ['2, k, 9', [0.018987, -0.352051, 1.0]], ['2, k, 10', [0.105615, -0.295487, 1.0]], ['2, k, 11', [0.17275, -0.264664, 1.0]], ['2, k, 12', [-0.373298, -0.804617, 1.0]], ['2, k, 13', [-0.393286, -1.04506, 1.0]], ['2, k, 14', [-0.353459, -1.38761, 1.0]], ['2, k, 15', [-0.328076, -1.43683, 1.0]], ['2, k, 16', [-0.246679, -0.809888, 1.0]], ['2, k, 17', [-0.159401, -1.06949, 1.0]], ['2, k, 18', [-0.231577, -1.38742, 1.0]], ['2, k, 19', [-0.246279, -1.45, 1.0]], ['2, k, 20', [-0.297808, -0.281606, 1.0]], ['2, k, 21', [-0.550868, -0.260537, 1.0]], ['2, k, 22', [-0.587453, -0.254685, 1.0]], ['2, k, 23', [0.218484, -0.254607, 1.0]], ['2, k, 24', [0.111858, -0.264758, 1.0]]]
[['2, k, 0', [-0.312473, -0.830918, 1.0]], ['2, k, 1', [-0.303232, -0.525267, 1.0]], ['2, k, 2', [-0.292468, -0.223292, 1.0]], ['2, k, 3', [-0.283243, -0.0921632, 1.0]], ['2, k, 4', [-0.420934, -0.319204, 1.0]], ['2, k, 5', [-0.488107, -0.306748, 1.0]], ['2, k, 6', [-0.521447, -0.299604, 1.0]], ['2, k, 7', [-0.530797, -0.281899, 1.0]], ['2, k, 8', [-0.13742, -0.305009, 1.0]], ['2, k, 9', [0.00520563, -0.297986, 1.0]], ['2, k, 10', [0.122134, -0.29802, 1.0]], ['2, k, 11', [0.18007, -0.277443, 1.0]], ['2, k, 12', [-0.371834, -0.824128, 1.0]], ['2, k, 13', [-0.381681, -1.04937, 1.0]], ['2, k, 14', [-0.351212, -1.38875, 1.0]], ['2, k, 15', [-0.326875, -1.43931, 1.0]], ['2, k, 16', [-0.245339, -0.818008, 1.0]], ['2, k, 17', [-0.159269, -1.06786, 1.0]], ['2, k, 18', [-0.231496, -1.38801, 1.0]], ['2, k, 19', [-0.246394, -1.4487, 1.0]], ['2, k, 20', [-0.295432, -0.298315, 1.0]], ['2, k, 21', [-0.545493, -0.278439, 1.0]], ['2, k, 22', [-0.58711, -0.278263, 1.0]], ['2, k, 23', [0.21922, -0.274386, 1.0]], ['2, k, 24', [0.123494, -0.276807, 1.0]]]
[['2, k, 0', [-0.312565, -0.844447, 1.0]], ['2, k, 1', [-0.300495, -0.542978, 1.0]], ['2, k, 2', [-0.2861, -0.245848, 1.0]], ['2, k, 3', [-0.282529, -0.106902, 1.0]], ['2, k, 4', [-0.422113, -0.331206, 1.0]], ['2, k, 5', [-0.495268, -0.363708, 1.0]], ['2, k, 6', [-0.520855, -0.328236, 1.0]], ['2, k, 7', [-0.530093, -0.295677, 1.0]], ['2, k, 8', [-0.136787, -0.374483, 1.0]], ['2, k, 9', [0.0238598, -0.372343, 1.0]], ['2, k, 10', [0.130721, -0.317709, 1.0]], ['2, k, 11', [0.170226, -0.291456, 1.0]], ['2, k, 12', [-0.372069, -0.828941, 1.0]], ['2, k, 13', [-0.37535, -1.05151, 1.0]], ['2, k, 14', [-0.349276, -1.38916, 1.0]], ['2, k, 15', [-0.330213, -1.44041, 1.0]], ['2, k, 16', [-0.245006, -0.84255, 1.0]], ['2, k, 17', [-0.15223, -1.07782, 1.0]], ['2, k, 18', [-0.231359, -1.38934, 1.0]], ['2, k, 19', [-0.247659, -1.4483, 1.0]], ['2, k, 20', [-0.290047, -0.319619, 1.0]], ['2, k, 21', [-0.543813, -0.290199, 1.0]], ['2, k, 22', [-0.58196, -0.287576, 1.0]], ['2, k, 23', [0.211637, -0.280321, 1.0]], ['2, k, 24', [0.103237, -0.291933, 1.0]]]
[['2, k, 0', [-0.313505, -0.862729, 1.0]], ['2, k, 1', [-0.301256, -0.55161, 1.0]], ['2, k, 2', [-0.286739, -0.24806, 1.0]], ['2, k, 3', [-0.281368, -0.134782, 1.0]], ['2, k, 4', [-0.422192, -0.331655, 1.0]], ['2, k, 5', [-0.495908, -0.363844, 1.0]], ['2, k, 6', [-0.522469, -0.338735, 1.0]], ['2, k, 7', [-0.529944, -0.308194, 1.0]], ['2, k, 8', [-0.136777, -0.375321, 1.0]], ['2, k, 9', [0.0205619, -0.376005, 1.0]], ['2, k, 10', [0.105995, -0.331643, 1.0]], ['2, k, 11', [0.170166, -0.304186, 1.0]], ['2, k, 12', [-0.372968, -0.841423, 1.0]], ['2, k, 13', [-0.36935, -1.05323, 1.0]], ['2, k, 14', [-0.346599, -1.39017, 1.0]], ['2, k, 15', [-0.328085, -1.44166, 1.0]], ['2, k, 16', [-0.245956, -0.862293, 1.0]], ['2, k, 17', [-0.151892, -1.07905, 1.0]], ['2, k, 18', [-0.23137, -1.39036, 1.0]], ['2, k, 19', [-0.246482, -1.44829, 1.0]], ['2, k, 20', [-0.290736, -0.323062, 1.0]], ['2, k, 21', [-0.550094, -0.303488, 1.0]], ['2, k, 22', [-0.580105, -0.296417, 1.0]], ['2, k, 23', [0.213369, -0.299564, 1.0]], ['2, k, 24', [0.104157, -0.304005, 1.0]]]
[['2, k, 0', [-0.316311, -0.878972, 1.0]], ['2, k, 1', [-0.30188, -0.587189, 1.0]], ['2, k, 2', [-0.284167, -0.299899, 1.0]], ['2, k, 3', [-0.280603, -0.160343, 1.0]], ['2, k, 4', [-0.419604, -0.383474, 1.0]], ['2, k, 5', [-0.498973, -0.392847, 1.0]], ['2, k, 6', [-0.520041, -0.352862, 1.0]], ['2, k, 7', [-0.535336, -0.321678, 1.0]], ['2, k, 8', [-0.137078, -0.386454, 1.0]], ['2, k, 9', [0.0104424, -0.400316, 1.0]], ['2, k, 10', [0.118958, -0.352295, 1.0]], ['2, k, 11', [0.174317, -0.318239, 1.0]], ['2, k, 12', [-0.377397, -0.86661, 1.0]], ['2, k, 13', [-0.360428, -1.0636, 1.0]], ['2, k, 14', [-0.34447, -1.3952, 1.0]], ['2, k, 15', [-0.325707, -1.44761, 1.0]], ['2, k, 16', [-0.247594, -0.871418, 1.0]], ['2, k, 17', [-0.153525, -1.0787, 1.0]], ['2, k, 18', [-0.233351, -1.39253, 1.0]], ['2, k, 19', [-0.248727, -1.4477, 1.0]], ['2, k, 20', [-0.288893, -0.372759, 1.0]], ['2, k, 21', [-0.546009, -0.318634, 1.0]], ['2, k, 22', [-0.588592, -0.315706, 1.0]], ['2, k, 23', [0.210348, -0.309873, 1.0]], ['2, k, 24', [0.116479, -0.317719, 1.0]]]
[['2, k, 0', [-0.315043, -0.903568, 1.0]], ['2, k, 1', [-0.30058, -0.606126, 1.0]], ['2, k, 2', [-0.28391, -0.311993, 1.0]], ['2, k, 3', [-0.280356, -0.180861, 1.0]], ['2, k, 4', [-0.41328, -0.413877, 1.0]], ['2, k, 5', [-0.49378, -0.395146, 1.0]], ['2, k, 6', [-0.522065, -0.3695, 1.0]], ['2, k, 7', [-0.533996, -0.334462, 1.0]], ['2, k, 8', [-0.137532, -0.417194, 1.0]], ['2, k, 9', [0.0174873, -0.429016, 1.0]], ['2, k, 10', [0.13652, -0.353876, 1.0]], ['2, k, 11', [0.170488, -0.330851, 1.0]], ['2, k, 12', [-0.375811, -0.891758, 1.0]], ['2, k, 13', [-0.356704, -1.07143, 1.0]], ['2, k, 14', [-0.340742, -1.39454, 1.0]], ['2, k, 15', [-0.337002, -1.45653, 1.0]], ['2, k, 16', [-0.246578, -0.892326, 1.0]], ['2, k, 17', [-0.150736, -1.08279, 1.0]], ['2, k, 18', [-0.235323, -1.39718, 1.0]], ['2, k, 19', [-0.25082, -1.45478, 1.0]], ['2, k, 20', [-0.288413, -0.385042, 1.0]], ['2, k, 21', [-0.546827, -0.329803, 1.0]], ['2, k, 22', [-0.586785, -0.321444, 1.0]], ['2, k, 23', [0.206814, -0.321148, 1.0]], ['2, k, 24', [0.10815, -0.328986, 1.0]]]
[['2, k, 0', [-0.318216, -0.935272, 1.0]], ['2, k, 1', [-0.302668, -0.636365, 1.0]], ['2, k, 2', [-0.285562, -0.33981, 1.0]], ['2, k, 3', [-0.279974, -0.207593, 1.0]], ['2, k, 4', [-0.416853, -0.42522, 1.0]], ['2, k, 5', [-0.497112, -0.423444, 1.0]], ['2, k, 6', [-0.524768, -0.38233, 1.0]], ['2, k, 7', [-0.533593, -0.347534, 1.0]], ['2, k, 8', [-0.136626, -0.442923, 1.0]], ['2, k, 9', [0.0163949, -0.454288, 1.0]], ['2, k, 10', [0.0948008, -0.381068, 1.0]], ['2, k, 11', [0.165428, -0.344189, 1.0]], ['2, k, 12', [-0.378811, -0.917869, 1.0]], ['2, k, 13', [-0.346976, -1.07788, 1.0]], ['2, k, 14', [-0.338112, -1.39855, 1.0]], ['2, k, 15', [-0.333511, -1.45977, 1.0]], ['2, k, 16', [-0.249777, -0.930414, 1.0]], ['2, k, 17', [-0.150621, -1.09262, 1.0]], ['2, k, 18', [-0.23538, -1.39956, 1.0]], ['2, k, 19', [-0.250349, -1.45872, 1.0]], ['2, k, 20', [-0.290116, -0.413704, 1.0]], ['2, k, 21', [-0.549766, -0.341155, 1.0]], ['2, k, 22', [-0.587053, -0.335217, 1.0]], ['2, k, 23', [0.206803, -0.334428, 1.0]], ['2, k, 24', [0.100233, -0.34209, 1.0]]]
[['2, k, 0', [-0.318911, -0.943914, 1.0]], ['2, k, 1', [-0.302256, -0.652259, 1.0]], ['2, k, 2', [-0.283465, -0.365417, 1.0]], ['2, k, 3', [-0.278243, -0.24067, 1.0]], ['2, k, 4', [-0.420311, -0.442104, 1.0]], ['2, k, 5', [-0.487617, -0.464079, 1.0]], ['2, k, 6', [-0.531119, -0.392964, 1.0]], ['2, k, 7', [-0.535969, -0.361056, 1.0]], ['2, k, 8', [-0.133851, -0.456954, 1.0]], ['2, k, 9', [0.0151183, -0.454947, 1.0]], ['2, k, 10', [0.0763442, -0.383175, 1.0]], ['2, k, 11', [0.151799, -0.356442, 1.0]], ['2, k, 12', [-0.379732, -0.928461, 1.0]], ['2, k, 13', [-0.34085, -1.08591, 1.0]], ['2, k, 14', [-0.336038, -1.39894, 1.0]], ['2, k, 15', [-0.343209, -1.46027, 1.0]], ['2, k, 16', [-0.250258, -0.936618, 1.0]], ['2, k, 17', [-0.155398, -1.09394, 1.0]], ['2, k, 18', [-0.238398, -1.40222, 1.0]], ['2, k, 19', [-0.25833, -1.46123, 1.0]], ['2, k, 20', [-0.288487, -0.436611, 1.0]], ['2, k, 21', [-0.549175, -0.348185, 1.0]], ['2, k, 22', [-0.590555, -0.35172, 1.0]], ['2, k, 23', [0.190397, -0.349481, 1.0]], ['2, k, 24', [0.0821919, -0.356617, 1.0]]]
