[['2, k, 0', [0.2510306, 0.06753201, 1.0]], ['2, k, 1', [0.2431103, 0.3849969, 1.0]], ['2, k, 2', [0.2362078, 0.6923384, 1.0]], ['2, k, 3', [0.2602667, 0.8322518, 1.0]], ['2, k, 4', [0.06806222, 0.5685644, 1.0]], ['2, k, 5', [0.02266689, 0.3279091, 1.0]], ['2, k, 6', [0.03071874, 0.1187537, 1.0]], ['2, k, 7', [0.04208746, 0.05377594, 1.0]], ['2, k, 8', [0.4115835, 0.5560808, 1.0]], ['2, k, 9', [0.4762203, 0.3206956, 1.0]], ['2, k, 10', [0.4843318, 0.1124044, 1.0]], ['2, k, 11', [0.4519294, 0.05711621, 1.0]], ['2, k, 12', [0.167896, 0.06402939, 1.0]], ['2, k, 13', [0.1376209, -0.2552866, 1.0]], ['2, k, 14', [0.1253387, -0.5740888, 1.0]], ['2, k, 15', [0.1042822, -0.6359909, 1.0]], ['2, k, 16', [0.3277884, 0.06813617, 1.0]], ['2, k, 17', [0.3729226, -0.2792248, 1.0]], ['2, k, 18', [0.3983279, -0.5856686, 1.0]], ['2, k, 19', [0.4035351, -0.645276, 1.0]], ['2, k, 20', [0.2379729, 0.6168839, 1.0]], ['2, k, 21', [0.04265158, -0.03391798, 1.0]], ['2, k, 22', [0.08271746, 0.05361709, 1.0]], ['2, k, 23', [0.4463735, -0.02308139, 1.0]], ['2, k, 24', [0.4284315, 0.05183303, 1.0]]]
[['2, k, 0', [0.2510821, 0.0674564, 1.0]], ['2, k, 1', [0.2450254, 0.3845948, 1.0]], ['2, k, 2', [0.2414932, 0.6918079, 1.0]], ['2, k, 3', [0.2648444, 0.8323563, 1.0]], ['2, k, 4', [0.07257586, 0.5692642, 1.0]], ['2, k, 5', [0.0226204, 0.3279482, 1.0]], ['2, k, 6', [0.01094029, 0.1197483, 1.0]], ['2, k, 7', [0.02227654, 0.05470778, 1.0]], ['2, k, 8', [0.4138514, 0.5548075, 1.0]], ['2, k, 9', [0.4749478, 0.3225962, 1.0]], ['2, k, 10', [0.4730654, 0.1148005, 1.0]], ['2, k, 11', [0.4493683, 0.05745772, 1.0]], ['2, k, 12', [0.1679554, 0.06408685, 1.0]], ['2, k, 13', [0.1375332, -0.2552051, 1.0]], ['2, k, 14', [0.1253308, -0.5741842, 1.0]], ['2, k, 15', [0.1021447, -0.6357507, 1.0]], ['2, k, 16', [0.3278381, 0.06786082, 1.0]], ['2, k, 17', [0.3726538, -0.2789981, 1.0]], ['2, k, 18', [0.3982238, -0.5855882, 1.0]], ['2, k, 19', [0.4050545, -0.6464199, 1.0]], ['2, k, 20', [0.2423478, 0.6163573, 1.0]], ['2, k, 21', [0.000466936, -0.01957597, 1.0]], ['2, k, 22', [0.07072269, 0.05155556, 1.0]], ['2, k, 23', [0.4422405, -0.02231338, 1.0]], ['2, k, 24', [0.4189182, 0.06604598, 1.0]]]
[['2, k, 0', [0.2511878, 0.06738903, 1.0]], ['2, k, 1', [0.2460176, 0.3843785, 1.0]], ['2, k, 2', [0.2428735, 0.691624, 1.0]], ['2, k, 3', [0.269117, 0.8322079, 1.0]], ['2, k, 4', [0.0756205, 0.5705698, 1.0]], ['2, k, 5', [0.01790075, 0.3321211, 1.0]], ['2, k, 6', [-0.01038962, 0.1189346, 1.0]], ['2, k, 7', [-0.03275032, 0.07026625, 1.0]], ['2, k, 8', [0.4168632, 0.5541055, 1.0]], ['2, k, 9', [0.474976, 0.3227865, 1.0]], ['2, k, 10', [0.4590444, 0.07108595, 1.0]], ['2, k, 11', [0.4446917, 0.02835752, 1.0]], ['2, k, 12', [0.1682163, 0.06426576, 1.0]], ['2, k, 13', [0.1373981, -0.2551333, 1.0]], ['2, k, 14', [0.1251968, -0.5738892, 1.0]], ['2, k, 15', [0.1022188, -0.6353684, 1.0]], ['2, k, 16', [0.3279214, 0.06763591, 1.0]], ['2, k, 17', [0.3726117, -0.2792777, 1.0]], ['2, k, 18', [0.3981684, -0.5864861, 1.0]], ['2, k, 19', [0.4048578, -0.6477068, 1.0]], ['2, k, 20', [0.2436961, 0.6161554, 1.0]], ['2, k, 21', [-0.00711125, 0.003454623, 1.0]], ['2, k, 22', [-0.01226925, 0.07882912, 1.0]], ['2, k, 23', [0.442522, -0.04886889, 1.0]], ['2, k, 24', [0.4119626, 0.02474694, 1.0]]]
[['2, k, 0', [0.2514486, 0.06719115, 1.0]], ['2, k, 1', [0.2479361, 0.383913, 1.0]], ['2, k, 2', [0.2463266, 0.6911201, 1.0]], ['2, k, 3', [0.2742451, 0.8322675, 1.0]], ['2, k, 4', [0.08025398, 0.572216, 1.0]], ['2, k, 5', [0.01067426, 0.3402396, 1.0]], ['2, k, 6', [-0.08295159, 0.154077, 1.0]], ['2, k, 7', [-0.0851393, 0.08917727, 1.0]], ['2, k, 8', [0.4229332, 0.5528331, 1.0]], ['2, k, 9', [0.4759126, 0.3238809, 1.0]], ['2, k, 10', [0.4744457, 0.1095267, 1.0]], ['2, k, 11', [0.4534245, 0.05473989, 1.0]], ['2, k, 12', [0.168519, 0.06451641, 1.0]], ['2, k, 13', [0.1373384, -0.2552554, 1.0]], ['2, k, 14', [0.1247946, -0.5735186, 1.0]], ['2, k, 15', [0.1021173, -0.6344779, 1.0]], ['2, k, 16', [0.3282874, 0.06672432, 1.0]], ['2, k, 17', [0.3724712, -0.2796663, 1.0]], ['2, k, 18', [0.3975246, -0.5846818, 1.0]], ['2, k, 19', [0.404995, -0.6461064, 1.0]], ['2, k, 20', [0.2468002, 0.6156481, 1.0]], ['2, k, 21', [-0.0950541, 0.04856785, 1.0]], ['2, k, 22', [-0.06920807, 0.07040361, 1.0]], ['2, k, 23', [0.4422824, -0.02762287, 1.0]], ['2, k, 24', [0.4172278, 0.05485364, 1.0]]]
[['2, k, 0', [0.2515885, 0.0671177, 1.0]], ['2, k, 1', [0.2492839, 0.3836037, 1.0]], ['2, k, 2', [0.2487997, 0.6905737, 1.0]], ['2, k, 3', [0.278797, 0.8318398, 1.0]], ['2, k, 4', [0.08424549, 0.5761295, 1.0]], ['2, k, 5', [-0.00687989, 0.3502335, 1.0]], ['2, k, 6', [-0.1219883, 0.1764267, 1.0]], ['2, k, 7', [-0.1411903, 0.1190908, 1.0]], ['2, k, 8', [0.4263233, 0.553252, 1.0]], ['2, k, 9', [0.4785064, 0.3239416, 1.0]], ['2, k, 10', [0.4748971, 0.1101618, 1.0]], ['2, k, 11', [0.4559816, 0.05624041, 1.0]], ['2, k, 12', [0.168747, 0.06475176, 1.0]], ['2, k, 13', [0.1344598, -0.2591166, 1.0]], ['2, k, 14', [0.1244574, -0.5750391, 1.0]], ['2, k, 15', [0.101382, -0.6355164, 1.0]], ['2, k, 16', [0.3283716, 0.06646655, 1.0]], ['2, k, 17', [0.3723937, -0.2804061, 1.0]], ['2, k, 18', [0.3972003, -0.5845016, 1.0]], ['2, k, 19', [0.4050601, -0.6455784, 1.0]], ['2, k, 20', [0.2490133, 0.6151623, 1.0]], ['2, k, 21', [-0.1541836, 0.0769778, 1.0]], ['2, k, 22', [-0.1247806, 0.09960901, 1.0]], ['2, k, 23', [0.4479149, -0.02850691, 1.0]], ['2, k, 24', [0.4174871, 0.06035525, 1.0]]]
[['2, k, 0', [0.2516577, 0.06720258, 1.0]], ['2, k, 1', [0.2518755, 0.3835514, 1.0]], ['2, k, 2', [0.256064, 0.6900534, 1.0]], ['2, k, 3', [0.2822458, 0.8319069, 1.0]], ['2, k, 4', [0.0877131, 0.5786506, 1.0]], ['2, k, 5', [-0.03855822, 0.3701511, 1.0]], ['2, k, 6', [-0.1714208, 0.2094291, 1.0]], ['2, k, 7', [-0.1964025, 0.1662011, 1.0]], ['2, k, 8', [0.4294648, 0.5534353, 1.0]], ['2, k, 9', [0.4838595, 0.3271013, 1.0]], ['2, k, 10', [0.4768937, 0.1129507, 1.0]], ['2, k, 11', [0.4586043, 0.05798265, 1.0]], ['2, k, 12', [0.1689819, 0.06574548, 1.0]], ['2, k, 13', [0.1349058, -0.2571058, 1.0]], ['2, k, 14', [0.1241699, -0.5741128, 1.0]], ['2, k, 15', [0.100985, -0.6346637, 1.0]], ['2, k, 16', [0.3283737, 0.06636016, 1.0]], ['2, k, 17', [0.3720888, -0.2802932, 1.0]], ['2, k, 18', [0.397279, -0.5844696, 1.0]], ['2, k, 19', [0.4046325, -0.6458549, 1.0]], ['2, k, 20', [0.2549613, 0.6147906, 1.0]], ['2, k, 21', [-0.2305068, 0.105547, 1.0]], ['2, k, 22', [-0.2256689, 0.1031397, 1.0]], ['2, k, 23', [0.44533, -0.02202412, 1.0]], ['2, k, 24', [0.4169519, 0.05017716, 1.0]]]
[['2, k, 0', [0.2519888, 0.06770224, 1.0]], ['2, k, 1', [0.2544295, 0.3842408, 1.0]], ['2, k, 2', [0.2602412, 0.6908135, 1.0]], ['2, k, 3', [0.286921, 0.8315903, 1.0]], ['2, k, 4', [0.09165196, 0.5820193, 1.0]], ['2, k, 5', [-0.06263039, 0.3937536, 1.0]], ['2, k, 6', [-0.21938, 0.2558623, 1.0]], ['2, k, 7', [-0.2491854, 0.2201857, 1.0]], ['2, k, 8', [0.4332206, 0.5545481, 1.0]], ['2, k, 9', [0.4891346, 0.3297406, 1.0]], ['2, k, 10', [0.4822908, 0.119471, 1.0]], ['2, k, 11', [0.4602702, 0.06432416, 1.0]], ['2, k, 12', [0.1697306, 0.06793945, 1.0]], ['2, k, 13', [0.1331437, -0.2601621, 1.0]], ['2, k, 14', [0.1240655, -0.5740979, 1.0]], ['2, k, 15', [0.09967268, -0.6338615, 1.0]], ['2, k, 16', [0.3284626, 0.0662882, 1.0]], ['2, k, 17', [0.3716544, -0.2799816, 1.0]], ['2, k, 18', [0.3964115, -0.5831829, 1.0]], ['2, k, 19', [0.4048738, -0.6445151, 1.0]], ['2, k, 20', [0.2588415, 0.6155418, 1.0]], ['2, k, 21', [-0.2925774, 0.168401, 1.0]], ['2, k, 22', [-0.2118379, 0.2582847, 1.0]], ['2, k, 23', [0.4476591, -0.02156849, 1.0]], ['2, k, 24', [0.4211462, 0.05584182, 1.0]]]
[['2, k, 0', [0.2527593, 0.06842498, 1.0]], ['2, k, 1', [0.2576222, 0.3848868, 1.0]], ['2, k, 2', [0.2648853, 0.6910825, 1.0]], ['2, k, 3', [0.2893157, 0.831997, 1.0]], ['2, k, 4', [0.09414475, 0.5854043, 1.0]], ['2, k, 5', [-0.08565141, 0.429404, 1.0]], ['2, k, 6', [-0.2585369, 0.315415, 1.0]], ['2, k, 7', [-0.3083436, 0.2726034, 1.0]], ['2, k, 8', [0.4361992, 0.5559751, 1.0]], ['2, k, 9', [0.4948544, 0.3318947, 1.0]], ['2, k, 10', [0.4834154, 0.1212267, 1.0]], ['2, k, 11', [0.463777, 0.06829447, 1.0]], ['2, k, 12', [0.1707754, 0.06946169, 1.0]], ['2, k, 13', [0.1334946, -0.2598727, 1.0]], ['2, k, 14', [0.1239471, -0.5731933, 1.0]], ['2, k, 15', [0.0997985, -0.6330853, 1.0]], ['2, k, 16', [0.3288549, 0.06640817, 1.0]], ['2, k, 17', [0.3715428, -0.2798441, 1.0]], ['2, k, 18', [0.396418, -0.5831644, 1.0]], ['2, k, 19', [0.4038611, -0.6440973, 1.0]], ['2, k, 20', [0.2631986, 0.615913, 1.0]], ['2, k, 21', [-0.3560884, 0.2158694, 1.0]], ['2, k, 22', [-0.288195, 0.2709278, 1.0]], ['2, k, 23', [0.453222, -0.01046079, 1.0]], ['2, k, 24', [0.4222583, 0.05735101, 1.0]]]
[['2, k, 0', [0.2533137, 0.06927823, 1.0]], ['2, k, 1', [0.2595876, 0.3857389, 1.0]], ['2, k, 2', [0.2676644, 0.691941, 1.0]], ['2, k, 3', [0.2926606, 0.8322832, 1.0]], ['2, k, 4', [0.09603287, 0.5886478, 1.0]], ['2, k, 5', [-0.1017425, 0.4667349, 1.0]], ['2, k, 6', [-0.3474856, 0.3330224, 1.0]], ['2, k, 7', [-0.3658265, 0.3364354, 1.0]], ['2, k, 8', [0.4361856, 0.5559747, 1.0]], ['2, k, 9', [0.4980986, 0.3328344, 1.0]], ['2, k, 10', [0.4879918, 0.1246729, 1.0]], ['2, k, 11', [0.4646003, 0.07648709, 1.0]], ['2, k, 12', [0.1715333, 0.07116134, 1.0]], ['2, k, 13', [0.1346567, -0.25839, 1.0]], ['2, k, 14', [0.1238246, -0.5730184, 1.0]], ['2, k, 15', [0.1016325, -0.6342684, 1.0]], ['2, k, 16', [0.3291481, 0.0666652, 1.0]], ['2, k, 17', [0.3715332, -0.2797443, 1.0]], ['2, k, 18', [0.3958433, -0.5819563, 1.0]], ['2, k, 19', [0.4036234, -0.6431825, 1.0]], ['2, k, 20', [0.2658041, 0.6167673, 1.0]], ['2, k, 21', [-0.4108377, 0.3145983, 1.0]], ['2, k, 22', [-0.367802, 0.3103985, 1.0]], ['2, k, 23', [0.4558452, -0.004135421, 1.0]], ['2, k, 24', [0.4278247, 0.07571448, 1.0]]]
[['2, k, 0', [0.253834, 0.07019356, 1.0]], ['2, k, 1', [0.2617127, 0.3863181, 1.0]], ['2, k, 2', [0.2713184, 0.692009, 1.0]], ['2, k, 3', [0.294699, 0.8319414, 1.0]], ['2, k, 4', [0.09569633, 0.5896316, 1.0]], ['2, k, 5', [-0.1211231, 0.510128, 1.0]], ['2, k, 6', [-0.3192172, 0.4536828, 1.0]], ['2, k, 7', [-0.395668, 0.4210516, 1.0]], ['2, k, 8', [0.4395628, 0.5575761, 1.0]], ['2, k, 9', [0.4996102, 0.3346992, 1.0]], ['2, k, 10', [0.4886299, 0.1263567, 1.0]], ['2, k, 11', [0.4654766, 0.08102204, 1.0]], ['2, k, 12', [0.1721996, 0.0728217, 1.0]], ['2, k, 13', [0.1355521, -0.2575378, 1.0]], ['2, k, 14', [0.1240386, -0.5724159, 1.0]], ['2, k, 15', [0.1018498, -0.6334742, 1.0]], ['2, k, 16', [0.3294891, 0.06700266, 1.0]], ['2, k, 17', [0.3696506, -0.2684653, 1.0]], ['2, k, 18', [0.3957502, -0.5820621, 1.0]], ['2, k, 19', [0.4043661, -0.6428831, 1.0]], ['2, k, 20', [0.2690695, 0.6169803, 1.0]], ['2, k, 21', [-0.4917802, 0.3850572, 1.0]], ['2, k, 22', [-0.3875514, 0.4023505, 1.0]], ['2, k, 23', [0.4471102, 0.001172514, 1.0]], ['2, k, 24', [0.4280281, 0.08620811, 1.0]]]
[['2, k, 0', [0.2543976, 0.07159757, 1.0]], ['2, k, 1', [0.2639285, 0.3871957, 1.0]], ['2, k, 2', [0.2753029, 0.6924802, 1.0]], ['2, k, 3', [0.2960384, 0.832013, 1.0]], ['2, k, 4', [0.09544076, 0.590695, 1.0]], ['2, k, 5', [-0.1327717, 0.5483749, 1.0]], ['2, k, 6', [-0.3647429, 0.5134467, 1.0]], ['2, k, 7', [-0.42206, 0.5070624, 1.0]], ['2, k, 8', [0.4414542, 0.5581861, 1.0]], ['2, k, 9', [0.5005678, 0.3353916, 1.0]], ['2, k, 10', [0.489046, 0.1270173, 1.0]], ['2, k, 11', [0.4657565, 0.08278373, 1.0]], ['2, k, 12', [0.1729455, 0.07498326, 1.0]], ['2, k, 13', [0.1376894, -0.2512093, 1.0]], ['2, k, 14', [0.1232045, -0.5669865, 1.0]], ['2, k, 15', [0.1023633, -0.6330382, 1.0]], ['2, k, 16', [0.329805, 0.06766653, 1.0]], ['2, k, 17', [0.3701957, -0.2729985, 1.0]], ['2, k, 18', [0.3958445, -0.5822152, 1.0]], ['2, k, 19', [0.4040502, -0.6432813, 1.0]], ['2, k, 20', [0.27259, 0.6175637, 1.0]], ['2, k, 21', [-0.4865437, 0.4914903, 1.0]], ['2, k, 22', [-0.4206496, 0.4928922, 1.0]], ['2, k, 23', [0.4522661, -0.0003422175, 1.0]], ['2, k, 24', [0.4286432, 0.09177845, 1.0]]]
