[['2, k, 0', [0.1601629, -0.0209982, 1.0]], ['2, k, 1', [0.1684023, 0.3007653, 1.0]], ['2, k, 2', [0.1751505, 0.6112813, 1.0]], ['2, k, 3', [0.1700183, 0.7548503, 1.0]], ['2, k, 4', [-0.005302621, 0.49399, 1.0]], ['2, k, 5', [-0.04697164, 0.2273936, 1.0]], ['2, k, 6', [-0.08095998, -0.02893711, 1.0]], ['2, k, 7', [-0.09860194, -0.09360981, 1.0]], ['2, k, 8', [0.3517621, 0.4833738, 1.0]], ['2, k, 9', [0.3809185, 0.2244037, 1.0]], ['2, k, 10', [0.3888881, -0.0299846, 1.0]], ['2, k, 11', [0.3888943, -0.09590901, 1.0]], ['2, k, 12', [0.07881525, -0.01820347, 1.0]], ['2, k, 13', [0.07534157, -0.3313279, 1.0]], ['2, k, 14', [0.10123, -0.6478304, 1.0]], ['2, k, 15', [0.03627989, -0.716067, 1.0]], ['2, k, 16', [0.2364988, -0.02336608, 1.0]], ['2, k, 17', [0.2418406, -0.3488792, 1.0]], ['2, k, 18', [0.2326155, -0.6508284, 1.0]], ['2, k, 19', [0.2195436, -0.7254428, 1.0]], ['2, k, 20', [0.1736755, 0.5351782, 1.0]], ['2, k, 21', [-0.1197643, -0.1644629, 1.0]], ['2, k, 22', [-0.138172, -0.06038266, 1.0]], ['2, k, 23', [0.382479, -0.1631959, 1.0]], ['2, k, 24', [0.3526015, -0.1060647, 1.0]]]
[['2, k, 0', [0.1599852, -0.0212522, 1.0]], ['2, k, 1', [0.168306, 0.3006447, 1.0]], ['2, k, 2', [0.1750955, 0.6112332, 1.0]], ['2, k, 3', [0.1698416, 0.7547147, 1.0]], ['2, k, 4', [-0.005536861, 0.4937276, 1.0]], ['2, k, 5', [-0.04728715, 0.2266957, 1.0]], ['2, k, 6', [-0.0809881, -0.03098793, 1.0]], ['2, k, 7', [-0.09901365, -0.09375818, 1.0]], ['2, k, 8', [0.3516409, 0.4833793, 1.0]], ['2, k, 9', [0.3809843, 0.2239815, 1.0]], ['2, k, 10', [0.3888856, -0.03017219, 1.0]], ['2, k, 11', [0.3885064, -0.09524946, 1.0]], ['2, k, 12', [0.07861315, -0.01848355, 1.0]], ['2, k, 13', [0.07550191, -0.3319336, 1.0]], ['2, k, 14', [0.1011954, -0.6479101, 1.0]], ['2, k, 15', [0.02911459, -0.7120444, 1.0]], ['2, k, 16', [0.2363597, -0.02356005, 1.0]], ['2, k, 17', [0.2411716, -0.3499122, 1.0]], ['2, k, 18', [0.232563, -0.6505499, 1.0]], ['2, k, 19', [0.2203399, -0.725328, 1.0]], ['2, k, 20', [0.1736116, 0.5351149, 1.0]], ['2, k, 21', [-0.1174565, -0.1648319, 1.0]], ['2, k, 22', [-0.141393, -0.07025927, 1.0]], ['2, k, 23', [0.382225, -0.1594861, 1.0]], ['2, k, 24', [0.3524269, -0.1033037, 1.0]]]
[['2, k, 0', [0.1598038, -0.02147027, 1.0]], ['2, k, 1', [0.1682276, 0.3005836, 1.0]], ['2, k, 2', [0.1750716, 0.6112406, 1.0]], ['2, k, 3', [0.1697999, 0.7544661, 1.0]], ['2, k, 4', [-0.005583048, 0.4936971, 1.0]], ['2, k, 5', [-0.04748369, 0.2264155, 1.0]], ['2, k, 6', [-0.08145631, -0.03180188, 1.0]], ['2, k, 7', [-0.09954507, -0.09327658, 1.0]], ['2, k, 8', [0.3516285, 0.4833303, 1.0]], ['2, k, 9', [0.3809881, 0.2239831, 1.0]], ['2, k, 10', [0.3889233, -0.03008598, 1.0]], ['2, k, 11', [0.3889831, -0.09690926, 1.0]], ['2, k, 12', [0.07842981, -0.01874416, 1.0]], ['2, k, 13', [0.07547712, -0.3319361, 1.0]], ['2, k, 14', [0.1011258, -0.6473184, 1.0]], ['2, k, 15', [0.04971198, -0.7250552, 1.0]], ['2, k, 16', [0.2361982, -0.02371258, 1.0]], ['2, k, 17', [0.2411736, -0.3499527, 1.0]], ['2, k, 18', [0.2324447, -0.6507873, 1.0]], ['2, k, 19', [0.2162839, -0.7274421, 1.0]], ['2, k, 20', [0.1735837, 0.5351126, 1.0]], ['2, k, 21', [-0.1220825, -0.1679397, 1.0]], ['2, k, 22', [-0.1406702, -0.06520826, 1.0]], ['2, k, 23', [0.3829647, -0.1602093, 1.0]], ['2, k, 24', [0.351441, -0.1100005, 1.0]]]
[['2, k, 0', [0.1597563, -0.02150926, 1.0]], ['2, k, 1', [0.1681661, 0.3005724, 1.0]], ['2, k, 2', [0.1749885, 0.6112747, 1.0]], ['2, k, 3', [0.1697763, 0.7544721, 1.0]], ['2, k, 4', [-0.005650441, 0.4937133, 1.0]], ['2, k, 5', [-0.04762498, 0.226393, 1.0]], ['2, k, 6', [-0.0815614, -0.03182094, 1.0]], ['2, k, 7', [-0.09888411, -0.09335189, 1.0]], ['2, k, 8', [0.3515279, 0.4832879, 1.0]], ['2, k, 9', [0.3809588, 0.2239947, 1.0]], ['2, k, 10', [0.388951, -0.03009814, 1.0]], ['2, k, 11', [0.3886823, -0.09552724, 1.0]], ['2, k, 12', [0.07837257, -0.01888797, 1.0]], ['2, k, 13', [0.07625013, -0.331682, 1.0]], ['2, k, 14', [0.101532, -0.6467257, 1.0]], ['2, k, 15', [0.0352478, -0.7094727, 1.0]], ['2, k, 16', [0.2361449, -0.02370617, 1.0]], ['2, k, 17', [0.2412794, -0.3497784, 1.0]], ['2, k, 18', [0.2292922, -0.6505541, 1.0]], ['2, k, 19', [0.2196225, -0.7277075, 1.0]], ['2, k, 20', [0.1735076, 0.5351334, 1.0]], ['2, k, 21', [-0.1190756, -0.1653968, 1.0]], ['2, k, 22', [-0.140421, -0.06747314, 1.0]], ['2, k, 23', [0.3792604, -0.15869, 1.0]], ['2, k, 24', [0.353023, -0.1046288, 1.0]]]
[['2, k, 0', [0.1597614, -0.02154042, 1.0]], ['2, k, 1', [0.1681528, 0.3005623, 1.0]], ['2, k, 2', [0.1749573, 0.6112987, 1.0]], ['2, k, 3', [0.1697767, 0.7544655, 1.0]], ['2, k, 4', [-0.005602746, 0.4935891, 1.0]], ['2, k, 5', [-0.04789485, 0.2263708, 1.0]], ['2, k, 6', [-0.08166664, -0.03167483, 1.0]], ['2, k, 7', [-0.09970229, -0.09251922, 1.0]], ['2, k, 8', [0.3514489, 0.4833872, 1.0]], ['2, k, 9', [0.3809846, 0.2239086, 1.0]], ['2, k, 10', [0.3890074, -0.02970696, 1.0]], ['2, k, 11', [0.3890572, -0.09631523, 1.0]], ['2, k, 12', [0.07837339, -0.01895106, 1.0]], ['2, k, 13', [0.07615771, -0.3316869, 1.0]], ['2, k, 14', [0.1018838, -0.6463307, 1.0]], ['2, k, 15', [0.05204567, -0.7234089, 1.0]], ['2, k, 16', [0.2361557, -0.02372607, 1.0]], ['2, k, 17', [0.2410816, -0.3497729, 1.0]], ['2, k, 18', [0.2303054, -0.6505949, 1.0]], ['2, k, 19', [0.2218111, -0.7275505, 1.0]], ['2, k, 20', [0.1734823, 0.5351463, 1.0]], ['2, k, 21', [-0.1195134, -0.1640555, 1.0]], ['2, k, 22', [-0.1397037, -0.0654466, 1.0]], ['2, k, 23', [0.3857235, -0.1590908, 1.0]], ['2, k, 24', [0.3522978, -0.1094363, 1.0]]]
[['2, k, 0', [0.159747, -0.02155322, 1.0]], ['2, k, 1', [0.1681328, 0.3005558, 1.0]], ['2, k, 2', [0.1749294, 0.6113047, 1.0]], ['2, k, 3', [0.1697528, 0.7544587, 1.0]], ['2, k, 4', [-0.005820896, 0.4937177, 1.0]], ['2, k, 5', [-0.04804904, 0.2263979, 1.0]], ['2, k, 6', [-0.08157229, -0.03126024, 1.0]], ['2, k, 7', [-0.09954894, -0.09146316, 1.0]], ['2, k, 8', [0.351463, 0.4833945, 1.0]], ['2, k, 9', [0.3810166, 0.2238865, 1.0]], ['2, k, 10', [0.3890632, -0.02928078, 1.0]], ['2, k, 11', [0.3906728, -0.09183072, 1.0]], ['2, k, 12', [0.07837171, -0.01897287, 1.0]], ['2, k, 13', [0.07675185, -0.3325164, 1.0]], ['2, k, 14', [0.1017758, -0.6468952, 1.0]], ['2, k, 15', [0.03947187, -0.7146927, 1.0]], ['2, k, 16', [0.2361245, -0.023715, 1.0]], ['2, k, 17', [0.240752, -0.3501461, 1.0]], ['2, k, 18', [0.2303186, -0.6510458, 1.0]], ['2, k, 19', [0.2221833, -0.7276323, 1.0]], ['2, k, 20', [0.1734571, 0.5351487, 1.0]], ['2, k, 21', [-0.1183611, -0.1653426, 1.0]], ['2, k, 22', [-0.1397437, -0.06645252, 1.0]], ['2, k, 23', [0.3755092, -0.1601969, 1.0]], ['2, k, 24', [0.3546739, -0.1030607, 1.0]]]
[['2, k, 0', [0.1597383, -0.02164947, 1.0]], ['2, k, 1', [0.1681306, 0.3005381, 1.0]], ['2, k, 2', [0.1749376, 0.611321, 1.0]], ['2, k, 3', [0.1698201, 0.7544472, 1.0]], ['2, k, 4', [-0.0058713, 0.4936646, 1.0]], ['2, k, 5', [-0.0480911, 0.2262616, 1.0]], ['2, k, 6', [-0.08118349, -0.03018905, 1.0]], ['2, k, 7', [-0.09752991, -0.09077679, 1.0]], ['2, k, 8', [0.3514479, 0.483344, 1.0]], ['2, k, 9', [0.3809893, 0.2236497, 1.0]], ['2, k, 10', [0.3892173, -0.02906717, 1.0]], ['2, k, 11', [0.3891314, -0.09405553, 1.0]], ['2, k, 12', [0.07836496, -0.01908826, 1.0]], ['2, k, 13', [0.07675012, -0.332649, 1.0]], ['2, k, 14', [0.1017194, -0.6470792, 1.0]], ['2, k, 15', [0.0412846, -0.7185754, 1.0]], ['2, k, 16', [0.2361129, -0.02380673, 1.0]], ['2, k, 17', [0.2407438, -0.3501032, 1.0]], ['2, k, 18', [0.230952, -0.6512008, 1.0]], ['2, k, 19', [0.2205409, -0.727227, 1.0]], ['2, k, 20', [0.1734605, 0.5351539, 1.0]], ['2, k, 21', [-0.1178923, -0.1627443, 1.0]], ['2, k, 22', [-0.1374129, -0.06278718, 1.0]], ['2, k, 23', [0.3803204, -0.1609353, 1.0]], ['2, k, 24', [0.3489794, -0.1225402, 1.0]]]
[['2, k, 0', [0.1596547, -0.02170403, 1.0]], ['2, k, 1', [0.1679034, 0.3004525, 1.0]], ['2, k, 2', [0.1745681, 0.611252, 1.0]], ['2, k, 3', [0.1698142, 0.7544129, 1.0]], ['2, k, 4', [-0.005899936, 0.4935921, 1.0]], ['2, k, 5', [-0.04806973, 0.226275, 1.0]], ['2, k, 6', [-0.08066954, -0.02919822, 1.0]], ['2, k, 7', [-0.09819127, -0.08489118, 1.0]], ['2, k, 8', [0.351348, 0.4833486, 1.0]], ['2, k, 9', [0.3809247, 0.223696, 1.0]], ['2, k, 10', [0.3892707, -0.02891308, 1.0]], ['2, k, 11', [0.3901174, -0.09356001, 1.0]], ['2, k, 12', [0.07829272, -0.01913724, 1.0]], ['2, k, 13', [0.07678769, -0.3326795, 1.0]], ['2, k, 14', [0.101792, -0.6470715, 1.0]], ['2, k, 15', [0.04912375, -0.7232623, 1.0]], ['2, k, 16', [0.2360223, -0.02385281, 1.0]], ['2, k, 17', [0.2407375, -0.3501013, 1.0]], ['2, k, 18', [0.2311483, -0.6513543, 1.0]], ['2, k, 19', [0.2205104, -0.7271972, 1.0]], ['2, k, 20', [0.1731257, 0.5350806, 1.0]], ['2, k, 21', [-0.1187811, -0.1600279, 1.0]], ['2, k, 22', [-0.1380585, -0.0636958, 1.0]], ['2, k, 23', [0.3826677, -0.1622348, 1.0]], ['2, k, 24', [0.3529002, -0.1112226, 1.0]]]
[['2, k, 0', [0.1596276, -0.02171334, 1.0]], ['2, k, 1', [0.167912, 0.3005005, 1.0]], ['2, k, 2', [0.1747224, 0.6114985, 1.0]], ['2, k, 3', [0.1697719, 0.7542731, 1.0]], ['2, k, 4', [-0.005916759, 0.4935873, 1.0]], ['2, k, 5', [-0.04804749, 0.2262179, 1.0]], ['2, k, 6', [-0.08125123, -0.02412438, 1.0]], ['2, k, 7', [-0.09984621, -0.0788794, 1.0]], ['2, k, 8', [0.3513521, 0.4833564, 1.0]], ['2, k, 9', [0.3810529, 0.2236255, 1.0]], ['2, k, 10', [0.3892375, -0.02900148, 1.0]], ['2, k, 11', [0.3903353, -0.09538312, 1.0]], ['2, k, 12', [0.07827693, -0.01916218, 1.0]], ['2, k, 13', [0.07685728, -0.3327011, 1.0]], ['2, k, 14', [0.1018013, -0.6470764, 1.0]], ['2, k, 15', [0.04934284, -0.7236395, 1.0]], ['2, k, 16', [0.2359811, -0.0238432, 1.0]], ['2, k, 17', [0.2407828, -0.3502611, 1.0]], ['2, k, 18', [0.231417, -0.6514667, 1.0]], ['2, k, 19', [0.2211817, -0.7274029, 1.0]], ['2, k, 20', [0.1732277, 0.5352623, 1.0]], ['2, k, 21', [-0.1189371, -0.1574967, 1.0]], ['2, k, 22', [-0.1445457, -0.07121605, 1.0]], ['2, k, 23', [0.3872182, -0.1633209, 1.0]], ['2, k, 24', [0.3523664, -0.1082545, 1.0]]]
[['2, k, 0', [0.1597207, -0.02171215, 1.0]], ['2, k, 1', [0.1678961, 0.3004722, 1.0]], ['2, k, 2', [0.1745109, 0.6113561, 1.0]], ['2, k, 3', [0.1698021, 0.7542397, 1.0]], ['2, k, 4', [-0.005967912, 0.4937109, 1.0]], ['2, k, 5', [-0.04803148, 0.2261901, 1.0]], ['2, k, 6', [-0.08274975, -0.01970668, 1.0]], ['2, k, 7', [-0.1058933, -0.07582514, 1.0]], ['2, k, 8', [0.3512594, 0.4832143, 1.0]], ['2, k, 9', [0.3810443, 0.2235027, 1.0]], ['2, k, 10', [0.3892836, -0.0288669, 1.0]], ['2, k, 11', [0.3902067, -0.09337129, 1.0]], ['2, k, 12', [0.07838093, -0.01915117, 1.0]], ['2, k, 13', [0.07671794, -0.332761, 1.0]], ['2, k, 14', [0.1017816, -0.6470615, 1.0]], ['2, k, 15', [0.05257155, -0.7251697, 1.0]], ['2, k, 16', [0.2360618, -0.02383962, 1.0]], ['2, k, 17', [0.2407766, -0.3502673, 1.0]], ['2, k, 18', [0.2319866, -0.6515055, 1.0]], ['2, k, 19', [0.2222426, -0.7272832, 1.0]], ['2, k, 20', [0.173087, 0.5351599, 1.0]], ['2, k, 21', [-0.1177802, -0.1475349, 1.0]], ['2, k, 22', [-0.1437665, -0.06841841, 1.0]], ['2, k, 23', [0.3818588, -0.1579197, 1.0]], ['2, k, 24', [0.3530244, -0.1107844, 1.0]]]
[['2, k, 0', [0.1597889, -0.02169638, 1.0]], ['2, k, 1', [0.1679189, 0.3004603, 1.0]], ['2, k, 2', [0.1745183, 0.6113335, 1.0]], ['2, k, 3', [0.1697909, 0.7542256, 1.0]], ['2, k, 4', [-0.005905732, 0.4937258, 1.0]], ['2, k, 5', [-0.0479635, 0.2258, 1.0]], ['2, k, 6', [-0.08433166, -0.01424092, 1.0]], ['2, k, 7', [-0.108905, -0.06850769, 1.0]], ['2, k, 8', [0.3512534, 0.483226, 1.0]], ['2, k, 9', [0.3810736, 0.2234903, 1.0]], ['2, k, 10', [0.3892542, -0.02892123, 1.0]], ['2, k, 11', [0.3899987, -0.09462699, 1.0]], ['2, k, 12', [0.07848407, -0.0191547, 1.0]], ['2, k, 13', [0.07671273, -0.332846, 1.0]], ['2, k, 14', [0.101699, -0.6475233, 1.0]], ['2, k, 15', [0.05298742, -0.7251759, 1.0]], ['2, k, 16', [0.2361298, -0.02379622, 1.0]], ['2, k, 17', [0.2405115, -0.3504242, 1.0]], ['2, k, 18', [0.2314257, -0.6521514, 1.0]], ['2, k, 19', [0.2206209, -0.7269415, 1.0]], ['2, k, 20', [0.1730965, 0.5351416, 1.0]], ['2, k, 21', [-0.1164913, -0.1429817, 1.0]], ['2, k, 22', [-0.1456008, -0.05722483, 1.0]], ['2, k, 23', [0.3821904, -0.161254, 1.0]], ['2, k, 24', [0.3523606, -0.1108408, 1.0]]]
