[['2, k, 0', [-0.09919674, -0.001048107, 1.0]], ['2, k, 1', [-0.09582472, 0.3001706, 1.0]], ['2, k, 2', [-0.09191508, 0.5927008, 1.0]], ['2, k, 3', [-0.09222027, 0.7298779, 1.0]], ['2, k, 4', [-0.2499865, 0.4660942, 1.0]], ['2, k, 5', [-0.3125811, 0.2247391, 1.0]], ['2, k, 6', [-0.3065148, 0.02381866, 1.0]], ['2, k, 7', [-0.3051182, -0.01917183, 1.0]], ['2, k, 8', [0.06558669, 0.4770741, 1.0]], ['2, k, 9', [0.1040598, 0.2235752, 1.0]], ['2, k, 10', [0.1168681, 0.02306212, 1.0]], ['2, k, 11', [0.1117206, -0.02780437, 1.0]], ['2, k, 12', [-0.1664261, -0.002149897, 1.0]], ['2, k, 13', [-0.1734125, -0.2627721, 1.0]], ['2, k, 14', [-0.2106167, -0.5794895, 1.0]], ['2, k, 15', [-0.2198532, -0.6518784, 1.0]], ['2, k, 16', [-0.0293512, -6.896435e-05, 1.0]], ['2, k, 17', [-0.02399171, -0.2706133, 1.0]], ['2, k, 18', [-0.01310014, -0.5713069, 1.0]], ['2, k, 19', [-0.005380481, -0.648453, 1.0]], ['2, k, 20', [-0.09297637, 0.520774, 1.0]], ['2, k, 21', [-0.3045994, -0.07659128, 1.0]], ['2, k, 22', [-0.3389733, -0.01977507, 1.0]], ['2, k, 23', [0.1138248, -0.09404188, 1.0]], ['2, k, 24', [0.07473378, -0.03005716, 1.0]]]
[['2, k, 0', [-0.09902854, -0.001108684, 1.0]], ['2, k, 1', [-0.09567603, 0.3001171, 1.0]], ['2, k, 2', [-0.0917613, 0.5926648, 1.0]], ['2, k, 3', [-0.09199443, 0.7300607, 1.0]], ['2, k, 4', [-0.2491342, 0.4663728, 1.0]], ['2, k, 5', [-0.3103381, 0.2258409, 1.0]], ['2, k, 6', [-0.3079163, 0.02487785, 1.0]], ['2, k, 7', [-0.3061197, -0.01817524, 1.0]], ['2, k, 8', [0.06615848, 0.476966, 1.0]], ['2, k, 9', [0.104574, 0.2235374, 1.0]], ['2, k, 10', [0.1174102, 0.02303986, 1.0]], ['2, k, 11', [0.1115349, -0.0247667, 1.0]], ['2, k, 12', [-0.1662431, -0.002135082, 1.0]], ['2, k, 13', [-0.1739021, -0.2627973, 1.0]], ['2, k, 14', [-0.210197, -0.5780134, 1.0]], ['2, k, 15', [-0.2198148, -0.6518916, 1.0]], ['2, k, 16', [-0.02915334, -0.0001999822, 1.0]], ['2, k, 17', [-0.02385609, -0.2705427, 1.0]], ['2, k, 18', [-0.01332632, -0.5709515, 1.0]], ['2, k, 19', [-0.00533276, -0.6484296, 1.0]], ['2, k, 20', [-0.09282796, 0.5207334, 1.0]], ['2, k, 21', [-0.3075408, -0.07741186, 1.0]], ['2, k, 22', [-0.347531, -0.01493444, 1.0]], ['2, k, 23', [0.1074761, -0.09416869, 1.0]], ['2, k, 24', [0.07518426, -0.0355995, 1.0]]]
[['2, k, 0', [-0.09856948, -0.00118596, 1.0]], ['2, k, 1', [-0.09550777, 0.3000504, 1.0]], ['2, k, 2', [-0.09173384, 0.5926223, 1.0]], ['2, k, 3', [-0.09177082, 0.7298321, 1.0]], ['2, k, 4', [-0.2484402, 0.466879, 1.0]], ['2, k, 5', [-0.3091912, 0.2304812, 1.0]], ['2, k, 6', [-0.3112222, 0.02969329, 1.0]], ['2, k, 7', [-0.3131585, -0.007138668, 1.0]], ['2, k, 8', [0.06640372, 0.4770375, 1.0]], ['2, k, 9', [0.1046362, 0.2243782, 1.0]], ['2, k, 10', [0.1179459, 0.02391793, 1.0]], ['2, k, 11', [0.1127875, -0.0227785, 1.0]], ['2, k, 12', [-0.1658092, -0.00224065, 1.0]], ['2, k, 13', [-0.1736787, -0.2626817, 1.0]], ['2, k, 14', [-0.2102814, -0.5781152, 1.0]], ['2, k, 15', [-0.2201363, -0.6528122, 1.0]], ['2, k, 16', [-0.02870623, -0.0002307283, 1.0]], ['2, k, 17', [-0.02382472, -0.2706379, 1.0]], ['2, k, 18', [-0.01349964, -0.5714142, 1.0]], ['2, k, 19', [-0.004460563, -0.6501338, 1.0]], ['2, k, 20', [-0.09277788, 0.5206891, 1.0]], ['2, k, 21', [-0.3186429, -0.08284082, 1.0]], ['2, k, 22', [-0.346037, 0.004171578, 1.0]], ['2, k, 23', [0.103849, -0.09555327, 1.0]], ['2, k, 24', [0.07591391, -0.03944967, 1.0]]]
[['2, k, 0', [-0.09748589, -0.001418474, 1.0]], ['2, k, 1', [-0.09478793, 0.2997393, 1.0]], ['2, k, 2', [-0.09134074, 0.5922876, 1.0]], ['2, k, 3', [-0.09169102, 0.7297291, 1.0]], ['2, k, 4', [-0.2471674, 0.4669798, 1.0]], ['2, k, 5', [-0.3073842, 0.2518597, 1.0]], ['2, k, 6', [-0.3261265, 0.05816507, 1.0]], ['2, k, 7', [-0.3277754, 0.001108781, 1.0]], ['2, k, 8', [0.06674829, 0.4768671, 1.0]], ['2, k, 9', [0.1046716, 0.2252795, 1.0]], ['2, k, 10', [0.1184995, 0.02485718, 1.0]], ['2, k, 11', [0.1120502, -0.01679911, 1.0]], ['2, k, 12', [-0.1646868, -0.002412447, 1.0]], ['2, k, 13', [-0.1734058, -0.2627467, 1.0]], ['2, k, 14', [-0.2103087, -0.5781919, 1.0]], ['2, k, 15', [-0.2201606, -0.6529976, 1.0]], ['2, k, 16', [-0.02770177, -0.0005017148, 1.0]], ['2, k, 17', [-0.02382577, -0.2706445, 1.0]], ['2, k, 18', [-0.01349229, -0.5715059, 1.0]], ['2, k, 19', [-0.00482262, -0.6492934, 1.0]], ['2, k, 20', [-0.09230688, 0.5203587, 1.0]], ['2, k, 21', [-0.3265806, -0.07238818, 1.0]], ['2, k, 22', [-0.3589974, 0.003162442, 1.0]], ['2, k, 23', [0.1010431, -0.08654429, 1.0]], ['2, k, 24', [0.0765404, -0.01685684, 1.0]]]
[['2, k, 0', [-0.09700409, -0.001409524, 1.0]], ['2, k, 1', [-0.09430368, 0.2997783, 1.0]], ['2, k, 2', [-0.09093684, 0.5924288, 1.0]], ['2, k, 3', [-0.0914021, 0.7292943, 1.0]], ['2, k, 4', [-0.2453881, 0.467617, 1.0]], ['2, k, 5', [-0.3084978, 0.2654731, 1.0]], ['2, k, 6', [-0.3305315, 0.08537489, 1.0]], ['2, k, 7', [-0.3303562, 0.01838083, 1.0]], ['2, k, 8', [0.06684042, 0.4764005, 1.0]], ['2, k, 9', [0.1045742, 0.2254017, 1.0]], ['2, k, 10', [0.1193189, 0.02511727, 1.0]], ['2, k, 11', [0.1118362, -0.02676505, 1.0]], ['2, k, 12', [-0.164235, -0.002331128, 1.0]], ['2, k, 13', [-0.1738085, -0.2628756, 1.0]], ['2, k, 14', [-0.2101455, -0.577675, 1.0]], ['2, k, 15', [-0.2203476, -0.6521255, 1.0]], ['2, k, 16', [-0.02720215, -0.0005748515, 1.0]], ['2, k, 17', [-0.02380178, -0.2707887, 1.0]], ['2, k, 18', [-0.01354478, -0.5716007, 1.0]], ['2, k, 19', [-0.005132683, -0.6490303, 1.0]], ['2, k, 20', [-0.09187205, 0.5204657, 1.0]], ['2, k, 21', [-0.3374486, -0.0445997, 1.0]], ['2, k, 22', [-0.3613147, 0.02921044, 1.0]], ['2, k, 23', [0.1108063, -0.1011695, 1.0]], ['2, k, 24', [0.07904504, -0.04898326, 1.0]]]
[['2, k, 0', [-0.09554521, -0.001119601, 1.0]], ['2, k, 1', [-0.09369356, 0.2998837, 1.0]], ['2, k, 2', [-0.09092173, 0.59245, 1.0]], ['2, k, 3', [-0.0911956, 0.7294064, 1.0]], ['2, k, 4', [-0.2436285, 0.4681142, 1.0]], ['2, k, 5', [-0.3114201, 0.2853985, 1.0]], ['2, k, 6', [-0.3301184, 0.1069805, 1.0]], ['2, k, 7', [-0.3354854, 0.04331413, 1.0]], ['2, k, 8', [0.06695344, 0.4766323, 1.0]], ['2, k, 9', [0.1043297, 0.2252896, 1.0]], ['2, k, 10', [0.1201164, 0.02509847, 1.0]], ['2, k, 11', [0.1132245, -0.02157882, 1.0]], ['2, k, 12', [-0.1624148, -0.0020411, 1.0]], ['2, k, 13', [-0.1737743, -0.2627478, 1.0]], ['2, k, 14', [-0.2095783, -0.5759066, 1.0]], ['2, k, 15', [-0.2198614, -0.6517019, 1.0]], ['2, k, 16', [-0.02612363, -0.000278489, 1.0]], ['2, k, 17', [-0.0237955, -0.2707938, 1.0]], ['2, k, 18', [-0.01344604, -0.5718502, 1.0]], ['2, k, 19', [-0.005968588, -0.6480276, 1.0]], ['2, k, 20', [-0.09171899, 0.5205023, 1.0]], ['2, k, 21', [-0.3357279, -0.02022373, 1.0]], ['2, k, 22', [-0.3716113, 0.03320573, 1.0]], ['2, k, 23', [0.101453, -0.08689667, 1.0]], ['2, k, 24', [0.08124129, -0.02449719, 1.0]]]
[['2, k, 0', [-0.09459012, -0.001198073, 1.0]], ['2, k, 1', [-0.09313526, 0.2998327, 1.0]], ['2, k, 2', [-0.09098831, 0.5924745, 1.0]], ['2, k, 3', [-0.09135877, 0.7292601, 1.0]], ['2, k, 4', [-0.2424567, 0.4699866, 1.0]], ['2, k, 5', [-0.3138256, 0.3018965, 1.0]], ['2, k, 6', [-0.3311656, 0.1413121, 1.0]], ['2, k, 7', [-0.3388393, 0.08299068, 1.0]], ['2, k, 8', [0.06676765, 0.4764865, 1.0]], ['2, k, 9', [0.1043962, 0.2253263, 1.0]], ['2, k, 10', [0.1207306, 0.02521996, 1.0]], ['2, k, 11', [0.1144733, -0.02101096, 1.0]], ['2, k, 12', [-0.1612741, -0.00202813, 1.0]], ['2, k, 13', [-0.1738354, -0.2627486, 1.0]], ['2, k, 14', [-0.2096492, -0.5761979, 1.0]], ['2, k, 15', [-0.2202547, -0.6507844, 1.0]], ['2, k, 16', [-0.02539283, -0.0004244114, 1.0]], ['2, k, 17', [-0.02395748, -0.2710893, 1.0]], ['2, k, 18', [-0.01316097, -0.5728089, 1.0]], ['2, k, 19', [-0.005213196, -0.6490525, 1.0]], ['2, k, 20', [-0.09160276, 0.5205017, 1.0]], ['2, k, 21', [-0.3386355, 0.01251072, 1.0]], ['2, k, 22', [-0.3742365, 0.06844845, 1.0]], ['2, k, 23', [0.1092092, -0.08094792, 1.0]], ['2, k, 24', [0.08282182, -0.04152775, 1.0]]]
[['2, k, 0', [-0.09442427, -0.001043314, 1.0]], ['2, k, 1', [-0.09295955, 0.3000891, 1.0]], ['2, k, 2', [-0.09094645, 0.5928606, 1.0]], ['2, k, 3', [-0.09119751, 0.7291016, 1.0]], ['2, k, 4', [-0.2396896, 0.470944, 1.0]], ['2, k, 5', [-0.3174493, 0.3160885, 1.0]], ['2, k, 6', [-0.3334421, 0.1758061, 1.0]], ['2, k, 7', [-0.3408175, 0.1258927, 1.0]], ['2, k, 8', [0.06639298, 0.4764659, 1.0]], ['2, k, 9', [0.1043383, 0.2252676, 1.0]], ['2, k, 10', [0.1206845, 0.02513358, 1.0]], ['2, k, 11', [0.1142226, -0.03326194, 1.0]], ['2, k, 12', [-0.1610564, -0.001777143, 1.0]], ['2, k, 13', [-0.1738092, -0.2630804, 1.0]], ['2, k, 14', [-0.2096818, -0.5762201, 1.0]], ['2, k, 15', [-0.2199318, -0.6506957, 1.0]], ['2, k, 16', [-0.02527315, -0.0003378267, 1.0]], ['2, k, 17', [-0.0240065, -0.2709053, 1.0]], ['2, k, 18', [-0.01352025, -0.5741602, 1.0]], ['2, k, 19', [-0.004390357, -0.6491649, 1.0]], ['2, k, 20', [-0.09151274, 0.5208539, 1.0]], ['2, k, 21', [-0.3406275, 0.06855019, 1.0]], ['2, k, 22', [-0.3737894, 0.09201065, 1.0]], ['2, k, 23', [0.1052448, -0.1023828, 1.0]], ['2, k, 24', [0.0783322, -0.0286028, 1.0]]]
[['2, k, 0', [-0.09276167, -0.0006167153, 1.0]], ['2, k, 1', [-0.09227149, 0.300476, 1.0]], ['2, k, 2', [-0.09109096, 0.5932791, 1.0]], ['2, k, 3', [-0.09135579, 0.729272, 1.0]], ['2, k, 4', [-0.237159, 0.4731881, 1.0]], ['2, k, 5', [-0.318242, 0.3876979, 1.0]], ['2, k, 6', [-0.3272485, 0.2984447, 1.0]], ['2, k, 7', [-0.3401287, 0.2750709, 1.0]], ['2, k, 8', [0.06572819, 0.4766727, 1.0]], ['2, k, 9', [0.1043324, 0.22513, 1.0]], ['2, k, 10', [0.1208333, 0.02499064, 1.0]], ['2, k, 11', [0.1140056, -0.03221641, 1.0]], ['2, k, 12', [-0.1598139, -0.001502477, 1.0]], ['2, k, 13', [-0.1745952, -0.2638762, 1.0]], ['2, k, 14', [-0.2097154, -0.5768839, 1.0]], ['2, k, 15', [-0.221768, -0.6521806, 1.0]], ['2, k, 16', [-0.02320978, 0.0002792573, 1.0]], ['2, k, 17', [-0.02424257, -0.2708165, 1.0]], ['2, k, 18', [-0.01351162, -0.5740253, 1.0]], ['2, k, 19', [-0.004802116, -0.6489456, 1.0]], ['2, k, 20', [-0.09144819, 0.5212575, 1.0]], ['2, k, 21', [-0.3518761, 0.2464625, 1.0]], ['2, k, 22', [-0.3825174, 0.234643, 1.0]], ['2, k, 23', [0.1045182, -0.1031109, 1.0]], ['2, k, 24', [0.07999799, -0.03288234, 1.0]]]
[['2, k, 0', [-0.09234814, 0.0001849112, 1.0]], ['2, k, 1', [-0.09248183, 0.3014211, 1.0]], ['2, k, 2', [-0.0923107, 0.5945312, 1.0]], ['2, k, 3', [-0.0916975, 0.7295607, 1.0]], ['2, k, 4', [-0.2356191, 0.477035, 1.0]], ['2, k, 5', [-0.3156253, 0.4496638, 1.0]], ['2, k, 6', [-0.339535, 0.3545761, 1.0]], ['2, k, 7', [-0.3536869, 0.3399847, 1.0]], ['2, k, 8', [0.06450858, 0.4772353, 1.0]], ['2, k, 9', [0.1042948, 0.2251179, 1.0]], ['2, k, 10', [0.1213027, 0.02502786, 1.0]], ['2, k, 11', [0.1163451, -0.01727291, 1.0]], ['2, k, 12', [-0.159407, -0.0007089571, 1.0]], ['2, k, 13', [-0.1746834, -0.2639173, 1.0]], ['2, k, 14', [-0.2097632, -0.5767507, 1.0]], ['2, k, 15', [-0.2217259, -0.6520142, 1.0]], ['2, k, 16', [-0.02283371, 0.001054367, 1.0]], ['2, k, 17', [-0.02444013, -0.2712898, 1.0]], ['2, k, 18', [-0.01359684, -0.5749733, 1.0]], ['2, k, 19', [-0.004486441, -0.6490743, 1.0]], ['2, k, 20', [-0.09237328, 0.5224255, 1.0]], ['2, k, 21', [-0.3629252, 0.3275767, 1.0]], ['2, k, 22', [-0.3683273, 0.3263548, 1.0]], ['2, k, 23', [0.1091386, -0.07937617, 1.0]], ['2, k, 24', [0.08205557, -0.03421307, 1.0]]]
[['2, k, 0', [-0.09161601, 0.001705547, 1.0]], ['2, k, 1', [-0.09238221, 0.3023623, 1.0]], ['2, k, 2', [-0.09259466, 0.595113, 1.0]], ['2, k, 3', [-0.09214938, 0.7300212, 1.0]], ['2, k, 4', [-0.2346081, 0.4815572, 1.0]], ['2, k, 5', [-0.3238653, 0.4642484, 1.0]], ['2, k, 6', [-0.3409173, 0.3681525, 1.0]], ['2, k, 7', [-0.3337883, 0.4317736, 1.0]], ['2, k, 8', [0.06404402, 0.477898, 1.0]], ['2, k, 9', [0.1041706, 0.2251087, 1.0]], ['2, k, 10', [0.1204119, 0.02496853, 1.0]], ['2, k, 11', [0.117139, -0.02695526, 1.0]], ['2, k, 12', [-0.1588825, 0.0005052832, 1.0]], ['2, k, 13', [-0.1744238, -0.2648289, 1.0]], ['2, k, 14', [-0.2098064, -0.5770383, 1.0]], ['2, k, 15', [-0.2222823, -0.653042, 1.0]], ['2, k, 16', [-0.02190937, 0.002881452, 1.0]], ['2, k, 17', [-0.02456962, -0.2712828, 1.0]], ['2, k, 18', [-0.01380931, -0.5750412, 1.0]], ['2, k, 19', [-0.004381618, -0.64985, 1.0]], ['2, k, 20', [-0.09257836, 0.5230777, 1.0]], ['2, k, 21', [-0.3484174, 0.4272077, 1.0]], ['2, k, 22', [-0.3736767, 0.4064968, 1.0]], ['2, k, 23', [0.1092083, -0.09124321, 1.0]], ['2, k, 24', [0.08370297, -0.04283389, 1.0]]]
