[['2, k, 0', [-0.00331559, -0.366067, 1.0]], ['2, k, 1', [-0.00327727, -0.0456826, 1.0]], ['2, k, 2', [-0.00321902, 0.266419, 1.0]], ['2, k, 3', [0.0132106, 0.400922, 1.0]], ['2, k, 4', [-0.155912, 0.136408, 1.0]], ['2, k, 5', [-0.227978, -0.0531163, 1.0]], ['2, k, 6', [-0.291878, -0.210636, 1.0]], ['2, k, 7', [-0.289843, -0.271148, 1.0]], ['2, k, 8', [0.165424, 0.136165, 1.0]], ['2, k, 9', [0.239022, -0.0273181, 1.0]], ['2, k, 10', [0.282038, -0.210093, 1.0]], ['2, k, 11', [0.261199, -0.26706, 1.0]], ['2, k, 12', [-0.0765867, -0.360433, 1.0]], ['2, k, 13', [-0.114133, -0.690648, 1.0]], ['2, k, 14', [-0.119359, -1.03502, 1.0]], ['2, k, 15', [-0.134033, -1.08887, 1.0]], ['2, k, 16', [0.0700567, -0.360548, 1.0]], ['2, k, 17', [0.104932, -0.692169, 1.0]], ['2, k, 18', [0.118991, -1.03802, 1.0]], ['2, k, 19', [0.131836, -1.08789, 1.0]], ['2, k, 20', [-0.00323704, 0.189581, 1.0]], ['2, k, 21', [-0.273335, -0.30914, 1.0]], ['2, k, 22', [-0.229188, -0.28612, 1.0]], ['2, k, 23', [0.262478, -0.300414, 1.0]], ['2, k, 24', [0.298734, -0.265246, 1.0]]]
[['2, k, 0', [-0.00348243, -0.36759, 1.0]], ['2, k, 1', [-0.0033028, -0.0462846, 1.0]], ['2, k, 2', [-0.0031822, 0.266323, 1.0]], ['2, k, 3', [0.0131412, 0.400908, 1.0]], ['2, k, 4', [-0.155912, 0.136472, 1.0]], ['2, k, 5', [-0.228689, -0.0508377, 1.0]], ['2, k, 6', [-0.289719, -0.194, 1.0]], ['2, k, 7', [-0.291086, -0.250643, 1.0]], ['2, k, 8', [0.16542, 0.136117, 1.0]], ['2, k, 9', [0.242868, -0.0256157, 1.0]], ['2, k, 10', [0.282638, -0.180836, 1.0]], ['2, k, 11', [0.260662, -0.240922, 1.0]], ['2, k, 12', [-0.0767667, -0.361904, 1.0]], ['2, k, 13', [-0.113128, -0.694593, 1.0]], ['2, k, 14', [-0.119587, -1.03529, 1.0]], ['2, k, 15', [-0.133532, -1.09077, 1.0]], ['2, k, 16', [0.0699034, -0.362102, 1.0]], ['2, k, 17', [0.104164, -0.694195, 1.0]], ['2, k, 18', [0.119111, -1.03741, 1.0]], ['2, k, 19', [0.131495, -1.0877, 1.0]], ['2, k, 20', [-0.00320962, 0.189396, 1.0]], ['2, k, 21', [-0.283709, -0.274263, 1.0]], ['2, k, 22', [-0.208827, -0.252385, 1.0]], ['2, k, 23', [0.260832, -0.264496, 1.0]], ['2, k, 24', [0.307507, -0.233882, 1.0]]]
[['2, k, 0', [-0.00484309, -0.372692, 1.0]], ['2, k, 1', [-0.00362095, -0.0474085, 1.0]], ['2, k, 2', [-0.00310393, 0.266738, 1.0]], ['2, k, 3', [0.0132344, 0.401264, 1.0]], ['2, k, 4', [-0.155907, 0.136592, 1.0]], ['2, k, 5', [-0.246874, -0.0454567, 1.0]], ['2, k, 6', [-0.300727, -0.179786, 1.0]], ['2, k, 7', [-0.291983, -0.215245, 1.0]], ['2, k, 8', [0.165414, 0.136128, 1.0]], ['2, k, 9', [0.261138, -0.0469065, 1.0]], ['2, k, 10', [0.255303, -0.186023, 1.0]], ['2, k, 11', [0.260969, -0.202213, 1.0]], ['2, k, 12', [-0.0780495, -0.366552, 1.0]], ['2, k, 13', [-0.113305, -0.694254, 1.0]], ['2, k, 14', [-0.119476, -1.03601, 1.0]], ['2, k, 15', [-0.133473, -1.09109, 1.0]], ['2, k, 16', [0.0685136, -0.367462, 1.0]], ['2, k, 17', [0.104306, -0.695028, 1.0]], ['2, k, 18', [0.119071, -1.03516, 1.0]], ['2, k, 19', [0.131696, -1.0878, 1.0]], ['2, k, 20', [-0.00320539, 0.189512, 1.0]], ['2, k, 21', [-0.300003, -0.239366, 1.0]], ['2, k, 22', [-0.21339, -0.214939, 1.0]], ['2, k, 23', [0.258001, -0.227138, 1.0]], ['2, k, 24', [0.308375, -0.195548, 1.0]]]
[['2, k, 0', [-0.00474421, -0.373222, 1.0]], ['2, k, 1', [-0.00347677, -0.047732, 1.0]], ['2, k, 2', [-0.00285368, 0.266911, 1.0]], ['2, k, 3', [0.0131437, 0.401093, 1.0]], ['2, k, 4', [-0.155459, 0.136874, 1.0]], ['2, k, 5', [-0.246849, -0.00928105, 1.0]], ['2, k, 6', [-0.283842, -0.121084, 1.0]], ['2, k, 7', [-0.282832, -0.174908, 1.0]], ['2, k, 8', [0.165162, 0.135526, 1.0]], ['2, k, 9', [0.248035, 0.00657113, 1.0]], ['2, k, 10', [0.284544, -0.0866324, 1.0]], ['2, k, 11', [0.267383, -0.156278, 1.0]], ['2, k, 12', [-0.0779477, -0.366931, 1.0]], ['2, k, 13', [-0.113321, -0.694534, 1.0]], ['2, k, 14', [-0.119106, -1.03627, 1.0]], ['2, k, 15', [-0.133165, -1.09164, 1.0]], ['2, k, 16', [0.0686178, -0.36814, 1.0]], ['2, k, 17', [0.104174, -0.694945, 1.0]], ['2, k, 18', [0.119125, -1.03126, 1.0]], ['2, k, 19', [0.131156, -1.08737, 1.0]], ['2, k, 20', [-0.0029887, 0.189557, 1.0]], ['2, k, 21', [-0.280132, -0.199453, 1.0]], ['2, k, 22', [-0.197885, -0.17641, 1.0]], ['2, k, 23', [0.237341, -0.190248, 1.0]], ['2, k, 24', [0.307976, -0.159961, 1.0]]]
[['2, k, 0', [-0.00414968, -0.370212, 1.0]], ['2, k, 1', [-0.00342884, -0.0467238, 1.0]], ['2, k, 2', [-0.00301779, 0.26747, 1.0]], ['2, k, 3', [0.0135, 0.401587, 1.0]], ['2, k, 4', [-0.153901, 0.13858, 1.0]], ['2, k, 5', [-0.241307, 0.00938793, 1.0]], ['2, k, 6', [-0.284682, -0.074521, 1.0]], ['2, k, 7', [-0.282493, -0.132204, 1.0]], ['2, k, 8', [0.164749, 0.135485, 1.0]], ['2, k, 9', [0.25166, 0.0211325, 1.0]], ['2, k, 10', [0.289727, -0.0450565, 1.0]], ['2, k, 11', [0.268732, -0.110412, 1.0]], ['2, k, 12', [-0.0772782, -0.363083, 1.0]], ['2, k, 13', [-0.113186, -0.694393, 1.0]], ['2, k, 14', [-0.119056, -1.03697, 1.0]], ['2, k, 15', [-0.133353, -1.09378, 1.0]], ['2, k, 16', [0.0691474, -0.365805, 1.0]], ['2, k, 17', [0.104421, -0.69559, 1.0]], ['2, k, 18', [0.118805, -1.03134, 1.0]], ['2, k, 19', [0.131643, -1.08891, 1.0]], ['2, k, 20', [-0.00310072, 0.190197, 1.0]], ['2, k, 21', [-0.298581, -0.155175, 1.0]], ['2, k, 22', [-0.200507, -0.133536, 1.0]], ['2, k, 23', [0.21964, -0.128434, 1.0]], ['2, k, 24', [0.307471, -0.107847, 1.0]]]
[['2, k, 0', [-0.00347129, -0.365487, 1.0]], ['2, k, 1', [-0.00320598, -0.0449648, 1.0]], ['2, k, 2', [-0.00294237, 0.268149, 1.0]], ['2, k, 3', [0.013355, 0.401839, 1.0]], ['2, k, 4', [-0.153475, 0.138814, 1.0]], ['2, k, 5', [-0.239856, 0.0318315, 1.0]], ['2, k, 6', [-0.276064, -0.0373104, 1.0]], ['2, k, 7', [-0.286499, -0.0880301, 1.0]], ['2, k, 8', [0.162767, 0.137073, 1.0]], ['2, k, 9', [0.250258, 0.031653, 1.0]], ['2, k, 10', [0.284099, -0.00565561, 1.0]], ['2, k, 11', [0.269969, -0.0634121, 1.0]], ['2, k, 12', [-0.0766864, -0.35948, 1.0]], ['2, k, 13', [-0.113065, -0.694481, 1.0]], ['2, k, 14', [-0.11888, -1.03781, 1.0]], ['2, k, 15', [-0.13306, -1.09432, 1.0]], ['2, k, 16', [0.0698726, -0.36009, 1.0]], ['2, k, 17', [0.104664, -0.695626, 1.0]], ['2, k, 18', [0.118669, -1.03126, 1.0]], ['2, k, 19', [0.131326, -1.08965, 1.0]], ['2, k, 20', [-0.00299736, 0.191089, 1.0]], ['2, k, 21', [-0.340665, -0.103445, 1.0]], ['2, k, 22', [-0.219448, -0.0920693, 1.0]], ['2, k, 23', [0.220928, -0.0823917, 1.0]], ['2, k, 24', [0.308592, -0.0597305, 1.0]]]
[['2, k, 0', [-0.00323638, -0.359661, 1.0]], ['2, k, 1', [-0.00264471, -0.040133, 1.0]], ['2, k, 2', [-0.00205132, 0.271883, 1.0]], ['2, k, 3', [0.0137253, 0.402075, 1.0]], ['2, k, 4', [-0.152823, 0.139739, 1.0]], ['2, k, 5', [-0.248521, 0.0458776, 1.0]], ['2, k, 6', [-0.2545, -0.0185039, 1.0]], ['2, k, 7', [-0.275741, -0.0411124, 1.0]], ['2, k, 8', [0.162744, 0.137221, 1.0]], ['2, k, 9', [0.261891, 0.0499416, 1.0]], ['2, k, 10', [0.249454, -0.00602531, 1.0]], ['2, k, 11', [0.26948, -0.0172464, 1.0]], ['2, k, 12', [-0.0763473, -0.353216, 1.0]], ['2, k, 13', [-0.1128, -0.696629, 1.0]], ['2, k, 14', [-0.118919, -1.03801, 1.0]], ['2, k, 15', [-0.132716, -1.09399, 1.0]], ['2, k, 16', [0.0699957, -0.355007, 1.0]], ['2, k, 17', [0.106447, -0.655547, 1.0]], ['2, k, 18', [0.118469, -1.02739, 1.0]], ['2, k, 19', [0.126632, -1.0826, 1.0]], ['2, k, 20', [-0.0021935, 0.195081, 1.0]], ['2, k, 21', [-0.242822, -0.0684151, 1.0]], ['2, k, 22', [-0.185447, -0.0391837, 1.0]], ['2, k, 23', [0.266577, -0.0229572, 1.0]], ['2, k, 24', [0.316674, -0.0169129, 1.0]]]
[['2, k, 0', [-0.00324744, -0.359295, 1.0]], ['2, k, 1', [-0.00265456, -0.040073, 1.0]], ['2, k, 2', [-0.00207143, 0.271826, 1.0]], ['2, k, 3', [0.0142214, 0.403201, 1.0]], ['2, k, 4', [-0.151622, 0.142139, 1.0]], ['2, k, 5', [-0.247867, 0.061782, 1.0]], ['2, k, 6', [-0.25583, 0.0147944, 1.0]], ['2, k, 7', [-0.280137, 0.00451397, 1.0]], ['2, k, 8', [0.162043, 0.138465, 1.0]], ['2, k, 9', [0.266573, 0.0958708, 1.0]], ['2, k, 10', [0.21752, 0.0507039, 1.0]], ['2, k, 11', [0.271016, 0.0285534, 1.0]], ['2, k, 12', [-0.0763182, -0.352711, 1.0]], ['2, k, 13', [-0.112495, -0.699212, 1.0]], ['2, k, 14', [-0.118165, -1.03915, 1.0]], ['2, k, 15', [-0.132532, -1.09425, 1.0]], ['2, k, 16', [0.069962, -0.354786, 1.0]], ['2, k, 17', [0.104359, -0.733872, 1.0]], ['2, k, 18', [0.118445, -1.02755, 1.0]], ['2, k, 19', [0.126464, -1.08377, 1.0]], ['2, k, 20', [-0.00220367, 0.195064, 1.0]], ['2, k, 21', [-0.270502, -0.028768, 1.0]], ['2, k, 22', [-0.185005, 0.00774469, 1.0]], ['2, k, 23', [0.210665, 0.0150437, 1.0]], ['2, k, 24', [0.306158, 0.038239, 1.0]]]
[['2, k, 0', [-0.00351887, -0.359367, 1.0]], ['2, k, 1', [-0.00297365, -0.0399497, 1.0]], ['2, k, 2', [-0.00241594, 0.27203, 1.0]], ['2, k, 3', [0.0152275, 0.403913, 1.0]], ['2, k, 4', [-0.151089, 0.143232, 1.0]], ['2, k, 5', [-0.237951, 0.125073, 1.0]], ['2, k, 6', [-0.253431, 0.0639042, 1.0]], ['2, k, 7', [-0.27922, 0.0500609, 1.0]], ['2, k, 8', [0.160574, 0.14453, 1.0]], ['2, k, 9', [0.274524, 0.137883, 1.0]], ['2, k, 10', [0.2678, 0.110475, 1.0]], ['2, k, 11', [0.275926, 0.0745606, 1.0]], ['2, k, 12', [-0.0765667, -0.353157, 1.0]], ['2, k, 13', [-0.11261, -0.699169, 1.0]], ['2, k, 14', [-0.118174, -1.03854, 1.0]], ['2, k, 15', [-0.132518, -1.09415, 1.0]], ['2, k, 16', [0.0696377, -0.354568, 1.0]], ['2, k, 17', [0.104032, -0.733464, 1.0]], ['2, k, 18', [0.117818, -1.02714, 1.0]], ['2, k, 19', [0.126637, -1.08455, 1.0]], ['2, k, 20', [-0.00254897, 0.195248, 1.0]], ['2, k, 21', [-0.270374, 0.042554, 1.0]], ['2, k, 22', [-0.191682, 0.0519729, 1.0]], ['2, k, 23', [0.257905, 0.0732187, 1.0]], ['2, k, 24', [0.317667, 0.0730774, 1.0]]]
[['2, k, 0', [-0.00279662, -0.382416, 1.0]], ['2, k, 1', [-0.00278203, -0.0459632, 1.0]], ['2, k, 2', [-0.0024136, 0.271949, 1.0]], ['2, k, 3', [0.0154243, 0.403492, 1.0]], ['2, k, 4', [-0.150354, 0.142701, 1.0]], ['2, k, 5', [-0.241502, 0.116419, 1.0]], ['2, k, 6', [-0.236768, 0.1033, 1.0]], ['2, k, 7', [-0.275075, 0.0943239, 1.0]], ['2, k, 8', [0.158506, 0.140279, 1.0]], ['2, k, 9', [0.275304, 0.109909, 1.0]], ['2, k, 10', [0.265505, 0.104111, 1.0]], ['2, k, 11', [0.278505, 0.118479, 1.0]], ['2, k, 12', [-0.0792306, -0.378565, 1.0]], ['2, k, 13', [-0.113669, -0.701033, 1.0]], ['2, k, 14', [-0.118284, -1.03843, 1.0]], ['2, k, 15', [-0.132512, -1.09411, 1.0]], ['2, k, 16', [0.0735607, -0.375407, 1.0]], ['2, k, 17', [0.103591, -0.664474, 1.0]], ['2, k, 18', [0.117689, -1.02697, 1.0]], ['2, k, 19', [0.127712, -1.08462, 1.0]], ['2, k, 20', [-0.00253053, 0.194613, 1.0]], ['2, k, 21', [-0.280104, 0.0926021, 1.0]], ['2, k, 22', [-0.186095, 0.100728, 1.0]], ['2, k, 23', [0.274371, 0.124129, 1.0]], ['2, k, 24', [0.200382, 0.119622, 1.0]]]
[['2, k, 0', [-0.00314482, -0.382564, 1.0]], ['2, k, 1', [-0.00304598, -0.0464729, 1.0]], ['2, k, 2', [-0.00251257, 0.272092, 1.0]], ['2, k, 3', [0.0158904, 0.40026, 1.0]], ['2, k, 4', [-0.149227, 0.139184, 1.0]], ['2, k, 5', [-0.239788, 0.11695, 1.0]], ['2, k, 6', [-0.270267, 0.10544, 1.0]], ['2, k, 7', [-0.287144, 0.136132, 1.0]], ['2, k, 8', [0.159094, 0.135224, 1.0]], ['2, k, 9', [0.272958, 0.128114, 1.0]], ['2, k, 10', [0.271189, 0.148922, 1.0]], ['2, k, 11', [0.279274, 0.16217, 1.0]], ['2, k, 12', [-0.079426, -0.378466, 1.0]], ['2, k, 13', [-0.113137, -0.707052, 1.0]], ['2, k, 14', [-0.118419, -1.03828, 1.0]], ['2, k, 15', [-0.132264, -1.09416, 1.0]], ['2, k, 16', [0.0727596, -0.375873, 1.0]], ['2, k, 17', [0.105683, -0.719066, 1.0]], ['2, k, 18', [0.117581, -1.0265, 1.0]], ['2, k, 19', [0.127652, -1.08523, 1.0]], ['2, k, 20', [-0.00261474, 0.194575, 1.0]], ['2, k, 21', [-0.30384, 0.132741, 1.0]], ['2, k, 22', [-0.218515, 0.139429, 1.0]], ['2, k, 23', [0.27623, 0.170627, 1.0]], ['2, k, 24', [0.204354, 0.164326, 1.0]]]
