[['2, k, 0', [0.3215052, -0.1944784, 1.0]], ['2, k, 1', [0.3454711, 0.08908043, 1.0]], ['2, k, 2', [0.3674488, 0.3650023, 1.0]], ['2, k, 3', [0.3708256, 0.5011445, 1.0]], ['2, k, 4', [0.1976009, 0.2544083, 1.0]], ['2, k, 5', [0.09492137, 0.06005344, 1.0]], ['2, k, 6', [0.01609663, -0.1176931, 1.0]], ['2, k, 7', [-0.01611795, -0.1763823, 1.0]], ['2, k, 8', [0.5257646, 0.2448555, 1.0]], ['2, k, 9', [0.5886514, -0.03127953, 1.0]], ['2, k, 10', [0.6231673, -0.2534695, 1.0]], ['2, k, 11', [0.6271158, -0.3177761, 1.0]], ['2, k, 12', [0.2303289, -0.1881164, 1.0]], ['2, k, 13', [0.1140026, -0.2651818, 1.0]], ['2, k, 14', [0.1098049, -0.6406077, 1.0]], ['2, k, 15', [0.05918169, -0.6980273, 1.0]], ['2, k, 16', [0.4048895, -0.1966343, 1.0]], ['2, k, 17', [0.3964148, -0.2813733, 1.0]], ['2, k, 18', [0.3734657, -0.6529247, 1.0]], ['2, k, 19', [0.3863217, -0.7076529, 1.0]], ['2, k, 20', [0.3621675, 0.2968564, 1.0]], ['2, k, 21', [-0.05846125, -0.2417938, 1.0]], ['2, k, 22', [0.02396884, -0.1977949, 1.0]], ['2, k, 23', [0.6432725, -0.3922793, 1.0]], ['2, k, 24', [0.6425418, -0.291283, 1.0]]]
[['2, k, 0', [0.3209048, -0.1944644, 1.0]], ['2, k, 1', [0.3452484, 0.08912431, 1.0]], ['2, k, 2', [0.3678356, 0.3653125, 1.0]], ['2, k, 3', [0.3722946, 0.5020512, 1.0]], ['2, k, 4', [0.1999871, 0.2555591, 1.0]], ['2, k, 5', [0.08840697, 0.1024179, 1.0]], ['2, k, 6', [0.01674476, -0.01579056, 1.0]], ['2, k, 7', [-0.02534061, -0.08493973, 1.0]], ['2, k, 8', [0.5272262, 0.2457564, 1.0]], ['2, k, 9', [0.5891211, -0.03070458, 1.0]], ['2, k, 10', [0.6222237, -0.2573902, 1.0]], ['2, k, 11', [0.6224477, -0.3181705, 1.0]], ['2, k, 12', [0.2288839, -0.1879063, 1.0]], ['2, k, 13', [0.1150543, -0.2642678, 1.0]], ['2, k, 14', [0.1115468, -0.639882, 1.0]], ['2, k, 15', [0.05499041, -0.6987787, 1.0]], ['2, k, 16', [0.4047828, -0.1966365, 1.0]], ['2, k, 17', [0.3966474, -0.2816754, 1.0]], ['2, k, 18', [0.3735024, -0.6531366, 1.0]], ['2, k, 19', [0.3845219, -0.7076348, 1.0]], ['2, k, 20', [0.3623929, 0.2971047, 1.0]], ['2, k, 21', [-0.06914509, -0.1422129, 1.0]], ['2, k, 22', [0.01160928, -0.111143, 1.0]], ['2, k, 23', [0.6373033, -0.3920959, 1.0]], ['2, k, 24', [0.6542645, -0.2895564, 1.0]]]
[['2, k, 0', [0.3205301, -0.1943451, 1.0]], ['2, k, 1', [0.3452349, 0.08915927, 1.0]], ['2, k, 2', [0.3682961, 0.3653333, 1.0]], ['2, k, 3', [0.3733072, 0.5031524, 1.0]], ['2, k, 4', [0.2040002, 0.2593959, 1.0]], ['2, k, 5', [0.08175439, 0.1197746, 1.0]], ['2, k, 6', [0.01282203, 0.06776892, 1.0]], ['2, k, 7', [-0.02854415, 0.01897938, 1.0]], ['2, k, 8', [0.5278131, 0.2468325, 1.0]], ['2, k, 9', [0.5891566, -0.02981372, 1.0]], ['2, k, 10', [0.6201241, -0.2596112, 1.0]], ['2, k, 11', [0.6181071, -0.3157531, 1.0]], ['2, k, 12', [0.2283271, -0.1875568, 1.0]], ['2, k, 13', [0.1152765, -0.2636822, 1.0]], ['2, k, 14', [0.1117033, -0.6393266, 1.0]], ['2, k, 15', [0.05519439, -0.6986268, 1.0]], ['2, k, 16', [0.4046462, -0.1966294, 1.0]], ['2, k, 17', [0.3965785, -0.2814012, 1.0]], ['2, k, 18', [0.373646, -0.6530097, 1.0]], ['2, k, 19', [0.384444, -0.7078477, 1.0]], ['2, k, 20', [0.3627305, 0.2971415, 1.0]], ['2, k, 21', [-0.06695016, -0.02335237, 1.0]], ['2, k, 22', [0.002036242, -0.005971852, 1.0]], ['2, k, 23', [0.6243522, -0.3883954, 1.0]], ['2, k, 24', [0.6467211, -0.3015224, 1.0]]]
[['2, k, 0', [0.318693, -0.1934126, 1.0]], ['2, k, 1', [0.3444922, 0.08979849, 1.0]], ['2, k, 2', [0.3681205, 0.3659272, 1.0]], ['2, k, 3', [0.3730989, 0.5036283, 1.0]], ['2, k, 4', [0.2057048, 0.261895, 1.0]], ['2, k, 5', [0.06388468, 0.1689253, 1.0]], ['2, k, 6', [0.006093465, 0.163521, 1.0]], ['2, k, 7', [-0.02109339, 0.1231451, 1.0]], ['2, k, 8', [0.5262085, 0.2502051, 1.0]], ['2, k, 9', [0.5909193, -0.02594204, 1.0]], ['2, k, 10', [0.618274, -0.2604585, 1.0]], ['2, k, 11', [0.616029, -0.3147759, 1.0]], ['2, k, 12', [0.226299, -0.1860626, 1.0]], ['2, k, 13', [0.1151324, -0.2637778, 1.0]], ['2, k, 14', [0.1126194, -0.6394035, 1.0]], ['2, k, 15', [0.05721312, -0.6973635, 1.0]], ['2, k, 16', [0.4030841, -0.1961487, 1.0]], ['2, k, 17', [0.3966022, -0.281017, 1.0]], ['2, k, 18', [0.3735792, -0.6526518, 1.0]], ['2, k, 19', [0.3541609, -0.6898069, 1.0]], ['2, k, 20', [0.3624503, 0.297741, 1.0]], ['2, k, 21', [-0.06615447, 0.104787, 1.0]], ['2, k, 22', [-0.001911631, 0.1008888, 1.0]], ['2, k, 23', [0.6279435, -0.3865316, 1.0]], ['2, k, 24', [0.6480135, -0.2754429, 1.0]]]
[['2, k, 0', [0.3170031, -0.1930197, 1.0]], ['2, k, 1', [0.3435755, 0.09005746, 1.0]], ['2, k, 2', [0.3677696, 0.3661244, 1.0]], ['2, k, 3', [0.372227, 0.5038837, 1.0]], ['2, k, 4', [0.2062641, 0.2638009, 1.0]], ['2, k, 5', [0.03259885, 0.1905909, 1.0]], ['2, k, 6', [0.02974373, 0.2378724, 1.0]], ['2, k, 7', [-0.02657187, 0.2236332, 1.0]], ['2, k, 8', [0.5245889, 0.2528297, 1.0]], ['2, k, 9', [0.5894681, -0.02335867, 1.0]], ['2, k, 10', [0.61325, -0.2528483, 1.0]], ['2, k, 11', [0.6139615, -0.3118151, 1.0]], ['2, k, 12', [0.2246664, -0.1854045, 1.0]], ['2, k, 13', [0.1154614, -0.2632658, 1.0]], ['2, k, 14', [0.111459, -0.6394373, 1.0]], ['2, k, 15', [0.05789005, -0.696597, 1.0]], ['2, k, 16', [0.4015323, -0.1960064, 1.0]], ['2, k, 17', [0.3966833, -0.2800251, 1.0]], ['2, k, 18', [0.3736095, -0.6518014, 1.0]], ['2, k, 19', [0.3539993, -0.6889746, 1.0]], ['2, k, 20', [0.3619936, 0.2979602, 1.0]], ['2, k, 21', [-0.01363914, 0.21743, 1.0]], ['2, k, 22', [0.0004324715, 0.2100046, 1.0]], ['2, k, 23', [0.6205924, -0.3880023, 1.0]], ['2, k, 24', [0.6496367, -0.3058621, 1.0]]]
[['2, k, 0', [0.3169688, -0.1924353, 1.0]], ['2, k, 1', [0.3432855, 0.09087107, 1.0]], ['2, k, 2', [0.3671086, 0.3674249, 1.0]], ['2, k, 3', [0.3717116, 0.5039115, 1.0]], ['2, k, 4', [0.207765, 0.2669682, 1.0]], ['2, k, 5', [0.07101694, 0.298988, 1.0]], ['2, k, 6', [0.01090447, 0.2985449, 1.0]], ['2, k, 7', [-0.03083884, 0.3298807, 1.0]], ['2, k, 8', [0.5246886, 0.2528458, 1.0]], ['2, k, 9', [0.5894225, -0.02276291, 1.0]], ['2, k, 10', [0.6090131, -0.2514645, 1.0]], ['2, k, 11', [0.608426, -0.3110297, 1.0]], ['2, k, 12', [0.224538, -0.1847188, 1.0]], ['2, k, 13', [0.1154793, -0.2625543, 1.0]], ['2, k, 14', [0.1113845, -0.6385821, 1.0]], ['2, k, 15', [0.0555502, -0.6970575, 1.0]], ['2, k, 16', [0.40159, -0.1954631, 1.0]], ['2, k, 17', [0.3967215, -0.2799942, 1.0]], ['2, k, 18', [0.3734134, -0.6517119, 1.0]], ['2, k, 19', [0.3540936, -0.6889182, 1.0]], ['2, k, 20', [0.3614486, 0.2991402, 1.0]], ['2, k, 21', [-0.08219074, 0.3370337, 1.0]], ['2, k, 22', [0.006226323, 0.3167178, 1.0]], ['2, k, 23', [0.6131492, -0.3829193, 1.0]], ['2, k, 24', [0.6412615, -0.3039642, 1.0]]]
[['2, k, 0', [0.3170268, -0.1918469, 1.0]], ['2, k, 1', [0.3432849, 0.09137528, 1.0]], ['2, k, 2', [0.3671159, 0.3678235, 1.0]], ['2, k, 3', [0.370075, 0.5045185, 1.0]], ['2, k, 4', [0.2091873, 0.2715804, 1.0]], ['2, k, 5', [0.07066656, 0.3330988, 1.0]], ['2, k, 6', [0.007520568, 0.4021233, 1.0]], ['2, k, 7', [-0.01646511, 0.4348615, 1.0]], ['2, k, 8', [0.5238652, 0.2542941, 1.0]], ['2, k, 9', [0.5888025, -0.02193647, 1.0]], ['2, k, 10', [0.6059209, -0.2556782, 1.0]], ['2, k, 11', [0.6015071, -0.3081788, 1.0]], ['2, k, 12', [0.2245571, -0.1842114, 1.0]], ['2, k, 13', [0.1154662, -0.2623819, 1.0]], ['2, k, 14', [0.1114113, -0.6383846, 1.0]], ['2, k, 15', [0.05781984, -0.6966469, 1.0]], ['2, k, 16', [0.4017226, -0.1947365, 1.0]], ['2, k, 17', [0.3967887, -0.279454, 1.0]], ['2, k, 18', [0.3734687, -0.6511735, 1.0]], ['2, k, 19', [0.3838838, -0.707569, 1.0]], ['2, k, 20', [0.3614576, 0.2995775, 1.0]], ['2, k, 21', [-0.04601405, 0.4645213, 1.0]], ['2, k, 22', [0.02618928, 0.4200829, 1.0]], ['2, k, 23', [0.6031299, -0.3780127, 1.0]], ['2, k, 24', [0.6327474, -0.3090168, 1.0]]]
[['2, k, 0', [0.3177294, -0.1909815, 1.0]], ['2, k, 1', [0.343188, 0.09214285, 1.0]], ['2, k, 2', [0.3661542, 0.3689449, 1.0]], ['2, k, 3', [0.3688526, 0.5054333, 1.0]], ['2, k, 4', [0.2112142, 0.2781737, 1.0]], ['2, k, 5', [0.08941399, 0.3784183, 1.0]], ['2, k, 6', [0.04497751, 0.4684311, 1.0]], ['2, k, 7', [0.00216919, 0.5298589, 1.0]], ['2, k, 8', [0.5230691, 0.2550208, 1.0]], ['2, k, 9', [0.5883592, -0.01993493, 1.0]], ['2, k, 10', [0.5989444, -0.2463463, 1.0]], ['2, k, 11', [0.5917379, -0.2930954, 1.0]], ['2, k, 12', [0.2253814, -0.1829373, 1.0]], ['2, k, 13', [0.1151862, -0.2624226, 1.0]], ['2, k, 14', [0.1127875, -0.6381875, 1.0]], ['2, k, 15', [0.05303825, -0.6988385, 1.0]], ['2, k, 16', [0.4024847, -0.1939959, 1.0]], ['2, k, 17', [0.3969051, -0.2794566, 1.0]], ['2, k, 18', [0.3732952, -0.6511897, 1.0]], ['2, k, 19', [0.3837677, -0.7079871, 1.0]], ['2, k, 20', [0.3607743, 0.3005911, 1.0]], ['2, k, 21', [-0.03332806, 0.5730535, 1.0]], ['2, k, 22', [0.04635125, 0.5068989, 1.0]], ['2, k, 23', [0.5976537, -0.3788027, 1.0]], ['2, k, 24', [0.6245242, -0.2891839, 1.0]]]
[['2, k, 0', [0.31861, -0.1889683, 1.0]], ['2, k, 1', [0.3432007, 0.09363063, 1.0]], ['2, k, 2', [0.3655972, 0.3701086, 1.0]], ['2, k, 3', [0.3674843, 0.5068185, 1.0]], ['2, k, 4', [0.2112525, 0.2830712, 1.0]], ['2, k, 5', [0.09420912, 0.427232, 1.0]], ['2, k, 6', [0.05802838, 0.552147, 1.0]], ['2, k, 7', [0.02750356, 0.6133932, 1.0]], ['2, k, 8', [0.5223021, 0.255695, 1.0]], ['2, k, 9', [0.5874324, -0.01783789, 1.0]], ['2, k, 10', [0.5979227, -0.2500451, 1.0]], ['2, k, 11', [0.5934712, -0.2957397, 1.0]], ['2, k, 12', [0.22638, -0.1805958, 1.0]], ['2, k, 13', [0.1150951, -0.2624065, 1.0]], ['2, k, 14', [0.1119352, -0.6380295, 1.0]], ['2, k, 15', [0.05313709, -0.6988664, 1.0]], ['2, k, 16', [0.4032695, -0.1922437, 1.0]], ['2, k, 17', [0.3969874, -0.2795161, 1.0]], ['2, k, 18', [0.3733227, -0.651059, 1.0]], ['2, k, 19', [0.3836027, -0.7071989, 1.0]], ['2, k, 20', [0.3603513, 0.3018314, 1.0]], ['2, k, 21', [0.0004336073, 0.6658548, 1.0]], ['2, k, 22', [0.07070038, 0.5899432, 1.0]], ['2, k, 23', [0.5976094, -0.3787793, 1.0]], ['2, k, 24', [0.6272693, -0.302073, 1.0]]]
[['2, k, 0', [0.318769, -0.1877135, 1.0]], ['2, k, 1', [0.3430111, 0.09393721, 1.0]], ['2, k, 2', [0.3649155, 0.3699536, 1.0]], ['2, k, 3', [0.3663519, 0.5067229, 1.0]], ['2, k, 4', [0.2108652, 0.2862613, 1.0]], ['2, k, 5', [0.104011, 0.4618682, 1.0]], ['2, k, 6', [0.06741225, 0.6348448, 1.0]], ['2, k, 7', [0.05508636, 0.6824462, 1.0]], ['2, k, 8', [0.5214314, 0.2565072, 1.0]], ['2, k, 9', [0.5870841, -0.01735724, 1.0]], ['2, k, 10', [0.5976915, -0.2503332, 1.0]], ['2, k, 11', [0.5953701, -0.2978637, 1.0]], ['2, k, 12', [0.2269661, -0.1788732, 1.0]], ['2, k, 13', [0.1152127, -0.2622139, 1.0]], ['2, k, 14', [0.1110693, -0.6383705, 1.0]], ['2, k, 15', [0.06611697, -0.6957216, 1.0]], ['2, k, 16', [0.4030056, -0.1909546, 1.0]], ['2, k, 17', [0.3969655, -0.2783372, 1.0]], ['2, k, 18', [0.373381, -0.6498216, 1.0]], ['2, k, 19', [0.383252, -0.7071245, 1.0]], ['2, k, 20', [0.3598671, 0.3018427, 1.0]], ['2, k, 21', [0.03236468, 0.7442793, 1.0]], ['2, k, 22', [0.1020801, 0.6482686, 1.0]], ['2, k, 23', [0.6011513, -0.37757, 1.0]], ['2, k, 24', [0.6302006, -0.3103928, 1.0]]]
[['2, k, 0', [0.318624, -0.1859982, 1.0]], ['2, k, 1', [0.3425867, 0.0948359, 1.0]], ['2, k, 2', [0.3643943, 0.3701993, 1.0]], ['2, k, 3', [0.3652868, 0.5076575, 1.0]], ['2, k, 4', [0.2114926, 0.2925669, 1.0]], ['2, k, 5', [0.1196684, 0.5042728, 1.0]], ['2, k, 6', [0.09361067, 0.6881703, 1.0]], ['2, k, 7', [0.08391032, 0.7419144, 1.0]], ['2, k, 8', [0.5206403, 0.2573451, 1.0]], ['2, k, 9', [0.586197, -0.01684144, 1.0]], ['2, k, 10', [0.5974018, -0.2522895, 1.0]], ['2, k, 11', [0.5953485, -0.301902, 1.0]], ['2, k, 12', [0.2271634, -0.1765529, 1.0]], ['2, k, 13', [0.1152919, -0.2621686, 1.0]], ['2, k, 14', [0.1101105, -0.6381778, 1.0]], ['2, k, 15', [0.06414636, -0.6962897, 1.0]], ['2, k, 16', [0.4025497, -0.1898151, 1.0]], ['2, k, 17', [0.3971099, -0.2784136, 1.0]], ['2, k, 18', [0.3734454, -0.6497806, 1.0]], ['2, k, 19', [0.3826906, -0.7075908, 1.0]], ['2, k, 20', [0.3593636, 0.3022177, 1.0]], ['2, k, 21', [0.07179874, 0.8060938, 1.0]], ['2, k, 22', [0.1319701, 0.7200047, 1.0]], ['2, k, 23', [0.603823, -0.3786177, 1.0]], ['2, k, 24', [0.6354409, -0.3151993, 1.0]]]
