[['2, k, 0', [-0.180941, -0.254086, 1.0]], ['2, k, 1', [-0.182494, 0.0392396, 1.0]], ['2, k, 2', [-0.182985, 0.325223, 1.0]], ['2, k, 3', [-0.181053, 0.453909, 1.0]], ['2, k, 4', [-0.365198, 0.23931, 1.0]], ['2, k, 5', [-0.536715, 0.0869997, 1.0]], ['2, k, 6', [-0.437198, -0.115707, 1.0]], ['2, k, 7', [-0.377045, -0.158524, 1.0]], ['2, k, 8', [-0.0139576, 0.234668, 1.0]], ['2, k, 9', [0.165771, 0.0990297, 1.0]], ['2, k, 10', [0.0814237, -0.119474, 1.0]], ['2, k, 11', [0.0238738, -0.160616, 1.0]], ['2, k, 12', [-0.258527, -0.24948, 1.0]], ['2, k, 13', [-0.332712, -0.645064, 1.0]], ['2, k, 14', [-0.388519, -1.01168, 1.0]], ['2, k, 15', [-0.412109, -1.07617, 1.0]], ['2, k, 16', [-0.0983488, -0.251679, 1.0]], ['2, k, 17', [-0.0295565, -0.615471, 1.0]], ['2, k, 18', [0.021861, -1.0019, 1.0]], ['2, k, 19', [0.0541077, -1.06738, 1.0]], ['2, k, 20', [-0.183048, 0.254788, 1.0]], ['2, k, 21', [-0.344661, -0.238937, 1.0]], ['2, k, 22', [-0.337612, -0.11399, 1.0]], ['2, k, 23', [0.0104636, -0.255934, 1.0]], ['2, k, 24', [0.00106478, -0.142256, 1.0]]]
[['2, k, 0', [-0.180962, -0.254091, 1.0]], ['2, k, 1', [-0.182485, 0.0392355, 1.0]], ['2, k, 2', [-0.182948, 0.325217, 1.0]], ['2, k, 3', [-0.181041, 0.453275, 1.0]], ['2, k, 4', [-0.365202, 0.239322, 1.0]], ['2, k, 5', [-0.536715, 0.0869562, 1.0]], ['2, k, 6', [-0.427947, -0.117323, 1.0]], ['2, k, 7', [-0.373789, -0.16626, 1.0]], ['2, k, 8', [-0.013984, 0.234713, 1.0]], ['2, k, 9', [0.165732, 0.0990663, 1.0]], ['2, k, 10', [0.0815444, -0.119553, 1.0]], ['2, k, 11', [0.0257837, -0.161643, 1.0]], ['2, k, 12', [-0.258548, -0.249488, 1.0]], ['2, k, 13', [-0.333272, -0.636796, 1.0]], ['2, k, 14', [-0.38876, -1.012, 1.0]], ['2, k, 15', [-0.412022, -1.07629, 1.0]], ['2, k, 16', [-0.098368, -0.251681, 1.0]], ['2, k, 17', [-0.0296557, -0.615114, 1.0]], ['2, k, 18', [0.0220788, -1.00133, 1.0]], ['2, k, 19', [0.0524761, -1.06518, 1.0]], ['2, k, 20', [-0.183021, 0.254782, 1.0]], ['2, k, 21', [-0.349507, -0.244654, 1.0]], ['2, k, 22', [-0.341075, -0.127135, 1.0]], ['2, k, 23', [0.0104843, -0.256371, 1.0]], ['2, k, 24', [0.00116961, -0.142303, 1.0]]]
[['2, k, 0', [-0.180953, -0.254082, 1.0]], ['2, k, 1', [-0.182445, 0.0392594, 1.0]], ['2, k, 2', [-0.182853, 0.325262, 1.0]], ['2, k, 3', [-0.181037, 0.453015, 1.0]], ['2, k, 4', [-0.365123, 0.239374, 1.0]], ['2, k, 5', [-0.536763, 0.0872701, 1.0]], ['2, k, 6', [-0.428117, -0.116978, 1.0]], ['2, k, 7', [-0.373415, -0.167959, 1.0]], ['2, k, 8', [-0.0139684, 0.234668, 1.0]], ['2, k, 9', [0.165731, 0.0990662, 1.0]], ['2, k, 10', [0.0751946, -0.115349, 1.0]], ['2, k, 11', [0.0194707, -0.161136, 1.0]], ['2, k, 12', [-0.258537, -0.249464, 1.0]], ['2, k, 13', [-0.33342, -0.636954, 1.0]], ['2, k, 14', [-0.387013, -1.00955, 1.0]], ['2, k, 15', [-0.411784, -1.07548, 1.0]], ['2, k, 16', [-0.0983611, -0.25168, 1.0]], ['2, k, 17', [-0.0298737, -0.613813, 1.0]], ['2, k, 18', [0.0221876, -1.0001, 1.0]], ['2, k, 19', [0.0522074, -1.06461, 1.0]], ['2, k, 20', [-0.182942, 0.254822, 1.0]], ['2, k, 21', [-0.349309, -0.244869, 1.0]], ['2, k, 22', [-0.341918, -0.125854, 1.0]], ['2, k, 23', [-0.00132509, -0.248411, 1.0]], ['2, k, 24', [-0.0080107, -0.130015, 1.0]]]
[['2, k, 0', [-0.18096, -0.254152, 1.0]], ['2, k, 1', [-0.182445, 0.039252, 1.0]], ['2, k, 2', [-0.182852, 0.325273, 1.0]], ['2, k, 3', [-0.181028, 0.453034, 1.0]], ['2, k, 4', [-0.365041, 0.23942, 1.0]], ['2, k, 5', [-0.535851, 0.0875286, 1.0]], ['2, k, 6', [-0.428176, -0.117219, 1.0]], ['2, k, 7', [-0.374543, -0.167806, 1.0]], ['2, k, 8', [-0.0140126, 0.23461, 1.0]], ['2, k, 9', [0.165721, 0.099079, 1.0]], ['2, k, 10', [0.0793376, -0.118027, 1.0]], ['2, k, 11', [0.0218209, -0.164739, 1.0]], ['2, k, 12', [-0.258545, -0.249519, 1.0]], ['2, k, 13', [-0.333427, -0.638188, 1.0]], ['2, k, 14', [-0.387085, -1.00946, 1.0]], ['2, k, 15', [-0.413036, -1.0767, 1.0]], ['2, k, 16', [-0.0983673, -0.251766, 1.0]], ['2, k, 17', [-0.0299098, -0.613524, 1.0]], ['2, k, 18', [0.0221582, -0.997036, 1.0]], ['2, k, 19', [0.0512472, -1.06262, 1.0]], ['2, k, 20', [-0.182941, 0.254827, 1.0]], ['2, k, 21', [-0.348602, -0.249223, 1.0]], ['2, k, 22', [-0.341713, -0.123719, 1.0]], ['2, k, 23', [0.00671291, -0.254164, 1.0]], ['2, k, 24', [-0.00179697, -0.138239, 1.0]]]
[['2, k, 0', [-0.180961, -0.254204, 1.0]], ['2, k, 1', [-0.182427, 0.0392518, 1.0]], ['2, k, 2', [-0.182796, 0.325318, 1.0]], ['2, k, 3', [-0.180993, 0.453105, 1.0]], ['2, k, 4', [-0.364947, 0.239517, 1.0]], ['2, k, 5', [-0.535261, 0.0877919, 1.0]], ['2, k, 6', [-0.437108, -0.116597, 1.0]], ['2, k, 7', [-0.377614, -0.158668, 1.0]], ['2, k, 8', [-0.0140151, 0.234658, 1.0]], ['2, k, 9', [0.165667, 0.0991365, 1.0]], ['2, k, 10', [0.0799836, -0.118378, 1.0]], ['2, k, 11', [0.0241054, -0.16043, 1.0]], ['2, k, 12', [-0.258546, -0.249559, 1.0]], ['2, k, 13', [-0.333675, -0.63992, 1.0]], ['2, k, 14', [-0.387098, -1.00967, 1.0]], ['2, k, 15', [-0.413517, -1.07699, 1.0]], ['2, k, 16', [-0.098368, -0.251829, 1.0]], ['2, k, 17', [-0.0299399, -0.613576, 1.0]], ['2, k, 18', [0.0224602, -0.996913, 1.0]], ['2, k, 19', [0.0509967, -1.06232, 1.0]], ['2, k, 20', [-0.1829, 0.254856, 1.0]], ['2, k, 21', [-0.349595, -0.241055, 1.0]], ['2, k, 22', [-0.340483, -0.118418, 1.0]], ['2, k, 23', [0.00974619, -0.255876, 1.0]], ['2, k, 24', [-0.00159561, -0.138374, 1.0]]]
[['2, k, 0', [-0.181056, -0.254211, 1.0]], ['2, k, 1', [-0.182433, 0.0392626, 1.0]], ['2, k, 2', [-0.182705, 0.325367, 1.0]], ['2, k, 3', [-0.180945, 0.45304, 1.0]], ['2, k, 4', [-0.364935, 0.239512, 1.0]], ['2, k, 5', [-0.534883, 0.0880451, 1.0]], ['2, k, 6', [-0.428267, -0.117186, 1.0]], ['2, k, 7', [-0.373532, -0.168799, 1.0]], ['2, k, 8', [-0.0140013, 0.234667, 1.0]], ['2, k, 9', [0.165661, 0.0991323, 1.0]], ['2, k, 10', [0.0811961, -0.119282, 1.0]], ['2, k, 11', [0.024763, -0.159219, 1.0]], ['2, k, 12', [-0.258658, -0.249573, 1.0]], ['2, k, 13', [-0.333575, -0.637686, 1.0]], ['2, k, 14', [-0.387158, -1.0098, 1.0]], ['2, k, 15', [-0.413467, -1.07695, 1.0]], ['2, k, 16', [-0.0984567, -0.251831, 1.0]], ['2, k, 17', [-0.0298999, -0.613341, 1.0]], ['2, k, 18', [0.0221679, -0.996197, 1.0]], ['2, k, 19', [0.050878, -1.06211, 1.0]], ['2, k, 20', [-0.182843, 0.254892, 1.0]], ['2, k, 21', [-0.346299, -0.247716, 1.0]], ['2, k, 22', [-0.340317, -0.126294, 1.0]], ['2, k, 23', [0.00857954, -0.253847, 1.0]], ['2, k, 24', [-0.000460082, -0.140926, 1.0]]]
[['2, k, 0', [-0.181064, -0.254232, 1.0]], ['2, k, 1', [-0.182395, 0.0392668, 1.0]], ['2, k, 2', [-0.182554, 0.325415, 1.0]], ['2, k, 3', [-0.180867, 0.453103, 1.0]], ['2, k, 4', [-0.364772, 0.239573, 1.0]], ['2, k, 5', [-0.535423, 0.0880193, 1.0]], ['2, k, 6', [-0.428364, -0.116706, 1.0]], ['2, k, 7', [-0.373023, -0.168904, 1.0]], ['2, k, 8', [-0.0139585, 0.234698, 1.0]], ['2, k, 9', [0.165651, 0.0991683, 1.0]], ['2, k, 10', [0.0816063, -0.119537, 1.0]], ['2, k, 11', [0.0267794, -0.16003, 1.0]], ['2, k, 12', [-0.258667, -0.249599, 1.0]], ['2, k, 13', [-0.333448, -0.636634, 1.0]], ['2, k, 14', [-0.386981, -1.01022, 1.0]], ['2, k, 15', [-0.413002, -1.07677, 1.0]], ['2, k, 16', [-0.0984627, -0.251844, 1.0]], ['2, k, 17', [-0.0293737, -0.615545, 1.0]], ['2, k, 18', [0.0223645, -0.997112, 1.0]], ['2, k, 19', [0.0514482, -1.06359, 1.0]], ['2, k, 20', [-0.182728, 0.254926, 1.0]], ['2, k, 21', [-0.346721, -0.248018, 1.0]], ['2, k, 22', [-0.340215, -0.122989, 1.0]], ['2, k, 23', [0.010648, -0.254185, 1.0]], ['2, k, 24', [0.00119931, -0.140571, 1.0]]]
[['2, k, 0', [-0.181066, -0.254236, 1.0]], ['2, k, 1', [-0.18238, 0.0392855, 1.0]], ['2, k, 2', [-0.182484, 0.325523, 1.0]], ['2, k, 3', [-0.180821, 0.453242, 1.0]], ['2, k, 4', [-0.364752, 0.239598, 1.0]], ['2, k, 5', [-0.534604, 0.0881686, 1.0]], ['2, k, 6', [-0.428326, -0.11707, 1.0]], ['2, k, 7', [-0.372893, -0.167489, 1.0]], ['2, k, 8', [-0.0139596, 0.234758, 1.0]], ['2, k, 9', [0.165584, 0.0991828, 1.0]], ['2, k, 10', [0.0818697, -0.119639, 1.0]], ['2, k, 11', [0.0277835, -0.158505, 1.0]], ['2, k, 12', [-0.258667, -0.249611, 1.0]], ['2, k, 13', [-0.333486, -0.637351, 1.0]], ['2, k, 14', [-0.386992, -1.01019, 1.0]], ['2, k, 15', [-0.41348, -1.07709, 1.0]], ['2, k, 16', [-0.0984634, -0.251845, 1.0]], ['2, k, 17', [-0.02938, -0.615537, 1.0]], ['2, k, 18', [0.0224369, -0.997095, 1.0]], ['2, k, 19', [0.0511284, -1.06277, 1.0]], ['2, k, 20', [-0.182674, 0.255006, 1.0]], ['2, k, 21', [-0.347215, -0.247894, 1.0]], ['2, k, 22', [-0.341252, -0.125857, 1.0]], ['2, k, 23', [0.0135207, -0.25611, 1.0]], ['2, k, 24', [0.00441252, -0.141795, 1.0]]]
[['2, k, 0', [-0.181078, -0.254269, 1.0]], ['2, k, 1', [-0.182315, 0.039316, 1.0]], ['2, k, 2', [-0.18226, 0.325664, 1.0]], ['2, k, 3', [-0.180695, 0.453406, 1.0]], ['2, k, 4', [-0.364502, 0.239634, 1.0]], ['2, k, 5', [-0.534327, 0.0882669, 1.0]], ['2, k, 6', [-0.428194, -0.116992, 1.0]], ['2, k, 7', [-0.373254, -0.167309, 1.0]], ['2, k, 8', [-0.0139473, 0.234759, 1.0]], ['2, k, 9', [0.165568, 0.0991695, 1.0]], ['2, k, 10', [0.0819763, -0.119636, 1.0]], ['2, k, 11', [0.0268003, -0.159385, 1.0]], ['2, k, 12', [-0.258679, -0.249643, 1.0]], ['2, k, 13', [-0.334382, -0.642908, 1.0]], ['2, k, 14', [-0.387214, -1.01033, 1.0]], ['2, k, 15', [-0.413201, -1.07699, 1.0]], ['2, k, 16', [-0.0984738, -0.251874, 1.0]], ['2, k, 17', [-0.0296312, -0.613018, 1.0]], ['2, k, 18', [0.0217904, -0.995374, 1.0]], ['2, k, 19', [0.050525, -1.06127, 1.0]], ['2, k, 20', [-0.182499, 0.255112, 1.0]], ['2, k, 21', [-0.350629, -0.246817, 1.0]], ['2, k, 22', [-0.340679, -0.127688, 1.0]], ['2, k, 23', [0.0127896, -0.25626, 1.0]], ['2, k, 24', [0.00372579, -0.144263, 1.0]]]
[['2, k, 0', [-0.181172, -0.254222, 1.0]], ['2, k, 1', [-0.182317, 0.0393781, 1.0]], ['2, k, 2', [-0.182178, 0.32579, 1.0]], ['2, k, 3', [-0.180548, 0.453539, 1.0]], ['2, k, 4', [-0.364433, 0.239765, 1.0]], ['2, k, 5', [-0.533894, 0.0886552, 1.0]], ['2, k, 6', [-0.428356, -0.116866, 1.0]], ['2, k, 7', [-0.373413, -0.169412, 1.0]], ['2, k, 8', [-0.0139238, 0.234783, 1.0]], ['2, k, 9', [0.165531, 0.0991716, 1.0]], ['2, k, 10', [0.0818557, -0.119569, 1.0]], ['2, k, 11', [0.0265695, -0.159012, 1.0]], ['2, k, 12', [-0.258791, -0.249772, 1.0]], ['2, k, 13', [-0.334373, -0.642945, 1.0]], ['2, k, 14', [-0.387306, -1.01094, 1.0]], ['2, k, 15', [-0.413409, -1.07701, 1.0]], ['2, k, 16', [-0.098655, -0.251562, 1.0]], ['2, k, 17', [-0.0297268, -0.612969, 1.0]], ['2, k, 18', [0.0217661, -0.995027, 1.0]], ['2, k, 19', [0.0499789, -1.06091, 1.0]], ['2, k, 20', [-0.182442, 0.255219, 1.0]], ['2, k, 21', [-0.345454, -0.246163, 1.0]], ['2, k, 22', [-0.340617, -0.123458, 1.0]], ['2, k, 23', [0.0104929, -0.256689, 1.0]], ['2, k, 24', [0.00423337, -0.145138, 1.0]]]
[['2, k, 0', [-0.181334, -0.254156, 1.0]], ['2, k, 1', [-0.18229, 0.0394076, 1.0]], ['2, k, 2', [-0.181812, 0.325876, 1.0]], ['2, k, 3', [-0.180378, 0.453832, 1.0]], ['2, k, 4', [-0.364293, 0.239981, 1.0]], ['2, k, 5', [-0.533008, 0.0894584, 1.0]], ['2, k, 6', [-0.42857, -0.116793, 1.0]], ['2, k, 7', [-0.373741, -0.166493, 1.0]], ['2, k, 8', [-0.0138587, 0.234802, 1.0]], ['2, k, 9', [0.165542, 0.0991714, 1.0]], ['2, k, 10', [0.0817385, -0.119382, 1.0]], ['2, k, 11', [0.0259158, -0.160013, 1.0]], ['2, k, 12', [-0.259005, -0.249987, 1.0]], ['2, k, 13', [-0.334775, -0.643176, 1.0]], ['2, k, 14', [-0.387305, -1.01051, 1.0]], ['2, k, 15', [-0.413602, -1.07687, 1.0]], ['2, k, 16', [-0.0988924, -0.251213, 1.0]], ['2, k, 17', [-0.0297305, -0.61297, 1.0]], ['2, k, 18', [0.0219966, -0.995269, 1.0]], ['2, k, 19', [0.0506461, -1.06137, 1.0]], ['2, k, 20', [-0.182196, 0.255293, 1.0]], ['2, k, 21', [-0.353412, -0.248892, 1.0]], ['2, k, 22', [-0.33965, -0.13013, 1.0]], ['2, k, 23', [0.0104975, -0.256709, 1.0]], ['2, k, 24', [0.00212527, -0.141702, 1.0]]]
