[['2, k, 0', [-0.08982854, 0.004843218, 1.0]], ['2, k, 1', [-0.08017814, 0.3042098, 1.0]], ['2, k, 2', [-0.06792085, 0.5954736, 1.0]], ['2, k, 3', [-0.04860203, 0.7318147, 1.0]], ['2, k, 4', [-0.2109796, 0.477441, 1.0]], ['2, k, 5', [-0.2871135, 0.2442079, 1.0]], ['2, k, 6', [-0.2908534, 0.04451662, 1.0]], ['2, k, 7', [-0.2831603, 0.01259761, 1.0]], ['2, k, 8', [0.0888902, 0.4710382, 1.0]], ['2, k, 9', [0.1116273, 0.2258604, 1.0]], ['2, k, 10', [0.1138805, 0.02830364, 1.0]], ['2, k, 11', [0.1059923, -0.03337128, 1.0]], ['2, k, 12', [-0.1567731, 0.005303406, 1.0]], ['2, k, 13', [-0.1813155, -0.2644421, 1.0]], ['2, k, 14', [-0.2152329, -0.5823847, 1.0]], ['2, k, 15', [-0.2175364, -0.6535321, 1.0]], ['2, k, 16', [-0.02049774, 0.00421311, 1.0]], ['2, k, 17', [-0.04477007, -0.2803557, 1.0]], ['2, k, 18', [-0.06073805, -0.5805676, 1.0]], ['2, k, 19', [-0.05039443, -0.6507446, 1.0]], ['2, k, 20', [-0.07122569, 0.5238282, 1.0]], ['2, k, 21', [-0.2892598, -0.02627783, 1.0]], ['2, k, 22', [-0.2494452, 0.02941683, 1.0]], ['2, k, 23', [0.09988788, -0.09977569, 1.0]], ['2, k, 24', [0.07386038, -0.03706864, 1.0]]]
[['2, k, 0', [-0.08386642, 0.004804309, 1.0]], ['2, k, 1', [-0.07411852, 0.3036327, 1.0]], ['2, k, 2', [-0.06321979, 0.5944325, 1.0]], ['2, k, 3', [-0.04667114, 0.7315965, 1.0]], ['2, k, 4', [-0.2105318, 0.4777672, 1.0]], ['2, k, 5', [-0.2847154, 0.2440007, 1.0]], ['2, k, 6', [-0.2866644, 0.04425116, 1.0]], ['2, k, 7', [-0.2792577, 0.01018247, 1.0]], ['2, k, 8', [0.09107994, 0.4705026, 1.0]], ['2, k, 9', [0.1134154, 0.2265921, 1.0]], ['2, k, 10', [0.122459, 0.02870288, 1.0]], ['2, k, 11', [0.1120541, -0.03451565, 1.0]], ['2, k, 12', [-0.1506199, 0.005865022, 1.0]], ['2, k, 13', [-0.1778361, -0.2642755, 1.0]], ['2, k, 14', [-0.2148303, -0.5840611, 1.0]], ['2, k, 15', [-0.2200437, -0.653997, 1.0]], ['2, k, 16', [-0.01485755, 0.00362425, 1.0]], ['2, k, 17', [-0.0421431, -0.2805344, 1.0]], ['2, k, 18', [-0.05952889, -0.5807348, 1.0]], ['2, k, 19', [-0.05022632, -0.6512718, 1.0]], ['2, k, 20', [-0.06606787, 0.5228816, 1.0]], ['2, k, 21', [-0.2866213, -0.04392533, 1.0]], ['2, k, 22', [-0.247482, 0.01502436, 1.0]], ['2, k, 23', [0.115156, -0.0937672, 1.0]], ['2, k, 24', [0.07579574, -0.04015399, 1.0]]]
[['2, k, 0', [-0.07815084, 0.005050963, 1.0]], ['2, k, 1', [-0.06895866, 0.3034902, 1.0]], ['2, k, 2', [-0.05907854, 0.5938983, 1.0]], ['2, k, 3', [-0.04086101, 0.7311069, 1.0]], ['2, k, 4', [-0.2058518, 0.4798104, 1.0]], ['2, k, 5', [-0.2806886, 0.2443568, 1.0]], ['2, k, 6', [-0.2814563, 0.04466425, 1.0]], ['2, k, 7', [-0.2748967, 0.01057383, 1.0]], ['2, k, 8', [0.09714902, 0.4684835, 1.0]], ['2, k, 9', [0.1189206, 0.2268861, 1.0]], ['2, k, 10', [0.1296333, 0.02902819, 1.0]], ['2, k, 11', [0.117925, -0.0342959, 1.0]], ['2, k, 12', [-0.1449697, 0.006744411, 1.0]], ['2, k, 13', [-0.1798528, -0.281887, 1.0]], ['2, k, 14', [-0.2142921, -0.5834306, 1.0]], ['2, k, 15', [-0.2212386, -0.652207, 1.0]], ['2, k, 16', [-0.009233931, 0.00324177, 1.0]], ['2, k, 17', [-0.03863346, -0.279694, 1.0]], ['2, k, 18', [-0.05905024, -0.580759, 1.0]], ['2, k, 19', [-0.04995241, -0.6514249, 1.0]], ['2, k, 20', [-0.06162804, 0.5224432, 1.0]], ['2, k, 21', [-0.2866213, -0.04392533, 1.0]], ['2, k, 22', [-0.2433057, 0.01185657, 1.0]], ['2, k, 23', [0.1170009, -0.09997864, 1.0]], ['2, k, 24', [0.08380591, -0.03298648, 1.0]]]
[['2, k, 0', [-0.07510576, 0.005023451, 1.0]], ['2, k, 1', [-0.06469104, 0.3036053, 1.0]], ['2, k, 2', [-0.0536185, 0.5941249, 1.0]], ['2, k, 3', [-0.03371198, 0.7304953, 1.0]], ['2, k, 4', [-0.201645, 0.4807273, 1.0]], ['2, k, 5', [-0.275919, 0.2447905, 1.0]], ['2, k, 6', [-0.278139, 0.04303253, 1.0]], ['2, k, 7', [-0.2723261, 0.009270443, 1.0]], ['2, k, 8', [0.1031475, 0.4667623, 1.0]], ['2, k, 9', [0.1229617, 0.2271937, 1.0]], ['2, k, 10', [0.1315512, 0.02908842, 1.0]], ['2, k, 11', [0.1217323, -0.03585325, 1.0]], ['2, k, 12', [-0.1418404, 0.00715925, 1.0]], ['2, k, 13', [-0.1805845, -0.2859478, 1.0]], ['2, k, 14', [-0.2195332, -0.5850165, 1.0]], ['2, k, 15', [-0.2404923, -0.6561363, 1.0]], ['2, k, 16', [-0.006349972, 0.00279044, 1.0]], ['2, k, 17', [-0.03561499, -0.2786827, 1.0]], ['2, k, 18', [-0.05639824, -0.5786409, 1.0]], ['2, k, 19', [-0.04918327, -0.6499859, 1.0]], ['2, k, 20', [-0.05644367, 0.5226496, 1.0]], ['2, k, 21', [-0.2857094, -0.04017508, 1.0]], ['2, k, 22', [-0.2441054, -0.01331655, 1.0]], ['2, k, 23', [0.1169393, -0.0999219, 1.0]], ['2, k, 24', [0.08587685, -0.03802669, 1.0]]]
[['2, k, 0', [-0.071575, 0.004883982, 1.0]], ['2, k, 1', [-0.05953391, 0.3033052, 1.0]], ['2, k, 2', [-0.04643312, 0.5935205, 1.0]], ['2, k, 3', [-0.02703573, 0.7300183, 1.0]], ['2, k, 4', [-0.1951785, 0.4810622, 1.0]], ['2, k, 5', [-0.273706, 0.2452862, 1.0]], ['2, k, 6', [-0.2766428, 0.04251701, 1.0]], ['2, k, 7', [-0.2703263, 0.01046655, 1.0]], ['2, k, 8', [0.1082823, 0.466295, 1.0]], ['2, k, 9', [0.1266368, 0.2258287, 1.0]], ['2, k, 10', [0.1343199, 0.02766225, 1.0]], ['2, k, 11', [0.1268768, -0.03676378, 1.0]], ['2, k, 12', [-0.138617, 0.007461845, 1.0]], ['2, k, 13', [-0.1840322, -0.2937748, 1.0]], ['2, k, 14', [-0.2245373, -0.5922982, 1.0]], ['2, k, 15', [-0.2463002, -0.6596161, 1.0]], ['2, k, 16', [-0.002548321, 0.002182083, 1.0]], ['2, k, 17', [-0.03036831, -0.2729313, 1.0]], ['2, k, 18', [-0.05493985, -0.5775925, 1.0]], ['2, k, 19', [-0.04940462, -0.6495604, 1.0]], ['2, k, 20', [-0.04978354, 0.5221367, 1.0]], ['2, k, 21', [-0.2645954, -0.03146597, 1.0]], ['2, k, 22', [-0.2370936, 0.02382399, 1.0]], ['2, k, 23', [0.1195409, -0.1081444, 1.0]], ['2, k, 24', [0.09195219, -0.05139815, 1.0]]]
[['2, k, 0', [-0.06882972, 0.004907391, 1.0]], ['2, k, 1', [-0.0559835, 0.3032006, 1.0]], ['2, k, 2', [-0.04214278, 0.5932454, 1.0]], ['2, k, 3', [-0.02128888, 0.730002, 1.0]], ['2, k, 4', [-0.1898638, 0.482428, 1.0]], ['2, k, 5', [-0.2709238, 0.2460783, 1.0]], ['2, k, 6', [-0.2752782, 0.04289379, 1.0]], ['2, k, 7', [-0.2686494, 0.009938251, 1.0]], ['2, k, 8', [0.1145324, 0.4648671, 1.0]], ['2, k, 9', [0.1314023, 0.2258808, 1.0]], ['2, k, 10', [0.1360436, 0.02756441, 1.0]], ['2, k, 11', [0.1299711, -0.03562924, 1.0]], ['2, k, 12', [-0.1359212, 0.007995009, 1.0]], ['2, k, 13', [-0.1884241, -0.3033848, 1.0]], ['2, k, 14', [-0.2357925, -0.5873156, 1.0]], ['2, k, 15', [-0.2682437, -0.6498891, 1.0]], ['2, k, 16', [0.0001587345, 0.001699836, 1.0]], ['2, k, 17', [-0.0288983, -0.2710641, 1.0]], ['2, k, 18', [-0.05454852, -0.5772302, 1.0]], ['2, k, 19', [-0.04925386, -0.6493826, 1.0]], ['2, k, 20', [-0.04566197, 0.521908, 1.0]], ['2, k, 21', [-0.2641909, -0.03141012, 1.0]], ['2, k, 22', [-0.2330827, 0.02789781, 1.0]], ['2, k, 23', [0.1267258, -0.1013398, 1.0]], ['2, k, 24', [0.09914801, -0.03497513, 1.0]]]
[['2, k, 0', [-0.06835317, 0.005033526, 1.0]], ['2, k, 1', [-0.05393664, 0.3033376, 1.0]], ['2, k, 2', [-0.03724936, 0.5933453, 1.0]], ['2, k, 3', [-0.01511929, 0.7291636, 1.0]], ['2, k, 4', [-0.1851278, 0.4832006, 1.0]], ['2, k, 5', [-0.267369, 0.2462247, 1.0]], ['2, k, 6', [-0.2750405, 0.04258931, 1.0]], ['2, k, 7', [-0.2686129, 0.009373022, 1.0]], ['2, k, 8', [0.1185271, 0.463777, 1.0]], ['2, k, 9', [0.1356776, 0.22431, 1.0]], ['2, k, 10', [0.1383735, 0.02616485, 1.0]], ['2, k, 11', [0.1329992, -0.03728045, 1.0]], ['2, k, 12', [-0.1354577, 0.008538366, 1.0]], ['2, k, 13', [-0.1928688, -0.3072367, 1.0]], ['2, k, 14', [-0.25637, -0.5909343, 1.0]], ['2, k, 15', [-0.2858906, -0.6558759, 1.0]], ['2, k, 16', [0.0007222881, 0.001412753, 1.0]], ['2, k, 17', [-0.02773543, -0.2707743, 1.0]], ['2, k, 18', [-0.0544114, -0.5770848, 1.0]], ['2, k, 19', [-0.04816818, -0.6505281, 1.0]], ['2, k, 20', [-0.04156421, 0.5220252, 1.0]], ['2, k, 21', [-0.2657673, -0.03215598, 1.0]], ['2, k, 22', [-0.234287, 0.02108313, 1.0]], ['2, k, 23', [0.124687, -0.107625, 1.0]], ['2, k, 24', [0.09606604, -0.038355, 1.0]]]
[['2, k, 0', [-0.0664276, 0.005020127, 1.0]], ['2, k, 1', [-0.05015654, 0.3030124, 1.0]], ['2, k, 2', [-0.0317024, 0.5925655, 1.0]], ['2, k, 3', [-0.01015161, 0.7287656, 1.0]], ['2, k, 4', [-0.1812378, 0.4827477, 1.0]], ['2, k, 5', [-0.2647529, 0.2453173, 1.0]], ['2, k, 6', [-0.2749923, 0.04211474, 1.0]], ['2, k, 7', [-0.2686639, 0.008183069, 1.0]], ['2, k, 8', [0.121896, 0.4630702, 1.0]], ['2, k, 9', [0.1382418, 0.224049, 1.0]], ['2, k, 10', [0.1413265, 0.02585783, 1.0]], ['2, k, 11', [0.1362881, -0.03889221, 1.0]], ['2, k, 12', [-0.1339244, 0.008972128, 1.0]], ['2, k, 13', [-0.2014516, -0.316933, 1.0]], ['2, k, 14', [-0.2757117, -0.5988585, 1.0]], ['2, k, 15', [-0.3075564, -0.6627138, 1.0]], ['2, k, 16', [0.003021557, 0.0008202003, 1.0]], ['2, k, 17', [-0.0267053, -0.2697859, 1.0]], ['2, k, 18', [-0.0540508, -0.5773669, 1.0]], ['2, k, 19', [-0.04715084, -0.6505783, 1.0]], ['2, k, 20', [-0.03640758, 0.5213655, 1.0]], ['2, k, 21', [-0.266222, -0.03257551, 1.0]], ['2, k, 22', [-0.2335022, 0.02148845, 1.0]], ['2, k, 23', [0.1268017, -0.1089308, 1.0]], ['2, k, 24', [0.1005934, -0.04143595, 1.0]]]
[['2, k, 0', [-0.06566187, 0.004597019, 1.0]], ['2, k, 1', [-0.04799632, 0.3018976, 1.0]], ['2, k, 2', [-0.02747028, 0.5900863, 1.0]], ['2, k, 3', [-0.003747052, 0.727092, 1.0]], ['2, k, 4', [-0.1768594, 0.4814419, 1.0]], ['2, k, 5', [-0.2612083, 0.2446911, 1.0]], ['2, k, 6', [-0.2763279, 0.04173802, 1.0]], ['2, k, 7', [-0.2706547, 0.007474233, 1.0]], ['2, k, 8', [0.1284854, 0.4606457, 1.0]], ['2, k, 9', [0.1427407, 0.2218127, 1.0]], ['2, k, 10', [0.1445706, 0.02370817, 1.0]], ['2, k, 11', [0.1402781, -0.04341757, 1.0]], ['2, k, 12', [-0.1331935, 0.009427625, 1.0]], ['2, k, 13', [-0.2141936, -0.31692, 1.0]], ['2, k, 14', [-0.308012, -0.5913824, 1.0]], ['2, k, 15', [-0.3354492, -0.6508789, 1.0]], ['2, k, 16', [0.003771127, -0.0004076182, 1.0]], ['2, k, 17', [-0.02457202, -0.270489, 1.0]], ['2, k, 18', [-0.05385252, -0.5775181, 1.0]], ['2, k, 19', [-0.04718418, -0.6506341, 1.0]], ['2, k, 20', [-0.03275414, 0.519287, 1.0]], ['2, k, 21', [-0.2750381, -0.03311904, 1.0]], ['2, k, 22', [-0.2351987, 0.009748858, 1.0]], ['2, k, 23', [0.1342614, -0.1088839, 1.0]], ['2, k, 24', [0.1059097, -0.04116441, 1.0]]]
[['2, k, 0', [-0.06407646, 0.004420394, 1.0]], ['2, k, 1', [-0.04488519, 0.3009654, 1.0]], ['2, k, 2', [-0.02267574, 0.5883479, 1.0]], ['2, k, 3', [-0.0004779219, 0.7257091, 1.0]], ['2, k, 4', [-0.1744763, 0.4808271, 1.0]], ['2, k, 5', [-0.2590589, 0.2430243, 1.0]], ['2, k, 6', [-0.2775881, 0.04216184, 1.0]], ['2, k, 7', [-0.2721503, 0.005406887, 1.0]], ['2, k, 8', [0.1320992, 0.459542, 1.0]], ['2, k, 9', [0.1467746, 0.2202919, 1.0]], ['2, k, 10', [0.1547945, 0.02234873, 1.0]], ['2, k, 11', [0.1444304, -0.04518988, 1.0]], ['2, k, 12', [-0.1318308, 0.01032338, 1.0]], ['2, k, 13', [-0.2185663, -0.3150763, 1.0]], ['2, k, 14', [-0.3390014, -0.6394294, 1.0]], ['2, k, 15', [-0.3567989, -0.6815095, 1.0]], ['2, k, 16', [0.005471663, -0.001683215, 1.0]], ['2, k, 17', [-0.02284743, -0.2712985, 1.0]], ['2, k, 18', [-0.05336599, -0.5773008, 1.0]], ['2, k, 19', [-0.04659681, -0.652119, 1.0]], ['2, k, 20', [-0.02843903, 0.5177717, 1.0]], ['2, k, 21', [-0.2631599, -0.06892503, 1.0]], ['2, k, 22', [-0.2365506, -0.01909515, 1.0]], ['2, k, 23', [0.136861, -0.1085133, 1.0]], ['2, k, 24', [0.1101011, -0.04334086, 1.0]]]
[['2, k, 0', [-0.06344401, 0.004802753, 1.0]], ['2, k, 1', [-0.04289047, 0.3003317, 1.0]], ['2, k, 2', [-0.0189878, 0.5864003, 1.0]], ['2, k, 3', [0.001758602, 0.7246247, 1.0]], ['2, k, 4', [-0.1727231, 0.4806008, 1.0]], ['2, k, 5', [-0.2577833, 0.2422954, 1.0]], ['2, k, 6', [-0.2800705, 0.04442209, 1.0]], ['2, k, 7', [-0.275933, 0.006588206, 1.0]], ['2, k, 8', [0.135463, 0.4596135, 1.0]], ['2, k, 9', [0.1501851, 0.2200399, 1.0]], ['2, k, 10', [0.1565789, 0.02208253, 1.0]], ['2, k, 11', [0.146234, -0.04338014, 1.0]], ['2, k, 12', [-0.1312075, 0.01105118, 1.0]], ['2, k, 13', [-0.2250153, -0.3129955, 1.0]], ['2, k, 14', [-0.3408023, -0.6128978, 1.0]], ['2, k, 15', [-0.3203563, -0.6479037, 1.0]], ['2, k, 16', [0.006035748, -0.001764213, 1.0]], ['2, k, 17', [-0.02190828, -0.2715807, 1.0]], ['2, k, 18', [-0.05292867, -0.5782419, 1.0]], ['2, k, 19', [-0.04673824, -0.6528178, 1.0]], ['2, k, 20', [-0.02517736, 0.5161883, 1.0]], ['2, k, 21', [-0.2662672, -0.06880029, 1.0]], ['2, k, 22', [-0.2366139, 0.006036938, 1.0]], ['2, k, 23', [0.1422249, -0.1092199, 1.0]], ['2, k, 24', [0.115474, -0.0545538, 1.0]]]
