[['2, k, 0', [-0.1693806, 0.0627045, 1.0]], ['2, k, 1', [-0.1744055, 0.3360615, 1.0]], ['2, k, 2', [-0.1779027, 0.6020299, 1.0]], ['2, k, 3', [-0.1605729, 0.7361863, 1.0]], ['2, k, 4', [-0.3233424, 0.4775173, 1.0]], ['2, k, 5', [-0.3772949, 0.2482764, 1.0]], ['2, k, 6', [-0.379802, 0.06259124, 1.0]], ['2, k, 7', [-0.3790559, 0.0162892, 1.0]], ['2, k, 8', [-0.008777532, 0.4806752, 1.0]], ['2, k, 9', [0.03261429, 0.24074, 1.0]], ['2, k, 10', [0.04258983, 0.05893129, 1.0]], ['2, k, 11', [0.02881363, 0.00101891, 1.0]], ['2, k, 12', [-0.2297417, 0.06204612, 1.0]], ['2, k, 13', [-0.2265017, -0.2516297, 1.0]], ['2, k, 14', [-0.2154921, -0.554631, 1.0]], ['2, k, 15', [-0.2084797, -0.6266006, 1.0]], ['2, k, 16', [-0.1049998, 0.06178008, 1.0]], ['2, k, 17', [-0.1188827, -0.2533045, 1.0]], ['2, k, 18', [-0.1077544, -0.5280512, 1.0]], ['2, k, 19', [-0.0905266, -0.5750736, 1.0]], ['2, k, 20', [-0.1772152, 0.5365578, 1.0]], ['2, k, 21', [-0.380531, -0.05639137, 1.0]], ['2, k, 22', [-0.4083714, 0.01659314, 1.0]], ['2, k, 23', [0.02539474, -0.06383805, 1.0]], ['2, k, 24', [-0.001582417, 0.004877097, 1.0]]]
[['2, k, 0', [-0.1691187, 0.06271174, 1.0]], ['2, k, 1', [-0.1742435, 0.3360695, 1.0]], ['2, k, 2', [-0.1778542, 0.602053, 1.0]], ['2, k, 3', [-0.1605136, 0.7361875, 1.0]], ['2, k, 4', [-0.3227797, 0.4776463, 1.0]], ['2, k, 5', [-0.3768543, 0.2480775, 1.0]], ['2, k, 6', [-0.3820752, 0.06209433, 1.0]], ['2, k, 7', [-0.379043, 0.01405746, 1.0]], ['2, k, 8', [-0.008234754, 0.4805774, 1.0]], ['2, k, 9', [0.03242392, 0.2409635, 1.0]], ['2, k, 10', [0.04164492, 0.05927414, 1.0]], ['2, k, 11', [0.02370143, 0.00325408, 1.0]], ['2, k, 12', [-0.2295132, 0.062025, 1.0]], ['2, k, 13', [-0.2274, -0.2515151, 1.0]], ['2, k, 14', [-0.2164964, -0.5539727, 1.0]], ['2, k, 15', [-0.2073988, -0.6251213, 1.0]], ['2, k, 16', [-0.1046901, 0.06182629, 1.0]], ['2, k, 17', [-0.118825, -0.2532773, 1.0]], ['2, k, 18', [-0.1092638, -0.527414, 1.0]], ['2, k, 19', [-0.09219434, -0.5744534, 1.0]], ['2, k, 20', [-0.177142, 0.536577, 1.0]], ['2, k, 21', [-0.3782498, -0.05582745, 1.0]], ['2, k, 22', [-0.4113781, 0.01473437, 1.0]], ['2, k, 23', [0.02322607, -0.06484322, 1.0]], ['2, k, 24', [-0.006789119, 0.005469263, 1.0]]]
[['2, k, 0', [-0.1687882, 0.06291959, 1.0]], ['2, k, 1', [-0.1738645, 0.3360918, 1.0]], ['2, k, 2', [-0.1774392, 0.6018711, 1.0]], ['2, k, 3', [-0.1602143, 0.7364125, 1.0]], ['2, k, 4', [-0.322793, 0.4776762, 1.0]], ['2, k, 5', [-0.3768831, 0.2478892, 1.0]], ['2, k, 6', [-0.3825308, 0.06191804, 1.0]], ['2, k, 7', [-0.3804053, 0.01493116, 1.0]], ['2, k, 8', [-0.007807098, 0.4806855, 1.0]], ['2, k, 9', [0.03256546, 0.2415243, 1.0]], ['2, k, 10', [0.04055084, 0.05920281, 1.0]], ['2, k, 11', [0.02118322, 0.005480915, 1.0]], ['2, k, 12', [-0.2292314, 0.06211493, 1.0]], ['2, k, 13', [-0.2278061, -0.2511686, 1.0]], ['2, k, 14', [-0.2139801, -0.5504409, 1.0]], ['2, k, 15', [-0.2078605, -0.6227797, 1.0]], ['2, k, 16', [-0.1042673, 0.06222533, 1.0]], ['2, k, 17', [-0.1189323, -0.2522331, 1.0]], ['2, k, 18', [-0.1108666, -0.5260581, 1.0]], ['2, k, 19', [-0.09380274, -0.5731052, 1.0]], ['2, k, 20', [-0.176735, 0.5364552, 1.0]], ['2, k, 21', [-0.3819158, -0.05522864, 1.0]], ['2, k, 22', [-0.4113624, 0.002167632, 1.0]], ['2, k, 23', [0.02195051, -0.05595844, 1.0]], ['2, k, 24', [-0.003884245, 0.01353055, 1.0]]]
[['2, k, 0', [-0.1687367, 0.06301626, 1.0]], ['2, k, 1', [-0.1744276, 0.3361433, 1.0]], ['2, k, 2', [-0.1798081, 0.6018322, 1.0]], ['2, k, 3', [-0.1601928, 0.7363918, 1.0]], ['2, k, 4', [-0.3224072, 0.4780935, 1.0]], ['2, k, 5', [-0.3773404, 0.2481861, 1.0]], ['2, k, 6', [-0.3830169, 0.06212498, 1.0]], ['2, k, 7', [-0.3819672, 0.01622061, 1.0]], ['2, k, 8', [-0.007672229, 0.4807025, 1.0]], ['2, k, 9', [0.03253275, 0.2418412, 1.0]], ['2, k, 10', [0.03935482, 0.05902323, 1.0]], ['2, k, 11', [0.01938652, 0.008648284, 1.0]], ['2, k, 12', [-0.2291931, 0.06223807, 1.0]], ['2, k, 13', [-0.2251401, -0.2508624, 1.0]], ['2, k, 14', [-0.2126569, -0.5565243, 1.0]], ['2, k, 15', [-0.2104669, -0.6285273, 1.0]], ['2, k, 16', [-0.1042298, 0.06229283, 1.0]], ['2, k, 17', [-0.1180782, -0.2523394, 1.0]], ['2, k, 18', [-0.1095354, -0.5264658, 1.0]], ['2, k, 19', [-0.09268778, -0.573459, 1.0]], ['2, k, 20', [-0.1785116, 0.5364482, 1.0]], ['2, k, 21', [-0.3878299, -0.05617574, 1.0]], ['2, k, 22', [-0.4102821, 0.009680515, 1.0]], ['2, k, 23', [0.0231921, -0.04959273, 1.0]], ['2, k, 24', [-0.005175306, 0.01387683, 1.0]]]
[['2, k, 0', [-0.1685656, 0.06296667, 1.0]], ['2, k, 1', [-0.1742128, 0.3360755, 1.0]], ['2, k, 2', [-0.1794737, 0.6017618, 1.0]], ['2, k, 3', [-0.1601028, 0.7361727, 1.0]], ['2, k, 4', [-0.3223053, 0.4779958, 1.0]], ['2, k, 5', [-0.3776957, 0.2483287, 1.0]], ['2, k, 6', [-0.3841292, 0.06208325, 1.0]], ['2, k, 7', [-0.3841701, 0.01404145, 1.0]], ['2, k, 8', [-0.007600039, 0.4807224, 1.0]], ['2, k, 9', [0.03244285, 0.2423644, 1.0]], ['2, k, 10', [0.03885385, 0.05945609, 1.0]], ['2, k, 11', [0.0184122, 0.009034543, 1.0]], ['2, k, 12', [-0.2290311, 0.06218834, 1.0]], ['2, k, 13', [-0.224544, -0.2514926, 1.0]], ['2, k, 14', [-0.2119632, -0.5251442, 1.0]], ['2, k, 15', [-0.1943312, -0.5721633, 1.0]], ['2, k, 16', [-0.104057, 0.06224511, 1.0]], ['2, k, 17', [-0.119074, -0.2521789, 1.0]], ['2, k, 18', [-0.109815, -0.5261675, 1.0]], ['2, k, 19', [-0.09328051, -0.5731753, 1.0]], ['2, k, 20', [-0.1782249, 0.5363788, 1.0]], ['2, k, 21', [-0.3857455, -0.05562393, 1.0]], ['2, k, 22', [-0.4173414, 0.01180654, 1.0]], ['2, k, 23', [0.02697453, -0.05611705, 1.0]], ['2, k, 24', [-0.007261513, 0.005404204, 1.0]]]
[['2, k, 0', [-0.1685596, 0.06295595, 1.0]], ['2, k, 1', [-0.1736387, 0.3361348, 1.0]], ['2, k, 2', [-0.1771443, 0.6021279, 1.0]], ['2, k, 3', [-0.1595293, 0.7362977, 1.0]], ['2, k, 4', [-0.3221205, 0.4782435, 1.0]], ['2, k, 5', [-0.3789654, 0.249355, 1.0]], ['2, k, 6', [-0.4030809, 0.06477599, 1.0]], ['2, k, 7', [-0.4140447, 0.007306536, 1.0]], ['2, k, 8', [-0.007372523, 0.4806994, 1.0]], ['2, k, 9', [0.03295756, 0.2436801, 1.0]], ['2, k, 10', [0.03759156, 0.05942648, 1.0]], ['2, k, 11', [0.01876913, 0.00761792, 1.0]], ['2, k, 12', [-0.2290371, 0.06219999, 1.0]], ['2, k, 13', [-0.2279095, -0.2519191, 1.0]], ['2, k, 14', [-0.210802, -0.5253065, 1.0]], ['2, k, 15', [-0.1934459, -0.5723385, 1.0]], ['2, k, 16', [-0.1040391, 0.06220004, 1.0]], ['2, k, 17', [-0.1182098, -0.2529524, 1.0]], ['2, k, 18', [-0.1080266, -0.5269004, 1.0]], ['2, k, 19', [-0.09177481, -0.5739138, 1.0]], ['2, k, 20', [-0.1764744, 0.5366395, 1.0]], ['2, k, 21', [-0.408661, -0.05589662, 1.0]], ['2, k, 22', [-0.4371971, 0.01749383, 1.0]], ['2, k, 23', [0.02700955, -0.04909695, 1.0]], ['2, k, 24', [-0.006072907, 0.01487757, 1.0]]]
[['2, k, 0', [-0.1684793, 0.06302348, 1.0]], ['2, k, 1', [-0.1733189, 0.3361803, 1.0]], ['2, k, 2', [-0.1765744, 0.6021096, 1.0]], ['2, k, 3', [-0.1594205, 0.7363083, 1.0]], ['2, k, 4', [-0.322067, 0.4783593, 1.0]], ['2, k, 5', [-0.383267, 0.2526225, 1.0]], ['2, k, 6', [-0.4179309, 0.07014395, 1.0]], ['2, k, 7', [-0.4366579, 0.01360069, 1.0]], ['2, k, 8', [-0.007137496, 0.4807799, 1.0]], ['2, k, 9', [0.03309949, 0.2437168, 1.0]], ['2, k, 10', [0.03710302, 0.0597151, 1.0]], ['2, k, 11', [0.01963845, 0.006622261, 1.0]], ['2, k, 12', [-0.2290089, 0.06237499, 1.0]], ['2, k, 13', [-0.2249172, -0.2515146, 1.0]], ['2, k, 14', [-0.2139125, -0.5251258, 1.0]], ['2, k, 15', [-0.1968341, -0.5721641, 1.0]], ['2, k, 16', [-0.1039062, 0.0622075, 1.0]], ['2, k, 17', [-0.1181798, -0.2529429, 1.0]], ['2, k, 18', [-0.1106112, -0.5270024, 1.0]], ['2, k, 19', [-0.09464169, -0.5740165, 1.0]], ['2, k, 20', [-0.1759613, 0.5366417, 1.0]], ['2, k, 21', [-0.4347536, -0.04894235, 1.0]], ['2, k, 22', [-0.4505642, -0.005958741, 1.0]], ['2, k, 23', [0.01437542, -0.06357934, 1.0]], ['2, k, 24', [-0.007055768, -0.007834764, 1.0]]]
[['2, k, 0', [-0.1673684, 0.06333574, 1.0]], ['2, k, 1', [-0.1722244, 0.3363848, 1.0]], ['2, k, 2', [-0.1756914, 0.6022227, 1.0]], ['2, k, 3', [-0.1592922, 0.7363164, 1.0]], ['2, k, 4', [-0.3216329, 0.478898, 1.0]], ['2, k, 5', [-0.4164127, 0.2702551, 1.0]], ['2, k, 6', [-0.4896512, 0.1005481, 1.0]], ['2, k, 7', [-0.5051664, 0.03790874, 1.0]], ['2, k, 8', [-0.00651931, 0.480949, 1.0]], ['2, k, 9', [0.03322174, 0.2431537, 1.0]], ['2, k, 10', [0.03755656, 0.06081671, 1.0]], ['2, k, 11', [0.02301065, 0.005883372, 1.0]], ['2, k, 12', [-0.2280581, 0.06265608, 1.0]], ['2, k, 13', [-0.2221228, -0.2512299, 1.0]], ['2, k, 14', [-0.2151663, -0.5250508, 1.0]], ['2, k, 15', [-0.198342, -0.5721055, 1.0]], ['2, k, 16', [-0.1027018, 0.06254016, 1.0]], ['2, k, 17', [-0.1188543, -0.2523585, 1.0]], ['2, k, 18', [-0.1099338, -0.5264174, 1.0]], ['2, k, 19', [-0.09423938, -0.5734541, 1.0]], ['2, k, 20', [-0.1750128, 0.5367779, 1.0]], ['2, k, 21', [-0.5101796, -0.01868681, 1.0]], ['2, k, 22', [-0.5204062, 0.04227687, 1.0]], ['2, k, 23', [0.02989653, -0.05655034, 1.0]], ['2, k, 24', [-0.006537703, 0.001195695, 1.0]]]
[['2, k, 0', [-0.1667286, 0.06341988, 1.0]], ['2, k, 1', [-0.1715489, 0.3364653, 1.0]], ['2, k, 2', [-0.1751197, 0.6023039, 1.0]], ['2, k, 3', [-0.1589202, 0.736479, 1.0]], ['2, k, 4', [-0.3204626, 0.4799045, 1.0]], ['2, k, 5', [-0.4277091, 0.276369, 1.0]], ['2, k, 6', [-0.5060307, 0.1089765, 1.0]], ['2, k, 7', [-0.535282, 0.04852538, 1.0]], ['2, k, 8', [-0.00607694, 0.4808457, 1.0]], ['2, k, 9', [0.0337151, 0.2435144, 1.0]], ['2, k, 10', [0.03785633, 0.0610331, 1.0]], ['2, k, 11', [0.02324158, 0.005643795, 1.0]], ['2, k, 12', [-0.2274999, 0.06264677, 1.0]], ['2, k, 13', [-0.2215233, -0.2509557, 1.0]], ['2, k, 14', [-0.2147592, -0.5608113, 1.0]], ['2, k, 15', [-0.2082071, -0.6315104, 1.0]], ['2, k, 16', [-0.1020116, 0.06272715, 1.0]], ['2, k, 17', [-0.1192763, -0.2519477, 1.0]], ['2, k, 18', [-0.1126352, -0.5695958, 1.0]], ['2, k, 19', [-0.1159188, -0.637931, 1.0]], ['2, k, 20', [-0.1744048, 0.5368605, 1.0]], ['2, k, 21', [-0.5446635, -0.009148501, 1.0]], ['2, k, 22', [-0.5445529, 0.05990589, 1.0]], ['2, k, 23', [0.01947101, -0.06496322, 1.0]], ['2, k, 24', [-0.007386387, 0.005487454, 1.0]]]
[['2, k, 0', [-0.1656083, 0.06373832, 1.0]], ['2, k, 1', [-0.1708459, 0.3367904, 1.0]], ['2, k, 2', [-0.1747923, 0.6026097, 1.0]], ['2, k, 3', [-0.1587198, 0.7365433, 1.0]], ['2, k, 4', [-0.3191988, 0.4811827, 1.0]], ['2, k, 5', [-0.4668094, 0.299933, 1.0]], ['2, k, 6', [-0.5788061, 0.1331709, 1.0]], ['2, k, 7', [-0.6089426, 0.0900026, 1.0]], ['2, k, 8', [-0.005342978, 0.4810812, 1.0]], ['2, k, 9', [0.03427954, 0.2435478, 1.0]], ['2, k, 10', [0.03807019, 0.06095624, 1.0]], ['2, k, 11', [0.02439093, 0.008451966, 1.0]], ['2, k, 12', [-0.2264041, 0.06296445, 1.0]], ['2, k, 13', [-0.2221878, -0.2508967, 1.0]], ['2, k, 14', [-0.214236, -0.5605782, 1.0]], ['2, k, 15', [-0.2106993, -0.6314455, 1.0]], ['2, k, 16', [-0.1009259, 0.06303519, 1.0]], ['2, k, 17', [-0.1181611, -0.2517018, 1.0]], ['2, k, 18', [-0.1074333, -0.5254834, 1.0]], ['2, k, 19', [-0.0925097, -0.5725523, 1.0]], ['2, k, 20', [-0.1739928, 0.5371742, 1.0]], ['2, k, 21', [-0.6257287, 0.03870583, 1.0]], ['2, k, 22', [-0.6187435, 0.08263976, 1.0]], ['2, k, 23', [0.02424059, -0.05799374, 1.0]], ['2, k, 24', [-0.007094865, 0.003421835, 1.0]]]
[['2, k, 0', [-0.1643365, 0.0639955, 1.0]], ['2, k, 1', [-0.1696316, 0.3370506, 1.0]], ['2, k, 2', [-0.1737678, 0.6028785, 1.0]], ['2, k, 3', [-0.1582087, 0.736685, 1.0]], ['2, k, 4', [-0.3182205, 0.4826474, 1.0]], ['2, k, 5', [-0.4909914, 0.3332472, 1.0]], ['2, k, 6', [-0.6273653, 0.2123803, 1.0]], ['2, k, 7', [-0.6791766, 0.1651003, 1.0]], ['2, k, 8', [-0.004638521, 0.4810007, 1.0]], ['2, k, 9', [0.03496467, 0.2447511, 1.0]], ['2, k, 10', [0.0385972, 0.06118514, 1.0]], ['2, k, 11', [0.02500667, 0.005729123, 1.0]], ['2, k, 12', [-0.2251963, 0.06325186, 1.0]], ['2, k, 13', [-0.2220674, -0.2508568, 1.0]], ['2, k, 14', [-0.2144789, -0.5606549, 1.0]], ['2, k, 15', [-0.2111898, -0.6311586, 1.0]], ['2, k, 16', [-0.09962656, 0.06326054, 1.0]], ['2, k, 17', [-0.117895, -0.251552, 1.0]], ['2, k, 18', [-0.1100139, -0.5637771, 1.0]], ['2, k, 19', [-0.1167167, -0.6327745, 1.0]], ['2, k, 20', [-0.1729094, 0.5374432, 1.0]], ['2, k, 21', [-0.7069523, 0.1238839, 1.0]], ['2, k, 22', [-0.6679879, 0.1958347, 1.0]], ['2, k, 23', [0.032832, -0.05556455, 1.0]], ['2, k, 24', [-0.003329466, -0.01544967, 1.0]]]
