[['2, k, 0', [-0.183937, -0.374088, 1.0]], ['2, k, 1', [-0.1743, -0.0822064, 1.0]], ['2, k, 2', [-0.163848, 0.203246, 1.0]], ['2, k, 3', [-0.153861, 0.334976, 1.0]], ['2, k, 4', [-0.334197, 0.0841108, 1.0]], ['2, k, 5', [-0.455729, -0.0618577, 1.0]], ['2, k, 6', [-0.394893, -0.262394, 1.0]], ['2, k, 7', [-0.365555, -0.31236, 1.0]], ['2, k, 8', [0.0318262, 0.0898805, 1.0]], ['2, k, 9', [0.135156, -0.0346864, 1.0]], ['2, k, 10', [-0.0868877, -0.0160067, 1.0]], ['2, k, 11', [-0.160707, -0.00983224, 1.0]], ['2, k, 12', [-0.264767, -0.370229, 1.0]], ['2, k, 13', [-0.236004, -0.687143, 1.0]], ['2, k, 14', [-0.253779, -1.01709, 1.0]], ['2, k, 15', [-0.234985, -1.0957, 1.0]], ['2, k, 16', [-0.0980162, -0.367599, 1.0]], ['2, k, 17', [-0.0792569, -0.698157, 1.0]], ['2, k, 18', [-0.0895794, -1.03195, 1.0]], ['2, k, 19', [-0.0704956, -1.09375, 1.0]], ['2, k, 20', [-0.166609, 0.132822, 1.0]], ['2, k, 21', [-0.362249, -0.32637, 1.0]], ['2, k, 22', [-0.455044, -0.290892, 1.0]], ['2, k, 23', [-0.160056, -0.0097924, 1.0]], ['2, k, 24', [-0.159207, -0.00974043, 1.0]]]
[['2, k, 0', [-0.183921, -0.374006, 1.0]], ['2, k, 1', [-0.174284, -0.0820998, 1.0]], ['2, k, 2', [-0.163836, 0.203382, 1.0]], ['2, k, 3', [-0.15388, 0.335078, 1.0]], ['2, k, 4', [-0.333934, 0.0842331, 1.0]], ['2, k, 5', [-0.455593, -0.0619974, 1.0]], ['2, k, 6', [-0.41306, -0.275347, 1.0]], ['2, k, 7', [-0.366925, -0.387034, 1.0]], ['2, k, 8', [0.0318254, 0.0898822, 1.0]], ['2, k, 9', [0.0932616, -0.0934008, 1.0]], ['2, k, 10', [-0.132499, -0.0519692, 1.0]], ['2, k, 11', [-0.207621, -0.0382994, 1.0]], ['2, k, 12', [-0.264744, -0.370102, 1.0]], ['2, k, 13', [-0.266169, -0.676617, 1.0]], ['2, k, 14', [-0.253395, -1.01666, 1.0]], ['2, k, 15', [-0.230331, -1.09667, 1.0]], ['2, k, 16', [-0.0979855, -0.367462, 1.0]], ['2, k, 17', [-0.0776924, -0.692431, 1.0]], ['2, k, 18', [-0.0883975, -1.02825, 1.0]], ['2, k, 19', [-0.0787719, -1.09072, 1.0]], ['2, k, 20', [-0.166596, 0.132951, 1.0]], ['2, k, 21', [-0.372965, -0.446398, 1.0]], ['2, k, 22', [-0.335145, -0.352574, 1.0]], ['2, k, 23', [-0.206779, -0.0381441, 1.0]], ['2, k, 24', [-0.205681, -0.0379415, 1.0]]]
[['2, k, 0', [-0.1834, -0.373323, 1.0]], ['2, k, 1', [-0.174195, -0.0818327, 1.0]], ['2, k, 2', [-0.16391, 0.203479, 1.0]], ['2, k, 3', [-0.153876, 0.335081, 1.0]], ['2, k, 4', [-0.333726, 0.0842905, 1.0]], ['2, k, 5', [-0.455196, -0.0622965, 1.0]], ['2, k, 6', [-0.378232, -0.26818, 1.0]], ['2, k, 7', [-0.357157, -0.412233, 1.0]], ['2, k, 8', [0.0318097, 0.0899151, 1.0]], ['2, k, 9', [0.0932458, -0.0934617, 1.0]], ['2, k, 10', [0.00173872, -0.304937, 1.0]], ['2, k, 11', [-0.04632, -0.370261, 1.0]], ['2, k, 12', [-0.264216, -0.369443, 1.0]], ['2, k, 13', [-0.264765, -0.681565, 1.0]], ['2, k, 14', [-0.253361, -1.01663, 1.0]], ['2, k, 15', [-0.232832, -1.09639, 1.0]], ['2, k, 16', [-0.0975011, -0.366805, 1.0]], ['2, k, 17', [-0.0772824, -0.68871, 1.0]], ['2, k, 18', [-0.0887394, -1.02805, 1.0]], ['2, k, 19', [-0.0808227, -1.09074, 1.0]], ['2, k, 20', [-0.166637, 0.133066, 1.0]], ['2, k, 21', [-0.335993, -0.477839, 1.0]], ['2, k, 22', [-0.319407, -0.425291, 1.0]], ['2, k, 23', [-0.0766466, -0.444164, 1.0]], ['2, k, 24', [-0.0759201, -0.344378, 1.0]]]
[['2, k, 0', [-0.183148, -0.373124, 1.0]], ['2, k, 1', [-0.174146, -0.0816807, 1.0]], ['2, k, 2', [-0.164065, 0.203711, 1.0]], ['2, k, 3', [-0.153861, 0.335152, 1.0]], ['2, k, 4', [-0.332793, 0.0843345, 1.0]], ['2, k, 5', [-0.454872, -0.0624155, 1.0]], ['2, k, 6', [-0.411327, -0.279859, 1.0]], ['2, k, 7', [-0.366478, -0.384847, 1.0]], ['2, k, 8', [0.0318036, 0.0899134, 1.0]], ['2, k, 9', [0.0932291, -0.0935088, 1.0]], ['2, k, 10', [0.00710586, -0.309672, 1.0]], ['2, k, 11', [-0.040939, -0.380926, 1.0]], ['2, k, 12', [-0.263953, -0.369244, 1.0]], ['2, k, 13', [-0.264614, -0.681761, 1.0]], ['2, k, 14', [-0.253638, -1.01804, 1.0]], ['2, k, 15', [-0.240463, -1.09352, 1.0]], ['2, k, 16', [-0.0972495, -0.366604, 1.0]], ['2, k, 17', [-0.0772776, -0.690359, 1.0]], ['2, k, 18', [-0.0885062, -1.02775, 1.0]], ['2, k, 19', [-0.0939704, -1.09284, 1.0]], ['2, k, 20', [-0.166721, 0.133273, 1.0]], ['2, k, 21', [-0.374225, -0.445349, 1.0]], ['2, k, 22', [-0.3351, -0.352241, 1.0]], ['2, k, 23', [-0.0680631, -0.449886, 1.0]], ['2, k, 24', [-0.0670976, -0.352603, 1.0]]]
[['2, k, 0', [-0.183248, -0.373173, 1.0]], ['2, k, 1', [-0.174271, -0.0816633, 1.0]], ['2, k, 2', [-0.164236, 0.203783, 1.0]], ['2, k, 3', [-0.153851, 0.335234, 1.0]], ['2, k, 4', [-0.33273, 0.0842607, 1.0]], ['2, k, 5', [-0.454376, -0.0630909, 1.0]], ['2, k, 6', [-0.411103, -0.280983, 1.0]], ['2, k, 7', [-0.367306, -0.382657, 1.0]], ['2, k, 8', [0.0317499, 0.0900351, 1.0]], ['2, k, 9', [0.0931524, -0.0937554, 1.0]], ['2, k, 10', [-0.000146494, -0.241887, 1.0]], ['2, k, 11', [-0.0474286, -0.325832, 1.0]], ['2, k, 12', [-0.264018, -0.369323, 1.0]], ['2, k, 13', [-0.264415, -0.681315, 1.0]], ['2, k, 14', [-0.253385, -1.01796, 1.0]], ['2, k, 15', [-0.241239, -1.09373, 1.0]], ['2, k, 16', [-0.0974021, -0.366614, 1.0]], ['2, k, 17', [-0.0809924, -0.70993, 1.0]], ['2, k, 18', [-0.0896281, -1.02754, 1.0]], ['2, k, 19', [-0.0933363, -1.0926, 1.0]], ['2, k, 20', [-0.166883, 0.133332, 1.0]], ['2, k, 21', [-0.370956, -0.440337, 1.0]], ['2, k, 22', [-0.335417, -0.360394, 1.0]], ['2, k, 23', [-0.0936046, -0.393836, 1.0]], ['2, k, 24', [-0.0832083, -0.271987, 1.0]]]
[['2, k, 0', [-0.183953, -0.373637, 1.0]], ['2, k, 1', [-0.174411, -0.0817074, 1.0]], ['2, k, 2', [-0.164231, 0.20384, 1.0]], ['2, k, 3', [-0.153805, 0.335282, 1.0]], ['2, k, 4', [-0.332359, 0.08442, 1.0]], ['2, k, 5', [-0.453893, -0.0634167, 1.0]], ['2, k, 6', [-0.331056, -0.190339, 1.0]], ['2, k, 7', [-0.289557, -0.269289, 1.0]], ['2, k, 8', [0.0317343, 0.0900782, 1.0]], ['2, k, 9', [0.0931677, -0.0938625, 1.0]], ['2, k, 10', [0.00414153, -0.244934, 1.0]], ['2, k, 11', [-0.0456969, -0.327945, 1.0]], ['2, k, 12', [-0.264667, -0.369787, 1.0]], ['2, k, 13', [-0.264314, -0.682006, 1.0]], ['2, k, 14', [-0.252415, -1.02439, 1.0]], ['2, k, 15', [-0.239276, -1.09543, 1.0]], ['2, k, 16', [-0.0981681, -0.367088, 1.0]], ['2, k, 17', [-0.0818728, -0.686845, 1.0]], ['2, k, 18', [-0.0888221, -1.02744, 1.0]], ['2, k, 19', [-0.0913254, -1.09222, 1.0]], ['2, k, 20', [-0.166898, 0.133362, 1.0]], ['2, k, 21', [-0.278258, -0.346422, 1.0]], ['2, k, 22', [-0.242891, -0.215918, 1.0]], ['2, k, 23', [-0.0870664, -0.393882, 1.0]], ['2, k, 24', [-0.0828982, -0.272537, 1.0]]]
[['2, k, 0', [-0.183933, -0.373443, 1.0]], ['2, k, 1', [-0.174385, -0.0815089, 1.0]], ['2, k, 2', [-0.164191, 0.204035, 1.0]], ['2, k, 3', [-0.153636, 0.335623, 1.0]], ['2, k, 4', [-0.330013, 0.0848454, 1.0]], ['2, k, 5', [-0.453384, -0.0638658, 1.0]], ['2, k, 6', [-0.330489, -0.191206, 1.0]], ['2, k, 7', [-0.289193, -0.269911, 1.0]], ['2, k, 8', [0.0317373, 0.0901159, 1.0]], ['2, k, 9', [0.0928761, -0.0940871, 1.0]], ['2, k, 10', [0.000805663, -0.244283, 1.0]], ['2, k, 11', [-0.0459666, -0.322936, 1.0]], ['2, k, 12', [-0.264605, -0.36955, 1.0]], ['2, k, 13', [-0.264406, -0.68475, 1.0]], ['2, k, 14', [-0.252324, -1.02393, 1.0]], ['2, k, 15', [-0.245566, -1.09658, 1.0]], ['2, k, 16', [-0.0981821, -0.366894, 1.0]], ['2, k, 17', [-0.0817834, -0.688323, 1.0]], ['2, k, 18', [-0.0889418, -1.02672, 1.0]], ['2, k, 19', [-0.0828694, -1.09245, 1.0]], ['2, k, 20', [-0.166863, 0.133562, 1.0]], ['2, k, 21', [-0.278242, -0.345905, 1.0]], ['2, k, 22', [-0.241534, -0.226915, 1.0]], ['2, k, 23', [-0.0871285, -0.387602, 1.0]], ['2, k, 24', [-0.0819599, -0.273632, 1.0]]]
[['2, k, 0', [-0.183964, -0.373413, 1.0]], ['2, k, 1', [-0.174384, -0.0814929, 1.0]], ['2, k, 2', [-0.164145, 0.204046, 1.0]], ['2, k, 3', [-0.153463, 0.335653, 1.0]], ['2, k, 4', [-0.329953, 0.0849432, 1.0]], ['2, k, 5', [-0.452971, -0.0640476, 1.0]], ['2, k, 6', [-0.331946, -0.193066, 1.0]], ['2, k, 7', [-0.29262, -0.26751, 1.0]], ['2, k, 8', [0.0317168, 0.0902073, 1.0]], ['2, k, 9', [0.0924681, -0.0944429, 1.0]], ['2, k, 10', [-0.00167998, -0.243708, 1.0]], ['2, k, 11', [-0.0470596, -0.323018, 1.0]], ['2, k, 12', [-0.264616, -0.369531, 1.0]], ['2, k, 13', [-0.264743, -0.68488, 1.0]], ['2, k, 14', [-0.25098, -1.01653, 1.0]], ['2, k, 15', [-0.241395, -1.09604, 1.0]], ['2, k, 16', [-0.0982448, -0.366854, 1.0]], ['2, k, 17', [-0.0838422, -0.686856, 1.0]], ['2, k, 18', [-0.0903205, -1.0238, 1.0]], ['2, k, 19', [-0.0835, -1.09203, 1.0]], ['2, k, 20', [-0.166833, 0.133575, 1.0]], ['2, k, 21', [-0.284258, -0.341337, 1.0]], ['2, k, 22', [-0.247964, -0.262529, 1.0]], ['2, k, 23', [-0.0924117, -0.387569, 1.0]], ['2, k, 24', [-0.0827479, -0.271807, 1.0]]]
[['2, k, 0', [-0.183843, -0.373081, 1.0]], ['2, k, 1', [-0.17427, -0.0812958, 1.0]], ['2, k, 2', [-0.164028, 0.20415, 1.0]], ['2, k, 3', [-0.153176, 0.335813, 1.0]], ['2, k, 4', [-0.329788, 0.085088, 1.0]], ['2, k, 5', [-0.452135, -0.0645915, 1.0]], ['2, k, 6', [-0.333107, -0.195197, 1.0]], ['2, k, 7', [-0.29356, -0.268276, 1.0]], ['2, k, 8', [0.0317172, 0.0902126, 1.0]], ['2, k, 9', [0.0923803, -0.0945069, 1.0]], ['2, k, 10', [0.00672185, -0.310207, 1.0]], ['2, k, 11', [-0.0433429, -0.365525, 1.0]], ['2, k, 12', [-0.264379, -0.369038, 1.0]], ['2, k, 13', [-0.264791, -0.685956, 1.0]], ['2, k, 14', [-0.25109, -1.01663, 1.0]], ['2, k, 15', [-0.238783, -1.09573, 1.0]], ['2, k, 16', [-0.0981826, -0.366599, 1.0]], ['2, k, 17', [-0.0821495, -0.685711, 1.0]], ['2, k, 18', [-0.0897063, -1.02123, 1.0]], ['2, k, 19', [-0.108866, -1.09186, 1.0]], ['2, k, 20', [-0.166719, 0.133701, 1.0]], ['2, k, 21', [-0.283812, -0.340407, 1.0]], ['2, k, 22', [-0.342383, -0.291271, 1.0]], ['2, k, 23', [-0.0575808, -0.40341, 1.0]], ['2, k, 24', [-0.0647623, -0.340995, 1.0]]]
[['2, k, 0', [-0.184033, -0.373075, 1.0]], ['2, k, 1', [-0.174286, -0.0812526, 1.0]], ['2, k, 2', [-0.163877, 0.20433, 1.0]], ['2, k, 3', [-0.152947, 0.336048, 1.0]], ['2, k, 4', [-0.329464, 0.0853295, 1.0]], ['2, k, 5', [-0.452185, -0.0642512, 1.0]], ['2, k, 6', [-0.332556, -0.194651, 1.0]], ['2, k, 7', [-0.292869, -0.26851, 1.0]], ['2, k, 8', [0.0323897, 0.0899303, 1.0]], ['2, k, 9', [0.0901237, -0.0997212, 1.0]], ['2, k, 10', [-5.44091e-05, -0.315891, 1.0]], ['2, k, 11', [-0.044676, -0.372446, 1.0]], ['2, k, 12', [-0.264529, -0.36874, 1.0]], ['2, k, 13', [-0.265292, -0.686711, 1.0]], ['2, k, 14', [-0.247495, -1.01702, 1.0]], ['2, k, 15', [-0.236988, -1.09554, 1.0]], ['2, k, 16', [-0.0986996, -0.367, 1.0]], ['2, k, 17', [-0.0840244, -0.682833, 1.0]], ['2, k, 18', [-0.0900296, -1.02235, 1.0]], ['2, k, 19', [-0.113479, -1.09246, 1.0]], ['2, k, 20', [-0.166634, 0.133833, 1.0]], ['2, k, 21', [-0.281077, -0.341368, 1.0]], ['2, k, 22', [-0.349324, -0.271117, 1.0]], ['2, k, 23', [-0.0707552, -0.433634, 1.0]], ['2, k, 24', [-0.0721886, -0.351413, 1.0]]]
[['2, k, 0', [-0.183776, -0.37299, 1.0]], ['2, k, 1', [-0.174057, -0.0812176, 1.0]], ['2, k, 2', [-0.163605, 0.204314, 1.0]], ['2, k, 3', [-0.152646, 0.336098, 1.0]], ['2, k, 4', [-0.32943, 0.0853458, 1.0]], ['2, k, 5', [-0.452078, -0.0643582, 1.0]], ['2, k, 6', [-0.332532, -0.194798, 1.0]], ['2, k, 7', [-0.293036, -0.268021, 1.0]], ['2, k, 8', [0.0323896, 0.0899257, 1.0]], ['2, k, 9', [0.0901052, -0.0996499, 1.0]], ['2, k, 10', [0.00652404, -0.320909, 1.0]], ['2, k, 11', [-0.0387355, -0.386807, 1.0]], ['2, k, 12', [-0.264151, -0.368134, 1.0]], ['2, k, 13', [-0.25948, -0.688002, 1.0]], ['2, k, 14', [-0.247625, -1.01703, 1.0]], ['2, k, 15', [-0.227171, -1.09293, 1.0]], ['2, k, 16', [-0.0983411, -0.367297, 1.0]], ['2, k, 17', [-0.0838127, -0.682687, 1.0]], ['2, k, 18', [-0.09095, -1.02385, 1.0]], ['2, k, 19', [-0.086784, -1.09053, 1.0]], ['2, k, 20', [-0.166378, 0.133834, 1.0]], ['2, k, 21', [-0.281059, -0.340604, 1.0]], ['2, k, 22', [-0.347411, -0.277476, 1.0]], ['2, k, 23', [-0.061593, -0.456779, 1.0]], ['2, k, 24', [-0.0665339, -0.372308, 1.0]]]
