[['2, k, 0', [0.01491256, -0.07093938, 1.0]], ['2, k, 1', [0.01189049, 0.2028411, 1.0]], ['2, k, 2', [0.007518487, 0.4673678, 1.0]], ['2, k, 3', [0.00857088, 0.6159448, 1.0]], ['2, k, 4', [-0.1667252, 0.3921085, 1.0]], ['2, k, 5', [-0.2267997, 0.1475704, 1.0]], ['2, k, 6', [-0.3239329, 0.0100589, 1.0]], ['2, k, 7', [-0.340615, 0.002032284, 1.0]], ['2, k, 8', [0.1934703, 0.3729871, 1.0]], ['2, k, 9', [0.2572795, 0.1527962, 1.0]], ['2, k, 10', [0.2569507, -0.04073846, 1.0]], ['2, k, 11', [0.2397456, -0.05718161, 1.0]], ['2, k, 12', [-0.06443043, -0.07009956, 1.0]], ['2, k, 13', [-0.1041302, -0.1937073, 1.0]], ['2, k, 14', [-0.07925976, -0.5941382, 1.0]], ['2, k, 15', [-0.07699831, -0.6540937, 1.0]], ['2, k, 16', [0.09366109, -0.06961291, 1.0]], ['2, k, 17', [0.1691891, -0.2036318, 1.0]], ['2, k, 18', [0.1192845, -0.578116, 1.0]], ['2, k, 19', [0.102476, -0.6468322, 1.0]], ['2, k, 20', [0.008708518, 0.4026752, 1.0]], ['2, k, 21', [-0.3713655, -0.0299643, 1.0]], ['2, k, 22', [-0.3749356, 0.04996834, 1.0]], ['2, k, 23', [0.2696715, -0.06613196, 1.0]], ['2, k, 24', [0.272692, -0.01165043, 1.0]]]
[['2, k, 0', [0.01538754, -0.07128342, 1.0]], ['2, k, 1', [0.01210694, 0.2026854, 1.0]], ['2, k, 2', [0.007697926, 0.4673004, 1.0]], ['2, k, 3', [0.008988892, 0.6154907, 1.0]], ['2, k, 4', [-0.1667042, 0.3920052, 1.0]], ['2, k, 5', [-0.2267429, 0.1476272, 1.0]], ['2, k, 6', [-0.3232527, 0.01057383, 1.0]], ['2, k, 7', [-0.338846, 0.003039944, 1.0]], ['2, k, 8', [0.1935013, 0.3730102, 1.0]], ['2, k, 9', [0.2571463, 0.1523913, 1.0]], ['2, k, 10', [0.2571704, -0.04101945, 1.0]], ['2, k, 11', [0.2410752, -0.05494074, 1.0]], ['2, k, 12', [-0.06374636, -0.07058215, 1.0]], ['2, k, 13', [-0.1041066, -0.193771, 1.0]], ['2, k, 14', [-0.07918027, -0.5935171, 1.0]], ['2, k, 15', [-0.0771006, -0.6536326, 1.0]], ['2, k, 16', [0.09398258, -0.06983756, 1.0]], ['2, k, 17', [0.1691941, -0.2034677, 1.0]], ['2, k, 18', [0.1192691, -0.5780835, 1.0]], ['2, k, 19', [0.1023828, -0.6467357, 1.0]], ['2, k, 20', [0.008888983, 0.402576, 1.0]], ['2, k, 21', [-0.3762771, -0.02408934, 1.0]], ['2, k, 22', [-0.3711407, 0.05158521, 1.0]], ['2, k, 23', [0.2551772, -0.06999773, 1.0]], ['2, k, 24', [0.2661108, -0.03537824, 1.0]]]
[['2, k, 0', [0.01549636, -0.07176846, 1.0]], ['2, k, 1', [0.01213059, 0.2024501, 1.0]], ['2, k, 2', [0.007754194, 0.4671717, 1.0]], ['2, k, 3', [0.009482978, 0.6151741, 1.0]], ['2, k, 4', [-0.16666, 0.3919744, 1.0]], ['2, k, 5', [-0.2270278, 0.1545724, 1.0]], ['2, k, 6', [-0.3224112, 0.01143541, 1.0]], ['2, k, 7', [-0.3383506, 0.005799586, 1.0]], ['2, k, 8', [0.1935657, 0.3730632, 1.0]], ['2, k, 9', [0.2569859, 0.1534385, 1.0]], ['2, k, 10', [0.257368, -0.04098501, 1.0]], ['2, k, 11', [0.2403566, -0.05657577, 1.0]], ['2, k, 12', [-0.06341255, -0.07113457, 1.0]], ['2, k, 13', [-0.1039654, -0.1928597, 1.0]], ['2, k, 14', [-0.07895037, -0.5927379, 1.0]], ['2, k, 15', [-0.07702062, -0.6536199, 1.0]], ['2, k, 16', [0.0939142, -0.0702812, 1.0]], ['2, k, 17', [0.1691845, -0.2034444, 1.0]], ['2, k, 18', [0.1193345, -0.5782188, 1.0]], ['2, k, 19', [0.1024299, -0.6467696, 1.0]], ['2, k, 20', [0.008929324, 0.4024088, 1.0]], ['2, k, 21', [-0.3706808, -0.0215899, 1.0]], ['2, k, 22', [-0.3729608, 0.0567964, 1.0]], ['2, k, 23', [0.256148, -0.0675216, 1.0]], ['2, k, 24', [0.267134, -0.03167511, 1.0]]]
[['2, k, 0', [0.0157032, -0.07140333, 1.0]], ['2, k, 1', [0.01216055, 0.2025142, 1.0]], ['2, k, 2', [0.007759584, 0.4671485, 1.0]], ['2, k, 3', [0.009992787, 0.614843, 1.0]], ['2, k, 4', [-0.1666541, 0.391992, 1.0]], ['2, k, 5', [-0.2260876, 0.1573627, 1.0]], ['2, k, 6', [-0.3152167, 0.02168801, 1.0]], ['2, k, 7', [-0.3360983, 0.009495411, 1.0]], ['2, k, 8', [0.1936408, 0.3733199, 1.0]], ['2, k, 9', [0.2563692, 0.1559201, 1.0]], ['2, k, 10', [0.2587676, -0.04436925, 1.0]], ['2, k, 11', [0.2401645, -0.05627204, 1.0]], ['2, k, 12', [-0.06335501, -0.07086869, 1.0]], ['2, k, 13', [-0.1039146, -0.1928957, 1.0]], ['2, k, 14', [-0.07872918, -0.5925722, 1.0]], ['2, k, 15', [-0.07689335, -0.6538067, 1.0]], ['2, k, 16', [0.09434094, -0.06976334, 1.0]], ['2, k, 17', [0.1691828, -0.203589, 1.0]], ['2, k, 18', [0.1193444, -0.5781519, 1.0]], ['2, k, 19', [0.1023318, -0.6467786, 1.0]], ['2, k, 20', [0.008935347, 0.4023969, 1.0]], ['2, k, 21', [-0.3768954, -0.02497172, 1.0]], ['2, k, 22', [-0.3747992, 0.05518639, 1.0]], ['2, k, 23', [0.2524589, -0.06782813, 1.0]], ['2, k, 24', [0.2672517, -0.03159552, 1.0]]]
[['2, k, 0', [0.01655214, -0.07095309, 1.0]], ['2, k, 1', [0.01237635, 0.2026535, 1.0]], ['2, k, 2', [0.007786705, 0.4671687, 1.0]], ['2, k, 3', [0.01042981, 0.6141925, 1.0]], ['2, k, 4', [-0.1666543, 0.39199, 1.0]], ['2, k, 5', [-0.2259174, 0.1571827, 1.0]], ['2, k, 6', [-0.3149161, 0.02105152, 1.0]], ['2, k, 7', [-0.333294, 0.01252799, 1.0]], ['2, k, 8', [0.193689, 0.3738644, 1.0]], ['2, k, 9', [0.2562852, 0.1547647, 1.0]], ['2, k, 10', [0.2587841, -0.04436252, 1.0]], ['2, k, 11', [0.2405883, -0.057443, 1.0]], ['2, k, 12', [-0.06279212, -0.07060401, 1.0]], ['2, k, 13', [-0.1039559, -0.1927761, 1.0]], ['2, k, 14', [-0.07868887, -0.5920838, 1.0]], ['2, k, 15', [-0.07675323, -0.653556, 1.0]], ['2, k, 16', [0.09550312, -0.06907611, 1.0]], ['2, k, 17', [0.1692615, -0.2034136, 1.0]], ['2, k, 18', [0.1196979, -0.5776945, 1.0]], ['2, k, 19', [0.1023667, -0.6467936, 1.0]], ['2, k, 20', [0.008983114, 0.4024266, 1.0]], ['2, k, 21', [-0.3643486, -0.01419795, 1.0]], ['2, k, 22', [-0.3691918, 0.06186252, 1.0]], ['2, k, 23', [0.2609831, -0.07044368, 1.0]], ['2, k, 24', [0.2676666, -0.03110443, 1.0]]]
[['2, k, 0', [0.01646293, -0.07073785, 1.0]], ['2, k, 1', [0.01241844, 0.2027204, 1.0]], ['2, k, 2', [0.00818022, 0.4670706, 1.0]], ['2, k, 3', [0.01095932, 0.613468, 1.0]], ['2, k, 4', [-0.1665723, 0.3918862, 1.0]], ['2, k, 5', [-0.2250733, 0.156823, 1.0]], ['2, k, 6', [-0.3146257, 0.02132784, 1.0]], ['2, k, 7', [-0.3336164, 0.0136403, 1.0]], ['2, k, 8', [0.1937604, 0.3742952, 1.0]], ['2, k, 9', [0.2562979, 0.154863, 1.0]], ['2, k, 10', [0.260742, -0.03548261, 1.0]], ['2, k, 11', [0.2413767, -0.05754488, 1.0]], ['2, k, 12', [-0.06301079, -0.07033394, 1.0]], ['2, k, 13', [-0.1039686, -0.1928957, 1.0]], ['2, k, 14', [-0.07867789, -0.5922539, 1.0]], ['2, k, 15', [-0.07672749, -0.6532611, 1.0]], ['2, k, 16', [0.09549649, -0.06888999, 1.0]], ['2, k, 17', [0.1693727, -0.2033009, 1.0]], ['2, k, 18', [0.1197016, -0.5776813, 1.0]], ['2, k, 19', [0.1023698, -0.646796, 1.0]], ['2, k, 20', [0.009246935, 0.402382, 1.0]], ['2, k, 21', [-0.3641683, -0.007760217, 1.0]], ['2, k, 22', [-0.3651689, 0.06436751, 1.0]], ['2, k, 23', [0.2488948, -0.08863273, 1.0]], ['2, k, 24', [0.2659619, -0.03775373, 1.0]]]
[['2, k, 0', [0.01500734, -0.06887312, 1.0]], ['2, k, 1', [0.01223683, 0.2030349, 1.0]], ['2, k, 2', [0.008445595, 0.4669436, 1.0]], ['2, k, 3', [0.01187389, 0.612563, 1.0]], ['2, k, 4', [-0.166433, 0.3919331, 1.0]], ['2, k, 5', [-0.2244386, 0.1578218, 1.0]], ['2, k, 6', [-0.3120059, 0.02051412, 1.0]], ['2, k, 7', [-0.3327122, 0.01563543, 1.0]], ['2, k, 8', [0.1939175, 0.3747422, 1.0]], ['2, k, 9', [0.2563055, 0.1548764, 1.0]], ['2, k, 10', [0.2599204, -0.03718269, 1.0]], ['2, k, 11', [0.2407237, -0.05942276, 1.0]], ['2, k, 12', [-0.06612854, -0.06757158, 1.0]], ['2, k, 13', [-0.1040298, -0.1921492, 1.0]], ['2, k, 14', [-0.07867748, -0.5922372, 1.0]], ['2, k, 15', [-0.07664055, -0.6532636, 1.0]], ['2, k, 16', [0.0951066, -0.067714, 1.0]], ['2, k, 17', [0.1694378, -0.2034328, 1.0]], ['2, k, 18', [0.1196618, -0.5770386, 1.0]], ['2, k, 19', [0.1023357, -0.6467256, 1.0]], ['2, k, 20', [0.009353727, 0.4023697, 1.0]], ['2, k, 21', [-0.3614112, -0.008129789, 1.0]], ['2, k, 22', [-0.363828, 0.06857068, 1.0]], ['2, k, 23', [0.2553736, -0.08663184, 1.0]], ['2, k, 24', [0.2669075, -0.03419574, 1.0]]]
[['2, k, 0', [0.01575238, -0.06880237, 1.0]], ['2, k, 1', [0.01266555, 0.2030273, 1.0]], ['2, k, 2', [0.008772158, 0.4667008, 1.0]], ['2, k, 3', [0.01278023, 0.6119677, 1.0]], ['2, k, 4', [-0.1662346, 0.3916202, 1.0]], ['2, k, 5', [-0.2242232, 0.1578956, 1.0]], ['2, k, 6', [-0.3118137, 0.02118042, 1.0]], ['2, k, 7', [-0.3323684, 0.01986587, 1.0]], ['2, k, 8', [0.1940934, 0.3750785, 1.0]], ['2, k, 9', [0.2563775, 0.154953, 1.0]], ['2, k, 10', [0.2600525, -0.04894739, 1.0]], ['2, k, 11', [0.2393982, -0.05391342, 1.0]], ['2, k, 12', [-0.06506561, -0.06773739, 1.0]], ['2, k, 13', [-0.1041504, -0.1917811, 1.0]], ['2, k, 14', [-0.07854448, -0.5916781, 1.0]], ['2, k, 15', [-0.07657722, -0.653318, 1.0]], ['2, k, 16', [0.09569985, -0.06747416, 1.0]], ['2, k, 17', [0.1694955, -0.2035007, 1.0]], ['2, k, 18', [0.1201278, -0.5765189, 1.0]], ['2, k, 19', [0.1023442, -0.6467418, 1.0]], ['2, k, 20', [0.009717318, 0.4021605, 1.0]], ['2, k, 21', [-0.3635291, -0.001937018, 1.0]], ['2, k, 22', [-0.3687955, 0.07033447, 1.0]], ['2, k, 23', [0.2664202, -0.06882726, 1.0]], ['2, k, 24', [0.2781912, 0.0006570892, 1.0]]]
[['2, k, 0', [0.02174833, -0.07134089, 1.0]], ['2, k, 1', [0.01424841, 0.2025479, 1.0]], ['2, k, 2', [0.009192129, 0.4666578, 1.0]], ['2, k, 3', [0.01365735, 0.6114433, 1.0]], ['2, k, 4', [-0.1661334, 0.3916442, 1.0]], ['2, k, 5', [-0.2230659, 0.1571201, 1.0]], ['2, k, 6', [-0.31204, 0.02204116, 1.0]], ['2, k, 7', [-0.3313919, 0.02077236, 1.0]], ['2, k, 8', [0.1942427, 0.3753194, 1.0]], ['2, k, 9', [0.2564732, 0.155017, 1.0]], ['2, k, 10', [0.2619983, -0.02836045, 1.0]], ['2, k, 11', [0.2420506, -0.05886201, 1.0]], ['2, k, 12', [-0.05926419, -0.07085, 1.0]], ['2, k, 13', [-0.1041327, -0.1920095, 1.0]], ['2, k, 14', [-0.07841583, -0.5906215, 1.0]], ['2, k, 15', [-0.07648492, -0.6527632, 1.0]], ['2, k, 16', [0.1019751, -0.06948326, 1.0]], ['2, k, 17', [0.1696381, -0.2033831, 1.0]], ['2, k, 18', [0.1201103, -0.5766957, 1.0]], ['2, k, 19', [0.102337, -0.6467543, 1.0]], ['2, k, 20', [0.01013639, 0.4020713, 1.0]], ['2, k, 21', [-0.355752, -0.003582678, 1.0]], ['2, k, 22', [-0.3594891, 0.07378667, 1.0]], ['2, k, 23', [0.2356079, -0.1274668, 1.0]], ['2, k, 24', [0.2659877, -0.03711734, 1.0]]]
[['2, k, 0', [0.02104639, -0.06997842, 1.0]], ['2, k, 1', [0.01448767, 0.2026315, 1.0]], ['2, k, 2', [0.009515444, 0.4663939, 1.0]], ['2, k, 3', [0.01484816, 0.6105164, 1.0]], ['2, k, 4', [-0.1658953, 0.391463, 1.0]], ['2, k, 5', [-0.2218174, 0.1617943, 1.0]], ['2, k, 6', [-0.3052538, 0.03567605, 1.0]], ['2, k, 7', [-0.329999, 0.02317323, 1.0]], ['2, k, 8', [0.1943913, 0.3756351, 1.0]], ['2, k, 9', [0.2564211, 0.1553024, 1.0]], ['2, k, 10', [0.2607653, -0.03170784, 1.0]], ['2, k, 11', [0.2386274, -0.06199629, 1.0]], ['2, k, 12', [-0.05972648, -0.06971697, 1.0]], ['2, k, 13', [-0.1039966, -0.1913338, 1.0]], ['2, k, 14', [-0.07865317, -0.5906017, 1.0]], ['2, k, 15', [-0.07634262, -0.6540051, 1.0]], ['2, k, 16', [0.1010777, -0.0679394, 1.0]], ['2, k, 17', [0.1696146, -0.2034905, 1.0]], ['2, k, 18', [0.1202436, -0.5763969, 1.0]], ['2, k, 19', [0.1023205, -0.6467702, 1.0]], ['2, k, 20', [0.01048165, 0.4018534, 1.0]], ['2, k, 21', [-0.3711967, 0.005364414, 1.0]], ['2, k, 22', [-0.3598287, 0.07451178, 1.0]], ['2, k, 23', [0.2329368, -0.1316866, 1.0]], ['2, k, 24', [0.2666296, -0.03448344, 1.0]]]
[['2, k, 0', [0.01752643, -0.07220553, 1.0]], ['2, k, 1', [0.01409338, 0.2019428, 1.0]], ['2, k, 2', [0.009829784, 0.4661161, 1.0]], ['2, k, 3', [0.0155432, 0.6102558, 1.0]], ['2, k, 4', [-0.1657387, 0.391434, 1.0]], ['2, k, 5', [-0.2219464, 0.1583911, 1.0]], ['2, k, 6', [-0.3066273, 0.0324945, 1.0]], ['2, k, 7', [-0.3307194, 0.02484949, 1.0]], ['2, k, 8', [0.1960406, 0.3759369, 1.0]], ['2, k, 9', [0.2564559, 0.155112, 1.0]], ['2, k, 10', [0.2596428, -0.03382467, 1.0]], ['2, k, 11', [0.2387067, -0.05946046, 1.0]], ['2, k, 12', [-0.06259163, -0.07111809, 1.0]], ['2, k, 13', [-0.1039356, -0.1917012, 1.0]], ['2, k, 14', [-0.07855757, -0.5900354, 1.0]], ['2, k, 15', [-0.07629067, -0.653993, 1.0]], ['2, k, 16', [0.09698816, -0.07105935, 1.0]], ['2, k, 17', [0.1696526, -0.2034948, 1.0]], ['2, k, 18', [0.1201729, -0.5765485, 1.0]], ['2, k, 19', [0.1023648, -0.6467924, 1.0]], ['2, k, 20', [0.01061901, 0.4016296, 1.0]], ['2, k, 21', [-0.3546796, 0.0003357409, 1.0]], ['2, k, 22', [-0.3667223, 0.07567654, 1.0]], ['2, k, 23', [0.2341793, -0.1275956, 1.0]], ['2, k, 24', [0.2658806, -0.03544138, 1.0]]]
