[['2, k, 0', [-0.2013592, -0.2006397, 1.0]], ['2, k, 1', [-0.1994007, 0.07769581, 1.0]], ['2, k, 2', [-0.195455, 0.3508494, 1.0]], ['2, k, 3', [-0.2003494, 0.4782551, 1.0]], ['2, k, 4', [-0.330503, 0.2362742, 1.0]], ['2, k, 5', [-0.3351667, 0.05593601, 1.0]], ['2, k, 6', [-0.2170541, -0.07271353, 1.0]], ['2, k, 7', [-0.1914159, -0.1606365, 1.0]], ['2, k, 8', [-0.05445311, 0.2474414, 1.0]], ['2, k, 9', [-0.03926115, 0.04178934, 1.0]], ['2, k, 10', [-0.112058, -0.1451998, 1.0]], ['2, k, 11', [-0.1513725, -0.161528, 1.0]], ['2, k, 12', [-0.2825469, -0.1983401, 1.0]], ['2, k, 13', [-0.2884947, -0.2913491, 1.0]], ['2, k, 14', [-0.2828443, -0.6517431, 1.0]], ['2, k, 15', [-0.2710727, -0.6808627, 1.0]], ['2, k, 16', [-0.1144893, -0.1975744, 1.0]], ['2, k, 17', [-0.02191664, -0.2769687, 1.0]], ['2, k, 18', [-0.02588069, -0.6385068, 1.0]], ['2, k, 19', [0.001349168, -0.7115541, 1.0]], ['2, k, 20', [-0.1965323, 0.2838396, 1.0]], ['2, k, 21', [-0.1620502, -0.1847119, 1.0]], ['2, k, 22', [-0.2042349, -0.1649, 1.0]], ['2, k, 23', [-0.1956104, -0.1948975, 1.0]], ['2, k, 24', [-0.1599767, -0.1921362, 1.0]]]
[['2, k, 0', [-0.2013544, -0.2015343, 1.0]], ['2, k, 1', [-0.1993377, 0.07706102, 1.0]], ['2, k, 2', [-0.1955964, 0.3502971, 1.0]], ['2, k, 3', [-0.2014111, 0.4778886, 1.0]], ['2, k, 4', [-0.330874, 0.2344766, 1.0]], ['2, k, 5', [-0.3352358, 0.05390327, 1.0]], ['2, k, 6', [-0.2198627, -0.1107601, 1.0]], ['2, k, 7', [-0.1868843, -0.1663239, 1.0]], ['2, k, 8', [-0.05466826, 0.246389, 1.0]], ['2, k, 9', [-0.03904358, 0.04166275, 1.0]], ['2, k, 10', [-0.1167376, -0.1381986, 1.0]], ['2, k, 11', [-0.1590499, -0.1547902, 1.0]], ['2, k, 12', [-0.2827012, -0.1993998, 1.0]], ['2, k, 13', [-0.2894775, -0.2901183, 1.0]], ['2, k, 14', [-0.2831682, -0.6506073, 1.0]], ['2, k, 15', [-0.2712834, -0.6799036, 1.0]], ['2, k, 16', [-0.1143552, -0.1982466, 1.0]], ['2, k, 17', [-0.01875203, -0.2757112, 1.0]], ['2, k, 18', [-0.02046204, -0.637387, 1.0]], ['2, k, 19', [-0.01249276, -0.6669239, 1.0]], ['2, k, 20', [-0.1966349, 0.2831591, 1.0]], ['2, k, 21', [-0.1730324, -0.2042459, 1.0]], ['2, k, 22', [-0.1911819, -0.1907945, 1.0]], ['2, k, 23', [-0.2006236, -0.1865175, 1.0]], ['2, k, 24', [-0.1615268, -0.1778124, 1.0]]]
[['2, k, 0', [-0.201217, -0.2024298, 1.0]], ['2, k, 1', [-0.1997487, 0.0758557, 1.0]], ['2, k, 2', [-0.1975835, 0.3482612, 1.0]], ['2, k, 3', [-0.203151, 0.4778894, 1.0]], ['2, k, 4', [-0.3330251, 0.2333703, 1.0]], ['2, k, 5', [-0.3362781, 0.0522438, 1.0]], ['2, k, 6', [-0.2137277, -0.1026709, 1.0]], ['2, k, 7', [-0.1859152, -0.1639289, 1.0]], ['2, k, 8', [-0.05572004, 0.2453678, 1.0]], ['2, k, 9', [-0.03939441, 0.0419769, 1.0]], ['2, k, 10', [-0.1120591, -0.1155517, 1.0]], ['2, k, 11', [-0.1503725, -0.1741548, 1.0]], ['2, k, 12', [-0.2826079, -0.2005557, 1.0]], ['2, k, 13', [-0.2929631, -0.2899207, 1.0]], ['2, k, 14', [-0.2830733, -0.6505095, 1.0]], ['2, k, 15', [-0.2708419, -0.6800281, 1.0]], ['2, k, 16', [-0.1141866, -0.1988868, 1.0]], ['2, k, 17', [-0.01370396, -0.2717443, 1.0]], ['2, k, 18', [-0.002464352, -0.6319688, 1.0]], ['2, k, 19', [0.03295263, -0.701514, 1.0]], ['2, k, 20', [-0.1981889, 0.2812734, 1.0]], ['2, k, 21', [-0.1556703, -0.1870158, 1.0]], ['2, k, 22', [-0.2075991, -0.1679607, 1.0]], ['2, k, 23', [-0.1764716, -0.219609, 1.0]], ['2, k, 24', [-0.1166211, -0.1854283, 1.0]]]
[['2, k, 0', [-0.2017765, -0.2038247, 1.0]], ['2, k, 1', [-0.20123, 0.07429959, 1.0]], ['2, k, 2', [-0.2000319, 0.346619, 1.0]], ['2, k, 3', [-0.2051647, 0.4772629, 1.0]], ['2, k, 4', [-0.3343522, 0.2326248, 1.0]], ['2, k, 5', [-0.338101, 0.04348372, 1.0]], ['2, k, 6', [-0.2270616, -0.0860967, 1.0]], ['2, k, 7', [-0.1905691, -0.1292637, 1.0]], ['2, k, 8', [-0.05704276, 0.2438172, 1.0]], ['2, k, 9', [-0.03872889, 0.02123681, 1.0]], ['2, k, 10', [-0.1159566, -0.1238838, 1.0]], ['2, k, 11', [-0.144765, -0.1738449, 1.0]], ['2, k, 12', [-0.2832971, -0.2019422, 1.0]], ['2, k, 13', [-0.2955275, -0.2886677, 1.0]], ['2, k, 14', [-0.2843193, -0.6490374, 1.0]], ['2, k, 15', [-0.2722893, -0.6787423, 1.0]], ['2, k, 16', [-0.1146038, -0.2002167, 1.0]], ['2, k, 17', [-0.009926224, -0.2685431, 1.0]], ['2, k, 18', [0.004396056, -0.6278516, 1.0]], ['2, k, 19', [0.03721482, -0.6978992, 1.0]], ['2, k, 20', [-0.2004568, 0.279595, 1.0]], ['2, k, 21', [-0.1602755, -0.152495, 1.0]], ['2, k, 22', [-0.2121505, -0.1336206, 1.0]], ['2, k, 23', [-0.1620128, -0.2058474, 1.0]], ['2, k, 24', [-0.1480226, -0.1974944, 1.0]]]
[['2, k, 0', [-0.2024703, -0.2051724, 1.0]], ['2, k, 1', [-0.2022546, 0.0734228, 1.0]], ['2, k, 2', [-0.2014474, 0.3460025, 1.0]], ['2, k, 3', [-0.20781, 0.4769403, 1.0]], ['2, k, 4', [-0.336423, 0.2304898, 1.0]], ['2, k, 5', [-0.3403482, 0.03945195, 1.0]], ['2, k, 6', [-0.2283213, -0.1107741, 1.0]], ['2, k, 7', [-0.2207688, -0.1717415, 1.0]], ['2, k, 8', [-0.05836619, 0.2425327, 1.0]], ['2, k, 9', [-0.04030262, 0.02557287, 1.0]], ['2, k, 10', [-0.09181643, -0.1201815, 1.0]], ['2, k, 11', [-0.1132544, -0.1682671, 1.0]], ['2, k, 12', [-0.2842813, -0.2034963, 1.0]], ['2, k, 13', [-0.2969351, -0.2844633, 1.0]], ['2, k, 14', [-0.2870891, -0.6446683, 1.0]], ['2, k, 15', [-0.2750046, -0.674549, 1.0]], ['2, k, 16', [-0.1150196, -0.2012757, 1.0]], ['2, k, 17', [-0.005386857, -0.2654352, 1.0]], ['2, k, 18', [0.02923075, -0.6248691, 1.0]], ['2, k, 19', [0.03660449, -0.6551049, 1.0]], ['2, k, 20', [-0.2018002, 0.2788906, 1.0]], ['2, k, 21', [-0.1860236, -0.2118016, 1.0]], ['2, k, 22', [-0.2341831, -0.1899488, 1.0]], ['2, k, 23', [-0.1516534, -0.2149359, 1.0]], ['2, k, 24', [-0.08198347, -0.1878432, 1.0]]]
[['2, k, 0', [-0.2020899, -0.2067108, 1.0]], ['2, k, 1', [-0.2031762, 0.07219011, 1.0]], ['2, k, 2', [-0.2045318, 0.3448896, 1.0]], ['2, k, 3', [-0.2106441, 0.4765249, 1.0]], ['2, k, 4', [-0.3390971, 0.2293437, 1.0]], ['2, k, 5', [-0.3405526, 0.02845751, 1.0]], ['2, k, 6', [-0.272044, -0.1257248, 1.0]], ['2, k, 7', [-0.2382591, -0.1766447, 1.0]], ['2, k, 8', [-0.06128449, 0.2406351, 1.0]], ['2, k, 9', [-0.04414505, 0.02902938, 1.0]], ['2, k, 10', [-0.0919778, -0.120861, 1.0]], ['2, k, 11', [-0.1079615, -0.1700741, 1.0]], ['2, k, 12', [-0.2840457, -0.2055523, 1.0]], ['2, k, 13', [-0.3029137, -0.2777722, 1.0]], ['2, k, 14', [-0.2899796, -0.6379102, 1.0]], ['2, k, 15', [-0.2784437, -0.6680132, 1.0]], ['2, k, 16', [-0.1145288, -0.2023315, 1.0]], ['2, k, 17', [0.0007484199, -0.2633654, 1.0]], ['2, k, 18', [0.03666965, -0.6217931, 1.0]], ['2, k, 19', [0.04333648, -0.6522236, 1.0]], ['2, k, 20', [-0.2042652, 0.277725, 1.0]], ['2, k, 21', [-0.1882932, -0.2198694, 1.0]], ['2, k, 22', [-0.2605622, -0.1993734, 1.0]], ['2, k, 23', [-0.141808, -0.2183787, 1.0]], ['2, k, 24', [-0.07340566, -0.1807879, 1.0]]]
[['2, k, 0', [-0.2015844, -0.2082182, 1.0]], ['2, k, 1', [-0.203813, 0.07097068, 1.0]], ['2, k, 2', [-0.20675, 0.3435881, 1.0]], ['2, k, 3', [-0.2139681, 0.4757132, 1.0]], ['2, k, 4', [-0.3411263, 0.2289293, 1.0]], ['2, k, 5', [-0.3427944, 0.02469037, 1.0]], ['2, k, 6', [-0.277804, -0.127086, 1.0]], ['2, k, 7', [-0.2455862, -0.1705876, 1.0]], ['2, k, 8', [-0.06382152, 0.2404239, 1.0]], ['2, k, 9', [-0.04308223, 0.03113914, 1.0]], ['2, k, 10', [-0.1009409, -0.1757269, 1.0]], ['2, k, 11', [-0.1229163, -0.2195659, 1.0]], ['2, k, 12', [-0.2836608, -0.2075483, 1.0]], ['2, k, 13', [-0.3054408, -0.2746033, 1.0]], ['2, k, 14', [-0.2937406, -0.6352811, 1.0]], ['2, k, 15', [-0.2825424, -0.6655564, 1.0]], ['2, k, 16', [-0.1139394, -0.2033556, 1.0]], ['2, k, 17', [0.00949295, -0.2645563, 1.0]], ['2, k, 18', [0.05317573, -0.6203745, 1.0]], ['2, k, 19', [0.05920563, -0.6510064, 1.0]], ['2, k, 20', [-0.2060642, 0.2764284, 1.0]], ['2, k, 21', [-0.204136, -0.2127338, 1.0]], ['2, k, 22', [-0.2819933, -0.1775623, 1.0]], ['2, k, 23', [-0.1406622, -0.2579081, 1.0]], ['2, k, 24', [-0.07556923, -0.2199737, 1.0]]]
[['2, k, 0', [-0.2011718, -0.2096503, 1.0]], ['2, k, 1', [-0.2045604, 0.06963492, 1.0]], ['2, k, 2', [-0.2091772, 0.3418936, 1.0]], ['2, k, 3', [-0.217476, 0.4746689, 1.0]], ['2, k, 4', [-0.343885, 0.2272368, 1.0]], ['2, k, 5', [-0.3534918, 0.04399593, 1.0]], ['2, k, 6', [-0.2759349, -0.1195939, 1.0]], ['2, k, 7', [-0.24629, -0.1707089, 1.0]], ['2, k, 8', [-0.06605976, 0.2399083, 1.0]], ['2, k, 9', [-0.04441664, 0.03224938, 1.0]], ['2, k, 10', [-0.1023052, -0.1697559, 1.0]], ['2, k, 11', [-0.1154862, -0.2076987, 1.0]], ['2, k, 12', [-0.2833048, -0.2096689, 1.0]], ['2, k, 13', [-0.3105096, -0.2697846, 1.0]], ['2, k, 14', [-0.2980685, -0.6310072, 1.0]], ['2, k, 15', [-0.2873786, -0.6615326, 1.0]], ['2, k, 16', [-0.1135195, -0.2041584, 1.0]], ['2, k, 17', [0.01771622, -0.2638627, 1.0]], ['2, k, 18', [0.0922656, -0.6153166, 1.0]], ['2, k, 19', [0.09713863, -0.6462221, 1.0]], ['2, k, 20', [-0.2080552, 0.2748088, 1.0]], ['2, k, 21', [-0.1997471, -0.2149907, 1.0]], ['2, k, 22', [-0.2785003, -0.1813168, 1.0]], ['2, k, 23', [-0.1415806, -0.2557502, 1.0]], ['2, k, 24', [-0.07591846, -0.207553, 1.0]]]
[['2, k, 0', [-0.2009799, -0.210308, 1.0]], ['2, k, 1', [-0.2055995, 0.06897934, 1.0]], ['2, k, 2', [-0.2120142, 0.3414279, 1.0]], ['2, k, 3', [-0.2202993, 0.4740957, 1.0]], ['2, k, 4', [-0.3457529, 0.2266015, 1.0]], ['2, k, 5', [-0.3512064, 0.03181763, 1.0]], ['2, k, 6', [-0.2736485, -0.1234778, 1.0]], ['2, k, 7', [-0.2429826, -0.1740592, 1.0]], ['2, k, 8', [-0.06849197, 0.2395344, 1.0]], ['2, k, 9', [-0.04656529, 0.04177054, 1.0]], ['2, k, 10', [-0.0918058, -0.129186, 1.0]], ['2, k, 11', [-0.1046703, -0.1817881, 1.0]], ['2, k, 12', [-0.2831909, -0.2107239, 1.0]], ['2, k, 13', [-0.3175793, -0.2646897, 1.0]], ['2, k, 14', [-0.304468, -0.6264869, 1.0]], ['2, k, 15', [-0.294551, -0.6572065, 1.0]], ['2, k, 16', [-0.1132888, -0.2044839, 1.0]], ['2, k, 17', [0.02580514, -0.2530152, 1.0]], ['2, k, 18', [0.1024052, -0.603549, 1.0]], ['2, k, 19', [0.1062523, -0.6347913, 1.0]], ['2, k, 20', [-0.2104579, 0.2742771, 1.0]], ['2, k, 21', [-0.1941535, -0.2209642, 1.0]], ['2, k, 22', [-0.2788004, -0.1818952, 1.0]], ['2, k, 23', [-0.1337531, -0.2359347, 1.0]], ['2, k, 24', [-0.06885666, -0.1849354, 1.0]]]
[['2, k, 0', [-0.2005104, -0.2114277, 1.0]], ['2, k, 1', [-0.2068563, 0.06765979, 1.0]], ['2, k, 2', [-0.2149565, 0.3402318, 1.0]], ['2, k, 3', [-0.2229431, 0.4731142, 1.0]], ['2, k, 4', [-0.3484742, 0.2255406, 1.0]], ['2, k, 5', [-0.3523318, 0.03205094, 1.0]], ['2, k, 6', [-0.2715043, -0.1273533, 1.0]], ['2, k, 7', [-0.2435049, -0.1752746, 1.0]], ['2, k, 8', [-0.07073587, 0.2384786, 1.0]], ['2, k, 9', [-0.04999147, 0.04485078, 1.0]], ['2, k, 10', [-0.1178144, -0.0989017, 1.0]], ['2, k, 11', [-0.09333084, -0.1571493, 1.0]], ['2, k, 12', [-0.2827198, -0.212172, 1.0]], ['2, k, 13', [-0.3267066, -0.2635095, 1.0]], ['2, k, 14', [-0.3084073, -0.624948, 1.0]], ['2, k, 15', [-0.2992137, -0.6558167, 1.0]], ['2, k, 16', [-0.112731, -0.2053085, 1.0]], ['2, k, 17', [0.0323955, -0.2503745, 1.0]], ['2, k, 18', [0.1314278, -0.5933722, 1.0]], ['2, k, 19', [0.1340716, -0.6249341, 1.0]], ['2, k, 20', [-0.2130145, 0.2730575, 1.0]], ['2, k, 21', [-0.1950379, -0.2210023, 1.0]], ['2, k, 22', [-0.2784991, -0.1835486, 1.0]], ['2, k, 23', [-0.107936, -0.2037025, 1.0]], ['2, k, 24', [-0.05980625, -0.1635762, 1.0]]]
[['2, k, 0', [-0.200722, -0.2120665, 1.0]], ['2, k, 1', [-0.2083992, 0.06658427, 1.0]], ['2, k, 2', [-0.2174293, 0.3388511, 1.0]], ['2, k, 3', [-0.2259305, 0.4723702, 1.0]], ['2, k, 4', [-0.3513873, 0.225391, 1.0]], ['2, k, 5', [-0.3601445, 0.04028781, 1.0]], ['2, k, 6', [-0.2723407, -0.1369706, 1.0]], ['2, k, 7', [-0.2439333, -0.1814148, 1.0]], ['2, k, 8', [-0.07365688, 0.2389769, 1.0]], ['2, k, 9', [-0.05210937, 0.04444047, 1.0]], ['2, k, 10', [-0.1184445, -0.09969681, 1.0]], ['2, k, 11', [-0.09541011, -0.1557577, 1.0]], ['2, k, 12', [-0.2830064, -0.21318, 1.0]], ['2, k, 13', [-0.3298099, -0.2630593, 1.0]], ['2, k, 14', [-0.3106058, -0.6248062, 1.0]], ['2, k, 15', [-0.3017886, -0.6557923, 1.0]], ['2, k, 16', [-0.112911, -0.2057225, 1.0]], ['2, k, 17', [0.03810379, -0.2483743, 1.0]], ['2, k, 18', [0.1635766, -0.5836135, 1.0]], ['2, k, 19', [0.1653387, -0.615439, 1.0]], ['2, k, 20', [-0.2153022, 0.2717649, 1.0]], ['2, k, 21', [-0.1963032, -0.2303354, 1.0]], ['2, k, 22', [-0.2826606, -0.1856901, 1.0]], ['2, k, 23', [-0.1077474, -0.2043247, 1.0]], ['2, k, 24', [-0.06213639, -0.1493479, 1.0]]]
