[['2, k, 0', [-0.118302, -0.257216, 1.0]], ['2, k, 1', [-0.111585, 0.077875, 1.0]], ['2, k, 2', [-0.104312, 0.403458, 1.0]], ['2, k, 3', [-0.0615913, 0.548578, 1.0]], ['2, k, 4', [-0.283593, 0.299598, 1.0]], ['2, k, 5', [-0.355841, 0.00795838, 1.0]], ['2, k, 6', [-0.387225, -0.230278, 1.0]], ['2, k, 7', [-0.381855, -0.287889, 1.0]], ['2, k, 8', [0.0716312, 0.307277, 1.0]], ['2, k, 9', [0.125281, 0.0519419, 1.0]], ['2, k, 10', [0.0779096, 0.161601, 1.0]], ['2, k, 11', [0.0647477, 0.173457, 1.0]], ['2, k, 12', [-0.197576, -0.255039, 1.0]], ['2, k, 13', [-0.262799, -0.653015, 1.0]], ['2, k, 14', [-0.328317, -1.03122, 1.0]], ['2, k, 15', [-0.355225, -1.09082, 1.0]], ['2, k, 16', [-0.0353928, -0.251476, 1.0]], ['2, k, 17', [0.0448966, -0.637202, 1.0]], ['2, k, 18', [0.0822789, -1.01011, 1.0]], ['2, k, 19', [0.0933838, -1.0791, 1.0]], ['2, k, 20', [-0.106231, 0.323462, 1.0]], ['2, k, 21', [-0.385128, -0.342586, 1.0]], ['2, k, 22', [-0.358445, -0.28492, 1.0]], ['2, k, 23', [0.0522126, 0.189037, 1.0]], ['2, k, 24', [0.0313298, 0.201259, 1.0]]]
[['2, k, 0', [-0.11824, -0.257254, 1.0]], ['2, k, 1', [-0.11147, 0.0778236, 1.0]], ['2, k, 2', [-0.1041, 0.403388, 1.0]], ['2, k, 3', [-0.0615073, 0.548636, 1.0]], ['2, k, 4', [-0.283303, 0.299502, 1.0]], ['2, k, 5', [-0.356085, 0.00778369, 1.0]], ['2, k, 6', [-0.387847, -0.229556, 1.0]], ['2, k, 7', [-0.384116, -0.296592, 1.0]], ['2, k, 8', [0.0708288, 0.305422, 1.0]], ['2, k, 9', [0.127094, 0.0547504, 1.0]], ['2, k, 10', [0.0810367, 0.204062, 1.0]], ['2, k, 11', [0.0679614, 0.222047, 1.0]], ['2, k, 12', [-0.197493, -0.254996, 1.0]], ['2, k, 13', [-0.262988, -0.653083, 1.0]], ['2, k, 14', [-0.327837, -1.03122, 1.0]], ['2, k, 15', [-0.355378, -1.09088, 1.0]], ['2, k, 16', [-0.0352674, -0.251688, 1.0]], ['2, k, 17', [0.0448842, -0.637245, 1.0]], ['2, k, 18', [0.0822476, -1.01027, 1.0]], ['2, k, 19', [0.0934035, -1.0791, 1.0]], ['2, k, 20', [-0.106045, 0.323395, 1.0]], ['2, k, 21', [-0.377681, -0.362794, 1.0]], ['2, k, 22', [-0.35393, -0.289603, 1.0]], ['2, k, 23', [0.0487793, 0.25137, 1.0]], ['2, k, 24', [0.034673, 0.23483, 1.0]]]
[['2, k, 0', [-0.11829, -0.257992, 1.0]], ['2, k, 1', [-0.111353, 0.0775736, 1.0]], ['2, k, 2', [-0.1038, 0.403491, 1.0]], ['2, k, 3', [-0.0612875, 0.548705, 1.0]], ['2, k, 4', [-0.283128, 0.299479, 1.0]], ['2, k, 5', [-0.356305, 0.00799005, 1.0]], ['2, k, 6', [-0.389411, -0.227835, 1.0]], ['2, k, 7', [-0.384767, -0.298237, 1.0]], ['2, k, 8', [0.0685054, 0.294033, 1.0]], ['2, k, 9', [0.131886, 0.0528052, 1.0]], ['2, k, 10', [0.0794524, 0.234962, 1.0]], ['2, k, 11', [0.0643105, 0.270198, 1.0]], ['2, k, 12', [-0.197521, -0.254996, 1.0]], ['2, k, 13', [-0.262923, -0.652869, 1.0]], ['2, k, 14', [-0.327839, -1.03126, 1.0]], ['2, k, 15', [-0.355375, -1.09085, 1.0]], ['2, k, 16', [-0.0353557, -0.254254, 1.0]], ['2, k, 17', [0.044763, -0.637542, 1.0]], ['2, k, 18', [0.082353, -1.01043, 1.0]], ['2, k, 19', [0.0933007, -1.07902, 1.0]], ['2, k, 20', [-0.1058, 0.323404, 1.0]], ['2, k, 21', [-0.380086, -0.362175, 1.0]], ['2, k, 22', [-0.357894, -0.287725, 1.0]], ['2, k, 23', [0.0428998, 0.307518, 1.0]], ['2, k, 24', [0.0547348, 0.315547, 1.0]]]
[['2, k, 0', [-0.118488, -0.257924, 1.0]], ['2, k, 1', [-0.111375, 0.0777004, 1.0]], ['2, k, 2', [-0.10349, 0.403741, 1.0]], ['2, k, 3', [-0.0606036, 0.548281, 1.0]], ['2, k, 4', [-0.282658, 0.299641, 1.0]], ['2, k, 5', [-0.356549, 0.00853626, 1.0]], ['2, k, 6', [-0.391145, -0.225184, 1.0]], ['2, k, 7', [-0.386878, -0.293593, 1.0]], ['2, k, 8', [0.0657412, 0.27839, 1.0]], ['2, k, 9', [0.139559, 0.0493095, 1.0]], ['2, k, 10', [0.0858025, 0.236133, 1.0]], ['2, k, 11', [0.0668337, 0.29656, 1.0]], ['2, k, 12', [-0.197979, -0.252986, 1.0]], ['2, k, 13', [-0.262866, -0.652942, 1.0]], ['2, k, 14', [-0.327754, -1.0316, 1.0]], ['2, k, 15', [-0.355438, -1.09097, 1.0]], ['2, k, 16', [-0.0358236, -0.255269, 1.0]], ['2, k, 17', [0.0447419, -0.637534, 1.0]], ['2, k, 18', [0.082347, -1.01047, 1.0]], ['2, k, 19', [0.0933696, -1.07899, 1.0]], ['2, k, 20', [-0.105592, 0.32362, 1.0]], ['2, k, 21', [-0.380403, -0.359809, 1.0]], ['2, k, 22', [-0.357907, -0.283376, 1.0]], ['2, k, 23', [0.0442488, 0.340286, 1.0]], ['2, k, 24', [0.0667825, 0.312866, 1.0]]]
[['2, k, 0', [-0.118693, -0.257415, 1.0]], ['2, k, 1', [-0.111296, 0.0779988, 1.0]], ['2, k, 2', [-0.103165, 0.403917, 1.0]], ['2, k, 3', [-0.0599193, 0.548147, 1.0]], ['2, k, 4', [-0.28193, 0.299856, 1.0]], ['2, k, 5', [-0.357476, 0.00961522, 1.0]], ['2, k, 6', [-0.393364, -0.223593, 1.0]], ['2, k, 7', [-0.387735, -0.293678, 1.0]], ['2, k, 8', [0.0651058, 0.277871, 1.0]], ['2, k, 9', [0.144702, 0.0533969, 1.0]], ['2, k, 10', [0.0893948, 0.255277, 1.0]], ['2, k, 11', [0.0628311, 0.333559, 1.0]], ['2, k, 12', [-0.198164, -0.251138, 1.0]], ['2, k, 13', [-0.262775, -0.652969, 1.0]], ['2, k, 14', [-0.327746, -1.03161, 1.0]], ['2, k, 15', [-0.355205, -1.09095, 1.0]], ['2, k, 16', [-0.0360046, -0.255303, 1.0]], ['2, k, 17', [0.0447651, -0.637544, 1.0]], ['2, k, 18', [0.0823408, -1.01046, 1.0]], ['2, k, 19', [0.0934506, -1.07895, 1.0]], ['2, k, 20', [-0.105331, 0.323827, 1.0]], ['2, k, 21', [-0.378448, -0.364822, 1.0]], ['2, k, 22', [-0.360897, -0.288282, 1.0]], ['2, k, 23', [0.0397605, 0.38602, 1.0]], ['2, k, 24', [0.0489357, 0.385929, 1.0]]]
[['2, k, 0', [-0.119358, -0.255289, 1.0]], ['2, k, 1', [-0.111163, 0.0790023, 1.0]], ['2, k, 2', [-0.102327, 0.404411, 1.0]], ['2, k, 3', [-0.0590272, 0.547839, 1.0]], ['2, k, 4', [-0.280535, 0.30037, 1.0]], ['2, k, 5', [-0.358949, 0.0117813, 1.0]], ['2, k, 6', [-0.395403, -0.218593, 1.0]], ['2, k, 7', [-0.389983, -0.290292, 1.0]], ['2, k, 8', [0.0648755, 0.27803, 1.0]], ['2, k, 9', [0.146055, 0.0561216, 1.0]], ['2, k, 10', [0.0868244, 0.266221, 1.0]], ['2, k, 11', [0.0645628, 0.343701, 1.0]], ['2, k, 12', [-0.198726, -0.247616, 1.0]], ['2, k, 13', [-0.262695, -0.652488, 1.0]], ['2, k, 14', [-0.327694, -1.03172, 1.0]], ['2, k, 15', [-0.355289, -1.09094, 1.0]], ['2, k, 16', [-0.0365812, -0.254325, 1.0]], ['2, k, 17', [0.0446497, -0.637391, 1.0]], ['2, k, 18', [0.0822804, -1.01055, 1.0]], ['2, k, 19', [0.0934264, -1.07886, 1.0]], ['2, k, 20', [-0.104701, 0.324444, 1.0]], ['2, k, 21', [-0.379116, -0.361811, 1.0]], ['2, k, 22', [-0.357272, -0.286337, 1.0]], ['2, k, 23', [0.0378525, 0.397963, 1.0]], ['2, k, 24', [0.0454656, 0.355063, 1.0]]]
[['2, k, 0', [-0.120695, -0.251789, 1.0]], ['2, k, 1', [-0.110908, 0.0805064, 1.0]], ['2, k, 2', [-0.100919, 0.405098, 1.0]], ['2, k, 3', [-0.05842, 0.547611, 1.0]], ['2, k, 4', [-0.279702, 0.300696, 1.0]], ['2, k, 5', [-0.360172, 0.012707, 1.0]], ['2, k, 6', [-0.396896, -0.217491, 1.0]], ['2, k, 7', [-0.390267, -0.291092, 1.0]], ['2, k, 8', [0.0649441, 0.278229, 1.0]], ['2, k, 9', [0.150104, 0.0523696, 1.0]], ['2, k, 10', [0.0896011, 0.264567, 1.0]], ['2, k, 11', [0.068128, 0.344066, 1.0]], ['2, k, 12', [-0.199862, -0.243244, 1.0]], ['2, k, 13', [-0.263526, -0.652145, 1.0]], ['2, k, 14', [-0.327835, -1.03254, 1.0]], ['2, k, 15', [-0.35542, -1.09109, 1.0]], ['2, k, 16', [-0.0379057, -0.251969, 1.0]], ['2, k, 17', [0.0445151, -0.637244, 1.0]], ['2, k, 18', [0.0824526, -1.01078, 1.0]], ['2, k, 19', [0.0933893, -1.07897, 1.0]], ['2, k, 20', [-0.103648, 0.325288, 1.0]], ['2, k, 21', [-0.380907, -0.359008, 1.0]], ['2, k, 22', [-0.360743, -0.286177, 1.0]], ['2, k, 23', [0.0391198, 0.401104, 1.0]], ['2, k, 24', [0.0732945, 0.384393, 1.0]]]
[['2, k, 0', [-0.122558, -0.248669, 1.0]], ['2, k, 1', [-0.110891, 0.0817968, 1.0]], ['2, k, 2', [-0.0995711, 0.405511, 1.0]], ['2, k, 3', [-0.0580565, 0.547312, 1.0]], ['2, k, 4', [-0.279041, 0.301042, 1.0]], ['2, k, 5', [-0.361706, 0.0154426, 1.0]], ['2, k, 6', [-0.39824, -0.21452, 1.0]], ['2, k, 7', [-0.392867, -0.289907, 1.0]], ['2, k, 8', [0.0652583, 0.278195, 1.0]], ['2, k, 9', [0.159851, 0.0720077, 1.0]], ['2, k, 10', [0.0870486, 0.285013, 1.0]], ['2, k, 11', [0.0726228, 0.337075, 1.0]], ['2, k, 12', [-0.201453, -0.239693, 1.0]], ['2, k, 13', [-0.264893, -0.652068, 1.0]], ['2, k, 14', [-0.327848, -1.03273, 1.0]], ['2, k, 15', [-0.355479, -1.09117, 1.0]], ['2, k, 16', [-0.0398892, -0.249572, 1.0]], ['2, k, 17', [0.0443595, -0.636945, 1.0]], ['2, k, 18', [0.0827503, -1.01075, 1.0]], ['2, k, 19', [0.0933826, -1.07887, 1.0]], ['2, k, 20', [-0.102712, 0.325892, 1.0]], ['2, k, 21', [-0.382287, -0.360806, 1.0]], ['2, k, 22', [-0.362517, -0.280822, 1.0]], ['2, k, 23', [0.0349382, 0.397864, 1.0]], ['2, k, 24', [0.056908, 0.327413, 1.0]]]
[['2, k, 0', [-0.1249, -0.247168, 1.0]], ['2, k, 1', [-0.110886, 0.0826362, 1.0]], ['2, k, 2', [-0.097188, 0.406319, 1.0]], ['2, k, 3', [-0.0580973, 0.547132, 1.0]], ['2, k, 4', [-0.278556, 0.301243, 1.0]], ['2, k, 5', [-0.362813, 0.0179021, 1.0]], ['2, k, 6', [-0.399657, -0.213846, 1.0]], ['2, k, 7', [-0.394606, -0.284565, 1.0]], ['2, k, 8', [0.0653777, 0.280308, 1.0]], ['2, k, 9', [0.160653, 0.0832751, 1.0]], ['2, k, 10', [0.0903522, 0.321911, 1.0]], ['2, k, 11', [0.0738425, 0.340008, 1.0]], ['2, k, 12', [-0.203291, -0.238689, 1.0]], ['2, k, 13', [-0.266639, -0.649766, 1.0]], ['2, k, 14', [-0.327894, -1.03284, 1.0]], ['2, k, 15', [-0.355578, -1.09121, 1.0]], ['2, k, 16', [-0.0426805, -0.247688, 1.0]], ['2, k, 17', [0.0431696, -0.635008, 1.0]], ['2, k, 18', [0.0834554, -1.01048, 1.0]], ['2, k, 19', [0.0933726, -1.07873, 1.0]], ['2, k, 20', [-0.101157, 0.326714, 1.0]], ['2, k, 21', [-0.385163, -0.356858, 1.0]], ['2, k, 22', [-0.364526, -0.276929, 1.0]], ['2, k, 23', [0.0363118, 0.405965, 1.0]], ['2, k, 24', [0.0183138, 0.40463, 1.0]]]
[['2, k, 0', [-0.127415, -0.245933, 1.0]], ['2, k, 1', [-0.111049, 0.0834495, 1.0]], ['2, k, 2', [-0.0955086, 0.407095, 1.0]], ['2, k, 3', [-0.0582821, 0.54704, 1.0]], ['2, k, 4', [-0.278349, 0.301488, 1.0]], ['2, k, 5', [-0.363338, 0.0205311, 1.0]], ['2, k, 6', [-0.401658, -0.211488, 1.0]], ['2, k, 7', [-0.396701, -0.283141, 1.0]], ['2, k, 8', [0.0651622, 0.281511, 1.0]], ['2, k, 9', [0.161519, 0.0906579, 1.0]], ['2, k, 10', [0.0903116, 0.321323, 1.0]], ['2, k, 11', [0.0435462, 0.399555, 1.0]], ['2, k, 12', [-0.206117, -0.237823, 1.0]], ['2, k, 13', [-0.268781, -0.648287, 1.0]], ['2, k, 14', [-0.327915, -1.03288, 1.0]], ['2, k, 15', [-0.355412, -1.09127, 1.0]], ['2, k, 16', [-0.044857, -0.24622, 1.0]], ['2, k, 17', [0.042628, -0.635476, 1.0]], ['2, k, 18', [0.083976, -1.01354, 1.0]], ['2, k, 19', [0.0933699, -1.07872, 1.0]], ['2, k, 20', [-0.100045, 0.327483, 1.0]], ['2, k, 21', [-0.387684, -0.355937, 1.0]], ['2, k, 22', [-0.368861, -0.274669, 1.0]], ['2, k, 23', [-0.0209203, 0.471694, 1.0]], ['2, k, 24', [0.0361246, 0.377783, 1.0]]]
[['2, k, 0', [-0.134054, -0.243486, 1.0]], ['2, k, 1', [-0.112275, 0.0846067, 1.0]], ['2, k, 2', [-0.0948752, 0.407388, 1.0]], ['2, k, 3', [-0.0587169, 0.547092, 1.0]], ['2, k, 4', [-0.278195, 0.301927, 1.0]], ['2, k, 5', [-0.363141, 0.0225537, 1.0]], ['2, k, 6', [-0.403298, -0.210847, 1.0]], ['2, k, 7', [-0.395683, -0.282702, 1.0]], ['2, k, 8', [0.0654372, 0.280912, 1.0]], ['2, k, 9', [0.160875, 0.0917224, 1.0]], ['2, k, 10', [0.0984922, 0.304307, 1.0]], ['2, k, 11', [0.076, 0.326417, 1.0]], ['2, k, 12', [-0.214951, -0.235101, 1.0]], ['2, k, 13', [-0.273169, -0.646574, 1.0]], ['2, k, 14', [-0.328225, -1.03306, 1.0]], ['2, k, 15', [-0.35548, -1.09129, 1.0]], ['2, k, 16', [-0.0495045, -0.244196, 1.0]], ['2, k, 17', [0.0415321, -0.636065, 1.0]], ['2, k, 18', [0.0843306, -1.01314, 1.0]], ['2, k, 19', [0.0914003, -1.07788, 1.0]], ['2, k, 20', [-0.0997678, 0.327814, 1.0]], ['2, k, 21', [-0.384889, -0.354573, 1.0]], ['2, k, 22', [-0.364246, -0.276877, 1.0]], ['2, k, 23', [0.0481913, 0.404091, 1.0]], ['2, k, 24', [0.0614838, 0.285717, 1.0]]]
