[['2, k, 0', [-0.153132, -0.245294, 1.0]], ['2, k, 1', [-0.171021, 0.0800496, 1.0]], ['2, k, 2', [-0.187336, 0.396476, 1.0]], ['2, k, 3', [-0.205563, 0.536866, 1.0]], ['2, k, 4', [-0.367508, 0.284313, 1.0]], ['2, k, 5', [-0.396239, 0.00272391, 1.0]], ['2, k, 6', [-0.437801, -0.24798, 1.0]], ['2, k, 7', [-0.426731, -0.304356, 1.0]], ['2, k, 8', [-0.013398, 0.29649, 1.0]], ['2, k, 9', [0.0790129, 0.0310939, 1.0]], ['2, k, 10', [0.142679, -0.219136, 1.0]], ['2, k, 11', [0.141443, -0.283056, 1.0]], ['2, k, 12', [-0.23162, -0.244323, 1.0]], ['2, k, 13', [-0.291042, -0.644769, 1.0]], ['2, k, 14', [-0.321308, -1.01711, 1.0]], ['2, k, 15', [-0.346191, -1.08594, 1.0]], ['2, k, 16', [-0.0700378, -0.238931, 1.0]], ['2, k, 17', [0.0348967, -0.654889, 1.0]], ['2, k, 18', [0.0990314, -1.01741, 1.0]], ['2, k, 19', [0.109802, -1.08008, 1.0]], ['2, k, 20', [-0.183517, 0.318697, 1.0]], ['2, k, 21', [-0.420969, -0.372234, 1.0]], ['2, k, 22', [-0.401791, -0.30249, 1.0]], ['2, k, 23', [0.137603, -0.356744, 1.0]], ['2, k, 24', [0.113127, -0.284619, 1.0]]]
[['2, k, 0', [-0.153025, -0.245294, 1.0]], ['2, k, 1', [-0.171156, 0.0801039, 1.0]], ['2, k, 2', [-0.187884, 0.396641, 1.0]], ['2, k, 3', [-0.206429, 0.53751, 1.0]], ['2, k, 4', [-0.36869, 0.282972, 1.0]], ['2, k, 5', [-0.397088, 0.00220612, 1.0]], ['2, k, 6', [-0.4393, -0.248233, 1.0]], ['2, k, 7', [-0.433522, -0.307003, 1.0]], ['2, k, 8', [-0.0137236, 0.296737, 1.0]], ['2, k, 9', [0.0790169, 0.031083, 1.0]], ['2, k, 10', [0.14263, -0.219198, 1.0]], ['2, k, 11', [0.140202, -0.281615, 1.0]], ['2, k, 12', [-0.231478, -0.244514, 1.0]], ['2, k, 13', [-0.290918, -0.644677, 1.0]], ['2, k, 14', [-0.321508, -1.01746, 1.0]], ['2, k, 15', [-0.345537, -1.08614, 1.0]], ['2, k, 16', [-0.0699457, -0.238746, 1.0]], ['2, k, 17', [0.0351312, -0.654005, 1.0]], ['2, k, 18', [0.0990781, -1.01741, 1.0]], ['2, k, 19', [0.10933, -1.07965, 1.0]], ['2, k, 20', [-0.183929, 0.318826, 1.0]], ['2, k, 21', [-0.423939, -0.372628, 1.0]], ['2, k, 22', [-0.408327, -0.29854, 1.0]], ['2, k, 23', [0.140256, -0.354773, 1.0]], ['2, k, 24', [0.119471, -0.304, 1.0]]]
[['2, k, 0', [-0.152872, -0.245304, 1.0]], ['2, k, 1', [-0.171274, 0.0801605, 1.0]], ['2, k, 2', [-0.188559, 0.396846, 1.0]], ['2, k, 3', [-0.208286, 0.53884, 1.0]], ['2, k, 4', [-0.369597, 0.282312, 1.0]], ['2, k, 5', [-0.398499, 0.00156522, 1.0]], ['2, k, 6', [-0.441435, -0.2486, 1.0]], ['2, k, 7', [-0.438186, -0.309827, 1.0]], ['2, k, 8', [-0.0138262, 0.296865, 1.0]], ['2, k, 9', [0.0790756, 0.0314985, 1.0]], ['2, k, 10', [0.142885, -0.219661, 1.0]], ['2, k, 11', [0.14119, -0.280938, 1.0]], ['2, k, 12', [-0.231308, -0.244628, 1.0]], ['2, k, 13', [-0.290444, -0.644364, 1.0]], ['2, k, 14', [-0.321511, -1.01745, 1.0]], ['2, k, 15', [-0.344852, -1.08575, 1.0]], ['2, k, 16', [-0.0697942, -0.238656, 1.0]], ['2, k, 17', [0.0351602, -0.654364, 1.0]], ['2, k, 18', [0.0990938, -1.01741, 1.0]], ['2, k, 19', [0.109241, -1.07959, 1.0]], ['2, k, 20', [-0.184427, 0.318985, 1.0]], ['2, k, 21', [-0.431726, -0.37113, 1.0]], ['2, k, 22', [-0.409814, -0.319471, 1.0]], ['2, k, 23', [0.135193, -0.354859, 1.0]], ['2, k, 24', [0.109773, -0.28138, 1.0]]]
[['2, k, 0', [-0.152756, -0.245626, 1.0]], ['2, k, 1', [-0.171246, 0.0801172, 1.0]], ['2, k, 2', [-0.188553, 0.396988, 1.0]], ['2, k, 3', [-0.208974, 0.539693, 1.0]], ['2, k, 4', [-0.369562, 0.281751, 1.0]], ['2, k, 5', [-0.400026, -8.17028e-05, 1.0]], ['2, k, 6', [-0.444911, -0.249898, 1.0]], ['2, k, 7', [-0.446098, -0.309928, 1.0]], ['2, k, 8', [-0.0137693, 0.296884, 1.0]], ['2, k, 9', [0.0792783, 0.0316728, 1.0]], ['2, k, 10', [0.143614, -0.219719, 1.0]], ['2, k, 11', [0.144279, -0.278495, 1.0]], ['2, k, 12', [-0.2312, -0.245136, 1.0]], ['2, k, 13', [-0.29015, -0.644503, 1.0]], ['2, k, 14', [-0.32126, -1.01751, 1.0]], ['2, k, 15', [-0.345088, -1.08509, 1.0]], ['2, k, 16', [-0.0696665, -0.238829, 1.0]], ['2, k, 17', [0.0348325, -0.651477, 1.0]], ['2, k, 18', [0.0992383, -1.01778, 1.0]], ['2, k, 19', [0.109101, -1.07999, 1.0]], ['2, k, 20', [-0.184421, 0.319078, 1.0]], ['2, k, 21', [-0.43822, -0.370795, 1.0]], ['2, k, 22', [-0.418604, -0.30667, 1.0]], ['2, k, 23', [0.140708, -0.349811, 1.0]], ['2, k, 24', [0.112415, -0.289774, 1.0]]]
[['2, k, 0', [-0.152325, -0.244888, 1.0]], ['2, k, 1', [-0.170948, 0.0806342, 1.0]], ['2, k, 2', [-0.18825, 0.397403, 1.0]], ['2, k, 3', [-0.20821, 0.540823, 1.0]], ['2, k, 4', [-0.368975, 0.281622, 1.0]], ['2, k, 5', [-0.40139, -0.00141838, 1.0]], ['2, k, 6', [-0.449463, -0.250726, 1.0]], ['2, k, 7', [-0.449471, -0.314569, 1.0]], ['2, k, 8', [-0.0132548, 0.297304, 1.0]], ['2, k, 9', [0.0810456, 0.0325017, 1.0]], ['2, k, 10', [0.147493, -0.220373, 1.0]], ['2, k, 11', [0.148565, -0.279833, 1.0]], ['2, k, 12', [-0.230855, -0.244655, 1.0]], ['2, k, 13', [-0.289301, -0.644129, 1.0]], ['2, k, 14', [-0.321062, -1.0177, 1.0]], ['2, k, 15', [-0.345452, -1.0849, 1.0]], ['2, k, 16', [-0.0691604, -0.237788, 1.0]], ['2, k, 17', [0.034703, -0.653644, 1.0]], ['2, k, 18', [0.099439, -1.01846, 1.0]], ['2, k, 19', [0.108695, -1.08041, 1.0]], ['2, k, 20', [-0.184131, 0.319523, 1.0]], ['2, k, 21', [-0.447906, -0.378448, 1.0]], ['2, k, 22', [-0.420193, -0.328005, 1.0]], ['2, k, 23', [0.143513, -0.353162, 1.0]], ['2, k, 24', [0.128547, -0.298069, 1.0]]]
[['2, k, 0', [-0.151251, -0.244531, 1.0]], ['2, k, 1', [-0.169912, 0.0810127, 1.0]], ['2, k, 2', [-0.186891, 0.397885, 1.0]], ['2, k, 3', [-0.205025, 0.542974, 1.0]], ['2, k, 4', [-0.366827, 0.281189, 1.0]], ['2, k, 5', [-0.402549, -0.0029318, 1.0]], ['2, k, 6', [-0.452566, -0.251906, 1.0]], ['2, k, 7', [-0.452096, -0.312008, 1.0]], ['2, k, 8', [-0.0106016, 0.297926, 1.0]], ['2, k, 9', [0.0848038, 0.0338926, 1.0]], ['2, k, 10', [0.15067, -0.218018, 1.0]], ['2, k, 11', [0.155055, -0.277965, 1.0]], ['2, k, 12', [-0.229906, -0.244489, 1.0]], ['2, k, 13', [-0.288795, -0.644092, 1.0]], ['2, k, 14', [-0.320793, -1.018, 1.0]], ['2, k, 15', [-0.345158, -1.08472, 1.0]], ['2, k, 16', [-0.0679692, -0.237208, 1.0]], ['2, k, 17', [0.0348409, -0.654298, 1.0]], ['2, k, 18', [0.0996721, -1.0183, 1.0]], ['2, k, 19', [0.108631, -1.08046, 1.0]], ['2, k, 20', [-0.182883, 0.319976, 1.0]], ['2, k, 21', [-0.449963, -0.376161, 1.0]], ['2, k, 22', [-0.425287, -0.310991, 1.0]], ['2, k, 23', [0.151162, -0.349028, 1.0]], ['2, k, 24', [0.126225, -0.274191, 1.0]]]
[['2, k, 0', [-0.148625, -0.24536, 1.0]], ['2, k, 1', [-0.166299, 0.0811635, 1.0]], ['2, k, 2', [-0.181829, 0.399305, 1.0]], ['2, k, 3', [-0.199749, 0.546069, 1.0]], ['2, k, 4', [-0.362345, 0.280783, 1.0]], ['2, k, 5', [-0.402481, -0.00288562, 1.0]], ['2, k, 6', [-0.453293, -0.251687, 1.0]], ['2, k, 7', [-0.451928, -0.309218, 1.0]], ['2, k, 8', [-0.00509725, 0.298774, 1.0]], ['2, k, 9', [0.0896239, 0.0339717, 1.0]], ['2, k, 10', [0.15593, -0.217849, 1.0]], ['2, k, 11', [0.160976, -0.277493, 1.0]], ['2, k, 12', [-0.227318, -0.245544, 1.0]], ['2, k, 13', [-0.287968, -0.644183, 1.0]], ['2, k, 14', [-0.320821, -1.01804, 1.0]], ['2, k, 15', [-0.345001, -1.08493, 1.0]], ['2, k, 16', [-0.0653811, -0.237804, 1.0]], ['2, k, 17', [0.0351392, -0.65176, 1.0]], ['2, k, 18', [0.100276, -1.01797, 1.0]], ['2, k, 19', [0.108762, -1.08064, 1.0]], ['2, k, 20', [-0.178227, 0.321042, 1.0]], ['2, k, 21', [-0.447772, -0.370062, 1.0]], ['2, k, 22', [-0.422762, -0.313304, 1.0]], ['2, k, 23', [0.155893, -0.348015, 1.0]], ['2, k, 24', [0.133017, -0.276446, 1.0]]]
[['2, k, 0', [-0.143692, -0.242301, 1.0]], ['2, k, 1', [-0.160448, 0.0839388, 1.0]], ['2, k, 2', [-0.175016, 0.401633, 1.0]], ['2, k, 3', [-0.190825, 0.548731, 1.0]], ['2, k, 4', [-0.356808, 0.282747, 1.0]], ['2, k, 5', [-0.400917, -0.00275299, 1.0]], ['2, k, 6', [-0.452387, -0.251268, 1.0]], ['2, k, 7', [-0.448032, -0.305621, 1.0]], ['2, k, 8', [0.00292534, 0.299763, 1.0]], ['2, k, 9', [0.0956132, 0.0354663, 1.0]], ['2, k, 10', [0.162445, -0.218085, 1.0]], ['2, k, 11', [0.167831, -0.276789, 1.0]], ['2, k, 12', [-0.222456, -0.242215, 1.0]], ['2, k, 13', [-0.286901, -0.643736, 1.0]], ['2, k, 14', [-0.320759, -1.01795, 1.0]], ['2, k, 15', [-0.343996, -1.08474, 1.0]], ['2, k, 16', [-0.0605397, -0.235088, 1.0]], ['2, k, 17', [0.0361087, -0.649453, 1.0]], ['2, k, 18', [0.101116, -1.01829, 1.0]], ['2, k, 19', [0.10893, -1.08074, 1.0]], ['2, k, 20', [-0.171659, 0.323508, 1.0]], ['2, k, 21', [-0.444695, -0.368746, 1.0]], ['2, k, 22', [-0.420707, -0.316313, 1.0]], ['2, k, 23', [0.161896, -0.346495, 1.0]], ['2, k, 24', [0.134724, -0.291895, 1.0]]]
[['2, k, 0', [-0.139384, -0.241704, 1.0]], ['2, k, 1', [-0.154751, 0.0850144, 1.0]], ['2, k, 2', [-0.168197, 0.403053, 1.0]], ['2, k, 3', [-0.178735, 0.550085, 1.0]], ['2, k, 4', [-0.347633, 0.285297, 1.0]], ['2, k, 5', [-0.396858, -0.00214788, 1.0]], ['2, k, 6', [-0.450963, -0.250113, 1.0]], ['2, k, 7', [-0.442808, -0.302337, 1.0]], ['2, k, 8', [0.0107354, 0.299456, 1.0]], ['2, k, 9', [0.102181, 0.034964, 1.0]], ['2, k, 10', [0.168004, -0.218656, 1.0]], ['2, k, 11', [0.174654, -0.281661, 1.0]], ['2, k, 12', [-0.218337, -0.241244, 1.0]], ['2, k, 13', [-0.285042, -0.642994, 1.0]], ['2, k, 14', [-0.319917, -1.01771, 1.0]], ['2, k, 15', [-0.344063, -1.0844, 1.0]], ['2, k, 16', [-0.0561114, -0.234873, 1.0]], ['2, k, 17', [0.037432, -0.647354, 1.0]], ['2, k, 18', [0.101443, -1.01789, 1.0]], ['2, k, 19', [0.109686, -1.08121, 1.0]], ['2, k, 20', [-0.165093, 0.324857, 1.0]], ['2, k, 21', [-0.442042, -0.363035, 1.0]], ['2, k, 22', [-0.415807, -0.301139, 1.0]], ['2, k, 23', [0.16803, -0.352531, 1.0]], ['2, k, 24', [0.1447, -0.279769, 1.0]]]
[['2, k, 0', [-0.135666, -0.242588, 1.0]], ['2, k, 1', [-0.149181, 0.0852029, 1.0]], ['2, k, 2', [-0.160576, 0.40459, 1.0]], ['2, k, 3', [-0.165938, 0.55381, 1.0]], ['2, k, 4', [-0.339318, 0.287314, 1.0]], ['2, k, 5', [-0.389207, -0.000260031, 1.0]], ['2, k, 6', [-0.44277, -0.248006, 1.0]], ['2, k, 7', [-0.434321, -0.299904, 1.0]], ['2, k, 8', [0.0200834, 0.298928, 1.0]], ['2, k, 9', [0.107791, 0.0342677, 1.0]], ['2, k, 10', [0.174503, -0.217869, 1.0]], ['2, k, 11', [0.180805, -0.280795, 1.0]], ['2, k, 12', [-0.214376, -0.241513, 1.0]], ['2, k, 13', [-0.282011, -0.646348, 1.0]], ['2, k, 14', [-0.319962, -1.01828, 1.0]], ['2, k, 15', [-0.344148, -1.08444, 1.0]], ['2, k, 16', [-0.052454, -0.23642, 1.0]], ['2, k, 17', [0.0405819, -0.654454, 1.0]], ['2, k, 18', [0.101823, -1.01709, 1.0]], ['2, k, 19', [0.109497, -1.08136, 1.0]], ['2, k, 20', [-0.157998, 0.326034, 1.0]], ['2, k, 21', [-0.434876, -0.36221, 1.0]], ['2, k, 22', [-0.435303, -0.282637, 1.0]], ['2, k, 23', [0.174997, -0.351413, 1.0]], ['2, k, 24', [0.150312, -0.296864, 1.0]]]
[['2, k, 0', [-0.123943, -0.244107, 1.0]], ['2, k, 1', [-0.134845, 0.0857841, 1.0]], ['2, k, 2', [-0.143933, 0.406956, 1.0]], ['2, k, 3', [-0.140811, 0.554204, 1.0]], ['2, k, 4', [-0.321579, 0.291794, 1.0]], ['2, k, 5', [-0.372376, 0.00589256, 1.0]], ['2, k, 6', [-0.431679, -0.240452, 1.0]], ['2, k, 7', [-0.41721, -0.292347, 1.0]], ['2, k, 8', [0.0384953, 0.297168, 1.0]], ['2, k, 9', [0.121204, 0.0301257, 1.0]], ['2, k, 10', [0.186261, -0.218331, 1.0]], ['2, k, 11', [0.192889, -0.282735, 1.0]], ['2, k, 12', [-0.203088, -0.242136, 1.0]], ['2, k, 13', [-0.277268, -0.648885, 1.0]], ['2, k, 14', [-0.31912, -1.01813, 1.0]], ['2, k, 15', [-0.344013, -1.08409, 1.0]], ['2, k, 16', [-0.0408347, -0.238754, 1.0]], ['2, k, 17', [0.0436835, -0.657948, 1.0]], ['2, k, 18', [0.102533, -1.01638, 1.0]], ['2, k, 19', [0.110288, -1.08172, 1.0]], ['2, k, 20', [-0.141895, 0.327984, 1.0]], ['2, k, 21', [-0.420885, -0.353276, 1.0]], ['2, k, 22', [-0.393888, -0.279163, 1.0]], ['2, k, 23', [0.186132, -0.355389, 1.0]], ['2, k, 24', [0.173179, -0.294561, 1.0]]]
