[['2, k, 0', [0.107943, -0.797073, 1.0]], ['2, k, 1', [0.114531, -0.49586, 1.0]], ['2, k, 2', [0.120206, -0.198544, 1.0]], ['2, k, 3', [0.14038, -0.0417527, 1.0]], ['2, k, 4', [-0.0488718, -0.284137, 1.0]], ['2, k, 5', [-0.165824, -0.532105, 1.0]], ['2, k, 6', [-0.254931, -0.778796, 1.0]], ['2, k, 7', [-0.257776, -0.826253, 1.0]], ['2, k, 8', [0.289317, -0.296033, 1.0]], ['2, k, 9', [0.380226, -0.540938, 1.0]], ['2, k, 10', [0.477112, -0.78254, 1.0]], ['2, k, 11', [0.500213, -0.840922, 1.0]], ['2, k, 12', [0.0297053, -0.786179, 1.0]], ['2, k, 13', [0.0087937, -1.22885, 1.0]], ['2, k, 14', [-0.0171258, -1.61697, 1.0]], ['2, k, 15', [-0.0333616, -1.69597, 1.0]], ['2, k, 16', [0.18368, -0.789697, 1.0]], ['2, k, 17', [0.201905, -1.20302, 1.0]], ['2, k, 18', [0.219613, -1.63259, 1.0]], ['2, k, 19', [0.195698, -1.68915, 1.0]], ['2, k, 20', [0.118942, -0.272395, 1.0]], ['2, k, 21', [-0.284124, -0.870826, 1.0]], ['2, k, 22', [-0.175521, -0.845999, 1.0]], ['2, k, 23', [0.576035, -0.865534, 1.0]], ['2, k, 24', [0.457065, -0.867863, 1.0]]]
[['2, k, 0', [0.107942, -0.796972, 1.0]], ['2, k, 1', [0.114542, -0.495843, 1.0]], ['2, k, 2', [0.120238, -0.198563, 1.0]], ['2, k, 3', [0.140194, -0.0418589, 1.0]], ['2, k, 4', [-0.0488772, -0.284149, 1.0]], ['2, k, 5', [-0.165814, -0.531762, 1.0]], ['2, k, 6', [-0.255252, -0.778849, 1.0]], ['2, k, 7', [-0.272587, -0.828256, 1.0]], ['2, k, 8', [0.289311, -0.296008, 1.0]], ['2, k, 9', [0.38018, -0.540967, 1.0]], ['2, k, 10', [0.476929, -0.782634, 1.0]], ['2, k, 11', [0.475435, -0.836795, 1.0]], ['2, k, 12', [0.0296909, -0.786115, 1.0]], ['2, k, 13', [0.0080544, -1.22786, 1.0]], ['2, k, 14', [-0.0171465, -1.61697, 1.0]], ['2, k, 15', [-0.032932, -1.69633, 1.0]], ['2, k, 16', [0.183695, -0.789547, 1.0]], ['2, k, 17', [0.201667, -1.20092, 1.0]], ['2, k, 18', [0.218962, -1.63127, 1.0]], ['2, k, 19', [0.197699, -1.68878, 1.0]], ['2, k, 20', [0.11896, -0.272402, 1.0]], ['2, k, 21', [-0.294839, -0.864388, 1.0]], ['2, k, 22', [-0.219816, -0.848701, 1.0]], ['2, k, 23', [0.491139, -0.887165, 1.0]], ['2, k, 24', [0.389381, -0.851534, 1.0]]]
[['2, k, 0', [0.107914, -0.796882, 1.0]], ['2, k, 1', [0.114431, -0.495692, 1.0]], ['2, k, 2', [0.120022, -0.198365, 1.0]], ['2, k, 3', [0.140216, -0.0419178, 1.0]], ['2, k, 4', [-0.0489337, -0.284157, 1.0]], ['2, k, 5', [-0.165542, -0.532243, 1.0]], ['2, k, 6', [-0.255354, -0.779173, 1.0]], ['2, k, 7', [-0.256175, -0.825919, 1.0]], ['2, k, 8', [0.289326, -0.295953, 1.0]], ['2, k, 9', [0.380053, -0.540721, 1.0]], ['2, k, 10', [0.476291, -0.782322, 1.0]], ['2, k, 11', [0.499902, -0.843058, 1.0]], ['2, k, 12', [0.0296298, -0.786035, 1.0]], ['2, k, 13', [0.00991636, -1.23198, 1.0]], ['2, k, 14', [-0.0173676, -1.61706, 1.0]], ['2, k, 15', [-0.0366956, -1.69561, 1.0]], ['2, k, 16', [0.183696, -0.789435, 1.0]], ['2, k, 17', [0.201613, -1.20257, 1.0]], ['2, k, 18', [0.219442, -1.642, 1.0]], ['2, k, 19', [0.198136, -1.68875, 1.0]], ['2, k, 20', [0.11877, -0.272215, 1.0]], ['2, k, 21', [-0.27021, -0.87188, 1.0]], ['2, k, 22', [-0.174568, -0.846437, 1.0]], ['2, k, 23', [0.588848, -0.864528, 1.0]], ['2, k, 24', [0.457333, -0.876789, 1.0]]]
[['2, k, 0', [0.107888, -0.796834, 1.0]], ['2, k, 1', [0.114325, -0.495607, 1.0]], ['2, k, 2', [0.119842, -0.19826, 1.0]], ['2, k, 3', [0.14013, -0.042031, 1.0]], ['2, k, 4', [-0.0490433, -0.284121, 1.0]], ['2, k, 5', [-0.165658, -0.532331, 1.0]], ['2, k, 6', [-0.255268, -0.778503, 1.0]], ['2, k, 7', [-0.256695, -0.825983, 1.0]], ['2, k, 8', [0.289098, -0.295556, 1.0]], ['2, k, 9', [0.380017, -0.540743, 1.0]], ['2, k, 10', [0.476332, -0.783376, 1.0]], ['2, k, 11', [0.501962, -0.843856, 1.0]], ['2, k, 12', [0.0296146, -0.786026, 1.0]], ['2, k, 13', [0.0107786, -1.23303, 1.0]], ['2, k, 14', [-0.0178364, -1.61868, 1.0]], ['2, k, 15', [-0.0246068, -1.64352, 1.0]], ['2, k, 16', [0.183658, -0.789332, 1.0]], ['2, k, 17', [0.201366, -1.20208, 1.0]], ['2, k, 18', [0.220013, -1.6398, 1.0]], ['2, k, 19', [0.196886, -1.68735, 1.0]], ['2, k, 20', [0.118605, -0.272115, 1.0]], ['2, k, 21', [-0.278705, -0.8734, 1.0]], ['2, k, 22', [-0.171818, -0.844438, 1.0]], ['2, k, 23', [0.587627, -0.862728, 1.0]], ['2, k, 24', [0.457422, -0.876788, 1.0]]]
[['2, k, 0', [0.108048, -0.796881, 1.0]], ['2, k, 1', [0.114714, -0.495717, 1.0]], ['2, k, 2', [0.120739, -0.198526, 1.0]], ['2, k, 3', [0.140013, -0.0420874, 1.0]], ['2, k, 4', [-0.0489546, -0.284198, 1.0]], ['2, k, 5', [-0.165704, -0.532511, 1.0]], ['2, k, 6', [-0.255064, -0.777513, 1.0]], ['2, k, 7', [-0.270428, -0.828534, 1.0]], ['2, k, 8', [0.289054, -0.295682, 1.0]], ['2, k, 9', [0.380027, -0.540795, 1.0]], ['2, k, 10', [0.476497, -0.783313, 1.0]], ['2, k, 11', [0.503274, -0.841293, 1.0]], ['2, k, 12', [0.0297083, -0.786084, 1.0]], ['2, k, 13', [0.0125884, -1.23573, 1.0]], ['2, k, 14', [-0.0179463, -1.61946, 1.0]], ['2, k, 15', [-0.0249885, -1.64403, 1.0]], ['2, k, 16', [0.183919, -0.789351, 1.0]], ['2, k, 17', [0.201608, -1.20415, 1.0]], ['2, k, 18', [0.220168, -1.63934, 1.0]], ['2, k, 19', [0.196681, -1.68737, 1.0]], ['2, k, 20', [0.119345, -0.272334, 1.0]], ['2, k, 21', [-0.287636, -0.867204, 1.0]], ['2, k, 22', [-0.203402, -0.845179, 1.0]], ['2, k, 23', [0.591378, -0.864022, 1.0]], ['2, k, 24', [0.460065, -0.877958, 1.0]]]
[['2, k, 0', [0.107782, -0.797085, 1.0]], ['2, k, 1', [0.114589, -0.495781, 1.0]], ['2, k, 2', [0.120702, -0.198525, 1.0]], ['2, k, 3', [0.140049, -0.0422279, 1.0]], ['2, k, 4', [-0.0489676, -0.284201, 1.0]], ['2, k, 5', [-0.165623, -0.53333, 1.0]], ['2, k, 6', [-0.255149, -0.776401, 1.0]], ['2, k, 7', [-0.25488, -0.825219, 1.0]], ['2, k, 8', [0.289292, -0.297337, 1.0]], ['2, k, 9', [0.380536, -0.541664, 1.0]], ['2, k, 10', [0.476636, -0.783795, 1.0]], ['2, k, 11', [0.4779, -0.836869, 1.0]], ['2, k, 12', [0.0295726, -0.786234, 1.0]], ['2, k, 13', [0.0100419, -1.23211, 1.0]], ['2, k, 14', [-0.0180204, -1.61886, 1.0]], ['2, k, 15', [-0.0248042, -1.64361, 1.0]], ['2, k, 16', [0.183475, -0.789633, 1.0]], ['2, k, 17', [0.201647, -1.20807, 1.0]], ['2, k, 18', [0.220399, -1.63977, 1.0]], ['2, k, 19', [0.193582, -1.68868, 1.0]], ['2, k, 20', [0.119292, -0.272343, 1.0]], ['2, k, 21', [-0.262655, -0.871262, 1.0]], ['2, k, 22', [-0.173578, -0.847548, 1.0]], ['2, k, 23', [0.487825, -0.884675, 1.0]], ['2, k, 24', [0.388837, -0.855314, 1.0]]]
[['2, k, 0', [0.107869, -0.797087, 1.0]], ['2, k, 1', [0.114635, -0.495775, 1.0]], ['2, k, 2', [0.120713, -0.198507, 1.0]], ['2, k, 3', [0.140069, -0.042366, 1.0]], ['2, k, 4', [-0.0490294, -0.284586, 1.0]], ['2, k, 5', [-0.165725, -0.533496, 1.0]], ['2, k, 6', [-0.255039, -0.776553, 1.0]], ['2, k, 7', [-0.257067, -0.826303, 1.0]], ['2, k, 8', [0.289312, -0.297187, 1.0]], ['2, k, 9', [0.380475, -0.541345, 1.0]], ['2, k, 10', [0.476765, -0.783698, 1.0]], ['2, k, 11', [0.497976, -0.837693, 1.0]], ['2, k, 12', [0.0296162, -0.78628, 1.0]], ['2, k, 13', [0.0104837, -1.23327, 1.0]], ['2, k, 14', [-0.0183665, -1.61888, 1.0]], ['2, k, 15', [-0.0349842, -1.69543, 1.0]], ['2, k, 16', [0.183669, -0.789556, 1.0]], ['2, k, 17', [0.201472, -1.20572, 1.0]], ['2, k, 18', [0.220102, -1.63412, 1.0]], ['2, k, 19', [0.195419, -1.68745, 1.0]], ['2, k, 20', [0.119313, -0.27233, 1.0]], ['2, k, 21', [-0.268827, -0.870877, 1.0]], ['2, k, 22', [-0.173598, -0.847653, 1.0]], ['2, k, 23', [0.568792, -0.864233, 1.0]], ['2, k, 24', [0.452274, -0.868604, 1.0]]]
[['2, k, 0', [0.107914, -0.797085, 1.0]], ['2, k, 1', [0.114663, -0.495782, 1.0]], ['2, k, 2', [0.120748, -0.198529, 1.0]], ['2, k, 3', [0.140098, -0.0423651, 1.0]], ['2, k, 4', [-0.0490135, -0.284623, 1.0]], ['2, k, 5', [-0.165649, -0.533422, 1.0]], ['2, k, 6', [-0.255019, -0.776665, 1.0]], ['2, k, 7', [-0.260118, -0.824475, 1.0]], ['2, k, 8', [0.289486, -0.297308, 1.0]], ['2, k, 9', [0.380314, -0.541343, 1.0]], ['2, k, 10', [0.477162, -0.783896, 1.0]], ['2, k, 11', [0.50047, -0.839402, 1.0]], ['2, k, 12', [0.0296446, -0.786279, 1.0]], ['2, k, 13', [0.00911937, -1.22933, 1.0]], ['2, k, 14', [-0.0183357, -1.61926, 1.0]], ['2, k, 15', [-0.02492, -1.64391, 1.0]], ['2, k, 16', [0.183731, -0.789556, 1.0]], ['2, k, 17', [0.201455, -1.20569, 1.0]], ['2, k, 18', [0.222115, -1.63618, 1.0]], ['2, k, 19', [0.195725, -1.688, 1.0]], ['2, k, 20', [0.119345, -0.272347, 1.0]], ['2, k, 21', [-0.276269, -0.869049, 1.0]], ['2, k, 22', [-0.178319, -0.844755, 1.0]], ['2, k, 23', [0.57539, -0.866004, 1.0]], ['2, k, 24', [0.459027, -0.865831, 1.0]]]
[['2, k, 0', [0.108016, -0.797306, 1.0]], ['2, k, 1', [0.114663, -0.495815, 1.0]], ['2, k, 2', [0.120702, -0.198501, 1.0]], ['2, k, 3', [0.140059, -0.0425014, 1.0]], ['2, k, 4', [-0.0491431, -0.285138, 1.0]], ['2, k, 5', [-0.165984, -0.533991, 1.0]], ['2, k, 6', [-0.25475, -0.776684, 1.0]], ['2, k, 7', [-0.268277, -0.826472, 1.0]], ['2, k, 8', [0.289524, -0.297386, 1.0]], ['2, k, 9', [0.380756, -0.543312, 1.0]], ['2, k, 10', [0.476917, -0.784547, 1.0]], ['2, k, 11', [0.47492, -0.836072, 1.0]], ['2, k, 12', [0.0299348, -0.786662, 1.0]], ['2, k, 13', [0.0102757, -1.23157, 1.0]], ['2, k, 14', [-0.0185827, -1.61943, 1.0]], ['2, k, 15', [-0.0253657, -1.64398, 1.0]], ['2, k, 16', [0.183727, -0.789677, 1.0]], ['2, k, 17', [0.201568, -1.20563, 1.0]], ['2, k, 18', [0.221547, -1.63892, 1.0]], ['2, k, 19', [0.195771, -1.68801, 1.0]], ['2, k, 20', [0.119319, -0.272339, 1.0]], ['2, k, 21', [-0.293112, -0.864685, 1.0]], ['2, k, 22', [-0.201336, -0.846572, 1.0]], ['2, k, 23', [0.491427, -0.885306, 1.0]], ['2, k, 24', [0.388712, -0.851769, 1.0]]]
[['2, k, 0', [0.108138, -0.797202, 1.0]], ['2, k, 1', [0.114751, -0.495698, 1.0]], ['2, k, 2', [0.120732, -0.198366, 1.0]], ['2, k, 3', [0.140062, -0.0422927, 1.0]], ['2, k, 4', [-0.0490055, -0.285118, 1.0]], ['2, k, 5', [-0.166084, -0.533732, 1.0]], ['2, k, 6', [-0.253598, -0.775047, 1.0]], ['2, k, 7', [-0.263555, -0.826731, 1.0]], ['2, k, 8', [0.289609, -0.297076, 1.0]], ['2, k, 9', [0.380443, -0.542457, 1.0]], ['2, k, 10', [0.477578, -0.784647, 1.0]], ['2, k, 11', [0.500519, -0.841092, 1.0]], ['2, k, 12', [0.0299889, -0.786553, 1.0]], ['2, k, 13', [0.0105222, -1.2328, 1.0]], ['2, k, 14', [-0.0183053, -1.61955, 1.0]], ['2, k, 15', [-0.0250316, -1.64411, 1.0]], ['2, k, 16', [0.183934, -0.789582, 1.0]], ['2, k, 17', [0.20214, -1.20778, 1.0]], ['2, k, 18', [0.22167, -1.6391, 1.0]], ['2, k, 19', [0.20353, -1.68698, 1.0]], ['2, k, 20', [0.119363, -0.272209, 1.0]], ['2, k, 21', [-0.284195, -0.869373, 1.0]], ['2, k, 22', [-0.203074, -0.84586, 1.0]], ['2, k, 23', [0.578172, -0.862994, 1.0]], ['2, k, 24', [0.453332, -0.867998, 1.0]]]
[['2, k, 0', [0.108206, -0.79729, 1.0]], ['2, k, 1', [0.115063, -0.495809, 1.0]], ['2, k, 2', [0.121659, -0.19857, 1.0]], ['2, k, 3', [0.140199, -0.0421445, 1.0]], ['2, k, 4', [-0.0486933, -0.285017, 1.0]], ['2, k, 5', [-0.165978, -0.533883, 1.0]], ['2, k, 6', [-0.253658, -0.775711, 1.0]], ['2, k, 7', [-0.266732, -0.82772, 1.0]], ['2, k, 8', [0.289685, -0.297112, 1.0]], ['2, k, 9', [0.380597, -0.541816, 1.0]], ['2, k, 10', [0.477564, -0.784678, 1.0]], ['2, k, 11', [0.501479, -0.841996, 1.0]], ['2, k, 12', [0.0301109, -0.786619, 1.0]], ['2, k, 13', [0.0101592, -1.23353, 1.0]], ['2, k, 14', [-0.0178398, -1.61935, 1.0]], ['2, k, 15', [-0.0244272, -1.64376, 1.0]], ['2, k, 16', [0.183924, -0.789701, 1.0]], ['2, k, 17', [0.202333, -1.20706, 1.0]], ['2, k, 18', [0.221616, -1.63905, 1.0]], ['2, k, 19', [0.203091, -1.68825, 1.0]], ['2, k, 20', [0.120087, -0.272386, 1.0]], ['2, k, 21', [-0.289106, -0.867752, 1.0]], ['2, k, 22', [-0.208544, -0.848941, 1.0]], ['2, k, 23', [0.582356, -0.863525, 1.0]], ['2, k, 24', [0.461244, -0.879656, 1.0]]]
