[['2, k, 0', [0.01533229, -0.2593636, 1.0]], ['2, k, 1', [0.01417257, 0.03454535, 1.0]], ['2, k, 2', [0.0145582, 0.3211334, 1.0]], ['2, k, 3', [0.01780304, 0.4519454, 1.0]], ['2, k, 4', [-0.1488534, 0.2184965, 1.0]], ['2, k, 5', [-0.117133, 0.01495625, 1.0]], ['2, k, 6', [-0.05129101, -0.1301406, 1.0]], ['2, k, 7', [-0.03923014, -0.1791168, 1.0]], ['2, k, 8', [0.1809489, 0.218744, 1.0]], ['2, k, 9', [0.1792686, 0.04354736, 1.0]], ['2, k, 10', [0.07169632, -0.08439575, 1.0]], ['2, k, 11', [0.0718362, -0.1432139, 1.0]], ['2, k, 12', [-0.07279693, -0.2558546, 1.0]], ['2, k, 13', [-0.132934, -0.2816686, 1.0]], ['2, k, 14', [-0.1332689, -0.6235193, 1.0]], ['2, k, 15', [-0.1270679, -0.6593728, 1.0]], ['2, k, 16', [0.102855, -0.2554927, 1.0]], ['2, k, 17', [0.1774914, -0.2878933, 1.0]], ['2, k, 18', [0.1452243, -0.6299945, 1.0]], ['2, k, 19', [0.1861342, -0.7036873, 1.0]], ['2, k, 20', [0.01441491, 0.250544, 1.0]], ['2, k, 21', [-0.006152824, -0.239178, 1.0]], ['2, k, 22', [-0.05934788, -0.2047879, 1.0]], ['2, k, 23', [0.01025911, -0.1955821, 1.0]], ['2, k, 24', [0.1376623, -0.1713612, 1.0]]]
[['2, k, 0', [0.01524659, -0.2590018, 1.0]], ['2, k, 1', [0.01424313, 0.0347189, 1.0]], ['2, k, 2', [0.01462327, 0.3211723, 1.0]], ['2, k, 3', [0.01836415, 0.4518928, 1.0]], ['2, k, 4', [-0.1478195, 0.220276, 1.0]], ['2, k, 5', [-0.1090852, 0.01431349, 1.0]], ['2, k, 6', [-0.04495475, -0.1314646, 1.0]], ['2, k, 7', [-0.03185085, -0.1703287, 1.0]], ['2, k, 8', [0.1808749, 0.2199088, 1.0]], ['2, k, 9', [0.1707058, 0.04924815, 1.0]], ['2, k, 10', [0.06917504, -0.08295751, 1.0]], ['2, k, 11', [0.01852122, -0.1407522, 1.0]], ['2, k, 12', [-0.07283041, -0.2554352, 1.0]], ['2, k, 13', [-0.1332627, -0.2819639, 1.0]], ['2, k, 14', [-0.1333598, -0.6237052, 1.0]], ['2, k, 15', [-0.1270669, -0.6595538, 1.0]], ['2, k, 16', [0.1027343, -0.2551936, 1.0]], ['2, k, 17', [0.1775134, -0.2878382, 1.0]], ['2, k, 18', [0.145341, -0.6299819, 1.0]], ['2, k, 19', [0.1860978, -0.7036999, 1.0]], ['2, k, 20', [0.01448302, 0.2506057, 1.0]], ['2, k, 21', [-0.008289335, -0.2304653, 1.0]], ['2, k, 22', [-0.0679279, -0.1864062, 1.0]], ['2, k, 23', [-0.007044721, -0.1982712, 1.0]], ['2, k, 24', [0.008486521, -0.1926536, 1.0]]]
[['2, k, 0', [0.01533829, -0.2581687, 1.0]], ['2, k, 1', [0.01451755, 0.03512355, 1.0]], ['2, k, 2', [0.0149152, 0.3212747, 1.0]], ['2, k, 3', [0.01871011, 0.4519176, 1.0]], ['2, k, 4', [-0.1481614, 0.2199572, 1.0]], ['2, k, 5', [-0.09845699, 0.02862331, 1.0]], ['2, k, 6', [-0.03078823, -0.08771491, 1.0]], ['2, k, 7', [-0.002527748, -0.1237542, 1.0]], ['2, k, 8', [0.1799687, 0.2234046, 1.0]], ['2, k, 9', [0.1643343, 0.05811407, 1.0]], ['2, k, 10', [0.08042622, -0.06192597, 1.0]], ['2, k, 11', [0.003789609, -0.1286393, 1.0]], ['2, k, 12', [-0.07264707, -0.2548726, 1.0]], ['2, k, 13', [-0.1345614, -0.2841588, 1.0]], ['2, k, 14', [-0.1335319, -0.6260592, 1.0]], ['2, k, 15', [-0.1278215, -0.6618956, 1.0]], ['2, k, 16', [0.1027169, -0.2540659, 1.0]], ['2, k, 17', [0.1774204, -0.2878837, 1.0]], ['2, k, 18', [0.1452364, -0.6300214, 1.0]], ['2, k, 19', [0.1855037, -0.7035264, 1.0]], ['2, k, 20', [0.01476219, 0.2507679, 1.0]], ['2, k, 21', [-0.004084543, -0.1812017, 1.0]], ['2, k, 22', [-0.01909872, -0.1603837, 1.0]], ['2, k, 23', [-0.006652629, -0.1890204, 1.0]], ['2, k, 24', [0.02774243, -0.1209701, 1.0]]]
[['2, k, 0', [0.01503005, -0.2543451, 1.0]], ['2, k, 1', [0.01469712, 0.0365845, 1.0]], ['2, k, 2', [0.01504365, 0.3214669, 1.0]], ['2, k, 3', [0.01967799, 0.4529075, 1.0]], ['2, k, 4', [-0.1458384, 0.2275843, 1.0]], ['2, k, 5', [-0.09475462, 0.0459052, 1.0]], ['2, k, 6', [-0.03439179, -0.06295002, 1.0]], ['2, k, 7', [-0.004444377, -0.08620325, 1.0]], ['2, k, 8', [0.1782642, 0.2287505, 1.0]], ['2, k, 9', [0.1533339, 0.06379939, 1.0]], ['2, k, 10', [0.05819481, -0.06041899, 1.0]], ['2, k, 11', [0.003367964, -0.08439767, 1.0]], ['2, k, 12', [-0.07237785, -0.2507206, 1.0]], ['2, k, 13', [-0.1340351, -0.2850365, 1.0]], ['2, k, 14', [-0.1329525, -0.6269277, 1.0]], ['2, k, 15', [-0.1271863, -0.6627435, 1.0]], ['2, k, 16', [0.1019391, -0.2506793, 1.0]], ['2, k, 17', [0.1768624, -0.2883601, 1.0]], ['2, k, 18', [0.1447722, -0.6305605, 1.0]], ['2, k, 19', [0.1849963, -0.7035353, 1.0]], ['2, k, 20', [0.01492308, 0.2511598, 1.0]], ['2, k, 21', [-0.00166193, -0.1339632, 1.0]], ['2, k, 22', [-0.01119314, -0.1412624, 1.0]], ['2, k, 23', [-0.005552682, -0.1332286, 1.0]], ['2, k, 24', [-0.002776486, -0.1428099, 1.0]]]
[['2, k, 0', [0.01455968, -0.2470869, 1.0]], ['2, k, 1', [0.01481783, 0.03978908, 1.0]], ['2, k, 2', [0.01519013, 0.3219518, 1.0]], ['2, k, 3', [0.01980735, 0.4530988, 1.0]], ['2, k, 4', [-0.1425551, 0.2356637, 1.0]], ['2, k, 5', [-0.1024237, 0.0797511, 1.0]], ['2, k, 6', [-0.03443081, 0.001407341, 1.0]], ['2, k, 7', [0.003942458, -0.02984034, 1.0]], ['2, k, 8', [0.1753195, 0.2365779, 1.0]], ['2, k, 9', [0.1577493, 0.09028085, 1.0]], ['2, k, 10', [0.05027764, 0.002119464, 1.0]], ['2, k, 11', [0.005343634, -0.02818648, 1.0]], ['2, k, 12', [-0.07172755, -0.2429985, 1.0]], ['2, k, 13', [-0.1328418, -0.2847727, 1.0]], ['2, k, 14', [-0.1313043, -0.6266631, 1.0]], ['2, k, 15', [-0.1258805, -0.6624883, 1.0]], ['2, k, 16', [0.1004752, -0.2439855, 1.0]], ['2, k, 17', [0.1758538, -0.2881895, 1.0]], ['2, k, 18', [0.1439377, -0.6303653, 1.0]], ['2, k, 19', [0.1851183, -0.7036461, 1.0]], ['2, k, 20', [0.01509721, 0.2521232, 1.0]], ['2, k, 21', [0.001712445, -0.07394058, 1.0]], ['2, k, 22', [-0.008990884, -0.08765718, 1.0]], ['2, k, 23', [-0.003309149, -0.07721041, 1.0]], ['2, k, 24', [0.009701688, -0.06847073, 1.0]]]
[['2, k, 0', [0.01405945, -0.2256444, 1.0]], ['2, k, 1', [0.0159219, 0.04940868, 1.0]], ['2, k, 2', [0.01628517, 0.3236125, 1.0]], ['2, k, 3', [0.01907845, 0.4542946, 1.0]], ['2, k, 4', [-0.1402083, 0.2559543, 1.0]], ['2, k, 5', [-0.1006806, 0.1304821, 1.0]], ['2, k, 6', [-0.03182432, 0.04918021, 1.0]], ['2, k, 7', [0.004923622, 0.0485163, 1.0]], ['2, k, 8', [0.1653212, 0.2599927, 1.0]], ['2, k, 9', [0.1831399, 0.1364022, 1.0]], ['2, k, 10', [0.0859167, 0.07129914, 1.0]], ['2, k, 11', [0.01252269, 0.04020463, 1.0]], ['2, k, 12', [-0.06910995, -0.2222846, 1.0]], ['2, k, 13', [-0.1299606, -0.2828007, 1.0]], ['2, k, 14', [-0.1376176, -0.6247199, 1.0]], ['2, k, 15', [-0.1337388, -0.660596, 1.0]], ['2, k, 16', [0.09678033, -0.2223016, 1.0]], ['2, k, 17', [0.1727342, -0.28601, 1.0]], ['2, k, 18', [0.1403961, -0.6283507, 1.0]], ['2, k, 19', [0.1851654, -0.7038831, 1.0]], ['2, k, 20', [0.01632711, 0.2552165, 1.0]], ['2, k, 21', [0.01684518, 0.01413916, 1.0]], ['2, k, 22', [-0.0266433, 0.03830485, 1.0]], ['2, k, 23', [-0.0001772608, -0.0009925901, 1.0]], ['2, k, 24', [0.01569905, 0.005875501, 1.0]]]
[['2, k, 0', [0.01423484, -0.227012, 1.0]], ['2, k, 1', [0.01528374, 0.04991456, 1.0]], ['2, k, 2', [0.01367717, 0.3262058, 1.0]], ['2, k, 3', [0.01858897, 0.4540763, 1.0]], ['2, k, 4', [-0.1397532, 0.2611538, 1.0]], ['2, k, 5', [-0.08774719, 0.1591926, 1.0]], ['2, k, 6', [-0.02097667, 0.135943, 1.0]], ['2, k, 7', [0.010121, 0.1246012, 1.0]], ['2, k, 8', [0.1637362, 0.2616837, 1.0]], ['2, k, 9', [0.1818011, 0.1564374, 1.0]], ['2, k, 10', [0.06116455, 0.1236863, 1.0]], ['2, k, 11', [0.01212775, 0.1148247, 1.0]], ['2, k, 12', [-0.06950897, -0.2239291, 1.0]], ['2, k, 13', [-0.1302344, -0.2831892, 1.0]], ['2, k, 14', [-0.1374352, -0.6249494, 1.0]], ['2, k, 15', [-0.1330924, -0.6609125, 1.0]], ['2, k, 16', [0.09751924, -0.2237538, 1.0]], ['2, k, 17', [0.1729391, -0.2857429, 1.0]], ['2, k, 18', [0.1408309, -0.6282054, 1.0]], ['2, k, 19', [0.1850192, -0.7038683, 1.0]], ['2, k, 20', [0.01420847, 0.2574758, 1.0]], ['2, k, 21', [0.01869492, 0.1004888, 1.0]], ['2, k, 22', [-0.02003706, 0.1113898, 1.0]], ['2, k, 23', [0.0001238094, 0.07329295, 1.0]], ['2, k, 24', [0.01555196, 0.08143182, 1.0]]]
[['2, k, 0', [0.01493903, -0.2387068, 1.0]], ['2, k, 1', [0.01517121, 0.05007655, 1.0]], ['2, k, 2', [0.01291584, 0.3351071, 1.0]], ['2, k, 3', [0.01856959, 0.458598, 1.0]], ['2, k, 4', [-0.1372068, 0.274029, 1.0]], ['2, k, 5', [-0.08881419, 0.201056, 1.0]], ['2, k, 6', [0.009823804, 0.1938306, 1.0]], ['2, k, 7', [0.01485008, 0.1961903, 1.0]], ['2, k, 8', [0.1602578, 0.2692693, 1.0]], ['2, k, 9', [0.1715499, 0.201712, 1.0]], ['2, k, 10', [0.06290581, 0.1746223, 1.0]], ['2, k, 11', [0.009765698, 0.1906321, 1.0]], ['2, k, 12', [-0.0749985, -0.2364524, 1.0]], ['2, k, 13', [-0.1319005, -0.2839285, 1.0]], ['2, k, 14', [-0.136552, -0.6258013, 1.0]], ['2, k, 15', [-0.1310761, -0.6615812, 1.0]], ['2, k, 16', [0.1046839, -0.237175, 1.0]], ['2, k, 17', [0.174739, -0.2856894, 1.0]], ['2, k, 18', [0.1427071, -0.6286509, 1.0]], ['2, k, 19', [0.1850338, -0.7039056, 1.0]], ['2, k, 20', [0.01357545, 0.2633345, 1.0]], ['2, k, 21', [0.007829483, 0.1610145, 1.0]], ['2, k, 22', [-0.01492317, 0.1754341, 1.0]], ['2, k, 23', [0.002802824, 0.1591889, 1.0]], ['2, k, 24', [0.003369836, 0.1344267, 1.0]]]
[['2, k, 0', [0.0134445, -0.2440087, 1.0]], ['2, k, 1', [0.01866276, 0.05195782, 1.0]], ['2, k, 2', [0.03298486, 0.350167, 1.0]], ['2, k, 3', [0.01534925, 0.4695548, 1.0]], ['2, k, 4', [-0.1360291, 0.2662359, 1.0]], ['2, k, 5', [-0.112334, 0.2409016, 1.0]], ['2, k, 6', [-0.03240409, 0.2541656, 1.0]], ['2, k, 7', [0.01002943, 0.2725323, 1.0]], ['2, k, 8', [0.1640943, 0.2751453, 1.0]], ['2, k, 9', [0.1493513, 0.2344998, 1.0]], ['2, k, 10', [0.05501074, 0.2571875, 1.0]], ['2, k, 11', [0.01242314, 0.2742555, 1.0]], ['2, k, 12', [-0.07971052, -0.2434021, 1.0]], ['2, k, 13', [-0.1303707, -0.2817274, 1.0]], ['2, k, 14', [-0.1328929, -0.6237236, 1.0]], ['2, k, 15', [-0.1277401, -0.6593758, 1.0]], ['2, k, 16', [0.1052362, -0.239985, 1.0]], ['2, k, 17', [0.1739961, -0.2852022, 1.0]], ['2, k, 18', [0.1424529, -0.6280054, 1.0]], ['2, k, 19', [0.1858135, -0.7039368, 1.0]], ['2, k, 20', [0.02842364, 0.2751198, 1.0]], ['2, k, 21', [0.01328738, 0.2603132, 1.0]], ['2, k, 22', [-0.002637596, 0.2265458, 1.0]], ['2, k, 23', [0.001837886, 0.2513426, 1.0]], ['2, k, 24', [0.01341136, 0.2285144, 1.0]]]
[['2, k, 0', [0.01302209, -0.2596735, 1.0]], ['2, k, 1', [0.01974578, 0.03867402, 1.0]], ['2, k, 2', [0.0297293, 0.3260818, 1.0]], ['2, k, 3', [0.009397073, 0.4810451, 1.0]], ['2, k, 4', [-0.1288506, 0.2310514, 1.0]], ['2, k, 5', [-0.1194309, 0.2803345, 1.0]], ['2, k, 6', [-0.02235991, 0.2941161, 1.0]], ['2, k, 7', [0.008531624, 0.3353925, 1.0]], ['2, k, 8', [0.1589959, 0.2516116, 1.0]], ['2, k, 9', [0.1620409, 0.2718476, 1.0]], ['2, k, 10', [0.05426392, 0.3267671, 1.0]], ['2, k, 11', [0.0128217, 0.3460398, 1.0]], ['2, k, 12', [-0.07857012, -0.2573417, 1.0]], ['2, k, 13', [-0.1304782, -0.2808216, 1.0]], ['2, k, 14', [-0.1325912, -0.6228324, 1.0]], ['2, k, 15', [-0.1275548, -0.6582702, 1.0]], ['2, k, 16', [0.1037731, -0.2546732, 1.0]], ['2, k, 17', [0.174613, -0.2850371, 1.0]], ['2, k, 18', [0.1439076, -0.6279999, 1.0]], ['2, k, 19', [0.1858589, -0.703765, 1.0]], ['2, k, 20', [0.02726755, 0.2559881, 1.0]], ['2, k, 21', [0.00747484, 0.3413401, 1.0]], ['2, k, 22', [-0.01643526, 0.3190661, 1.0]], ['2, k, 23', [0.001581669, 0.341044, 1.0]], ['2, k, 24', [0.003377412, 0.3073885, 1.0]]]
[['2, k, 0', [0.01322011, -0.2620977, 1.0]], ['2, k, 1', [0.01914955, 0.03610251, 1.0]], ['2, k, 2', [0.02699895, 0.323779, 1.0]], ['2, k, 3', [0.02112028, 0.4478925, 1.0]], ['2, k, 4', [-0.1258759, 0.2256626, 1.0]], ['2, k, 5', [-0.1182405, 0.3038448, 1.0]], ['2, k, 6', [-0.02433147, 0.3551512, 1.0]], ['2, k, 7', [0.007969926, 0.409002, 1.0]], ['2, k, 8', [0.1559776, 0.2400887, 1.0]], ['2, k, 9', [0.1568994, 0.3077707, 1.0]], ['2, k, 10', [0.05046419, 0.3852638, 1.0]], ['2, k, 11', [0.01168902, 0.4109899, 1.0]], ['2, k, 12', [-0.07795858, -0.2592408, 1.0]], ['2, k, 13', [-0.130566, -0.2807731, 1.0]], ['2, k, 14', [-0.1326144, -0.6228881, 1.0]], ['2, k, 15', [-0.1267301, -0.6582537, 1.0]], ['2, k, 16', [0.1035471, -0.2579609, 1.0]], ['2, k, 17', [0.174183, -0.2846552, 1.0]], ['2, k, 18', [0.1434074, -0.6277581, 1.0]], ['2, k, 19', [0.1858111, -0.7038138, 1.0]], ['2, k, 20', [0.02506377, 0.2532999, 1.0]], ['2, k, 21', [0.006155542, 0.4327072, 1.0]], ['2, k, 22', [-0.02544993, 0.4062225, 1.0]], ['2, k, 23', [-0.002633485, 0.4282745, 1.0]], ['2, k, 24', [-0.02527231, 0.3926626, 1.0]]]
