[['2, k, 0', [-0.228716, -0.614036, 1.0]], ['2, k, 1', [-0.239677, -0.318547, 1.0]], ['2, k, 2', [-0.249144, -0.0283189, 1.0]], ['2, k, 3', [-0.206494, 0.09758, 1.0]], ['2, k, 4', [-0.38504, -0.0763978, 1.0]], ['2, k, 5', [-0.515261, 0.182643, 1.0]], ['2, k, 6', [-0.525266, 0.437065, 1.0]], ['2, k, 7', [-0.515603, 0.531417, 1.0]], ['2, k, 8', [-0.0855559, -0.0536748, 1.0]], ['2, k, 9', [0.0798687, 0.122185, 1.0]], ['2, k, 10', [0.191407, 0.394639, 1.0]], ['2, k, 11', [0.187165, 0.474891, 1.0]], ['2, k, 12', [-0.293934, -0.61109, 1.0]], ['2, k, 13', [-0.338372, -0.909392, 1.0]], ['2, k, 14', [-0.37744, -1.37934, 1.0]], ['2, k, 15', [-0.372667, -1.4132, 1.0]], ['2, k, 16', [-0.157468, -0.600822, 1.0]], ['2, k, 17', [-0.117344, -0.818999, 1.0]], ['2, k, 18', [-0.0966305, -1.17538, 1.0]], ['2, k, 19', [-0.0869712, -1.21154, 1.0]], ['2, k, 20', [-0.247032, -0.10019, 1.0]], ['2, k, 21', [-0.507478, 0.602498, 1.0]], ['2, k, 22', [-0.555745, 0.550107, 1.0]], ['2, k, 23', [0.214291, 0.542473, 1.0]], ['2, k, 24', [0.23862, 0.474651, 1.0]]]
[['2, k, 0', [-0.24285, -0.542378, 1.0]], ['2, k, 1', [-0.245273, -0.291274, 1.0]], ['2, k, 2', [-0.248938, -0.0281269, 1.0]], ['2, k, 3', [-0.205176, 0.0979168, 1.0]], ['2, k, 4', [-0.384328, -0.0765126, 1.0]], ['2, k, 5', [-0.508227, 0.177102, 1.0]], ['2, k, 6', [-0.504475, 0.464217, 1.0]], ['2, k, 7', [-0.488682, 0.541942, 1.0]], ['2, k, 8', [-0.0843816, -0.0535263, 1.0]], ['2, k, 9', [0.0811622, 0.116078, 1.0]], ['2, k, 10', [0.203583, 0.387923, 1.0]], ['2, k, 11', [0.222176, 0.458931, 1.0]], ['2, k, 12', [-0.307673, -0.541286, 1.0]], ['2, k, 13', [-0.33639, -0.883128, 1.0]], ['2, k, 14', [-0.37722, -1.37884, 1.0]], ['2, k, 15', [-0.371664, -1.41344, 1.0]], ['2, k, 16', [-0.172012, -0.530057, 1.0]], ['2, k, 17', [-0.117643, -0.811067, 1.0]], ['2, k, 18', [-0.0965469, -1.17459, 1.0]], ['2, k, 19', [-0.0863458, -1.21167, 1.0]], ['2, k, 20', [-0.247434, -0.0975832, 1.0]], ['2, k, 21', [-0.463767, 0.608691, 1.0]], ['2, k, 22', [-0.529966, 0.562763, 1.0]], ['2, k, 23', [0.252291, 0.525199, 1.0]], ['2, k, 24', [0.263722, 0.457123, 1.0]]]
[['2, k, 0', [-0.225806, -0.578236, 1.0]], ['2, k, 1', [-0.229873, -0.297139, 1.0]], ['2, k, 2', [-0.23993, -0.0259757, 1.0]], ['2, k, 3', [-0.202106, 0.10074, 1.0]], ['2, k, 4', [-0.380165, -0.0315059, 1.0]], ['2, k, 5', [-0.482285, 0.227045, 1.0]], ['2, k, 6', [-0.487389, 0.457348, 1.0]], ['2, k, 7', [-0.460261, 0.550481, 1.0]], ['2, k, 8', [-0.0754045, -0.0485196, 1.0]], ['2, k, 9', [0.0919178, 0.118617, 1.0]], ['2, k, 10', [0.231936, 0.389944, 1.0]], ['2, k, 11', [0.247018, 0.452685, 1.0]], ['2, k, 12', [-0.291089, -0.567691, 1.0]], ['2, k, 13', [-0.336547, -0.943444, 1.0]], ['2, k, 14', [-0.381252, -1.39996, 1.0]], ['2, k, 15', [-0.375103, -1.44222, 1.0]], ['2, k, 16', [-0.154738, -0.573974, 1.0]], ['2, k, 17', [-0.110222, -0.934376, 1.0]], ['2, k, 18', [-0.0880585, -1.2665, 1.0]], ['2, k, 19', [-0.0594542, -1.32798, 1.0]], ['2, k, 20', [-0.238881, -0.0947895, 1.0]], ['2, k, 21', [-0.437848, 0.616625, 1.0]], ['2, k, 22', [-0.498493, 0.570834, 1.0]], ['2, k, 23', [0.273684, 0.511746, 1.0]], ['2, k, 24', [0.28696, 0.440837, 1.0]]]
[['2, k, 0', [-0.225947, -0.578037, 1.0]], ['2, k, 1', [-0.230138, -0.297641, 1.0]], ['2, k, 2', [-0.239133, -0.0266852, 1.0]], ['2, k, 3', [-0.195531, 0.104114, 1.0]], ['2, k, 4', [-0.378435, -0.0432819, 1.0]], ['2, k, 5', [-0.468888, 0.237647, 1.0]], ['2, k, 6', [-0.438595, 0.489572, 1.0]], ['2, k, 7', [-0.429119, 0.561703, 1.0]], ['2, k, 8', [-0.0752717, -0.0484224, 1.0]], ['2, k, 9', [0.0962345, 0.111455, 1.0]], ['2, k, 10', [0.247499, 0.379694, 1.0]], ['2, k, 11', [0.275519, 0.436805, 1.0]], ['2, k, 12', [-0.291238, -0.567846, 1.0]], ['2, k, 13', [-0.339153, -0.962868, 1.0]], ['2, k, 14', [-0.380442, -1.40296, 1.0]], ['2, k, 15', [-0.374192, -1.44673, 1.0]], ['2, k, 16', [-0.154912, -0.572556, 1.0]], ['2, k, 17', [-0.110227, -0.934347, 1.0]], ['2, k, 18', [-0.0883886, -1.25841, 1.0]], ['2, k, 19', [-0.0727098, -1.30155, 1.0]], ['2, k, 20', [-0.238035, -0.0952659, 1.0]], ['2, k, 21', [-0.403399, 0.62489, 1.0]], ['2, k, 22', [-0.468244, 0.585542, 1.0]], ['2, k, 23', [0.307849, 0.492345, 1.0]], ['2, k, 24', [0.31482, 0.428725, 1.0]]]
[['2, k, 0', [-0.226962, -0.578079, 1.0]], ['2, k, 1', [-0.230661, -0.298162, 1.0]], ['2, k, 2', [-0.238469, -0.0271004, 1.0]], ['2, k, 3', [-0.188621, 0.107007, 1.0]], ['2, k, 4', [-0.378004, -0.0450147, 1.0]], ['2, k, 5', [-0.448372, 0.206442, 1.0]], ['2, k, 6', [-0.426129, 0.490821, 1.0]], ['2, k, 7', [-0.39662, 0.56875, 1.0]], ['2, k, 8', [-0.0752482, -0.0484279, 1.0]], ['2, k, 9', [0.10607, 0.105082, 1.0]], ['2, k, 10', [0.274268, 0.341235, 1.0]], ['2, k, 11', [0.299624, 0.416871, 1.0]], ['2, k, 12', [-0.292582, -0.568502, 1.0]], ['2, k, 13', [-0.340703, -0.974432, 1.0]], ['2, k, 14', [-0.380279, -1.40355, 1.0]], ['2, k, 15', [-0.374, -1.44846, 1.0]], ['2, k, 16', [-0.155828, -0.572187, 1.0]], ['2, k, 17', [-0.112079, -0.928435, 1.0]], ['2, k, 18', [-0.0888831, -1.24807, 1.0]], ['2, k, 19', [-0.0726466, -1.2924, 1.0]], ['2, k, 20', [-0.23763, -0.0954736, 1.0]], ['2, k, 21', [-0.368902, 0.631645, 1.0]], ['2, k, 22', [-0.433568, 0.595278, 1.0]], ['2, k, 23', [0.332442, 0.47611, 1.0]], ['2, k, 24', [0.336008, 0.402733, 1.0]]]
[['2, k, 0', [-0.228667, -0.574846, 1.0]], ['2, k, 1', [-0.23131, -0.297645, 1.0]], ['2, k, 2', [-0.238329, -0.0271592, 1.0]], ['2, k, 3', [-0.184175, 0.106674, 1.0]], ['2, k, 4', [-0.377604, -0.0463919, 1.0]], ['2, k, 5', [-0.428894, 0.243495, 1.0]], ['2, k, 6', [-0.391531, 0.493276, 1.0]], ['2, k, 7', [-0.368463, 0.569431, 1.0]], ['2, k, 8', [-0.0752087, -0.048381, 1.0]], ['2, k, 9', [0.111773, 0.0891722, 1.0]], ['2, k, 10', [0.286787, 0.326877, 1.0]], ['2, k, 11', [0.323211, 0.400444, 1.0]], ['2, k, 12', [-0.294009, -0.566642, 1.0]], ['2, k, 13', [-0.341759, -0.980338, 1.0]], ['2, k, 14', [-0.380252, -1.40548, 1.0]], ['2, k, 15', [-0.372903, -1.47734, 1.0]], ['2, k, 16', [-0.15762, -0.56756, 1.0]], ['2, k, 17', [-0.112975, -0.92593, 1.0]], ['2, k, 18', [-0.0894837, -1.243, 1.0]], ['2, k, 19', [-0.0727917, -1.2881, 1.0]], ['2, k, 20', [-0.237491, -0.0953645, 1.0]], ['2, k, 21', [-0.340253, 0.632407, 1.0]], ['2, k, 22', [-0.404166, 0.598122, 1.0]], ['2, k, 23', [0.355451, 0.454069, 1.0]], ['2, k, 24', [0.250777, 0.437274, 1.0]]]
[['2, k, 0', [-0.228873, -0.574698, 1.0]], ['2, k, 1', [-0.231839, -0.297635, 1.0]], ['2, k, 2', [-0.238356, -0.0271671, 1.0]], ['2, k, 3', [-0.179285, 0.10541, 1.0]], ['2, k, 4', [-0.376097, -0.0440578, 1.0]], ['2, k, 5', [-0.424401, 0.248039, 1.0]], ['2, k, 6', [-0.376923, 0.489515, 1.0]], ['2, k, 7', [-0.339674, 0.570498, 1.0]], ['2, k, 8', [-0.0753911, -0.0490696, 1.0]], ['2, k, 9', [0.124822, 0.0865958, 1.0]], ['2, k, 10', [0.312393, 0.312772, 1.0]], ['2, k, 11', [0.34517, 0.381384, 1.0]], ['2, k, 12', [-0.294426, -0.565967, 1.0]], ['2, k, 13', [-0.342763, -0.985061, 1.0]], ['2, k, 14', [-0.380404, -1.40694, 1.0]], ['2, k, 15', [-0.373579, -1.47875, 1.0]], ['2, k, 16', [-0.157757, -0.56767, 1.0]], ['2, k, 17', [-0.113898, -0.924475, 1.0]], ['2, k, 18', [-0.0895913, -1.23981, 1.0]], ['2, k, 19', [-0.0719586, -1.28537, 1.0]], ['2, k, 20', [-0.237558, -0.0953065, 1.0]], ['2, k, 21', [-0.310835, 0.631377, 1.0]], ['2, k, 22', [-0.372287, 0.602059, 1.0]], ['2, k, 23', [0.384571, 0.437902, 1.0]], ['2, k, 24', [0.271227, 0.420229, 1.0]]]
[['2, k, 0', [-0.22997, -0.574915, 1.0]], ['2, k, 1', [-0.232334, -0.297952, 1.0]], ['2, k, 2', [-0.238019, -0.027356, 1.0]], ['2, k, 3', [-0.173682, 0.102966, 1.0]], ['2, k, 4', [-0.375727, -0.044107, 1.0]], ['2, k, 5', [-0.410839, 0.251865, 1.0]], ['2, k, 6', [-0.34107, 0.488751, 1.0]], ['2, k, 7', [-0.307273, 0.571338, 1.0]], ['2, k, 8', [-0.07494, -0.0494192, 1.0]], ['2, k, 9', [0.139022, 0.0841637, 1.0]], ['2, k, 10', [0.330422, 0.292587, 1.0]], ['2, k, 11', [0.367392, 0.358852, 1.0]], ['2, k, 12', [-0.295428, -0.566092, 1.0]], ['2, k, 13', [-0.344266, -0.988245, 1.0]], ['2, k, 14', [-0.380489, -1.40694, 1.0]], ['2, k, 15', [-0.370783, -1.47924, 1.0]], ['2, k, 16', [-0.159057, -0.568236, 1.0]], ['2, k, 17', [-0.114532, -0.924098, 1.0]], ['2, k, 18', [-0.0897193, -1.23814, 1.0]], ['2, k, 19', [-0.0716477, -1.2842, 1.0]], ['2, k, 20', [-0.23737, -0.0953874, 1.0]], ['2, k, 21', [-0.26946, 0.633427, 1.0]], ['2, k, 22', [-0.346509, 0.607241, 1.0]], ['2, k, 23', [0.409121, 0.41523, 1.0]], ['2, k, 24', [0.293936, 0.401982, 1.0]]]
[['2, k, 0', [-0.230619, -0.574375, 1.0]], ['2, k, 1', [-0.232455, -0.297932, 1.0]], ['2, k, 2', [-0.237349, -0.0276304, 1.0]], ['2, k, 3', [-0.169256, 0.0997119, 1.0]], ['2, k, 4', [-0.373504, -0.0458006, 1.0]], ['2, k, 5', [-0.385956, 0.248301, 1.0]], ['2, k, 6', [-0.308775, 0.504047, 1.0]], ['2, k, 7', [-0.279308, 0.570377, 1.0]], ['2, k, 8', [-0.0743392, -0.0500506, 1.0]], ['2, k, 9', [0.195789, 0.0981994, 1.0]], ['2, k, 10', [0.340103, 0.286586, 1.0]], ['2, k, 11', [0.385868, 0.335359, 1.0]], ['2, k, 12', [-0.296308, -0.565489, 1.0]], ['2, k, 13', [-0.344735, -0.988534, 1.0]], ['2, k, 14', [-0.380477, -1.40767, 1.0]], ['2, k, 15', [-0.370729, -1.48146, 1.0]], ['2, k, 16', [-0.159918, -0.567438, 1.0]], ['2, k, 17', [-0.115853, -0.926162, 1.0]], ['2, k, 18', [-0.0895822, -1.23898, 1.0]], ['2, k, 19', [-0.0705254, -1.28542, 1.0]], ['2, k, 20', [-0.237006, -0.0954393, 1.0]], ['2, k, 21', [-0.258285, 0.625273, 1.0]], ['2, k, 22', [-0.314519, 0.606158, 1.0]], ['2, k, 23', [0.432776, 0.389556, 1.0]], ['2, k, 24', [0.310297, 0.385153, 1.0]]]
[['2, k, 0', [-0.231868, -0.573639, 1.0]], ['2, k, 1', [-0.232759, -0.297811, 1.0]], ['2, k, 2', [-0.236927, -0.0276722, 1.0]], ['2, k, 3', [-0.165636, 0.0980797, 1.0]], ['2, k, 4', [-0.371254, -0.0472108, 1.0]], ['2, k, 5', [-0.372237, 0.243417, 1.0]], ['2, k, 6', [-0.302315, 0.47035, 1.0]], ['2, k, 7', [-0.257682, 0.560357, 1.0]], ['2, k, 8', [-0.0728486, -0.0506985, 1.0]], ['2, k, 9', [0.194874, 0.0908666, 1.0]], ['2, k, 10', [0.365672, 0.231972, 1.0]], ['2, k, 11', [0.404586, 0.312656, 1.0]], ['2, k, 12', [-0.297808, -0.564914, 1.0]], ['2, k, 13', [-0.345231, -0.988072, 1.0]], ['2, k, 14', [-0.380916, -1.40748, 1.0]], ['2, k, 15', [-0.372277, -1.45507, 1.0]], ['2, k, 16', [-0.161406, -0.566336, 1.0]], ['2, k, 17', [-0.117231, -0.929386, 1.0]], ['2, k, 18', [-0.0893368, -1.24099, 1.0]], ['2, k, 19', [-0.0693759, -1.28757, 1.0]], ['2, k, 20', [-0.236824, -0.0953838, 1.0]], ['2, k, 21', [-0.221788, 0.623273, 1.0]], ['2, k, 22', [-0.289677, 0.576714, 1.0]], ['2, k, 23', [0.44617, 0.363878, 1.0]], ['2, k, 24', [0.338639, 0.360261, 1.0]]]
[['2, k, 0', [-0.234651, -0.57195, 1.0]], ['2, k, 1', [-0.233336, -0.297558, 1.0]], ['2, k, 2', [-0.236249, -0.0278826, 1.0]], ['2, k, 3', [-0.161856, 0.0987481, 1.0]], ['2, k, 4', [-0.36809, -0.0468518, 1.0]], ['2, k, 5', [-0.361981, 0.244509, 1.0]], ['2, k, 6', [-0.2523, 0.503123, 1.0]], ['2, k, 7', [-0.22528, 0.566113, 1.0]], ['2, k, 8', [-0.0731459, -0.0496644, 1.0]], ['2, k, 9', [0.143353, 0.00517326, 1.0]], ['2, k, 10', [0.364937, 0.208618, 1.0]], ['2, k, 11', [0.417758, 0.285895, 1.0]], ['2, k, 12', [-0.30041, -0.563348, 1.0]], ['2, k, 13', [-0.345972, -0.987421, 1.0]], ['2, k, 14', [-0.380811, -1.40756, 1.0]], ['2, k, 15', [-0.371905, -1.45577, 1.0]], ['2, k, 16', [-0.163931, -0.564893, 1.0]], ['2, k, 17', [-0.118306, -0.930538, 1.0]], ['2, k, 18', [-0.0893799, -1.24123, 1.0]], ['2, k, 19', [-0.0689121, -1.28805, 1.0]], ['2, k, 20', [-0.236604, -0.0953712, 1.0]], ['2, k, 21', [-0.201665, 0.620554, 1.0]], ['2, k, 22', [-0.258457, 0.603392, 1.0]], ['2, k, 23', [0.469177, 0.33505, 1.0]], ['2, k, 24', [0.343039, 0.34424, 1.0]]]
