[['2, k, 0', [0.0643497, -0.387159, 1.0]], ['2, k, 1', [0.0216188, -0.0732545, 1.0]], ['2, k, 2', [-0.0200005, 0.231829, 1.0]], ['2, k, 3', [-0.0129717, 0.39882, 1.0]], ['2, k, 4', [-0.196772, 0.187742, 1.0]], ['2, k, 5', [-0.292481, 0.431509, 1.0]], ['2, k, 6', [-0.318043, 0.664085, 1.0]], ['2, k, 7', [-0.327705, 0.708981, 1.0]], ['2, k, 8', [0.205459, 0.233305, 1.0]], ['2, k, 9', [0.270132, 0.510913, 1.0]], ['2, k, 10', [0.274581, 0.745768, 1.0]], ['2, k, 11', [0.277908, 0.749722, 1.0]], ['2, k, 12', [-0.0287104, -0.390907, 1.0]], ['2, k, 13', [-0.0946361, -0.624136, 1.0]], ['2, k, 14', [-0.107372, -1.05911, 1.0]], ['2, k, 15', [-0.107886, -1.11349, 1.0]], ['2, k, 16', [0.155199, -0.3701, 1.0]], ['2, k, 17', [0.171693, -0.62069, 1.0]], ['2, k, 18', [0.176387, -1.0286, 1.0]], ['2, k, 19', [0.171777, -1.08322, 1.0]], ['2, k, 20', [-0.00975567, 0.156844, 1.0]], ['2, k, 21', [-0.328528, 0.751648, 1.0]], ['2, k, 22', [-0.375387, 0.691649, 1.0]], ['2, k, 23', [0.274958, 0.792623, 1.0]], ['2, k, 24', [0.317143, 0.744898, 1.0]]]
[['2, k, 0', [0.0667132, -0.361555, 1.0]], ['2, k, 1', [0.0207529, -0.0646049, 1.0]], ['2, k, 2', [-0.0205811, 0.232043, 1.0]], ['2, k, 3', [-0.0134432, 0.398257, 1.0]], ['2, k, 4', [-0.197172, 0.187389, 1.0]], ['2, k, 5', [-0.293274, 0.431379, 1.0]], ['2, k, 6', [-0.340625, 0.66181, 1.0]], ['2, k, 7', [-0.339783, 0.713554, 1.0]], ['2, k, 8', [0.205241, 0.233206, 1.0]], ['2, k, 9', [0.268768, 0.511128, 1.0]], ['2, k, 10', [0.271902, 0.746369, 1.0]], ['2, k, 11', [0.268136, 0.753027, 1.0]], ['2, k, 12', [-0.0263591, -0.366295, 1.0]], ['2, k, 13', [-0.09448, -0.623708, 1.0]], ['2, k, 14', [-0.107316, -1.05875, 1.0]], ['2, k, 15', [-0.108848, -1.11231, 1.0]], ['2, k, 16', [0.157481, -0.344281, 1.0]], ['2, k, 17', [0.171617, -0.620414, 1.0]], ['2, k, 18', [0.176372, -1.0282, 1.0]], ['2, k, 19', [0.170827, -1.082, 1.0]], ['2, k, 20', [-0.010486, 0.157763, 1.0]], ['2, k, 21', [-0.334581, 0.749193, 1.0]], ['2, k, 22', [-0.393606, 0.692846, 1.0]], ['2, k, 23', [0.256252, 0.802693, 1.0]], ['2, k, 24', [0.308545, 0.760786, 1.0]]]
[['2, k, 0', [0.0431816, -0.317674, 1.0]], ['2, k, 1', [0.0114833, -0.0462164, 1.0]], ['2, k, 2', [-0.0220335, 0.232559, 1.0]], ['2, k, 3', [-0.0183341, 0.396122, 1.0]], ['2, k, 4', [-0.198299, 0.191916, 1.0]], ['2, k, 5', [-0.299491, 0.427435, 1.0]], ['2, k, 6', [-0.345012, 0.65747, 1.0]], ['2, k, 7', [-0.348063, 0.712077, 1.0]], ['2, k, 8', [0.203456, 0.234896, 1.0]], ['2, k, 9', [0.262023, 0.516401, 1.0]], ['2, k, 10', [0.254912, 0.74992, 1.0]], ['2, k, 11', [0.252342, 0.774521, 1.0]], ['2, k, 12', [-0.0504735, -0.319722, 1.0]], ['2, k, 13', [-0.0808141, -0.661885, 1.0]], ['2, k, 14', [-0.107355, -1.0778, 1.0]], ['2, k, 15', [-0.108816, -1.12759, 1.0]], ['2, k, 16', [0.135363, -0.304745, 1.0]], ['2, k, 17', [0.160071, -0.651118, 1.0]], ['2, k, 18', [0.174759, -1.04896, 1.0]], ['2, k, 19', [0.169455, -1.09896, 1.0]], ['2, k, 20', [-0.0132905, 0.160958, 1.0]], ['2, k, 21', [-0.353783, 0.745681, 1.0]], ['2, k, 22', [-0.402085, 0.693265, 1.0]], ['2, k, 23', [0.254742, 0.806381, 1.0]], ['2, k, 24', [0.296373, 0.76715, 1.0]]]
[['2, k, 0', [0.0454328, -0.312975, 1.0]], ['2, k, 1', [0.00857838, -0.0383262, 1.0]], ['2, k, 2', [-0.0292116, 0.236142, 1.0]], ['2, k, 3', [-0.0226742, 0.394697, 1.0]], ['2, k, 4', [-0.203537, 0.202319, 1.0]], ['2, k, 5', [-0.305746, 0.424374, 1.0]], ['2, k, 6', [-0.343143, 0.65362, 1.0]], ['2, k, 7', [-0.355578, 0.708082, 1.0]], ['2, k, 8', [0.191891, 0.244425, 1.0]], ['2, k, 9', [0.256069, 0.520591, 1.0]], ['2, k, 10', [0.251869, 0.752204, 1.0]], ['2, k, 11', [0.242871, 0.775446, 1.0]], ['2, k, 12', [-0.0481736, -0.316153, 1.0]], ['2, k, 13', [-0.0823493, -0.679686, 1.0]], ['2, k, 14', [-0.10653, -1.08116, 1.0]], ['2, k, 15', [-0.108671, -1.12867, 1.0]], ['2, k, 16', [0.13748, -0.299079, 1.0]], ['2, k, 17', [0.161324, -0.666869, 1.0]], ['2, k, 18', [0.174748, -1.05146, 1.0]], ['2, k, 19', [0.168838, -1.09918, 1.0]], ['2, k, 20', [-0.0198791, 0.167038, 1.0]], ['2, k, 21', [-0.362057, 0.740866, 1.0]], ['2, k, 22', [-0.412639, 0.684874, 1.0]], ['2, k, 23', [0.23629, 0.808064, 1.0]], ['2, k, 24', [0.286687, 0.773724, 1.0]]]
[['2, k, 0', [0.0466603, -0.306316, 1.0]], ['2, k, 1', [0.00591118, -0.0336569, 1.0]], ['2, k, 2', [-0.0356649, 0.237208, 1.0]], ['2, k, 3', [-0.0271587, 0.39323, 1.0]], ['2, k, 4', [-0.206753, 0.206179, 1.0]], ['2, k, 5', [-0.310648, 0.419757, 1.0]], ['2, k, 6', [-0.347635, 0.647589, 1.0]], ['2, k, 7', [-0.361925, 0.703483, 1.0]], ['2, k, 8', [0.188616, 0.248647, 1.0]], ['2, k, 9', [0.24998, 0.528534, 1.0]], ['2, k, 10', [0.244292, 0.758494, 1.0]], ['2, k, 11', [0.231991, 0.780541, 1.0]], ['2, k, 12', [-0.0465559, -0.31072, 1.0]], ['2, k, 13', [-0.0831458, -0.688378, 1.0]], ['2, k, 14', [-0.106753, -1.08381, 1.0]], ['2, k, 15', [-0.109287, -1.12969, 1.0]], ['2, k, 16', [0.138226, -0.291541, 1.0]], ['2, k, 17', [0.161599, -0.674004, 1.0]], ['2, k, 18', [0.174961, -1.05303, 1.0]], ['2, k, 19', [0.168695, -1.09914, 1.0]], ['2, k, 20', [-0.0250148, 0.169497, 1.0]], ['2, k, 21', [-0.360019, 0.739733, 1.0]], ['2, k, 22', [-0.419663, 0.676059, 1.0]], ['2, k, 23', [0.22894, 0.813071, 1.0]], ['2, k, 24', [0.27617, 0.773312, 1.0]]]
[['2, k, 0', [0.0455961, -0.305889, 1.0]], ['2, k, 1', [0.00359255, -0.0323801, 1.0]], ['2, k, 2', [-0.0383991, 0.237876, 1.0]], ['2, k, 3', [-0.0309598, 0.392691, 1.0]], ['2, k, 4', [-0.209484, 0.208261, 1.0]], ['2, k, 5', [-0.314103, 0.411851, 1.0]], ['2, k, 6', [-0.355532, 0.636562, 1.0]], ['2, k, 7', [-0.371613, 0.697249, 1.0]], ['2, k, 8', [0.186379, 0.250362, 1.0]], ['2, k, 9', [0.243309, 0.524316, 1.0]], ['2, k, 10', [0.237638, 0.75228, 1.0]], ['2, k, 11', [0.222382, 0.779228, 1.0]], ['2, k, 12', [-0.0474018, -0.310347, 1.0]], ['2, k, 13', [-0.0830615, -0.688362, 1.0]], ['2, k, 14', [-0.106636, -1.08446, 1.0]], ['2, k, 15', [-0.109433, -1.1292, 1.0]], ['2, k, 16', [0.136919, -0.291162, 1.0]], ['2, k, 17', [0.161498, -0.674026, 1.0]], ['2, k, 18', [0.175003, -1.05356, 1.0]], ['2, k, 19', [0.168502, -1.09852, 1.0]], ['2, k, 20', [-0.0278455, 0.170619, 1.0]], ['2, k, 21', [-0.370138, 0.737111, 1.0]], ['2, k, 22', [-0.428055, 0.668098, 1.0]], ['2, k, 23', [0.221698, 0.814287, 1.0]], ['2, k, 24', [0.266604, 0.771685, 1.0]]]
[['2, k, 0', [0.046435, -0.298606, 1.0]], ['2, k, 1', [0.00257691, -0.0296863, 1.0]], ['2, k, 2', [-0.0402824, 0.237658, 1.0]], ['2, k, 3', [-0.0352238, 0.392511, 1.0]], ['2, k, 4', [-0.210591, 0.209209, 1.0]], ['2, k, 5', [-0.316719, 0.407196, 1.0]], ['2, k, 6', [-0.376248, 0.636461, 1.0]], ['2, k, 7', [-0.37796, 0.689582, 1.0]], ['2, k, 8', [0.183212, 0.253626, 1.0]], ['2, k, 9', [0.235812, 0.533811, 1.0]], ['2, k, 10', [0.230545, 0.760531, 1.0]], ['2, k, 11', [0.215928, 0.782236, 1.0]], ['2, k, 12', [-0.0461347, -0.304291, 1.0]], ['2, k, 13', [-0.0830141, -0.688337, 1.0]], ['2, k, 14', [-0.106487, -1.08568, 1.0]], ['2, k, 15', [-0.109658, -1.12953, 1.0]], ['2, k, 16', [0.137321, -0.282757, 1.0]], ['2, k, 17', [0.161453, -0.673917, 1.0]], ['2, k, 18', [0.175014, -1.05378, 1.0]], ['2, k, 19', [0.168168, -1.09786, 1.0]], ['2, k, 20', [-0.0293285, 0.171103, 1.0]], ['2, k, 21', [-0.37047, 0.730422, 1.0]], ['2, k, 22', [-0.433118, 0.657985, 1.0]], ['2, k, 23', [0.209653, 0.814343, 1.0]], ['2, k, 24', [0.260177, 0.777821, 1.0]]]
[['2, k, 0', [0.0466815, -0.295896, 1.0]], ['2, k, 1', [0.00229781, -0.0279528, 1.0]], ['2, k, 2', [-0.0407525, 0.237751, 1.0]], ['2, k, 3', [-0.0394666, 0.393121, 1.0]], ['2, k, 4', [-0.213868, 0.209571, 1.0]], ['2, k, 5', [-0.3199, 0.405612, 1.0]], ['2, k, 6', [-0.378957, 0.631293, 1.0]], ['2, k, 7', [-0.381633, 0.685986, 1.0]], ['2, k, 8', [0.17964, 0.256576, 1.0]], ['2, k, 9', [0.231383, 0.536705, 1.0]], ['2, k, 10', [0.223889, 0.762262, 1.0]], ['2, k, 11', [0.2067, 0.785652, 1.0]], ['2, k, 12', [-0.0456374, -0.30226, 1.0]], ['2, k, 13', [-0.082977, -0.688236, 1.0]], ['2, k, 14', [-0.106485, -1.08566, 1.0]], ['2, k, 15', [-0.110135, -1.12883, 1.0]], ['2, k, 16', [0.137294, -0.279552, 1.0]], ['2, k, 17', [0.161495, -0.674115, 1.0]], ['2, k, 18', [0.174964, -1.05422, 1.0]], ['2, k, 19', [0.16766, -1.09761, 1.0]], ['2, k, 20', [-0.0297681, 0.171546, 1.0]], ['2, k, 21', [-0.376765, 0.727299, 1.0]], ['2, k, 22', [-0.435194, 0.652757, 1.0]], ['2, k, 23', [0.197949, 0.821161, 1.0]], ['2, k, 24', [0.250002, 0.791204, 1.0]]]
[['2, k, 0', [0.0466331, -0.293679, 1.0]], ['2, k, 1', [0.00145058, -0.0260555, 1.0]], ['2, k, 2', [-0.0422449, 0.238254, 1.0]], ['2, k, 3', [-0.0433097, 0.392618, 1.0]], ['2, k, 4', [-0.216049, 0.209586, 1.0]], ['2, k, 5', [-0.322512, 0.404078, 1.0]], ['2, k, 6', [-0.379647, 0.630198, 1.0]], ['2, k, 7', [-0.399277, 0.681, 1.0]], ['2, k, 8', [0.177371, 0.258509, 1.0]], ['2, k, 9', [0.226193, 0.538689, 1.0]], ['2, k, 10', [0.218115, 0.763217, 1.0]], ['2, k, 11', [0.198999, 0.78642, 1.0]], ['2, k, 12', [-0.0454226, -0.300566, 1.0]], ['2, k, 13', [-0.0829252, -0.68828, 1.0]], ['2, k, 14', [-0.106489, -1.086, 1.0]], ['2, k, 15', [-0.110626, -1.1286, 1.0]], ['2, k, 16', [0.136971, -0.276863, 1.0]], ['2, k, 17', [0.161416, -0.674062, 1.0]], ['2, k, 18', [0.175009, -1.05414, 1.0]], ['2, k, 19', [0.167235, -1.09696, 1.0]], ['2, k, 20', [-0.0311797, 0.172522, 1.0]], ['2, k, 21', [-0.419463, 0.725517, 1.0]], ['2, k, 22', [-0.447708, 0.654046, 1.0]], ['2, k, 23', [0.191292, 0.820765, 1.0]], ['2, k, 24', [0.244106, 0.791138, 1.0]]]
[['2, k, 0', [0.0484612, -0.295963, 1.0]], ['2, k, 1', [0.00261111, -0.0266207, 1.0]], ['2, k, 2', [-0.0412968, 0.237975, 1.0]], ['2, k, 3', [-0.0479061, 0.39292, 1.0]], ['2, k, 4', [-0.215135, 0.206778, 1.0]], ['2, k, 5', [-0.325905, 0.399729, 1.0]], ['2, k, 6', [-0.383517, 0.622932, 1.0]], ['2, k, 7', [-0.40586, 0.679832, 1.0]], ['2, k, 8', [0.17975, 0.258039, 1.0]], ['2, k, 9', [0.220396, 0.543028, 1.0]], ['2, k, 10', [0.213832, 0.766954, 1.0]], ['2, k, 11', [0.192714, 0.790473, 1.0]], ['2, k, 12', [-0.0444155, -0.301839, 1.0]], ['2, k, 13', [-0.0829361, -0.688367, 1.0]], ['2, k, 14', [-0.106461, -1.08606, 1.0]], ['2, k, 15', [-0.110645, -1.12815, 1.0]], ['2, k, 16', [0.13998, -0.280661, 1.0]], ['2, k, 17', [0.161401, -0.674001, 1.0]], ['2, k, 18', [0.175014, -1.05458, 1.0]], ['2, k, 19', [0.167205, -1.0969, 1.0]], ['2, k, 20', [-0.0302801, 0.172292, 1.0]], ['2, k, 21', [-0.42133, 0.724485, 1.0]], ['2, k, 22', [-0.459324, 0.655759, 1.0]], ['2, k, 23', [0.194928, 0.824233, 1.0]], ['2, k, 24', [0.235349, 0.790776, 1.0]]]
[['2, k, 0', [0.0488133, -0.29582, 1.0]], ['2, k, 1', [0.00192114, -0.0257437, 1.0]], ['2, k, 2', [-0.045035, 0.240025, 1.0]], ['2, k, 3', [-0.0508708, 0.392681, 1.0]], ['2, k, 4', [-0.222703, 0.207394, 1.0]], ['2, k, 5', [-0.330975, 0.399812, 1.0]], ['2, k, 6', [-0.39908, 0.613806, 1.0]], ['2, k, 7', [-0.412525, 0.678641, 1.0]], ['2, k, 8', [0.17312, 0.270714, 1.0]], ['2, k, 9', [0.216615, 0.544318, 1.0]], ['2, k, 10', [0.208185, 0.767707, 1.0]], ['2, k, 11', [0.185919, 0.792128, 1.0]], ['2, k, 12', [-0.043881, -0.301622, 1.0]], ['2, k, 13', [-0.0828067, -0.68851, 1.0]], ['2, k, 14', [-0.106429, -1.08626, 1.0]], ['2, k, 15', [-0.11252, -1.12793, 1.0]], ['2, k, 16', [0.140172, -0.280585, 1.0]], ['2, k, 17', [0.161501, -0.674328, 1.0]], ['2, k, 18', [0.175042, -1.05493, 1.0]], ['2, k, 19', [0.165336, -1.09683, 1.0]], ['2, k, 20', [-0.033139, 0.174195, 1.0]], ['2, k, 21', [-0.423338, 0.722559, 1.0]], ['2, k, 22', [-0.462176, 0.651968, 1.0]], ['2, k, 23', [0.184221, 0.829424, 1.0]], ['2, k, 24', [0.231258, 0.803433, 1.0]]]
