[['2, k, 0', [-0.1782522, -0.1242533, 1.0]], ['2, k, 1', [-0.177474, 0.1173386, 1.0]], ['2, k, 2', [-0.1757341, 0.3544066, 1.0]], ['2, k, 3', [-0.1741115, 0.4800828, 1.0]], ['2, k, 4', [-0.3073313, 0.2524922, 1.0]], ['2, k, 5', [-0.2437396, 0.03393488, 1.0]], ['2, k, 6', [-0.1613876, -0.1344355, 1.0]], ['2, k, 7', [-0.1264617, -0.1576334, 1.0]], ['2, k, 8', [-0.02804455, 0.2621499, 1.0]], ['2, k, 9', [-0.05172156, 0.05600919, 1.0]], ['2, k, 10', [-0.0989804, -0.1039117, 1.0]], ['2, k, 11', [-0.1256436, -0.1464087, 1.0]], ['2, k, 12', [-0.2429723, -0.1215686, 1.0]], ['2, k, 13', [-0.2672176, -0.2634616, 1.0]], ['2, k, 14', [-0.2535304, -0.6040452, 1.0]], ['2, k, 15', [-0.2483719, -0.6648835, 1.0]], ['2, k, 16', [-0.1097379, -0.1239906, 1.0]], ['2, k, 17', [0.0265439, -0.2604204, 1.0]], ['2, k, 18', [0.01373247, -0.6010125, 1.0]], ['2, k, 19', [0.02440991, -0.6649289, 1.0]], ['2, k, 20', [-0.1765461, 0.2958603, 1.0]], ['2, k, 21', [-0.1210914, -0.2206538, 1.0]], ['2, k, 22', [-0.1124832, -0.1380003, 1.0]], ['2, k, 23', [-0.1221166, -0.2164495, 1.0]], ['2, k, 24', [-0.1086192, -0.1554037, 1.0]]]
[['2, k, 0', [-0.1794174, -0.1240878, 1.0]], ['2, k, 1', [-0.1776865, 0.1176175, 1.0]], ['2, k, 2', [-0.1755027, 0.3549155, 1.0]], ['2, k, 3', [-0.1745988, 0.4798233, 1.0]], ['2, k, 4', [-0.3077241, 0.2529724, 1.0]], ['2, k, 5', [-0.2431053, 0.03611667, 1.0]], ['2, k, 6', [-0.161514, -0.1330004, 1.0]], ['2, k, 7', [-0.1260272, -0.1609933, 1.0]], ['2, k, 8', [-0.02834199, 0.2620289, 1.0]], ['2, k, 9', [-0.05515398, 0.04646448, 1.0]], ['2, k, 10', [-0.1018302, -0.1156993, 1.0]], ['2, k, 11', [-0.1245495, -0.150193, 1.0]], ['2, k, 12', [-0.2441453, -0.1213228, 1.0]], ['2, k, 13', [-0.2672565, -0.2635338, 1.0]], ['2, k, 14', [-0.2535638, -0.6039039, 1.0]], ['2, k, 15', [-0.2489656, -0.6651737, 1.0]], ['2, k, 16', [-0.1108351, -0.1239381, 1.0]], ['2, k, 17', [0.02640426, -0.2605014, 1.0]], ['2, k, 18', [0.01413244, -0.6007465, 1.0]], ['2, k, 19', [0.02574578, -0.6653762, 1.0]], ['2, k, 20', [-0.1764292, 0.2962745, 1.0]], ['2, k, 21', [-0.1210986, -0.2168712, 1.0]], ['2, k, 22', [-0.1186796, -0.1435879, 1.0]], ['2, k, 23', [-0.1219189, -0.2192587, 1.0]], ['2, k, 24', [-0.1213286, -0.1766006, 1.0]]]
[['2, k, 0', [-0.1796591, -0.1239304, 1.0]], ['2, k, 1', [-0.1780139, 0.1175971, 1.0]], ['2, k, 2', [-0.1762312, 0.35445, 1.0]], ['2, k, 3', [-0.1749674, 0.4799564, 1.0]], ['2, k, 4', [-0.3082131, 0.2527986, 1.0]], ['2, k, 5', [-0.2432812, 0.03971226, 1.0]], ['2, k, 6', [-0.161415, -0.127822, 1.0]], ['2, k, 7', [-0.1249485, -0.1552209, 1.0]], ['2, k, 8', [-0.02864412, 0.2622483, 1.0]], ['2, k, 9', [-0.05504031, 0.05345533, 1.0]], ['2, k, 10', [-0.1011229, -0.1096902, 1.0]], ['2, k, 11', [-0.1223568, -0.1452691, 1.0]], ['2, k, 12', [-0.2443115, -0.1212071, 1.0]], ['2, k, 13', [-0.2673614, -0.2637337, 1.0]], ['2, k, 14', [-0.2543735, -0.6056944, 1.0]], ['2, k, 15', [-0.2485524, -0.6660411, 1.0]], ['2, k, 16', [-0.1111478, -0.123756, 1.0]], ['2, k, 17', [0.0265507, -0.2607572, 1.0]], ['2, k, 18', [0.01433013, -0.6003897, 1.0]], ['2, k, 19', [0.0267769, -0.6646588, 1.0]], ['2, k, 20', [-0.1769857, 0.2959777, 1.0]], ['2, k, 21', [-0.1189641, -0.2145364, 1.0]], ['2, k, 22', [-0.1115086, -0.1381969, 1.0]], ['2, k, 23', [-0.1201834, -0.2142971, 1.0]], ['2, k, 24', [-0.1440079, -0.1269979, 1.0]]]
[['2, k, 0', [-0.1797913, -0.1237321, 1.0]], ['2, k, 1', [-0.1781057, 0.1179059, 1.0]], ['2, k, 2', [-0.1762235, 0.354829, 1.0]], ['2, k, 3', [-0.1760449, 0.4802722, 1.0]], ['2, k, 4', [-0.3086365, 0.2533987, 1.0]], ['2, k, 5', [-0.2422619, 0.04162671, 1.0]], ['2, k, 6', [-0.1617948, -0.1273849, 1.0]], ['2, k, 7', [-0.1238376, -0.1565729, 1.0]], ['2, k, 8', [-0.028737, 0.2623936, 1.0]], ['2, k, 9', [-0.05514942, 0.05664092, 1.0]], ['2, k, 10', [-0.1008029, -0.1073108, 1.0]], ['2, k, 11', [-0.1217886, -0.141765, 1.0]], ['2, k, 12', [-0.2443677, -0.121046, 1.0]], ['2, k, 13', [-0.2674092, -0.2637243, 1.0]], ['2, k, 14', [-0.2531788, -0.6048489, 1.0]], ['2, k, 15', [-0.2486253, -0.6663378, 1.0]], ['2, k, 16', [-0.111364, -0.1235354, 1.0]], ['2, k, 17', [0.02626766, -0.2619109, 1.0]], ['2, k, 18', [0.01376022, -0.6022925, 1.0]], ['2, k, 19', [0.02383986, -0.6656815, 1.0]], ['2, k, 20', [-0.1769888, 0.2963335, 1.0]], ['2, k, 21', [-0.1191307, -0.2148351, 1.0]], ['2, k, 22', [-0.1065723, -0.145357, 1.0]], ['2, k, 23', [-0.1204684, -0.2107385, 1.0]], ['2, k, 24', [-0.143861, -0.1341949, 1.0]]]
[['2, k, 0', [-0.1797753, -0.1237303, 1.0]], ['2, k, 1', [-0.1781767, 0.1178973, 1.0]], ['2, k, 2', [-0.1764794, 0.3547531, 1.0]], ['2, k, 3', [-0.176835, 0.4806238, 1.0]], ['2, k, 4', [-0.3091506, 0.2540695, 1.0]], ['2, k, 5', [-0.2396359, 0.04177462, 1.0]], ['2, k, 6', [-0.1609098, -0.1293827, 1.0]], ['2, k, 7', [-0.1206481, -0.1597351, 1.0]], ['2, k, 8', [-0.02904444, 0.262489, 1.0]], ['2, k, 9', [-0.05491963, 0.05687463, 1.0]], ['2, k, 10', [-0.09955689, -0.1068843, 1.0]], ['2, k, 11', [-0.1199149, -0.1435936, 1.0]], ['2, k, 12', [-0.2442112, -0.1210862, 1.0]], ['2, k, 13', [-0.2674886, -0.2636593, 1.0]], ['2, k, 14', [-0.2529733, -0.6051881, 1.0]], ['2, k, 15', [-0.2483085, -0.6665764, 1.0]], ['2, k, 16', [-0.1114149, -0.1235072, 1.0]], ['2, k, 17', [0.02641898, -0.2621978, 1.0]], ['2, k, 18', [0.01364509, -0.6010202, 1.0]], ['2, k, 19', [0.02442521, -0.6652492, 1.0]], ['2, k, 20', [-0.177164, 0.2962835, 1.0]], ['2, k, 21', [-0.1134573, -0.2130155, 1.0]], ['2, k, 22', [-0.09547235, -0.1423318, 1.0]], ['2, k, 23', [-0.1168162, -0.2084135, 1.0]], ['2, k, 24', [-0.1154084, -0.179711, 1.0]]]
[['2, k, 0', [-0.1798944, -0.1237144, 1.0]], ['2, k, 1', [-0.1783617, 0.1178509, 1.0]], ['2, k, 2', [-0.1766489, 0.3546072, 1.0]], ['2, k, 3', [-0.1773775, 0.481011, 1.0]], ['2, k, 4', [-0.3091689, 0.2544951, 1.0]], ['2, k, 5', [-0.239268, 0.04193412, 1.0]], ['2, k, 6', [-0.1125831, -0.1555246, 1.0]], ['2, k, 7', [-0.1168104, -0.163475, 1.0]], ['2, k, 8', [-0.02940569, 0.2619041, 1.0]], ['2, k, 9', [-0.05447567, 0.05750486, 1.0]], ['2, k, 10', [-0.09817249, -0.1058224, 1.0]], ['2, k, 11', [-0.1189458, -0.1410076, 1.0]], ['2, k, 12', [-0.2442516, -0.1210484, 1.0]], ['2, k, 13', [-0.2676184, -0.2637101, 1.0]], ['2, k, 14', [-0.2537943, -0.6037736, 1.0]], ['2, k, 15', [-0.2482649, -0.6653425, 1.0]], ['2, k, 16', [-0.1116438, -0.1235342, 1.0]], ['2, k, 17', [0.0266153, -0.2623193, 1.0]], ['2, k, 18', [0.01339428, -0.5992289, 1.0]], ['2, k, 19', [0.02601891, -0.6642213, 1.0]], ['2, k, 20', [-0.1773232, 0.2961648, 1.0]], ['2, k, 21', [-0.1109867, -0.2080901, 1.0]], ['2, k, 22', [-0.102552, -0.141034, 1.0]], ['2, k, 23', [-0.1130914, -0.2047314, 1.0]], ['2, k, 24', [-0.1099891, -0.1705932, 1.0]]]
[['2, k, 0', [-0.1798546, -0.1236958, 1.0]], ['2, k, 1', [-0.1785044, 0.1177414, 1.0]], ['2, k, 2', [-0.1770149, 0.3542473, 1.0]], ['2, k, 3', [-0.1781895, 0.4813739, 1.0]], ['2, k, 4', [-0.3098802, 0.2551007, 1.0]], ['2, k, 5', [-0.2381933, 0.0419711, 1.0]], ['2, k, 6', [-0.1575837, -0.1321097, 1.0]], ['2, k, 7', [-0.1197265, -0.1644184, 1.0]], ['2, k, 8', [-0.02954749, 0.2619492, 1.0]], ['2, k, 9', [-0.05390178, 0.05797603, 1.0]], ['2, k, 10', [-0.09697034, -0.1063366, 1.0]], ['2, k, 11', [-0.1187525, -0.1488098, 1.0]], ['2, k, 12', [-0.2441442, -0.1210324, 1.0]], ['2, k, 13', [-0.2676254, -0.2637331, 1.0]], ['2, k, 14', [-0.253989, -0.6040868, 1.0]], ['2, k, 15', [-0.2483093, -0.6652286, 1.0]], ['2, k, 16', [-0.1116791, -0.1235206, 1.0]], ['2, k, 17', [0.02695464, -0.262537, 1.0]], ['2, k, 18', [0.01390145, -0.5992333, 1.0]], ['2, k, 19', [0.02647926, -0.6646749, 1.0]], ['2, k, 20', [-0.1776088, 0.2958798, 1.0]], ['2, k, 21', [-0.1136311, -0.2209212, 1.0]], ['2, k, 22', [-0.1102526, -0.1488263, 1.0]], ['2, k, 23', [-0.1130017, -0.2185852, 1.0]], ['2, k, 24', [-0.1414708, -0.1346088, 1.0]]]
[['2, k, 0', [-0.1803248, -0.1235655, 1.0]], ['2, k, 1', [-0.1790692, 0.1176858, 1.0]], ['2, k, 2', [-0.1780891, 0.3537799, 1.0]], ['2, k, 3', [-0.1782828, 0.4812679, 1.0]], ['2, k, 4', [-0.3088815, 0.2547807, 1.0]], ['2, k, 5', [-0.2365153, 0.04179037, 1.0]], ['2, k, 6', [-0.1531337, -0.1308705, 1.0]], ['2, k, 7', [-0.117813, -0.1610465, 1.0]], ['2, k, 8', [-0.02960956, 0.2620462, 1.0]], ['2, k, 9', [-0.05483564, 0.04883162, 1.0]], ['2, k, 10', [-0.09850353, -0.1155734, 1.0]], ['2, k, 11', [-0.1168702, -0.1550088, 1.0]], ['2, k, 12', [-0.2445153, -0.120894, 1.0]], ['2, k, 13', [-0.2676299, -0.2640111, 1.0]], ['2, k, 14', [-0.2546138, -0.6044779, 1.0]], ['2, k, 15', [-0.2488901, -0.6662722, 1.0]], ['2, k, 16', [-0.1122438, -0.1234171, 1.0]], ['2, k, 17', [0.02690197, -0.2627054, 1.0]], ['2, k, 18', [0.01402701, -0.5992737, 1.0]], ['2, k, 19', [0.02642932, -0.6639194, 1.0]], ['2, k, 20', [-0.1785152, 0.2955482, 1.0]], ['2, k, 21', [-0.1128087, -0.2177513, 1.0]], ['2, k, 22', [-0.1098611, -0.1461301, 1.0]], ['2, k, 23', [-0.1128087, -0.2177513, 1.0]], ['2, k, 24', [-0.1271702, -0.1864923, 1.0]]]
[['2, k, 0', [-0.1803853, -0.1236068, 1.0]], ['2, k, 1', [-0.1794496, 0.1176762, 1.0]], ['2, k, 2', [-0.1788495, 0.3538985, 1.0]], ['2, k, 3', [-0.1785416, 0.481501, 1.0]], ['2, k, 4', [-0.3081505, 0.2549219, 1.0]], ['2, k, 5', [-0.2345437, 0.04548408, 1.0]], ['2, k, 6', [-0.1498349, -0.1263722, 1.0]], ['2, k, 7', [-0.1136839, -0.156571, 1.0]], ['2, k, 8', [-0.03011396, 0.2630501, 1.0]], ['2, k, 9', [-0.05548732, 0.04631032, 1.0]], ['2, k, 10', [-0.09752183, -0.1167399, 1.0]], ['2, k, 11', [-0.1119073, -0.153973, 1.0]], ['2, k, 12', [-0.2444777, -0.1210089, 1.0]], ['2, k, 13', [-0.2676038, -0.2641882, 1.0]], ['2, k, 14', [-0.2553363, -0.6041846, 1.0]], ['2, k, 15', [-0.2492809, -0.6660525, 1.0]], ['2, k, 16', [-0.112525, -0.1234122, 1.0]], ['2, k, 17', [0.02698833, -0.2627397, 1.0]], ['2, k, 18', [0.01383865, -0.5993247, 1.0]], ['2, k, 19', [0.02327204, -0.6627234, 1.0]], ['2, k, 20', [-0.1791684, 0.2956204, 1.0]], ['2, k, 21', [-0.1074502, -0.2104857, 1.0]], ['2, k, 22', [-0.09798703, -0.1440375, 1.0]], ['2, k, 23', [-0.1092209, -0.2121375, 1.0]], ['2, k, 24', [-0.1055508, -0.1971836, 1.0]]]
[['2, k, 0', [-0.1805588, -0.1235276, 1.0]], ['2, k, 1', [-0.1796477, 0.1177638, 1.0]], ['2, k, 2', [-0.1790094, 0.3539819, 1.0]], ['2, k, 3', [-0.1786081, 0.4816987, 1.0]], ['2, k, 4', [-0.3083895, 0.2552658, 1.0]], ['2, k, 5', [-0.233478, 0.04751705, 1.0]], ['2, k, 6', [-0.148981, -0.1249199, 1.0]], ['2, k, 7', [-0.1133994, -0.1613738, 1.0]], ['2, k, 8', [-0.03073465, 0.2635187, 1.0]], ['2, k, 9', [-0.05563567, 0.04373306, 1.0]], ['2, k, 10', [-0.09285242, -0.1159826, 1.0]], ['2, k, 11', [-0.1113665, -0.1493145, 1.0]], ['2, k, 12', [-0.244481, -0.1209935, 1.0]], ['2, k, 13', [-0.267681, -0.2642795, 1.0]], ['2, k, 14', [-0.2543797, -0.6024988, 1.0]], ['2, k, 15', [-0.2492443, -0.6659551, 1.0]], ['2, k, 16', [-0.1130075, -0.1232213, 1.0]], ['2, k, 17', [0.02697791, -0.2627114, 1.0]], ['2, k, 18', [0.01393666, -0.5989213, 1.0]], ['2, k, 19', [0.02295623, -0.6619287, 1.0]], ['2, k, 20', [-0.1793306, 0.2957007, 1.0]], ['2, k, 21', [-0.1057381, -0.2127415, 1.0]], ['2, k, 22', [-0.1022705, -0.1453524, 1.0]], ['2, k, 23', [-0.1092078, -0.2121212, 1.0]], ['2, k, 24', [-0.109189, -0.2070215, 1.0]]]
[['2, k, 0', [-0.1805483, -0.1235232, 1.0]], ['2, k, 1', [-0.1797713, 0.1178106, 1.0]], ['2, k, 2', [-0.1793909, 0.3540992, 1.0]], ['2, k, 3', [-0.1787587, 0.4817736, 1.0]], ['2, k, 4', [-0.308661, 0.2559747, 1.0]], ['2, k, 5', [-0.2316111, 0.0545075, 1.0]], ['2, k, 6', [-0.1180108, -0.09346114, 1.0]], ['2, k, 7', [-0.1075614, -0.1217656, 1.0]], ['2, k, 8', [-0.03109515, 0.2639317, 1.0]], ['2, k, 9', [-0.05452774, 0.05068247, 1.0]], ['2, k, 10', [-0.07804352, -0.1064362, 1.0]], ['2, k, 11', [-0.09717641, -0.1105515, 1.0]], ['2, k, 12', [-0.244231, -0.1211072, 1.0]], ['2, k, 13', [-0.2676942, -0.2642879, 1.0]], ['2, k, 14', [-0.2542993, -0.6031672, 1.0]], ['2, k, 15', [-0.2490113, -0.6664073, 1.0]], ['2, k, 16', [-0.1131106, -0.1231161, 1.0]], ['2, k, 17', [0.02702507, -0.262739, 1.0]], ['2, k, 18', [0.01359324, -0.6000969, 1.0]], ['2, k, 19', [0.02360353, -0.6643909, 1.0]], ['2, k, 20', [-0.1796323, 0.2957953, 1.0]], ['2, k, 21', [-0.1033359, -0.1916712, 1.0]], ['2, k, 22', [-0.08992934, -0.11833, 1.0]], ['2, k, 23', [-0.1082548, -0.1727666, 1.0]], ['2, k, 24', [-0.09000158, -0.1303637, 1.0]]]
