[['2, k, 0', [-0.0668755, -0.700843, 1.0]], ['2, k, 1', [-0.0777169, -0.41336, 1.0]], ['2, k, 2', [-0.0878781, -0.130412, 1.0]], ['2, k, 3', [-0.0933417, 0.0176909, 1.0]], ['2, k, 4', [-0.258454, -0.234403, 1.0]], ['2, k, 5', [-0.413042, -0.403643, 1.0]], ['2, k, 6', [-0.308349, -0.590591, 1.0]], ['2, k, 7', [-0.284892, -0.605144, 1.0]], ['2, k, 8', [0.0906118, -0.228586, 1.0]], ['2, k, 9', [0.270416, -0.366162, 1.0]], ['2, k, 10', [0.16437, -0.547983, 1.0]], ['2, k, 11', [0.111221, -0.565254, 1.0]], ['2, k, 12', [-0.145509, -0.692695, 1.0]], ['2, k, 13', [-0.216167, -1.00075, 1.0]], ['2, k, 14', [-0.281569, -1.36635, 1.0]], ['2, k, 15', [-0.275635, -1.43066, 1.0]], ['2, k, 16', [0.0135703, -0.690142, 1.0]], ['2, k, 17', [0.0974106, -0.989875, 1.0]], ['2, k, 18', [0.178954, -1.3684, 1.0]], ['2, k, 19', [0.187246, -1.40402, 1.0]], ['2, k, 20', [-0.0854492, -0.200571, 1.0]], ['2, k, 21', [-0.259869, -0.708531, 1.0]], ['2, k, 22', [-0.247039, -0.599693, 1.0]], ['2, k, 23', [0.0964388, -0.650887, 1.0]], ['2, k, 24', [0.0750959, -0.54828, 1.0]]]
[['2, k, 0', [-0.0668688, -0.700844, 1.0]], ['2, k, 1', [-0.0777326, -0.413354, 1.0]], ['2, k, 2', [-0.0879401, -0.130394, 1.0]], ['2, k, 3', [-0.0932476, 0.0176768, 1.0]], ['2, k, 4', [-0.258453, -0.234493, 1.0]], ['2, k, 5', [-0.413173, -0.405108, 1.0]], ['2, k, 6', [-0.30844, -0.590835, 1.0]], ['2, k, 7', [-0.259079, -0.632009, 1.0]], ['2, k, 8', [0.0905647, -0.228557, 1.0]], ['2, k, 9', [0.270198, -0.365836, 1.0]], ['2, k, 10', [0.163057, -0.546747, 1.0]], ['2, k, 11', [0.118285, -0.555207, 1.0]], ['2, k, 12', [-0.145495, -0.692714, 1.0]], ['2, k, 13', [-0.215974, -1.00024, 1.0]], ['2, k, 14', [-0.281272, -1.36437, 1.0]], ['2, k, 15', [-0.275476, -1.43035, 1.0]], ['2, k, 16', [0.0135733, -0.690138, 1.0]], ['2, k, 17', [0.0975417, -0.990241, 1.0]], ['2, k, 18', [0.179078, -1.36804, 1.0]], ['2, k, 19', [0.187405, -1.40411, 1.0]], ['2, k, 20', [-0.0854971, -0.200557, 1.0]], ['2, k, 21', [-0.231892, -0.700242, 1.0]], ['2, k, 22', [-0.223173, -0.592444, 1.0]], ['2, k, 23', [0.105181, -0.633472, 1.0]], ['2, k, 24', [0.083485, -0.542277, 1.0]]]
[['2, k, 0', [-0.0668579, -0.700874, 1.0]], ['2, k, 1', [-0.077708, -0.413435, 1.0]], ['2, k, 2', [-0.0878903, -0.130562, 1.0]], ['2, k, 3', [-0.0931302, 0.0177081, 1.0]], ['2, k, 4', [-0.258289, -0.234515, 1.0]], ['2, k, 5', [-0.41319, -0.406296, 1.0]], ['2, k, 6', [-0.308532, -0.590859, 1.0]], ['2, k, 7', [-0.25934, -0.630368, 1.0]], ['2, k, 8', [0.0905691, -0.228584, 1.0]], ['2, k, 9', [0.270197, -0.365782, 1.0]], ['2, k, 10', [0.163038, -0.546801, 1.0]], ['2, k, 11', [0.119496, -0.555953, 1.0]], ['2, k, 12', [-0.145483, -0.692741, 1.0]], ['2, k, 13', [-0.215967, -0.999543, 1.0]], ['2, k, 14', [-0.280931, -1.36379, 1.0]], ['2, k, 15', [-0.275442, -1.43042, 1.0]], ['2, k, 16', [0.0135829, -0.690171, 1.0]], ['2, k, 17', [0.0973136, -0.989882, 1.0]], ['2, k, 18', [0.179594, -1.36523, 1.0]], ['2, k, 19', [0.188015, -1.40138, 1.0]], ['2, k, 20', [-0.0854546, -0.200701, 1.0]], ['2, k, 21', [-0.229753, -0.693209, 1.0]], ['2, k, 22', [-0.228377, -0.593936, 1.0]], ['2, k, 23', [0.104782, -0.631068, 1.0]], ['2, k, 24', [0.0871462, -0.538455, 1.0]]]
[['2, k, 0', [-0.0669069, -0.70088, 1.0]], ['2, k, 1', [-0.077727, -0.413439, 1.0]], ['2, k, 2', [-0.0878948, -0.130564, 1.0]], ['2, k, 3', [-0.0931969, 0.01758, 1.0]], ['2, k, 4', [-0.258384, -0.234542, 1.0]], ['2, k, 5', [-0.412873, -0.406518, 1.0]], ['2, k, 6', [-0.312566, -0.58521, 1.0]], ['2, k, 7', [-0.267296, -0.619939, 1.0]], ['2, k, 8', [0.0905923, -0.228512, 1.0]], ['2, k, 9', [0.270108, -0.365688, 1.0]], ['2, k, 10', [0.165487, -0.547844, 1.0]], ['2, k, 11', [0.121295, -0.556492, 1.0]], ['2, k, 12', [-0.145531, -0.692763, 1.0]], ['2, k, 13', [-0.215855, -0.999794, 1.0]], ['2, k, 14', [-0.280544, -1.36293, 1.0]], ['2, k, 15', [-0.275484, -1.43032, 1.0]], ['2, k, 16', [0.0135302, -0.690163, 1.0]], ['2, k, 17', [0.0972851, -0.989918, 1.0]], ['2, k, 18', [0.179655, -1.36531, 1.0]], ['2, k, 19', [0.187989, -1.40176, 1.0]], ['2, k, 20', [-0.085461, -0.200703, 1.0]], ['2, k, 21', [-0.237737, -0.691374, 1.0]], ['2, k, 22', [-0.229477, -0.584099, 1.0]], ['2, k, 23', [0.104994, -0.638807, 1.0]], ['2, k, 24', [0.0830301, -0.543491, 1.0]]]
[['2, k, 0', [-0.0669999, -0.700926, 1.0]], ['2, k, 1', [-0.0777552, -0.413481, 1.0]], ['2, k, 2', [-0.0878273, -0.13061, 1.0]], ['2, k, 3', [-0.0929913, 0.0174944, 1.0]], ['2, k, 4', [-0.258388, -0.234652, 1.0]], ['2, k, 5', [-0.412254, -0.407099, 1.0]], ['2, k, 6', [-0.31277, -0.586813, 1.0]], ['2, k, 7', [-0.266546, -0.624286, 1.0]], ['2, k, 8', [0.0906186, -0.228479, 1.0]], ['2, k, 9', [0.269977, -0.365838, 1.0]], ['2, k, 10', [0.166948, -0.548574, 1.0]], ['2, k, 11', [0.117907, -0.566552, 1.0]], ['2, k, 12', [-0.145628, -0.692841, 1.0]], ['2, k, 13', [-0.215844, -0.997999, 1.0]], ['2, k, 14', [-0.279134, -1.3574, 1.0]], ['2, k, 15', [-0.289817, -1.39918, 1.0]], ['2, k, 16', [0.0133874, -0.69019, 1.0]], ['2, k, 17', [0.0972954, -0.990052, 1.0]], ['2, k, 18', [0.179777, -1.36135, 1.0]], ['2, k, 19', [0.188785, -1.40079, 1.0]], ['2, k, 20', [-0.0854245, -0.200748, 1.0]], ['2, k, 21', [-0.237566, -0.699213, 1.0]], ['2, k, 22', [-0.229471, -0.590491, 1.0]], ['2, k, 23', [0.0913934, -0.642255, 1.0]], ['2, k, 24', [0.0818263, -0.542589, 1.0]]]
[['2, k, 0', [-0.0670791, -0.700931, 1.0]], ['2, k, 1', [-0.0777848, -0.413525, 1.0]], ['2, k, 2', [-0.0877749, -0.130727, 1.0]], ['2, k, 3', [-0.0928249, 0.0171214, 1.0]], ['2, k, 4', [-0.258473, -0.23441, 1.0]], ['2, k, 5', [-0.411826, -0.407637, 1.0]], ['2, k, 6', [-0.311504, -0.586591, 1.0]], ['2, k, 7', [-0.264973, -0.622403, 1.0]], ['2, k, 8', [0.0905764, -0.228509, 1.0]], ['2, k, 9', [0.269664, -0.366834, 1.0]], ['2, k, 10', [0.169413, -0.550245, 1.0]], ['2, k, 11', [0.139995, -0.555384, 1.0]], ['2, k, 12', [-0.145706, -0.692811, 1.0]], ['2, k, 13', [-0.215758, -0.99818, 1.0]], ['2, k, 14', [-0.279485, -1.358, 1.0]], ['2, k, 15', [-0.290667, -1.40131, 1.0]], ['2, k, 16', [0.0132596, -0.690256, 1.0]], ['2, k, 17', [0.0972073, -0.99011, 1.0]], ['2, k, 18', [0.18007, -1.36252, 1.0]], ['2, k, 19', [0.189361, -1.40362, 1.0]], ['2, k, 20', [-0.0853985, -0.200844, 1.0]], ['2, k, 21', [-0.235744, -0.694744, 1.0]], ['2, k, 22', [-0.225397, -0.585524, 1.0]], ['2, k, 23', [0.117253, -0.603001, 1.0]], ['2, k, 24', [0.0993901, -0.536869, 1.0]]]
[['2, k, 0', [-0.0671729, -0.70103, 1.0]], ['2, k, 1', [-0.0778564, -0.413603, 1.0]], ['2, k, 2', [-0.0878312, -0.130786, 1.0]], ['2, k, 3', [-0.0928229, 0.0171107, 1.0]], ['2, k, 4', [-0.258448, -0.234485, 1.0]], ['2, k, 5', [-0.411129, -0.408312, 1.0]], ['2, k, 6', [-0.311375, -0.5875, 1.0]], ['2, k, 7', [-0.265297, -0.622141, 1.0]], ['2, k, 8', [0.0906047, -0.228598, 1.0]], ['2, k, 9', [0.268791, -0.368179, 1.0]], ['2, k, 10', [0.17007, -0.551879, 1.0]], ['2, k, 11', [0.121331, -0.574274, 1.0]], ['2, k, 12', [-0.145793, -0.692892, 1.0]], ['2, k, 13', [-0.215752, -0.998151, 1.0]], ['2, k, 14', [-0.279841, -1.35909, 1.0]], ['2, k, 15', [-0.273426, -1.43362, 1.0]], ['2, k, 16', [0.0131635, -0.690374, 1.0]], ['2, k, 17', [0.0972, -0.990231, 1.0]], ['2, k, 18', [0.180288, -1.36228, 1.0]], ['2, k, 19', [0.189558, -1.40351, 1.0]], ['2, k, 20', [-0.0854573, -0.200907, 1.0]], ['2, k, 21', [-0.234666, -0.696649, 1.0]], ['2, k, 22', [-0.228096, -0.587135, 1.0]], ['2, k, 23', [0.0932067, -0.653683, 1.0]], ['2, k, 24', [0.0847181, -0.549667, 1.0]]]
[['2, k, 0', [-0.067322, -0.701076, 1.0]], ['2, k, 1', [-0.0779288, -0.413638, 1.0]], ['2, k, 2', [-0.0878632, -0.130813, 1.0]], ['2, k, 3', [-0.0930728, 0.0169343, 1.0]], ['2, k, 4', [-0.258549, -0.233703, 1.0]], ['2, k, 5', [-0.41045, -0.409628, 1.0]], ['2, k, 6', [-0.310791, -0.588533, 1.0]], ['2, k, 7', [-0.266408, -0.626034, 1.0]], ['2, k, 8', [0.0905583, -0.228716, 1.0]], ['2, k, 9', [0.266833, -0.37028, 1.0]], ['2, k, 10', [0.170408, -0.554536, 1.0]], ['2, k, 11', [0.123736, -0.583053, 1.0]], ['2, k, 12', [-0.145945, -0.692833, 1.0]], ['2, k, 13', [-0.215925, -0.998668, 1.0]], ['2, k, 14', [-0.27992, -1.35965, 1.0]], ['2, k, 15', [-0.274122, -1.43223, 1.0]], ['2, k, 16', [0.012982, -0.690558, 1.0]], ['2, k, 17', [0.0969006, -0.989819, 1.0]], ['2, k, 18', [0.180591, -1.36242, 1.0]], ['2, k, 19', [0.190049, -1.40479, 1.0]], ['2, k, 20', [-0.0854956, -0.200935, 1.0]], ['2, k, 21', [-0.237395, -0.696436, 1.0]], ['2, k, 22', [-0.229684, -0.590476, 1.0]], ['2, k, 23', [0.0932699, -0.660506, 1.0]], ['2, k, 24', [0.0909778, -0.555871, 1.0]]]
[['2, k, 0', [-0.0675799, -0.701245, 1.0]], ['2, k, 1', [-0.0780637, -0.413703, 1.0]], ['2, k, 2', [-0.0879298, -0.130821, 1.0]], ['2, k, 3', [-0.0931222, 0.0168306, 1.0]], ['2, k, 4', [-0.258637, -0.233353, 1.0]], ['2, k, 5', [-0.40997, -0.41018, 1.0]], ['2, k, 6', [-0.310653, -0.589405, 1.0]], ['2, k, 7', [-0.266031, -0.62579, 1.0]], ['2, k, 8', [0.0904784, -0.228831, 1.0]], ['2, k, 9', [0.264364, -0.373069, 1.0]], ['2, k, 10', [0.170722, -0.558324, 1.0]], ['2, k, 11', [0.126839, -0.584306, 1.0]], ['2, k, 12', [-0.146173, -0.692884, 1.0]], ['2, k, 13', [-0.215969, -0.999085, 1.0]], ['2, k, 14', [-0.280218, -1.36086, 1.0]], ['2, k, 15', [-0.276294, -1.43468, 1.0]], ['2, k, 16', [0.0127025, -0.690862, 1.0]], ['2, k, 17', [0.0967891, -0.989687, 1.0]], ['2, k, 18', [0.180093, -1.3622, 1.0]], ['2, k, 19', [0.189348, -1.40435, 1.0]], ['2, k, 20', [-0.0855719, -0.200953, 1.0]], ['2, k, 21', [-0.236941, -0.694777, 1.0]], ['2, k, 22', [-0.230167, -0.589877, 1.0]], ['2, k, 23', [0.0945027, -0.657656, 1.0]], ['2, k, 24', [0.0899612, -0.556844, 1.0]]]
[['2, k, 0', [-0.0678411, -0.701504, 1.0]], ['2, k, 1', [-0.0781455, -0.413896, 1.0]], ['2, k, 2', [-0.0878945, -0.130971, 1.0]], ['2, k, 3', [-0.0932365, 0.0166651, 1.0]], ['2, k, 4', [-0.258629, -0.233276, 1.0]], ['2, k, 5', [-0.409636, -0.410272, 1.0]], ['2, k, 6', [-0.310597, -0.589708, 1.0]], ['2, k, 7', [-0.267476, -0.622951, 1.0]], ['2, k, 8', [0.0902263, -0.229208, 1.0]], ['2, k, 9', [0.261146, -0.377461, 1.0]], ['2, k, 10', [0.169704, -0.563213, 1.0]], ['2, k, 11', [0.127292, -0.585381, 1.0]], ['2, k, 12', [-0.146451, -0.693237, 1.0]], ['2, k, 13', [-0.21593, -0.999514, 1.0]], ['2, k, 14', [-0.280214, -1.36084, 1.0]], ['2, k, 15', [-0.274829, -1.43484, 1.0]], ['2, k, 16', [0.0124765, -0.691023, 1.0]], ['2, k, 17', [0.0968111, -0.989876, 1.0]], ['2, k, 18', [0.180538, -1.36301, 1.0]], ['2, k, 19', [0.189856, -1.40518, 1.0]], ['2, k, 20', [-0.0855627, -0.20111, 1.0]], ['2, k, 21', [-0.244276, -0.691612, 1.0]], ['2, k, 22', [-0.231164, -0.59069, 1.0]], ['2, k, 23', [0.0968445, -0.660422, 1.0]], ['2, k, 24', [0.0918891, -0.560713, 1.0]]]
[['2, k, 0', [-0.0680734, -0.701715, 1.0]], ['2, k, 1', [-0.07823, -0.413974, 1.0]], ['2, k, 2', [-0.0879083, -0.130984, 1.0]], ['2, k, 3', [-0.0934616, 0.0163842, 1.0]], ['2, k, 4', [-0.258763, -0.233184, 1.0]], ['2, k, 5', [-0.40929, -0.410665, 1.0]], ['2, k, 6', [-0.310479, -0.590229, 1.0]], ['2, k, 7', [-0.270075, -0.623899, 1.0]], ['2, k, 8', [0.0901532, -0.229569, 1.0]], ['2, k, 9', [0.258314, -0.380484, 1.0]], ['2, k, 10', [0.169003, -0.566714, 1.0]], ['2, k, 11', [0.12591, -0.585727, 1.0]], ['2, k, 12', [-0.146641, -0.693447, 1.0]], ['2, k, 13', [-0.216083, -0.999739, 1.0]], ['2, k, 14', [-0.280258, -1.36082, 1.0]], ['2, k, 15', [-0.275652, -1.43188, 1.0]], ['2, k, 16', [0.0122057, -0.691217, 1.0]], ['2, k, 17', [0.0968954, -0.99037, 1.0]], ['2, k, 18', [0.178856, -1.35845, 1.0]], ['2, k, 19', [0.188202, -1.40146, 1.0]], ['2, k, 20', [-0.0855846, -0.201131, 1.0]], ['2, k, 21', [-0.244336, -0.691798, 1.0]], ['2, k, 22', [-0.233854, -0.590397, 1.0]], ['2, k, 23', [0.0963077, -0.661566, 1.0]], ['2, k, 24', [0.0909256, -0.564433, 1.0]]]
