[['2, k, 0', [0.277114, -1.03271, 1.0]], ['2, k, 1', [0.290556, -0.735005, 1.0]], ['2, k, 2', [0.302544, -0.440629, 1.0]], ['2, k, 3', [0.305854, -0.28332, 1.0]], ['2, k, 4', [0.102969, -0.558108, 1.0]], ['2, k, 5', [-0.0302652, -0.732535, 1.0]], ['2, k, 6', [0.0677141, -0.894978, 1.0]], ['2, k, 7', [0.0902672, -0.888269, 1.0]], ['2, k, 8', [0.494163, -0.543331, 1.0]], ['2, k, 9', [0.653632, -0.710405, 1.0]], ['2, k, 10', [0.544781, -0.872279, 1.0]], ['2, k, 11', [0.497513, -0.873856, 1.0]], ['2, k, 12', [0.184845, -1.02406, 1.0]], ['2, k, 13', [0.19113, -1.38832, 1.0]], ['2, k, 14', [0.227189, -1.72772, 1.0]], ['2, k, 15', [0.270892, -1.79675, 1.0]], ['2, k, 16', [0.362986, -1.01746, 1.0]], ['2, k, 17', [0.388691, -1.38532, 1.0]], ['2, k, 18', [0.385767, -1.73644, 1.0]], ['2, k, 19', [0.332874, -1.8039, 1.0]], ['2, k, 20', [0.299801, -0.513913, 1.0]], ['2, k, 21', [0.110618, -0.921386, 1.0]], ['2, k, 22', [0.110349, -0.902503, 1.0]], ['2, k, 23', [0.458654, -0.874399, 1.0]], ['2, k, 24', [0.459678, -0.843185, 1.0]]]
[['2, k, 0', [0.277135, -1.03245, 1.0]], ['2, k, 1', [0.290579, -0.734844, 1.0]], ['2, k, 2', [0.302569, -0.440536, 1.0]], ['2, k, 3', [0.305834, -0.283194, 1.0]], ['2, k, 4', [0.102974, -0.558107, 1.0]], ['2, k, 5', [-0.0301797, -0.732587, 1.0]], ['2, k, 6', [0.0682718, -0.894448, 1.0]], ['2, k, 7', [0.0888468, -0.887377, 1.0]], ['2, k, 8', [0.494138, -0.543099, 1.0]], ['2, k, 9', [0.653716, -0.71032, 1.0]], ['2, k, 10', [0.544863, -0.872194, 1.0]], ['2, k, 11', [0.499404, -0.875759, 1.0]], ['2, k, 12', [0.184849, -1.02389, 1.0]], ['2, k, 13', [0.191103, -1.38853, 1.0]], ['2, k, 14', [0.227152, -1.72781, 1.0]], ['2, k, 15', [0.272555, -1.79604, 1.0]], ['2, k, 16', [0.363032, -1.01709, 1.0]], ['2, k, 17', [0.388704, -1.3852, 1.0]], ['2, k, 18', [0.385475, -1.73722, 1.0]], ['2, k, 19', [0.332096, -1.80417, 1.0]], ['2, k, 20', [0.299825, -0.513805, 1.0]], ['2, k, 21', [0.110618, -0.921385, 1.0]], ['2, k, 22', [0.102601, -0.865754, 1.0]], ['2, k, 23', [0.46247, -0.944111, 1.0]], ['2, k, 24', [0.454365, -0.847354, 1.0]]]
[['2, k, 0', [0.277102, -1.03241, 1.0]], ['2, k, 1', [0.290539, -0.734812, 1.0]], ['2, k, 2', [0.30252, -0.440515, 1.0]], ['2, k, 3', [0.305629, -0.282923, 1.0]], ['2, k, 4', [0.103009, -0.557992, 1.0]], ['2, k, 5', [-0.0302067, -0.732213, 1.0]], ['2, k, 6', [0.0687467, -0.89252, 1.0]], ['2, k, 7', [0.0906579, -0.886541, 1.0]], ['2, k, 8', [0.494054, -0.542905, 1.0]], ['2, k, 9', [0.652308, -0.709047, 1.0]], ['2, k, 10', [0.48658, -0.85709, 1.0]], ['2, k, 11', [0.413031, -0.907372, 1.0]], ['2, k, 12', [0.18481, -1.02384, 1.0]], ['2, k, 13', [0.191091, -1.3885, 1.0]], ['2, k, 14', [0.227419, -1.72787, 1.0]], ['2, k, 15', [0.27653, -1.79848, 1.0]], ['2, k, 16', [0.362996, -1.01705, 1.0]], ['2, k, 17', [0.388729, -1.38565, 1.0]], ['2, k, 18', [0.385972, -1.73943, 1.0]], ['2, k, 19', [0.327265, -1.80644, 1.0]], ['2, k, 20', [0.299778, -0.513781, 1.0]], ['2, k, 21', [0.113282, -0.916311, 1.0]], ['2, k, 22', [0.10042, -0.867901, 1.0]], ['2, k, 23', [0.357803, -0.946513, 1.0]], ['2, k, 24', [0.376163, -0.829479, 1.0]]]
[['2, k, 0', [0.276782, -1.03235, 1.0]], ['2, k, 1', [0.290176, -0.734771, 1.0]], ['2, k, 2', [0.302088, -0.440499, 1.0]], ['2, k, 3', [0.304993, -0.282608, 1.0]], ['2, k, 4', [0.102791, -0.557882, 1.0]], ['2, k, 5', [-0.0298558, -0.73219, 1.0]], ['2, k, 6', [0.0731918, -0.888676, 1.0]], ['2, k, 7', [0.0983992, -0.88078, 1.0]], ['2, k, 8', [0.493608, -0.542735, 1.0]], ['2, k, 9', [0.651886, -0.708513, 1.0]], ['2, k, 10', [0.486581, -0.856816, 1.0]], ['2, k, 11', [0.4117, -0.910515, 1.0]], ['2, k, 12', [0.18453, -1.0238, 1.0]], ['2, k, 13', [0.191026, -1.38848, 1.0]], ['2, k, 14', [0.227798, -1.72795, 1.0]], ['2, k, 15', [0.276084, -1.80119, 1.0]], ['2, k, 16', [0.36263, -1.01697, 1.0]], ['2, k, 17', [0.388706, -1.39033, 1.0]], ['2, k, 18', [0.385852, -1.73918, 1.0]], ['2, k, 19', [0.326253, -1.80827, 1.0]], ['2, k, 20', [0.299366, -0.513757, 1.0]], ['2, k, 21', [0.111992, -0.918331, 1.0]], ['2, k, 22', [0.105651, -0.852819, 1.0]], ['2, k, 23', [0.362142, -0.95056, 1.0]], ['2, k, 24', [0.375454, -0.829159, 1.0]]]
[['2, k, 0', [0.27624, -1.03199, 1.0]], ['2, k, 1', [0.289753, -0.73455, 1.0]], ['2, k, 2', [0.301737, -0.440387, 1.0]], ['2, k, 3', [0.304229, -0.282098, 1.0]], ['2, k, 4', [0.102734, -0.557792, 1.0]], ['2, k, 5', [-0.0278985, -0.732148, 1.0]], ['2, k, 6', [0.0733143, -0.888683, 1.0]], ['2, k, 7', [0.102224, -0.876118, 1.0]], ['2, k, 8', [0.492911, -0.542229, 1.0]], ['2, k, 9', [0.651125, -0.707846, 1.0]], ['2, k, 10', [0.481096, -0.839393, 1.0]], ['2, k, 11', [0.327383, -0.992221, 1.0]], ['2, k, 12', [0.184026, -1.02352, 1.0]], ['2, k, 13', [0.19082, -1.38883, 1.0]], ['2, k, 14', [0.2282, -1.72841, 1.0]], ['2, k, 15', [0.276183, -1.80203, 1.0]], ['2, k, 16', [0.362057, -1.01653, 1.0]], ['2, k, 17', [0.388602, -1.38978, 1.0]], ['2, k, 18', [0.385784, -1.73887, 1.0]], ['2, k, 19', [0.339383, -1.81599, 1.0]], ['2, k, 20', [0.299, -0.51362, 1.0]], ['2, k, 21', [0.110221, -0.91808, 1.0]], ['2, k, 22', [0.108237, -0.846722, 1.0]], ['2, k, 23', [0.279849, -1.03312, 1.0]], ['2, k, 24', [0.299132, -0.942451, 1.0]]]
[['2, k, 0', [0.276015, -1.03167, 1.0]], ['2, k, 1', [0.289281, -0.733997, 1.0]], ['2, k, 2', [0.300914, -0.439549, 1.0]], ['2, k, 3', [0.303725, -0.28111, 1.0]], ['2, k, 4', [0.102752, -0.557621, 1.0]], ['2, k, 5', [-0.0211762, -0.731743, 1.0]], ['2, k, 6', [0.0768188, -0.889084, 1.0]], ['2, k, 7', [0.112815, -0.894862, 1.0]], ['2, k, 8', [0.492126, -0.541667, 1.0]], ['2, k, 9', [0.536886, -0.728854, 1.0]], ['2, k, 10', [0.39362, -0.90178, 1.0]], ['2, k, 11', [0.340589, -0.966356, 1.0]], ['2, k, 12', [0.183834, -1.02328, 1.0]], ['2, k, 13', [0.19093, -1.3888, 1.0]], ['2, k, 14', [0.227483, -1.72857, 1.0]], ['2, k, 15', [0.277406, -1.80225, 1.0]], ['2, k, 16', [0.361805, -1.01613, 1.0]], ['2, k, 17', [0.388553, -1.3896, 1.0]], ['2, k, 18', [0.385274, -1.7392, 1.0]], ['2, k, 19', [0.340343, -1.81819, 1.0]], ['2, k, 20', [0.298272, -0.512854, 1.0]], ['2, k, 21', [0.110293, -0.918683, 1.0]], ['2, k, 22', [0.114363, -0.868082, 1.0]], ['2, k, 23', [0.276681, -1.01847, 1.0]], ['2, k, 24', [0.282093, -0.896313, 1.0]]]
[['2, k, 0', [0.275789, -1.03132, 1.0]], ['2, k, 1', [0.288776, -0.733413, 1.0]], ['2, k, 2', [0.29998, -0.438653, 1.0]], ['2, k, 3', [0.302698, -0.280348, 1.0]], ['2, k, 4', [0.102679, -0.557623, 1.0]], ['2, k, 5', [-0.0172035, -0.732116, 1.0]], ['2, k, 6', [0.0783543, -0.889407, 1.0]], ['2, k, 7', [0.107735, -0.889861, 1.0]], ['2, k, 8', [0.492045, -0.541335, 1.0]], ['2, k, 9', [0.53538, -0.728392, 1.0]], ['2, k, 10', [0.390801, -0.900308, 1.0]], ['2, k, 11', [0.331249, -0.962246, 1.0]], ['2, k, 12', [0.183646, -1.02305, 1.0]], ['2, k, 13', [0.190903, -1.38876, 1.0]], ['2, k, 14', [0.226899, -1.72859, 1.0]], ['2, k, 15', [0.275095, -1.80381, 1.0]], ['2, k, 16', [0.361537, -1.01563, 1.0]], ['2, k, 17', [0.388207, -1.392, 1.0]], ['2, k, 18', [0.385276, -1.73921, 1.0]], ['2, k, 19', [0.340019, -1.81907, 1.0]], ['2, k, 20', [0.297452, -0.512036, 1.0]], ['2, k, 21', [0.106335, -0.924708, 1.0]], ['2, k, 22', [0.108587, -0.842415, 1.0]], ['2, k, 23', [0.265291, -1.01988, 1.0]], ['2, k, 24', [0.264335, -0.892692, 1.0]]]
[['2, k, 0', [0.275712, -1.03124, 1.0]], ['2, k, 1', [0.288519, -0.733036, 1.0]], ['2, k, 2', [0.299467, -0.437789, 1.0]], ['2, k, 3', [0.301576, -0.279405, 1.0]], ['2, k, 4', [0.102173, -0.557624, 1.0]], ['2, k, 5', [-0.0146423, -0.732575, 1.0]], ['2, k, 6', [0.0815791, -0.88955, 1.0]], ['2, k, 7', [0.106165, -0.908526, 1.0]], ['2, k, 8', [0.491081, -0.53985, 1.0]], ['2, k, 9', [0.534989, -0.726297, 1.0]], ['2, k, 10', [0.391053, -0.898212, 1.0]], ['2, k, 11', [0.331474, -0.960856, 1.0]], ['2, k, 12', [0.183615, -1.02305, 1.0]], ['2, k, 13', [0.190838, -1.38862, 1.0]], ['2, k, 14', [0.226076, -1.72848, 1.0]], ['2, k, 15', [0.2866, -1.79689, 1.0]], ['2, k, 16', [0.361386, -1.01532, 1.0]], ['2, k, 17', [0.388584, -1.39402, 1.0]], ['2, k, 18', [0.385431, -1.73958, 1.0]], ['2, k, 19', [0.338683, -1.81934, 1.0]], ['2, k, 20', [0.297005, -0.511306, 1.0]], ['2, k, 21', [0.102216, -0.93368, 1.0]], ['2, k, 22', [0.10887, -0.878009, 1.0]], ['2, k, 23', [0.265811, -1.01845, 1.0]], ['2, k, 24', [0.264852, -0.888895, 1.0]]]
[['2, k, 0', [0.275541, -1.03116, 1.0]], ['2, k, 1', [0.288257, -0.732658, 1.0]], ['2, k, 2', [0.299155, -0.43699, 1.0]], ['2, k, 3', [0.30033, -0.278942, 1.0]], ['2, k, 4', [0.10208, -0.557553, 1.0]], ['2, k, 5', [-0.0132694, -0.732923, 1.0]], ['2, k, 6', [0.0829807, -0.891087, 1.0]], ['2, k, 7', [0.101563, -0.917513, 1.0]], ['2, k, 8', [0.49043, -0.538779, 1.0]], ['2, k, 9', [0.53427, -0.724822, 1.0]], ['2, k, 10', [0.390021, -0.895875, 1.0]], ['2, k, 11', [0.331188, -0.954417, 1.0]], ['2, k, 12', [0.183446, -1.02306, 1.0]], ['2, k, 13', [0.190833, -1.3889, 1.0]], ['2, k, 14', [0.226381, -1.73096, 1.0]], ['2, k, 15', [0.288197, -1.79914, 1.0]], ['2, k, 16', [0.361193, -1.01514, 1.0]], ['2, k, 17', [0.388671, -1.39414, 1.0]], ['2, k, 18', [0.386088, -1.74008, 1.0]], ['2, k, 19', [0.333697, -1.81783, 1.0]], ['2, k, 20', [0.296699, -0.510619, 1.0]], ['2, k, 21', [0.0971789, -0.941412, 1.0]], ['2, k, 22', [0.103652, -0.845007, 1.0]], ['2, k, 23', [0.266044, -1.01207, 1.0]], ['2, k, 24', [0.273162, -0.881236, 1.0]]]
[['2, k, 0', [0.274932, -1.03102, 1.0]], ['2, k, 1', [0.287763, -0.73227, 1.0]], ['2, k, 2', [0.298878, -0.436448, 1.0]], ['2, k, 3', [0.299548, -0.278439, 1.0]], ['2, k, 4', [0.101778, -0.55762, 1.0]], ['2, k, 5', [-0.012741, -0.732588, 1.0]], ['2, k, 6', [0.0827337, -0.890329, 1.0]], ['2, k, 7', [0.0990981, -0.906598, 1.0]], ['2, k, 8', [0.489234, -0.537546, 1.0]], ['2, k, 9', [0.534077, -0.723028, 1.0]], ['2, k, 10', [0.390904, -0.894095, 1.0]], ['2, k, 11', [0.331516, -0.954134, 1.0]], ['2, k, 12', [0.182882, -1.02294, 1.0]], ['2, k, 13', [0.190821, -1.38915, 1.0]], ['2, k, 14', [0.227292, -1.73223, 1.0]], ['2, k, 15', [0.288533, -1.80102, 1.0]], ['2, k, 16', [0.36053, -1.015, 1.0]], ['2, k, 17', [0.388658, -1.39403, 1.0]], ['2, k, 18', [0.385237, -1.74073, 1.0]], ['2, k, 19', [0.335869, -1.82033, 1.0]], ['2, k, 20', [0.296364, -0.510108, 1.0]], ['2, k, 21', [0.0928211, -0.941233, 1.0]], ['2, k, 22', [0.102705, -0.877366, 1.0]], ['2, k, 23', [0.266321, -1.01316, 1.0]], ['2, k, 24', [0.264269, -0.884694, 1.0]]]
[['2, k, 0', [0.274703, -1.031, 1.0]], ['2, k, 1', [0.287231, -0.732094, 1.0]], ['2, k, 2', [0.297994, -0.436109, 1.0]], ['2, k, 3', [0.299238, -0.278361, 1.0]], ['2, k, 4', [0.101633, -0.557704, 1.0]], ['2, k, 5', [-0.0153743, -0.730747, 1.0]], ['2, k, 6', [0.0808482, -0.886511, 1.0]], ['2, k, 7', [0.0986675, -0.868305, 1.0]], ['2, k, 8', [0.489253, -0.537536, 1.0]], ['2, k, 9', [0.533807, -0.722676, 1.0]], ['2, k, 10', [0.39087, -0.893123, 1.0]], ['2, k, 11', [0.331676, -0.952999, 1.0]], ['2, k, 12', [0.182676, -1.02289, 1.0]], ['2, k, 13', [0.190729, -1.38952, 1.0]], ['2, k, 14', [0.226997, -1.73236, 1.0]], ['2, k, 15', [0.291248, -1.79914, 1.0]], ['2, k, 16', [0.360288, -1.01501, 1.0]], ['2, k, 17', [0.388705, -1.39538, 1.0]], ['2, k, 18', [0.384137, -1.74248, 1.0]], ['2, k, 19', [0.335329, -1.82241, 1.0]], ['2, k, 20', [0.295567, -0.509808, 1.0]], ['2, k, 21', [0.102122, -0.92005, 1.0]], ['2, k, 22', [0.104088, -0.842932, 1.0]], ['2, k, 23', [0.266269, -1.01027, 1.0]], ['2, k, 24', [0.276484, -0.881753, 1.0]]]
