[['2, k, 0', [0.0790107, -0.896668, 1.0]], ['2, k, 1', [0.0850192, -0.584811, 1.0]], ['2, k, 2', [0.0906542, -0.277091, 1.0]], ['2, k, 3', [0.103099, -0.129063, 1.0]], ['2, k, 4', [-0.0877393, -0.37748, 1.0]], ['2, k, 5', [-0.171186, -0.631066, 1.0]], ['2, k, 6', [-0.193585, -0.896715, 1.0]], ['2, k, 7', [-0.198115, -0.953323, 1.0]], ['2, k, 8', [0.267592, -0.388986, 1.0]], ['2, k, 9', [0.337919, -0.651639, 1.0]], ['2, k, 10', [0.383845, -0.907104, 1.0]], ['2, k, 11', [0.373643, -0.961612, 1.0]], ['2, k, 12', [-0.00307344, -0.883674, 1.0]], ['2, k, 13', [-0.0241289, -1.2728, 1.0]], ['2, k, 14', [-0.0182713, -1.63183, 1.0]], ['2, k, 15', [-0.0370915, -1.70523, 1.0]], ['2, k, 16', [0.159254, -0.88976, 1.0]], ['2, k, 17', [0.153828, -1.35517, 1.0]], ['2, k, 18', [0.131117, -1.65991, 1.0]], ['2, k, 19', [0.142619, -1.71037, 1.0]], ['2, k, 20', [0.089313, -0.353552, 1.0]], ['2, k, 21', [-0.191232, -1.01054, 1.0]], ['2, k, 22', [-0.245124, -0.95074, 1.0]], ['2, k, 23', [0.38002, -1.01968, 1.0]], ['2, k, 24', [0.416642, -0.953701, 1.0]]]
[['2, k, 0', [0.0789098, -0.896878, 1.0]], ['2, k, 1', [0.0851033, -0.585158, 1.0]], ['2, k, 2', [0.0909839, -0.277528, 1.0]], ['2, k, 3', [0.102661, -0.129431, 1.0]], ['2, k, 4', [-0.0878452, -0.377631, 1.0]], ['2, k, 5', [-0.171619, -0.631224, 1.0]], ['2, k, 6', [-0.194158, -0.89755, 1.0]], ['2, k, 7', [-0.200964, -0.954788, 1.0]], ['2, k, 8', [0.267385, -0.389015, 1.0]], ['2, k, 9', [0.337722, -0.651408, 1.0]], ['2, k, 10', [0.383899, -0.907114, 1.0]], ['2, k, 11', [0.37327, -0.962268, 1.0]], ['2, k, 12', [-0.00320449, -0.883799, 1.0]], ['2, k, 13', [-0.0197504, -1.28684, 1.0]], ['2, k, 14', [-0.0171959, -1.64697, 1.0]], ['2, k, 15', [-0.0396289, -1.70652, 1.0]], ['2, k, 16', [0.159165, -0.89014, 1.0]], ['2, k, 17', [0.15384, -1.35518, 1.0]], ['2, k, 18', [0.130227, -1.65804, 1.0]], ['2, k, 19', [0.145441, -1.71169, 1.0]], ['2, k, 20', [0.0895799, -0.353976, 1.0]], ['2, k, 21', [-0.202735, -1.00858, 1.0]], ['2, k, 22', [-0.244883, -0.948181, 1.0]], ['2, k, 23', [0.377336, -1.01789, 1.0]], ['2, k, 24', [0.419432, -0.945766, 1.0]]]
[['2, k, 0', [0.0789388, -0.896852, 1.0]], ['2, k, 1', [0.0851196, -0.585163, 1.0]], ['2, k, 2', [0.0909948, -0.277565, 1.0]], ['2, k, 3', [0.102711, -0.129261, 1.0]], ['2, k, 4', [-0.0878588, -0.377599, 1.0]], ['2, k, 5', [-0.171461, -0.630391, 1.0]], ['2, k, 6', [-0.194261, -0.898019, 1.0]], ['2, k, 7', [-0.200394, -0.956831, 1.0]], ['2, k, 8', [0.267127, -0.388784, 1.0]], ['2, k, 9', [0.337675, -0.650715, 1.0]], ['2, k, 10', [0.383923, -0.907099, 1.0]], ['2, k, 11', [0.373282, -0.962227, 1.0]], ['2, k, 12', [-0.00316115, -0.883852, 1.0]], ['2, k, 13', [-0.0115458, -1.35206, 1.0]], ['2, k, 14', [-0.0184673, -1.65145, 1.0]], ['2, k, 15', [-0.0378373, -1.70624, 1.0]], ['2, k, 16', [0.159246, -0.889825, 1.0]], ['2, k, 17', [0.154448, -1.35474, 1.0]], ['2, k, 18', [0.130958, -1.65079, 1.0]], ['2, k, 19', [0.141653, -1.70969, 1.0]], ['2, k, 20', [0.0895934, -0.354005, 1.0]], ['2, k, 21', [-0.204797, -1.01388, 1.0]], ['2, k, 22', [-0.245836, -0.957192, 1.0]], ['2, k, 23', [0.37787, -1.01821, 1.0]], ['2, k, 24', [0.420006, -0.951916, 1.0]]]
[['2, k, 0', [0.0789179, -0.897414, 1.0]], ['2, k, 1', [0.0852979, -0.585467, 1.0]], ['2, k, 2', [0.0913844, -0.277717, 1.0]], ['2, k, 3', [0.102774, -0.129468, 1.0]], ['2, k, 4', [-0.0878319, -0.377685, 1.0]], ['2, k, 5', [-0.171907, -0.63052, 1.0]], ['2, k, 6', [-0.194249, -0.894329, 1.0]], ['2, k, 7', [-0.202307, -0.954663, 1.0]], ['2, k, 8', [0.26705, -0.388555, 1.0]], ['2, k, 9', [0.338093, -0.651936, 1.0]], ['2, k, 10', [0.384109, -0.906994, 1.0]], ['2, k, 11', [0.372429, -0.96082, 1.0]], ['2, k, 12', [-0.00316194, -0.88441, 1.0]], ['2, k, 13', [-0.0107427, -1.28888, 1.0]], ['2, k, 14', [-0.0166237, -1.64915, 1.0]], ['2, k, 15', [-0.0364065, -1.70659, 1.0]], ['2, k, 16', [0.159206, -0.890323, 1.0]], ['2, k, 17', [0.154251, -1.35482, 1.0]], ['2, k, 18', [0.131586, -1.64854, 1.0]], ['2, k, 19', [0.127116, -1.70549, 1.0]], ['2, k, 20', [0.0899185, -0.354194, 1.0]], ['2, k, 21', [-0.203554, -1.01148, 1.0]], ['2, k, 22', [-0.246296, -0.945943, 1.0]], ['2, k, 23', [0.37717, -1.01701, 1.0]], ['2, k, 24', [0.418912, -0.951373, 1.0]]]
[['2, k, 0', [0.0790796, -0.897577, 1.0]], ['2, k, 1', [0.0864463, -0.585891, 1.0]], ['2, k, 2', [0.0944085, -0.278358, 1.0]], ['2, k, 3', [0.103105, -0.129209, 1.0]], ['2, k, 4', [-0.0874774, -0.377288, 1.0]], ['2, k, 5', [-0.172031, -0.630415, 1.0]], ['2, k, 6', [-0.195104, -0.896281, 1.0]], ['2, k, 7', [-0.202272, -0.954977, 1.0]], ['2, k, 8', [0.267054, -0.388566, 1.0]], ['2, k, 9', [0.338015, -0.652012, 1.0]], ['2, k, 10', [0.384011, -0.90676, 1.0]], ['2, k, 11', [0.37401, -0.960588, 1.0]], ['2, k, 12', [-0.00297922, -0.884474, 1.0]], ['2, k, 13', [-0.0107126, -1.2894, 1.0]], ['2, k, 14', [-0.0161539, -1.65032, 1.0]], ['2, k, 15', [-0.0354228, -1.70721, 1.0]], ['2, k, 16', [0.159345, -0.890589, 1.0]], ['2, k, 17', [0.154104, -1.35477, 1.0]], ['2, k, 18', [0.131229, -1.65205, 1.0]], ['2, k, 19', [0.12717, -1.70902, 1.0]], ['2, k, 20', [0.0924067, -0.354793, 1.0]], ['2, k, 21', [-0.206724, -1.01166, 1.0]], ['2, k, 22', [-0.245093, -0.955761, 1.0]], ['2, k, 23', [0.378356, -1.02009, 1.0]], ['2, k, 24', [0.419745, -0.951613, 1.0]]]
[['2, k, 0', [0.0789865, -0.897216, 1.0]], ['2, k, 1', [0.086328, -0.585782, 1.0]], ['2, k, 2', [0.0940011, -0.278346, 1.0]], ['2, k, 3', [0.103166, -0.129261, 1.0]], ['2, k, 4', [-0.0874957, -0.3773, 1.0]], ['2, k, 5', [-0.172003, -0.629894, 1.0]], ['2, k, 6', [-0.194861, -0.895471, 1.0]], ['2, k, 7', [-0.200301, -0.952003, 1.0]], ['2, k, 8', [0.26699, -0.388511, 1.0]], ['2, k, 9', [0.337622, -0.651547, 1.0]], ['2, k, 10', [0.384016, -0.906759, 1.0]], ['2, k, 11', [0.37285, -0.961602, 1.0]], ['2, k, 12', [-0.00306077, -0.884261, 1.0]], ['2, k, 13', [-0.0109033, -1.35699, 1.0]], ['2, k, 14', [-0.0162039, -1.65463, 1.0]], ['2, k, 15', [-0.0345145, -1.70676, 1.0]], ['2, k, 16', [0.159239, -0.889974, 1.0]], ['2, k, 17', [0.15404, -1.35448, 1.0]], ['2, k, 18', [0.130915, -1.65324, 1.0]], ['2, k, 19', [0.131351, -1.71016, 1.0]], ['2, k, 20', [0.0921186, -0.354748, 1.0]], ['2, k, 21', [-0.200561, -1.01575, 1.0]], ['2, k, 22', [-0.245362, -0.949518, 1.0]], ['2, k, 23', [0.374385, -1.01988, 1.0]], ['2, k, 24', [0.419741, -0.951594, 1.0]]]
[['2, k, 0', [0.0789632, -0.897189, 1.0]], ['2, k, 1', [0.0859649, -0.585733, 1.0]], ['2, k, 2', [0.0926261, -0.278285, 1.0]], ['2, k, 3', [0.103059, -0.129238, 1.0]], ['2, k, 4', [-0.0875894, -0.377444, 1.0]], ['2, k, 5', [-0.172115, -0.629722, 1.0]], ['2, k, 6', [-0.194792, -0.895673, 1.0]], ['2, k, 7', [-0.200364, -0.954775, 1.0]], ['2, k, 8', [0.266819, -0.388461, 1.0]], ['2, k, 9', [0.33755, -0.65113, 1.0]], ['2, k, 10', [0.383782, -0.90755, 1.0]], ['2, k, 11', [0.372592, -0.961379, 1.0]], ['2, k, 12', [-0.00314286, -0.884322, 1.0]], ['2, k, 13', [-0.01127, -1.35708, 1.0]], ['2, k, 14', [-0.01628, -1.65366, 1.0]], ['2, k, 15', [-0.0345053, -1.70649, 1.0]], ['2, k, 16', [0.159221, -0.889749, 1.0]], ['2, k, 17', [0.154171, -1.35466, 1.0]], ['2, k, 18', [0.130967, -1.65258, 1.0]], ['2, k, 19', [0.134786, -1.71116, 1.0]], ['2, k, 20', [0.0910714, -0.354692, 1.0]], ['2, k, 21', [-0.20599, -1.01071, 1.0]], ['2, k, 22', [-0.24553, -0.950401, 1.0]], ['2, k, 23', [0.37732, -1.01727, 1.0]], ['2, k, 24', [0.419275, -0.951242, 1.0]]]
[['2, k, 0', [0.0790727, -0.897097, 1.0]], ['2, k, 1', [0.085945, -0.585674, 1.0]], ['2, k, 2', [0.0924155, -0.278239, 1.0]], ['2, k, 3', [0.102879, -0.129408, 1.0]], ['2, k, 4', [-0.0878481, -0.377603, 1.0]], ['2, k, 5', [-0.17215, -0.630131, 1.0]], ['2, k, 6', [-0.19481, -0.895649, 1.0]], ['2, k, 7', [-0.203241, -0.956387, 1.0]], ['2, k, 8', [0.266777, -0.388182, 1.0]], ['2, k, 9', [0.337551, -0.651324, 1.0]], ['2, k, 10', [0.38362, -0.907158, 1.0]], ['2, k, 11', [0.371306, -0.961008, 1.0]], ['2, k, 12', [-0.00308212, -0.884384, 1.0]], ['2, k, 13', [-0.0154798, -1.28395, 1.0]], ['2, k, 14', [-0.015905, -1.64457, 1.0]], ['2, k, 15', [-0.0343364, -1.70653, 1.0]], ['2, k, 16', [0.15947, -0.889214, 1.0]], ['2, k, 17', [0.153607, -1.35456, 1.0]], ['2, k, 18', [0.130561, -1.65205, 1.0]], ['2, k, 19', [0.13577, -1.71111, 1.0]], ['2, k, 20', [0.0909157, -0.354644, 1.0]], ['2, k, 21', [-0.208418, -1.01414, 1.0]], ['2, k, 22', [-0.246136, -0.946803, 1.0]], ['2, k, 23', [0.372485, -1.01703, 1.0]], ['2, k, 24', [0.419376, -0.953601, 1.0]]]
[['2, k, 0', [0.0788784, -0.897177, 1.0]], ['2, k, 1', [0.0857837, -0.585649, 1.0]], ['2, k, 2', [0.0922385, -0.278081, 1.0]], ['2, k, 3', [0.102932, -0.129227, 1.0]], ['2, k, 4', [-0.0879798, -0.377542, 1.0]], ['2, k, 5', [-0.172095, -0.630202, 1.0]], ['2, k, 6', [-0.194663, -0.896223, 1.0]], ['2, k, 7', [-0.200788, -0.955633, 1.0]], ['2, k, 8', [0.266503, -0.388435, 1.0]], ['2, k, 9', [0.337554, -0.650765, 1.0]], ['2, k, 10', [0.3835, -0.907212, 1.0]], ['2, k, 11', [0.372526, -0.961594, 1.0]], ['2, k, 12', [-0.00330435, -0.8842, 1.0]], ['2, k, 13', [-0.0156619, -1.28589, 1.0]], ['2, k, 14', [-0.0168265, -1.64716, 1.0]], ['2, k, 15', [-0.0346463, -1.70686, 1.0]], ['2, k, 16', [0.159099, -0.889781, 1.0]], ['2, k, 17', [0.1532, -1.35469, 1.0]], ['2, k, 18', [0.130597, -1.65189, 1.0]], ['2, k, 19', [0.142482, -1.71141, 1.0]], ['2, k, 20', [0.090743, -0.354526, 1.0]], ['2, k, 21', [-0.201076, -1.0106, 1.0]], ['2, k, 22', [-0.246417, -0.952797, 1.0]], ['2, k, 23', [0.373529, -1.01876, 1.0]], ['2, k, 24', [0.419245, -0.95165, 1.0]]]
[['2, k, 0', [0.0787706, -0.897134, 1.0]], ['2, k, 1', [0.0855129, -0.58557, 1.0]], ['2, k, 2', [0.0916119, -0.277899, 1.0]], ['2, k, 3', [0.10306, -0.129129, 1.0]], ['2, k, 4', [-0.0879866, -0.37742, 1.0]], ['2, k, 5', [-0.172167, -0.630224, 1.0]], ['2, k, 6', [-0.194572, -0.896747, 1.0]], ['2, k, 7', [-0.199936, -0.951881, 1.0]], ['2, k, 8', [0.266534, -0.388824, 1.0]], ['2, k, 9', [0.337837, -0.651561, 1.0]], ['2, k, 10', [0.38371, -0.907073, 1.0]], ['2, k, 11', [0.371826, -0.961283, 1.0]], ['2, k, 12', [-0.00347732, -0.884277, 1.0]], ['2, k, 13', [-0.0175042, -1.35601, 1.0]], ['2, k, 14', [-0.0166419, -1.65546, 1.0]], ['2, k, 15', [-0.0352661, -1.70676, 1.0]], ['2, k, 16', [0.159042, -0.889647, 1.0]], ['2, k, 17', [0.152917, -1.35441, 1.0]], ['2, k, 18', [0.130907, -1.6521, 1.0]], ['2, k, 19', [0.142863, -1.71146, 1.0]], ['2, k, 20', [0.0902244, -0.354378, 1.0]], ['2, k, 21', [-0.196935, -1.01017, 1.0]], ['2, k, 22', [-0.245765, -0.949916, 1.0]], ['2, k, 23', [0.373699, -1.01917, 1.0]], ['2, k, 24', [0.418783, -0.950524, 1.0]]]
[['2, k, 0', [0.0790279, -0.897152, 1.0]], ['2, k, 1', [0.0855858, -0.585711, 1.0]], ['2, k, 2', [0.0914708, -0.2782, 1.0]], ['2, k, 3', [0.103373, -0.128946, 1.0]], ['2, k, 4', [-0.0878691, -0.377223, 1.0]], ['2, k, 5', [-0.172157, -0.630174, 1.0]], ['2, k, 6', [-0.195253, -0.89738, 1.0]], ['2, k, 7', [-0.201548, -0.955239, 1.0]], ['2, k, 8', [0.266649, -0.388931, 1.0]], ['2, k, 9', [0.337645, -0.651836, 1.0]], ['2, k, 10', [0.383494, -0.906983, 1.0]], ['2, k, 11', [0.371325, -0.963122, 1.0]], ['2, k, 12', [-0.00310986, -0.884508, 1.0]], ['2, k, 13', [-0.0175197, -1.35612, 1.0]], ['2, k, 14', [-0.0174958, -1.65659, 1.0]], ['2, k, 15', [-0.0364894, -1.70848, 1.0]], ['2, k, 16', [0.15925, -0.88953, 1.0]], ['2, k, 17', [0.152926, -1.35436, 1.0]], ['2, k, 18', [0.131057, -1.65201, 1.0]], ['2, k, 19', [0.143158, -1.71034, 1.0]], ['2, k, 20', [0.0901385, -0.354634, 1.0]], ['2, k, 21', [-0.207099, -1.01289, 1.0]], ['2, k, 22', [-0.24547, -0.948183, 1.0]], ['2, k, 23', [0.373297, -1.0181, 1.0]], ['2, k, 24', [0.418795, -0.956471, 1.0]]]
