[['2, k, 0', [-0.299466, -0.298552, 1.0]], ['2, k, 1', [-0.311361, -0.00519477, 1.0]], ['2, k, 2', [-0.321208, 0.281213, 1.0]], ['2, k, 3', [-0.300058, 0.394161, 1.0]], ['2, k, 4', [-0.464169, 0.210895, 1.0]], ['2, k, 5', [-0.599904, 0.416022, 1.0]], ['2, k, 6', [-0.615841, 0.614363, 1.0]], ['2, k, 7', [-0.606696, 0.695077, 1.0]], ['2, k, 8', [-0.144587, 0.186503, 1.0]], ['2, k, 9', [-0.0428345, 0.373896, 1.0]], ['2, k, 10', [-0.0496477, 0.580364, 1.0]], ['2, k, 11', [-0.073495, 0.674333, 1.0]], ['2, k, 12', [-0.368175, -0.288814, 1.0]], ['2, k, 13', [-0.390348, -0.549916, 1.0]], ['2, k, 14', [-0.444937, -1.02279, 1.0]], ['2, k, 15', [-0.442139, -1.09082, 1.0]], ['2, k, 16', [-0.222551, -0.300147, 1.0]], ['2, k, 17', [-0.170917, -0.624343, 1.0]], ['2, k, 18', [-0.145425, -1.01513, 1.0]], ['2, k, 19', [-0.130005, -1.08789, 1.0]], ['2, k, 20', [-0.319096, 0.210618, 1.0]], ['2, k, 21', [-0.597831, 0.751662, 1.0]], ['2, k, 22', [-0.651291, 0.691785, 1.0]], ['2, k, 23', [-0.102651, 0.730343, 1.0]], ['2, k, 24', [-0.139085, 0.70754, 1.0]]]
[['2, k, 0', [-0.289152, -0.297432, 1.0]], ['2, k, 1', [-0.307247, -0.00569131, 1.0]], ['2, k, 2', [-0.320527, 0.280741, 1.0]], ['2, k, 3', [-0.299954, 0.394109, 1.0]], ['2, k, 4', [-0.464301, 0.210775, 1.0]], ['2, k, 5', [-0.601356, 0.414972, 1.0]], ['2, k, 6', [-0.615672, 0.613729, 1.0]], ['2, k, 7', [-0.60669, 0.693069, 1.0]], ['2, k, 8', [-0.144596, 0.186582, 1.0]], ['2, k, 9', [-0.0411678, 0.372991, 1.0]], ['2, k, 10', [-0.0490895, 0.5816, 1.0]], ['2, k, 11', [-0.0656062, 0.675158, 1.0]], ['2, k, 12', [-0.357652, -0.288313, 1.0]], ['2, k, 13', [-0.39034, -0.549863, 1.0]], ['2, k, 14', [-0.444941, -1.02271, 1.0]], ['2, k, 15', [-0.442158, -1.0909, 1.0]], ['2, k, 16', [-0.212659, -0.298413, 1.0]], ['2, k, 17', [-0.170759, -0.624326, 1.0]], ['2, k, 18', [-0.145529, -1.0152, 1.0]], ['2, k, 19', [-0.130005, -1.08789, 1.0]], ['2, k, 20', [-0.317855, 0.210012, 1.0]], ['2, k, 21', [-0.600804, 0.743292, 1.0]], ['2, k, 22', [-0.65162, 0.710715, 1.0]], ['2, k, 23', [-0.0883203, 0.72988, 1.0]], ['2, k, 24', [-0.125622, 0.70725, 1.0]]]
[['2, k, 0', [-0.289433, -0.297453, 1.0]], ['2, k, 1', [-0.307328, -0.00641379, 1.0]], ['2, k, 2', [-0.320492, 0.279209, 1.0]], ['2, k, 3', [-0.300066, 0.3944, 1.0]], ['2, k, 4', [-0.467368, 0.209093, 1.0]], ['2, k, 5', [-0.603288, 0.407168, 1.0]], ['2, k, 6', [-0.617293, 0.616446, 1.0]], ['2, k, 7', [-0.608945, 0.691248, 1.0]], ['2, k, 8', [-0.144579, 0.187178, 1.0]], ['2, k, 9', [-0.0375655, 0.374998, 1.0]], ['2, k, 10', [-0.0500089, 0.603141, 1.0]], ['2, k, 11', [-0.0709137, 0.680989, 1.0]], ['2, k, 12', [-0.358198, -0.28862, 1.0]], ['2, k, 13', [-0.392681, -0.664045, 1.0]], ['2, k, 14', [-0.442316, -1.02387, 1.0]], ['2, k, 15', [-0.442608, -1.09109, 1.0]], ['2, k, 16', [-0.212886, -0.298271, 1.0]], ['2, k, 17', [-0.174176, -0.669241, 1.0]], ['2, k, 18', [-0.144612, -1.02561, 1.0]], ['2, k, 19', [-0.132623, -1.08669, 1.0]], ['2, k, 20', [-0.317798, 0.208806, 1.0]], ['2, k, 21', [-0.598661, 0.741735, 1.0]], ['2, k, 22', [-0.657069, 0.70983, 1.0]], ['2, k, 23', [-0.102928, 0.726687, 1.0]], ['2, k, 24', [-0.142732, 0.706753, 1.0]]]
[['2, k, 0', [-0.290514, -0.295859, 1.0]], ['2, k, 1', [-0.307906, -0.00625887, 1.0]], ['2, k, 2', [-0.321141, 0.277866, 1.0]], ['2, k, 3', [-0.300392, 0.394838, 1.0]], ['2, k, 4', [-0.470418, 0.206944, 1.0]], ['2, k, 5', [-0.604242, 0.403689, 1.0]], ['2, k, 6', [-0.619787, 0.616777, 1.0]], ['2, k, 7', [-0.607166, 0.690842, 1.0]], ['2, k, 8', [-0.145315, 0.189047, 1.0]], ['2, k, 9', [-0.037373, 0.37661, 1.0]], ['2, k, 10', [-0.0496232, 0.607514, 1.0]], ['2, k, 11', [-0.0701089, 0.686346, 1.0]], ['2, k, 12', [-0.359297, -0.287806, 1.0]], ['2, k, 13', [-0.393697, -0.680867, 1.0]], ['2, k, 14', [-0.440656, -1.02837, 1.0]], ['2, k, 15', [-0.443672, -1.09273, 1.0]], ['2, k, 16', [-0.213891, -0.295532, 1.0]], ['2, k, 17', [-0.173137, -0.680656, 1.0]], ['2, k, 18', [-0.143079, -1.03242, 1.0]], ['2, k, 19', [-0.133151, -1.0865, 1.0]], ['2, k, 20', [-0.318289, 0.207983, 1.0]], ['2, k, 21', [-0.592348, 0.742364, 1.0]], ['2, k, 22', [-0.655297, 0.702526, 1.0]], ['2, k, 23', [-0.102597, 0.735783, 1.0]], ['2, k, 24', [-0.145082, 0.712631, 1.0]]]
[['2, k, 0', [-0.290889, -0.294942, 1.0]], ['2, k, 1', [-0.308023, -0.00588464, 1.0]], ['2, k, 2', [-0.321193, 0.277695, 1.0]], ['2, k, 3', [-0.302915, 0.39607, 1.0]], ['2, k, 4', [-0.470422, 0.2069, 1.0]], ['2, k, 5', [-0.603197, 0.396116, 1.0]], ['2, k, 6', [-0.620843, 0.615105, 1.0]], ['2, k, 7', [-0.610019, 0.690453, 1.0]], ['2, k, 8', [-0.145578, 0.189957, 1.0]], ['2, k, 9', [-0.0384931, 0.391353, 1.0]], ['2, k, 10', [-0.0493555, 0.611302, 1.0]], ['2, k, 11', [-0.0717762, 0.690902, 1.0]], ['2, k, 12', [-0.359768, -0.287165, 1.0]], ['2, k, 13', [-0.393373, -0.681065, 1.0]], ['2, k, 14', [-0.439801, -1.02904, 1.0]], ['2, k, 15', [-0.445306, -1.09444, 1.0]], ['2, k, 16', [-0.214122, -0.294357, 1.0]], ['2, k, 17', [-0.173126, -0.680581, 1.0]], ['2, k, 18', [-0.142854, -1.03419, 1.0]], ['2, k, 19', [-0.133402, -1.0862, 1.0]], ['2, k, 20', [-0.318347, 0.207856, 1.0]], ['2, k, 21', [-0.596644, 0.741131, 1.0]], ['2, k, 22', [-0.654327, 0.696363, 1.0]], ['2, k, 23', [-0.100996, 0.736807, 1.0]], ['2, k, 24', [-0.145584, 0.715102, 1.0]]]
[['2, k, 0', [-0.291594, -0.293982, 1.0]], ['2, k, 1', [-0.307986, -0.00588615, 1.0]], ['2, k, 2', [-0.320591, 0.276229, 1.0]], ['2, k, 3', [-0.305257, 0.397268, 1.0]], ['2, k, 4', [-0.470591, 0.206797, 1.0]], ['2, k, 5', [-0.601804, 0.391228, 1.0]], ['2, k, 6', [-0.62026, 0.611636, 1.0]], ['2, k, 7', [-0.611411, 0.69101, 1.0]], ['2, k, 8', [-0.145756, 0.190706, 1.0]], ['2, k, 9', [-0.0414208, 0.385957, 1.0]], ['2, k, 10', [-0.049001, 0.615295, 1.0]], ['2, k, 11', [-0.0685295, 0.693752, 1.0]], ['2, k, 12', [-0.360638, -0.286417, 1.0]], ['2, k, 13', [-0.392742, -0.681372, 1.0]], ['2, k, 14', [-0.439057, -1.03028, 1.0]], ['2, k, 15', [-0.445879, -1.09602, 1.0]], ['2, k, 16', [-0.214682, -0.29316, 1.0]], ['2, k, 17', [-0.173078, -0.680229, 1.0]], ['2, k, 18', [-0.142227, -1.03492, 1.0]], ['2, k, 19', [-0.133647, -1.08617, 1.0]], ['2, k, 20', [-0.317877, 0.206771, 1.0]], ['2, k, 21', [-0.601434, 0.738822, 1.0]], ['2, k, 22', [-0.657153, 0.691215, 1.0]], ['2, k, 23', [-0.0817684, 0.748671, 1.0]], ['2, k, 24', [-0.135918, 0.718666, 1.0]]]
[['2, k, 0', [-0.292053, -0.293325, 1.0]], ['2, k, 1', [-0.308364, -0.00577843, 1.0]], ['2, k, 2', [-0.321491, 0.27577, 1.0]], ['2, k, 3', [-0.307323, 0.397743, 1.0]], ['2, k, 4', [-0.470958, 0.206672, 1.0]], ['2, k, 5', [-0.602879, 0.389813, 1.0]], ['2, k, 6', [-0.617085, 0.621726, 1.0]], ['2, k, 7', [-0.609477, 0.690198, 1.0]], ['2, k, 8', [-0.147758, 0.197496, 1.0]], ['2, k, 9', [-0.0458597, 0.390891, 1.0]], ['2, k, 10', [-0.0485089, 0.618959, 1.0]], ['2, k, 11', [-0.0681466, 0.697827, 1.0]], ['2, k, 12', [-0.361211, -0.286314, 1.0]], ['2, k, 13', [-0.392742, -0.681387, 1.0]], ['2, k, 14', [-0.438338, -1.03082, 1.0]], ['2, k, 15', [-0.44609, -1.09628, 1.0]], ['2, k, 16', [-0.214994, -0.291693, 1.0]], ['2, k, 17', [-0.173051, -0.680152, 1.0]], ['2, k, 18', [-0.14218, -1.03589, 1.0]], ['2, k, 19', [-0.13414, -1.08587, 1.0]], ['2, k, 20', [-0.318633, 0.206468, 1.0]], ['2, k, 21', [-0.59715, 0.741672, 1.0]], ['2, k, 22', [-0.655731, 0.695488, 1.0]], ['2, k, 23', [-0.0849732, 0.752908, 1.0]], ['2, k, 24', [-0.135756, 0.724841, 1.0]]]
[['2, k, 0', [-0.292671, -0.293491, 1.0]], ['2, k, 1', [-0.30885, -0.00605624, 1.0]], ['2, k, 2', [-0.322188, 0.275156, 1.0]], ['2, k, 3', [-0.309432, 0.39795, 1.0]], ['2, k, 4', [-0.471447, 0.206504, 1.0]], ['2, k, 5', [-0.604327, 0.389646, 1.0]], ['2, k, 6', [-0.617991, 0.621497, 1.0]], ['2, k, 7', [-0.61108, 0.68669, 1.0]], ['2, k, 8', [-0.147795, 0.197352, 1.0]], ['2, k, 9', [-0.0476603, 0.394988, 1.0]], ['2, k, 10', [-0.0481016, 0.622156, 1.0]], ['2, k, 11', [-0.0675876, 0.698922, 1.0]], ['2, k, 12', [-0.361974, -0.286553, 1.0]], ['2, k, 13', [-0.392719, -0.68132, 1.0]], ['2, k, 14', [-0.438191, -1.03138, 1.0]], ['2, k, 15', [-0.446279, -1.09644, 1.0]], ['2, k, 16', [-0.215492, -0.291893, 1.0]], ['2, k, 17', [-0.17318, -0.68054, 1.0]], ['2, k, 18', [-0.14214, -1.03616, 1.0]], ['2, k, 19', [-0.134147, -1.08587, 1.0]], ['2, k, 20', [-0.319293, 0.205908, 1.0]], ['2, k, 21', [-0.600572, 0.738845, 1.0]], ['2, k, 22', [-0.655479, 0.690815, 1.0]], ['2, k, 23', [-0.0824107, 0.752507, 1.0]], ['2, k, 24', [-0.134336, 0.723984, 1.0]]]
[['2, k, 0', [-0.2933, -0.293504, 1.0]], ['2, k, 1', [-0.309818, -0.00616526, 1.0]], ['2, k, 2', [-0.324334, 0.274726, 1.0]], ['2, k, 3', [-0.311313, 0.397734, 1.0]], ['2, k, 4', [-0.47189, 0.206292, 1.0]], ['2, k, 5', [-0.60762, 0.39787, 1.0]], ['2, k, 6', [-0.621042, 0.612065, 1.0]], ['2, k, 7', [-0.61187, 0.687434, 1.0]], ['2, k, 8', [-0.148059, 0.197076, 1.0]], ['2, k, 9', [-0.0495152, 0.398695, 1.0]], ['2, k, 10', [-0.0482625, 0.623429, 1.0]], ['2, k, 11', [-0.0677563, 0.701672, 1.0]], ['2, k, 12', [-0.362752, -0.286632, 1.0]], ['2, k, 13', [-0.392748, -0.681373, 1.0]], ['2, k, 14', [-0.438081, -1.03171, 1.0]], ['2, k, 15', [-0.446434, -1.09672, 1.0]], ['2, k, 16', [-0.215954, -0.291927, 1.0]], ['2, k, 17', [-0.173274, -0.680678, 1.0]], ['2, k, 18', [-0.141939, -1.03662, 1.0]], ['2, k, 19', [-0.134154, -1.08587, 1.0]], ['2, k, 20', [-0.321077, 0.205561, 1.0]], ['2, k, 21', [-0.591013, 0.739025, 1.0]], ['2, k, 22', [-0.656394, 0.697837, 1.0]], ['2, k, 23', [-0.0789063, 0.757359, 1.0]], ['2, k, 24', [-0.134571, 0.725247, 1.0]]]
[['2, k, 0', [-0.294679, -0.292307, 1.0]], ['2, k, 1', [-0.311042, -0.00561187, 1.0]], ['2, k, 2', [-0.325577, 0.274779, 1.0]], ['2, k, 3', [-0.314343, 0.39762, 1.0]], ['2, k, 4', [-0.479731, 0.202578, 1.0]], ['2, k, 5', [-0.606716, 0.393566, 1.0]], ['2, k, 6', [-0.619361, 0.613842, 1.0]], ['2, k, 7', [-0.609859, 0.686142, 1.0]], ['2, k, 8', [-0.148175, 0.196977, 1.0]], ['2, k, 9', [-0.0536299, 0.392682, 1.0]], ['2, k, 10', [-0.0478086, 0.621504, 1.0]], ['2, k, 11', [-0.0620556, 0.700805, 1.0]], ['2, k, 12', [-0.363549, -0.286676, 1.0]], ['2, k, 13', [-0.392767, -0.681341, 1.0]], ['2, k, 14', [-0.43803, -1.03234, 1.0]], ['2, k, 15', [-0.446649, -1.09692, 1.0]], ['2, k, 16', [-0.218231, -0.288404, 1.0]], ['2, k, 17', [-0.173506, -0.681066, 1.0]], ['2, k, 18', [-0.14191, -1.03669, 1.0]], ['2, k, 19', [-0.134314, -1.08587, 1.0]], ['2, k, 20', [-0.322295, 0.205719, 1.0]], ['2, k, 21', [-0.585916, 0.733534, 1.0]], ['2, k, 22', [-0.653752, 0.697076, 1.0]], ['2, k, 23', [-0.0663081, 0.763577, 1.0]], ['2, k, 24', [-0.121723, 0.726752, 1.0]]]
[['2, k, 0', [-0.296277, -0.29119, 1.0]], ['2, k, 1', [-0.311964, -0.00521783, 1.0]], ['2, k, 2', [-0.326098, 0.274726, 1.0]], ['2, k, 3', [-0.317192, 0.397716, 1.0]], ['2, k, 4', [-0.479384, 0.202936, 1.0]], ['2, k, 5', [-0.605887, 0.398592, 1.0]], ['2, k, 6', [-0.617576, 0.61614, 1.0]], ['2, k, 7', [-0.61031, 0.686275, 1.0]], ['2, k, 8', [-0.148473, 0.196964, 1.0]], ['2, k, 9', [-0.0550165, 0.392677, 1.0]], ['2, k, 10', [-0.0484152, 0.625378, 1.0]], ['2, k, 11', [-0.063517, 0.702264, 1.0]], ['2, k, 12', [-0.365008, -0.286627, 1.0]], ['2, k, 13', [-0.393071, -0.680406, 1.0]], ['2, k, 14', [-0.437534, -1.03267, 1.0]], ['2, k, 15', [-0.446795, -1.09708, 1.0]], ['2, k, 16', [-0.219886, -0.286282, 1.0]], ['2, k, 17', [-0.173895, -0.681862, 1.0]], ['2, k, 18', [-0.141761, -1.03716, 1.0]], ['2, k, 19', [-0.134341, -1.08612, 1.0]], ['2, k, 20', [-0.32287, 0.205746, 1.0]], ['2, k, 21', [-0.591013, 0.736448, 1.0]], ['2, k, 22', [-0.653935, 0.692221, 1.0]], ['2, k, 23', [-0.0732333, 0.763732, 1.0]], ['2, k, 24', [-0.126017, 0.726346, 1.0]]]
