[['2, k, 0', [-0.2014018, -0.4349373, 1.0]], ['2, k, 1', [-0.2125513, -0.1963638, 1.0]], ['2, k, 2', [-0.2222777, 0.03765809, 1.0]], ['2, k, 3', [-0.2378142, 0.1785526, 1.0]], ['2, k, 4', [-0.3776778, -0.07510085, 1.0]], ['2, k, 5', [-0.4566357, -0.3067976, 1.0]], ['2, k, 6', [-0.3246002, -0.3332638, 1.0]], ['2, k, 7', [-0.2842867, -0.3326686, 1.0]], ['2, k, 8', [-0.04654311, -0.07178679, 1.0]], ['2, k, 9', [0.03064494, -0.2904558, 1.0]], ['2, k, 10', [0.004737478, -0.4251016, 1.0]], ['2, k, 11', [-0.04300771, -0.4378829, 1.0]], ['2, k, 12', [-0.2702874, -0.4290907, 1.0]], ['2, k, 13', [-0.2745472, -0.5407612, 1.0]], ['2, k, 14', [-0.2089961, -0.9033634, 1.0]], ['2, k, 15', [-0.200462, -0.9605237, 1.0]], ['2, k, 16', [-0.1276125, -0.4301364, 1.0]], ['2, k, 17', [-0.04548995, -0.5074073, 1.0]], ['2, k, 18', [-0.01496044, -0.9073502, 1.0]], ['2, k, 19', [-0.006843268, -0.941753, 1.0]], ['2, k, 20', [-0.2200484, -0.02028695, 1.0]], ['2, k, 21', [-0.278253, -0.3331988, 1.0]], ['2, k, 22', [-0.2576772, -0.3668887, 1.0]], ['2, k, 23', [-0.06759201, -0.4680094, 1.0]], ['2, k, 24', [-0.0008863471, -0.4685242, 1.0]]]
[['2, k, 0', [-0.2014397, -0.4349788, 1.0]], ['2, k, 1', [-0.2126273, -0.1964259, 1.0]], ['2, k, 2', [-0.2224689, 0.03753103, 1.0]], ['2, k, 3', [-0.2376801, 0.1785203, 1.0]], ['2, k, 4', [-0.3775198, -0.07523349, 1.0]], ['2, k, 5', [-0.456596, -0.3067965, 1.0]], ['2, k, 6', [-0.3194309, -0.3354225, 1.0]], ['2, k, 7', [-0.2861205, -0.3316024, 1.0]], ['2, k, 8', [-0.04655761, -0.07183895, 1.0]], ['2, k, 9', [0.0320273, -0.2872681, 1.0]], ['2, k, 10', [0.004480346, -0.4261502, 1.0]], ['2, k, 11', [-0.04418978, -0.4380648, 1.0]], ['2, k, 12', [-0.2703191, -0.4291202, 1.0]], ['2, k, 13', [-0.2745961, -0.540692, 1.0]], ['2, k, 14', [-0.2090352, -0.9034024, 1.0]], ['2, k, 15', [-0.2006087, -0.9607231, 1.0]], ['2, k, 16', [-0.1276571, -0.4301927, 1.0]], ['2, k, 17', [-0.04549508, -0.5072901, 1.0]], ['2, k, 18', [-0.01468809, -0.9062216, 1.0]], ['2, k, 19', [-0.006504724, -0.9406286, 1.0]], ['2, k, 20', [-0.2202042, -0.02039452, 1.0]], ['2, k, 21', [-0.2782518, -0.3309046, 1.0]], ['2, k, 22', [-0.2583359, -0.3670013, 1.0]], ['2, k, 23', [-0.06789018, -0.4691319, 1.0]], ['2, k, 24', [-0.01387088, -0.4667821, 1.0]]]
[['2, k, 0', [-0.2014481, -0.4350134, 1.0]], ['2, k, 1', [-0.2126039, -0.1964603, 1.0]], ['2, k, 2', [-0.2224032, 0.03747234, 1.0]], ['2, k, 3', [-0.2376836, 0.1785088, 1.0]], ['2, k, 4', [-0.3776158, -0.07517569, 1.0]], ['2, k, 5', [-0.4576754, -0.3069779, 1.0]], ['2, k, 6', [-0.3479411, -0.3366106, 1.0]], ['2, k, 7', [-0.2888502, -0.331354, 1.0]], ['2, k, 8', [-0.04656309, -0.07192549, 1.0]], ['2, k, 9', [0.03768985, -0.2901674, 1.0]], ['2, k, 10', [0.005522127, -0.4254212, 1.0]], ['2, k, 11', [-0.04319848, -0.4381451, 1.0]], ['2, k, 12', [-0.2703278, -0.4291618, 1.0]], ['2, k, 13', [-0.2746058, -0.540646, 1.0]], ['2, k, 14', [-0.2090579, -0.9035295, 1.0]], ['2, k, 15', [-0.2004386, -0.9608664, 1.0]], ['2, k, 16', [-0.1276648, -0.4302227, 1.0]], ['2, k, 17', [-0.04549039, -0.5073068, 1.0]], ['2, k, 18', [-0.01379145, -0.896508, 1.0]], ['2, k, 19', [-0.0056857, -0.9310202, 1.0]], ['2, k, 20', [-0.2201508, -0.02044578, 1.0]], ['2, k, 21', [-0.2813847, -0.3270045, 1.0]], ['2, k, 22', [-0.252189, -0.3496719, 1.0]], ['2, k, 23', [-0.0677657, -0.4682661, 1.0]], ['2, k, 24', [-0.01590467, -0.4665263, 1.0]]]
[['2, k, 0', [-0.2015426, -0.4350473, 1.0]], ['2, k, 1', [-0.2126102, -0.1964736, 1.0]], ['2, k, 2', [-0.2223639, 0.03746349, 1.0]], ['2, k, 3', [-0.2377668, 0.1784373, 1.0]], ['2, k, 4', [-0.3776086, -0.07515429, 1.0]], ['2, k, 5', [-0.4560447, -0.3056653, 1.0]], ['2, k, 6', [-0.340398, -0.3227333, 1.0]], ['2, k, 7', [-0.2924698, -0.3235574, 1.0]], ['2, k, 8', [-0.04662623, -0.07189835, 1.0]], ['2, k, 9', [0.015731, -0.295332, 1.0]], ['2, k, 10', [0.00548211, -0.4304492, 1.0]], ['2, k, 11', [-0.04079434, -0.4386191, 1.0]], ['2, k, 12', [-0.2704139, -0.4291904, 1.0]], ['2, k, 13', [-0.2746202, -0.5405754, 1.0]], ['2, k, 14', [-0.2090983, -0.9043103, 1.0]], ['2, k, 15', [-0.2005343, -0.9612901, 1.0]], ['2, k, 16', [-0.1277668, -0.4302635, 1.0]], ['2, k, 17', [-0.04548138, -0.5074162, 1.0]], ['2, k, 18', [-0.01397384, -0.8998135, 1.0]], ['2, k, 19', [-0.005895242, -0.9342749, 1.0]], ['2, k, 20', [-0.2201232, -0.02045499, 1.0]], ['2, k, 21', [-0.2857524, -0.3223138, 1.0]], ['2, k, 22', [-0.2585077, -0.3276681, 1.0]], ['2, k, 23', [-0.06485142, -0.4681261, 1.0]], ['2, k, 24', [-0.00036447, -0.4702773, 1.0]]]
[['2, k, 0', [-0.2015188, -0.4350693, 1.0]], ['2, k, 1', [-0.2126006, -0.1964815, 1.0]], ['2, k, 2', [-0.22238, 0.03746707, 1.0]], ['2, k, 3', [-0.2381208, 0.1784123, 1.0]], ['2, k, 4', [-0.3778633, -0.07519812, 1.0]], ['2, k, 5', [-0.4177323, -0.2766766, 1.0]], ['2, k, 6', [-0.3367874, -0.3245059, 1.0]], ['2, k, 7', [-0.2957783, -0.3226911, 1.0]], ['2, k, 8', [-0.0466243, -0.0719998, 1.0]], ['2, k, 9', [0.02819994, -0.2921126, 1.0]], ['2, k, 10', [0.005956654, -0.4278869, 1.0]], ['2, k, 11', [-0.0425157, -0.4388928, 1.0]], ['2, k, 12', [-0.2703483, -0.429268, 1.0]], ['2, k, 13', [-0.2746228, -0.5404046, 1.0]], ['2, k, 14', [-0.2091134, -0.9042757, 1.0]], ['2, k, 15', [-0.2005415, -0.9612745, 1.0]], ['2, k, 16', [-0.1277518, -0.4302683, 1.0]], ['2, k, 17', [-0.04551539, -0.5073956, 1.0]], ['2, k, 18', [-0.01206108, -0.8925549, 1.0]], ['2, k, 19', [-0.004093635, -0.9270959, 1.0]], ['2, k, 20', [-0.2201298, -0.02045523, 1.0]], ['2, k, 21', [-0.2905116, -0.3217876, 1.0]], ['2, k, 22', [-0.2864532, -0.2840496, 1.0]], ['2, k, 23', [-0.06808144, -0.4676813, 1.0]], ['2, k, 24', [-0.001091756, -0.4699807, 1.0]]]
[['2, k, 0', [-0.2015738, -0.435063, 1.0]], ['2, k, 1', [-0.212642, -0.1965018, 1.0]], ['2, k, 2', [-0.2224568, 0.03737948, 1.0]], ['2, k, 3', [-0.2382013, 0.1783718, 1.0]], ['2, k, 4', [-0.3783235, -0.07511767, 1.0]], ['2, k, 5', [-0.4542357, -0.3027412, 1.0]], ['2, k, 6', [-0.3458968, -0.3203577, 1.0]], ['2, k, 7', [-0.3009189, -0.3149757, 1.0]], ['2, k, 8', [-0.04669147, -0.07185841, 1.0]], ['2, k, 9', [0.0195051, -0.2944971, 1.0]], ['2, k, 10', [0.00574046, -0.43028, 1.0]], ['2, k, 11', [-0.04089218, -0.4383649, 1.0]], ['2, k, 12', [-0.2704234, -0.4292893, 1.0]], ['2, k, 13', [-0.2746337, -0.5403396, 1.0]], ['2, k, 14', [-0.2092047, -0.9041024, 1.0]], ['2, k, 15', [-0.2004869, -0.9610618, 1.0]], ['2, k, 16', [-0.1278205, -0.4302398, 1.0]], ['2, k, 17', [-0.04558638, -0.5073613, 1.0]], ['2, k, 18', [-0.01295429, -0.8993774, 1.0]], ['2, k, 19', [-0.004990106, -0.9338225, 1.0]], ['2, k, 20', [-0.2201964, -0.02052066, 1.0]], ['2, k, 21', [-0.287339, -0.307545, 1.0]], ['2, k, 22', [-0.2684699, -0.3139057, 1.0]], ['2, k, 23', [-0.06395513, -0.4674506, 1.0]], ['2, k, 24', [-0.00553886, -0.4682814, 1.0]]]
[['2, k, 0', [-0.2015747, -0.4350598, 1.0]], ['2, k, 1', [-0.2126732, -0.1964952, 1.0]], ['2, k, 2', [-0.2225837, 0.03738961, 1.0]], ['2, k, 3', [-0.2381265, 0.178313, 1.0]], ['2, k, 4', [-0.3787896, -0.07496459, 1.0]], ['2, k, 5', [-0.4566759, -0.3056161, 1.0]], ['2, k, 6', [-0.3459026, -0.3203458, 1.0]], ['2, k, 7', [-0.3024567, -0.3090739, 1.0]], ['2, k, 8', [-0.047073, -0.07178002, 1.0]], ['2, k, 9', [0.009382053, -0.2824346, 1.0]], ['2, k, 10', [0.00744785, -0.4019311, 1.0]], ['2, k, 11', [-0.04195698, -0.4354156, 1.0]], ['2, k, 12', [-0.2704277, -0.4292965, 1.0]], ['2, k, 13', [-0.2746438, -0.5402794, 1.0]], ['2, k, 14', [-0.209258, -0.9046267, 1.0]], ['2, k, 15', [-0.1984714, -0.9595644, 1.0]], ['2, k, 16', [-0.1278137, -0.4301985, 1.0]], ['2, k, 17', [-0.04564276, -0.5074588, 1.0]], ['2, k, 18', [-0.0146691, -0.9011872, 1.0]], ['2, k, 19', [-0.006872254, -0.9356246, 1.0]], ['2, k, 20', [-0.2202916, -0.02051111, 1.0]], ['2, k, 21', [-0.2916482, -0.2989615, 1.0]], ['2, k, 22', [-0.2775405, -0.3029665, 1.0]], ['2, k, 23', [-0.0580369, -0.4673885, 1.0]], ['2, k, 24', [-0.01927547, -0.4653559, 1.0]]]
[['2, k, 0', [-0.2017821, -0.4350818, 1.0]], ['2, k, 1', [-0.2127592, -0.1965362, 1.0]], ['2, k, 2', [-0.2226465, 0.03730142, 1.0]], ['2, k, 3', [-0.2383375, 0.178319, 1.0]], ['2, k, 4', [-0.3788031, -0.07495229, 1.0]], ['2, k, 5', [-0.4540876, -0.3032382, 1.0]], ['2, k, 6', [-0.3263128, -0.2962673, 1.0]], ['2, k, 7', [-0.3105983, -0.2960151, 1.0]], ['2, k, 8', [-0.04725307, -0.07169241, 1.0]], ['2, k, 9', [0.005153025, -0.2744091, 1.0]], ['2, k, 10', [0.007800133, -0.4270985, 1.0]], ['2, k, 11', [-0.0378013, -0.4389162, 1.0]], ['2, k, 12', [-0.270771, -0.4293136, 1.0]], ['2, k, 13', [-0.274711, -0.5402308, 1.0]], ['2, k, 14', [-0.2093053, -0.9046618, 1.0]], ['2, k, 15', [-0.1983915, -0.9593298, 1.0]], ['2, k, 16', [-0.1279159, -0.4302198, 1.0]], ['2, k, 17', [-0.04561939, -0.5074453, 1.0]], ['2, k, 18', [-0.01389935, -0.8946089, 1.0]], ['2, k, 19', [-0.006233257, -0.9291077, 1.0]], ['2, k, 20', [-0.2203582, -0.02058234, 1.0]], ['2, k, 21', [-0.2943401, -0.2933842, 1.0]], ['2, k, 22', [-0.2796811, -0.2859794, 1.0]], ['2, k, 23', [-0.05914497, -0.4677463, 1.0]], ['2, k, 24', [-0.009098222, -0.4685041, 1.0]]]
[['2, k, 0', [-0.201824, -0.4350968, 1.0]], ['2, k, 1', [-0.2127925, -0.1965791, 1.0]], ['2, k, 2', [-0.2227137, 0.03716164, 1.0]], ['2, k, 3', [-0.23845, 0.1782512, 1.0]], ['2, k, 4', [-0.379206, -0.07502373, 1.0]], ['2, k, 5', [-0.423676, -0.2700163, 1.0]], ['2, k, 6', [-0.3567767, -0.3103499, 1.0]], ['2, k, 7', [-0.316082, -0.2840168, 1.0]], ['2, k, 8', [-0.04727085, -0.07169106, 1.0]], ['2, k, 9', [0.005246639, -0.2735006, 1.0]], ['2, k, 10', [0.007648961, -0.4272498, 1.0]], ['2, k, 11', [-0.03703848, -0.4390233, 1.0]], ['2, k, 12', [-0.2708393, -0.4293751, 1.0]], ['2, k, 13', [-0.2746243, -0.5408171, 1.0]], ['2, k, 14', [-0.2093375, -0.9045076, 1.0]], ['2, k, 15', [-0.198644, -0.9592611, 1.0]], ['2, k, 16', [-0.1279362, -0.4302132, 1.0]], ['2, k, 17', [-0.0456145, -0.5074754, 1.0]], ['2, k, 18', [-0.01346258, -0.8911152, 1.0]], ['2, k, 19', [-0.005861498, -0.9256476, 1.0]], ['2, k, 20', [-0.2204158, -0.02069133, 1.0]], ['2, k, 21', [-0.3008672, -0.2821844, 1.0]], ['2, k, 22', [-0.2939963, -0.2548781, 1.0]], ['2, k, 23', [-0.05641751, -0.4683719, 1.0]], ['2, k, 24', [-0.003519409, -0.468567, 1.0]]]
[['2, k, 0', [-0.2018192, -0.4350795, 1.0]], ['2, k, 1', [-0.2129512, -0.196563, 1.0]], ['2, k, 2', [-0.2233921, 0.03716723, 1.0]], ['2, k, 3', [-0.2385412, 0.1782029, 1.0]], ['2, k, 4', [-0.3793704, -0.0750097, 1.0]], ['2, k, 5', [-0.4243627, -0.2698208, 1.0]], ['2, k, 6', [-0.3528572, -0.3016399, 1.0]], ['2, k, 7', [-0.3223023, -0.2747436, 1.0]], ['2, k, 8', [-0.04721779, -0.07166113, 1.0]], ['2, k, 9', [0.004706356, -0.2720822, 1.0]], ['2, k, 10', [0.004953665, -0.4054016, 1.0]], ['2, k, 11', [-0.04024341, -0.4368831, 1.0]], ['2, k, 12', [-0.2708379, -0.4293945, 1.0]], ['2, k, 13', [-0.2746188, -0.5408266, 1.0]], ['2, k, 14', [-0.2094189, -0.9048918, 1.0]], ['2, k, 15', [-0.1981898, -0.958654, 1.0]], ['2, k, 16', [-0.1279259, -0.4301703, 1.0]], ['2, k, 17', [-0.04561162, -0.5075262, 1.0]], ['2, k, 18', [-0.01340113, -0.8917736, 1.0]], ['2, k, 19', [-0.005906503, -0.9262835, 1.0]], ['2, k, 20', [-0.2209317, -0.02068123, 1.0]], ['2, k, 21', [-0.3055443, -0.2729777, 1.0]], ['2, k, 22', [-0.3152789, -0.2403687, 1.0]], ['2, k, 23', [-0.05477747, -0.4691536, 1.0]], ['2, k, 24', [-0.006839206, -0.4667387, 1.0]]]
[['2, k, 0', [-0.201851, -0.4350642, 1.0]], ['2, k, 1', [-0.2129719, -0.1965799, 1.0]], ['2, k, 2', [-0.2234382, 0.0370487, 1.0]], ['2, k, 3', [-0.2386533, 0.1782176, 1.0]], ['2, k, 4', [-0.3795838, -0.07527287, 1.0]], ['2, k, 5', [-0.4243334, -0.2688068, 1.0]], ['2, k, 6', [-0.3584816, -0.3023107, 1.0]], ['2, k, 7', [-0.3251888, -0.2674235, 1.0]], ['2, k, 8', [-0.04724196, -0.07159401, 1.0]], ['2, k, 9', [0.005106041, -0.2704987, 1.0]], ['2, k, 10', [0.005259823, -0.4040549, 1.0]], ['2, k, 11', [-0.03908693, -0.4366386, 1.0]], ['2, k, 12', [-0.2709153, -0.4294031, 1.0]], ['2, k, 13', [-0.2744439, -0.5418877, 1.0]], ['2, k, 14', [-0.2095625, -0.9049774, 1.0]], ['2, k, 15', [-0.1986535, -0.9598106, 1.0]], ['2, k, 16', [-0.1279229, -0.430138, 1.0]], ['2, k, 17', [-0.04558253, -0.5074844, 1.0]], ['2, k, 18', [-0.01806831, -0.9090708, 1.0]], ['2, k, 19', [-0.01058297, -0.943356, 1.0]], ['2, k, 20', [-0.2209759, -0.02076708, 1.0]], ['2, k, 21', [-0.3101569, -0.2675537, 1.0]], ['2, k, 22', [-0.3033745, -0.2367524, 1.0]], ['2, k, 23', [-0.05503102, -0.4684517, 1.0]], ['2, k, 24', [-0.008499393, -0.4675581, 1.0]]]
