[['2, k, 0', [-0.161757, -0.282117, 1.0]], ['2, k, 1', [-0.161882, 0.0734864, 1.0]], ['2, k, 2', [-0.160772, 0.417656, 1.0]], ['2, k, 3', [-0.163208, 0.59452, 1.0]], ['2, k, 4', [-0.363797, 0.296353, 1.0]], ['2, k, 5', [-0.408172, 0.0413327, 1.0]], ['2, k, 6', [-0.402329, -0.237964, 1.0]], ['2, k, 7', [-0.386117, -0.314629, 1.0]], ['2, k, 8', [0.0238631, 0.282217, 1.0]], ['2, k, 9', [0.0793269, 0.0421482, 1.0]], ['2, k, 10', [0.0823787, -0.253682, 1.0]], ['2, k, 11', [0.0610787, -0.321473, 1.0]], ['2, k, 12', [-0.24762, -0.273895, 1.0]], ['2, k, 13', [-0.283826, -0.685372, 1.0]], ['2, k, 14', [-0.293304, -1.07314, 1.0]], ['2, k, 15', [-0.297363, -1.11816, 1.0]], ['2, k, 16', [-0.0702365, -0.280522, 1.0]], ['2, k, 17', [-0.0251929, -0.707896, 1.0]], ['2, k, 18', [0.00481997, -1.0684, 1.0]], ['2, k, 19', [0.0348816, -1.11426, 1.0]], ['2, k, 20', [-0.161256, 0.333286, 1.0]], ['2, k, 21', [-0.381739, -0.416382, 1.0]], ['2, k, 22', [-0.431543, -0.31577, 1.0]], ['2, k, 23', [0.049339, -0.418259, 1.0]], ['2, k, 24', [0.00980543, -0.31573, 1.0]]]
[['2, k, 0', [-0.161702, -0.28207, 1.0]], ['2, k, 1', [-0.161857, 0.0734924, 1.0]], ['2, k, 2', [-0.160767, 0.417623, 1.0]], ['2, k, 3', [-0.163219, 0.594512, 1.0]], ['2, k, 4', [-0.363776, 0.296347, 1.0]], ['2, k, 5', [-0.408171, 0.0415175, 1.0]], ['2, k, 6', [-0.402215, -0.238151, 1.0]], ['2, k, 7', [-0.385271, -0.315204, 1.0]], ['2, k, 8', [0.0238525, 0.282217, 1.0]], ['2, k, 9', [0.0793268, 0.0421163, 1.0]], ['2, k, 10', [0.0824157, -0.253815, 1.0]], ['2, k, 11', [0.0623482, -0.322936, 1.0]], ['2, k, 12', [-0.247568, -0.273852, 1.0]], ['2, k, 13', [-0.282799, -0.685301, 1.0]], ['2, k, 14', [-0.293524, -1.07174, 1.0]], ['2, k, 15', [-0.30558, -1.11905, 1.0]], ['2, k, 16', [-0.0701812, -0.280473, 1.0]], ['2, k, 17', [-0.0252977, -0.709989, 1.0]], ['2, k, 18', [0.00494324, -1.06725, 1.0]], ['2, k, 19', [0.0350719, -1.11407, 1.0]], ['2, k, 20', [-0.161245, 0.333265, 1.0]], ['2, k, 21', [-0.380531, -0.416837, 1.0]], ['2, k, 22', [-0.427263, -0.310734, 1.0]], ['2, k, 23', [0.0473373, -0.426027, 1.0]], ['2, k, 24', [0.00980789, -0.315807, 1.0]]]
[['2, k, 0', [-0.161564, -0.282092, 1.0]], ['2, k, 1', [-0.161839, 0.0734876, 1.0]], ['2, k, 2', [-0.160816, 0.417624, 1.0]], ['2, k, 3', [-0.163221, 0.594522, 1.0]], ['2, k, 4', [-0.363736, 0.296286, 1.0]], ['2, k, 5', [-0.408171, 0.0418135, 1.0]], ['2, k, 6', [-0.402149, -0.238159, 1.0]], ['2, k, 7', [-0.385447, -0.315403, 1.0]], ['2, k, 8', [0.0238864, 0.282373, 1.0]], ['2, k, 9', [0.0792813, 0.0420333, 1.0]], ['2, k, 10', [0.0823801, -0.253631, 1.0]], ['2, k, 11', [0.0624452, -0.321965, 1.0]], ['2, k, 12', [-0.247421, -0.273916, 1.0]], ['2, k, 13', [-0.2828, -0.685284, 1.0]], ['2, k, 14', [-0.293198, -1.06992, 1.0]], ['2, k, 15', [-0.30674, -1.11939, 1.0]], ['2, k, 16', [-0.0700471, -0.280457, 1.0]], ['2, k, 17', [-0.0252692, -0.710041, 1.0]], ['2, k, 18', [0.00495427, -1.06666, 1.0]], ['2, k, 19', [0.0348859, -1.11409, 1.0]], ['2, k, 20', [-0.161268, 0.333264, 1.0]], ['2, k, 21', [-0.377697, -0.415985, 1.0]], ['2, k, 22', [-0.430809, -0.317938, 1.0]], ['2, k, 23', [0.0497383, -0.420064, 1.0]], ['2, k, 24', [0.0100502, -0.325729, 1.0]]]
[['2, k, 0', [-0.161416, -0.282072, 1.0]], ['2, k, 1', [-0.161759, 0.0734641, 1.0]], ['2, k, 2', [-0.160772, 0.417569, 1.0]], ['2, k, 3', [-0.163182, 0.594473, 1.0]], ['2, k, 4', [-0.363739, 0.296189, 1.0]], ['2, k, 5', [-0.408021, 0.0418404, 1.0]], ['2, k, 6', [-0.401966, -0.238133, 1.0]], ['2, k, 7', [-0.382923, -0.315318, 1.0]], ['2, k, 8', [0.0240218, 0.282318, 1.0]], ['2, k, 9', [0.0792912, 0.0418978, 1.0]], ['2, k, 10', [0.0823553, -0.253493, 1.0]], ['2, k, 11', [0.0631181, -0.320844, 1.0]], ['2, k, 12', [-0.247278, -0.273911, 1.0]], ['2, k, 13', [-0.282991, -0.684916, 1.0]], ['2, k, 14', [-0.291461, -1.06686, 1.0]], ['2, k, 15', [-0.307154, -1.11665, 1.0]], ['2, k, 16', [-0.0698984, -0.280422, 1.0]], ['2, k, 17', [-0.0257969, -0.704856, 1.0]], ['2, k, 18', [0.00413837, -1.06404, 1.0]], ['2, k, 19', [0.0353803, -1.11377, 1.0]], ['2, k, 20', [-0.161219, 0.333218, 1.0]], ['2, k, 21', [-0.377218, -0.416698, 1.0]], ['2, k, 22', [-0.434501, -0.319208, 1.0]], ['2, k, 23', [0.0493193, -0.418135, 1.0]], ['2, k, 24', [0.0107393, -0.308139, 1.0]]]
[['2, k, 0', [-0.161339, -0.282098, 1.0]], ['2, k, 1', [-0.161664, 0.0733782, 1.0]], ['2, k, 2', [-0.160673, 0.4174, 1.0]], ['2, k, 3', [-0.163078, 0.594455, 1.0]], ['2, k, 4', [-0.363457, 0.296321, 1.0]], ['2, k, 5', [-0.407833, 0.0423669, 1.0]], ['2, k, 6', [-0.401844, -0.238094, 1.0]], ['2, k, 7', [-0.383729, -0.313655, 1.0]], ['2, k, 8', [0.0242491, 0.28233, 1.0]], ['2, k, 9', [0.079528, 0.0418493, 1.0]], ['2, k, 10', [0.0823804, -0.253186, 1.0]], ['2, k, 11', [0.0625807, -0.321689, 1.0]], ['2, k, 12', [-0.247203, -0.273922, 1.0]], ['2, k, 13', [-0.28298, -0.684671, 1.0]], ['2, k, 14', [-0.288944, -1.06385, 1.0]], ['2, k, 15', [-0.310569, -1.1186, 1.0]], ['2, k, 16', [-0.0698218, -0.280464, 1.0]], ['2, k, 17', [-0.0257057, -0.704634, 1.0]], ['2, k, 18', [-0.000228807, -1.06007, 1.0]], ['2, k, 19', [0.0353623, -1.11316, 1.0]], ['2, k, 20', [-0.161121, 0.333071, 1.0]], ['2, k, 21', [-0.376344, -0.41657, 1.0]], ['2, k, 22', [-0.393187, -0.320358, 1.0]], ['2, k, 23', [0.048099, -0.418777, 1.0]], ['2, k, 24', [0.0100291, -0.316034, 1.0]]]
[['2, k, 0', [-0.161069, -0.282325, 1.0]], ['2, k, 1', [-0.161478, 0.0732995, 1.0]], ['2, k, 2', [-0.160546, 0.417437, 1.0]], ['2, k, 3', [-0.162979, 0.594435, 1.0]], ['2, k, 4', [-0.363204, 0.296398, 1.0]], ['2, k, 5', [-0.407629, 0.0425111, 1.0]], ['2, k, 6', [-0.401314, -0.237732, 1.0]], ['2, k, 7', [-0.383742, -0.313221, 1.0]], ['2, k, 8', [0.0244205, 0.282369, 1.0]], ['2, k, 9', [0.079734, 0.0415427, 1.0]], ['2, k, 10', [0.082364, -0.25313, 1.0]], ['2, k, 11', [0.0635578, -0.320846, 1.0]], ['2, k, 12', [-0.246942, -0.274133, 1.0]], ['2, k, 13', [-0.282473, -0.685459, 1.0]], ['2, k, 14', [-0.290233, -1.06806, 1.0]], ['2, k, 15', [-0.311449, -1.12072, 1.0]], ['2, k, 16', [-0.0695548, -0.280699, 1.0]], ['2, k, 17', [-0.0252934, -0.705278, 1.0]], ['2, k, 18', [-0.000111972, -1.06037, 1.0]], ['2, k, 19', [0.035454, -1.11294, 1.0]], ['2, k, 20', [-0.160981, 0.33308, 1.0]], ['2, k, 21', [-0.374638, -0.416362, 1.0]], ['2, k, 22', [-0.428009, -0.30883, 1.0]], ['2, k, 23', [0.0494015, -0.418778, 1.0]], ['2, k, 24', [0.0100582, -0.315855, 1.0]]]
[['2, k, 0', [-0.160721, -0.282351, 1.0]], ['2, k, 1', [-0.161175, 0.0732416, 1.0]], ['2, k, 2', [-0.160303, 0.417345, 1.0]], ['2, k, 3', [-0.162883, 0.594378, 1.0]], ['2, k, 4', [-0.36281, 0.296492, 1.0]], ['2, k, 5', [-0.407261, 0.0425719, 1.0]], ['2, k, 6', [-0.400751, -0.237447, 1.0]], ['2, k, 7', [-0.381953, -0.311581, 1.0]], ['2, k, 8', [0.0248802, 0.282316, 1.0]], ['2, k, 9', [0.0802251, 0.0413249, 1.0]], ['2, k, 10', [0.0823994, -0.253164, 1.0]], ['2, k, 11', [0.0634053, -0.321922, 1.0]], ['2, k, 12', [-0.246602, -0.27413, 1.0]], ['2, k, 13', [-0.282159, -0.685349, 1.0]], ['2, k, 14', [-0.289522, -1.06561, 1.0]], ['2, k, 15', [-0.308817, -1.11842, 1.0]], ['2, k, 16', [-0.069211, -0.280753, 1.0]], ['2, k, 17', [-0.024729, -0.708685, 1.0]], ['2, k, 18', [0.000339689, -1.06009, 1.0]], ['2, k, 19', [0.0356723, -1.11321, 1.0]], ['2, k, 20', [-0.160722, 0.332996, 1.0]], ['2, k, 21', [-0.379246, -0.411769, 1.0]], ['2, k, 22', [-0.43324, -0.307982, 1.0]], ['2, k, 23', [0.0464445, -0.420556, 1.0]], ['2, k, 24', [0.0136327, -0.323845, 1.0]]]
[['2, k, 0', [-0.160296, -0.282573, 1.0]], ['2, k, 1', [-0.160903, 0.0730247, 1.0]], ['2, k, 2', [-0.160161, 0.41715, 1.0]], ['2, k, 3', [-0.162698, 0.594204, 1.0]], ['2, k, 4', [-0.36241, 0.296767, 1.0]], ['2, k, 5', [-0.407067, 0.0427912, 1.0]], ['2, k, 6', [-0.400237, -0.237425, 1.0]], ['2, k, 7', [-0.38167, -0.309945, 1.0]], ['2, k, 8', [0.0252653, 0.282305, 1.0]], ['2, k, 9', [0.0808996, 0.0408358, 1.0]], ['2, k, 10', [0.082631, -0.253127, 1.0]], ['2, k, 11', [0.0648742, -0.320076, 1.0]], ['2, k, 12', [-0.24624, -0.274261, 1.0]], ['2, k, 13', [-0.282174, -0.685767, 1.0]], ['2, k, 14', [-0.290356, -1.0665, 1.0]], ['2, k, 15', [-0.311822, -1.1218, 1.0]], ['2, k, 16', [-0.0687317, -0.281085, 1.0]], ['2, k, 17', [-0.0252891, -0.703623, 1.0]], ['2, k, 18', [0.000364739, -1.05967, 1.0]], ['2, k, 19', [0.0359312, -1.11172, 1.0]], ['2, k, 20', [-0.160551, 0.332795, 1.0]], ['2, k, 21', [-0.377933, -0.411647, 1.0]], ['2, k, 22', [-0.420637, -0.322977, 1.0]], ['2, k, 23', [0.047079, -0.412995, 1.0]], ['2, k, 24', [0.0152839, -0.294143, 1.0]]]
[['2, k, 0', [-0.159778, -0.282883, 1.0]], ['2, k, 1', [-0.160491, 0.0728667, 1.0]], ['2, k, 2', [-0.159858, 0.417122, 1.0]], ['2, k, 3', [-0.162509, 0.594129, 1.0]], ['2, k, 4', [-0.362025, 0.296917, 1.0]], ['2, k, 5', [-0.406798, 0.0429687, 1.0]], ['2, k, 6', [-0.39984, -0.237097, 1.0]], ['2, k, 7', [-0.383455, -0.307458, 1.0]], ['2, k, 8', [0.0256364, 0.28246, 1.0]], ['2, k, 9', [0.081598, 0.0408738, 1.0]], ['2, k, 10', [0.0828417, -0.253229, 1.0]], ['2, k, 11', [0.0649951, -0.319799, 1.0]], ['2, k, 12', [-0.245713, -0.274577, 1.0]], ['2, k, 13', [-0.279187, -0.692047, 1.0]], ['2, k, 14', [-0.290485, -1.06739, 1.0]], ['2, k, 15', [-0.31166, -1.12246, 1.0]], ['2, k, 16', [-0.0682486, -0.281374, 1.0]], ['2, k, 17', [-0.0245989, -0.709253, 1.0]], ['2, k, 18', [0.000499372, -1.05997, 1.0]], ['2, k, 19', [0.0362563, -1.11258, 1.0]], ['2, k, 20', [-0.160223, 0.332736, 1.0]], ['2, k, 21', [-0.377264, -0.410889, 1.0]], ['2, k, 22', [-0.433333, -0.296066, 1.0]], ['2, k, 23', [0.0462186, -0.412327, 1.0]], ['2, k, 24', [0.0160235, -0.288643, 1.0]]]
[['2, k, 0', [-0.159838, -0.282658, 1.0]], ['2, k, 1', [-0.160363, 0.0729614, 1.0]], ['2, k, 2', [-0.159523, 0.417088, 1.0]], ['2, k, 3', [-0.16211, 0.594073, 1.0]], ['2, k, 4', [-0.361702, 0.297149, 1.0]], ['2, k, 5', [-0.406273, 0.043407, 1.0]], ['2, k, 6', [-0.399459, -0.236957, 1.0]], ['2, k, 7', [-0.385049, -0.307943, 1.0]], ['2, k, 8', [0.0262413, 0.282746, 1.0]], ['2, k, 9', [0.0823882, 0.0410006, 1.0]], ['2, k, 10', [0.0832787, -0.253042, 1.0]], ['2, k, 11', [0.0658283, -0.32006, 1.0]], ['2, k, 12', [-0.245753, -0.274805, 1.0]], ['2, k, 13', [-0.278916, -0.691908, 1.0]], ['2, k, 14', [-0.290987, -1.0652, 1.0]], ['2, k, 15', [-0.311502, -1.12242, 1.0]], ['2, k, 16', [-0.0683643, -0.280402, 1.0]], ['2, k, 17', [-0.024566, -0.700036, 1.0]], ['2, k, 18', [3.16955e-05, -1.05849, 1.0]], ['2, k, 19', [0.0343849, -1.10992, 1.0]], ['2, k, 20', [-0.159944, 0.332736, 1.0]], ['2, k, 21', [-0.377017, -0.410227, 1.0]], ['2, k, 22', [-0.424851, -0.320289, 1.0]], ['2, k, 23', [0.0462656, -0.412685, 1.0]], ['2, k, 24', [0.0153732, -0.312805, 1.0]]]
[['2, k, 0', [-0.15991, -0.28234, 1.0]], ['2, k, 1', [-0.160244, 0.073163, 1.0]], ['2, k, 2', [-0.159261, 0.417226, 1.0]], ['2, k, 3', [-0.16175, 0.594023, 1.0]], ['2, k, 4', [-0.361158, 0.297628, 1.0]], ['2, k, 5', [-0.40593, 0.0441508, 1.0]], ['2, k, 6', [-0.399156, -0.236899, 1.0]], ['2, k, 7', [-0.384868, -0.308969, 1.0]], ['2, k, 8', [0.0268855, 0.28277, 1.0]], ['2, k, 9', [0.0832546, 0.0406519, 1.0]], ['2, k, 10', [0.0841599, -0.252354, 1.0]], ['2, k, 11', [0.0661373, -0.318856, 1.0]], ['2, k, 12', [-0.245845, -0.274892, 1.0]], ['2, k, 13', [-0.278849, -0.691274, 1.0]], ['2, k, 14', [-0.290639, -1.06583, 1.0]], ['2, k, 15', [-0.312932, -1.12216, 1.0]], ['2, k, 16', [-0.0684142, -0.27951, 1.0]], ['2, k, 17', [-0.0240687, -0.701002, 1.0]], ['2, k, 18', [0.000260365, -1.05811, 1.0]], ['2, k, 19', [0.0340074, -1.10957, 1.0]], ['2, k, 20', [-0.159718, 0.332885, 1.0]], ['2, k, 21', [-0.375782, -0.410467, 1.0]], ['2, k, 22', [-0.427923, -0.310956, 1.0]], ['2, k, 23', [0.0462883, -0.412908, 1.0]], ['2, k, 24', [0.016055, -0.289233, 1.0]]]
