[['2, k, 0', [-0.1474698, -0.1940887, 1.0]], ['2, k, 1', [-0.1472979, 0.0402042, 1.0]], ['2, k, 2', [-0.1437708, 0.2689928, 1.0]], ['2, k, 3', [-0.1336436, 0.3863606, 1.0]], ['2, k, 4', [-0.295368, 0.1720237, 1.0]], ['2, k, 5', [-0.3299856, -0.02868002, 1.0]], ['2, k, 6', [-0.2726876, -0.212548, 1.0]], ['2, k, 7', [-0.2365775, -0.2085918, 1.0]], ['2, k, 8', [0.008284761, 0.164589, 1.0]], ['2, k, 9', [0.05727338, -0.06989154, 1.0]], ['2, k, 10', [0.1253977, -0.2845456, 1.0]], ['2, k, 11', [0.1362061, -0.3662733, 1.0]], ['2, k, 12', [-0.212697, -0.1922131, 1.0]], ['2, k, 13', [-0.1821973, -0.2936188, 1.0]], ['2, k, 14', [-0.2147941, -0.6612876, 1.0]], ['2, k, 15', [-0.2009647, -0.7368912, 1.0]], ['2, k, 16', [-0.07859068, -0.1915013, 1.0]], ['2, k, 17', [-0.003192836, -0.2973214, 1.0]], ['2, k, 18', [-0.003459439, -0.6616675, 1.0]], ['2, k, 19', [0.01518801, -0.7416079, 1.0]], ['2, k, 20', [-0.1447666, 0.2126098, 1.0]], ['2, k, 21', [-0.1889393, -0.2361745, 1.0]], ['2, k, 22', [-0.2737534, -0.2332037, 1.0]], ['2, k, 23', [0.1506925, -0.4268985, 1.0]], ['2, k, 24', [0.1078266, -0.364407, 1.0]]]
[['2, k, 0', [-0.1474376, -0.1942812, 1.0]], ['2, k, 1', [-0.1472453, 0.04007915, 1.0]], ['2, k, 2', [-0.1438829, 0.268962, 1.0]], ['2, k, 3', [-0.1336456, 0.3864804, 1.0]], ['2, k, 4', [-0.2957213, 0.1711119, 1.0]], ['2, k, 5', [-0.329965, -0.02870691, 1.0]], ['2, k, 6', [-0.2699646, -0.2139292, 1.0]], ['2, k, 7', [-0.2352502, -0.20831, 1.0]], ['2, k, 8', [0.008938376, 0.1644486, 1.0]], ['2, k, 9', [0.06195661, -0.06874318, 1.0]], ['2, k, 10', [0.1319079, -0.2910354, 1.0]], ['2, k, 11', [0.1542986, -0.3889986, 1.0]], ['2, k, 12', [-0.212684, -0.1923581, 1.0]], ['2, k, 13', [-0.1822781, -0.2937967, 1.0]], ['2, k, 14', [-0.2154105, -0.6613141, 1.0]], ['2, k, 15', [-0.200061, -0.7371365, 1.0]], ['2, k, 16', [-0.07854727, -0.1917209, 1.0]], ['2, k, 17', [-0.004019882, -0.297978, 1.0]], ['2, k, 18', [-0.003356245, -0.6617626, 1.0]], ['2, k, 19', [0.01184137, -0.7419273, 1.0]], ['2, k, 20', [-0.1448408, 0.2125518, 1.0]], ['2, k, 21', [-0.1877275, -0.2325155, 1.0]], ['2, k, 22', [-0.273414, -0.2285451, 1.0]], ['2, k, 23', [0.1615428, -0.452228, 1.0]], ['2, k, 24', [0.1350289, -0.397881, 1.0]]]
[['2, k, 0', [-0.1481462, -0.1945116, 1.0]], ['2, k, 1', [-0.1475418, 0.04011361, 1.0]], ['2, k, 2', [-0.144271, 0.2692046, 1.0]], ['2, k, 3', [-0.1343736, 0.3860128, 1.0]], ['2, k, 4', [-0.2958587, 0.1709767, 1.0]], ['2, k, 5', [-0.3294409, -0.02987321, 1.0]], ['2, k, 6', [-0.2701699, -0.2140938, 1.0]], ['2, k, 7', [-0.2353254, -0.2119736, 1.0]], ['2, k, 8', [0.009097073, 0.1644349, 1.0]], ['2, k, 9', [0.07143509, -0.06424722, 1.0]], ['2, k, 10', [0.1449168, -0.2782917, 1.0]], ['2, k, 11', [0.1659508, -0.3582134, 1.0]], ['2, k, 12', [-0.2132904, -0.1923712, 1.0]], ['2, k, 13', [-0.1825064, -0.2942815, 1.0]], ['2, k, 14', [-0.2157783, -0.6610506, 1.0]], ['2, k, 15', [-0.2001653, -0.736544, 1.0]], ['2, k, 16', [-0.0794116, -0.192314, 1.0]], ['2, k, 17', [-0.005440924, -0.2981556, 1.0]], ['2, k, 18', [-0.003242373, -0.6616981, 1.0]], ['2, k, 19', [0.01572688, -0.7098501, 1.0]], ['2, k, 20', [-0.1451851, 0.2127245, 1.0]], ['2, k, 21', [-0.1930397, -0.2414103, 1.0]], ['2, k, 22', [-0.2652237, -0.240265, 1.0]], ['2, k, 23', [0.1836762, -0.4209385, 1.0]], ['2, k, 24', [0.1379824, -0.3836428, 1.0]]]
[['2, k, 0', [-0.1488729, -0.1947345, 1.0]], ['2, k, 1', [-0.1476497, 0.04002997, 1.0]], ['2, k, 2', [-0.1442852, 0.269183, 1.0]], ['2, k, 3', [-0.1365055, 0.3863011, 1.0]], ['2, k, 4', [-0.2957343, 0.1711351, 1.0]], ['2, k, 5', [-0.329457, -0.0298905, 1.0]], ['2, k, 6', [-0.2700578, -0.2140882, 1.0]], ['2, k, 7', [-0.234323, -0.2106944, 1.0]], ['2, k, 8', [0.00683844, 0.1645209, 1.0]], ['2, k, 9', [0.08120777, -0.05780056, 1.0]], ['2, k, 10', [0.1645176, -0.2588043, 1.0]], ['2, k, 11', [0.1872304, -0.3350884, 1.0]], ['2, k, 12', [-0.2141267, -0.192416, 1.0]], ['2, k, 13', [-0.1826793, -0.2947792, 1.0]], ['2, k, 14', [-0.2156688, -0.661071, 1.0]], ['2, k, 15', [-0.1898162, -0.7402236, 1.0]], ['2, k, 16', [-0.08001642, -0.1927113, 1.0]], ['2, k, 17', [-0.006144608, -0.2984425, 1.0]], ['2, k, 18', [-0.003323394, -0.6617969, 1.0]], ['2, k, 19', [0.01443027, -0.7099215, 1.0]], ['2, k, 20', [-0.1452031, 0.2127034, 1.0]], ['2, k, 21', [-0.1923067, -0.2374494, 1.0]], ['2, k, 22', [-0.2718597, -0.2305775, 1.0]], ['2, k, 23', [0.2065412, -0.3955882, 1.0]], ['2, k, 24', [0.154632, -0.3470079, 1.0]]]
[['2, k, 0', [-0.152073, -0.1950095, 1.0]], ['2, k, 1', [-0.1489082, 0.04008013, 1.0]], ['2, k, 2', [-0.144816, 0.2694069, 1.0]], ['2, k, 3', [-0.1378695, 0.3865148, 1.0]], ['2, k, 4', [-0.2960375, 0.1709859, 1.0]], ['2, k, 5', [-0.3292711, -0.02968867, 1.0]], ['2, k, 6', [-0.2687625, -0.2136912, 1.0]], ['2, k, 7', [-0.2332252, -0.2082768, 1.0]], ['2, k, 8', [0.005439547, 0.1646968, 1.0]], ['2, k, 9', [0.09262519, -0.04676263, 1.0]], ['2, k, 10', [0.1855214, -0.2318209, 1.0]], ['2, k, 11', [0.2123943, -0.3007633, 1.0]], ['2, k, 12', [-0.2179834, -0.1923572, 1.0]], ['2, k, 13', [-0.1826615, -0.294745, 1.0]], ['2, k, 14', [-0.2155671, -0.6615986, 1.0]], ['2, k, 15', [-0.1924063, -0.7373881, 1.0]], ['2, k, 16', [-0.0825525, -0.1931898, 1.0]], ['2, k, 17', [-0.00637596, -0.299077, 1.0]], ['2, k, 18', [-0.003179651, -0.6620223, 1.0]], ['2, k, 19', [0.01369888, -0.7100692, 1.0]], ['2, k, 20', [-0.1458525, 0.2128824, 1.0]], ['2, k, 21', [-0.1822648, -0.2360468, 1.0]], ['2, k, 22', [-0.2716417, -0.2288821, 1.0]], ['2, k, 23', [0.2410569, -0.3578759, 1.0]], ['2, k, 24', [0.1820951, -0.3101909, 1.0]]]
[['2, k, 0', [-0.1522691, -0.1946684, 1.0]], ['2, k, 1', [-0.1490556, 0.04030639, 1.0]], ['2, k, 2', [-0.145126, 0.2698395, 1.0]], ['2, k, 3', [-0.1385346, 0.3868338, 1.0]], ['2, k, 4', [-0.29619, 0.1710015, 1.0]], ['2, k, 5', [-0.3289113, -0.03000959, 1.0]], ['2, k, 6', [-0.2688924, -0.2136909, 1.0]], ['2, k, 7', [-0.2373249, -0.2081538, 1.0]], ['2, k, 8', [0.004887632, 0.1682575, 1.0]], ['2, k, 9', [0.103083, -0.02582333, 1.0]], ['2, k, 10', [0.2034326, -0.1858231, 1.0]], ['2, k, 11', [0.2356314, -0.2485952, 1.0]], ['2, k, 12', [-0.2181692, -0.1921569, 1.0]], ['2, k, 13', [-0.1831578, -0.2945849, 1.0]], ['2, k, 14', [-0.2157297, -0.6620924, 1.0]], ['2, k, 15', [-0.193363, -0.737277, 1.0]], ['2, k, 16', [-0.08273761, -0.1926648, 1.0]], ['2, k, 17', [-0.006397574, -0.2992922, 1.0]], ['2, k, 18', [-0.00277834, -0.6607783, 1.0]], ['2, k, 19', [0.009714862, -0.7411721, 1.0]], ['2, k, 20', [-0.1461095, 0.2132258, 1.0]], ['2, k, 21', [-0.1769488, -0.2351363, 1.0]], ['2, k, 22', [-0.2644462, -0.2390097, 1.0]], ['2, k, 23', [0.2660024, -0.2967773, 1.0]], ['2, k, 24', [0.2070845, -0.2574381, 1.0]]]
[['2, k, 0', [-0.1525323, -0.1937749, 1.0]], ['2, k, 1', [-0.1497191, 0.04137114, 1.0]], ['2, k, 2', [-0.1465809, 0.2713714, 1.0]], ['2, k, 3', [-0.1403161, 0.387507, 1.0]], ['2, k, 4', [-0.2973568, 0.1725799, 1.0]], ['2, k, 5', [-0.3290729, -0.02955917, 1.0]], ['2, k, 6', [-0.2685156, -0.2129776, 1.0]], ['2, k, 7', [-0.2312777, -0.2067779, 1.0]], ['2, k, 8', [0.003960669, 0.1712851, 1.0]], ['2, k, 9', [0.1147763, -0.007396953, 1.0]], ['2, k, 10', [0.2167559, -0.1211247, 1.0]], ['2, k, 11', [0.2627906, -0.191766, 1.0]], ['2, k, 12', [-0.2184926, -0.1914288, 1.0]], ['2, k, 13', [-0.183535, -0.2939486, 1.0]], ['2, k, 14', [-0.2156657, -0.6624852, 1.0]], ['2, k, 15', [-0.1944963, -0.7366489, 1.0]], ['2, k, 16', [-0.08293252, -0.1915452, 1.0]], ['2, k, 17', [-0.006620448, -0.2995852, 1.0]], ['2, k, 18', [-0.002770157, -0.6607167, 1.0]], ['2, k, 19', [0.0127041, -0.7085883, 1.0]], ['2, k, 20', [-0.1473525, 0.2146199, 1.0]], ['2, k, 21', [-0.1820367, -0.2383509, 1.0]], ['2, k, 22', [-0.2504266, -0.2195508, 1.0]], ['2, k, 23', [0.2944248, -0.2240382, 1.0]], ['2, k, 24', [0.2530106, -0.1954713, 1.0]]]
[['2, k, 0', [-0.1527446, -0.1932114, 1.0]], ['2, k, 1', [-0.1504331, 0.04204327, 1.0]], ['2, k, 2', [-0.1484072, 0.2722976, 1.0]], ['2, k, 3', [-0.1416979, 0.3895179, 1.0]], ['2, k, 4', [-0.2984857, 0.1729844, 1.0]], ['2, k, 5', [-0.3282162, -0.02946963, 1.0]], ['2, k, 6', [-0.2690521, -0.2135078, 1.0]], ['2, k, 7', [-0.2346659, -0.2100236, 1.0]], ['2, k, 8', [0.002497456, 0.1753746, 1.0]], ['2, k, 9', [0.1176522, 0.02610314, 1.0]], ['2, k, 10', [0.242347, -0.07765714, 1.0]], ['2, k, 11', [0.2822933, -0.1152111, 1.0]], ['2, k, 12', [-0.2186933, -0.1910966, 1.0]], ['2, k, 13', [-0.1835419, -0.2939414, 1.0]], ['2, k, 14', [-0.2156167, -0.6617392, 1.0]], ['2, k, 15', [-0.1948768, -0.7362685, 1.0]], ['2, k, 16', [-0.08314066, -0.1906865, 1.0]], ['2, k, 17', [-0.006692654, -0.2996015, 1.0]], ['2, k, 18', [-0.002536518, -0.6605415, 1.0]], ['2, k, 19', [0.01228048, -0.7082258, 1.0]], ['2, k, 20', [-0.1488789, 0.2154919, 1.0]], ['2, k, 21', [-0.1812398, -0.2384094, 1.0]], ['2, k, 22', [-0.2654236, -0.2355534, 1.0]], ['2, k, 23', [0.3173393, -0.142406, 1.0]], ['2, k, 24', [0.2708899, -0.1205658, 1.0]]]
[['2, k, 0', [-0.1528109, -0.1930656, 1.0]], ['2, k, 1', [-0.153134, 0.04269779, 1.0]], ['2, k, 2', [-0.1569534, 0.2734332, 1.0]], ['2, k, 3', [-0.1423655, 0.3901919, 1.0]], ['2, k, 4', [-0.2994672, 0.1733502, 1.0]], ['2, k, 5', [-0.3279772, -0.02933015, 1.0]], ['2, k, 6', [-0.2683824, -0.2106929, 1.0]], ['2, k, 7', [-0.2333279, -0.2085183, 1.0]], ['2, k, 8', [0.002590869, 0.1746368, 1.0]], ['2, k, 9', [0.1166811, 0.06746349, 1.0]], ['2, k, 10', [0.2480023, -0.009587649, 1.0]], ['2, k, 11', [0.2971273, -0.03314451, 1.0]], ['2, k, 12', [-0.218795, -0.1909068, 1.0]], ['2, k, 13', [-0.1835418, -0.2939528, 1.0]], ['2, k, 14', [-0.2155984, -0.6617438, 1.0]], ['2, k, 15', [-0.1943046, -0.7366995, 1.0]], ['2, k, 16', [-0.08318678, -0.1905662, 1.0]], ['2, k, 17', [-0.007040087, -0.2995482, 1.0]], ['2, k, 18', [-0.002547067, -0.6605232, 1.0]], ['2, k, 19', [0.01396715, -0.7078877, 1.0]], ['2, k, 20', [-0.1557885, 0.2165091, 1.0]], ['2, k, 21', [-0.1829374, -0.2399887, 1.0]], ['2, k, 22', [-0.2620854, -0.2290969, 1.0]], ['2, k, 23', [0.3357162, -0.04630484, 1.0]], ['2, k, 24', [0.3020042, -0.04127213, 1.0]]]
[['2, k, 0', [-0.1548667, -0.1924739, 1.0]], ['2, k, 1', [-0.1535482, 0.04286116, 1.0]], ['2, k, 2', [-0.1559099, 0.2735513, 1.0]], ['2, k, 3', [-0.1432385, 0.3916253, 1.0]], ['2, k, 4', [-0.2994739, 0.1733544, 1.0]], ['2, k, 5', [-0.3239334, -0.04011229, 1.0]], ['2, k, 6', [-0.2695135, -0.1977299, 1.0]], ['2, k, 7', [-0.2314928, -0.199703, 1.0]], ['2, k, 8', [0.001153416, 0.1769962, 1.0]], ['2, k, 9', [0.1165878, 0.08373567, 1.0]], ['2, k, 10', [0.248292, 0.05565717, 1.0]], ['2, k, 11', [0.3079056, 0.0442015, 1.0]], ['2, k, 12', [-0.2206472, -0.1904348, 1.0]], ['2, k, 13', [-0.1838658, -0.2937453, 1.0]], ['2, k, 14', [-0.2151564, -0.6620963, 1.0]], ['2, k, 15', [-0.194295, -0.7352643, 1.0]], ['2, k, 16', [-0.08537295, -0.1898775, 1.0]], ['2, k, 17', [-0.007122682, -0.2995224, 1.0]], ['2, k, 18', [-0.002731737, -0.6615309, 1.0]], ['2, k, 19', [0.01416725, -0.7086678, 1.0]], ['2, k, 20', [-0.1554197, 0.2166451, 1.0]], ['2, k, 21', [-0.1874653, -0.2291099, 1.0]], ['2, k, 22', [-0.2678261, -0.2100983, 1.0]], ['2, k, 23', [0.3440138, 0.0427744, 1.0]], ['2, k, 24', [0.28409, 0.05864319, 1.0]]]
[['2, k, 0', [-0.156069, -0.1916205, 1.0]], ['2, k, 1', [-0.1551569, 0.04376291, 1.0]], ['2, k, 2', [-0.1569571, 0.274323, 1.0]], ['2, k, 3', [-0.145325, 0.3934805, 1.0]], ['2, k, 4', [-0.3013088, 0.1731464, 1.0]], ['2, k, 5', [-0.3247983, -0.03826936, 1.0]], ['2, k, 6', [-0.2694078, -0.1959164, 1.0]], ['2, k, 7', [-0.2354476, -0.197372, 1.0]], ['2, k, 8', [-0.0006395835, 0.1812455, 1.0]], ['2, k, 9', [0.1229827, 0.131159, 1.0]], ['2, k, 10', [0.2400634, 0.1297008, 1.0]], ['2, k, 11', [0.3090161, 0.1262035, 1.0]], ['2, k, 12', [-0.2219895, -0.1896906, 1.0]], ['2, k, 13', [-0.1840779, -0.2936621, 1.0]], ['2, k, 14', [-0.2161784, -0.6611637, 1.0]], ['2, k, 15', [-0.1942049, -0.7346347, 1.0]], ['2, k, 16', [-0.08642097, -0.1889421, 1.0]], ['2, k, 17', [-0.007182786, -0.2994735, 1.0]], ['2, k, 18', [-0.002597848, -0.6622528, 1.0]], ['2, k, 19', [0.01814229, -0.7417206, 1.0]], ['2, k, 20', [-0.1566386, 0.2174534, 1.0]], ['2, k, 21', [-0.1888145, -0.22999, 1.0]], ['2, k, 22', [-0.2632174, -0.2158713, 1.0]], ['2, k, 23', [0.3437575, 0.1300406, 1.0]], ['2, k, 24', [0.2820959, 0.1394943, 1.0]]]
