[['2, k, 0', [-0.100588, -0.234976, 1.0]], ['2, k, 1', [-0.0995235, 0.0878774, 1.0]], ['2, k, 2', [-0.0979055, 0.401387, 1.0]], ['2, k, 3', [-0.143377, 0.555191, 1.0]], ['2, k, 4', [-0.298911, 0.277185, 1.0]], ['2, k, 5', [-0.400004, 0.0752176, 1.0]], ['2, k, 6', [-0.436701, -0.0828374, 1.0]], ['2, k, 7', [-0.426033, -0.148903, 1.0]], ['2, k, 8', [0.0621831, 0.289834, 1.0]], ['2, k, 9', [0.192296, 0.112389, 1.0]], ['2, k, 10', [0.0457824, 0.139374, 1.0]], ['2, k, 11', [-0.023022, 0.102601, 1.0]], ['2, k, 12', [-0.181511, -0.234225, 1.0]], ['2, k, 13', [-0.236389, -0.648112, 1.0]], ['2, k, 14', [-0.298738, -1.0169, 1.0]], ['2, k, 15', [-0.309082, -1.06934, 1.0]], ['2, k, 16', [-0.0165857, -0.228608, 1.0]], ['2, k, 17', [0.0543276, -0.619962, 1.0]], ['2, k, 18', [0.0905823, -1.00512, 1.0]], ['2, k, 19', [0.127686, -1.06152, 1.0]], ['2, k, 20', [-0.0984074, 0.324328, 1.0]], ['2, k, 21', [-0.399428, -0.181203, 1.0]], ['2, k, 22', [-0.370248, -0.171829, 1.0]], ['2, k, 23', [-0.0303092, 0.106103, 1.0]], ['2, k, 24', [-0.0301716, 0.118332, 1.0]]]
[['2, k, 0', [-0.099522, -0.237607, 1.0]], ['2, k, 1', [-0.0994432, 0.0871085, 1.0]], ['2, k, 2', [-0.0982257, 0.401255, 1.0]], ['2, k, 3', [-0.144055, 0.554823, 1.0]], ['2, k, 4', [-0.298493, 0.275514, 1.0]], ['2, k, 5', [-0.392903, 0.0586197, 1.0]], ['2, k, 6', [-0.4216, -0.128527, 1.0]], ['2, k, 7', [-0.412889, -0.197906, 1.0]], ['2, k, 8', [0.0628202, 0.289959, 1.0]], ['2, k, 9', [0.189239, 0.110225, 1.0]], ['2, k, 10', [0.030454, 0.171624, 1.0]], ['2, k, 11', [-0.0181764, 0.1249, 1.0]], ['2, k, 12', [-0.180226, -0.238014, 1.0]], ['2, k, 13', [-0.23585, -0.64932, 1.0]], ['2, k, 14', [-0.298468, -1.01667, 1.0]], ['2, k, 15', [-0.309262, -1.06948, 1.0]], ['2, k, 16', [-0.0157081, -0.230331, 1.0]], ['2, k, 17', [0.0536654, -0.621515, 1.0]], ['2, k, 18', [0.090676, -1.0051, 1.0]], ['2, k, 19', [0.131527, -1.0634, 1.0]], ['2, k, 20', [-0.0986102, 0.324101, 1.0]], ['2, k, 21', [-0.381217, -0.233743, 1.0]], ['2, k, 22', [-0.358255, -0.21805, 1.0]], ['2, k, 23', [-0.0650185, 0.0993822, 1.0]], ['2, k, 24', [-0.0366774, 0.185966, 1.0]]]
[['2, k, 0', [-0.0973702, -0.239399, 1.0]], ['2, k, 1', [-0.0992625, 0.0863654, 1.0]], ['2, k, 2', [-0.0998488, 0.400726, 1.0]], ['2, k, 3', [-0.145954, 0.55406, 1.0]], ['2, k, 4', [-0.298945, 0.273487, 1.0]], ['2, k, 5', [-0.376802, 0.029322, 1.0]], ['2, k, 6', [-0.405495, -0.158473, 1.0]], ['2, k, 7', [-0.398209, -0.23582, 1.0]], ['2, k, 8', [0.0640357, 0.290349, 1.0]], ['2, k, 9', [0.182238, 0.107959, 1.0]], ['2, k, 10', [0.0156466, 0.131313, 1.0]], ['2, k, 11', [-0.0454883, 0.0763591, 1.0]], ['2, k, 12', [-0.177902, -0.240482, 1.0]], ['2, k, 13', [-0.234767, -0.652106, 1.0]], ['2, k, 14', [-0.296923, -1.016, 1.0]], ['2, k, 15', [-0.309445, -1.06916, 1.0]], ['2, k, 16', [-0.0137582, -0.231457, 1.0]], ['2, k, 17', [0.053539, -0.621974, 1.0]], ['2, k, 18', [0.0908878, -1.0053, 1.0]], ['2, k, 19', [0.131416, -1.06328, 1.0]], ['2, k, 20', [-0.0995699, 0.323491, 1.0]], ['2, k, 21', [-0.367526, -0.276802, 1.0]], ['2, k, 22', [-0.336117, -0.264892, 1.0]], ['2, k, 23', [-0.0868607, 0.0477491, 1.0]], ['2, k, 24', [-0.0560999, 0.142472, 1.0]]]
[['2, k, 0', [-0.0977273, -0.243422, 1.0]], ['2, k, 1', [-0.100136, 0.0842729, 1.0]], ['2, k, 2', [-0.101739, 0.400081, 1.0]], ['2, k, 3', [-0.150555, 0.552549, 1.0]], ['2, k, 4', [-0.299564, 0.270654, 1.0]], ['2, k, 5', [-0.354642, 0.0132773, 1.0]], ['2, k, 6', [-0.390409, -0.187718, 1.0]], ['2, k, 7', [-0.384498, -0.262103, 1.0]], ['2, k, 8', [0.0644275, 0.291403, 1.0]], ['2, k, 9', [0.178578, 0.107584, 1.0]], ['2, k, 10', [0.012392, 0.174533, 1.0]], ['2, k, 11', [-0.0363712, 0.193129, 1.0]], ['2, k, 12', [-0.178451, -0.246588, 1.0]], ['2, k, 13', [-0.233467, -0.653856, 1.0]], ['2, k, 14', [-0.296102, -1.01628, 1.0]], ['2, k, 15', [-0.30949, -1.06989, 1.0]], ['2, k, 16', [-0.0139856, -0.233853, 1.0]], ['2, k, 17', [0.0535765, -0.622537, 1.0]], ['2, k, 18', [0.0908705, -1.00592, 1.0]], ['2, k, 19', [0.131668, -1.06311, 1.0]], ['2, k, 20', [-0.101206, 0.322453, 1.0]], ['2, k, 21', [-0.360235, -0.312849, 1.0]], ['2, k, 22', [-0.341934, -0.271857, 1.0]], ['2, k, 23', [-0.100313, 0.208194, 1.0]], ['2, k, 24', [-0.00497903, 0.267028, 1.0]]]
[['2, k, 0', [-0.0992747, -0.246457, 1.0]], ['2, k, 1', [-0.102053, 0.0821686, 1.0]], ['2, k, 2', [-0.104416, 0.39915, 1.0]], ['2, k, 3', [-0.155389, 0.551016, 1.0]], ['2, k, 4', [-0.302033, 0.267957, 1.0]], ['2, k, 5', [-0.343902, 0.00621153, 1.0]], ['2, k, 6', [-0.369893, -0.222059, 1.0]], ['2, k, 7', [-0.366439, -0.289863, 1.0]], ['2, k, 8', [0.0642233, 0.291761, 1.0]], ['2, k, 9', [0.177997, 0.107531, 1.0]], ['2, k, 10', [0.00205816, 0.163006, 1.0]], ['2, k, 11', [-0.0442913, 0.183465, 1.0]], ['2, k, 12', [-0.180214, -0.250181, 1.0]], ['2, k, 13', [-0.232088, -0.655327, 1.0]], ['2, k, 14', [-0.294914, -1.01239, 1.0]], ['2, k, 15', [-0.309993, -1.07016, 1.0]], ['2, k, 16', [-0.0154556, -0.236388, 1.0]], ['2, k, 17', [0.0535758, -0.622685, 1.0]], ['2, k, 18', [0.090929, -1.00595, 1.0]], ['2, k, 19', [0.131832, -1.06322, 1.0]], ['2, k, 20', [-0.103739, 0.321215, 1.0]], ['2, k, 21', [-0.338247, -0.348453, 1.0]], ['2, k, 22', [-0.305091, -0.325509, 1.0]], ['2, k, 23', [-0.0999027, 0.200381, 1.0]], ['2, k, 24', [-0.00985734, 0.258748, 1.0]]]
[['2, k, 0', [-0.101898, -0.252405, 1.0]], ['2, k, 1', [-0.105, 0.0786752, 1.0]], ['2, k, 2', [-0.108464, 0.397407, 1.0]], ['2, k, 3', [-0.16219, 0.548474, 1.0]], ['2, k, 4', [-0.304296, 0.265905, 1.0]], ['2, k, 5', [-0.335613, 0.00179472, 1.0]], ['2, k, 6', [-0.344573, -0.230947, 1.0]], ['2, k, 7', [-0.333655, -0.301564, 1.0]], ['2, k, 8', [0.0615178, 0.292694, 1.0]], ['2, k, 9', [0.176958, 0.110203, 1.0]], ['2, k, 10', [-0.00108995, 0.163782, 1.0]], ['2, k, 11', [-0.0479775, 0.183997, 1.0]], ['2, k, 12', [-0.18294, -0.256909, 1.0]], ['2, k, 13', [-0.231673, -0.655777, 1.0]], ['2, k, 14', [-0.293836, -1.00975, 1.0]], ['2, k, 15', [-0.310376, -1.07036, 1.0]], ['2, k, 16', [-0.0177439, -0.240948, 1.0]], ['2, k, 17', [0.0531604, -0.622902, 1.0]], ['2, k, 18', [0.0910157, -1.00655, 1.0]], ['2, k, 19', [0.132661, -1.06379, 1.0]], ['2, k, 20', [-0.107472, 0.319069, 1.0]], ['2, k, 21', [-0.317955, -0.368738, 1.0]], ['2, k, 22', [-0.281628, -0.284559, 1.0]], ['2, k, 23', [-0.106218, 0.197444, 1.0]], ['2, k, 24', [-0.0182374, 0.259957, 1.0]]]
[['2, k, 0', [-0.103525, -0.255176, 1.0]], ['2, k, 1', [-0.107741, 0.0764229, 1.0]], ['2, k, 2', [-0.1129, 0.396089, 1.0]], ['2, k, 3', [-0.169167, 0.546668, 1.0]], ['2, k, 4', [-0.307646, 0.26265, 1.0]], ['2, k, 5', [-0.331196, -0.00252656, 1.0]], ['2, k, 6', [-0.332942, -0.233403, 1.0]], ['2, k, 7', [-0.324223, -0.307574, 1.0]], ['2, k, 8', [0.0564729, 0.29428, 1.0]], ['2, k, 9', [0.1792, 0.116049, 1.0]], ['2, k, 10', [-0.00481649, 0.168914, 1.0]], ['2, k, 11', [-0.0517342, 0.188757, 1.0]], ['2, k, 12', [-0.184533, -0.260413, 1.0]], ['2, k, 13', [-0.231377, -0.655918, 1.0]], ['2, k, 14', [-0.292653, -1.01023, 1.0]], ['2, k, 15', [-0.310599, -1.07011, 1.0]], ['2, k, 16', [-0.0192661, -0.242865, 1.0]], ['2, k, 17', [0.0531541, -0.623078, 1.0]], ['2, k, 18', [0.0919209, -1.00772, 1.0]], ['2, k, 19', [0.132781, -1.06383, 1.0]], ['2, k, 20', [-0.111497, 0.317481, 1.0]], ['2, k, 21', [-0.313366, -0.375125, 1.0]], ['2, k, 22', [-0.279924, -0.300365, 1.0]], ['2, k, 23', [-0.106863, 0.19909, 1.0]], ['2, k, 24', [-0.0233492, 0.263802, 1.0]]]
[['2, k, 0', [-0.104067, -0.255814, 1.0]], ['2, k, 1', [-0.109701, 0.0749544, 1.0]], ['2, k, 2', [-0.117533, 0.393449, 1.0]], ['2, k, 3', [-0.176323, 0.544243, 1.0]], ['2, k, 4', [-0.309406, 0.259673, 1.0]], ['2, k, 5', [-0.327277, -0.00259673, 1.0]], ['2, k, 6', [-0.32925, -0.239425, 1.0]], ['2, k, 7', [-0.31941, -0.323353, 1.0]], ['2, k, 8', [0.0546492, 0.29427, 1.0]], ['2, k, 9', [0.181417, 0.12127, 1.0]], ['2, k, 10', [-0.00573268, 0.167056, 1.0]], ['2, k, 11', [-0.0523328, 0.184738, 1.0]], ['2, k, 12', [-0.184942, -0.261265, 1.0]], ['2, k, 13', [-0.231425, -0.656717, 1.0]], ['2, k, 14', [-0.292577, -1.01026, 1.0]], ['2, k, 15', [-0.311462, -1.07093, 1.0]], ['2, k, 16', [-0.0197363, -0.243165, 1.0]], ['2, k, 17', [0.0541846, -0.622492, 1.0]], ['2, k, 18', [0.0923923, -1.00768, 1.0]], ['2, k, 19', [0.132815, -1.06378, 1.0]], ['2, k, 20', [-0.115459, 0.315155, 1.0]], ['2, k, 21', [-0.295854, -0.407107, 1.0]], ['2, k, 22', [-0.281777, -0.320842, 1.0]], ['2, k, 23', [-0.113698, 0.180546, 1.0]], ['2, k, 24', [-0.0328564, 0.261234, 1.0]]]
[['2, k, 0', [-0.103933, -0.258036, 1.0]], ['2, k, 1', [-0.111297, 0.0733128, 1.0]], ['2, k, 2', [-0.121633, 0.391773, 1.0]], ['2, k, 3', [-0.183319, 0.540868, 1.0]], ['2, k, 4', [-0.310684, 0.257891, 1.0]], ['2, k, 5', [-0.325334, -0.000666249, 1.0]], ['2, k, 6', [-0.328632, -0.221926, 1.0]], ['2, k, 7', [-0.323942, -0.316024, 1.0]], ['2, k, 8', [0.052942, 0.295093, 1.0]], ['2, k, 9', [0.18116, 0.128471, 1.0]], ['2, k, 10', [-0.0107393, 0.166902, 1.0]], ['2, k, 11', [-0.0586655, 0.181908, 1.0]], ['2, k, 12', [-0.184295, -0.264283, 1.0]], ['2, k, 13', [-0.230882, -0.654619, 1.0]], ['2, k, 14', [-0.289086, -1.00776, 1.0]], ['2, k, 15', [-0.311503, -1.07095, 1.0]], ['2, k, 16', [-0.0199276, -0.244323, 1.0]], ['2, k, 17', [0.0539187, -0.622388, 1.0]], ['2, k, 18', [0.0923902, -1.00783, 1.0]], ['2, k, 19', [0.133387, -1.06455, 1.0]], ['2, k, 20', [-0.118866, 0.313453, 1.0]], ['2, k, 21', [-0.310997, -0.384151, 1.0]], ['2, k, 22', [-0.286804, -0.309698, 1.0]], ['2, k, 23', [-0.11255, 0.190928, 1.0]], ['2, k, 24', [-0.023917, 0.261954, 1.0]]]
[['2, k, 0', [-0.103684, -0.257711, 1.0]], ['2, k, 1', [-0.112392, 0.0727859, 1.0]], ['2, k, 2', [-0.12538, 0.389924, 1.0]], ['2, k, 3', [-0.190238, 0.535649, 1.0]], ['2, k, 4', [-0.310689, 0.257252, 1.0]], ['2, k, 5', [-0.325845, 0.00184853, 1.0]], ['2, k, 6', [-0.328078, -0.229794, 1.0]], ['2, k, 7', [-0.328371, -0.320596, 1.0]], ['2, k, 8', [0.0509698, 0.296272, 1.0]], ['2, k, 9', [0.181212, 0.132846, 1.0]], ['2, k, 10', [-0.01444, 0.150386, 1.0]], ['2, k, 11', [-0.0642763, 0.158977, 1.0]], ['2, k, 12', [-0.183562, -0.261226, 1.0]], ['2, k, 13', [-0.252061, -0.718255, 1.0]], ['2, k, 14', [-0.292158, -1.03292, 1.0]], ['2, k, 15', [-0.311554, -1.07177, 1.0]], ['2, k, 16', [-0.0198049, -0.244997, 1.0]], ['2, k, 17', [0.0523588, -0.619531, 1.0]], ['2, k, 18', [0.0926373, -1.00737, 1.0]], ['2, k, 19', [0.133551, -1.06447, 1.0]], ['2, k, 20', [-0.122026, 0.311965, 1.0]], ['2, k, 21', [-0.311978, -0.395056, 1.0]], ['2, k, 22', [-0.2842, -0.315031, 1.0]], ['2, k, 23', [-0.118943, 0.156077, 1.0]], ['2, k, 24', [-0.0451982, 0.240298, 1.0]]]
[['2, k, 0', [-0.10305, -0.257049, 1.0]], ['2, k, 1', [-0.113297, 0.0722159, 1.0]], ['2, k, 2', [-0.128465, 0.387789, 1.0]], ['2, k, 3', [-0.196018, 0.531711, 1.0]], ['2, k, 4', [-0.311765, 0.257882, 1.0]], ['2, k, 5', [-0.32558, 0.00141826, 1.0]], ['2, k, 6', [-0.340863, -0.242623, 1.0]], ['2, k, 7', [-0.339384, -0.310086, 1.0]], ['2, k, 8', [0.0482476, 0.296281, 1.0]], ['2, k, 9', [0.18103, 0.133918, 1.0]], ['2, k, 10', [-0.0178054, 0.152086, 1.0]], ['2, k, 11', [-0.0662061, 0.159823, 1.0]], ['2, k, 12', [-0.181681, -0.25809, 1.0]], ['2, k, 13', [-0.227259, -0.599181, 1.0]], ['2, k, 14', [-0.289105, -1.00849, 1.0]], ['2, k, 15', [-0.311423, -1.07172, 1.0]], ['2, k, 16', [-0.0198667, -0.245672, 1.0]], ['2, k, 17', [0.0517208, -0.61809, 1.0]], ['2, k, 18', [0.0925089, -1.00716, 1.0]], ['2, k, 19', [0.133521, -1.06429, 1.0]], ['2, k, 20', [-0.124601, 0.310264, 1.0]], ['2, k, 21', [-0.336269, -0.384772, 1.0]], ['2, k, 22', [-0.300427, -0.302188, 1.0]], ['2, k, 23', [-0.119782, 0.162892, 1.0]], ['2, k, 24', [-0.0378589, 0.244594, 1.0]]]
