[['2, k, 0', [-0.287844, -0.357157, 1.0]], ['2, k, 1', [-0.304569, -0.0412222, 1.0]], ['2, k, 2', [-0.319061, 0.26701, 1.0]], ['2, k, 3', [-0.319285, 0.412612, 1.0]], ['2, k, 4', [-0.459466, 0.166057, 1.0]], ['2, k, 5', [-0.534798, 0.0926649, 1.0]], ['2, k, 6', [-0.307682, 0.0504417, 1.0]], ['2, k, 7', [-0.223408, 0.0148919, 1.0]], ['2, k, 8', [-0.171231, 0.168234, 1.0]], ['2, k, 9', [-0.0783729, 0.0765417, 1.0]], ['2, k, 10', [-0.294057, 0.0335807, 1.0]], ['2, k, 11', [-0.35956, 0.00901481, 1.0]], ['2, k, 12', [-0.349407, -0.352484, 1.0]], ['2, k, 13', [-0.411194, -0.638221, 1.0]], ['2, k, 14', [-0.432218, -0.99598, 1.0]], ['2, k, 15', [-0.442383, -1.08984, 1.0]], ['2, k, 16', [-0.218013, -0.351586, 1.0]], ['2, k, 17', [-0.167857, -0.607569, 1.0]], ['2, k, 18', [-0.155911, -1.0094, 1.0]], ['2, k, 19', [-0.126465, -1.07813, 1.0]], ['2, k, 20', [-0.315814, 0.191056, 1.0]], ['2, k, 21', [-0.156245, 0.0171581, 1.0]], ['2, k, 22', [-0.201976, 0.0220775, 1.0]], ['2, k, 23', [-0.415331, 0.00540877, 1.0]], ['2, k, 24', [-0.304379, 0.0110531, 1.0]]]
[['2, k, 0', [-0.283368, -0.351781, 1.0]], ['2, k, 1', [-0.303256, -0.0394565, 1.0]], ['2, k, 2', [-0.318974, 0.267066, 1.0]], ['2, k, 3', [-0.319143, 0.412434, 1.0]], ['2, k, 4', [-0.459417, 0.166045, 1.0]], ['2, k, 5', [-0.533767, 0.093729, 1.0]], ['2, k, 6', [-0.310493, 0.051516, 1.0]], ['2, k, 7', [-0.222361, 0.0149668, 1.0]], ['2, k, 8', [-0.171205, 0.168215, 1.0]], ['2, k, 9', [-0.0764908, 0.0932085, 1.0]], ['2, k, 10', [-0.0599436, 0.0194953, 1.0]], ['2, k, 11', [-0.0615782, 0.0191122, 1.0]], ['2, k, 12', [-0.344891, -0.346961, 1.0]], ['2, k, 13', [-0.411161, -0.63811, 1.0]], ['2, k, 14', [-0.432244, -0.995883, 1.0]], ['2, k, 15', [-0.441547, -1.08943, 1.0]], ['2, k, 16', [-0.213602, -0.346378, 1.0]], ['2, k, 17', [-0.167817, -0.607529, 1.0]], ['2, k, 18', [-0.155806, -1.00947, 1.0]], ['2, k, 19', [-0.126495, -1.07813, 1.0]], ['2, k, 20', [-0.315637, 0.191249, 1.0]], ['2, k, 21', [-0.159801, 0.0164339, 1.0]], ['2, k, 22', [-0.173283, 0.0137807, 1.0]], ['2, k, 23', [-0.0498964, 0.0136302, 1.0]], ['2, k, 24', [0.0112732, 0.0227393, 1.0]]]
[['2, k, 0', [-0.294165, -0.347438, 1.0]], ['2, k, 1', [-0.306711, -0.0375027, 1.0]], ['2, k, 2', [-0.318823, 0.266987, 1.0]], ['2, k, 3', [-0.319006, 0.411923, 1.0]], ['2, k, 4', [-0.459314, 0.166155, 1.0]], ['2, k, 5', [-0.531122, 0.100973, 1.0]], ['2, k, 6', [-0.558273, 0.00684732, 1.0]], ['2, k, 7', [-0.576747, -0.0045341, 1.0]], ['2, k, 8', [-0.170518, 0.168555, 1.0]], ['2, k, 9', [-0.0855974, 0.0796526, 1.0]], ['2, k, 10', [-0.0631096, 0.0228626, 1.0]], ['2, k, 11', [-0.0613981, 0.0195737, 1.0]], ['2, k, 12', [-0.355621, -0.342877, 1.0]], ['2, k, 13', [-0.41416, -0.70186, 1.0]], ['2, k, 14', [-0.432407, -1.02007, 1.0]], ['2, k, 15', [-0.445146, -1.09557, 1.0]], ['2, k, 16', [-0.224262, -0.341953, 1.0]], ['2, k, 17', [-0.17034, -0.687458, 1.0]], ['2, k, 18', [-0.153722, -1.01755, 1.0]], ['2, k, 19', [-0.126916, -1.07802, 1.0]], ['2, k, 20', [-0.315742, 0.191328, 1.0]], ['2, k, 21', [-0.595235, -0.0067725, 1.0]], ['2, k, 22', [-0.506359, 0.00538617, 1.0]], ['2, k, 23', [-0.0417085, 0.0176657, 1.0]], ['2, k, 24', [0.00943128, 0.0226255, 1.0]]]
[['2, k, 0', [-0.295298, -0.346337, 1.0]], ['2, k, 1', [-0.307217, -0.0369428, 1.0]], ['2, k, 2', [-0.31865, 0.266823, 1.0]], ['2, k, 3', [-0.318893, 0.411773, 1.0]], ['2, k, 4', [-0.459313, 0.166147, 1.0]], ['2, k, 5', [-0.530779, 0.105161, 1.0]], ['2, k, 6', [-0.557251, 0.0106338, 1.0]], ['2, k, 7', [-0.57548, -0.00404803, 1.0]], ['2, k, 8', [-0.170449, 0.168551, 1.0]], ['2, k, 9', [-0.0867666, 0.0752636, 1.0]], ['2, k, 10', [-0.0638513, 0.0231025, 1.0]], ['2, k, 11', [-0.0632012, 0.0195099, 1.0]], ['2, k, 12', [-0.356678, -0.34188, 1.0]], ['2, k, 13', [-0.411961, -0.695385, 1.0]], ['2, k, 14', [-0.432008, -1.02232, 1.0]], ['2, k, 15', [-0.445522, -1.09799, 1.0]], ['2, k, 16', [-0.225445, -0.340789, 1.0]], ['2, k, 17', [-0.168743, -0.682353, 1.0]], ['2, k, 18', [-0.153918, -1.02116, 1.0]], ['2, k, 19', [-0.125308, -1.07844, 1.0]], ['2, k, 20', [-0.315727, 0.191323, 1.0]], ['2, k, 21', [-0.587087, -0.00628274, 1.0]], ['2, k, 22', [-0.50511, 0.00693493, 1.0]], ['2, k, 23', [-0.0410278, 0.0188437, 1.0]], ['2, k, 24', [0.00206059, 0.0207844, 1.0]]]
[['2, k, 0', [-0.295822, -0.345335, 1.0]], ['2, k, 1', [-0.307572, -0.0362553, 1.0]], ['2, k, 2', [-0.318615, 0.266801, 1.0]], ['2, k, 3', [-0.318749, 0.411591, 1.0]], ['2, k, 4', [-0.459314, 0.166231, 1.0]], ['2, k, 5', [-0.528389, 0.107545, 1.0]], ['2, k, 6', [-0.555465, 0.0164841, 1.0]], ['2, k, 7', [-0.574314, -0.00336649, 1.0]], ['2, k, 8', [-0.170332, 0.168493, 1.0]], ['2, k, 9', [-0.0848831, 0.107758, 1.0]], ['2, k, 10', [-0.060687, 0.0212819, 1.0]], ['2, k, 11', [-0.0634893, 0.0194539, 1.0]], ['2, k, 12', [-0.357159, -0.340872, 1.0]], ['2, k, 13', [-0.413241, -0.683167, 1.0]], ['2, k, 14', [-0.431653, -1.02344, 1.0]], ['2, k, 15', [-0.445601, -1.09779, 1.0]], ['2, k, 16', [-0.225989, -0.339859, 1.0]], ['2, k, 17', [-0.166883, -0.677604, 1.0]], ['2, k, 18', [-0.153176, -1.02133, 1.0]], ['2, k, 19', [-0.124389, -1.07867, 1.0]], ['2, k, 20', [-0.315744, 0.191405, 1.0]], ['2, k, 21', [-0.588751, -0.00195541, 1.0]], ['2, k, 22', [-0.505476, 0.00682972, 1.0]], ['2, k, 23', [-0.0400561, 0.0154391, 1.0]], ['2, k, 24', [0.00122959, 0.0205288, 1.0]]]
[['2, k, 0', [-0.297675, -0.341907, 1.0]], ['2, k, 1', [-0.307773, -0.0353644, 1.0]], ['2, k, 2', [-0.317926, 0.266371, 1.0]], ['2, k, 3', [-0.318492, 0.411207, 1.0]], ['2, k, 4', [-0.459265, 0.166288, 1.0]], ['2, k, 5', [-0.522494, 0.0979223, 1.0]], ['2, k, 6', [-0.552064, 0.0171249, 1.0]], ['2, k, 7', [-0.539045, 0.0019182, 1.0]], ['2, k, 8', [-0.170176, 0.168545, 1.0]], ['2, k, 9', [-0.0789839, 0.110828, 1.0]], ['2, k, 10', [-0.0671669, 0.0406094, 1.0]], ['2, k, 11', [-0.0634142, 0.0201513, 1.0]], ['2, k, 12', [-0.359044, -0.337452, 1.0]], ['2, k, 13', [-0.412354, -0.675671, 1.0]], ['2, k, 14', [-0.431586, -1.02384, 1.0]], ['2, k, 15', [-0.445599, -1.09779, 1.0]], ['2, k, 16', [-0.227737, -0.33655, 1.0]], ['2, k, 17', [-0.166767, -0.674785, 1.0]], ['2, k, 18', [-0.152242, -1.02193, 1.0]], ['2, k, 19', [-0.123828, -1.0785, 1.0]], ['2, k, 20', [-0.315561, 0.191376, 1.0]], ['2, k, 21', [-0.563537, -0.00265572, 1.0]], ['2, k, 22', [-0.470544, 0.0116762, 1.0]], ['2, k, 23', [-0.0396516, 0.0169638, 1.0]], ['2, k, 24', [0.00462335, 0.0207083, 1.0]]]
[['2, k, 0', [-0.299061, -0.339325, 1.0]], ['2, k, 1', [-0.308214, -0.034599, 1.0]], ['2, k, 2', [-0.317701, 0.265947, 1.0]], ['2, k, 3', [-0.318117, 0.410838, 1.0]], ['2, k, 4', [-0.459238, 0.16628, 1.0]], ['2, k, 5', [-0.524036, 0.105667, 1.0]], ['2, k, 6', [-0.551959, 0.0206561, 1.0]], ['2, k, 7', [-0.54839, 0.00162071, 1.0]], ['2, k, 8', [-0.170068, 0.168434, 1.0]], ['2, k, 9', [-0.0743481, 0.138574, 1.0]], ['2, k, 10', [-0.0638485, 0.0423572, 1.0]], ['2, k, 11', [-0.0644427, 0.0216522, 1.0]], ['2, k, 12', [-0.360416, -0.334862, 1.0]], ['2, k, 13', [-0.411917, -0.672722, 1.0]], ['2, k, 14', [-0.431733, -1.02499, 1.0]], ['2, k, 15', [-0.445494, -1.09727, 1.0]], ['2, k, 16', [-0.229105, -0.334048, 1.0]], ['2, k, 17', [-0.166125, -0.671764, 1.0]], ['2, k, 18', [-0.150832, -1.02088, 1.0]], ['2, k, 19', [-0.123018, -1.07819, 1.0]], ['2, k, 20', [-0.315538, 0.191358, 1.0]], ['2, k, 21', [-0.56392, -0.00259706, 1.0]], ['2, k, 22', [-0.479322, 0.0115775, 1.0]], ['2, k, 23', [-0.0407408, 0.0180645, 1.0]], ['2, k, 24', [0.00579189, 0.0229702, 1.0]]]
[['2, k, 0', [-0.299454, -0.338913, 1.0]], ['2, k, 1', [-0.308341, -0.0344286, 1.0]], ['2, k, 2', [-0.31739, 0.26554, 1.0]], ['2, k, 3', [-0.317679, 0.410553, 1.0]], ['2, k, 4', [-0.459183, 0.166289, 1.0]], ['2, k, 5', [-0.524099, 0.108068, 1.0]], ['2, k, 6', [-0.411076, 0.0462008, 1.0]], ['2, k, 7', [-0.503133, 0.00824235, 1.0]], ['2, k, 8', [-0.16993, 0.168224, 1.0]], ['2, k, 9', [-0.0813475, 0.0848429, 1.0]], ['2, k, 10', [-0.159411, 0.0267266, 1.0]], ['2, k, 11', [-0.098768, 0.0248846, 1.0]], ['2, k, 12', [-0.360948, -0.334201, 1.0]], ['2, k, 13', [-0.411527, -0.671873, 1.0]], ['2, k, 14', [-0.432439, -1.02682, 1.0]], ['2, k, 15', [-0.445498, -1.0971, 1.0]], ['2, k, 16', [-0.22937, -0.333841, 1.0]], ['2, k, 17', [-0.165953, -0.671162, 1.0]], ['2, k, 18', [-0.150594, -1.02097, 1.0]], ['2, k, 19', [-0.122598, -1.07838, 1.0]], ['2, k, 20', [-0.315471, 0.191291, 1.0]], ['2, k, 21', [-0.55576, -0.00682236, 1.0]], ['2, k, 22', [-0.507109, 0.0203191, 1.0]], ['2, k, 23', [-0.0571181, 0.0281663, 1.0]], ['2, k, 24', [-0.0599621, 0.0532843, 1.0]]]
[['2, k, 0', [-0.299826, -0.339212, 1.0]], ['2, k, 1', [-0.308294, -0.034567, 1.0]], ['2, k, 2', [-0.316692, 0.265116, 1.0]], ['2, k, 3', [-0.317174, 0.410038, 1.0]], ['2, k, 4', [-0.459175, 0.16623, 1.0]], ['2, k, 5', [-0.523556, 0.108781, 1.0]], ['2, k, 6', [-0.412015, 0.0471825, 1.0]], ['2, k, 7', [-0.50414, 0.00902289, 1.0]], ['2, k, 8', [-0.169817, 0.168209, 1.0]], ['2, k, 9', [-0.0815674, 0.102989, 1.0]], ['2, k, 10', [-0.16648, 0.02899, 1.0]], ['2, k, 11', [-0.0938564, 0.026253, 1.0]], ['2, k, 12', [-0.361492, -0.334751, 1.0]], ['2, k, 13', [-0.411347, -0.672662, 1.0]], ['2, k, 14', [-0.43273, -1.02706, 1.0]], ['2, k, 15', [-0.445444, -1.09683, 1.0]], ['2, k, 16', [-0.229588, -0.333961, 1.0]], ['2, k, 17', [-0.165755, -0.670511, 1.0]], ['2, k, 18', [-0.150077, -1.02127, 1.0]], ['2, k, 19', [-0.122338, -1.07862, 1.0]], ['2, k, 20', [-0.315076, 0.191061, 1.0]], ['2, k, 21', [-0.555294, 0.000637309, 1.0]], ['2, k, 22', [-0.43978, 0.0161739, 1.0]], ['2, k, 23', [-0.0564472, 0.024317, 1.0]], ['2, k, 24', [-0.0595861, 0.0526387, 1.0]]]
[['2, k, 0', [-0.300411, -0.339643, 1.0]], ['2, k, 1', [-0.30852, -0.0347025, 1.0]], ['2, k, 2', [-0.316557, 0.264968, 1.0]], ['2, k, 3', [-0.316943, 0.409643, 1.0]], ['2, k, 4', [-0.459155, 0.166131, 1.0]], ['2, k, 5', [-0.523164, 0.109215, 1.0]], ['2, k, 6', [-0.413035, 0.0479356, 1.0]], ['2, k, 7', [-0.504284, 0.0102776, 1.0]], ['2, k, 8', [-0.169675, 0.168202, 1.0]], ['2, k, 9', [-0.0819315, 0.106039, 1.0]], ['2, k, 10', [-0.064206, 0.0368508, 1.0]], ['2, k, 11', [-0.0674521, 0.0258011, 1.0]], ['2, k, 12', [-0.362148, -0.335313, 1.0]], ['2, k, 13', [-0.410464, -0.677446, 1.0]], ['2, k, 14', [-0.432799, -1.02696, 1.0]], ['2, k, 15', [-0.445429, -1.09687, 1.0]], ['2, k, 16', [-0.230072, -0.334256, 1.0]], ['2, k, 17', [-0.165628, -0.670296, 1.0]], ['2, k, 18', [-0.149956, -1.0214, 1.0]], ['2, k, 19', [-0.12209, -1.07865, 1.0]], ['2, k, 20', [-0.31502, 0.190983, 1.0]], ['2, k, 21', [-0.55709, -0.00352913, 1.0]], ['2, k, 22', [-0.440141, 0.0162587, 1.0]], ['2, k, 23', [-0.0412357, 0.0239429, 1.0]], ['2, k, 24', [-0.124502, 0.0263274, 1.0]]]
[['2, k, 0', [-0.300721, -0.339986, 1.0]], ['2, k, 1', [-0.308615, -0.0347732, 1.0]], ['2, k, 2', [-0.316421, 0.264903, 1.0]], ['2, k, 3', [-0.316552, 0.40946, 1.0]], ['2, k, 4', [-0.459072, 0.166159, 1.0]], ['2, k, 5', [-0.518023, 0.0973473, 1.0]], ['2, k, 6', [-0.411143, 0.0441266, 1.0]], ['2, k, 7', [-0.500382, 0.0128096, 1.0]], ['2, k, 8', [-0.169555, 0.168189, 1.0]], ['2, k, 9', [-0.0822621, 0.107574, 1.0]], ['2, k, 10', [-0.0638491, 0.0374261, 1.0]], ['2, k, 11', [-0.0683704, 0.0258494, 1.0]], ['2, k, 12', [-0.362398, -0.335683, 1.0]], ['2, k, 13', [-0.409344, -0.671605, 1.0]], ['2, k, 14', [-0.433088, -1.02725, 1.0]], ['2, k, 15', [-0.445786, -1.09797, 1.0]], ['2, k, 16', [-0.230432, -0.33454, 1.0]], ['2, k, 17', [-0.16565, -0.669895, 1.0]], ['2, k, 18', [-0.149974, -1.02157, 1.0]], ['2, k, 19', [-0.121758, -1.0788, 1.0]], ['2, k, 20', [-0.314879, 0.190916, 1.0]], ['2, k, 21', [-0.557186, -0.00544439, 1.0]], ['2, k, 22', [-0.552821, -0.0175682, 1.0]], ['2, k, 23', [-0.0402521, 0.0209736, 1.0]], ['2, k, 24', [-0.124591, 0.0263663, 1.0]]]
