[['2, k, 0', [0.0237545, -0.248075, 1.0]], ['2, k, 1', [0.0253501, -0.0407596, 1.0]], ['2, k, 2', [0.0268565, 0.163797, 1.0]], ['2, k, 3', [0.0374738, 0.299509, 1.0]], ['2, k, 4', [-0.106866, 0.0774174, 1.0]], ['2, k, 5', [-0.172252, -0.109503, 1.0]], ['2, k, 6', [-0.179079, -0.289913, 1.0]], ['2, k, 7', [-0.195105, -0.352558, 1.0]], ['2, k, 8', [0.173464, 0.0735834, 1.0]], ['2, k, 9', [0.249249, -0.11306, 1.0]], ['2, k, 10', [0.280879, -0.248946, 1.0]], ['2, k, 11', [0.290918, -0.317113, 1.0]], ['2, k, 12', [-0.0399754, -0.245307, 1.0]], ['2, k, 13', [-0.139775, -0.366935, 1.0]], ['2, k, 14', [0.28308, -0.372477, 1.0]], ['2, k, 15', [0.159711, -0.3703, 1.0]], ['2, k, 16', [0.0871181, -0.247035, 1.0]], ['2, k, 17', [0.263186, -0.13028, 1.0]], ['2, k, 18', [0.318545, -0.367132, 1.0]], ['2, k, 19', [0.194851, -0.365738, 1.0]], ['2, k, 20', [0.0264956, 0.113031, 1.0]], ['2, k, 21', [-0.216361, -0.393919, 1.0]], ['2, k, 22', [-0.226117, -0.3561, 1.0]], ['2, k, 23', [0.30605, -0.358353, 1.0]], ['2, k, 24', [0.319526, -0.315073, 1.0]]]
[['2, k, 0', [0.023547, -0.247397, 1.0]], ['2, k, 1', [0.0255449, -0.040606, 1.0]], ['2, k, 2', [0.0279186, 0.163648, 1.0]], ['2, k, 3', [0.0375407, 0.299618, 1.0]], ['2, k, 4', [-0.107072, 0.0773211, 1.0]], ['2, k, 5', [-0.171516, -0.115499, 1.0]], ['2, k, 6', [-0.175717, -0.298705, 1.0]], ['2, k, 7', [-0.19165, -0.366628, 1.0]], ['2, k, 8', [0.173108, 0.0734109, 1.0]], ['2, k, 9', [0.249794, -0.106078, 1.0]], ['2, k, 10', [0.296013, -0.312703, 1.0]], ['2, k, 11', [0.295103, -0.387498, 1.0]], ['2, k, 12', [-0.0401654, -0.244683, 1.0]], ['2, k, 13', [-0.173768, -0.363852, 1.0]], ['2, k, 14', [-0.415067, -0.433457, 1.0]], ['2, k, 15', [-0.404821, -0.487566, 1.0]], ['2, k, 16', [0.0868808, -0.246266, 1.0]], ['2, k, 17', [0.266277, -0.143146, 1.0]], ['2, k, 18', [0.329731, -0.395212, 1.0]], ['2, k, 19', [0.309042, -0.443776, 1.0]], ['2, k, 20', [0.0272429, 0.113005, 1.0]], ['2, k, 21', [-0.202799, -0.411119, 1.0]], ['2, k, 22', [-0.223564, -0.393319, 1.0]], ['2, k, 23', [0.317283, -0.423841, 1.0]], ['2, k, 24', [0.333639, -0.381215, 1.0]]]
[['2, k, 0', [0.0228009, -0.24683, 1.0]], ['2, k, 1', [0.0254897, -0.040472, 1.0]], ['2, k, 2', [0.028226, 0.163649, 1.0]], ['2, k, 3', [0.0379582, 0.299722, 1.0]], ['2, k, 4', [-0.10804, 0.0762466, 1.0]], ['2, k, 5', [-0.172294, -0.129599, 1.0]], ['2, k, 6', [-0.183571, -0.331965, 1.0]], ['2, k, 7', [-0.190581, -0.400066, 1.0]], ['2, k, 8', [0.173336, 0.0740964, 1.0]], ['2, k, 9', [0.24949, -0.114553, 1.0]], ['2, k, 10', [0.288882, -0.303742, 1.0]], ['2, k, 11', [0.298488, -0.374301, 1.0]], ['2, k, 12', [-0.0409132, -0.244452, 1.0]], ['2, k, 13', [-0.179622, -0.376969, 1.0]], ['2, k, 14', [-0.299095, -0.479094, 1.0]], ['2, k, 15', [-0.289786, -0.532573, 1.0]], ['2, k, 16', [0.0858883, -0.245086, 1.0]], ['2, k, 17', [0.276561, -0.174168, 1.0]], ['2, k, 18', [0.331068, -0.396613, 1.0]], ['2, k, 19', [0.250737, -0.431636, 1.0]], ['2, k, 20', [0.0274248, 0.113044, 1.0]], ['2, k, 21', [-0.192271, -0.452727, 1.0]], ['2, k, 22', [-0.220671, -0.385401, 1.0]], ['2, k, 23', [0.315409, -0.42168, 1.0]], ['2, k, 24', [0.353118, -0.419779, 1.0]]]
[['2, k, 0', [0.0227484, -0.246869, 1.0]], ['2, k, 1', [0.0256558, -0.0405648, 1.0]], ['2, k, 2', [0.0291151, 0.16339, 1.0]], ['2, k, 3', [0.0389302, 0.299491, 1.0]], ['2, k, 4', [-0.107887, 0.0758992, 1.0]], ['2, k, 5', [-0.172016, -0.144748, 1.0]], ['2, k, 6', [-0.180695, -0.320715, 1.0]], ['2, k, 7', [-0.187908, -0.390515, 1.0]], ['2, k, 8', [0.1762, 0.0678096, 1.0]], ['2, k, 9', [0.247641, -0.13838, 1.0]], ['2, k, 10', [0.296657, -0.340816, 1.0]], ['2, k, 11', [0.294306, -0.415623, 1.0]], ['2, k, 12', [-0.0409792, -0.244376, 1.0]], ['2, k, 13', [-0.161899, -0.384318, 1.0]], ['2, k, 14', [-0.27379, -0.475547, 1.0]], ['2, k, 15', [-0.265461, -0.529235, 1.0]], ['2, k, 16', [0.0857927, -0.245461, 1.0]], ['2, k, 17', [0.299889, -0.171004, 1.0]], ['2, k, 18', [0.350326, -0.408775, 1.0]], ['2, k, 19', [0.29458, -0.465738, 1.0]], ['2, k, 20', [0.0281142, 0.112821, 1.0]], ['2, k, 21', [-0.193304, -0.44618, 1.0]], ['2, k, 22', [-0.21077, -0.421136, 1.0]], ['2, k, 23', [0.315543, -0.463333, 1.0]], ['2, k, 24', [0.337681, -0.430623, 1.0]]]
[['2, k, 0', [0.0225894, -0.246755, 1.0]], ['2, k, 1', [0.0257217, -0.0405707, 1.0]], ['2, k, 2', [0.0297465, 0.163101, 1.0]], ['2, k, 3', [0.0395087, 0.299363, 1.0]], ['2, k, 4', [-0.107725, 0.0754054, 1.0]], ['2, k, 5', [-0.172332, -0.151935, 1.0]], ['2, k, 6', [-0.179761, -0.338832, 1.0]], ['2, k, 7', [-0.186914, -0.410534, 1.0]], ['2, k, 8', [0.17619, 0.0678215, 1.0]], ['2, k, 9', [0.246961, -0.146086, 1.0]], ['2, k, 10', [0.288593, -0.339589, 1.0]], ['2, k, 11', [0.293291, -0.413495, 1.0]], ['2, k, 12', [-0.0412696, -0.244196, 1.0]], ['2, k, 13', [-0.174303, -0.389364, 1.0]], ['2, k, 14', [-0.314209, -0.568968, 1.0]], ['2, k, 15', [-0.391709, -0.491322, 1.0]], ['2, k, 16', [0.0857283, -0.245401, 1.0]], ['2, k, 17', [0.328435, -0.202974, 1.0]], ['2, k, 18', [0.387022, -0.438641, 1.0]], ['2, k, 19', [0.285706, -0.458432, 1.0]], ['2, k, 20', [0.0285822, 0.112626, 1.0]], ['2, k, 21', [-0.185502, -0.46795, 1.0]], ['2, k, 22', [-0.215145, -0.39619, 1.0]], ['2, k, 23', [0.30353, -0.462368, 1.0]], ['2, k, 24', [0.341366, -0.450866, 1.0]]]
[['2, k, 0', [0.0226257, -0.246587, 1.0]], ['2, k, 1', [0.025761, -0.0405689, 1.0]], ['2, k, 2', [0.0297792, 0.162801, 1.0]], ['2, k, 3', [0.0399445, 0.299429, 1.0]], ['2, k, 4', [-0.107752, 0.0752946, 1.0]], ['2, k, 5', [-0.171602, -0.156797, 1.0]], ['2, k, 6', [-0.179042, -0.35211, 1.0]], ['2, k, 7', [-0.191267, -0.425943, 1.0]], ['2, k, 8', [0.176257, 0.0678125, 1.0]], ['2, k, 9', [0.247023, -0.148558, 1.0]], ['2, k, 10', [0.294645, -0.397071, 1.0]], ['2, k, 11', [0.28989, -0.452119, 1.0]], ['2, k, 12', [-0.0412478, -0.243988, 1.0]], ['2, k, 13', [-0.183793, -0.414071, 1.0]], ['2, k, 14', [-0.300356, -0.600796, 1.0]], ['2, k, 15', [-0.371821, -0.52282, 1.0]], ['2, k, 16', [0.0858016, -0.24529, 1.0]], ['2, k, 17', [0.339849, -0.21018, 1.0]], ['2, k, 18', [0.393747, -0.472171, 1.0]], ['2, k, 19', [0.306054, -0.484219, 1.0]], ['2, k, 20', [0.0286445, 0.112426, 1.0]], ['2, k, 21', [-0.197302, -0.48066, 1.0]], ['2, k, 22', [-0.216079, -0.462912, 1.0]], ['2, k, 23', [0.297505, -0.494425, 1.0]], ['2, k, 24', [0.338913, -0.459792, 1.0]]]
[['2, k, 0', [0.0232971, -0.247336, 1.0]], ['2, k, 1', [0.0264428, -0.0412959, 1.0]], ['2, k, 2', [0.030266, 0.162108, 1.0]], ['2, k, 3', [0.0415256, 0.300317, 1.0]], ['2, k, 4', [-0.108497, 0.0741517, 1.0]], ['2, k, 5', [-0.169341, -0.159851, 1.0]], ['2, k, 6', [-0.18389, -0.366052, 1.0]], ['2, k, 7', [-0.199984, -0.44204, 1.0]], ['2, k, 8', [0.176822, 0.0685859, 1.0]], ['2, k, 9', [0.248051, -0.155096, 1.0]], ['2, k, 10', [0.278151, -0.350541, 1.0]], ['2, k, 11', [0.284793, -0.41928, 1.0]], ['2, k, 12', [-0.0404997, -0.245141, 1.0]], ['2, k, 13', [-0.251064, -0.366435, 1.0]], ['2, k, 14', [-0.26961, -0.634051, 1.0]], ['2, k, 15', [-0.356552, -0.550149, 1.0]], ['2, k, 16', [0.0864851, -0.245771, 1.0]], ['2, k, 17', [0.323958, -0.359191, 1.0]], ['2, k, 18', [0.388039, -0.622669, 1.0]], ['2, k, 19', [0.315988, -0.520575, 1.0]], ['2, k, 20', [0.0292243, 0.111692, 1.0]], ['2, k, 21', [-0.213316, -0.495327, 1.0]], ['2, k, 22', [-0.231942, -0.46038, 1.0]], ['2, k, 23', [0.286823, -0.47205, 1.0]], ['2, k, 24', [0.306423, -0.455752, 1.0]]]
[['2, k, 0', [0.0269112, -0.250899, 1.0]], ['2, k, 1', [0.0271243, -0.0423892, 1.0]], ['2, k, 2', [0.0301009, 0.161437, 1.0]], ['2, k, 3', [0.0415395, 0.299767, 1.0]], ['2, k, 4', [-0.109269, 0.0724024, 1.0]], ['2, k, 5', [-0.169232, -0.169102, 1.0]], ['2, k, 6', [-0.184397, -0.3679, 1.0]], ['2, k, 7', [-0.201131, -0.452605, 1.0]], ['2, k, 8', [0.176748, 0.0692502, 1.0]], ['2, k, 9', [0.248965, -0.161149, 1.0]], ['2, k, 10', [0.263792, -0.407099, 1.0]], ['2, k, 11', [0.286188, -0.46641, 1.0]], ['2, k, 12', [-0.0366998, -0.250303, 1.0]], ['2, k, 13', [-0.0840164, -0.506259, 1.0]], ['2, k, 14', [-0.317371, -0.442146, 1.0]], ['2, k, 15', [-0.42734, -0.472919, 1.0]], ['2, k, 16', [0.0899211, -0.247926, 1.0]], ['2, k, 17', [0.317481, -0.358826, 1.0]], ['2, k, 18', [0.384773, -0.625817, 1.0]], ['2, k, 19', [0.319758, -0.528501, 1.0]], ['2, k, 20', [0.029249, 0.11117, 1.0]], ['2, k, 21', [-0.215806, -0.501802, 1.0]], ['2, k, 22', [-0.251356, -0.484435, 1.0]], ['2, k, 23', [0.293796, -0.51919, 1.0]], ['2, k, 24', [0.320477, -0.453971, 1.0]]]
[['2, k, 0', [0.0315328, -0.245325, 1.0]], ['2, k, 1', [0.0297165, -0.0408606, 1.0]], ['2, k, 2', [0.0311205, 0.161603, 1.0]], ['2, k, 3', [0.0416874, 0.299195, 1.0]], ['2, k, 4', [-0.109412, 0.0738524, 1.0]], ['2, k, 5', [-0.16634, -0.163854, 1.0]], ['2, k, 6', [-0.191224, -0.358197, 1.0]], ['2, k, 7', [-0.197909, -0.42815, 1.0]], ['2, k, 8', [0.176697, 0.071814, 1.0]], ['2, k, 9', [0.247945, -0.161288, 1.0]], ['2, k, 10', [0.277136, -0.354193, 1.0]], ['2, k, 11', [0.29021, -0.424331, 1.0]], ['2, k, 12', [-0.0324956, -0.24419, 1.0]], ['2, k, 13', [-0.218565, -0.480546, 1.0]], ['2, k, 14', [-0.495281, -0.507022, 1.0]], ['2, k, 15', [-0.565714, -0.451694, 1.0]], ['2, k, 16', [0.0951245, -0.242718, 1.0]], ['2, k, 17', [0.342245, -0.329803, 1.0]], ['2, k, 18', [0.314955, -0.607253, 1.0]], ['2, k, 19', [0.332275, -0.499023, 1.0]], ['2, k, 20', [0.0306284, 0.111526, 1.0]], ['2, k, 21', [-0.215744, -0.48267, 1.0]], ['2, k, 22', [-0.236046, -0.47358, 1.0]], ['2, k, 23', [0.310166, -0.479842, 1.0]], ['2, k, 24', [0.309442, -0.398518, 1.0]]]
[['2, k, 0', [0.0278905, -0.249947, 1.0]], ['2, k, 1', [0.0296338, -0.0419483, 1.0]], ['2, k, 2', [0.0322823, 0.160751, 1.0]], ['2, k, 3', [0.0422981, 0.29833, 1.0]], ['2, k, 4', [-0.109179, 0.0737477, 1.0]], ['2, k, 5', [-0.166063, -0.171713, 1.0]], ['2, k, 6', [-0.182693, -0.387962, 1.0]], ['2, k, 7', [-0.193942, -0.461342, 1.0]], ['2, k, 8', [0.176698, 0.0717996, 1.0]], ['2, k, 9', [0.247516, -0.162405, 1.0]], ['2, k, 10', [0.322648, -0.408524, 1.0]], ['2, k, 11', [0.292775, -0.452215, 1.0]], ['2, k, 12', [-0.040537, -0.24853, 1.0]], ['2, k, 13', [-0.223109, -0.438571, 1.0]], ['2, k, 14', [-0.141112, -0.196309, 1.0]], ['2, k, 15', [-0.159784, -0.309695, 1.0]], ['2, k, 16', [0.0944687, -0.247849, 1.0]], ['2, k, 17', [0.314491, -0.379103, 1.0]], ['2, k, 18', [0.396439, -0.644688, 1.0]], ['2, k, 19', [0.333534, -0.536796, 1.0]], ['2, k, 20', [0.0313206, 0.110641, 1.0]], ['2, k, 21', [-0.195328, -0.52151, 1.0]], ['2, k, 22', [-0.217993, -0.465654, 1.0]], ['2, k, 23', [0.327598, -0.527775, 1.0]], ['2, k, 24', [0.316867, -0.447593, 1.0]]]
[['2, k, 0', [0.0262858, -0.247342, 1.0]], ['2, k, 1', [0.0293787, -0.0404108, 1.0]], ['2, k, 2', [0.032829, 0.16306, 1.0]], ['2, k, 3', [0.0433869, 0.29925, 1.0]], ['2, k, 4', [-0.107468, 0.0790383, 1.0]], ['2, k, 5', [-0.142561, -0.109965, 1.0]], ['2, k, 6', [-0.173994, -0.33395, 1.0]], ['2, k, 7', [-0.190029, -0.406881, 1.0]], ['2, k, 8', [0.176546, 0.0781938, 1.0]], ['2, k, 9', [0.224849, -0.120265, 1.0]], ['2, k, 10', [0.27328, -0.342703, 1.0]], ['2, k, 11', [0.282749, -0.414878, 1.0]], ['2, k, 12', [-0.0410265, -0.246208, 1.0]], ['2, k, 13', [-0.281481, -0.376181, 1.0]], ['2, k, 14', [-0.281808, -0.636497, 1.0]], ['2, k, 15', [-0.21737, -0.536485, 1.0]], ['2, k, 16', [0.0917823, -0.244847, 1.0]], ['2, k, 17', [0.331598, -0.390022, 1.0]], ['2, k, 18', [0.379017, -0.647395, 1.0]], ['2, k, 19', [0.309638, -0.549878, 1.0]], ['2, k, 20', [0.0316827, 0.112624, 1.0]], ['2, k, 21', [-0.194036, -0.463806, 1.0]], ['2, k, 22', [-0.208397, -0.44977, 1.0]], ['2, k, 23', [0.300396, -0.47063, 1.0]], ['2, k, 24', [0.320402, -0.467683, 1.0]]]
