[['2, k, 0', [19.61738, 86.83888, 1.0]], ['2, k, 1', [20.083060542680872, 116.69448838659991, 1.0]], ['2, k, 2', [20.371539393680607, 139.2652220732915, 1.0]], ['2, k, 3', [20.43656973401442, 145.68515528878305, 1.0]], ['2, k, 4', [38.101606832890695, 136.01563695878028, 1.0]], ['2, k, 5', [61.2703231059413, 136.34926135423115, 1.0]], ['2, k, 6', [68.8331439411655, 157.6087581081423, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.6626735471204945, 136.367975478685, 1.0]], ['2, k, 9', [-23.33559418621074, 133.93506459993074, 1.0]], ['2, k, 10', [-29.25613178436031, 156.17234322262544, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.44611269739176, 86.67794599414087, 1.0]], ['2, k, 13', [28.890469660023662, 45.1803331676827, 1.0]], ['2, k, 14', [30.247705923882727, 10.849429615967225, 1.0]], ['2, k, 15', [29.41092999620586, 7.779252675023944, 1.0]], ['2, k, 16', [11.273951145577264, 86.78955340216038, 1.0]], ['2, k, 17', [13.324001256821504, 46.48845292667281, 1.0]], ['2, k, 18', [15.224203721473135, 10.782454336294649, 1.0]], ['2, k, 19', [14.559311298410691, 7.71126650828072, 1.0]], ['2, k, 20', [20.371539393680607, 139.2652220732915, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.525586666666666, 86.82989333333335, 1.0]], ['2, k, 1', [19.972628156643918, 116.68578288703443, 1.0]], ['2, k, 2', [20.253023134390126, 139.25629899532808, 1.0]], ['2, k, 3', [20.31688582621875, 145.67603525381725, 1.0]], ['2, k, 4', [38.02138228921584, 136.00158918462338, 1.0]], ['2, k, 5', [61.17290707619109, 136.2682147429865, 1.0]], ['2, k, 6', [68.73672623865998, 157.51701651745458, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.5638276981545651, 136.35283994683115, 1.0]], ['2, k, 9', [-23.356794647118114, 133.9436206236727, 1.0]], ['2, k, 10', [-29.34989009579346, 156.1726947873018, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.3537189620534, 86.67201803101374, 1.0]], ['2, k, 13', [28.854441029289546, 45.176180271466485, 1.0]], ['2, k, 14', [30.20232244386813, 10.997889913518392, 1.0]], ['2, k, 15', [29.372654661874904, 7.924998562023765, 1.0]], ['2, k, 16', [11.187972358345409, 86.7741383609752, 1.0]], ['2, k, 17', [13.2708520074844, 46.55072893257651, 1.0]], ['2, k, 18', [15.221362318063708, 10.76141552919507, 1.0]], ['2, k, 19', [14.563339799163046, 7.689168718029211, 1.0]], ['2, k, 20', [20.253023134390126, 139.25629899532808, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.437806000000002, 86.82049400000001, 1.0]], ['2, k, 1', [19.877338098727503, 116.6771856781969, 1.0]], ['2, k, 2', [20.155270411858165, 139.24804580517156, 1.0]], ['2, k, 3', [20.218893587942986, 145.66766184238296, 1.0]], ['2, k, 4', [37.93445479159247, 135.99187767602282, 1.0]], ['2, k, 5', [61.05071262133963, 136.2126332936416, 1.0]], ['2, k, 6', [68.62967928702938, 157.41921153339007, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.4614543205828596, 136.34082072621544, 1.0]], ['2, k, 9', [-23.39925200108854, 133.909499951937, 1.0]], ['2, k, 10', [-29.515569494089522, 156.10693956297445, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.27401877298994, 86.66331696757447, 1.0]], ['2, k, 13', [28.836913819639655, 45.16967260594569, 1.0]], ['2, k, 14', [30.17970887868553, 11.035015164634686, 1.0]], ['2, k, 15', [29.35417288305164, 7.96088276704606, 1.0]], ['2, k, 16', [11.09505723747805, 86.76233969218143, 1.0]], ['2, k, 17', [13.231552816032785, 46.58355695154274, 1.0]], ['2, k, 18', [15.201516830498472, 10.733904785504855, 1.0]], ['2, k, 19', [14.547498347851178, 7.6610723894333805, 1.0]], ['2, k, 20', [20.155270411858165, 139.24804580517156, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.362718, 86.81437600000001, 1.0]], ['2, k, 1', [19.78645192995404, 116.67414510953613, 1.0]], ['2, k, 2', [20.052603281920344, 139.24739723663862, 1.0]], ['2, k, 3', [20.112939504547093, 145.66698553337193, 1.0]], ['2, k, 4', [37.84523524201627, 135.9740313673611, 1.0]], ['2, k, 5', [60.94736784709664, 136.1397060791795, 1.0]], ['2, k, 6', [68.54582837022413, 157.3065274675274, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.3631632653435908, 136.33622567733832, 1.0]], ['2, k, 9', [-23.46339694907339, 133.9099891230186, 1.0]], ['2, k, 10', [-29.657994766645324, 156.0832440402158, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.197922912555264, 86.66055967816857, 1.0]], ['2, k, 13', [28.799695453416692, 45.168724052392534, 1.0]], ['2, k, 14', [30.131261712867932, 11.11866460057366, 1.0]], ['2, k, 15', [29.310337703407818, 8.043143379528484, 1.0]], ['2, k, 16', [11.02068047613875, 86.75162937805416, 1.0]], ['2, k, 17', [13.141964923972907, 46.627805164855566, 1.0]], ['2, k, 18', [15.162995402818954, 10.71444947753065, 1.0]], ['2, k, 19', [14.513882783836001, 7.641073379974755, 1.0]], ['2, k, 20', [20.052603281920344, 139.24739723663862, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.296056, 86.81053800000001, 1.0]], ['2, k, 1', [19.71272155783782, 116.67583963396365, 1.0]], ['2, k, 2', [19.973195877220647, 139.2535286400123, 1.0]], ['2, k, 3', [20.031961030874058, 145.67308620838688, 1.0]], ['2, k, 4', [37.77154731188434, 135.96011992834767, 1.0]], ['2, k, 5', [60.869931833086426, 136.09100611731117, 1.0]], ['2, k, 6', [68.46045396354708, 157.21667595564205, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.2875165867865448, 136.33641349464077, 1.0]], ['2, k, 9', [-23.529846293931875, 133.9485273909832, 1.0]], ['2, k, 10', [-29.74054114575135, 156.12726091190984, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.12888930216318, 86.65865214840069, 1.0]], ['2, k, 13', [28.751055286559833, 45.16776325597652, 1.0]], ['2, k, 14', [30.091529781526692, 11.167604024336704, 1.0]], ['2, k, 15', [29.276264120048072, 8.091537971493707, 1.0]], ['2, k, 16', [10.955280281770547, 86.74581210503639, 1.0]], ['2, k, 17', [13.073681398666396, 46.66531316247878, 1.0]], ['2, k, 18', [15.116908539769383, 10.70654723336552, 1.0]], ['2, k, 19', [14.473700421982166, 7.632326809953062, 1.0]], ['2, k, 20', [19.973195877220647, 139.2535286400123, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.242382, 86.80688, 1.0]], ['2, k, 1', [19.65141149046574, 116.67942899127357, 1.0]], ['2, k, 2', [19.905694970803633, 139.26263248729884, 1.0]], ['2, k, 3', [19.962716188693026, 145.68210886986145, 1.0]], ['2, k, 4', [37.68380805411716, 135.95473384738105, 1.0]], ['2, k, 5', [60.7943246025267, 136.04682447736243, 1.0]], ['2, k, 6', [68.36967605960767, 157.15402272523585, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.210603646379763, 136.3369878193724, 1.0]], ['2, k, 9', [-23.620651037297133, 133.99302355636794, 1.0]], ['2, k, 10', [-29.812555223985626, 156.18310924207216, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.071065288580865, 86.65824189399615, 1.0]], ['2, k, 13', [28.709810248007, 45.16927035411672, 1.0]], ['2, k, 14', [30.061436536780977, 11.186582939800303, 1.0]], ['2, k, 15', [29.250670654356963, 8.110262414525996, 1.0]], ['2, k, 16', [10.900914567758115, 86.74000197499541, 1.0]], ['2, k, 17', [13.036492012145992, 46.690818636341845, 1.0]], ['2, k, 18', [15.093275502280836, 10.706330680984252, 1.0]], ['2, k, 19', [14.454481546035193, 7.631085472819054, 1.0]], ['2, k, 20', [19.905694970803633, 139.26263248729884, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.198221999999998, 86.80426600000001, 1.0]], ['2, k, 1', [19.60663232750657, 116.68333366244623, 1.0]], ['2, k, 2', [19.85957499342739, 139.27136072096923, 1.0]], ['2, k, 3', [19.916145283880763, 145.69075123606723, 1.0]], ['2, k, 4', [37.62237237516365, 135.9539772476457, 1.0]], ['2, k, 5', [60.75384526414844, 136.0160373338298, 1.0]], ['2, k, 6', [68.32707447513944, 157.16925349448803, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.1435975103562939, 136.33379195488033, 1.0]], ['2, k, 9', [-23.70780090729334, 134.00039013364935, 1.0]], ['2, k, 10', [-29.886695335327975, 156.18919520163627, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [27.020271882472095, 86.65857724736313, 1.0]], ['2, k, 13', [28.685808041327768, 45.172790184461626, 1.0]], ['2, k, 14', [30.043379445132974, 11.186670346818488, 1.0]], ['2, k, 15', [29.235013858991312, 8.110470630890507, 1.0]], ['2, k, 16', [10.861585712355852, 86.73713345837126, 1.0]], ['2, k, 17', [13.020540848204282, 46.714092203780524, 1.0]], ['2, k, 18', [15.098220976768449, 10.751871944433532, 1.0]], ['2, k, 19', [14.461723009348361, 7.67561135549486, 1.0]], ['2, k, 20', [19.85957499342739, 139.27136072096923, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.145816000000003, 86.800718, 1.0]], ['2, k, 1', [19.55113917144569, 116.68616790438656, 1.0]], ['2, k, 2', [19.801980947107783, 139.27968571775952, 1.0]], ['2, k, 3', [19.85803761875277, 145.698957494938, 1.0]], ['2, k, 4', [37.55279768985251, 135.95718629137275, 1.0]], ['2, k, 5', [60.69110684818418, 135.99191684835432, 1.0]], ['2, k, 6', [68.26894036176527, 157.21767305251373, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [1.0667684960729957, 136.33303352586236, 1.0]], ['2, k, 9', [-23.8294327769002, 133.99956900825092, 1.0]], ['2, k, 10', [-29.999057032815802, 156.17631048981548, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [26.96700070620505, 86.65831989957438, 1.0]], ['2, k, 13', [28.663245073274965, 45.176178198696014, 1.0]], ['2, k, 14', [30.031484348275825, 11.129396980318063, 1.0]], ['2, k, 15', [29.222913077528812, 8.053174596968848, 1.0]], ['2, k, 16', [10.816085184030463, 86.73241756525543, 1.0]], ['2, k, 17', [13.00582714089833, 46.72739687657126, 1.0]], ['2, k, 18', [15.103672944108443, 10.808151478198205, 1.0]], ['2, k, 19', [14.466873225285786, 7.73080841020588, 1.0]], ['2, k, 20', [19.801980947107783, 139.27968571775952, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.09105, 86.795722, 1.0]], ['2, k, 1', [19.492612561987894, 116.68614919430522, 1.0]], ['2, k, 2', [19.741464125603805, 139.2852235710152, 1.0]], ['2, k, 3', [19.797092966021506, 145.70440767376084, 1.0]], ['2, k, 4', [37.48426871799079, 135.9627012071914, 1.0]], ['2, k, 5', [60.60964015704043, 135.96179678126083, 1.0]], ['2, k, 6', [68.18438467936207, 157.2818774571132, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [0.9970036261225808, 136.3324009069077, 1.0]], ['2, k, 9', [-23.939029905092614, 134.00472906480277, 1.0]], ['2, k, 10', [-30.0923495308856, 156.17556311795633, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [26.916003748306583, 86.65709083842796, 1.0]], ['2, k, 13', [28.644346457560875, 45.17860495447291, 1.0]], ['2, k, 14', [30.02539975979766, 11.055573798809306, 1.0]], ['2, k, 15', [29.215371847099398, 7.978960812116847, 1.0]], ['2, k, 16', [10.765808878307604, 86.72630668475395, 1.0]], ['2, k, 17', [12.9951613018855, 46.72424734066088, 1.0]], ['2, k, 18', [15.10806706972211, 10.84186183841905, 1.0]], ['2, k, 19', [14.469624122580571, 7.763801934782962, 1.0]], ['2, k, 20', [19.741464125603805, 139.2852235710152, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [19.022783999999998, 86.78979799999999, 1.0]], ['2, k, 1', [19.41620130138768, 116.68336525723069, 1.0]], ['2, k, 2', [19.65919435399414, 139.28601524677615, 1.0]], ['2, k, 3', [19.713203013683863, 145.7051411694408, 1.0]], ['2, k, 4', [37.39676144915716, 135.96351504314723, 1.0]], ['2, k, 5', [60.504009204633924, 135.92776588253847, 1.0]], ['2, k, 6', [68.09488376461547, 157.38279917583571, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [0.9013798249232039, 136.32801045913524, 1.0]], ['2, k, 9', [-24.079146359006014, 133.99475085517076, 1.0]], ['2, k, 10', [-30.236204406147426, 156.15821114095073, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [26.853617302278504, 86.65547719694348, 1.0]], ['2, k, 13', [28.609968929715087, 45.18190632305442, 1.0]], ['2, k, 14', [30.008348891824095, 10.950185481280279, 1.0]], ['2, k, 15', [29.196239461406844, 7.873229060167791, 1.0]], ['2, k, 16', [10.700422755792399, 86.7181782386827, 1.0]], ['2, k, 17', [12.967643362653554, 46.71311400103698, 1.0]], ['2, k, 18', [15.092129930806138, 10.885584595791642, 1.0]], ['2, k, 19', [14.451462473306389, 7.806876659240385, 1.0]], ['2, k, 20', [19.65919435399414, 139.28601524677615, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [18.946204, 86.78215999999999, 1.0]], ['2, k, 1', [19.329049823249136, 116.67755361609193, 1.0]], ['2, k, 2', [19.56313188704042, 139.2822104057589, 1.0]], ['2, k, 3', [19.614450906713003, 145.70133752857936, 1.0]], ['2, k, 4', [37.30936029732216, 135.95240983043092, 1.0]], ['2, k, 5', [60.38782832800667, 135.88648609955322, 1.0]], ['2, k, 6', [68.00063064464702, 157.45396309987282, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [0.8118940159586998, 136.3216054603032, 1.0]], ['2, k, 9', [-24.201132765882864, 133.9765931183346, 1.0]], ['2, k, 10', [-30.373512499855224, 156.14037309739442, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [26.785944915862096, 86.65164728124343, 1.0]], ['2, k, 13', [28.56405650500629, 45.18434590462956, 1.0]], ['2, k, 14', [29.987966475371312, 10.785175676477984, 1.0]], ['2, k, 15', [29.17211932906025, 7.708074253250374, 1.0]], ['2, k, 16', [10.625844403133161, 86.70790074534743, 1.0]], ['2, k, 17', [12.924484716424686, 46.70275062139392, 1.0]], ['2, k, 18', [15.062404230438453, 10.929847646643935, 1.0]], ['2, k, 19', [14.417844989634142, 7.850960065108232, 1.0]], ['2, k, 20', [19.56313188704042, 139.2822104057589, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
