[['2, k, 0', [-0.119718, -0.349367, 1.0]], ['2, k, 1', [-0.120216, -0.0293774, 1.0]], ['2, k, 2', [-0.119973, 0.282629, 1.0]], ['2, k, 3', [-0.115596, 0.432533, 1.0]], ['2, k, 4', [-0.307133, 0.182657, 1.0]], ['2, k, 5', [-0.385805, -0.0719823, 1.0]], ['2, k, 6', [-0.399978, -0.292642, 1.0]], ['2, k, 7', [-0.401387, -0.332014, 1.0]], ['2, k, 8', [0.0550666, 0.176313, 1.0]], ['2, k, 9', [0.130467, -0.0654193, 1.0]], ['2, k, 10', [0.172634, -0.282843, 1.0]], ['2, k, 11', [0.182002, -0.33425, 1.0]], ['2, k, 12', [-0.200595, -0.342833, 1.0]], ['2, k, 13', [-0.235545, -0.672702, 1.0]], ['2, k, 14', [-0.222285, -1.00189, 1.0]], ['2, k, 15', [-0.225342, -1.06152, 1.0]], ['2, k, 16', [-0.0353569, -0.345734, 1.0]], ['2, k, 17', [-0.0178061, -0.675204, 1.0]], ['2, k, 18', [-0.0252037, -0.997393, 1.0]], ['2, k, 19', [0.0051918, -1.06055, 1.0]], ['2, k, 20', [-0.120162, 0.205775, 1.0]], ['2, k, 21', [-0.398915, -0.376452, 1.0]], ['2, k, 22', [-0.342954, -0.352938, 1.0]], ['2, k, 23', [0.197025, -0.388311, 1.0]], ['2, k, 24', [0.12879, -0.3572, 1.0]]]
[['2, k, 0', [-0.119784, -0.34947, 1.0]], ['2, k, 1', [-0.120226, -0.0294599, 1.0]], ['2, k, 2', [-0.119927, 0.282515, 1.0]], ['2, k, 3', [-0.115617, 0.432474, 1.0]], ['2, k, 4', [-0.307146, 0.182624, 1.0]], ['2, k, 5', [-0.385784, -0.0720202, 1.0]], ['2, k, 6', [-0.400263, -0.292713, 1.0]], ['2, k, 7', [-0.401945, -0.33229, 1.0]], ['2, k, 8', [0.0550784, 0.176402, 1.0]], ['2, k, 9', [0.130554, -0.0654244, 1.0]], ['2, k, 10', [0.172953, -0.282806, 1.0]], ['2, k, 11', [0.182303, -0.334426, 1.0]], ['2, k, 12', [-0.200674, -0.343, 1.0]], ['2, k, 13', [-0.235517, -0.672657, 1.0]], ['2, k, 14', [-0.222855, -1.00265, 1.0]], ['2, k, 15', [-0.226033, -1.06242, 1.0]], ['2, k, 16', [-0.0354246, -0.345799, 1.0]], ['2, k, 17', [-0.0177166, -0.675179, 1.0]], ['2, k, 18', [-0.025252, -0.997866, 1.0]], ['2, k, 19', [0.00504626, -1.06078, 1.0]], ['2, k, 20', [-0.120134, 0.205672, 1.0]], ['2, k, 21', [-0.402321, -0.38096, 1.0]], ['2, k, 22', [-0.342593, -0.352562, 1.0]], ['2, k, 23', [0.198178, -0.388317, 1.0]], ['2, k, 24', [0.129123, -0.359245, 1.0]]]
[['2, k, 0', [-0.120177, -0.350163, 1.0]], ['2, k, 1', [-0.12046, -0.029705, 1.0]], ['2, k, 2', [-0.120173, 0.282514, 1.0]], ['2, k, 3', [-0.115645, 0.432416, 1.0]], ['2, k, 4', [-0.307168, 0.182513, 1.0]], ['2, k, 5', [-0.38582, -0.0707131, 1.0]], ['2, k, 6', [-0.400934, -0.291214, 1.0]], ['2, k, 7', [-0.402326, -0.331607, 1.0]], ['2, k, 8', [0.0551462, 0.176487, 1.0]], ['2, k, 9', [0.130571, -0.0654736, 1.0]], ['2, k, 10', [0.173441, -0.282517, 1.0]], ['2, k, 11', [0.182521, -0.333709, 1.0]], ['2, k, 12', [-0.20111, -0.343857, 1.0]], ['2, k, 13', [-0.235919, -0.674068, 1.0]], ['2, k, 14', [-0.223924, -1.00415, 1.0]], ['2, k, 15', [-0.228044, -1.06815, 1.0]], ['2, k, 16', [-0.0357649, -0.346326, 1.0]], ['2, k, 17', [-0.0176004, -0.674962, 1.0]], ['2, k, 18', [-0.0250085, -0.998025, 1.0]], ['2, k, 19', [0.00389672, -1.06176, 1.0]], ['2, k, 20', [-0.120365, 0.205606, 1.0]], ['2, k, 21', [-0.40226, -0.379857, 1.0]], ['2, k, 22', [-0.342032, -0.351987, 1.0]], ['2, k, 23', [0.192672, -0.384554, 1.0]], ['2, k, 24', [0.128983, -0.357406, 1.0]]]
[['2, k, 0', [-0.120333, -0.350378, 1.0]], ['2, k, 1', [-0.120492, -0.0297537, 1.0]], ['2, k, 2', [-0.120165, 0.282519, 1.0]], ['2, k, 3', [-0.115669, 0.432403, 1.0]], ['2, k, 4', [-0.307168, 0.182427, 1.0]], ['2, k, 5', [-0.385887, -0.0706842, 1.0]], ['2, k, 6', [-0.401069, -0.291133, 1.0]], ['2, k, 7', [-0.402668, -0.330997, 1.0]], ['2, k, 8', [0.0551168, 0.176639, 1.0]], ['2, k, 9', [0.130674, -0.0657639, 1.0]], ['2, k, 10', [0.173519, -0.282782, 1.0]], ['2, k, 11', [0.182193, -0.335028, 1.0]], ['2, k, 12', [-0.201271, -0.344146, 1.0]], ['2, k, 13', [-0.235931, -0.67416, 1.0]], ['2, k, 14', [-0.224536, -1.00633, 1.0]], ['2, k, 15', [-0.228596, -1.0687, 1.0]], ['2, k, 16', [-0.0359212, -0.346476, 1.0]], ['2, k, 17', [-0.0176672, -0.674793, 1.0]], ['2, k, 18', [-0.0247536, -0.997762, 1.0]], ['2, k, 19', [0.00458076, -1.06134, 1.0]], ['2, k, 20', [-0.120366, 0.205601, 1.0]], ['2, k, 21', [-0.40036, -0.379583, 1.0]], ['2, k, 22', [-0.342764, -0.352326, 1.0]], ['2, k, 23', [0.197852, -0.390488, 1.0]], ['2, k, 24', [0.129483, -0.358058, 1.0]]]
[['2, k, 0', [-0.120492, -0.350441, 1.0]], ['2, k, 1', [-0.120538, -0.0297814, 1.0]], ['2, k, 2', [-0.120105, 0.282529, 1.0]], ['2, k, 3', [-0.115836, 0.432391, 1.0]], ['2, k, 4', [-0.307145, 0.182399, 1.0]], ['2, k, 5', [-0.385621, -0.0699941, 1.0]], ['2, k, 6', [-0.401406, -0.290371, 1.0]], ['2, k, 7', [-0.402686, -0.330793, 1.0]], ['2, k, 8', [0.05514, 0.176656, 1.0]], ['2, k, 9', [0.130664, -0.0657568, 1.0]], ['2, k, 10', [0.173496, -0.282697, 1.0]], ['2, k, 11', [0.182222, -0.335067, 1.0]], ['2, k, 12', [-0.201423, -0.344209, 1.0]], ['2, k, 13', [-0.235978, -0.674057, 1.0]], ['2, k, 14', [-0.224624, -1.00639, 1.0]], ['2, k, 15', [-0.227325, -1.06716, 1.0]], ['2, k, 16', [-0.0360785, -0.346531, 1.0]], ['2, k, 17', [-0.0178078, -0.674268, 1.0]], ['2, k, 18', [-0.0243649, -0.997981, 1.0]], ['2, k, 19', [0.00342146, -1.06213, 1.0]], ['2, k, 20', [-0.120343, 0.205599, 1.0]], ['2, k, 21', [-0.406412, -0.380623, 1.0]], ['2, k, 22', [-0.342419, -0.352763, 1.0]], ['2, k, 23', [0.195467, -0.391316, 1.0]], ['2, k, 24', [0.138791, -0.337839, 1.0]]]
[['2, k, 0', [-0.120923, -0.350713, 1.0]], ['2, k, 1', [-0.120682, -0.029804, 1.0]], ['2, k, 2', [-0.120153, 0.282637, 1.0]], ['2, k, 3', [-0.115872, 0.432415, 1.0]], ['2, k, 4', [-0.307537, 0.182134, 1.0]], ['2, k, 5', [-0.385629, -0.0700498, 1.0]], ['2, k, 6', [-0.401599, -0.290337, 1.0]], ['2, k, 7', [-0.402964, -0.331538, 1.0]], ['2, k, 8', [0.0551567, 0.176655, 1.0]], ['2, k, 9', [0.130701, -0.0660777, 1.0]], ['2, k, 10', [0.173554, -0.282944, 1.0]], ['2, k, 11', [0.180871, -0.336664, 1.0]], ['2, k, 12', [-0.201861, -0.344523, 1.0]], ['2, k, 13', [-0.236008, -0.674063, 1.0]], ['2, k, 14', [-0.224778, -1.00678, 1.0]], ['2, k, 15', [-0.225737, -1.06608, 1.0]], ['2, k, 16', [-0.0364854, -0.346747, 1.0]], ['2, k, 17', [-0.0178439, -0.67414, 1.0]], ['2, k, 18', [-0.0242298, -0.998307, 1.0]], ['2, k, 19', [0.00299962, -1.06327, 1.0]], ['2, k, 20', [-0.120403, 0.205664, 1.0]], ['2, k, 21', [-0.404413, -0.380549, 1.0]], ['2, k, 22', [-0.34276, -0.352734, 1.0]], ['2, k, 23', [0.195624, -0.392115, 1.0]], ['2, k, 24', [0.127265, -0.357228, 1.0]]]
[['2, k, 0', [-0.121082, -0.350971, 1.0]], ['2, k, 1', [-0.120709, -0.0298597, 1.0]], ['2, k, 2', [-0.120104, 0.282655, 1.0]], ['2, k, 3', [-0.115896, 0.432414, 1.0]], ['2, k, 4', [-0.307512, 0.181912, 1.0]], ['2, k, 5', [-0.385741, -0.0700881, 1.0]], ['2, k, 6', [-0.401707, -0.290343, 1.0]], ['2, k, 7', [-0.403392, -0.332242, 1.0]], ['2, k, 8', [0.0551796, 0.176653, 1.0]], ['2, k, 9', [0.130791, -0.0661108, 1.0]], ['2, k, 10', [0.173507, -0.28296, 1.0]], ['2, k, 11', [0.179853, -0.335388, 1.0]], ['2, k, 12', [-0.202031, -0.344859, 1.0]], ['2, k, 13', [-0.236111, -0.674737, 1.0]], ['2, k, 14', [-0.224931, -1.00804, 1.0]], ['2, k, 15', [-0.225237, -1.06651, 1.0]], ['2, k, 16', [-0.0366258, -0.346926, 1.0]], ['2, k, 17', [-0.0178697, -0.674119, 1.0]], ['2, k, 18', [-0.0242278, -0.998319, 1.0]], ['2, k, 19', [0.00268359, -1.06338, 1.0]], ['2, k, 20', [-0.120384, 0.205656, 1.0]], ['2, k, 21', [-0.400152, -0.376165, 1.0]], ['2, k, 22', [-0.34291, -0.352676, 1.0]], ['2, k, 23', [0.194115, -0.390232, 1.0]], ['2, k, 24', [0.128592, -0.359868, 1.0]]]
[['2, k, 0', [-0.121092, -0.351038, 1.0]], ['2, k, 1', [-0.12072, -0.0299052, 1.0]], ['2, k, 2', [-0.120104, 0.28263, 1.0]], ['2, k, 3', [-0.115943, 0.43236, 1.0]], ['2, k, 4', [-0.307509, 0.181905, 1.0]], ['2, k, 5', [-0.385761, -0.070143, 1.0]], ['2, k, 6', [-0.401743, -0.290372, 1.0]], ['2, k, 7', [-0.403694, -0.33193, 1.0]], ['2, k, 8', [0.0552605, 0.176538, 1.0]], ['2, k, 9', [0.130767, -0.0663581, 1.0]], ['2, k, 10', [0.173442, -0.283189, 1.0]], ['2, k, 11', [0.180325, -0.336098, 1.0]], ['2, k, 12', [-0.202036, -0.344885, 1.0]], ['2, k, 13', [-0.236273, -0.674426, 1.0]], ['2, k, 14', [-0.224845, -1.00806, 1.0]], ['2, k, 15', [-0.225276, -1.06738, 1.0]], ['2, k, 16', [-0.03664, -0.347044, 1.0]], ['2, k, 17', [-0.0179904, -0.674417, 1.0]], ['2, k, 18', [-0.0236196, -0.9997, 1.0]], ['2, k, 19', [-1.97851e-05, -1.06465, 1.0]], ['2, k, 20', [-0.120386, 0.20563, 1.0]], ['2, k, 21', [-0.403391, -0.376103, 1.0]], ['2, k, 22', [-0.342347, -0.352856, 1.0]], ['2, k, 23', [0.193233, -0.391895, 1.0]], ['2, k, 24', [0.129382, -0.353315, 1.0]]]
[['2, k, 0', [-0.121351, -0.351097, 1.0]], ['2, k, 1', [-0.120785, -0.0299282, 1.0]], ['2, k, 2', [-0.120105, 0.282632, 1.0]], ['2, k, 3', [-0.115961, 0.432346, 1.0]], ['2, k, 4', [-0.307485, 0.181822, 1.0]], ['2, k, 5', [-0.385829, -0.0701357, 1.0]], ['2, k, 6', [-0.401757, -0.290335, 1.0]], ['2, k, 7', [-0.403655, -0.331772, 1.0]], ['2, k, 8', [0.0552741, 0.176569, 1.0]], ['2, k, 9', [0.130705, -0.0663938, 1.0]], ['2, k, 10', [0.173451, -0.283188, 1.0]], ['2, k, 11', [0.17979, -0.335913, 1.0]], ['2, k, 12', [-0.202568, -0.34597, 1.0]], ['2, k, 13', [-0.236378, -0.675215, 1.0]], ['2, k, 14', [-0.223913, -1.00999, 1.0]], ['2, k, 15', [-0.225742, -1.07101, 1.0]], ['2, k, 16', [-0.0369753, -0.346441, 1.0]], ['2, k, 17', [-0.0179601, -0.674278, 1.0]], ['2, k, 18', [-0.0235811, -0.999645, 1.0]], ['2, k, 19', [-0.000230602, -1.06426, 1.0]], ['2, k, 20', [-0.120406, 0.205626, 1.0]], ['2, k, 21', [-0.403984, -0.376666, 1.0]], ['2, k, 22', [-0.34263, -0.352507, 1.0]], ['2, k, 23', [0.191696, -0.390074, 1.0]], ['2, k, 24', [0.127906, -0.359391, 1.0]]]
[['2, k, 0', [-0.121674, -0.351391, 1.0]], ['2, k, 1', [-0.12101, -0.0300431, 1.0]], ['2, k, 2', [-0.120205, 0.282658, 1.0]], ['2, k, 3', [-0.115984, 0.432303, 1.0]], ['2, k, 4', [-0.307476, 0.181831, 1.0]], ['2, k, 5', [-0.385844, -0.070128, 1.0]], ['2, k, 6', [-0.401997, -0.2903, 1.0]], ['2, k, 7', [-0.403845, -0.332121, 1.0]], ['2, k, 8', [0.0553689, 0.176474, 1.0]], ['2, k, 9', [0.130745, -0.0663927, 1.0]], ['2, k, 10', [0.172773, -0.283309, 1.0]], ['2, k, 11', [0.179012, -0.336238, 1.0]], ['2, k, 12', [-0.202925, -0.346564, 1.0]], ['2, k, 13', [-0.236371, -0.674762, 1.0]], ['2, k, 14', [-0.223715, -1.00874, 1.0]], ['2, k, 15', [-0.226398, -1.0698, 1.0]], ['2, k, 16', [-0.0372468, -0.346476, 1.0]], ['2, k, 17', [-0.0179078, -0.67435, 1.0]], ['2, k, 18', [-0.0235027, -0.999529, 1.0]], ['2, k, 19', [0.00239974, -1.06325, 1.0]], ['2, k, 20', [-0.120525, 0.205628, 1.0]], ['2, k, 21', [-0.403958, -0.376632, 1.0]], ['2, k, 22', [-0.34242, -0.352904, 1.0]], ['2, k, 23', [0.191571, -0.391531, 1.0]], ['2, k, 24', [0.127992, -0.358431, 1.0]]]
[['2, k, 0', [-0.122041, -0.351602, 1.0]], ['2, k, 1', [-0.121184, -0.0301947, 1.0]], ['2, k, 2', [-0.120258, 0.282512, 1.0]], ['2, k, 3', [-0.116062, 0.432246, 1.0]], ['2, k, 4', [-0.307466, 0.181782, 1.0]], ['2, k, 5', [-0.385893, -0.0703253, 1.0]], ['2, k, 6', [-0.402116, -0.290486, 1.0]], ['2, k, 7', [-0.403255, -0.331815, 1.0]], ['2, k, 8', [0.0553797, 0.176452, 1.0]], ['2, k, 9', [0.130907, -0.0667941, 1.0]], ['2, k, 10', [0.172703, -0.283756, 1.0]], ['2, k, 11', [0.179179, -0.335706, 1.0]], ['2, k, 12', [-0.203415, -0.347241, 1.0]], ['2, k, 13', [-0.236385, -0.674827, 1.0]], ['2, k, 14', [-0.223797, -1.00858, 1.0]], ['2, k, 15', [-0.226168, -1.06919, 1.0]], ['2, k, 16', [-0.0375245, -0.346391, 1.0]], ['2, k, 17', [-0.0179198, -0.674163, 1.0]], ['2, k, 18', [-0.0234833, -0.999439, 1.0]], ['2, k, 19', [0.006002, -1.06334, 1.0]], ['2, k, 20', [-0.120616, 0.205484, 1.0]], ['2, k, 21', [-0.4044, -0.377643, 1.0]], ['2, k, 22', [-0.343194, -0.352735, 1.0]], ['2, k, 23', [0.193132, -0.390477, 1.0]], ['2, k, 24', [0.127291, -0.357622, 1.0]]]
