[['2, k, 0', [-0.312456, -0.214189, 1.0]], ['2, k, 1', [-0.332132, -0.162029, 1.0]], ['2, k, 2', [-0.349979, -0.110287, 1.0]], ['2, k, 3', [-0.367693, 0.0343959, 1.0]], ['2, k, 4', [-0.519078, -0.19105, 1.0]], ['2, k, 5', [-0.611592, -0.286019, 1.0]], ['2, k, 6', [-0.614304, -0.408606, 1.0]], ['2, k, 7', [-0.611418, -0.374579, 1.0]], ['2, k, 8', [-0.199631, -0.181856, 1.0]], ['2, k, 9', [-0.0875568, -0.246543, 1.0]], ['2, k, 10', [0.0166466, -0.315061, 1.0]], ['2, k, 11', [0.04083, -0.383414, 1.0]], ['2, k, 12', [-0.38143, -0.213726, 1.0]], ['2, k, 13', [-0.682173, -0.30534, 1.0]], ['2, k, 14', [-0.455326, -0.429417, 1.0]], ['2, k, 15', [-0.323041, -0.413699, 1.0]], ['2, k, 16', [-0.236029, -0.209544, 1.0]], ['2, k, 17', [-0.684963, -0.284905, 1.0]], ['2, k, 18', [-0.24893, -0.283514, 1.0]], ['2, k, 19', [-0.155698, -0.312705, 1.0]], ['2, k, 20', [-0.345844, -0.1232, 1.0]], ['2, k, 21', [-0.616477, -0.37984, 1.0]], ['2, k, 22', [-0.549371, -0.380518, 1.0]], ['2, k, 23', [0.03895, -0.394176, 1.0]], ['2, k, 24', [-0.00733044, -0.394908, 1.0]]]
[['2, k, 0', [-0.316097, -0.626153, 1.0]], ['2, k, 1', [-0.33095, -0.385733, 1.0]], ['2, k, 2', [-0.34516, -0.140234, 1.0]], ['2, k, 3', [-0.364816, 0.00990783, 1.0]], ['2, k, 4', [-0.50219, -0.270897, 1.0]], ['2, k, 5', [-0.604, -0.29206, 1.0]], ['2, k, 6', [-0.606203, -0.354512, 1.0]], ['2, k, 7', [-0.610386, -0.408053, 1.0]], ['2, k, 8', [-0.194516, -0.186868, 1.0]], ['2, k, 9', [-0.0506831, -0.29013, 1.0]], ['2, k, 10', [0.0285589, -0.365134, 1.0]], ['2, k, 11', [0.0373964, -0.421451, 1.0]], ['2, k, 12', [-0.383235, -0.636665, 1.0]], ['2, k, 13', [-0.659017, -0.396547, 1.0]], ['2, k, 14', [-0.491577, -0.410931, 1.0]], ['2, k, 15', [-0.601074, -0.407471, 1.0]], ['2, k, 16', [-0.242246, -0.602346, 1.0]], ['2, k, 17', [-0.59616, -0.383545, 1.0]], ['2, k, 18', [-0.165654, -0.379633, 1.0]], ['2, k, 19', [-0.0892467, -0.389688, 1.0]], ['2, k, 20', [-0.341088, -0.207025, 1.0]], ['2, k, 21', [-0.633577, -0.43088, 1.0]], ['2, k, 22', [-0.545823, -0.414806, 1.0]], ['2, k, 23', [0.028154, -0.426998, 1.0]], ['2, k, 24', [0.107595, -0.427489, 1.0]]]
[['2, k, 0', [-0.482073, -0.531673, 1.0]], ['2, k, 1', [-0.401826, -0.339411, 1.0]], ['2, k, 2', [-0.33121, -0.145095, 1.0]], ['2, k, 3', [-0.358964, -0.0106899, 1.0]], ['2, k, 4', [-0.492213, -0.233922, 1.0]], ['2, k, 5', [-0.607238, -0.33547, 1.0]], ['2, k, 6', [-0.639755, -0.416825, 1.0]], ['2, k, 7', [-0.610984, -0.44458, 1.0]], ['2, k, 8', [-0.200792, -0.184134, 1.0]], ['2, k, 9', [-0.0396492, -0.300933, 1.0]], ['2, k, 10', [0.0384717, -0.389984, 1.0]], ['2, k, 11', [0.036701, -0.460658, 1.0]], ['2, k, 12', [-0.548727, -0.538453, 1.0]], ['2, k, 13', [-0.643768, -0.386558, 1.0]], ['2, k, 14', [-0.649846, -0.502931, 1.0]], ['2, k, 15', [-0.57866, -0.430556, 1.0]], ['2, k, 16', [-0.40589, -0.514393, 1.0]], ['2, k, 17', [-0.436831, -0.292872, 1.0]], ['2, k, 18', [-0.0545182, -0.386792, 1.0]], ['2, k, 19', [-0.00232749, -0.419749, 1.0]], ['2, k, 20', [-0.340851, -0.204542, 1.0]], ['2, k, 21', [-0.593288, -0.46759, 1.0]], ['2, k, 22', [-0.544158, -0.449415, 1.0]], ['2, k, 23', [0.0242688, -0.470366, 1.0]], ['2, k, 24', [0.109098, -0.468084, 1.0]]]
[['2, k, 0', [-0.583497, -0.540606, 1.0]], ['2, k, 1', [-0.452827, -0.374986, 1.0]], ['2, k, 2', [-0.322419, -0.210516, 1.0]], ['2, k, 3', [-0.353112, -0.0621359, 1.0]], ['2, k, 4', [-0.53411, -0.286396, 1.0]], ['2, k, 5', [-0.604373, -0.422325, 1.0]], ['2, k, 6', [-0.631256, -0.456098, 1.0]], ['2, k, 7', [-0.609212, -0.482672, 1.0]], ['2, k, 8', [-0.188217, -0.245872, 1.0]], ['2, k, 9', [-0.0916532, -0.335883, 1.0]], ['2, k, 10', [0.0013882, -0.412739, 1.0]], ['2, k, 11', [0.0357093, -0.502872, 1.0]], ['2, k, 12', [-0.648063, -0.543556, 1.0]], ['2, k, 13', [-0.64268, -0.393832, 1.0]], ['2, k, 14', [-0.656413, -0.509716, 1.0]], ['2, k, 15', [-0.57583, -0.465515, 1.0]], ['2, k, 16', [-0.5076, -0.527167, 1.0]], ['2, k, 17', [-0.438553, -0.294882, 1.0]], ['2, k, 18', [-0.0771278, -0.40315, 1.0]], ['2, k, 19', [-0.0194881, -0.449727, 1.0]], ['2, k, 20', [-0.355042, -0.251511, 1.0]], ['2, k, 21', [-0.591907, -0.493576, 1.0]], ['2, k, 22', [-0.542207, -0.487364, 1.0]], ['2, k, 23', [0.0394439, -0.514134, 1.0]], ['2, k, 24', [0.107368, -0.511923, 1.0]]]
[['2, k, 0', [-0.568157, -0.464744, 1.0]], ['2, k, 1', [-0.44352, -0.353444, 1.0]], ['2, k, 2', [-0.320173, -0.231455, 1.0]], ['2, k, 3', [-0.348286, -0.0944858, 1.0]], ['2, k, 4', [-0.483548, -0.311304, 1.0]], ['2, k, 5', [-0.606655, -0.419648, 1.0]], ['2, k, 6', [-0.632598, -0.485829, 1.0]], ['2, k, 7', [-0.619356, -0.517508, 1.0]], ['2, k, 8', [-0.189572, -0.25923, 1.0]], ['2, k, 9', [-0.0346709, -0.39348, 1.0]], ['2, k, 10', [0.0534007, -0.470304, 1.0]], ['2, k, 11', [0.0452202, -0.540322, 1.0]], ['2, k, 12', [-0.629828, -0.469477, 1.0]], ['2, k, 13', [-0.627032, -0.401361, 1.0]], ['2, k, 14', [-0.654179, -0.557589, 1.0]], ['2, k, 15', [-0.600435, -0.51364, 1.0]], ['2, k, 16', [-0.495451, -0.45099, 1.0]], ['2, k, 17', [-0.446062, -0.309758, 1.0]], ['2, k, 18', [-0.0934165, -0.439378, 1.0]], ['2, k, 19', [-0.0273524, -0.490552, 1.0]], ['2, k, 20', [-0.35324, -0.258981, 1.0]], ['2, k, 21', [-0.623237, -0.536836, 1.0]], ['2, k, 22', [-0.582453, -0.503952, 1.0]], ['2, k, 23', [0.0271214, -0.551789, 1.0]], ['2, k, 24', [0.107464, -0.550308, 1.0]]]
[['2, k, 0', [-0.396881, -0.672179, 1.0]], ['2, k, 1', [-0.358772, -0.470096, 1.0]], ['2, k, 2', [-0.31983, -0.26192, 1.0]], ['2, k, 3', [-0.347601, -0.124918, 1.0]], ['2, k, 4', [-0.495125, -0.29801, 1.0]], ['2, k, 5', [-0.598612, -0.445792, 1.0]], ['2, k, 6', [-0.604155, -0.524439, 1.0]], ['2, k, 7', [-0.60906, -0.556294, 1.0]], ['2, k, 8', [-0.18753, -0.270744, 1.0]], ['2, k, 9', [-0.0141241, -0.414053, 1.0]], ['2, k, 10', [0.0365304, -0.533811, 1.0]], ['2, k, 11', [0.0329234, -0.582201, 1.0]], ['2, k, 12', [-0.460869, -0.666973, 1.0]], ['2, k, 13', [-0.580327, -0.938237, 1.0]], ['2, k, 14', [-0.583086, -1.215, 1.0]], ['2, k, 15', [-0.582247, -1.09884, 1.0]], ['2, k, 16', [-0.325112, -0.664203, 1.0]], ['2, k, 17', [-0.0441033, -0.375526, 1.0]], ['2, k, 18', [0.00917039, -0.627037, 1.0]], ['2, k, 19', [0.0259705, -0.59428, 1.0]], ['2, k, 20', [-0.329709, -0.31939, 1.0]], ['2, k, 21', [-0.624966, -0.575558, 1.0]], ['2, k, 22', [-0.542559, -0.560127, 1.0]], ['2, k, 23', [0.0193665, -0.597273, 1.0]], ['2, k, 24', [0.102168, -0.58961, 1.0]]]
[['2, k, 0', [-0.378308, -0.618958, 1.0]], ['2, k, 1', [-0.351199, -0.457127, 1.0]], ['2, k, 2', [-0.318462, -0.272939, 1.0]], ['2, k, 3', [-0.347576, -0.15823, 1.0]], ['2, k, 4', [-0.503313, -0.308206, 1.0]], ['2, k, 5', [-0.61749, -0.468037, 1.0]], ['2, k, 6', [-0.65202, -0.566397, 1.0]], ['2, k, 7', [-0.610249, -0.593211, 1.0]], ['2, k, 8', [-0.192941, -0.287628, 1.0]], ['2, k, 9', [-0.080353, -0.410408, 1.0]], ['2, k, 10', [-0.0162732, -0.529966, 1.0]], ['2, k, 11', [0.0206385, -0.617519, 1.0]], ['2, k, 12', [-0.44265, -0.616854, 1.0]], ['2, k, 13', [-0.601339, -0.406509, 1.0]], ['2, k, 14', [-0.583301, -0.800218, 1.0]], ['2, k, 15', [-0.567194, -0.858553, 1.0]], ['2, k, 16', [-0.306161, -0.608291, 1.0]], ['2, k, 17', [0.0119514, -0.521989, 1.0]], ['2, k, 18', [-0.172919, -0.367114, 1.0]], ['2, k, 19', [-0.127915, -0.427592, 1.0]], ['2, k, 20', [-0.328741, -0.321222, 1.0]], ['2, k, 21', [-0.591673, -0.60934, 1.0]], ['2, k, 22', [-0.53863, -0.597497, 1.0]], ['2, k, 23', [0.0300837, -0.632739, 1.0]], ['2, k, 24', [0.0858999, -0.625223, 1.0]]]
[['2, k, 0', [-0.376912, -0.720807, 1.0]], ['2, k, 1', [-0.352828, -0.511953, 1.0]], ['2, k, 2', [-0.324984, -0.295328, 1.0]], ['2, k, 3', [-0.347471, -0.164143, 1.0]], ['2, k, 4', [-0.473267, -0.317172, 1.0]], ['2, k, 5', [-0.58118, -0.496718, 1.0]], ['2, k, 6', [-0.628632, -0.604511, 1.0]], ['2, k, 7', [-0.612657, -0.626913, 1.0]], ['2, k, 8', [-0.199227, -0.297567, 1.0]], ['2, k, 9', [-0.0369669, -0.469875, 1.0]], ['2, k, 10', [0.0344529, -0.589145, 1.0]], ['2, k, 11', [0.0293955, -0.652855, 1.0]], ['2, k, 12', [-0.441435, -0.716245, 1.0]], ['2, k, 13', [-0.596781, -0.428912, 1.0]], ['2, k, 14', [-0.576937, -0.835222, 1.0]], ['2, k, 15', [-0.55866, -0.894428, 1.0]], ['2, k, 16', [-0.304524, -0.71033, 1.0]], ['2, k, 17', [-0.00565851, -0.46303, 1.0]], ['2, k, 18', [0.0386818, -0.655035, 1.0]], ['2, k, 19', [0.0476706, -0.659866, 1.0]], ['2, k, 20', [-0.332781, -0.347174, 1.0]], ['2, k, 21', [-0.601841, -0.646572, 1.0]], ['2, k, 22', [-0.553683, -0.628733, 1.0]], ['2, k, 23', [0.0146606, -0.665163, 1.0]], ['2, k, 24', [0.103411, -0.658415, 1.0]]]
[['2, k, 0', [-0.468001, -0.726369, 1.0]], ['2, k, 1', [-0.372668, -0.518789, 1.0]], ['2, k, 2', [-0.277473, -0.312811, 1.0]], ['2, k, 3', [-0.343622, -0.186953, 1.0]], ['2, k, 4', [-0.469352, -0.351395, 1.0]], ['2, k, 5', [-0.602288, -0.516836, 1.0]], ['2, k, 6', [-0.610388, -0.626244, 1.0]], ['2, k, 7', [-0.61016, -0.659829, 1.0]], ['2, k, 8', [-0.154366, -0.439378, 1.0]], ['2, k, 9', [-0.0013697, -0.515486, 1.0]], ['2, k, 10', [0.0271527, -0.646864, 1.0]], ['2, k, 11', [0.0264747, -0.682225, 1.0]], ['2, k, 12', [-0.528734, -0.701114, 1.0]], ['2, k, 13', [-0.529545, -0.371673, 1.0]], ['2, k, 14', [-0.558572, -0.786893, 1.0]], ['2, k, 15', [-0.554278, -0.834808, 1.0]], ['2, k, 16', [-0.396995, -0.735697, 1.0]], ['2, k, 17', [-0.0269823, -0.495325, 1.0]], ['2, k, 18', [-0.0573932, -0.659047, 1.0]], ['2, k, 19', [0.0120094, -0.687469, 1.0]], ['2, k, 20', [-0.30738, -0.360928, 1.0]], ['2, k, 21', [-0.601766, -0.674254, 1.0]], ['2, k, 22', [-0.533494, -0.662775, 1.0]], ['2, k, 23', [0.019437, -0.696584, 1.0]], ['2, k, 24', [0.0967842, -0.689088, 1.0]]]
[['2, k, 0', [-0.419673, -0.624469, 1.0]], ['2, k, 1', [-0.348693, -0.474337, 1.0]], ['2, k, 2', [-0.277489, -0.316759, 1.0]], ['2, k, 3', [-0.341002, -0.200259, 1.0]], ['2, k, 4', [-0.470375, -0.374734, 1.0]], ['2, k, 5', [-0.610257, -0.529652, 1.0]], ['2, k, 6', [-0.631723, -0.663728, 1.0]], ['2, k, 7', [-0.609169, -0.690788, 1.0]], ['2, k, 8', [-0.0766707, -0.493351, 1.0]], ['2, k, 9', [0.0557822, -0.570165, 1.0]], ['2, k, 10', [0.035737, -0.681525, 1.0]], ['2, k, 11', [0.0249, -0.710187, 1.0]], ['2, k, 12', [-0.477639, -0.562622, 1.0]], ['2, k, 13', [-0.538919, -0.33833, 1.0]], ['2, k, 14', [-0.569063, -0.747359, 1.0]], ['2, k, 15', [-0.580356, -0.819696, 1.0]], ['2, k, 16', [-0.352725, -0.672876, 1.0]], ['2, k, 17', [-0.0196283, -0.551865, 1.0]], ['2, k, 18', [-0.0909255, -0.634028, 1.0]], ['2, k, 19', [-0.00668742, -0.700157, 1.0]], ['2, k, 20', [-0.304403, -0.361321, 1.0]], ['2, k, 21', [-0.592254, -0.709285, 1.0]], ['2, k, 22', [-0.533099, -0.690591, 1.0]], ['2, k, 23', [0.00940266, -0.730702, 1.0]], ['2, k, 24', [0.0911576, -0.71114, 1.0]]]
[['2, k, 0', [-0.50611, -0.748897, 1.0]], ['2, k, 1', [-0.407229, -0.535131, 1.0]], ['2, k, 2', [-0.304113, -0.321839, 1.0]], ['2, k, 3', [-0.339024, -0.205675, 1.0]], ['2, k, 4', [-0.503077, -0.436908, 1.0]], ['2, k, 5', [-0.62707, -0.607641, 1.0]], ['2, k, 6', [-0.634053, -0.698767, 1.0]], ['2, k, 7', [-0.604025, -0.716983, 1.0]], ['2, k, 8', [-0.211536, -0.344257, 1.0]], ['2, k, 9', [-0.0712302, -0.530773, 1.0]], ['2, k, 10', [-0.0153777, -0.657884, 1.0]], ['2, k, 11', [0.00948774, -0.72978, 1.0]], ['2, k, 12', [-0.568444, -0.762903, 1.0]], ['2, k, 13', [-0.531308, -0.422543, 1.0]], ['2, k, 14', [-0.59788, -0.69644, 1.0]], ['2, k, 15', [-0.572161, -0.817828, 1.0]], ['2, k, 16', [-0.434002, -0.720471, 1.0]], ['2, k, 17', [0.0092704, -0.623244, 1.0]], ['2, k, 18', [0.0186311, -0.742987, 1.0]], ['2, k, 19', [-0.0146716, -0.696927, 1.0]], ['2, k, 20', [-0.333045, -0.375677, 1.0]], ['2, k, 21', [-0.581336, -0.733188, 1.0]], ['2, k, 22', [-0.526194, -0.720392, 1.0]], ['2, k, 23', [0.020532, -0.753978, 1.0]], ['2, k, 24', [0.0599199, -0.708571, 1.0]]]
