[['2, k, 0', [-0.161459, -0.718526, 1.0]], ['2, k, 1', [-0.158911, -0.432537, 1.0]], ['2, k, 2', [-0.15586, -0.150275, 1.0]], ['2, k, 3', [-0.159458, -0.0284285, 1.0]], ['2, k, 4', [-0.30281, -0.199106, 1.0]], ['2, k, 5', [-0.433423, -0.0596675, 1.0]], ['2, k, 6', [-0.533303, 0.074343, 1.0]], ['2, k, 7', [-0.564896, 0.1546, 1.0]], ['2, k, 8', [-0.0183121, -0.263991, 1.0]], ['2, k, 9', [-0.00116998, -0.384255, 1.0]], ['2, k, 10', [-0.119534, -0.308849, 1.0]], ['2, k, 11', [-0.152611, -0.307808, 1.0]], ['2, k, 12', [-0.224475, -0.696545, 1.0]], ['2, k, 13', [-0.432486, -0.496146, 1.0]], ['2, k, 14', [-0.322989, -0.806733, 1.0]], ['2, k, 15', [-0.316079, -0.827555, 1.0]], ['2, k, 16', [-0.095194, -0.726083, 1.0]], ['2, k, 17', [-0.119183, -0.442543, 1.0]], ['2, k, 18', [-0.129488, -0.727599, 1.0]], ['2, k, 19', [-0.142067, -0.758963, 1.0]], ['2, k, 20', [-0.156719, -0.220408, 1.0]], ['2, k, 21', [-0.603467, 0.209706, 1.0]], ['2, k, 22', [-0.544492, 0.203184, 1.0]], ['2, k, 23', [-0.192746, -0.302233, 1.0]], ['2, k, 24', [-0.182286, -0.338096, 1.0]]]
[['2, k, 0', [-0.161386, -0.634276, 1.0]], ['2, k, 1', [-0.160471, -0.399885, 1.0]], ['2, k, 2', [-0.156115, -0.150298, 1.0]], ['2, k, 3', [-0.159858, -0.0286802, 1.0]], ['2, k, 4', [-0.303589, -0.198529, 1.0]], ['2, k, 5', [-0.441045, -0.0530847, 1.0]], ['2, k, 6', [-0.557156, 0.112931, 1.0]], ['2, k, 7', [-0.580278, 0.17999, 1.0]], ['2, k, 8', [-0.0182828, -0.263773, 1.0]], ['2, k, 9', [-0.00791788, -0.438881, 1.0]], ['2, k, 10', [-0.102181, -0.315786, 1.0]], ['2, k, 11', [-0.137208, -0.324856, 1.0]], ['2, k, 12', [-0.224374, -0.613143, 1.0]], ['2, k, 13', [-0.352445, -0.541075, 1.0]], ['2, k, 14', [-0.307666, -0.677933, 1.0]], ['2, k, 15', [-0.209284, -0.677827, 1.0]], ['2, k, 16', [-0.0953778, -0.643585, 1.0]], ['2, k, 17', [-0.0864317, -0.359209, 1.0]], ['2, k, 18', [-0.128963, -0.727012, 1.0]], ['2, k, 19', [-0.147574, -0.754756, 1.0]], ['2, k, 20', [-0.157195, -0.218559, 1.0]], ['2, k, 21', [-0.596266, 0.221641, 1.0]], ['2, k, 22', [-0.546398, 0.208495, 1.0]], ['2, k, 23', [-0.19229, -0.300746, 1.0]], ['2, k, 24', [-0.158938, -0.348357, 1.0]]]
[['2, k, 0', [-0.167453, -0.623267, 1.0]], ['2, k, 1', [-0.165351, -0.391983, 1.0]], ['2, k, 2', [-0.160652, -0.150512, 1.0]], ['2, k, 3', [-0.163655, -0.0296903, 1.0]], ['2, k, 4', [-0.307438, -0.201297, 1.0]], ['2, k, 5', [-0.443678, -0.0669668, 1.0]], ['2, k, 6', [-0.553209, 0.0657463, 1.0]], ['2, k, 7', [-0.587669, 0.147275, 1.0]], ['2, k, 8', [-0.0182778, -0.263664, 1.0]], ['2, k, 9', [-0.0086139, -0.436534, 1.0]], ['2, k, 10', [-0.0291634, -0.280114, 1.0]], ['2, k, 11', [-0.0359602, -0.264579, 1.0]], ['2, k, 12', [-0.230491, -0.604997, 1.0]], ['2, k, 13', [-0.360307, -0.493041, 1.0]], ['2, k, 14', [-0.24716, -0.659412, 1.0]], ['2, k, 15', [-0.167846, -0.723187, 1.0]], ['2, k, 16', [-0.101283, -0.62983, 1.0]], ['2, k, 17', [-0.0838051, -0.346306, 1.0]], ['2, k, 18', [-0.128801, -0.726988, 1.0]], ['2, k, 19', [-0.147955, -0.755705, 1.0]], ['2, k, 20', [-0.161989, -0.215141, 1.0]], ['2, k, 21', [-0.621258, 0.197734, 1.0]], ['2, k, 22', [-0.558157, 0.193184, 1.0]], ['2, k, 23', [-0.0391576, -0.22232, 1.0]], ['2, k, 24', [-0.083298, -0.260407, 1.0]]]
[['2, k, 0', [-0.18962, -0.570181, 1.0]], ['2, k, 1', [-0.174545, -0.369648, 1.0]], ['2, k, 2', [-0.161517, -0.150656, 1.0]], ['2, k, 3', [-0.167927, -0.0294268, 1.0]], ['2, k, 4', [-0.31071, -0.202994, 1.0]], ['2, k, 5', [-0.469403, -0.0574441, 1.0]], ['2, k, 6', [-0.564506, 0.0762904, 1.0]], ['2, k, 7', [-0.599265, 0.152543, 1.0]], ['2, k, 8', [-0.0311615, -0.270113, 1.0]], ['2, k, 9', [-0.0143586, -0.482085, 1.0]], ['2, k, 10', [-0.035686, -0.315391, 1.0]], ['2, k, 11', [-0.0391628, -0.293836, 1.0]], ['2, k, 12', [-0.251894, -0.549672, 1.0]], ['2, k, 13', [-0.367451, -0.439769, 1.0]], ['2, k, 14', [-0.250649, -0.642758, 1.0]], ['2, k, 15', [-0.170703, -0.70999, 1.0]], ['2, k, 16', [-0.123975, -0.580615, 1.0]], ['2, k, 17', [-0.0974739, -0.306873, 1.0]], ['2, k, 18', [-0.146775, -0.732758, 1.0]], ['2, k, 19', [-0.167595, -0.761636, 1.0]], ['2, k, 20', [-0.164231, -0.211864, 1.0]], ['2, k, 21', [-0.615754, 0.203534, 1.0]], ['2, k, 22', [-0.558925, 0.188219, 1.0]], ['2, k, 23', [-0.0430531, -0.258131, 1.0]], ['2, k, 24', [-0.0805371, -0.304153, 1.0]]]
[['2, k, 0', [-0.188585, -0.555596, 1.0]], ['2, k, 1', [-0.175862, -0.359653, 1.0]], ['2, k, 2', [-0.162374, -0.151154, 1.0]], ['2, k, 3', [-0.172908, -0.0293167, 1.0]], ['2, k, 4', [-0.31403, -0.205492, 1.0]], ['2, k, 5', [-0.47249, -0.0593213, 1.0]], ['2, k, 6', [-0.573998, 0.0770032, 1.0]], ['2, k, 7', [-0.608082, 0.15039, 1.0]], ['2, k, 8', [-0.0321751, -0.27103, 1.0]], ['2, k, 9', [-0.0137046, -0.490729, 1.0]], ['2, k, 10', [0.00401858, -0.321022, 1.0]], ['2, k, 11', [-0.00833814, -0.285363, 1.0]], ['2, k, 12', [-0.25105, -0.536581, 1.0]], ['2, k, 13', [-0.394411, -0.545212, 1.0]], ['2, k, 14', [-0.11646, -0.680038, 1.0]], ['2, k, 15', [-0.168312, -0.764597, 1.0]], ['2, k, 16', [-0.122846, -0.564988, 1.0]], ['2, k, 17', [-0.123091, -0.280583, 1.0]], ['2, k, 18', [-0.160545, -0.756496, 1.0]], ['2, k, 19', [-0.179633, -0.789401, 1.0]], ['2, k, 20', [-0.165528, -0.209469, 1.0]], ['2, k, 21', [-0.619472, 0.197437, 1.0]], ['2, k, 22', [-0.562416, 0.1802, 1.0]], ['2, k, 23', [0.00231638, -0.245836, 1.0]], ['2, k, 24', [-0.0429449, -0.256566, 1.0]]]
[['2, k, 0', [-0.187061, -0.558722, 1.0]], ['2, k, 1', [-0.176126, -0.359678, 1.0]], ['2, k, 2', [-0.165715, -0.152729, 1.0]], ['2, k, 3', [-0.183157, -0.029228, 1.0]], ['2, k, 4', [-0.317785, -0.207833, 1.0]], ['2, k, 5', [-0.47068, -0.0790949, 1.0]], ['2, k, 6', [-0.573846, 0.0557586, 1.0]], ['2, k, 7', [-0.620438, 0.134203, 1.0]], ['2, k, 8', [-0.0326693, -0.271345, 1.0]], ['2, k, 9', [-0.0148765, -0.459755, 1.0]], ['2, k, 10', [0.0249835, -0.297628, 1.0]], ['2, k, 11', [0.0114648, -0.268965, 1.0]], ['2, k, 12', [-0.249573, -0.540017, 1.0]], ['2, k, 13', [-0.432376, -0.747732, 1.0]], ['2, k, 14', [-0.160948, -0.794842, 1.0]], ['2, k, 15', [-0.22015, -0.872611, 1.0]], ['2, k, 16', [-0.121264, -0.568182, 1.0]], ['2, k, 17', [-0.131456, -0.279688, 1.0]], ['2, k, 18', [-0.162728, -0.759087, 1.0]], ['2, k, 19', [-0.259662, -0.708418, 1.0]], ['2, k, 20', [-0.167705, -0.209074, 1.0]], ['2, k, 21', [-0.645869, 0.178945, 1.0]], ['2, k, 22', [-0.585487, 0.17054, 1.0]], ['2, k, 23', [0.00765445, -0.235633, 1.0]], ['2, k, 24', [-0.0186866, -0.270995, 1.0]]]
[['2, k, 0', [-0.187272, -0.558939, 1.0]], ['2, k, 1', [-0.177282, -0.359719, 1.0]], ['2, k, 2', [-0.168721, -0.155078, 1.0]], ['2, k, 3', [-0.189244, -0.030849, 1.0]], ['2, k, 4', [-0.323618, -0.210473, 1.0]], ['2, k, 5', [-0.473846, -0.0822035, 1.0]], ['2, k, 6', [-0.583428, 0.0490645, 1.0]], ['2, k, 7', [-0.630378, 0.122503, 1.0]], ['2, k, 8', [-0.0360359, -0.27244, 1.0]], ['2, k, 9', [-0.0148348, -0.459704, 1.0]], ['2, k, 10', [0.0135237, -0.294659, 1.0]], ['2, k, 11', [0.00144617, -0.265502, 1.0]], ['2, k, 12', [-0.24985, -0.540433, 1.0]], ['2, k, 13', [-0.433584, -0.75067, 1.0]], ['2, k, 14', [-0.167095, -0.79536, 1.0]], ['2, k, 15', [-0.22461, -0.874999, 1.0]], ['2, k, 16', [-0.121467, -0.568317, 1.0]], ['2, k, 17', [-0.1345, -0.277531, 1.0]], ['2, k, 18', [-0.163867, -0.760719, 1.0]], ['2, k, 19', [-0.26088, -0.709353, 1.0]], ['2, k, 20', [-0.170052, -0.209423, 1.0]], ['2, k, 21', [-0.652921, 0.170413, 1.0]], ['2, k, 22', [-0.600069, 0.161611, 1.0]], ['2, k, 23', [0.0115265, -0.215344, 1.0]], ['2, k, 24', [-0.034841, -0.242842, 1.0]]]
[['2, k, 0', [-0.187354, -0.558814, 1.0]], ['2, k, 1', [-0.179215, -0.359223, 1.0]], ['2, k, 2', [-0.173744, -0.15598, 1.0]], ['2, k, 3', [-0.199205, -0.0310834, 1.0]], ['2, k, 4', [-0.329143, -0.214757, 1.0]], ['2, k, 5', [-0.481571, -0.0861963, 1.0]], ['2, k, 6', [-0.594905, 0.0449425, 1.0]], ['2, k, 7', [-0.640594, 0.0980797, 1.0]], ['2, k, 8', [-0.0387076, -0.272631, 1.0]], ['2, k, 9', [-0.0146229, -0.458759, 1.0]], ['2, k, 10', [-0.142514, -0.326518, 1.0]], ['2, k, 11', [-0.193531, -0.336785, 1.0]], ['2, k, 12', [-0.250041, -0.540643, 1.0]], ['2, k, 13', [-0.419832, -0.76372, 1.0]], ['2, k, 14', [-0.157621, -0.795651, 1.0]], ['2, k, 15', [-0.219094, -0.873924, 1.0]], ['2, k, 16', [-0.121539, -0.568032, 1.0]], ['2, k, 17', [-0.146549, -0.276891, 1.0]], ['2, k, 18', [-0.167165, -0.774762, 1.0]], ['2, k, 19', [-0.263828, -0.721959, 1.0]], ['2, k, 20', [-0.174631, -0.20886, 1.0]], ['2, k, 21', [-0.680399, 0.145469, 1.0]], ['2, k, 22', [-0.622963, 0.148868, 1.0]], ['2, k, 23', [-0.232065, -0.330113, 1.0]], ['2, k, 24', [-0.230798, -0.385086, 1.0]]]
[['2, k, 0', [-0.186176, -0.560976, 1.0]], ['2, k, 1', [-0.180273, -0.359773, 1.0]], ['2, k, 2', [-0.178078, -0.156898, 1.0]], ['2, k, 3', [-0.203502, -0.032346, 1.0]], ['2, k, 4', [-0.334017, -0.2222, 1.0]], ['2, k, 5', [-0.506895, -0.085185, 1.0]], ['2, k, 6', [-0.618541, 0.0438114, 1.0]], ['2, k, 7', [-0.651572, 0.103232, 1.0]], ['2, k, 8', [-0.0379858, -0.271876, 1.0]], ['2, k, 9', [-0.014599, -0.459392, 1.0]], ['2, k, 10', [-0.14299, -0.323549, 1.0]], ['2, k, 11', [-0.199056, -0.337278, 1.0]], ['2, k, 12', [-0.249101, -0.545427, 1.0]], ['2, k, 13', [-0.435994, -0.759785, 1.0]], ['2, k, 14', [-0.179567, -0.790881, 1.0]], ['2, k, 15', [-0.231806, -0.87503, 1.0]], ['2, k, 16', [-0.12019, -0.568689, 1.0]], ['2, k, 17', [-0.149384, -0.274237, 1.0]], ['2, k, 18', [-0.16719, -0.774769, 1.0]], ['2, k, 19', [-0.264748, -0.721595, 1.0]], ['2, k, 20', [-0.178117, -0.20908, 1.0]], ['2, k, 21', [-0.670042, 0.15458, 1.0]], ['2, k, 22', [-0.625673, 0.14108, 1.0]], ['2, k, 23', [-0.235354, -0.326277, 1.0]], ['2, k, 24', [-0.230601, -0.384663, 1.0]]]
[['2, k, 0', [-0.186315, -0.571157, 1.0]], ['2, k, 1', [-0.182216, -0.362533, 1.0]], ['2, k, 2', [-0.180238, -0.157449, 1.0]], ['2, k, 3', [-0.207434, -0.0337195, 1.0]], ['2, k, 4', [-0.335084, -0.22348, 1.0]], ['2, k, 5', [-0.511579, -0.0886443, 1.0]], ['2, k, 6', [-0.621331, 0.0435283, 1.0]], ['2, k, 7', [-0.660095, 0.0956522, 1.0]], ['2, k, 8', [-0.037554, -0.271267, 1.0]], ['2, k, 9', [-0.0125059, -0.469096, 1.0]], ['2, k, 10', [-0.152747, -0.321106, 1.0]], ['2, k, 11', [-0.208608, -0.332535, 1.0]], ['2, k, 12', [-0.254018, -0.571246, 1.0]], ['2, k, 13', [-0.462298, -0.765585, 1.0]], ['2, k, 14', [-0.210914, -0.797095, 1.0]], ['2, k, 15', [-0.25153, -0.889359, 1.0]], ['2, k, 16', [-0.11894, -0.570263, 1.0]], ['2, k, 17', [-0.156211, -0.273413, 1.0]], ['2, k, 18', [-0.168075, -0.779834, 1.0]], ['2, k, 19', [-0.26652, -0.726145, 1.0]], ['2, k, 20', [-0.18023, -0.209678, 1.0]], ['2, k, 21', [-0.689323, 0.138914, 1.0]], ['2, k, 22', [-0.621437, 0.131401, 1.0]], ['2, k, 23', [-0.247939, -0.330838, 1.0]], ['2, k, 24', [-0.243114, -0.377902, 1.0]]]
[['2, k, 0', [-0.187136, -0.567334, 1.0]], ['2, k, 1', [-0.186669, -0.359557, 1.0]], ['2, k, 2', [-0.189742, -0.154949, 1.0]], ['2, k, 3', [-0.217958, -0.034776, 1.0]], ['2, k, 4', [-0.344012, -0.2203, 1.0]], ['2, k, 5', [-0.515878, -0.0931535, 1.0]], ['2, k, 6', [-0.635155, 0.0440339, 1.0]], ['2, k, 7', [-0.667873, 0.0871703, 1.0]], ['2, k, 8', [-0.0349555, -0.267608, 1.0]], ['2, k, 9', [-0.0111589, -0.471203, 1.0]], ['2, k, 10', [-0.158607, -0.322729, 1.0]], ['2, k, 11', [-0.213202, -0.335894, 1.0]], ['2, k, 12', [-0.254463, -0.557393, 1.0]], ['2, k, 13', [-0.443256, -0.807012, 1.0]], ['2, k, 14', [-0.136924, -0.696428, 1.0]], ['2, k, 15', [-0.145825, -0.777659, 1.0]], ['2, k, 16', [-0.119339, -0.568787, 1.0]], ['2, k, 17', [-0.155149, -0.241474, 1.0]], ['2, k, 18', [-0.125601, -0.763195, 1.0]], ['2, k, 19', [-0.186886, -0.820756, 1.0]], ['2, k, 20', [-0.18886, -0.20641, 1.0]], ['2, k, 21', [-0.699937, 0.128282, 1.0]], ['2, k, 22', [-0.635956, 0.126497, 1.0]], ['2, k, 23', [-0.254912, -0.332743, 1.0]], ['2, k, 24', [-0.246473, -0.382794, 1.0]]]
