[['2, k, 0', [-0.139221, -0.319533, 1.0]], ['2, k, 1', [-0.138833, -0.0314112, 1.0]], ['2, k, 2', [-0.137716, 0.250211, 1.0]], ['2, k, 3', [-0.141059, 0.402771, 1.0]], ['2, k, 4', [-0.315587, 0.160534, 1.0]], ['2, k, 5', [-0.407966, -0.0829415, 1.0]], ['2, k, 6', [-0.448226, -0.285312, 1.0]], ['2, k, 7', [-0.43172, -0.307278, 1.0]], ['2, k, 8', [0.0339567, 0.14293, 1.0]], ['2, k, 9', [0.131923, -0.104697, 1.0]], ['2, k, 10', [0.201904, -0.308777, 1.0]], ['2, k, 11', [0.188176, -0.344582, 1.0]], ['2, k, 12', [-0.217001, -0.311248, 1.0]], ['2, k, 13', [-0.252831, -0.598255, 1.0]], ['2, k, 14', [-0.323316, -0.882301, 1.0]], ['2, k, 15', [-0.301722, -0.992449, 1.0]], ['2, k, 16', [-0.057749, -0.319401, 1.0]], ['2, k, 17', [-0.0247778, -0.609686, 1.0]], ['2, k, 18', [0.0129423, -0.909933, 1.0]], ['2, k, 19', [0.0186615, -1.02246, 1.0]], ['2, k, 20', [-0.138124, 0.180732, 1.0]], ['2, k, 21', [-0.396124, -0.344692, 1.0]], ['2, k, 22', [-0.474868, -0.312964, 1.0]], ['2, k, 23', [0.178402, -0.398132, 1.0]], ['2, k, 24', [0.0911955, -0.354102, 1.0]]]
[['2, k, 0', [-0.139362, -0.319652, 1.0]], ['2, k, 1', [-0.13886, -0.0314582, 1.0]], ['2, k, 2', [-0.137703, 0.250193, 1.0]], ['2, k, 3', [-0.141059, 0.402772, 1.0]], ['2, k, 4', [-0.315627, 0.160565, 1.0]], ['2, k, 5', [-0.407986, -0.0829341, 1.0]], ['2, k, 6', [-0.448331, -0.285391, 1.0]], ['2, k, 7', [-0.430975, -0.308033, 1.0]], ['2, k, 8', [0.0339148, 0.142935, 1.0]], ['2, k, 9', [0.131927, -0.104699, 1.0]], ['2, k, 10', [0.201758, -0.308886, 1.0]], ['2, k, 11', [0.188162, -0.344482, 1.0]], ['2, k, 12', [-0.217141, -0.31135, 1.0]], ['2, k, 13', [-0.252983, -0.598042, 1.0]], ['2, k, 14', [-0.31117, -0.839975, 1.0]], ['2, k, 15', [-0.295818, -0.955497, 1.0]], ['2, k, 16', [-0.0578882, -0.319534, 1.0]], ['2, k, 17', [-0.025043, -0.610243, 1.0]], ['2, k, 18', [-0.00241604, -0.911457, 1.0]], ['2, k, 19', [0.018518, -1.02184, 1.0]], ['2, k, 20', [-0.138119, 0.180713, 1.0]], ['2, k, 21', [-0.404575, -0.342118, 1.0]], ['2, k, 22', [-0.477524, -0.311537, 1.0]], ['2, k, 23', [0.174085, -0.399306, 1.0]], ['2, k, 24', [0.0919846, -0.354356, 1.0]]]
[['2, k, 0', [-0.139282, -0.319613, 1.0]], ['2, k, 1', [-0.138824, -0.0314535, 1.0]], ['2, k, 2', [-0.137693, 0.250174, 1.0]], ['2, k, 3', [-0.141035, 0.402804, 1.0]], ['2, k, 4', [-0.315622, 0.160552, 1.0]], ['2, k, 5', [-0.407888, -0.0828861, 1.0]], ['2, k, 6', [-0.448413, -0.285378, 1.0]], ['2, k, 7', [-0.432171, -0.30694, 1.0]], ['2, k, 8', [0.0339466, 0.142911, 1.0]], ['2, k, 9', [0.131912, -0.104709, 1.0]], ['2, k, 10', [0.201656, -0.308969, 1.0]], ['2, k, 11', [0.188165, -0.343527, 1.0]], ['2, k, 12', [-0.217062, -0.311311, 1.0]], ['2, k, 13', [-0.253031, -0.598571, 1.0]], ['2, k, 14', [-0.309829, -0.834682, 1.0]], ['2, k, 15', [-0.301571, -0.953602, 1.0]], ['2, k, 16', [-0.0578082, -0.319495, 1.0]], ['2, k, 17', [-0.0249503, -0.61024, 1.0]], ['2, k, 18', [-0.00290526, -0.956082, 1.0]], ['2, k, 19', [0.0190976, -1.03976, 1.0]], ['2, k, 20', [-0.138103, 0.180699, 1.0]], ['2, k, 21', [-0.403109, -0.341013, 1.0]], ['2, k, 22', [-0.474962, -0.312027, 1.0]], ['2, k, 23', [0.174923, -0.40004, 1.0]], ['2, k, 24', [0.0915753, -0.354295, 1.0]]]
[['2, k, 0', [-0.139315, -0.319621, 1.0]], ['2, k, 1', [-0.138766, -0.0314562, 1.0]], ['2, k, 2', [-0.137504, 0.250177, 1.0]], ['2, k, 3', [-0.141068, 0.402813, 1.0]], ['2, k, 4', [-0.315662, 0.160574, 1.0]], ['2, k, 5', [-0.407903, -0.0829233, 1.0]], ['2, k, 6', [-0.44855, -0.285472, 1.0]], ['2, k, 7', [-0.432981, -0.306782, 1.0]], ['2, k, 8', [0.0339604, 0.143065, 1.0]], ['2, k, 9', [0.131854, -0.104697, 1.0]], ['2, k, 10', [0.201507, -0.309081, 1.0]], ['2, k, 11', [0.188085, -0.344469, 1.0]], ['2, k, 12', [-0.217106, -0.311336, 1.0]], ['2, k, 13', [-0.252732, -0.598625, 1.0]], ['2, k, 14', [-0.305959, -0.822186, 1.0]], ['2, k, 15', [-0.296193, -0.943779, 1.0]], ['2, k, 16', [-0.0578209, -0.319476, 1.0]], ['2, k, 17', [-0.0260907, -0.607532, 1.0]], ['2, k, 18', [-0.00144907, -0.927585, 1.0]], ['2, k, 19', [0.0214233, -1.02429, 1.0]], ['2, k, 20', [-0.137953, 0.180701, 1.0]], ['2, k, 21', [-0.40139, -0.338069, 1.0]], ['2, k, 22', [-0.475789, -0.314552, 1.0]], ['2, k, 23', [0.182294, -0.394515, 1.0]], ['2, k, 24', [0.0913064, -0.354223, 1.0]]]
[['2, k, 0', [-0.139315, -0.319511, 1.0]], ['2, k, 1', [-0.138754, -0.0314233, 1.0]], ['2, k, 2', [-0.137473, 0.250173, 1.0]], ['2, k, 3', [-0.14107, 0.402815, 1.0]], ['2, k, 4', [-0.315668, 0.160582, 1.0]], ['2, k, 5', [-0.407785, -0.082897, 1.0]], ['2, k, 6', [-0.448605, -0.2855, 1.0]], ['2, k, 7', [-0.432321, -0.306792, 1.0]], ['2, k, 8', [0.0339668, 0.143086, 1.0]], ['2, k, 9', [0.131857, -0.104701, 1.0]], ['2, k, 10', [0.201565, -0.309023, 1.0]], ['2, k, 11', [0.18765, -0.344362, 1.0]], ['2, k, 12', [-0.217104, -0.311236, 1.0]], ['2, k, 13', [-0.252858, -0.598934, 1.0]], ['2, k, 14', [-0.304366, -0.819905, 1.0]], ['2, k, 15', [-0.295317, -0.941557, 1.0]], ['2, k, 16', [-0.0578244, -0.319342, 1.0]], ['2, k, 17', [-0.0262876, -0.607543, 1.0]], ['2, k, 18', [-0.00320923, -0.929866, 1.0]], ['2, k, 19', [0.0214706, -1.0231, 1.0]], ['2, k, 20', [-0.137929, 0.180708, 1.0]], ['2, k, 21', [-0.40226, -0.344302, 1.0]], ['2, k, 22', [-0.475704, -0.316104, 1.0]], ['2, k, 23', [0.167936, -0.405082, 1.0]], ['2, k, 24', [0.0919968, -0.354073, 1.0]]]
[['2, k, 0', [-0.13918, -0.31941, 1.0]], ['2, k, 1', [-0.138668, -0.0313423, 1.0]], ['2, k, 2', [-0.137425, 0.250234, 1.0]], ['2, k, 3', [-0.141103, 0.402886, 1.0]], ['2, k, 4', [-0.315632, 0.160623, 1.0]], ['2, k, 5', [-0.407721, -0.0828955, 1.0]], ['2, k, 6', [-0.448497, -0.285451, 1.0]], ['2, k, 7', [-0.43178, -0.307995, 1.0]], ['2, k, 8', [0.0339353, 0.143114, 1.0]], ['2, k, 9', [0.131872, -0.104745, 1.0]], ['2, k, 10', [0.200918, -0.309355, 1.0]], ['2, k, 11', [0.187047, -0.344418, 1.0]], ['2, k, 12', [-0.216994, -0.31115, 1.0]], ['2, k, 13', [-0.252073, -0.59492, 1.0]], ['2, k, 14', [-0.30314, -0.81466, 1.0]], ['2, k, 15', [-0.293986, -0.941049, 1.0]], ['2, k, 16', [-0.0576687, -0.31923, 1.0]], ['2, k, 17', [-0.0261401, -0.607344, 1.0]], ['2, k, 18', [-0.00319719, -0.929607, 1.0]], ['2, k, 19', [0.0169941, -1.02566, 1.0]], ['2, k, 20', [-0.137872, 0.180773, 1.0]], ['2, k, 21', [-0.397415, -0.343252, 1.0]], ['2, k, 22', [-0.476051, -0.316068, 1.0]], ['2, k, 23', [0.18418, -0.395216, 1.0]], ['2, k, 24', [0.091755, -0.3543, 1.0]]]
[['2, k, 0', [-0.139203, -0.319387, 1.0]], ['2, k, 1', [-0.138579, -0.0313739, 1.0]], ['2, k, 2', [-0.137127, 0.250107, 1.0]], ['2, k, 3', [-0.141106, 0.402846, 1.0]], ['2, k, 4', [-0.315618, 0.160685, 1.0]], ['2, k, 5', [-0.407712, -0.0829072, 1.0]], ['2, k, 6', [-0.448523, -0.285649, 1.0]], ['2, k, 7', [-0.433412, -0.307016, 1.0]], ['2, k, 8', [0.0339125, 0.143099, 1.0]], ['2, k, 9', [0.131826, -0.104881, 1.0]], ['2, k, 10', [0.200964, -0.309385, 1.0]], ['2, k, 11', [0.1867, -0.344574, 1.0]], ['2, k, 12', [-0.217014, -0.311101, 1.0]], ['2, k, 13', [-0.252119, -0.594948, 1.0]], ['2, k, 14', [-0.302507, -0.813787, 1.0]], ['2, k, 15', [-0.2962, -0.940514, 1.0]], ['2, k, 16', [-0.0576921, -0.319233, 1.0]], ['2, k, 17', [-0.025884, -0.607999, 1.0]], ['2, k, 18', [-0.00286945, -0.928787, 1.0]], ['2, k, 19', [-0.0170834, -0.988767, 1.0]], ['2, k, 20', [-0.137639, 0.180676, 1.0]], ['2, k, 21', [-0.403778, -0.341591, 1.0]], ['2, k, 22', [-0.475342, -0.313778, 1.0]], ['2, k, 23', [0.179861, -0.395763, 1.0]], ['2, k, 24', [0.0915246, -0.354379, 1.0]]]
[['2, k, 0', [-0.139123, -0.319302, 1.0]], ['2, k, 1', [-0.13856, -0.0313136, 1.0]], ['2, k, 2', [-0.13716, 0.25018, 1.0]], ['2, k, 3', [-0.141102, 0.402865, 1.0]], ['2, k, 4', [-0.315617, 0.160688, 1.0]], ['2, k, 5', [-0.407716, -0.0829211, 1.0]], ['2, k, 6', [-0.448331, -0.285698, 1.0]], ['2, k, 7', [-0.432132, -0.307191, 1.0]], ['2, k, 8', [0.0338863, 0.143198, 1.0]], ['2, k, 9', [0.131811, -0.104919, 1.0]], ['2, k, 10', [0.200816, -0.309514, 1.0]], ['2, k, 11', [0.188497, -0.345074, 1.0]], ['2, k, 12', [-0.21693, -0.31104, 1.0]], ['2, k, 13', [-0.252158, -0.595315, 1.0]], ['2, k, 14', [-0.300968, -0.812954, 1.0]], ['2, k, 15', [-0.295088, -0.939174, 1.0]], ['2, k, 16', [-0.0576087, -0.319116, 1.0]], ['2, k, 17', [-0.0258646, -0.607691, 1.0]], ['2, k, 18', [-0.00480338, -0.914508, 1.0]], ['2, k, 19', [0.0202141, -1.03698, 1.0]], ['2, k, 20', [-0.137655, 0.180742, 1.0]], ['2, k, 21', [-0.398577, -0.340631, 1.0]], ['2, k, 22', [-0.477026, -0.317763, 1.0]], ['2, k, 23', [0.181548, -0.395668, 1.0]], ['2, k, 24', [0.091133, -0.3543, 1.0]]]
[['2, k, 0', [-0.1393, -0.319187, 1.0]], ['2, k, 1', [-0.138679, -0.0312183, 1.0]], ['2, k, 2', [-0.13724, 0.250258, 1.0]], ['2, k, 3', [-0.141175, 0.402912, 1.0]], ['2, k, 4', [-0.315598, 0.160699, 1.0]], ['2, k, 5', [-0.407695, -0.0829215, 1.0]], ['2, k, 6', [-0.448393, -0.285744, 1.0]], ['2, k, 7', [-0.431341, -0.306311, 1.0]], ['2, k, 8', [0.0339106, 0.143255, 1.0]], ['2, k, 9', [0.131773, -0.104856, 1.0]], ['2, k, 10', [0.20073, -0.309466, 1.0]], ['2, k, 11', [0.188143, -0.344163, 1.0]], ['2, k, 12', [-0.217074, -0.311092, 1.0]], ['2, k, 13', [-0.252287, -0.594705, 1.0]], ['2, k, 14', [-0.300189, -0.809947, 1.0]], ['2, k, 15', [-0.293449, -0.935749, 1.0]], ['2, k, 16', [-0.0578951, -0.318664, 1.0]], ['2, k, 17', [-0.0259969, -0.60788, 1.0]], ['2, k, 18', [0.00272912, -0.885007, 1.0]], ['2, k, 19', [0.0241738, -1.00757, 1.0]], ['2, k, 20', [-0.137743, 0.180824, 1.0]], ['2, k, 21', [-0.398711, -0.342874, 1.0]], ['2, k, 22', [-0.472432, -0.309929, 1.0]], ['2, k, 23', [0.177768, -0.397558, 1.0]], ['2, k, 24', [0.0909633, -0.354451, 1.0]]]
[['2, k, 0', [-0.13941, -0.319194, 1.0]], ['2, k, 1', [-0.138691, -0.0312201, 1.0]], ['2, k, 2', [-0.137228, 0.250257, 1.0]], ['2, k, 3', [-0.141203, 0.402901, 1.0]], ['2, k, 4', [-0.315579, 0.160729, 1.0]], ['2, k, 5', [-0.407663, -0.0828797, 1.0]], ['2, k, 6', [-0.448094, -0.285826, 1.0]], ['2, k, 7', [-0.431145, -0.305909, 1.0]], ['2, k, 8', [0.0339035, 0.143252, 1.0]], ['2, k, 9', [0.131788, -0.104902, 1.0]], ['2, k, 10', [0.200594, -0.30956, 1.0]], ['2, k, 11', [0.187621, -0.344198, 1.0]], ['2, k, 12', [-0.217327, -0.311525, 1.0]], ['2, k, 13', [-0.252479, -0.59453, 1.0]], ['2, k, 14', [-0.302009, -0.816407, 1.0]], ['2, k, 15', [-0.293908, -0.941447, 1.0]], ['2, k, 16', [-0.0580557, -0.318354, 1.0]], ['2, k, 17', [-0.0259549, -0.607984, 1.0]], ['2, k, 18', [-0.00221562, -0.85386, 1.0]], ['2, k, 19', [0.0174292, -0.977807, 1.0]], ['2, k, 20', [-0.13774, 0.180823, 1.0]], ['2, k, 21', [-0.402796, -0.34023, 1.0]], ['2, k, 22', [-0.470579, -0.316072, 1.0]], ['2, k, 23', [0.184386, -0.392871, 1.0]], ['2, k, 24', [0.0913465, -0.354275, 1.0]]]
[['2, k, 0', [-0.139559, -0.319126, 1.0]], ['2, k, 1', [-0.138756, -0.0312136, 1.0]], ['2, k, 2', [-0.137249, 0.25023, 1.0]], ['2, k, 3', [-0.141209, 0.402898, 1.0]], ['2, k, 4', [-0.31553, 0.160746, 1.0]], ['2, k, 5', [-0.407657, -0.0828816, 1.0]], ['2, k, 6', [-0.447884, -0.285899, 1.0]], ['2, k, 7', [-0.431648, -0.307891, 1.0]], ['2, k, 8', [0.0339432, 0.14331, 1.0]], ['2, k, 9', [0.13178, -0.104856, 1.0]], ['2, k, 10', [0.200571, -0.309487, 1.0]], ['2, k, 11', [0.187475, -0.344091, 1.0]], ['2, k, 12', [-0.217455, -0.311536, 1.0]], ['2, k, 13', [-0.252536, -0.594369, 1.0]], ['2, k, 14', [-0.302572, -0.822009, 1.0]], ['2, k, 15', [-0.292402, -0.946383, 1.0]], ['2, k, 16', [-0.0582122, -0.318182, 1.0]], ['2, k, 17', [-0.0257377, -0.608377, 1.0]], ['2, k, 18', [-0.00214606, -0.877521, 1.0]], ['2, k, 19', [-0.016154, -0.937044, 1.0]], ['2, k, 20', [-0.137768, 0.180802, 1.0]], ['2, k, 21', [-0.401231, -0.343946, 1.0]], ['2, k, 22', [-0.481446, -0.315779, 1.0]], ['2, k, 23', [0.176288, -0.399641, 1.0]], ['2, k, 24', [0.0913034, -0.354104, 1.0]]]
