[['2, k, 0', [-0.1792755, -0.1740592, 1.0]], ['2, k, 1', [-0.157992, 0.05285709, 1.0]], ['2, k, 2', [-0.136354, 0.2755187, 1.0]], ['2, k, 3', [-0.1323512, 0.3919778, 1.0]], ['2, k, 4', [-0.2730273, 0.1951786, 1.0]], ['2, k, 5', [-0.1871425, 0.04858261, 1.0]], ['2, k, 6', [-0.0809165, -0.08275427, 1.0]], ['2, k, 7', [-0.04247102, -0.119164, 1.0]], ['2, k, 8', [-0.001777644, 0.1877759, 1.0]], ['2, k, 9', [-0.007048012, 0.06312313, 1.0]], ['2, k, 10', [-0.01273465, -0.04345867, 1.0]], ['2, k, 11', [-0.03926239, -0.1239528, 1.0]], ['2, k, 12', [-0.2424938, -0.1659234, 1.0]], ['2, k, 13', [-0.1782271, -0.2996505, 1.0]], ['2, k, 14', [-0.2143985, -0.6619554, 1.0]], ['2, k, 15', [-0.189219, -0.7348441, 1.0]], ['2, k, 16', [-0.1118371, -0.1779666, 1.0]], ['2, k, 17', [0.001264923, -0.3104228, 1.0]], ['2, k, 18', [-0.005136605, -0.6554878, 1.0]], ['2, k, 19', [0.01534344, -0.7029625, 1.0]], ['2, k, 20', [-0.1417315, 0.2204796, 1.0]], ['2, k, 21', [-0.02305319, -0.1750398, 1.0]], ['2, k, 22', [-0.02216934, -0.08681616, 1.0]], ['2, k, 23', [-0.02776567, -0.1791432, 1.0]], ['2, k, 24', [-0.02421234, -0.08768647, 1.0]]]
[['2, k, 0', [-0.1793298, -0.1743125, 1.0]], ['2, k, 1', [-0.1579949, 0.0527684, 1.0]], ['2, k, 2', [-0.1363315, 0.2754477, 1.0]], ['2, k, 3', [-0.1327237, 0.3909361, 1.0]], ['2, k, 4', [-0.2730326, 0.1948077, 1.0]], ['2, k, 5', [-0.1874323, 0.04847098, 1.0]], ['2, k, 6', [-0.08317395, -0.0851086, 1.0]], ['2, k, 7', [-0.0397893, -0.1230401, 1.0]], ['2, k, 8', [-0.001546349, 0.18728, 1.0]], ['2, k, 9', [1.235132e-05, 0.06060807, 1.0]], ['2, k, 10', [-0.01173585, -0.04402198, 1.0]], ['2, k, 11', [-0.04213431, -0.1163123, 1.0]], ['2, k, 12', [-0.2425708, -0.1662477, 1.0]], ['2, k, 13', [-0.1781793, -0.2999256, 1.0]], ['2, k, 14', [-0.2139303, -0.6617022, 1.0]], ['2, k, 15', [-0.189796, -0.7346108, 1.0]], ['2, k, 16', [-0.1118746, -0.1781908, 1.0]], ['2, k, 17', [0.001194553, -0.310314, 1.0]], ['2, k, 18', [-0.004396301, -0.6551595, 1.0]], ['2, k, 19', [0.01611873, -0.7026462, 1.0]], ['2, k, 20', [-0.1417215, 0.2204164, 1.0]], ['2, k, 21', [-0.02388104, -0.1837971, 1.0]], ['2, k, 22', [-0.02359434, -0.09840685, 1.0]], ['2, k, 23', [-0.02698593, -0.171956, 1.0]], ['2, k, 24', [-0.02238922, -0.0963511, 1.0]]]
[['2, k, 0', [-0.1793885, -0.1738158, 1.0]], ['2, k, 1', [-0.1580762, 0.05284404, 1.0]], ['2, k, 2', [-0.1365487, 0.2752616, 1.0]], ['2, k, 3', [-0.1325677, 0.3909777, 1.0]], ['2, k, 4', [-0.2732438, 0.1943177, 1.0]], ['2, k, 5', [-0.1866218, 0.04826542, 1.0]], ['2, k, 6', [-0.08628269, -0.08286151, 1.0]], ['2, k, 7', [-0.0394559, -0.1240726, 1.0]], ['2, k, 8', [-0.001035679, 0.1854918, 1.0]], ['2, k, 9', [0.0004360625, 0.05915292, 1.0]], ['2, k, 10', [-0.01034169, -0.04490885, 1.0]], ['2, k, 11', [-0.04110837, -0.1213133, 1.0]], ['2, k, 12', [-0.2424772, -0.1655649, 1.0]], ['2, k, 13', [-0.1782873, -0.2999147, 1.0]], ['2, k, 14', [-0.2137777, -0.661801, 1.0]], ['2, k, 15', [-0.1968679, -0.7408007, 1.0]], ['2, k, 16', [-0.1120446, -0.1778319, 1.0]], ['2, k, 17', [0.001204293, -0.3102894, 1.0]], ['2, k, 18', [-0.004476632, -0.6551539, 1.0]], ['2, k, 19', [0.01573759, -0.702634, 1.0]], ['2, k, 20', [-0.1418825, 0.2203332, 1.0]], ['2, k, 21', [-0.02354388, -0.1794413, 1.0]], ['2, k, 22', [-0.02365247, -0.09261935, 1.0]], ['2, k, 23', [-0.02872841, -0.1747072, 1.0]], ['2, k, 24', [-0.02325901, -0.09789086, 1.0]]]
[['2, k, 0', [-0.1795358, -0.1734264, 1.0]], ['2, k, 1', [-0.1580735, 0.05284416, 1.0]], ['2, k, 2', [-0.1362882, 0.2746931, 1.0]], ['2, k, 3', [-0.1326732, 0.391023, 1.0]], ['2, k, 4', [-0.2734555, 0.1939434, 1.0]], ['2, k, 5', [-0.1872854, 0.04786874, 1.0]], ['2, k, 6', [-0.08783078, -0.08212967, 1.0]], ['2, k, 7', [-0.04079662, -0.1244362, 1.0]], ['2, k, 8', [-0.0005816269, 0.1840097, 1.0]], ['2, k, 9', [-0.01873055, 0.0504671, 1.0]], ['2, k, 10', [-0.01998089, -0.04643996, 1.0]], ['2, k, 11', [-0.04250931, -0.1219419, 1.0]], ['2, k, 12', [-0.2424389, -0.165159, 1.0]], ['2, k, 13', [-0.1780086, -0.3003606, 1.0]], ['2, k, 14', [-0.2135223, -0.6623488, 1.0]], ['2, k, 15', [-0.1970344, -0.7407001, 1.0]], ['2, k, 16', [-0.112468, -0.1773716, 1.0]], ['2, k, 17', [0.001098604, -0.3102977, 1.0]], ['2, k, 18', [-0.005267023, -0.6552057, 1.0]], ['2, k, 19', [0.01465619, -0.7027067, 1.0]], ['2, k, 20', [-0.1417397, 0.2200203, 1.0]], ['2, k, 21', [-0.02503878, -0.1790048, 1.0]], ['2, k, 22', [-0.02876999, -0.09443201, 1.0]], ['2, k, 23', [-0.02789179, -0.1784012, 1.0]], ['2, k, 24', [-0.02852598, -0.09375711, 1.0]]]
[['2, k, 0', [-0.1795948, -0.1724386, 1.0]], ['2, k, 1', [-0.1580818, 0.05338729, 1.0]], ['2, k, 2', [-0.1362732, 0.2749325, 1.0]], ['2, k, 3', [-0.1326833, 0.3910171, 1.0]], ['2, k, 4', [-0.2735763, 0.1937353, 1.0]], ['2, k, 5', [-0.1881856, 0.04631977, 1.0]], ['2, k, 6', [-0.08877702, -0.0824166, 1.0]], ['2, k, 7', [-0.04216613, -0.1252389, 1.0]], ['2, k, 8', [-0.0005825221, 0.1839994, 1.0]], ['2, k, 9', [-0.03096913, 0.04873299, 1.0]], ['2, k, 10', [-0.03787628, -0.04904282, 1.0]], ['2, k, 11', [-0.04727393, -0.1169775, 1.0]], ['2, k, 12', [-0.2423215, -0.1641824, 1.0]], ['2, k, 13', [-0.1782424, -0.2999535, 1.0]], ['2, k, 14', [-0.213402, -0.6622329, 1.0]], ['2, k, 15', [-0.1964111, -0.7404145, 1.0]], ['2, k, 16', [-0.1127083, -0.1762956, 1.0]], ['2, k, 17', [0.0009366517, -0.3096271, 1.0]], ['2, k, 18', [-0.005190481, -0.6546559, 1.0]], ['2, k, 19', [0.01473825, -0.7021891, 1.0]], ['2, k, 20', [-0.1417353, 0.2203029, 1.0]], ['2, k, 21', [-0.02533792, -0.1830259, 1.0]], ['2, k, 22', [-0.02410494, -0.09059027, 1.0]], ['2, k, 23', [-0.03020868, -0.1729044, 1.0]], ['2, k, 24', [-0.02475784, -0.09031732, 1.0]]]
[['2, k, 0', [-0.179621, -0.1721692, 1.0]], ['2, k, 1', [-0.1581513, 0.05345877, 1.0]], ['2, k, 2', [-0.1364554, 0.2748545, 1.0]], ['2, k, 3', [-0.1325106, 0.3907472, 1.0]], ['2, k, 4', [-0.2735954, 0.193606, 1.0]], ['2, k, 5', [-0.1883075, 0.04647605, 1.0]], ['2, k, 6', [-0.08912706, -0.08313835, 1.0]], ['2, k, 7', [-0.04168857, -0.1246576, 1.0]], ['2, k, 8', [-0.000559742, 0.1839809, 1.0]], ['2, k, 9', [-0.01087395, 0.04936988, 1.0]], ['2, k, 10', [-0.02706417, -0.06225621, 1.0]], ['2, k, 11', [-0.0451932, -0.1138765, 1.0]], ['2, k, 12', [-0.2422343, -0.1639258, 1.0]], ['2, k, 13', [-0.1783691, -0.2999876, 1.0]], ['2, k, 14', [-0.2135592, -0.6613019, 1.0]], ['2, k, 15', [-0.1960491, -0.7390209, 1.0]], ['2, k, 16', [-0.112852, -0.1760044, 1.0]], ['2, k, 17', [0.0005261112, -0.3093626, 1.0]], ['2, k, 18', [-0.005048831, -0.6545283, 1.0]], ['2, k, 19', [0.01489014, -0.7020666, 1.0]], ['2, k, 20', [-0.1418755, 0.2202729, 1.0]], ['2, k, 21', [-0.02618767, -0.1806365, 1.0]], ['2, k, 22', [-0.02324757, -0.09229189, 1.0]], ['2, k, 23', [-0.03080552, -0.1684706, 1.0]], ['2, k, 24', [-0.02286046, -0.09358566, 1.0]]]
[['2, k, 0', [-0.1796972, -0.1732604, 1.0]], ['2, k, 1', [-0.1585074, 0.05282014, 1.0]], ['2, k, 2', [-0.1372418, 0.2742534, 1.0]], ['2, k, 3', [-0.1330705, 0.3896966, 1.0]], ['2, k, 4', [-0.2736991, 0.1930755, 1.0]], ['2, k, 5', [-0.1901775, 0.04657466, 1.0]], ['2, k, 6', [-0.08992629, -0.08209445, 1.0]], ['2, k, 7', [-0.04325715, -0.1197371, 1.0]], ['2, k, 8', [-0.0003536256, 0.1836405, 1.0]], ['2, k, 9', [-0.01090157, 0.04937804, 1.0]], ['2, k, 10', [-0.02616732, -0.06073161, 1.0]], ['2, k, 11', [-0.04585749, -0.1089325, 1.0]], ['2, k, 12', [-0.242334, -0.1653295, 1.0]], ['2, k, 13', [-0.1783665, -0.3000222, 1.0]], ['2, k, 14', [-0.2131154, -0.6623817, 1.0]], ['2, k, 15', [-0.1953118, -0.7388092, 1.0]], ['2, k, 16', [-0.1128939, -0.176903, 1.0]], ['2, k, 17', [0.0003484483, -0.3088534, 1.0]], ['2, k, 18', [-0.005811518, -0.6546789, 1.0]], ['2, k, 19', [0.01409248, -0.7022513, 1.0]], ['2, k, 20', [-0.1425452, 0.219656, 1.0]], ['2, k, 21', [-0.02395172, -0.174051, 1.0]], ['2, k, 22', [-0.02332017, -0.08378462, 1.0]], ['2, k, 23', [-0.02866512, -0.1663092, 1.0]], ['2, k, 24', [-0.02380725, -0.08495919, 1.0]]]
[['2, k, 0', [-0.1797093, -0.1728309, 1.0]], ['2, k, 1', [-0.158671, 0.05299093, 1.0]], ['2, k, 2', [-0.1376382, 0.2742503, 1.0]], ['2, k, 3', [-0.1331447, 0.3894791, 1.0]], ['2, k, 4', [-0.2737502, 0.1929796, 1.0]], ['2, k, 5', [-0.19064, 0.04770047, 1.0]], ['2, k, 6', [-0.09253789, -0.07363524, 1.0]], ['2, k, 7', [-0.04264251, -0.1169536, 1.0]], ['2, k, 8', [-0.000255216, 0.1833093, 1.0]], ['2, k, 9', [-0.008830336, 0.05902464, 1.0]], ['2, k, 10', [-0.02388637, -0.0431967, 1.0]], ['2, k, 11', [-0.04595944, -0.1068058, 1.0]], ['2, k, 12', [-0.242198, -0.1647316, 1.0]], ['2, k, 13', [-0.1783628, -0.2998373, 1.0]], ['2, k, 14', [-0.2132686, -0.6622848, 1.0]], ['2, k, 15', [-0.1950859, -0.7384487, 1.0]], ['2, k, 16', [-0.1130278, -0.1764156, 1.0]], ['2, k, 17', [0.0001451743, -0.3088381, 1.0]], ['2, k, 18', [-0.005797565, -0.6544728, 1.0]], ['2, k, 19', [0.01402081, -0.7020431, 1.0]], ['2, k, 20', [-0.1428711, 0.2197005, 1.0]], ['2, k, 21', [-0.0252646, -0.172834, 1.0]], ['2, k, 22', [-0.02773748, -0.08292288, 1.0]], ['2, k, 23', [-0.03082941, -0.1670078, 1.0]], ['2, k, 24', [-0.02005726, -0.08015191, 1.0]]]
[['2, k, 0', [-0.179662, -0.1730186, 1.0]], ['2, k, 1', [-0.1587311, 0.05300466, 1.0]], ['2, k, 2', [-0.1380207, 0.274593, 1.0]], ['2, k, 3', [-0.1332287, 0.3896173, 1.0]], ['2, k, 4', [-0.2737607, 0.1929565, 1.0]], ['2, k, 5', [-0.1901039, 0.04892272, 1.0]], ['2, k, 6', [-0.09236863, -0.0720919, 1.0]], ['2, k, 7', [-0.04088928, -0.1161432, 1.0]], ['2, k, 8', [-0.0002852094, 0.1834171, 1.0]], ['2, k, 9', [-0.006869656, 0.04980162, 1.0]], ['2, k, 10', [-0.02713988, -0.04716078, 1.0]], ['2, k, 11', [-0.04468758, -0.09483336, 1.0]], ['2, k, 12', [-0.2422199, -0.1649768, 1.0]], ['2, k, 13', [-0.1783601, -0.2997432, 1.0]], ['2, k, 14', [-0.2132447, -0.6625679, 1.0]], ['2, k, 15', [-0.1942483, -0.739204, 1.0]], ['2, k, 16', [-0.1128597, -0.1766828, 1.0]], ['2, k, 17', [-4.003204e-05, -0.3088828, 1.0]], ['2, k, 18', [-0.005717417, -0.6549214, 1.0]], ['2, k, 19', [0.01411765, -0.702499, 1.0]], ['2, k, 20', [-0.1431576, 0.2199219, 1.0]], ['2, k, 21', [-0.02232512, -0.1578166, 1.0]], ['2, k, 22', [-0.02210147, -0.08803145, 1.0]], ['2, k, 23', [-0.0268059, -0.1464009, 1.0]], ['2, k, 24', [-0.0180968, -0.06955486, 1.0]]]
[['2, k, 0', [-0.1796586, -0.1732603, 1.0]], ['2, k, 1', [-0.1587674, 0.05299807, 1.0]], ['2, k, 2', [-0.1381608, 0.2747434, 1.0]], ['2, k, 3', [-0.1332441, 0.3896149, 1.0]], ['2, k, 4', [-0.2738196, 0.1930169, 1.0]], ['2, k, 5', [-0.1897935, 0.05453823, 1.0]], ['2, k, 6', [-0.09332897, -0.0593298, 1.0]], ['2, k, 7', [-0.03852491, -0.101876, 1.0]], ['2, k, 8', [-0.0003762318, 0.1835297, 1.0]], ['2, k, 9', [-0.007222889, 0.05016036, 1.0]], ['2, k, 10', [-0.007994505, -0.03468906, 1.0]], ['2, k, 11', [-0.04929097, -0.06989519, 1.0]], ['2, k, 12', [-0.2423542, -0.1652919, 1.0]], ['2, k, 13', [-0.1781802, -0.2996676, 1.0]], ['2, k, 14', [-0.2129571, -0.6623799, 1.0]], ['2, k, 15', [-0.1943145, -0.7392366, 1.0]], ['2, k, 16', [-0.1127263, -0.1769654, 1.0]], ['2, k, 17', [-0.0004226669, -0.3080457, 1.0]], ['2, k, 18', [-0.005742913, -0.6549255, 1.0]], ['2, k, 19', [0.01406373, -0.7025034, 1.0]], ['2, k, 20', [-0.1432685, 0.2200125, 1.0]], ['2, k, 21', [-0.01944521, -0.1478535, 1.0]], ['2, k, 22', [-0.0210604, -0.07379544, 1.0]], ['2, k, 23', [-0.0363326, -0.105048, 1.0]], ['2, k, 24', [-0.02034159, -0.08024108, 1.0]]]
[['2, k, 0', [-0.1797501, -0.1738528, 1.0]], ['2, k, 1', [-0.1582858, 0.05252686, 1.0]], ['2, k, 2', [-0.1360984, 0.2740324, 1.0]], ['2, k, 3', [-0.1332735, 0.3907775, 1.0]], ['2, k, 4', [-0.2738848, 0.1931707, 1.0]], ['2, k, 5', [-0.1888324, 0.05857854, 1.0]], ['2, k, 6', [-0.09300756, -0.05197807, 1.0]], ['2, k, 7', [-0.03574431, -0.09441912, 1.0]], ['2, k, 8', [-0.000515865, 0.1835171, 1.0]], ['2, k, 9', [-0.003628195, 0.05741448, 1.0]], ['2, k, 10', [-0.03155455, -0.03390272, 1.0]], ['2, k, 11', [-0.04373731, -0.06088302, 1.0]], ['2, k, 12', [-0.2426086, -0.1658371, 1.0]], ['2, k, 13', [-0.1781205, -0.2994678, 1.0]], ['2, k, 14', [-0.2129143, -0.6618237, 1.0]], ['2, k, 15', [-0.1944165, -0.7386323, 1.0]], ['2, k, 16', [-0.1126184, -0.1777869, 1.0]], ['2, k, 17', [-0.000458542, -0.3077167, 1.0]], ['2, k, 18', [-0.005394213, -0.6544032, 1.0]], ['2, k, 19', [0.01431337, -0.7019308, 1.0]], ['2, k, 20', [-0.1417595, 0.2193657, 1.0]], ['2, k, 21', [-0.01808988, -0.1311944, 1.0]], ['2, k, 22', [-0.02220726, -0.06504526, 1.0]], ['2, k, 23', [-0.02631433, -0.1054544, 1.0]], ['2, k, 24', [-0.01622916, -0.03855761, 1.0]]]
