[['2, k, 0', [-0.201084, -0.09685765, 1.0]], ['2, k, 1', [-0.1946929, 0.2222494, 1.0]], ['2, k, 2', [-0.1869612, 0.5294228, 1.0]], ['2, k, 3', [-0.1813464, 0.6567944, 1.0]], ['2, k, 4', [-0.3488234, 0.3983348, 1.0]], ['2, k, 5', [-0.4274131, 0.1771371, 1.0]], ['2, k, 6', [-0.4728017, -0.05157176, 1.0]], ['2, k, 7', [-0.4856192, -0.1168158, 1.0]], ['2, k, 8', [-0.0197505, 0.383679, 1.0]], ['2, k, 9', [0.04326663, 0.1679501, 1.0]], ['2, k, 10', [0.02521004, -0.008522309, 1.0]], ['2, k, 11', [-0.004095446, -0.06811177, 1.0]], ['2, k, 12', [-0.2742132, -0.09073457, 1.0]], ['2, k, 13', [-0.2879902, -0.4165297, 1.0]], ['2, k, 14', [-0.2862221, -0.6929298, 1.0]], ['2, k, 15', [-0.3047692, -0.7485147, 1.0]], ['2, k, 16', [-0.1208886, -0.09978183, 1.0]], ['2, k, 17', [-0.1470569, -0.4250768, 1.0]], ['2, k, 18', [-0.113711, -0.6855507, 1.0]], ['2, k, 19', [-0.07068449, -0.7380476, 1.0]], ['2, k, 20', [-0.1891038, 0.4542649, 1.0]], ['2, k, 21', [-0.4883958, -0.1796111, 1.0]], ['2, k, 22', [-0.5124919, -0.093531, 1.0]], ['2, k, 23', [-0.01871276, -0.1463553, 1.0]], ['2, k, 24', [-0.05175304, -0.03739557, 1.0]]]
[['2, k, 0', [-0.2012189, -0.09691837, 1.0]], ['2, k, 1', [-0.1947861, 0.2222135, 1.0]], ['2, k, 2', [-0.1870451, 0.5294033, 1.0]], ['2, k, 3', [-0.1815316, 0.6567763, 1.0]], ['2, k, 4', [-0.3472641, 0.3980543, 1.0]], ['2, k, 5', [-0.4272223, 0.1774569, 1.0]], ['2, k, 6', [-0.472788, -0.05068318, 1.0]], ['2, k, 7', [-0.4819574, -0.1103978, 1.0]], ['2, k, 8', [-0.01975595, 0.3836824, 1.0]], ['2, k, 9', [0.04328183, 0.1681082, 1.0]], ['2, k, 10', [0.02524555, -0.00931178, 1.0]], ['2, k, 11', [-0.004204881, -0.06793337, 1.0]], ['2, k, 12', [-0.2743842, -0.09083018, 1.0]], ['2, k, 13', [-0.2880577, -0.4165582, 1.0]], ['2, k, 14', [-0.2863267, -0.6928695, 1.0]], ['2, k, 15', [-0.3050182, -0.7488436, 1.0]], ['2, k, 16', [-0.1209952, -0.09980702, 1.0]], ['2, k, 17', [-0.1480779, -0.4250571, 1.0]], ['2, k, 18', [-0.1134937, -0.6856465, 1.0]], ['2, k, 19', [-0.07069784, -0.7381427, 1.0]], ['2, k, 20', [-0.1891878, 0.454242, 1.0]], ['2, k, 21', [-0.4837795, -0.1802204, 1.0]], ['2, k, 22', [-0.5078741, -0.09050674, 1.0]], ['2, k, 23', [-0.01779792, -0.1466002, 1.0]], ['2, k, 24', [-0.05199973, -0.03889272, 1.0]]]
[['2, k, 0', [-0.2012604, -0.09693691, 1.0]], ['2, k, 1', [-0.1947934, 0.2222084, 1.0]], ['2, k, 2', [-0.1870439, 0.5294036, 1.0]], ['2, k, 3', [-0.1816479, 0.6567762, 1.0]], ['2, k, 4', [-0.3459945, 0.3975657, 1.0]], ['2, k, 5', [-0.4271095, 0.177482, 1.0]], ['2, k, 6', [-0.4710009, -0.04969734, 1.0]], ['2, k, 7', [-0.4768984, -0.1030085, 1.0]], ['2, k, 8', [-0.0197819, 0.3836792, 1.0]], ['2, k, 9', [0.0433166, 0.1682958, 1.0]], ['2, k, 10', [0.02519941, -0.009342921, 1.0]], ['2, k, 11', [-0.005075431, -0.06839847, 1.0]], ['2, k, 12', [-0.2744132, -0.09082567, 1.0]], ['2, k, 13', [-0.2881725, -0.4165821, 1.0]], ['2, k, 14', [-0.2863391, -0.6923993, 1.0]], ['2, k, 15', [-0.3051534, -0.7488179, 1.0]], ['2, k, 16', [-0.1210509, -0.09985089, 1.0]], ['2, k, 17', [-0.1488292, -0.425145, 1.0]], ['2, k, 18', [-0.1133546, -0.685791, 1.0]], ['2, k, 19', [-0.07028528, -0.7385886, 1.0]], ['2, k, 20', [-0.1891871, 0.4542418, 1.0]], ['2, k, 21', [-0.4733183, -0.1733923, 1.0]], ['2, k, 22', [-0.5080017, -0.1078677, 1.0]], ['2, k, 23', [-0.02038984, -0.1468821, 1.0]], ['2, k, 24', [-0.05247304, -0.03129816, 1.0]]]
[['2, k, 0', [-0.2012874, -0.09700497, 1.0]], ['2, k, 1', [-0.1948399, 0.2221551, 1.0]], ['2, k, 2', [-0.1871407, 0.5293566, 1.0]], ['2, k, 3', [-0.181809, 0.6567157, 1.0]], ['2, k, 4', [-0.3474846, 0.3973782, 1.0]], ['2, k, 5', [-0.4279244, 0.1769735, 1.0]], ['2, k, 6', [-0.4674821, -0.0431686, 1.0]], ['2, k, 7', [-0.4713703, -0.09051982, 1.0]], ['2, k, 8', [-0.01977643, 0.3836275, 1.0]], ['2, k, 9', [0.04324312, 0.1685498, 1.0]], ['2, k, 10', [0.02507536, -0.009333773, 1.0]], ['2, k, 11', [-0.005061239, -0.06776375, 1.0]], ['2, k, 12', [-0.2744375, -0.09091853, 1.0]], ['2, k, 13', [-0.2882255, -0.4166095, 1.0]], ['2, k, 14', [-0.286437, -0.692297, 1.0]], ['2, k, 15', [-0.3052725, -0.7489187, 1.0]], ['2, k, 16', [-0.1210766, -0.09988973, 1.0]], ['2, k, 17', [-0.1490506, -0.4252195, 1.0]], ['2, k, 18', [-0.1134969, -0.6857165, 1.0]], ['2, k, 19', [-0.06831399, -0.739556, 1.0]], ['2, k, 20', [-0.189268, 0.454193, 1.0]], ['2, k, 21', [-0.4678575, -0.1571203, 1.0]], ['2, k, 22', [-0.4990605, -0.0756363, 1.0]], ['2, k, 23', [-0.01969079, -0.1452582, 1.0]], ['2, k, 24', [-0.05216493, -0.03472349, 1.0]]]
[['2, k, 0', [-0.2013282, -0.09701338, 1.0]], ['2, k, 1', [-0.1948394, 0.2221513, 1.0]], ['2, k, 2', [-0.1871067, 0.5293459, 1.0]], ['2, k, 3', [-0.1821052, 0.6568723, 1.0]], ['2, k, 4', [-0.3463091, 0.397188, 1.0]], ['2, k, 5', [-0.4281042, 0.1773714, 1.0]], ['2, k, 6', [-0.4640753, -0.02546557, 1.0]], ['2, k, 7', [-0.467082, -0.07262095, 1.0]], ['2, k, 8', [-0.01980318, 0.3836307, 1.0]], ['2, k, 9', [0.04309295, 0.1684449, 1.0]], ['2, k, 10', [0.02506893, -0.00881171, 1.0]], ['2, k, 11', [-0.004648776, -0.06748811, 1.0]], ['2, k, 12', [-0.2744895, -0.0909328, 1.0]], ['2, k, 13', [-0.2882773, -0.4165895, 1.0]], ['2, k, 14', [-0.2866319, -0.6921317, 1.0]], ['2, k, 15', [-0.3052694, -0.7489704, 1.0]], ['2, k, 16', [-0.1211249, -0.09988891, 1.0]], ['2, k, 17', [-0.1491652, -0.4251524, 1.0]], ['2, k, 18', [-0.1136907, -0.6856312, 1.0]], ['2, k, 19', [-0.06873912, -0.7397263, 1.0]], ['2, k, 20', [-0.1892463, 0.4541844, 1.0]], ['2, k, 21', [-0.4667513, -0.1394088, 1.0]], ['2, k, 22', [-0.5019977, -0.05783954, 1.0]], ['2, k, 23', [-0.01961225, -0.1433264, 1.0]], ['2, k, 24', [-0.05208626, -0.03570881, 1.0]]]
[['2, k, 0', [-0.2014097, -0.09699865, 1.0]], ['2, k, 1', [-0.1948533, 0.2221595, 1.0]], ['2, k, 2', [-0.187102, 0.5293576, 1.0]], ['2, k, 3', [-0.1823314, 0.6569511, 1.0]], ['2, k, 4', [-0.3453935, 0.3970136, 1.0]], ['2, k, 5', [-0.4284348, 0.1779949, 1.0]], ['2, k, 6', [-0.4606948, -0.0004197421, 1.0]], ['2, k, 7', [-0.4668504, -0.04868545, 1.0]], ['2, k, 8', [-0.019833, 0.3836208, 1.0]], ['2, k, 9', [0.04309127, 0.1684032, 1.0]], ['2, k, 10', [0.02514251, -0.008592202, 1.0]], ['2, k, 11', [-0.005383578, -0.06697948, 1.0]], ['2, k, 12', [-0.2745714, -0.09090231, 1.0]], ['2, k, 13', [-0.2845502, -0.4155386, 1.0]], ['2, k, 14', [-0.2868015, -0.6918305, 1.0]], ['2, k, 15', [-0.3055776, -0.748975, 1.0]], ['2, k, 16', [-0.1212069, -0.09988081, 1.0]], ['2, k, 17', [-0.1497941, -0.4251018, 1.0]], ['2, k, 18', [-0.1134776, -0.6857203, 1.0]], ['2, k, 19', [-0.06892363, -0.739728, 1.0]], ['2, k, 20', [-0.1892461, 0.4541934, 1.0]], ['2, k, 21', [-0.4621844, -0.1058866, 1.0]], ['2, k, 22', [-0.5064587, -0.0127824, 1.0]], ['2, k, 23', [-0.01900664, -0.1454604, 1.0]], ['2, k, 24', [-0.05202129, -0.03852588, 1.0]]]
[['2, k, 0', [-0.2015374, -0.09694243, 1.0]], ['2, k, 1', [-0.1948944, 0.2221787, 1.0]], ['2, k, 2', [-0.1871055, 0.5293601, 1.0]], ['2, k, 3', [-0.1824398, 0.6569037, 1.0]], ['2, k, 4', [-0.346238, 0.3975515, 1.0]], ['2, k, 5', [-0.4303531, 0.1790696, 1.0]], ['2, k, 6', [-0.4545656, 0.02428142, 1.0]], ['2, k, 7', [-0.4592244, -0.01876076, 1.0]], ['2, k, 8', [-0.01983757, 0.3836347, 1.0]], ['2, k, 9', [0.04311795, 0.1684806, 1.0]], ['2, k, 10', [0.02497457, -0.00848091, 1.0]], ['2, k, 11', [-0.005105474, -0.06744351, 1.0]], ['2, k, 12', [-0.2746711, -0.09082811, 1.0]], ['2, k, 13', [-0.2830861, -0.4152365, 1.0]], ['2, k, 14', [-0.2868765, -0.6917033, 1.0]], ['2, k, 15', [-0.3057622, -0.7488716, 1.0]], ['2, k, 16', [-0.1213666, -0.09983421, 1.0]], ['2, k, 17', [-0.1499719, -0.4250914, 1.0]], ['2, k, 18', [-0.1136903, -0.685549, 1.0]], ['2, k, 19', [-0.06912144, -0.7396767, 1.0]], ['2, k, 20', [-0.189256, 0.4541992, 1.0]], ['2, k, 21', [-0.4529853, -0.06956489, 1.0]], ['2, k, 22', [-0.4981326, 0.01504882, 1.0]], ['2, k, 23', [-0.01866929, -0.1463537, 1.0]], ['2, k, 24', [-0.05200866, -0.03871251, 1.0]]]
[['2, k, 0', [-0.2016645, -0.09679477, 1.0]], ['2, k, 1', [-0.1949868, 0.2222332, 1.0]], ['2, k, 2', [-0.1872007, 0.5293637, 1.0]], ['2, k, 3', [-0.1826176, 0.6569397, 1.0]], ['2, k, 4', [-0.347702, 0.3983091, 1.0]], ['2, k, 5', [-0.4360964, 0.1821979, 1.0]], ['2, k, 6', [-0.4479528, 0.05047318, 1.0]], ['2, k, 7', [-0.4540595, 0.02040109, 1.0]], ['2, k, 8', [-0.01985735, 0.3836429, 1.0]], ['2, k, 9', [0.04294989, 0.1690628, 1.0]], ['2, k, 10', [0.02495456, -0.008287102, 1.0]], ['2, k, 11', [-0.005149066, -0.06597355, 1.0]], ['2, k, 12', [-0.274805, -0.0906127, 1.0]], ['2, k, 13', [-0.2826304, -0.4156845, 1.0]], ['2, k, 14', [-0.286938, -0.6916544, 1.0]], ['2, k, 15', [-0.3058826, -0.7489083, 1.0]], ['2, k, 16', [-0.1214837, -0.09973085, 1.0]], ['2, k, 17', [-0.1502516, -0.424823, 1.0]], ['2, k, 18', [-0.1129905, -0.6854803, 1.0]], ['2, k, 19', [-0.06920482, -0.7391901, 1.0]], ['2, k, 20', [-0.1893444, 0.4542145, 1.0]], ['2, k, 21', [-0.4453051, -0.02260716, 1.0]], ['2, k, 22', [-0.4916355, 0.05443076, 1.0]], ['2, k, 23', [-0.02107917, -0.1417478, 1.0]], ['2, k, 24', [-0.05203373, -0.0381451, 1.0]]]
[['2, k, 0', [-0.2019092, -0.09664613, 1.0]], ['2, k, 1', [-0.1951147, 0.2222591, 1.0]], ['2, k, 2', [-0.187281, 0.5293254, 1.0]], ['2, k, 3', [-0.1830701, 0.6571733, 1.0]], ['2, k, 4', [-0.3486318, 0.3988097, 1.0]], ['2, k, 5', [-0.4354557, 0.1878868, 1.0]], ['2, k, 6', [-0.4430285, 0.07702968, 1.0]], ['2, k, 7', [-0.4492844, 0.05953915, 1.0]], ['2, k, 8', [-0.01990987, 0.3836574, 1.0]], ['2, k, 9', [0.04301132, 0.1690127, 1.0]], ['2, k, 10', [0.02484438, -0.00849699, 1.0]], ['2, k, 11', [-0.004559778, -0.06583513, 1.0]], ['2, k, 12', [-0.2750301, -0.09043175, 1.0]], ['2, k, 13', [-0.2815793, -0.4156228, 1.0]], ['2, k, 14', [-0.2883185, -0.6927187, 1.0]], ['2, k, 15', [-0.3060485, -0.7490625, 1.0]], ['2, k, 16', [-0.1217412, -0.09960473, 1.0]], ['2, k, 17', [-0.1503237, -0.4246734, 1.0]], ['2, k, 18', [-0.1130453, -0.6853034, 1.0]], ['2, k, 19', [-0.06933064, -0.7391279, 1.0]], ['2, k, 20', [-0.1894305, 0.4541913, 1.0]], ['2, k, 21', [-0.4423002, 0.02563217, 1.0]], ['2, k, 22', [-0.4811942, 0.09532439, 1.0]], ['2, k, 23', [-0.01766431, -0.1416631, 1.0]], ['2, k, 24', [-0.05242792, -0.03532417, 1.0]]]
[['2, k, 0', [-0.201877, -0.096627, 1.0]], ['2, k, 1', [-0.1951668, 0.2222753, 1.0]], ['2, k, 2', [-0.1875636, 0.5293341, 1.0]], ['2, k, 3', [-0.183388, 0.6572816, 1.0]], ['2, k, 4', [-0.3476257, 0.3986599, 1.0]], ['2, k, 5', [-0.4351082, 0.1985614, 1.0]], ['2, k, 6', [-0.4293917, 0.09158982, 1.0]], ['2, k, 7', [-0.4468222, 0.09667988, 1.0]], ['2, k, 8', [-0.01955631, 0.3841022, 1.0]], ['2, k, 9', [0.04295113, 0.169446, 1.0]], ['2, k, 10', [0.02483236, -0.008471079, 1.0]], ['2, k, 11', [-0.004698704, -0.06552894, 1.0]], ['2, k, 12', [-0.2749727, -0.09040279, 1.0]], ['2, k, 13', [-0.2808146, -0.4148902, 1.0]], ['2, k, 14', [-0.2882107, -0.692674, 1.0]], ['2, k, 15', [-0.3061599, -0.7488862, 1.0]], ['2, k, 16', [-0.1217188, -0.09958658, 1.0]], ['2, k, 17', [-0.1505169, -0.4243978, 1.0]], ['2, k, 18', [-0.1130674, -0.6853067, 1.0]], ['2, k, 19', [-0.06944621, -0.739467, 1.0]], ['2, k, 20', [-0.1896357, 0.4542041, 1.0]], ['2, k, 21', [-0.4339725, 0.0680539, 1.0]], ['2, k, 22', [-0.4777413, 0.1304348, 1.0]], ['2, k, 23', [-0.02015663, -0.1446324, 1.0]], ['2, k, 24', [-0.05177699, -0.03618784, 1.0]]]
[['2, k, 0', [-0.2021606, -0.09659863, 1.0]], ['2, k, 1', [-0.195306, 0.2222632, 1.0]], ['2, k, 2', [-0.1876129, 0.5293034, 1.0]], ['2, k, 3', [-0.1836544, 0.6573931, 1.0]], ['2, k, 4', [-0.3489815, 0.3993303, 1.0]], ['2, k, 5', [-0.435326, 0.2055191, 1.0]], ['2, k, 6', [-0.4402874, 0.1333749, 1.0]], ['2, k, 7', [-0.4438305, 0.1290761, 1.0]], ['2, k, 8', [-0.01957538, 0.3840609, 1.0]], ['2, k, 9', [0.04313567, 0.1694081, 1.0]], ['2, k, 10', [0.02493194, -0.008431835, 1.0]], ['2, k, 11', [-0.00429, -0.06635712, 1.0]], ['2, k, 12', [-0.2752988, -0.0903708, 1.0]], ['2, k, 13', [-0.280216, -0.4144919, 1.0]], ['2, k, 14', [-0.2882537, -0.6926818, 1.0]], ['2, k, 15', [-0.3061229, -0.7489465, 1.0]], ['2, k, 16', [-0.1219562, -0.0995528, 1.0]], ['2, k, 17', [-0.150422, -0.424354, 1.0]], ['2, k, 18', [-0.111864, -0.6851778, 1.0]], ['2, k, 19', [-0.06958934, -0.7393817, 1.0]], ['2, k, 20', [-0.1897014, 0.454177, 1.0]], ['2, k, 21', [-0.4345786, 0.11902, 1.0]], ['2, k, 22', [-0.4700384, 0.1618926, 1.0]], ['2, k, 23', [-0.0178286, -0.1428415, 1.0]], ['2, k, 24', [-0.05198432, -0.04818156, 1.0]]]
