[['2, k, 0', [-0.1987612, 0.1221996, 1.0]], ['2, k, 1', [-0.2034202, 0.4525362, 1.0]], ['2, k, 2', [-0.2093791, 0.7689987, 1.0]], ['2, k, 3', [-0.1823557, 0.8987974, 1.0]], ['2, k, 4', [-0.3564302, 0.6292615, 1.0]], ['2, k, 5', [-0.4102886, 0.3349777, 1.0]], ['2, k, 6', [-0.4306825, 0.1072489, 1.0]], ['2, k, 7', [-0.4181667, 0.06362697, 1.0]], ['2, k, 8', [-0.02429058, 0.6576659, 1.0]], ['2, k, 9', [0.02569571, 0.3915764, 1.0]], ['2, k, 10', [0.03993905, 0.138705, 1.0]], ['2, k, 11', [0.02428955, 0.08460353, 1.0]], ['2, k, 12', [-0.2723662, 0.1189429, 1.0]], ['2, k, 13', [-0.3082156, -0.3325899, 1.0]], ['2, k, 14', [-0.3104117, -0.6824411, 1.0]], ['2, k, 15', [-0.2854584, -0.7445353, 1.0]], ['2, k, 16', [-0.1184607, 0.1209583, 1.0]], ['2, k, 17', [-0.1278749, -0.3341089, 1.0]], ['2, k, 18', [-0.13524, -0.6688139, 1.0]], ['2, k, 19', [-0.08880416, -0.7316227, 1.0]], ['2, k, 20', [-0.2079873, 0.6914504, 1.0]], ['2, k, 21', [-0.4169114, -0.02884421, 1.0]], ['2, k, 22', [-0.370616, 0.02201035, 1.0]], ['2, k, 23', [0.01997013, -0.01096154, 1.0]], ['2, k, 24', [0.06458993, 0.1008227, 1.0]]]
[['2, k, 0', [-0.1987362, 0.1221578, 1.0]], ['2, k, 1', [-0.2035324, 0.4524774, 1.0]], ['2, k, 2', [-0.2094506, 0.7690448, 1.0]], ['2, k, 3', [-0.182811, 0.8989137, 1.0]], ['2, k, 4', [-0.3570671, 0.6288638, 1.0]], ['2, k, 5', [-0.4100986, 0.3350337, 1.0]], ['2, k, 6', [-0.4324587, 0.1074683, 1.0]], ['2, k, 7', [-0.4249077, 0.05932468, 1.0]], ['2, k, 8', [-0.02454593, 0.6577168, 1.0]], ['2, k, 9', [0.02581176, 0.3906425, 1.0]], ['2, k, 10', [0.03980771, 0.1582608, 1.0]], ['2, k, 11', [0.02741586, 0.09752334, 1.0]], ['2, k, 12', [-0.2723496, 0.1188126, 1.0]], ['2, k, 13', [-0.3082767, -0.332512, 1.0]], ['2, k, 14', [-0.3090905, -0.6813515, 1.0]], ['2, k, 15', [-0.2861122, -0.7440287, 1.0]], ['2, k, 16', [-0.1184317, 0.1209703, 1.0]], ['2, k, 17', [-0.1278819, -0.3341211, 1.0]], ['2, k, 18', [-0.1351054, -0.6687382, 1.0]], ['2, k, 19', [-0.08889836, -0.7313491, 1.0]], ['2, k, 20', [-0.20808, 0.6914901, 1.0]], ['2, k, 21', [-0.4276327, -0.04068351, 1.0]], ['2, k, 22', [-0.3693275, 0.05943511, 1.0]], ['2, k, 23', [0.01638369, 0.007803594, 1.0]], ['2, k, 24', [0.05372222, 0.05828565, 1.0]]]
[['2, k, 0', [-0.1988798, 0.1220454, 1.0]], ['2, k, 1', [-0.2037723, 0.4523039, 1.0]], ['2, k, 2', [-0.209466, 0.7689949, 1.0]], ['2, k, 3', [-0.1830691, 0.8989588, 1.0]], ['2, k, 4', [-0.3576348, 0.6285114, 1.0]], ['2, k, 5', [-0.4099297, 0.3329848, 1.0]], ['2, k, 6', [-0.4392401, 0.1062157, 1.0]], ['2, k, 7', [-0.4395511, 0.03513164, 1.0]], ['2, k, 8', [-0.02464443, 0.6578447, 1.0]], ['2, k, 9', [0.02583525, 0.3890639, 1.0]], ['2, k, 10', [0.03868337, 0.1381614, 1.0]], ['2, k, 11', [0.02536382, 0.08359778, 1.0]], ['2, k, 12', [-0.2725079, 0.1186326, 1.0]], ['2, k, 13', [-0.3082921, -0.3325014, 1.0]], ['2, k, 14', [-0.3081325, -0.6801693, 1.0]], ['2, k, 15', [-0.2863062, -0.7436633, 1.0]], ['2, k, 16', [-0.1187321, 0.120873, 1.0]], ['2, k, 17', [-0.1278833, -0.3341226, 1.0]], ['2, k, 18', [-0.1332603, -0.6723205, 1.0]], ['2, k, 19', [-0.08814526, -0.7323809, 1.0]], ['2, k, 20', [-0.2081539, 0.6914295, 1.0]], ['2, k, 21', [-0.4347041, -0.06609862, 1.0]], ['2, k, 22', [-0.3971373, 0.002099045, 1.0]], ['2, k, 23', [0.01536089, -0.012071, 1.0]], ['2, k, 24', [0.06565478, 0.09844973, 1.0]]]
[['2, k, 0', [-0.199661, 0.1215125, 1.0]], ['2, k, 1', [-0.2041353, 0.4519487, 1.0]], ['2, k, 2', [-0.2094281, 0.7688813, 1.0]], ['2, k, 3', [-0.1832735, 0.898982, 1.0]], ['2, k, 4', [-0.357791, 0.6285428, 1.0]], ['2, k, 5', [-0.4132126, 0.3269556, 1.0]], ['2, k, 6', [-0.4528292, 0.09500505, 1.0]], ['2, k, 7', [-0.4620363, 0.02456979, 1.0]], ['2, k, 8', [-0.02456954, 0.657811, 1.0]], ['2, k, 9', [0.02628211, 0.3871043, 1.0]], ['2, k, 10', [0.03907885, 0.1341185, 1.0]], ['2, k, 11', [0.02521391, 0.07809614, 1.0]], ['2, k, 12', [-0.2732198, 0.1182772, 1.0]], ['2, k, 13', [-0.3084979, -0.332577, 1.0]], ['2, k, 14', [-0.3069091, -0.679668, 1.0]], ['2, k, 15', [-0.287, -0.7429281, 1.0]], ['2, k, 16', [-0.1196928, 0.1201753, 1.0]], ['2, k, 17', [-0.127993, -0.334512, 1.0]], ['2, k, 18', [-0.1313572, -0.6727672, 1.0]], ['2, k, 19', [-0.08884582, -0.7324778, 1.0]], ['2, k, 20', [-0.2081812, 0.6912993, 1.0]], ['2, k, 21', [-0.464156, -0.06987203, 1.0]], ['2, k, 22', [-0.4197614, -0.006815887, 1.0]], ['2, k, 23', [0.01634535, -0.01207782, 1.0]], ['2, k, 24', [0.06224648, 0.08544191, 1.0]]]
[['2, k, 0', [-0.2002767, 0.1211804, 1.0]], ['2, k, 1', [-0.2044307, 0.451658, 1.0]], ['2, k, 2', [-0.2093647, 0.7687295, 1.0]], ['2, k, 3', [-0.1832873, 0.8989952, 1.0]], ['2, k, 4', [-0.3578475, 0.628477, 1.0]], ['2, k, 5', [-0.4185386, 0.3281582, 1.0]], ['2, k, 6', [-0.4642395, 0.08750148, 1.0]], ['2, k, 7', [-0.4801359, 0.02820318, 1.0]], ['2, k, 8', [-0.02462903, 0.6577384, 1.0]], ['2, k, 9', [0.02638827, 0.386876, 1.0]], ['2, k, 10', [0.03900753, 0.1325023, 1.0]], ['2, k, 11', [0.02561467, 0.07977624, 1.0]], ['2, k, 12', [-0.2738228, 0.1181445, 1.0]], ['2, k, 13', [-0.3085947, -0.3324412, 1.0]], ['2, k, 14', [-0.3051017, -0.6772102, 1.0]], ['2, k, 15', [-0.2879457, -0.7421014, 1.0]], ['2, k, 16', [-0.1203767, 0.1196658, 1.0]], ['2, k, 17', [-0.1280584, -0.3347926, 1.0]], ['2, k, 18', [-0.1313046, -0.6726345, 1.0]], ['2, k, 19', [-0.08925145, -0.7323621, 1.0]], ['2, k, 20', [-0.2081908, 0.691148, 1.0]], ['2, k, 21', [-0.4910122, -0.06335858, 1.0]], ['2, k, 22', [-0.4329623, -0.001300692, 1.0]], ['2, k, 23', [0.01159486, -0.01707356, 1.0]], ['2, k, 24', [0.05936762, 0.06550246, 1.0]]]
[['2, k, 0', [-0.2006019, 0.1211597, 1.0]], ['2, k, 1', [-0.2044981, 0.4515386, 1.0]], ['2, k, 2', [-0.2090161, 0.7684062, 1.0]], ['2, k, 3', [-0.1833608, 0.8990865, 1.0]], ['2, k, 4', [-0.3578316, 0.6285084, 1.0]], ['2, k, 5', [-0.4274206, 0.3357799, 1.0]], ['2, k, 6', [-0.4911864, 0.09661975, 1.0]], ['2, k, 7', [-0.506156, 0.03095139, 1.0]], ['2, k, 8', [-0.02431453, 0.65663, 1.0]], ['2, k, 9', [0.02655879, 0.3870122, 1.0]], ['2, k, 10', [0.03906836, 0.1312632, 1.0]], ['2, k, 11', [0.02593955, 0.07703725, 1.0]], ['2, k, 12', [-0.2743566, 0.1182205, 1.0]], ['2, k, 13', [-0.3085622, -0.3322482, 1.0]], ['2, k, 14', [-0.3042448, -0.6765596, 1.0]], ['2, k, 15', [-0.2883488, -0.7415709, 1.0]], ['2, k, 16', [-0.1205585, 0.1196235, 1.0]], ['2, k, 17', [-0.1280093, -0.3349449, 1.0]], ['2, k, 18', [-0.1317333, -0.6721177, 1.0]], ['2, k, 19', [-0.08950928, -0.7324377, 1.0]], ['2, k, 20', [-0.2080285, 0.6909323, 1.0]], ['2, k, 21', [-0.5231261, -0.05913261, 1.0]], ['2, k, 22', [-0.4562299, 0.001302547, 1.0]], ['2, k, 23', [0.01528609, -0.01837005, 1.0]], ['2, k, 24', [0.06492271, 0.09438274, 1.0]]]
[['2, k, 0', [-0.2005977, 0.1211786, 1.0]], ['2, k, 1', [-0.2044225, 0.4515152, 1.0]], ['2, k, 2', [-0.2084107, 0.7682938, 1.0]], ['2, k, 3', [-0.1833455, 0.8990816, 1.0]], ['2, k, 4', [-0.3574445, 0.6288705, 1.0]], ['2, k, 5', [-0.4316002, 0.3508211, 1.0]], ['2, k, 6', [-0.5034692, 0.1201142, 1.0]], ['2, k, 7', [-0.5324525, 0.04581384, 1.0]], ['2, k, 8', [-0.02427334, 0.6564513, 1.0]], ['2, k, 9', [0.02664793, 0.3885224, 1.0]], ['2, k, 10', [0.04353384, 0.1615782, 1.0]], ['2, k, 11', [0.03053805, 0.09818982, 1.0]], ['2, k, 12', [-0.2743949, 0.1182862, 1.0]], ['2, k, 13', [-0.3086219, -0.3321559, 1.0]], ['2, k, 14', [-0.3042679, -0.6765577, 1.0]], ['2, k, 15', [-0.2885546, -0.742022, 1.0]], ['2, k, 16', [-0.1205113, 0.1196666, 1.0]], ['2, k, 17', [-0.1278372, -0.3350269, 1.0]], ['2, k, 18', [-0.131609, -0.6719465, 1.0]], ['2, k, 19', [-0.08947152, -0.7323418, 1.0]], ['2, k, 20', [-0.2076196, 0.6908531, 1.0]], ['2, k, 21', [-0.5507821, -0.0381881, 1.0]], ['2, k, 22', [-0.478758, 0.0248438, 1.0]], ['2, k, 23', [0.02587596, 0.01301871, 1.0]], ['2, k, 24', [0.06764252, 0.1000508, 1.0]]]
[['2, k, 0', [-0.2006157, 0.1211858, 1.0]], ['2, k, 1', [-0.2042726, 0.451514, 1.0]], ['2, k, 2', [-0.2070959, 0.7683951, 1.0]], ['2, k, 3', [-0.1830636, 0.8990695, 1.0]], ['2, k, 4', [-0.3566819, 0.6300649, 1.0]], ['2, k, 5', [-0.4380071, 0.3787453, 1.0]], ['2, k, 6', [-0.5277075, 0.1450207, 1.0]], ['2, k, 7', [-0.5522695, 0.07921612, 1.0]], ['2, k, 8', [-0.02417637, 0.6563494, 1.0]], ['2, k, 9', [0.02718917, 0.3886889, 1.0]], ['2, k, 10', [0.04254973, 0.1394378, 1.0]], ['2, k, 11', [0.02763721, 0.08011737, 1.0]], ['2, k, 12', [-0.274565, 0.1184568, 1.0]], ['2, k, 13', [-0.3086205, -0.3321641, 1.0]], ['2, k, 14', [-0.3044581, -0.6782987, 1.0]], ['2, k, 15', [-0.2886043, -0.7426426, 1.0]], ['2, k, 16', [-0.1204796, 0.1196054, 1.0]], ['2, k, 17', [-0.1279056, -0.3354944, 1.0]], ['2, k, 18', [-0.131565, -0.6719767, 1.0]], ['2, k, 19', [-0.08918067, -0.7327651, 1.0]], ['2, k, 20', [-0.2067129, 0.690919, 1.0]], ['2, k, 21', [-0.5786964, -0.008060645, 1.0]], ['2, k, 22', [-0.4991193, 0.06277508, 1.0]], ['2, k, 23', [0.01823336, -0.01105472, 1.0]], ['2, k, 24', [0.06501058, 0.09059932, 1.0]]]
[['2, k, 0', [-0.2009388, 0.121355, 1.0]], ['2, k, 1', [-0.2041492, 0.4514448, 1.0]], ['2, k, 2', [-0.2053448, 0.7676621, 1.0]], ['2, k, 3', [-0.1825356, 0.8990548, 1.0]], ['2, k, 4', [-0.3517286, 0.6367187, 1.0]], ['2, k, 5', [-0.444361, 0.3946764, 1.0]], ['2, k, 6', [-0.5476152, 0.1660638, 1.0]], ['2, k, 7', [-0.5713313, 0.1154772, 1.0]], ['2, k, 8', [-0.02294491, 0.6553836, 1.0]], ['2, k, 9', [0.02761166, 0.3884961, 1.0]], ['2, k, 10', [0.04300155, 0.1370349, 1.0]], ['2, k, 11', [0.02852423, 0.08063834, 1.0]], ['2, k, 12', [-0.2753115, 0.1188841, 1.0]], ['2, k, 13', [-0.3085454, -0.3320256, 1.0]], ['2, k, 14', [-0.3043415, -0.6783078, 1.0]], ['2, k, 15', [-0.2888631, -0.7428714, 1.0]], ['2, k, 16', [-0.1206661, 0.1197354, 1.0]], ['2, k, 17', [-0.1278788, -0.3353781, 1.0]], ['2, k, 18', [-0.1315186, -0.6712193, 1.0]], ['2, k, 19', [-0.08925926, -0.7325733, 1.0]], ['2, k, 20', [-0.205513, 0.6904166, 1.0]], ['2, k, 21', [-0.6042621, 0.04138003, 1.0]], ['2, k, 22', [-0.5566114, 0.05897525, 1.0]], ['2, k, 23', [0.01536095, -0.01155232, 1.0]], ['2, k, 24', [0.06317582, 0.0718785, 1.0]]]
[['2, k, 0', [-0.2011612, 0.1215307, 1.0]], ['2, k, 1', [-0.203788, 0.4513818, 1.0]], ['2, k, 2', [-0.2030005, 0.7672056, 1.0]], ['2, k, 3', [-0.1814512, 0.8993033, 1.0]], ['2, k, 4', [-0.3511758, 0.6405584, 1.0]], ['2, k, 5', [-0.4506572, 0.4732646, 1.0]], ['2, k, 6', [-0.5681134, 0.2835622, 1.0]], ['2, k, 7', [-0.6014862, 0.2274115, 1.0]], ['2, k, 8', [-0.02155069, 0.6535125, 1.0]], ['2, k, 9', [0.02871653, 0.3870904, 1.0]], ['2, k, 10', [0.04382623, 0.1335062, 1.0]], ['2, k, 11', [0.02942931, 0.07673544, 1.0]], ['2, k, 12', [-0.2757893, 0.1191968, 1.0]], ['2, k, 13', [-0.3085629, -0.3319972, 1.0]], ['2, k, 14', [-0.3043394, -0.6783736, 1.0]], ['2, k, 15', [-0.2886185, -0.743046, 1.0]], ['2, k, 16', [-0.1205497, 0.1199409, 1.0]], ['2, k, 17', [-0.1276404, -0.3352993, 1.0]], ['2, k, 18', [-0.1307534, -0.6715283, 1.0]], ['2, k, 19', [-0.08951114, -0.7326252, 1.0]], ['2, k, 20', [-0.203729, 0.6900766, 1.0]], ['2, k, 21', [-0.6556022, 0.159599, 1.0]], ['2, k, 22', [-0.5665085, 0.1974481, 1.0]], ['2, k, 23', [0.02031295, -0.01143051, 1.0]], ['2, k, 24', [0.06628599, 0.07777017, 1.0]]]
[['2, k, 0', [-0.2012415, 0.1216691, 1.0]], ['2, k, 1', [-0.2034431, 0.4513116, 1.0]], ['2, k, 2', [-0.2017529, 0.7668188, 1.0]], ['2, k, 3', [-0.1808293, 0.8993124, 1.0]], ['2, k, 4', [-0.3487074, 0.6436581, 1.0]], ['2, k, 5', [-0.455098, 0.5031717, 1.0]], ['2, k, 6', [-0.5726777, 0.3476619, 1.0]], ['2, k, 7', [-0.6130768, 0.2946004, 1.0]], ['2, k, 8', [-0.02021803, 0.6526269, 1.0]], ['2, k, 9', [0.02967402, 0.3869554, 1.0]], ['2, k, 10', [0.04461516, 0.1320235, 1.0]], ['2, k, 11', [0.02912428, 0.07663422, 1.0]], ['2, k, 12', [-0.2761297, 0.1195719, 1.0]], ['2, k, 13', [-0.3085301, -0.3320415, 1.0]], ['2, k, 14', [-0.3051941, -0.6798316, 1.0]], ['2, k, 15', [-0.2879208, -0.7439405, 1.0]], ['2, k, 16', [-0.1203177, 0.1200084, 1.0]], ['2, k, 17', [-0.1273383, -0.3346945, 1.0]], ['2, k, 18', [-0.1309845, -0.6712795, 1.0]], ['2, k, 19', [-0.08908476, -0.7326247, 1.0]], ['2, k, 20', [-0.2026531, 0.6897691, 1.0]], ['2, k, 21', [-0.6622573, 0.2297599, 1.0]], ['2, k, 22', [-0.5609539, 0.2639826, 1.0]], ['2, k, 23', [0.01726875, -0.01739793, 1.0]], ['2, k, 24', [0.06623561, 0.07299089, 1.0]]]
