[['2, k, 0', [-0.28295, -0.46555, 1.0]], ['2, k, 1', [-0.277821, -0.15228, 1.0]], ['2, k, 2', [-0.271019, 0.153561, 1.0]], ['2, k, 3', [-0.288193, 0.309641, 1.0]], ['2, k, 4', [-0.459619, 0.0363334, 1.0]], ['2, k, 5', [-0.516027, -0.235583, 1.0]], ['2, k, 6', [-0.500175, -0.466999, 1.0]], ['2, k, 7', [-0.493111, -0.469259, 1.0]], ['2, k, 8', [-0.0891852, 0.0285036, 1.0]], ['2, k, 9', [-0.0285092, -0.226214, 1.0]], ['2, k, 10', [-0.0163173, -0.458076, 1.0]], ['2, k, 11', [-0.0272179, -0.471953, 1.0]], ['2, k, 12', [-0.363142, -0.456504, 1.0]], ['2, k, 13', [-0.416486, -0.77774, 1.0]], ['2, k, 14', [-0.487696, -1.0852, 1.0]], ['2, k, 15', [-0.53082, -1.14209, 1.0]], ['2, k, 16', [-0.194027, -0.460292, 1.0]], ['2, k, 17', [-0.110075, -0.780045, 1.0]], ['2, k, 18', [-0.0301984, -1.10242, 1.0]], ['2, k, 19', [0.00381435, -1.13491, 1.0]], ['2, k, 20', [-0.273011, 0.0781517, 1.0]], ['2, k, 21', [-0.491622, -0.538, 1.0]], ['2, k, 22', [-0.445582, -0.45421, 1.0]], ['2, k, 23', [-0.0337306, -0.540199, 1.0]], ['2, k, 24', [-0.0558803, -0.473589, 1.0]]]
[['2, k, 0', [-0.282914, -0.465531, 1.0]], ['2, k, 1', [-0.27782, -0.152248, 1.0]], ['2, k, 2', [-0.27107, 0.153624, 1.0]], ['2, k, 3', [-0.288482, 0.309606, 1.0]], ['2, k, 4', [-0.459634, 0.036469, 1.0]], ['2, k, 5', [-0.515755, -0.235856, 1.0]], ['2, k, 6', [-0.500151, -0.467343, 1.0]], ['2, k, 7', [-0.49386, -0.470445, 1.0]], ['2, k, 8', [-0.0892007, 0.0285003, 1.0]], ['2, k, 9', [-0.0285, -0.226224, 1.0]], ['2, k, 10', [-0.0162682, -0.458135, 1.0]], ['2, k, 11', [-0.0278015, -0.472108, 1.0]], ['2, k, 12', [-0.363097, -0.45646, 1.0]], ['2, k, 13', [-0.416566, -0.774393, 1.0]], ['2, k, 14', [-0.483315, -1.07477, 1.0]], ['2, k, 15', [-0.524993, -1.13269, 1.0]], ['2, k, 16', [-0.193959, -0.460289, 1.0]], ['2, k, 17', [-0.110099, -0.779616, 1.0]], ['2, k, 18', [-0.0308417, -1.1004, 1.0]], ['2, k, 19', [0.0025331, -1.13204, 1.0]], ['2, k, 20', [-0.273045, 0.0782056, 1.0]], ['2, k, 21', [-0.494489, -0.537335, 1.0]], ['2, k, 22', [-0.445552, -0.453735, 1.0]], ['2, k, 23', [-0.0315623, -0.538569, 1.0]], ['2, k, 24', [-0.0549868, -0.474999, 1.0]]]
[['2, k, 0', [-0.282804, -0.465539, 1.0]], ['2, k, 1', [-0.27771, -0.152284, 1.0]], ['2, k, 2', [-0.270963, 0.153547, 1.0]], ['2, k, 3', [-0.288479, 0.309605, 1.0]], ['2, k, 4', [-0.459703, 0.0364787, 1.0]], ['2, k, 5', [-0.515701, -0.235797, 1.0]], ['2, k, 6', [-0.500216, -0.467304, 1.0]], ['2, k, 7', [-0.493511, -0.470191, 1.0]], ['2, k, 8', [-0.0892082, 0.028479, 1.0]], ['2, k, 9', [-0.0284916, -0.226125, 1.0]], ['2, k, 10', [-0.0162702, -0.458014, 1.0]], ['2, k, 11', [-0.0277673, -0.471707, 1.0]], ['2, k, 12', [-0.363007, -0.456453, 1.0]], ['2, k, 13', [-0.416447, -0.773413, 1.0]], ['2, k, 14', [-0.483075, -1.07304, 1.0]], ['2, k, 15', [-0.524523, -1.13071, 1.0]], ['2, k, 16', [-0.193768, -0.460336, 1.0]], ['2, k, 17', [-0.110093, -0.779404, 1.0]], ['2, k, 18', [-0.0310619, -1.09988, 1.0]], ['2, k, 19', [0.00221271, -1.13129, 1.0]], ['2, k, 20', [-0.272938, 0.0781401, 1.0]], ['2, k, 21', [-0.492176, -0.53745, 1.0]], ['2, k, 22', [-0.445581, -0.454205, 1.0]], ['2, k, 23', [-0.0315404, -0.538279, 1.0]], ['2, k, 24', [-0.0623817, -0.461628, 1.0]]]
[['2, k, 0', [-0.282759, -0.465513, 1.0]], ['2, k, 1', [-0.277699, -0.152284, 1.0]], ['2, k, 2', [-0.27096, 0.153534, 1.0]], ['2, k, 3', [-0.288786, 0.309419, 1.0]], ['2, k, 4', [-0.459758, 0.0364189, 1.0]], ['2, k, 5', [-0.515759, -0.236047, 1.0]], ['2, k, 6', [-0.500186, -0.467546, 1.0]], ['2, k, 7', [-0.493577, -0.470358, 1.0]], ['2, k, 8', [-0.0892847, 0.0285081, 1.0]], ['2, k, 9', [-0.0284686, -0.226088, 1.0]], ['2, k, 10', [-0.0162794, -0.457994, 1.0]], ['2, k, 11', [-0.0278812, -0.473072, 1.0]], ['2, k, 12', [-0.362962, -0.456443, 1.0]], ['2, k, 13', [-0.416513, -0.772811, 1.0]], ['2, k, 14', [-0.481807, -1.06951, 1.0]], ['2, k, 15', [-0.52337, -1.12758, 1.0]], ['2, k, 16', [-0.193705, -0.460269, 1.0]], ['2, k, 17', [-0.110398, -0.773678, 1.0]], ['2, k, 18', [-0.0314174, -1.09799, 1.0]], ['2, k, 19', [0.00215817, -1.13025, 1.0]], ['2, k, 20', [-0.272933, 0.0781326, 1.0]], ['2, k, 21', [-0.496078, -0.537826, 1.0]], ['2, k, 22', [-0.447347, -0.45562, 1.0]], ['2, k, 23', [-0.0340109, -0.540886, 1.0]], ['2, k, 24', [-0.0567788, -0.47731, 1.0]]]
[['2, k, 0', [-0.282746, -0.465529, 1.0]], ['2, k, 1', [-0.277706, -0.152296, 1.0]], ['2, k, 2', [-0.271012, 0.153514, 1.0]], ['2, k, 3', [-0.288876, 0.30938, 1.0]], ['2, k, 4', [-0.45978, 0.0364136, 1.0]], ['2, k, 5', [-0.515727, -0.235956, 1.0]], ['2, k, 6', [-0.500188, -0.467292, 1.0]], ['2, k, 7', [-0.493308, -0.47045, 1.0]], ['2, k, 8', [-0.0893866, 0.028502, 1.0]], ['2, k, 9', [-0.028266, -0.224188, 1.0]], ['2, k, 10', [-0.0164566, -0.455985, 1.0]], ['2, k, 11', [-0.0276635, -0.473878, 1.0]], ['2, k, 12', [-0.362923, -0.456489, 1.0]], ['2, k, 13', [-0.416556, -0.772776, 1.0]], ['2, k, 14', [-0.482092, -1.06893, 1.0]], ['2, k, 15', [-0.522225, -1.1272, 1.0]], ['2, k, 16', [-0.193681, -0.460307, 1.0]], ['2, k, 17', [-0.11055, -0.773637, 1.0]], ['2, k, 18', [-0.0324643, -1.09683, 1.0]], ['2, k, 19', [0.00153686, -1.12902, 1.0]], ['2, k, 20', [-0.27297, 0.0781144, 1.0]], ['2, k, 21', [-0.493332, -0.538583, 1.0]], ['2, k, 22', [-0.446135, -0.473248, 1.0]], ['2, k, 23', [-0.0374342, -0.540501, 1.0]], ['2, k, 24', [-0.0559314, -0.476268, 1.0]]]
[['2, k, 0', [-0.282717, -0.465562, 1.0]], ['2, k, 1', [-0.277633, -0.152356, 1.0]], ['2, k, 2', [-0.270873, 0.153416, 1.0]], ['2, k, 3', [-0.288963, 0.309325, 1.0]], ['2, k, 4', [-0.459774, 0.0363633, 1.0]], ['2, k, 5', [-0.51571, -0.236307, 1.0]], ['2, k, 6', [-0.500168, -0.467543, 1.0]], ['2, k, 7', [-0.493344, -0.470696, 1.0]], ['2, k, 8', [-0.0894104, 0.0284778, 1.0]], ['2, k, 9', [-0.0282972, -0.224331, 1.0]], ['2, k, 10', [-0.0164424, -0.45606, 1.0]], ['2, k, 11', [-0.0284344, -0.474273, 1.0]], ['2, k, 12', [-0.362901, -0.456519, 1.0]], ['2, k, 13', [-0.416708, -0.771758, 1.0]], ['2, k, 14', [-0.481344, -1.06763, 1.0]], ['2, k, 15', [-0.522877, -1.12602, 1.0]], ['2, k, 16', [-0.193657, -0.460335, 1.0]], ['2, k, 17', [-0.110691, -0.773798, 1.0]], ['2, k, 18', [-0.0335486, -1.09596, 1.0]], ['2, k, 19', [0.00123358, -1.1282, 1.0]], ['2, k, 20', [-0.27285, 0.078027, 1.0]], ['2, k, 21', [-0.492824, -0.538018, 1.0]], ['2, k, 22', [-0.446007, -0.461051, 1.0]], ['2, k, 23', [-0.036739, -0.540931, 1.0]], ['2, k, 24', [-0.0621815, -0.458765, 1.0]]]
[['2, k, 0', [-0.282452, -0.465552, 1.0]], ['2, k, 1', [-0.277282, -0.152428, 1.0]], ['2, k, 2', [-0.270422, 0.15324, 1.0]], ['2, k, 3', [-0.28899, 0.309298, 1.0]], ['2, k, 4', [-0.459854, 0.0363633, 1.0]], ['2, k, 5', [-0.51569, -0.236344, 1.0]], ['2, k, 6', [-0.500154, -0.467483, 1.0]], ['2, k, 7', [-0.492501, -0.47102, 1.0]], ['2, k, 8', [-0.0894706, 0.0284583, 1.0]], ['2, k, 9', [-0.0283705, -0.224387, 1.0]], ['2, k, 10', [-0.0164521, -0.456066, 1.0]], ['2, k, 11', [-0.028634, -0.472637, 1.0]], ['2, k, 12', [-0.362675, -0.456499, 1.0]], ['2, k, 13', [-0.416904, -0.770793, 1.0]], ['2, k, 14', [-0.481368, -1.06689, 1.0]], ['2, k, 15', [-0.522876, -1.12555, 1.0]], ['2, k, 16', [-0.193376, -0.460335, 1.0]], ['2, k, 17', [-0.110756, -0.779707, 1.0]], ['2, k, 18', [-0.0335693, -1.09591, 1.0]], ['2, k, 19', [0.00131755, -1.12811, 1.0]], ['2, k, 20', [-0.272426, 0.0778785, 1.0]], ['2, k, 21', [-0.490371, -0.54499, 1.0]], ['2, k, 22', [-0.445803, -0.48362, 1.0]], ['2, k, 23', [-0.0329974, -0.539128, 1.0]], ['2, k, 24', [-0.0616133, -0.451227, 1.0]]]
[['2, k, 0', [-0.282484, -0.465682, 1.0]], ['2, k, 1', [-0.277271, -0.152494, 1.0]], ['2, k, 2', [-0.270378, 0.1532, 1.0]], ['2, k, 3', [-0.288956, 0.309285, 1.0]], ['2, k, 4', [-0.459862, 0.0363309, 1.0]], ['2, k, 5', [-0.515675, -0.236701, 1.0]], ['2, k, 6', [-0.500078, -0.467777, 1.0]], ['2, k, 7', [-0.492702, -0.470412, 1.0]], ['2, k, 8', [-0.0895635, 0.0284373, 1.0]], ['2, k, 9', [-0.0283528, -0.22452, 1.0]], ['2, k, 10', [-0.0165245, -0.456183, 1.0]], ['2, k, 11', [-0.0287759, -0.473858, 1.0]], ['2, k, 12', [-0.362703, -0.45664, 1.0]], ['2, k, 13', [-0.41708, -0.770501, 1.0]], ['2, k, 14', [-0.481286, -1.06683, 1.0]], ['2, k, 15', [-0.522561, -1.12505, 1.0]], ['2, k, 16', [-0.193417, -0.460454, 1.0]], ['2, k, 17', [-0.110856, -0.781273, 1.0]], ['2, k, 18', [-0.0337095, -1.09574, 1.0]], ['2, k, 19', [0.00136648, -1.12802, 1.0]], ['2, k, 20', [-0.272392, 0.0778341, 1.0]], ['2, k, 21', [-0.491666, -0.537994, 1.0]], ['2, k, 22', [-0.44481, -0.455459, 1.0]], ['2, k, 23', [-0.0374367, -0.539944, 1.0]], ['2, k, 24', [-0.0641753, -0.470408, 1.0]]]
[['2, k, 0', [-0.282521, -0.465775, 1.0]], ['2, k, 1', [-0.277282, -0.152546, 1.0]], ['2, k, 2', [-0.270375, 0.153159, 1.0]], ['2, k, 3', [-0.288973, 0.309277, 1.0]], ['2, k, 4', [-0.459862, 0.036249, 1.0]], ['2, k, 5', [-0.515486, -0.237301, 1.0]], ['2, k, 6', [-0.500036, -0.468338, 1.0]], ['2, k, 7', [-0.492569, -0.471082, 1.0]], ['2, k, 8', [-0.0896502, 0.0283755, 1.0]], ['2, k, 9', [-0.0283814, -0.224592, 1.0]], ['2, k, 10', [-0.0165566, -0.456284, 1.0]], ['2, k, 11', [-0.0288581, -0.473376, 1.0]], ['2, k, 12', [-0.362753, -0.456777, 1.0]], ['2, k, 13', [-0.417162, -0.770536, 1.0]], ['2, k, 14', [-0.481062, -1.06652, 1.0]], ['2, k, 15', [-0.522659, -1.12472, 1.0]], ['2, k, 16', [-0.193453, -0.460521, 1.0]], ['2, k, 17', [-0.110654, -0.782489, 1.0]], ['2, k, 18', [-0.0338823, -1.09559, 1.0]], ['2, k, 19', [0.00142364, -1.12791, 1.0]], ['2, k, 20', [-0.272392, 0.0777924, 1.0]], ['2, k, 21', [-0.491563, -0.536633, 1.0]], ['2, k, 22', [-0.445849, -0.456121, 1.0]], ['2, k, 23', [-0.0346887, -0.539349, 1.0]], ['2, k, 24', [-0.0603983, -0.443878, 1.0]]]
[['2, k, 0', [-0.282577, -0.46588, 1.0]], ['2, k, 1', [-0.277289, -0.152602, 1.0]], ['2, k, 2', [-0.270355, 0.153118, 1.0]], ['2, k, 3', [-0.289144, 0.309137, 1.0]], ['2, k, 4', [-0.459894, 0.0362092, 1.0]], ['2, k, 5', [-0.515365, -0.237202, 1.0]], ['2, k, 6', [-0.500042, -0.468228, 1.0]], ['2, k, 7', [-0.491625, -0.470394, 1.0]], ['2, k, 8', [-0.0897943, 0.0282636, 1.0]], ['2, k, 9', [-0.0284148, -0.224546, 1.0]], ['2, k, 10', [-0.0167057, -0.456283, 1.0]], ['2, k, 11', [-0.0293219, -0.47333, 1.0]], ['2, k, 12', [-0.362811, -0.457013, 1.0]], ['2, k, 13', [-0.417153, -0.770387, 1.0]], ['2, k, 14', [-0.480767, -1.06613, 1.0]], ['2, k, 15', [-0.522636, -1.12469, 1.0]], ['2, k, 16', [-0.193508, -0.46055, 1.0]], ['2, k, 17', [-0.11049, -0.78243, 1.0]], ['2, k, 18', [-0.0338822, -1.09559, 1.0]], ['2, k, 19', [0.00155888, -1.12781, 1.0]], ['2, k, 20', [-0.27238, 0.0777504, 1.0]], ['2, k, 21', [-0.492574, -0.538983, 1.0]], ['2, k, 22', [-0.446751, -0.465109, 1.0]], ['2, k, 23', [-0.0344942, -0.5409, 1.0]], ['2, k, 24', [-0.0569378, -0.478284, 1.0]]]
[['2, k, 0', [-0.282591, -0.465937, 1.0]], ['2, k, 1', [-0.277291, -0.152707, 1.0]], ['2, k, 2', [-0.270335, 0.152953, 1.0]], ['2, k, 3', [-0.289151, 0.309119, 1.0]], ['2, k, 4', [-0.459876, 0.0362016, 1.0]], ['2, k, 5', [-0.515348, -0.237106, 1.0]], ['2, k, 6', [-0.500032, -0.468131, 1.0]], ['2, k, 7', [-0.491695, -0.470679, 1.0]], ['2, k, 8', [-0.0899093, 0.0281715, 1.0]], ['2, k, 9', [-0.0284325, -0.224545, 1.0]], ['2, k, 10', [-0.0169071, -0.456294, 1.0]], ['2, k, 11', [-0.029991, -0.473481, 1.0]], ['2, k, 12', [-0.362829, -0.457162, 1.0]], ['2, k, 13', [-0.417161, -0.770408, 1.0]], ['2, k, 14', [-0.480339, -1.06539, 1.0]], ['2, k, 15', [-0.522403, -1.12443, 1.0]], ['2, k, 16', [-0.193533, -0.460588, 1.0]], ['2, k, 17', [-0.109966, -0.78239, 1.0]], ['2, k, 18', [-0.0350172, -1.09291, 1.0]], ['2, k, 19', [0.000969718, -1.12632, 1.0]], ['2, k, 20', [-0.272367, 0.077601, 1.0]], ['2, k, 21', [-0.492026, -0.538925, 1.0]], ['2, k, 22', [-0.445998, -0.477081, 1.0]], ['2, k, 23', [-0.037252, -0.540894, 1.0]], ['2, k, 24', [-0.0588018, -0.470174, 1.0]]]
