[['2, k, 0', [-0.323784, -0.850936, 1.0]], ['2, k, 1', [-0.335768, -0.556746, 1.0]], ['2, k, 2', [-0.346074, -0.265962, 1.0]], ['2, k, 3', [-0.347245, -0.123099, 1.0]], ['2, k, 4', [-0.482853, -0.350963, 1.0]], ['2, k, 5', [-0.599124, -0.399416, 1.0]], ['2, k, 6', [-0.700268, -0.399865, 1.0]], ['2, k, 7', [-0.664135, -0.328065, 1.0]], ['2, k, 8', [-0.194855, -0.359905, 1.0]], ['2, k, 9', [-0.265068, -0.63389, 1.0]], ['2, k, 10', [-0.0130841, -0.436373, 1.0]], ['2, k, 11', [0.0826844, -0.315094, 1.0]], ['2, k, 12', [-0.38565, -0.839421, 1.0]], ['2, k, 13', [-0.466889, -1.12873, 1.0]], ['2, k, 14', [-0.487193, -1.61856, 1.0]], ['2, k, 15', [-0.401905, -1.55463, 1.0]], ['2, k, 16', [-0.254699, -0.843479, 1.0]], ['2, k, 17', [-0.100153, -1.10677, 1.0]], ['2, k, 18', [-0.0904712, -1.47027, 1.0]], ['2, k, 19', [-0.163412, -1.56621, 1.0]], ['2, k, 20', [-0.343792, -0.338269, 1.0]], ['2, k, 21', [-0.646931, -0.322484, 1.0]], ['2, k, 22', [-0.693187, -0.315923, 1.0]], ['2, k, 23', [0.129055, -0.302014, 1.0]], ['2, k, 24', [0.145245, -0.309619, 1.0]]]
[['2, k, 0', [-0.320355, -0.829571, 1.0]], ['2, k, 1', [-0.335419, -0.552557, 1.0]], ['2, k, 2', [-0.346466, -0.267272, 1.0]], ['2, k, 3', [-0.346767, -0.12406, 1.0]], ['2, k, 4', [-0.482639, -0.351141, 1.0]], ['2, k, 5', [-0.596513, -0.404324, 1.0]], ['2, k, 6', [-0.690946, -0.400565, 1.0]], ['2, k, 7', [-0.641571, -0.334646, 1.0]], ['2, k, 8', [-0.194691, -0.359832, 1.0]], ['2, k, 9', [0.00145457, -0.404245, 1.0]], ['2, k, 10', [0.0505686, -0.323198, 1.0]], ['2, k, 11', [0.0765734, -0.320916, 1.0]], ['2, k, 12', [-0.382224, -0.818964, 1.0]], ['2, k, 13', [-0.465269, -1.12858, 1.0]], ['2, k, 14', [-0.459834, -1.35385, 1.0]], ['2, k, 15', [-0.438041, -1.46827, 1.0]], ['2, k, 16', [-0.251308, -0.821589, 1.0]], ['2, k, 17', [-0.130716, -1.12698, 1.0]], ['2, k, 18', [-0.125392, -1.44397, 1.0]], ['2, k, 19', [-0.109696, -1.49892, 1.0]], ['2, k, 20', [-0.344124, -0.33907, 1.0]], ['2, k, 21', [-0.609561, -0.33117, 1.0]], ['2, k, 22', [-0.685892, -0.323934, 1.0]], ['2, k, 23', [0.125418, -0.309226, 1.0]], ['2, k, 24', [0.129778, -0.33827, 1.0]]]
[['2, k, 0', [-0.32071, -0.828568, 1.0]], ['2, k, 1', [-0.334348, -0.551865, 1.0]], ['2, k, 2', [-0.344915, -0.270744, 1.0]], ['2, k, 3', [-0.3469, -0.125382, 1.0]], ['2, k, 4', [-0.478216, -0.357867, 1.0]], ['2, k, 5', [-0.583488, -0.414679, 1.0]], ['2, k, 6', [-0.645035, -0.376195, 1.0]], ['2, k, 7', [-0.634832, -0.339626, 1.0]], ['2, k, 8', [-0.19173, -0.360516, 1.0]], ['2, k, 9', [0.0024191, -0.406548, 1.0]], ['2, k, 10', [0.062847, -0.342021, 1.0]], ['2, k, 11', [0.0796408, -0.325605, 1.0]], ['2, k, 12', [-0.382558, -0.818434, 1.0]], ['2, k, 13', [-0.431805, -1.12076, 1.0]], ['2, k, 14', [-0.448702, -1.5251, 1.0]], ['2, k, 15', [-0.419069, -1.57712, 1.0]], ['2, k, 16', [-0.251733, -0.820282, 1.0]], ['2, k, 17', [-0.174034, -1.11076, 1.0]], ['2, k, 18', [-0.186803, -1.39931, 1.0]], ['2, k, 19', [-0.196424, -1.50879, 1.0]], ['2, k, 20', [-0.342689, -0.341304, 1.0]], ['2, k, 21', [-0.635996, -0.337439, 1.0]], ['2, k, 22', [-0.685605, -0.334754, 1.0]], ['2, k, 23', [0.116053, -0.316952, 1.0]], ['2, k, 24', [0.136906, -0.306709, 1.0]]]
[['2, k, 0', [-0.32022, -0.830019, 1.0]], ['2, k, 1', [-0.334079, -0.554624, 1.0]], ['2, k, 2', [-0.345589, -0.277834, 1.0]], ['2, k, 3', [-0.346523, -0.129753, 1.0]], ['2, k, 4', [-0.478731, -0.357918, 1.0]], ['2, k, 5', [-0.615788, -0.430459, 1.0]], ['2, k, 6', [-0.651956, -0.360904, 1.0]], ['2, k, 7', [-0.637902, -0.345469, 1.0]], ['2, k, 8', [-0.191858, -0.360929, 1.0]], ['2, k, 9', [0.00623808, -0.428171, 1.0]], ['2, k, 10', [0.0596627, -0.35243, 1.0]], ['2, k, 11', [0.0857536, -0.330793, 1.0]], ['2, k, 12', [-0.382061, -0.819775, 1.0]], ['2, k, 13', [-0.431215, -1.11969, 1.0]], ['2, k, 14', [-0.448547, -1.5138, 1.0]], ['2, k, 15', [-0.42167, -1.57325, 1.0]], ['2, k, 16', [-0.251297, -0.821867, 1.0]], ['2, k, 17', [-0.177485, -1.09808, 1.0]], ['2, k, 18', [-0.188737, -1.3803, 1.0]], ['2, k, 19', [-0.192215, -1.48814, 1.0]], ['2, k, 20', [-0.343051, -0.346943, 1.0]], ['2, k, 21', [-0.627841, -0.344303, 1.0]], ['2, k, 22', [-0.685533, -0.335212, 1.0]], ['2, k, 23', [0.113228, -0.325012, 1.0]], ['2, k, 24', [0.142997, -0.310082, 1.0]]]
[['2, k, 0', [-0.320535, -0.831318, 1.0]], ['2, k, 1', [-0.333671, -0.558209, 1.0]], ['2, k, 2', [-0.344159, -0.286828, 1.0]], ['2, k, 3', [-0.344471, -0.140363, 1.0]], ['2, k, 4', [-0.47841, -0.362063, 1.0]], ['2, k, 5', [-0.584276, -0.365058, 1.0]], ['2, k, 6', [-0.640615, -0.382411, 1.0]], ['2, k, 7', [-0.638249, -0.353404, 1.0]], ['2, k, 8', [-0.191601, -0.362172, 1.0]], ['2, k, 9', [0.00741514, -0.432572, 1.0]], ['2, k, 10', [0.0690829, -0.353546, 1.0]], ['2, k, 11', [0.0866901, -0.338643, 1.0]], ['2, k, 12', [-0.382374, -0.821714, 1.0]], ['2, k, 13', [-0.431408, -1.11731, 1.0]], ['2, k, 14', [-0.448961, -1.50386, 1.0]], ['2, k, 15', [-0.423432, -1.57345, 1.0]], ['2, k, 16', [-0.251637, -0.822697, 1.0]], ['2, k, 17', [-0.179836, -1.08946, 1.0]], ['2, k, 18', [-0.188685, -1.36786, 1.0]], ['2, k, 19', [-0.19216, -1.47657, 1.0]], ['2, k, 20', [-0.341892, -0.354308, 1.0]], ['2, k, 21', [-0.63327, -0.355267, 1.0]], ['2, k, 22', [-0.685035, -0.346864, 1.0]], ['2, k, 23', [0.114775, -0.331842, 1.0]], ['2, k, 24', [0.141568, -0.331531, 1.0]]]
[['2, k, 0', [-0.31861, -0.839793, 1.0]], ['2, k, 1', [-0.332763, -0.566987, 1.0]], ['2, k, 2', [-0.344819, -0.296237, 1.0]], ['2, k, 3', [-0.344127, -0.145966, 1.0]], ['2, k, 4', [-0.478644, -0.362789, 1.0]], ['2, k, 5', [-0.576561, -0.427357, 1.0]], ['2, k, 6', [-0.64016, -0.387761, 1.0]], ['2, k, 7', [-0.63889, -0.362194, 1.0]], ['2, k, 8', [-0.191499, -0.36198, 1.0]], ['2, k, 9', [0.00424007, -0.433478, 1.0]], ['2, k, 10', [0.071208, -0.364448, 1.0]], ['2, k, 11', [0.0857188, -0.346212, 1.0]], ['2, k, 12', [-0.3802, -0.832045, 1.0]], ['2, k, 13', [-0.430551, -1.11897, 1.0]], ['2, k, 14', [-0.448726, -1.50476, 1.0]], ['2, k, 15', [-0.42799, -1.57245, 1.0]], ['2, k, 16', [-0.250017, -0.829325, 1.0]], ['2, k, 17', [-0.180226, -1.08903, 1.0]], ['2, k, 18', [-0.194603, -1.36639, 1.0]], ['2, k, 19', [-0.197111, -1.47395, 1.0]], ['2, k, 20', [-0.342127, -0.363675, 1.0]], ['2, k, 21', [-0.63985, -0.358568, 1.0]], ['2, k, 22', [-0.686579, -0.354484, 1.0]], ['2, k, 23', [0.112518, -0.340815, 1.0]], ['2, k, 24', [0.128459, -0.318985, 1.0]]]
[['2, k, 0', [-0.318605, -0.846632, 1.0]], ['2, k, 1', [-0.331789, -0.574697, 1.0]], ['2, k, 2', [-0.342973, -0.305422, 1.0]], ['2, k, 3', [-0.34308, -0.158827, 1.0]], ['2, k, 4', [-0.477487, -0.368391, 1.0]], ['2, k, 5', [-0.582996, -0.420922, 1.0]], ['2, k, 6', [-0.642045, -0.395349, 1.0]], ['2, k, 7', [-0.639114, -0.370515, 1.0]], ['2, k, 8', [-0.191323, -0.36193, 1.0]], ['2, k, 9', [0.00513458, -0.43833, 1.0]], ['2, k, 10', [0.0716305, -0.371704, 1.0]], ['2, k, 11', [0.0870947, -0.353827, 1.0]], ['2, k, 12', [-0.380104, -0.840638, 1.0]], ['2, k, 13', [-0.428682, -1.11965, 1.0]], ['2, k, 14', [-0.451305, -1.50158, 1.0]], ['2, k, 15', [-0.427171, -1.57133, 1.0]], ['2, k, 16', [-0.250108, -0.83442, 1.0]], ['2, k, 17', [-0.180204, -1.08744, 1.0]], ['2, k, 18', [-0.193945, -1.36328, 1.0]], ['2, k, 19', [-0.196919, -1.4707, 1.0]], ['2, k, 20', [-0.340492, -0.372436, 1.0]], ['2, k, 21', [-0.645339, -0.368017, 1.0]], ['2, k, 22', [-0.687154, -0.365092, 1.0]], ['2, k, 23', [0.101364, -0.353227, 1.0]], ['2, k, 24', [0.136475, -0.342285, 1.0]]]
[['2, k, 0', [-0.318945, -0.852036, 1.0]], ['2, k, 1', [-0.331405, -0.582754, 1.0]], ['2, k, 2', [-0.341803, -0.316688, 1.0]], ['2, k, 3', [-0.34154, -0.170391, 1.0]], ['2, k, 4', [-0.474352, -0.416517, 1.0]], ['2, k, 5', [-0.581584, -0.417943, 1.0]], ['2, k, 6', [-0.636499, -0.405952, 1.0]], ['2, k, 7', [-0.637977, -0.379267, 1.0]], ['2, k, 8', [-0.18393, -0.41378, 1.0]], ['2, k, 9', [0.00632212, -0.447391, 1.0]], ['2, k, 10', [0.0720279, -0.382975, 1.0]], ['2, k, 11', [0.0869703, -0.36432, 1.0]], ['2, k, 12', [-0.380475, -0.844323, 1.0]], ['2, k, 13', [-0.427503, -1.12039, 1.0]], ['2, k, 14', [-0.452224, -1.49971, 1.0]], ['2, k, 15', [-0.426355, -1.57132, 1.0]], ['2, k, 16', [-0.250406, -0.84159, 1.0]], ['2, k, 17', [-0.181314, -1.08907, 1.0]], ['2, k, 18', [-0.192341, -1.36367, 1.0]], ['2, k, 19', [-0.203616, -1.47138, 1.0]], ['2, k, 20', [-0.339518, -0.382869, 1.0]], ['2, k, 21', [-0.642649, -0.381277, 1.0]], ['2, k, 22', [-0.688705, -0.37532, 1.0]], ['2, k, 23', [0.114271, -0.356045, 1.0]], ['2, k, 24', [0.13646, -0.332107, 1.0]]]
[['2, k, 0', [-0.31912, -0.856907, 1.0]], ['2, k, 1', [-0.330795, -0.590327, 1.0]], ['2, k, 2', [-0.340377, -0.327047, 1.0]], ['2, k, 3', [-0.3404, -0.179726, 1.0]], ['2, k, 4', [-0.473279, -0.414755, 1.0]], ['2, k, 5', [-0.581163, -0.421409, 1.0]], ['2, k, 6', [-0.62, -0.416124, 1.0]], ['2, k, 7', [-0.633009, -0.38949, 1.0]], ['2, k, 8', [-0.183759, -0.413614, 1.0]], ['2, k, 9', [0.00442909, -0.462459, 1.0]], ['2, k, 10', [0.0741085, -0.38584, 1.0]], ['2, k, 11', [0.0931018, -0.371762, 1.0]], ['2, k, 12', [-0.380703, -0.847826, 1.0]], ['2, k, 13', [-0.42797, -1.12233, 1.0]], ['2, k, 14', [-0.45126, -1.49748, 1.0]], ['2, k, 15', [-0.423154, -1.57047, 1.0]], ['2, k, 16', [-0.25055, -0.847753, 1.0]], ['2, k, 17', [-0.181413, -1.09029, 1.0]], ['2, k, 18', [-0.186637, -1.36781, 1.0]], ['2, k, 19', [-0.200302, -1.47535, 1.0]], ['2, k, 20', [-0.338292, -0.392542, 1.0]], ['2, k, 21', [-0.644464, -0.389434, 1.0]], ['2, k, 22', [-0.684633, -0.386488, 1.0]], ['2, k, 23', [0.113715, -0.365679, 1.0]], ['2, k, 24', [0.146064, -0.355651, 1.0]]]
[['2, k, 0', [-0.317128, -0.876697, 1.0]], ['2, k, 1', [-0.328513, -0.605949, 1.0]], ['2, k, 2', [-0.338255, -0.338447, 1.0]], ['2, k, 3', [-0.338775, -0.193951, 1.0]], ['2, k, 4', [-0.471864, -0.427618, 1.0]], ['2, k, 5', [-0.581866, -0.419335, 1.0]], ['2, k, 6', [-0.637407, -0.438125, 1.0]], ['2, k, 7', [-0.63713, -0.40029, 1.0]], ['2, k, 8', [-0.183844, -0.414119, 1.0]], ['2, k, 9', [0.0051105, -0.455517, 1.0]], ['2, k, 10', [0.0767412, -0.390754, 1.0]], ['2, k, 11', [0.0933858, -0.3816, 1.0]], ['2, k, 12', [-0.379088, -0.870483, 1.0]], ['2, k, 13', [-0.42569, -1.12365, 1.0]], ['2, k, 14', [-0.452135, -1.49527, 1.0]], ['2, k, 15', [-0.423886, -1.57058, 1.0]], ['2, k, 16', [-0.248326, -0.864293, 1.0]], ['2, k, 17', [-0.180193, -1.10212, 1.0]], ['2, k, 18', [-0.187178, -1.37367, 1.0]], ['2, k, 19', [-0.19809, -1.48062, 1.0]], ['2, k, 20', [-0.3361, -0.40498, 1.0]], ['2, k, 21', [-0.632635, -0.399644, 1.0]], ['2, k, 22', [-0.68905, -0.390701, 1.0]], ['2, k, 23', [0.114182, -0.378653, 1.0]], ['2, k, 24', [0.135726, -0.359338, 1.0]]]
[['2, k, 0', [-0.31631, -0.884472, 1.0]], ['2, k, 1', [-0.327515, -0.616412, 1.0]], ['2, k, 2', [-0.337141, -0.351477, 1.0]], ['2, k, 3', [-0.337724, -0.205195, 1.0]], ['2, k, 4', [-0.468721, -0.440324, 1.0]], ['2, k, 5', [-0.58243, -0.466586, 1.0]], ['2, k, 6', [-0.571689, -0.41855, 1.0]], ['2, k, 7', [-0.60771, -0.413195, 1.0]], ['2, k, 8', [-0.183504, -0.415365, 1.0]], ['2, k, 9', [-0.00403546, -0.455184, 1.0]], ['2, k, 10', [0.0719666, -0.408398, 1.0]], ['2, k, 11', [0.0931909, -0.392783, 1.0]], ['2, k, 12', [-0.378203, -0.877559, 1.0]], ['2, k, 13', [-0.424686, -1.12931, 1.0]], ['2, k, 14', [-0.450297, -1.49596, 1.0]], ['2, k, 15', [-0.423073, -1.56973, 1.0]], ['2, k, 16', [-0.247618, -0.872415, 1.0]], ['2, k, 17', [-0.178393, -1.10549, 1.0]], ['2, k, 18', [-0.18792, -1.37977, 1.0]], ['2, k, 19', [-0.198444, -1.48744, 1.0]], ['2, k, 20', [-0.335007, -0.417408, 1.0]], ['2, k, 21', [-0.636232, -0.411188, 1.0]], ['2, k, 22', [-0.65239, -0.420603, 1.0]], ['2, k, 23', [0.122568, -0.389858, 1.0]], ['2, k, 24', [0.133081, -0.364306, 1.0]]]
