[['2, k, 0', [0.05864429, 0.02415981, 1.0]], ['2, k, 1', [0.06171197, 0.3396224, 1.0]], ['2, k, 2', [0.06388293, 0.6414365, 1.0]], ['2, k, 3', [0.04747858, 0.7694126, 1.0]], ['2, k, 4', [-0.09566399, 0.5133358, 1.0]], ['2, k, 5', [-0.1382839, 0.2265587, 1.0]], ['2, k, 6', [-0.2368126, 0.03086316, 1.0]], ['2, k, 7', [-0.2983981, -0.0105276, 1.0]], ['2, k, 8', [0.2267913, 0.5441616, 1.0]], ['2, k, 9', [0.2615431, 0.2831888, 1.0]], ['2, k, 10', [0.2998047, 0.05262705, 1.0]], ['2, k, 11', [0.3026116, 0.01656139, 1.0]], ['2, k, 12', [-0.01282389, 0.02577315, 1.0]], ['2, k, 13', [-0.04534718, -0.3867646, 1.0]], ['2, k, 14', [-0.06520434, -0.7036676, 1.0]], ['2, k, 15', [-0.08861625, -0.7469619, 1.0]], ['2, k, 16', [0.127744, 0.0216575, 1.0]], ['2, k, 17', [0.1707566, -0.4360412, 1.0]], ['2, k, 18', [0.2363428, -0.7087861, 1.0]], ['2, k, 19', [0.2321705, -0.7497475, 1.0]], ['2, k, 20', [0.06344336, 0.5679056, 1.0]], ['2, k, 21', [-0.3384332, -0.08233482, 1.0]], ['2, k, 22', [-0.34436, 0.0390281, 1.0]], ['2, k, 23', [0.2900651, -0.06204615, 1.0]], ['2, k, 24', [0.2791158, -0.02757417, 1.0]]]
[['2, k, 0', [0.05802445, 0.02422764, 1.0]], ['2, k, 1', [0.06094108, 0.3396808, 1.0]], ['2, k, 2', [0.06304023, 0.6414946, 1.0]], ['2, k, 3', [0.04665329, 0.7694209, 1.0]], ['2, k, 4', [-0.0969822, 0.5136275, 1.0]], ['2, k, 5', [-0.141023, 0.2306061, 1.0]], ['2, k, 6', [-0.2436636, 0.04465583, 1.0]], ['2, k, 7', [-0.3096574, 0.003807128, 1.0]], ['2, k, 8', [0.2264462, 0.544016, 1.0]], ['2, k, 9', [0.2614634, 0.2831088, 1.0]], ['2, k, 10', [0.2997802, 0.05267129, 1.0]], ['2, k, 11', [0.3015511, 0.01154321, 1.0]], ['2, k, 12', [-0.01349127, 0.02586343, 1.0]], ['2, k, 13', [-0.0454836, -0.3867286, 1.0]], ['2, k, 14', [-0.05827006, -0.6982367, 1.0]], ['2, k, 15', [-0.08868654, -0.7468213, 1.0]], ['2, k, 16', [0.1272138, 0.0216998, 1.0]], ['2, k, 17', [0.1705931, -0.4362663, 1.0]], ['2, k, 18', [0.2304686, -0.7094807, 1.0]], ['2, k, 19', [0.2337872, -0.7473456, 1.0]], ['2, k, 20', [0.06261279, 0.5679646, 1.0]], ['2, k, 21', [-0.3507507, -0.06686135, 1.0]], ['2, k, 22', [-0.3524863, 0.05190424, 1.0]], ['2, k, 23', [0.3154822, -0.07557223, 1.0]], ['2, k, 24', [0.302734, -0.01772819, 1.0]]]
[['2, k, 0', [0.05756037, 0.02452976, 1.0]], ['2, k, 1', [0.06062631, 0.3398848, 1.0]], ['2, k, 2', [0.06287446, 0.6416264, 1.0]], ['2, k, 3', [0.0464644, 0.7694072, 1.0]], ['2, k, 4', [-0.09691542, 0.5134884, 1.0]], ['2, k, 5', [-0.1419047, 0.2378434, 1.0]], ['2, k, 6', [-0.2625473, 0.06414904, 1.0]], ['2, k, 7', [-0.3023962, 0.02623847, 1.0]], ['2, k, 8', [0.2261012, 0.5441384, 1.0]], ['2, k, 9', [0.2613975, 0.2830038, 1.0]], ['2, k, 10', [0.2999423, 0.05114724, 1.0]], ['2, k, 11', [0.3007127, 0.01278824, 1.0]], ['2, k, 12', [-0.01394662, 0.02621163, 1.0]], ['2, k, 13', [-0.04561381, -0.3864951, 1.0]], ['2, k, 14', [-0.0569851, -0.6983781, 1.0]], ['2, k, 15', [-0.09091493, -0.7461729, 1.0]], ['2, k, 16', [0.1267761, 0.02194163, 1.0]], ['2, k, 17', [0.1705481, -0.4362828, 1.0]], ['2, k, 18', [0.2284182, -0.7100525, 1.0]], ['2, k, 19', [0.2342425, -0.7467434, 1.0]], ['2, k, 20', [0.06241114, 0.5681133, 1.0]], ['2, k, 21', [-0.3236992, -0.04521909, 1.0]], ['2, k, 22', [-0.3382293, 0.05476045, 1.0]], ['2, k, 23', [0.3109249, -0.07457857, 1.0]], ['2, k, 24', [0.2598753, -0.02630867, 1.0]]]
[['2, k, 0', [0.05647485, 0.02462583, 1.0]], ['2, k, 1', [0.05996763, 0.3399312, 1.0]], ['2, k, 2', [0.06257307, 0.6416446, 1.0]], ['2, k, 3', [0.04629168, 0.7693453, 1.0]], ['2, k, 4', [-0.09652974, 0.5132323, 1.0]], ['2, k, 5', [-0.1335616, 0.2789586, 1.0]], ['2, k, 6', [-0.2690038, 0.08708073, 1.0]], ['2, k, 7', [-0.329239, 0.05095491, 1.0]], ['2, k, 8', [0.2259004, 0.544062, 1.0]], ['2, k, 9', [0.2613999, 0.2829269, 1.0]], ['2, k, 10', [0.2999133, 0.05110262, 1.0]], ['2, k, 11', [0.301948, 0.01347198, 1.0]], ['2, k, 12', [-0.01526568, 0.02650709, 1.0]], ['2, k, 13', [-0.0463252, -0.3863019, 1.0]], ['2, k, 14', [-0.05595435, -0.6980311, 1.0]], ['2, k, 15', [-0.09029004, -0.7461586, 1.0]], ['2, k, 16', [0.125942, 0.02186955, 1.0]], ['2, k, 17', [0.1704393, -0.4361725, 1.0]], ['2, k, 18', [0.2264234, -0.7101786, 1.0]], ['2, k, 19', [0.2329318, -0.7457188, 1.0]], ['2, k, 20', [0.06203154, 0.5681378, 1.0]], ['2, k, 21', [-0.3748515, -0.02146898, 1.0]], ['2, k, 22', [-0.3721263, 0.09280196, 1.0]], ['2, k, 23', [0.3045022, -0.06732091, 1.0]], ['2, k, 24', [0.2974341, 0.03236308, 1.0]]]
[['2, k, 0', [0.05594048, 0.02464196, 1.0]], ['2, k, 1', [0.05958822, 0.3400006, 1.0]], ['2, k, 2', [0.06236005, 0.641752, 1.0]], ['2, k, 3', [0.04589368, 0.7693032, 1.0]], ['2, k, 4', [-0.09758442, 0.5133969, 1.0]], ['2, k, 5', [-0.1334329, 0.2789426, 1.0]], ['2, k, 6', [-0.2789027, 0.1024138, 1.0]], ['2, k, 7', [-0.3401561, 0.07000268, 1.0]], ['2, k, 8', [0.2256013, 0.5439309, 1.0]], ['2, k, 9', [0.2613851, 0.2826991, 1.0]], ['2, k, 10', [0.3000008, 0.05110306, 1.0]], ['2, k, 11', [0.3021985, 0.01084858, 1.0]], ['2, k, 12', [-0.01580064, 0.02666077, 1.0]], ['2, k, 13', [-0.04664096, -0.3861803, 1.0]], ['2, k, 14', [-0.05575475, -0.6980699, 1.0]], ['2, k, 15', [-0.08991256, -0.7459099, 1.0]], ['2, k, 16', [0.1254353, 0.02175862, 1.0]], ['2, k, 17', [0.1702788, -0.4361591, 1.0]], ['2, k, 18', [0.2249045, -0.7103606, 1.0]], ['2, k, 19', [0.2349511, -0.7463886, 1.0]], ['2, k, 20', [0.06177834, 0.5682384, 1.0]], ['2, k, 21', [-0.3882226, -0.0004556716, 1.0]], ['2, k, 22', [-0.3792408, 0.1162781, 1.0]], ['2, k, 23', [0.2924583, -0.07818969, 1.0]], ['2, k, 24', [0.3196545, -0.0163241, 1.0]]]
[['2, k, 0', [0.05529654, 0.02473073, 1.0]], ['2, k, 1', [0.0592903, 0.3400101, 1.0]], ['2, k, 2', [0.06231368, 0.6417125, 1.0]], ['2, k, 3', [0.04579212, 0.7691148, 1.0]], ['2, k, 4', [-0.09824639, 0.5134934, 1.0]], ['2, k, 5', [-0.1334721, 0.2789897, 1.0]], ['2, k, 6', [-0.2830986, 0.126069, 1.0]], ['2, k, 7', [-0.3514368, 0.09266355, 1.0]], ['2, k, 8', [0.2254369, 0.5439035, 1.0]], ['2, k, 9', [0.2613759, 0.2825672, 1.0]], ['2, k, 10', [0.2998574, 0.05150525, 1.0]], ['2, k, 11', [0.3007331, 0.01150065, 1.0]], ['2, k, 12', [-0.016433, 0.02675193, 1.0]], ['2, k, 13', [-0.04723477, -0.3855669, 1.0]], ['2, k, 14', [-0.05302404, -0.6977355, 1.0]], ['2, k, 15', [-0.08989198, -0.7459035, 1.0]], ['2, k, 16', [0.124826, 0.02183172, 1.0]], ['2, k, 17', [0.1701131, -0.4362196, 1.0]], ['2, k, 18', [0.2247506, -0.7103782, 1.0]], ['2, k, 19', [0.2323836, -0.7460048, 1.0]], ['2, k, 20', [0.06167461, 0.5682107, 1.0]], ['2, k, 21', [-0.4027658, 0.02052541, 1.0]], ['2, k, 22', [-0.3848672, 0.1370173, 1.0]], ['2, k, 23', [0.3088501, -0.07022713, 1.0]], ['2, k, 24', [0.2891412, -0.01858564, 1.0]]]
[['2, k, 0', [0.05514878, 0.0240693, 1.0]], ['2, k, 1', [0.05940717, 0.3387567, 1.0]], ['2, k, 2', [0.06330222, 0.6383038, 1.0]], ['2, k, 3', [0.04579189, 0.7691869, 1.0]], ['2, k, 4', [-0.09862828, 0.5136149, 1.0]], ['2, k, 5', [-0.13386, 0.2800312, 1.0]], ['2, k, 6', [-0.2822343, 0.1448777, 1.0]], ['2, k, 7', [-0.352844, 0.1238512, 1.0]], ['2, k, 8', [0.2254155, 0.543804, 1.0]], ['2, k, 9', [0.2610554, 0.28154, 1.0]], ['2, k, 10', [0.2998902, 0.05154873, 1.0]], ['2, k, 11', [0.3011733, 0.01452057, 1.0]], ['2, k, 12', [-0.01665569, 0.0268467, 1.0]], ['2, k, 13', [-0.04809573, -0.3849704, 1.0]], ['2, k, 14', [-0.05224272, -0.6973283, 1.0]], ['2, k, 15', [-0.09033336, -0.7469177, 1.0]], ['2, k, 16', [0.1249314, 0.01928338, 1.0]], ['2, k, 17', [0.169986, -0.4363159, 1.0]], ['2, k, 18', [0.2245599, -0.7102274, 1.0]], ['2, k, 19', [0.2312017, -0.7456234, 1.0]], ['2, k, 20', [0.06236085, 0.5654477, 1.0]], ['2, k, 21', [-0.4065219, 0.0531256, 1.0]], ['2, k, 22', [-0.3884089, 0.1627893, 1.0]], ['2, k, 23', [0.3076102, -0.07035448, 1.0]], ['2, k, 24', [0.2821115, -0.03081322, 1.0]]]
[['2, k, 0', [0.0547688, 0.0243276, 1.0]], ['2, k, 1', [0.05930256, 0.3390845, 1.0]], ['2, k, 2', [0.06363687, 0.63938, 1.0]], ['2, k, 3', [0.04593116, 0.769143, 1.0]], ['2, k, 4', [-0.09802363, 0.5143099, 1.0]], ['2, k, 5', [-0.1339049, 0.2800391, 1.0]], ['2, k, 6', [-0.2874663, 0.1701656, 1.0]], ['2, k, 7', [-0.3508246, 0.1570642, 1.0]], ['2, k, 8', [0.2254073, 0.5437579, 1.0]], ['2, k, 9', [0.2610604, 0.2815506, 1.0]], ['2, k, 10', [0.2994182, 0.04644521, 1.0]], ['2, k, 11', [0.3012268, 0.01272163, 1.0]], ['2, k, 12', [-0.01705603, 0.02717685, 1.0]], ['2, k, 13', [-0.04851242, -0.3850321, 1.0]], ['2, k, 14', [-0.05083529, -0.6968711, 1.0]], ['2, k, 15', [-0.09033104, -0.7469233, 1.0]], ['2, k, 16', [0.12454, 0.01959922, 1.0]], ['2, k, 17', [0.169883, -0.4363326, 1.0]], ['2, k, 18', [0.2327694, -0.7111152, 1.0]], ['2, k, 19', [0.2283841, -0.7487147, 1.0]], ['2, k, 20', [0.06254119, 0.5662389, 1.0]], ['2, k, 21', [-0.4043124, 0.1022865, 1.0]], ['2, k, 22', [-0.3948692, 0.1912504, 1.0]], ['2, k, 23', [0.3065664, -0.07567941, 1.0]], ['2, k, 24', [0.259965, -0.02408152, 1.0]]]
[['2, k, 0', [0.05410841, 0.02432712, 1.0]], ['2, k, 1', [0.05894393, 0.3391736, 1.0]], ['2, k, 2', [0.06347117, 0.6398468, 1.0]], ['2, k, 3', [0.04613954, 0.7689994, 1.0]], ['2, k, 4', [-0.09848566, 0.5143034, 1.0]], ['2, k, 5', [-0.1351136, 0.2809834, 1.0]], ['2, k, 6', [-0.2865511, 0.1974657, 1.0]], ['2, k, 7', [-0.3532591, 0.1856133, 1.0]], ['2, k, 8', [0.2254641, 0.5435842, 1.0]], ['2, k, 9', [0.2610492, 0.2811009, 1.0]], ['2, k, 10', [0.2995495, 0.04531029, 1.0]], ['2, k, 11', [0.2994387, 0.008138467, 1.0]], ['2, k, 12', [-0.01759329, 0.02714898, 1.0]], ['2, k, 13', [-0.0497439, -0.3844449, 1.0]], ['2, k, 14', [-0.05034127, -0.6969462, 1.0]], ['2, k, 15', [-0.08998057, -0.747268, 1.0]], ['2, k, 16', [0.1237647, 0.01975193, 1.0]], ['2, k, 17', [0.1694251, -0.4363925, 1.0]], ['2, k, 18', [0.2356045, -0.7112728, 1.0]], ['2, k, 19', [0.2295777, -0.7510574, 1.0]], ['2, k, 20', [0.06232461, 0.5665759, 1.0]], ['2, k, 21', [-0.4072191, 0.1297732, 1.0]], ['2, k, 22', [-0.4018408, 0.21565, 1.0]], ['2, k, 23', [0.3065906, -0.0756326, 1.0]], ['2, k, 24', [0.2559371, -0.02483674, 1.0]]]
[['2, k, 0', [0.05417085, 0.02457608, 1.0]], ['2, k, 1', [0.05925692, 0.3395878, 1.0]], ['2, k, 2', [0.06419025, 0.6406281, 1.0]], ['2, k, 3', [0.04656355, 0.7691494, 1.0]], ['2, k, 4', [-0.09881956, 0.5145596, 1.0]], ['2, k, 5', [-0.1382188, 0.2860747, 1.0]], ['2, k, 6', [-0.2868198, 0.2276098, 1.0]], ['2, k, 7', [-0.3693895, 0.2135698, 1.0]], ['2, k, 8', [0.2255126, 0.5432158, 1.0]], ['2, k, 9', [0.2608606, 0.2805412, 1.0]], ['2, k, 10', [0.300111, 0.05117258, 1.0]], ['2, k, 11', [0.302654, 0.01007251, 1.0]], ['2, k, 12', [-0.01754538, 0.02738658, 1.0]], ['2, k, 13', [-0.05003786, -0.3840321, 1.0]], ['2, k, 14', [-0.0501697, -0.6969895, 1.0]], ['2, k, 15', [-0.08934277, -0.7469482, 1.0]], ['2, k, 16', [0.1238412, 0.02010635, 1.0]], ['2, k, 17', [0.1693047, -0.4364191, 1.0]], ['2, k, 18', [0.2282404, -0.7108291, 1.0]], ['2, k, 19', [0.2322954, -0.7484276, 1.0]], ['2, k, 20', [0.06295248, 0.5672618, 1.0]], ['2, k, 21', [-0.4236311, 0.1684383, 1.0]], ['2, k, 22', [-0.4025276, 0.2475648, 1.0]], ['2, k, 23', [0.3088691, -0.06901927, 1.0]], ['2, k, 24', [0.265084, -0.01180833, 1.0]]]
[['2, k, 0', [0.05380596, 0.02477532, 1.0]], ['2, k, 1', [0.05893265, 0.3396851, 1.0]], ['2, k, 2', [0.06381861, 0.640649, 1.0]], ['2, k, 3', [0.04692411, 0.7693501, 1.0]], ['2, k, 4', [-0.09900377, 0.514747, 1.0]], ['2, k, 5', [-0.1447771, 0.2875672, 1.0]], ['2, k, 6', [-0.2860622, 0.2418297, 1.0]], ['2, k, 7', [-0.3448095, 0.2553373, 1.0]], ['2, k, 8', [0.2255271, 0.5429783, 1.0]], ['2, k, 9', [0.2606142, 0.2811743, 1.0]], ['2, k, 10', [0.3000332, 0.05057197, 1.0]], ['2, k, 11', [0.301769, 0.008963201, 1.0]], ['2, k, 12', [-0.01783374, 0.02757307, 1.0]], ['2, k, 13', [-0.05020485, -0.3840678, 1.0]], ['2, k, 14', [-0.05017069, -0.6969846, 1.0]], ['2, k, 15', [-0.08923414, -0.7469069, 1.0]], ['2, k, 16', [0.1233886, 0.02039159, 1.0]], ['2, k, 17', [0.1689511, -0.4366742, 1.0]], ['2, k, 18', [0.2223309, -0.7073491, 1.0]], ['2, k, 19', [0.2318549, -0.7450433, 1.0]], ['2, k, 20', [0.06260511, 0.56731, 1.0]], ['2, k, 21', [-0.4027899, 0.2199935, 1.0]], ['2, k, 22', [-0.3828319, 0.2899883, 1.0]], ['2, k, 23', [0.3104033, -0.07181991, 1.0]], ['2, k, 24', [0.2837859, -0.02265687, 1.0]]]
