[['2, k, 0', [-0.19209, -0.274801, 1.0]], ['2, k, 1', [-0.151384, 0.0121166, 1.0]], ['2, k, 2', [-0.11077, 0.292472, 1.0]], ['2, k, 3', [-0.0866607, 0.426097, 1.0]], ['2, k, 4', [-0.259463, 0.248746, 1.0]], ['2, k, 5', [-0.3527, 0.436664, 1.0]], ['2, k, 6', [-0.353218, 0.602172, 1.0]], ['2, k, 7', [-0.31406, 0.667332, 1.0]], ['2, k, 8', [0.04263, 0.217388, 1.0]], ['2, k, 9', [0.209347, 0.297049, 1.0]], ['2, k, 10', [0.294718, 0.44278, 1.0]], ['2, k, 11', [0.310965, 0.506113, 1.0]], ['2, k, 12', [-0.258333, -0.264036, 1.0]], ['2, k, 13', [-0.268899, -0.575808, 1.0]], ['2, k, 14', [-0.269402, -0.739991, 1.0]], ['2, k, 15', [-0.280951, -0.856472, 1.0]], ['2, k, 16', [-0.120809, -0.278377, 1.0]], ['2, k, 17', [0.00886979, -0.563281, 1.0]], ['2, k, 18', [-0.0139094, -0.765146, 1.0]], ['2, k, 19', [-0.000736764, -0.881626, 1.0]], ['2, k, 20', [-0.120935, 0.223345, 1.0]], ['2, k, 21', [-0.296394, 0.69816, 1.0]], ['2, k, 22', [-0.356297, 0.681, 1.0]], ['2, k, 23', [0.32307, 0.563313, 1.0]], ['2, k, 24', [0.344912, 0.49888, 1.0]]]
[['2, k, 0', [-0.16124, -0.251762, 1.0]], ['2, k, 1', [-0.139488, 0.0219805, 1.0]], ['2, k, 2', [-0.110659, 0.292496, 1.0]], ['2, k, 3', [-0.0849808, 0.42553, 1.0]], ['2, k, 4', [-0.25921, 0.248692, 1.0]], ['2, k, 5', [-0.352327, 0.438196, 1.0]], ['2, k, 6', [-0.317608, 0.627328, 1.0]], ['2, k, 7', [-0.311071, 0.661974, 1.0]], ['2, k, 8', [0.0427504, 0.217249, 1.0]], ['2, k, 9', [0.210539, 0.297007, 1.0]], ['2, k, 10', [0.300259, 0.44231, 1.0]], ['2, k, 11', [0.323529, 0.505624, 1.0]], ['2, k, 12', [-0.227859, -0.24088, 1.0]], ['2, k, 13', [-0.277438, -0.638752, 1.0]], ['2, k, 14', [-0.258807, -0.906913, 1.0]], ['2, k, 15', [-0.300974, -0.95488, 1.0]], ['2, k, 16', [-0.090399, -0.256067, 1.0]], ['2, k, 17', [-0.0813905, -0.643184, 1.0]], ['2, k, 18', [0.0225301, -0.90455, 1.0]], ['2, k, 19', [0.0165496, -0.983541, 1.0]], ['2, k, 20', [-0.119922, 0.224389, 1.0]], ['2, k, 21', [-0.285211, 0.702473, 1.0]], ['2, k, 22', [-0.349862, 0.682482, 1.0]], ['2, k, 23', [0.332499, 0.557267, 1.0]], ['2, k, 24', [0.357171, 0.498512, 1.0]]]
[['2, k, 0', [-0.159617, -0.251194, 1.0]], ['2, k, 1', [-0.136376, 0.0228918, 1.0]], ['2, k, 2', [-0.110129, 0.292462, 1.0]], ['2, k, 3', [-0.0805446, 0.424683, 1.0]], ['2, k, 4', [-0.258763, 0.248818, 1.0]], ['2, k, 5', [-0.350847, 0.440168, 1.0]], ['2, k, 6', [-0.31555, 0.623802, 1.0]], ['2, k, 7', [-0.292126, 0.668235, 1.0]], ['2, k, 8', [0.0432197, 0.217046, 1.0]], ['2, k, 9', [0.212699, 0.293173, 1.0]], ['2, k, 10', [0.303573, 0.43935, 1.0]], ['2, k, 11', [0.335966, 0.503031, 1.0]], ['2, k, 12', [-0.22603, -0.240201, 1.0]], ['2, k, 13', [-0.268563, -0.538615, 1.0]], ['2, k, 14', [-0.273699, -0.78446, 1.0]], ['2, k, 15', [-0.280703, -0.899604, 1.0]], ['2, k, 16', [-0.0890488, -0.255656, 1.0]], ['2, k, 17', [-0.0483973, -0.567365, 1.0]], ['2, k, 18', [0.00608919, -0.80849, 1.0]], ['2, k, 19', [0.00417476, -0.862881, 1.0]], ['2, k, 20', [-0.11792, 0.224901, 1.0]], ['2, k, 21', [-0.251078, 0.703484, 1.0]], ['2, k, 22', [-0.330365, 0.693306, 1.0]], ['2, k, 23', [0.345279, 0.548188, 1.0]], ['2, k, 24', [0.369843, 0.47925, 1.0]]]
[['2, k, 0', [-0.158802, -0.250448, 1.0]], ['2, k, 1', [-0.135531, 0.0232268, 1.0]], ['2, k, 2', [-0.109956, 0.292304, 1.0]], ['2, k, 3', [-0.0745947, 0.423449, 1.0]], ['2, k, 4', [-0.257806, 0.24916, 1.0]], ['2, k, 5', [-0.343227, 0.4468, 1.0]], ['2, k, 6', [-0.296363, 0.623545, 1.0]], ['2, k, 7', [-0.271831, 0.674581, 1.0]], ['2, k, 8', [0.0442711, 0.216785, 1.0]], ['2, k, 9', [0.21685, 0.289358, 1.0]], ['2, k, 10', [0.320259, 0.428907, 1.0]], ['2, k, 11', [0.350106, 0.492488, 1.0]], ['2, k, 12', [-0.225246, -0.239388, 1.0]], ['2, k, 13', [-0.267717, -0.535136, 1.0]], ['2, k, 14', [-0.273876, -0.767961, 1.0]], ['2, k, 15', [-0.272265, -0.82289, 1.0]], ['2, k, 16', [-0.0882563, -0.255037, 1.0]], ['2, k, 17', [-0.0484174, -0.566967, 1.0]], ['2, k, 18', [-0.00650184, -0.79665, 1.0]], ['2, k, 19', [-0.00798637, -0.851297, 1.0]], ['2, k, 20', [-0.11747, 0.224897, 1.0]], ['2, k, 21', [-0.223869, 0.7083, 1.0]], ['2, k, 22', [-0.307772, 0.695555, 1.0]], ['2, k, 23', [0.361224, 0.535702, 1.0]], ['2, k, 24', [0.284712, 0.526338, 1.0]]]
[['2, k, 0', [-0.156539, -0.241242, 1.0]], ['2, k, 1', [-0.13283, 0.0256653, 1.0]], ['2, k, 2', [-0.10749, 0.291135, 1.0]], ['2, k, 3', [-0.0680107, 0.422482, 1.0]], ['2, k, 4', [-0.256515, 0.250047, 1.0]], ['2, k, 5', [-0.335096, 0.452588, 1.0]], ['2, k, 6', [-0.281884, 0.623762, 1.0]], ['2, k, 7', [-0.252746, 0.675847, 1.0]], ['2, k, 8', [0.0456728, 0.216085, 1.0]], ['2, k, 9', [0.222818, 0.28447, 1.0]], ['2, k, 10', [0.334267, 0.418477, 1.0]], ['2, k, 11', [0.365351, 0.480221, 1.0]], ['2, k, 12', [-0.223018, -0.229557, 1.0]], ['2, k, 13', [-0.26765, -0.535042, 1.0]], ['2, k, 14', [-0.275033, -0.778086, 1.0]], ['2, k, 15', [-0.282454, -0.893731, 1.0]], ['2, k, 16', [-0.0860154, -0.246662, 1.0]], ['2, k, 17', [-0.0483394, -0.566895, 1.0]], ['2, k, 18', [-0.0172795, -0.805403, 1.0]], ['2, k, 19', [-0.0181009, -0.859931, 1.0]], ['2, k, 20', [-0.114812, 0.224712, 1.0]], ['2, k, 21', [-0.205276, 0.710762, 1.0]], ['2, k, 22', [-0.280528, 0.706366, 1.0]], ['2, k, 23', [0.378838, 0.520962, 1.0]], ['2, k, 24', [0.296114, 0.516516, 1.0]]]
[['2, k, 0', [-0.157138, -0.241193, 1.0]], ['2, k, 1', [-0.131304, 0.0259697, 1.0]], ['2, k, 2', [-0.101353, 0.2905, 1.0]], ['2, k, 3', [-0.0613922, 0.419714, 1.0]], ['2, k, 4', [-0.254592, 0.252486, 1.0]], ['2, k, 5', [-0.33349, 0.462685, 1.0]], ['2, k, 6', [-0.257655, 0.634213, 1.0]], ['2, k, 7', [-0.223859, 0.683005, 1.0]], ['2, k, 8', [0.0544234, 0.21148, 1.0]], ['2, k, 9', [0.227504, 0.275716, 1.0]], ['2, k, 10', [0.339249, 0.416769, 1.0]], ['2, k, 11', [0.376677, 0.469883, 1.0]], ['2, k, 12', [-0.223592, -0.229034, 1.0]], ['2, k, 13', [-0.267429, -0.535065, 1.0]], ['2, k, 14', [-0.277201, -0.787088, 1.0]], ['2, k, 15', [-0.284712, -0.903504, 1.0]], ['2, k, 16', [-0.0867385, -0.247144, 1.0]], ['2, k, 17', [-0.0483416, -0.566806, 1.0]], ['2, k, 18', [-0.0166183, -0.813937, 1.0]], ['2, k, 19', [-0.0157218, -0.868847, 1.0]], ['2, k, 20', [-0.109645, 0.224695, 1.0]], ['2, k, 21', [-0.175913, 0.710543, 1.0]], ['2, k, 22', [-0.25534, 0.713187, 1.0]], ['2, k, 23', [0.386427, 0.51167, 1.0]], ['2, k, 24', [0.290916, 0.514312, 1.0]]]
[['2, k, 0', [-0.157926, -0.240606, 1.0]], ['2, k, 1', [-0.129621, 0.0265101, 1.0]], ['2, k, 2', [-0.0960835, 0.290033, 1.0]], ['2, k, 3', [-0.0520942, 0.416753, 1.0]], ['2, k, 4', [-0.253221, 0.253741, 1.0]], ['2, k, 5', [-0.30107, 0.470489, 1.0]], ['2, k, 6', [-0.241604, 0.637887, 1.0]], ['2, k, 7', [-0.203623, 0.685416, 1.0]], ['2, k, 8', [0.0545985, 0.211331, 1.0]], ['2, k, 9', [0.2361, 0.267448, 1.0]], ['2, k, 10', [0.377297, 0.38749, 1.0]], ['2, k, 11', [0.40135, 0.445716, 1.0]], ['2, k, 12', [-0.224532, -0.227924, 1.0]], ['2, k, 13', [-0.266917, -0.534085, 1.0]], ['2, k, 14', [-0.279391, -0.777491, 1.0]], ['2, k, 15', [-0.275302, -0.832621, 1.0]], ['2, k, 16', [-0.0873688, -0.246985, 1.0]], ['2, k, 17', [-0.04857, -0.56665, 1.0]], ['2, k, 18', [-0.0176997, -0.80619, 1.0]], ['2, k, 19', [-0.0165898, -0.861053, 1.0]], ['2, k, 20', [-0.105127, 0.224728, 1.0]], ['2, k, 21', [-0.150887, 0.713737, 1.0]], ['2, k, 22', [-0.223889, 0.718953, 1.0]], ['2, k, 23', [0.427517, 0.48275, 1.0]], ['2, k, 24', [0.341516, 0.488609, 1.0]]]
[['2, k, 0', [-0.158636, -0.240206, 1.0]], ['2, k, 1', [-0.129651, 0.026792, 1.0]], ['2, k, 2', [-0.0961683, 0.289984, 1.0]], ['2, k, 3', [-0.0446384, 0.415756, 1.0]], ['2, k, 4', [-0.251248, 0.254528, 1.0]], ['2, k, 5', [-0.289912, 0.46974, 1.0]], ['2, k, 6', [-0.219677, 0.639735, 1.0]], ['2, k, 7', [-0.179936, 0.688618, 1.0]], ['2, k, 8', [0.0553107, 0.210803, 1.0]], ['2, k, 9', [0.241915, 0.250158, 1.0]], ['2, k, 10', [0.379353, 0.362248, 1.0]], ['2, k, 11', [0.416616, 0.431258, 1.0]], ['2, k, 12', [-0.225327, -0.227143, 1.0]], ['2, k, 13', [-0.266782, -0.534168, 1.0]], ['2, k, 14', [-0.281093, -0.777926, 1.0]], ['2, k, 15', [-0.285011, -0.894944, 1.0]], ['2, k, 16', [-0.0879745, -0.246949, 1.0]], ['2, k, 17', [-0.0485796, -0.566653, 1.0]], ['2, k, 18', [-0.0177868, -0.800412, 1.0]], ['2, k, 19', [-0.016572, -0.855482, 1.0]], ['2, k, 20', [-0.105183, 0.224734, 1.0]], ['2, k, 21', [-0.131087, 0.719006, 1.0]], ['2, k, 22', [-0.202547, 0.723567, 1.0]], ['2, k, 23', [0.437333, 0.472686, 1.0]], ['2, k, 24', [0.353639, 0.478392, 1.0]]]
[['2, k, 0', [-0.159449, -0.238859, 1.0]], ['2, k, 1', [-0.127242, 0.0272757, 1.0]], ['2, k, 2', [-0.0885214, 0.288437, 1.0]], ['2, k, 3', [-0.0392031, 0.41386, 1.0]], ['2, k, 4', [-0.248911, 0.255003, 1.0]], ['2, k, 5', [-0.269776, 0.479072, 1.0]], ['2, k, 6', [-0.200036, 0.641745, 1.0]], ['2, k, 7', [-0.159656, 0.688339, 1.0]], ['2, k, 8', [0.0558205, 0.209933, 1.0]], ['2, k, 9', [0.243758, 0.238614, 1.0]], ['2, k, 10', [0.385536, 0.346801, 1.0]], ['2, k, 11', [0.431757, 0.413251, 1.0]], ['2, k, 12', [-0.226331, -0.224971, 1.0]], ['2, k, 13', [-0.266611, -0.533958, 1.0]], ['2, k, 14', [-0.281356, -0.778252, 1.0]], ['2, k, 15', [-0.276898, -0.833451, 1.0]], ['2, k, 16', [-0.0885588, -0.246317, 1.0]], ['2, k, 17', [-0.0485766, -0.566881, 1.0]], ['2, k, 18', [-0.018466, -0.796292, 1.0]], ['2, k, 19', [-0.0169826, -0.851319, 1.0]], ['2, k, 20', [-0.0989033, 0.223989, 1.0]], ['2, k, 21', [-0.117287, 0.725263, 1.0]], ['2, k, 22', [-0.179361, 0.722196, 1.0]], ['2, k, 23', [0.45585, 0.453521, 1.0]], ['2, k, 24', [0.36693, 0.462304, 1.0]]]
[['2, k, 0', [-0.159945, -0.238224, 1.0]], ['2, k, 1', [-0.127207, 0.0274719, 1.0]], ['2, k, 2', [-0.0887876, 0.28836, 1.0]], ['2, k, 3', [-0.0327283, 0.412317, 1.0]], ['2, k, 4', [-0.245936, 0.255514, 1.0]], ['2, k, 5', [-0.251587, 0.488487, 1.0]], ['2, k, 6', [-0.172492, 0.650272, 1.0]], ['2, k, 7', [-0.132189, 0.691984, 1.0]], ['2, k, 8', [0.0563769, 0.209247, 1.0]], ['2, k, 9', [0.248526, 0.228615, 1.0]], ['2, k, 10', [0.404207, 0.342434, 1.0]], ['2, k, 11', [0.444132, 0.398179, 1.0]], ['2, k, 12', [-0.226792, -0.224891, 1.0]], ['2, k, 13', [-0.266557, -0.533694, 1.0]], ['2, k, 14', [-0.28089, -0.777208, 1.0]], ['2, k, 15', [-0.276285, -0.832499, 1.0]], ['2, k, 16', [-0.0890471, -0.245504, 1.0]], ['2, k, 17', [-0.0488888, -0.568145, 1.0]], ['2, k, 18', [-0.0165818, -0.794243, 1.0]], ['2, k, 19', [-0.0149618, -0.849364, 1.0]], ['2, k, 20', [-0.0989878, 0.223968, 1.0]], ['2, k, 21', [-0.080998, 0.723528, 1.0]], ['2, k, 22', [-0.155715, 0.724562, 1.0]], ['2, k, 23', [0.469329, 0.436262, 1.0]], ['2, k, 24', [0.374482, 0.45378, 1.0]]]
[['2, k, 0', [-0.160692, -0.236444, 1.0]], ['2, k, 1', [-0.12467, 0.0273262, 1.0]], ['2, k, 2', [-0.0800503, 0.283674, 1.0]], ['2, k, 3', [-0.0275002, 0.411192, 1.0]], ['2, k, 4', [-0.24277, 0.25694, 1.0]], ['2, k, 5', [-0.238709, 0.49178, 1.0]], ['2, k, 6', [-0.153841, 0.653501, 1.0]], ['2, k, 7', [-0.111556, 0.693649, 1.0]], ['2, k, 8', [0.057041, 0.208062, 1.0]], ['2, k, 9', [0.252732, 0.219998, 1.0]], ['2, k, 10', [0.416424, 0.332168, 1.0]], ['2, k, 11', [0.456802, 0.381969, 1.0]], ['2, k, 12', [-0.22703, -0.223377, 1.0]], ['2, k, 13', [-0.266116, -0.529944, 1.0]], ['2, k, 14', [-0.281085, -0.776169, 1.0]], ['2, k, 15', [-0.276621, -0.831489, 1.0]], ['2, k, 16', [-0.0903676, -0.243259, 1.0]], ['2, k, 17', [-0.0491986, -0.568242, 1.0]], ['2, k, 18', [-0.0176227, -0.791581, 1.0]], ['2, k, 19', [-0.0161271, -0.846746, 1.0]], ['2, k, 20', [-0.0918834, 0.220817, 1.0]], ['2, k, 21', [-0.0660619, 0.731002, 1.0]], ['2, k, 22', [-0.134436, 0.72625, 1.0]], ['2, k, 23', [0.487887, 0.417914, 1.0]], ['2, k, 24', [0.389511, 0.440579, 1.0]]]
