[['2, k, 0', [-0.185219, -0.82586, 1.0]], ['2, k, 1', [-0.183082, -0.521647, 1.0]], ['2, k, 2', [-0.180093, -0.221749, 1.0]], ['2, k, 3', [-0.192781, -0.0955005, 1.0]], ['2, k, 4', [-0.339497, -0.328296, 1.0]], ['2, k, 5', [-0.468494, -0.478384, 1.0]], ['2, k, 6', [-0.384534, -0.639576, 1.0]], ['2, k, 7', [-0.344993, -0.666288, 1.0]], ['2, k, 8', [-0.00280811, -0.323593, 1.0]], ['2, k, 9', [0.130523, -0.467954, 1.0]], ['2, k, 10', [0.0533286, -0.623966, 1.0]], ['2, k, 11', [0.00787563, -0.661807, 1.0]], ['2, k, 12', [-0.259521, -0.816337, 1.0]], ['2, k, 13', [-0.226998, -1.1531, 1.0]], ['2, k, 14', [-0.262252, -1.46881, 1.0]], ['2, k, 15', [-0.243705, -1.53001, 1.0]], ['2, k, 16', [-0.106188, -0.814384, 1.0]], ['2, k, 17', [-0.131112, -1.16301, 1.0]], ['2, k, 18', [-0.108464, -1.48652, 1.0]], ['2, k, 19', [-0.105158, -1.54562, 1.0]], ['2, k, 20', [-0.180994, -0.296211, 1.0]], ['2, k, 21', [-0.334861, -0.742197, 1.0]], ['2, k, 22', [-0.305784, -0.648605, 1.0]], ['2, k, 23', [-0.0168416, -0.718003, 1.0]], ['2, k, 24', [-0.012613, -0.635055, 1.0]]]
[['2, k, 0', [-0.185216, -0.825558, 1.0]], ['2, k, 1', [-0.183082, -0.52161, 1.0]], ['2, k, 2', [-0.180098, -0.221857, 1.0]], ['2, k, 3', [-0.193055, -0.0956624, 1.0]], ['2, k, 4', [-0.339468, -0.32777, 1.0]], ['2, k, 5', [-0.468436, -0.478537, 1.0]], ['2, k, 6', [-0.384532, -0.639555, 1.0]], ['2, k, 7', [-0.344381, -0.667297, 1.0]], ['2, k, 8', [-0.00302752, -0.323307, 1.0]], ['2, k, 9', [0.13046, -0.467902, 1.0]], ['2, k, 10', [0.0421812, -0.617175, 1.0]], ['2, k, 11', [0.00444066, -0.658432, 1.0]], ['2, k, 12', [-0.259518, -0.815974, 1.0]], ['2, k, 13', [-0.227096, -1.15309, 1.0]], ['2, k, 14', [-0.26124, -1.46765, 1.0]], ['2, k, 15', [-0.247828, -1.51667, 1.0]], ['2, k, 16', [-0.106188, -0.814131, 1.0]], ['2, k, 17', [-0.129896, -1.16267, 1.0]], ['2, k, 18', [-0.10735, -1.47627, 1.0]], ['2, k, 19', [-0.112108, -1.52645, 1.0]], ['2, k, 20', [-0.180997, -0.296265, 1.0]], ['2, k, 21', [-0.33263, -0.744195, 1.0]], ['2, k, 22', [-0.305349, -0.648517, 1.0]], ['2, k, 23', [-0.022061, -0.702403, 1.0]], ['2, k, 24', [-0.0177913, -0.604475, 1.0]]]
[['2, k, 0', [-0.185097, -0.825688, 1.0]], ['2, k, 1', [-0.183045, -0.521691, 1.0]], ['2, k, 2', [-0.180114, -0.221914, 1.0]], ['2, k, 3', [-0.193304, -0.0957994, 1.0]], ['2, k, 4', [-0.339414, -0.327534, 1.0]], ['2, k, 5', [-0.468439, -0.478756, 1.0]], ['2, k, 6', [-0.38467, -0.639617, 1.0]], ['2, k, 7', [-0.343561, -0.669291, 1.0]], ['2, k, 8', [-0.00313681, -0.322787, 1.0]], ['2, k, 9', [0.130366, -0.467964, 1.0]], ['2, k, 10', [-0.00389638, -0.618115, 1.0]], ['2, k, 11', [-0.0579547, -0.676701, 1.0]], ['2, k, 12', [-0.259409, -0.81609, 1.0]], ['2, k, 13', [-0.227211, -1.15317, 1.0]], ['2, k, 14', [-0.261387, -1.46727, 1.0]], ['2, k, 15', [-0.248221, -1.51518, 1.0]], ['2, k, 16', [-0.106057, -0.814283, 1.0]], ['2, k, 17', [-0.129911, -1.16263, 1.0]], ['2, k, 18', [-0.106549, -1.47673, 1.0]], ['2, k, 19', [-0.0957181, -1.52896, 1.0]], ['2, k, 20', [-0.181001, -0.296327, 1.0]], ['2, k, 21', [-0.328078, -0.750111, 1.0]], ['2, k, 22', [-0.298431, -0.644184, 1.0]], ['2, k, 23', [-0.119683, -0.718496, 1.0]], ['2, k, 24', [-0.0725728, -0.594104, 1.0]]]
[['2, k, 0', [-0.185087, -0.825682, 1.0]], ['2, k, 1', [-0.183027, -0.52169, 1.0]], ['2, k, 2', [-0.180093, -0.221947, 1.0]], ['2, k, 3', [-0.193457, -0.0958508, 1.0]], ['2, k, 4', [-0.339365, -0.327256, 1.0]], ['2, k, 5', [-0.468424, -0.478809, 1.0]], ['2, k, 6', [-0.384787, -0.639587, 1.0]], ['2, k, 7', [-0.345557, -0.669991, 1.0]], ['2, k, 8', [-0.00321617, -0.322602, 1.0]], ['2, k, 9', [0.0383294, -0.494687, 1.0]], ['2, k, 10', [-0.0722933, -0.672031, 1.0]], ['2, k, 11', [-0.119395, -0.724665, 1.0]], ['2, k, 12', [-0.259388, -0.816071, 1.0]], ['2, k, 13', [-0.227188, -1.15313, 1.0]], ['2, k, 14', [-0.261946, -1.46698, 1.0]], ['2, k, 15', [-0.249099, -1.51881, 1.0]], ['2, k, 16', [-0.106048, -0.814282, 1.0]], ['2, k, 17', [-0.129923, -1.16256, 1.0]], ['2, k, 18', [-0.110215, -1.47736, 1.0]], ['2, k, 19', [-0.0963168, -1.52945, 1.0]], ['2, k, 20', [-0.18098, -0.29635, 1.0]], ['2, k, 21', [-0.328467, -0.755519, 1.0]], ['2, k, 22', [-0.293531, -0.634032, 1.0]], ['2, k, 23', [-0.167461, -0.764373, 1.0]], ['2, k, 24', [-0.167541, -0.664026, 1.0]]]
[['2, k, 0', [-0.185087, -0.825576, 1.0]], ['2, k, 1', [-0.183033, -0.521686, 1.0]], ['2, k, 2', [-0.180147, -0.22202, 1.0]], ['2, k, 3', [-0.193444, -0.0958528, 1.0]], ['2, k, 4', [-0.339344, -0.32724, 1.0]], ['2, k, 5', [-0.468465, -0.47945, 1.0]], ['2, k, 6', [-0.38959, -0.637732, 1.0]], ['2, k, 7', [-0.346252, -0.668173, 1.0]], ['2, k, 8', [-0.00334702, -0.322469, 1.0]], ['2, k, 9', [0.0381966, -0.494716, 1.0]], ['2, k, 10', [-0.0717788, -0.672662, 1.0]], ['2, k, 11', [-0.116732, -0.729508, 1.0]], ['2, k, 12', [-0.259379, -0.815939, 1.0]], ['2, k, 13', [-0.227255, -1.15294, 1.0]], ['2, k, 14', [-0.260189, -1.46773, 1.0]], ['2, k, 15', [-0.2508, -1.52126, 1.0]], ['2, k, 16', [-0.106053, -0.814193, 1.0]], ['2, k, 17', [-0.129661, -1.16279, 1.0]], ['2, k, 18', [-0.110083, -1.47944, 1.0]], ['2, k, 19', [-0.0993863, -1.5317, 1.0]], ['2, k, 20', [-0.181015, -0.296391, 1.0]], ['2, k, 21', [-0.325351, -0.753169, 1.0]], ['2, k, 22', [-0.295118, -0.626757, 1.0]], ['2, k, 23', [-0.163303, -0.763959, 1.0]], ['2, k, 24', [-0.173485, -0.665773, 1.0]]]
[['2, k, 0', [-0.184922, -0.825675, 1.0]], ['2, k, 1', [-0.183034, -0.521799, 1.0]], ['2, k, 2', [-0.18037, -0.222212, 1.0]], ['2, k, 3', [-0.193625, -0.0959875, 1.0]], ['2, k, 4', [-0.33934, -0.327234, 1.0]], ['2, k, 5', [-0.468493, -0.479591, 1.0]], ['2, k, 6', [-0.389568, -0.638032, 1.0]], ['2, k, 7', [-0.345561, -0.667365, 1.0]], ['2, k, 8', [-0.00356801, -0.322049, 1.0]], ['2, k, 9', [0.038129, -0.494439, 1.0]], ['2, k, 10', [-0.0712017, -0.672826, 1.0]], ['2, k, 11', [-0.123207, -0.726117, 1.0]], ['2, k, 12', [-0.259207, -0.81608, 1.0]], ['2, k, 13', [-0.227252, -1.15294, 1.0]], ['2, k, 14', [-0.260356, -1.46794, 1.0]], ['2, k, 15', [-0.251119, -1.52237, 1.0]], ['2, k, 16', [-0.105863, -0.814267, 1.0]], ['2, k, 17', [-0.129548, -1.16275, 1.0]], ['2, k, 18', [-0.111241, -1.48404, 1.0]], ['2, k, 19', [-0.0987032, -1.53327, 1.0]], ['2, k, 20', [-0.18117, -0.296563, 1.0]], ['2, k, 21', [-0.325451, -0.753364, 1.0]], ['2, k, 22', [-0.292811, -0.631327, 1.0]], ['2, k, 23', [-0.162799, -0.762226, 1.0]], ['2, k, 24', [-0.178463, -0.662425, 1.0]]]
[['2, k, 0', [-0.184872, -0.825615, 1.0]], ['2, k, 1', [-0.183077, -0.521815, 1.0]], ['2, k, 2', [-0.180743, -0.222462, 1.0]], ['2, k, 3', [-0.1939, -0.0961487, 1.0]], ['2, k, 4', [-0.339374, -0.327255, 1.0]], ['2, k, 5', [-0.46858, -0.479805, 1.0]], ['2, k, 6', [-0.388077, -0.637355, 1.0]], ['2, k, 7', [-0.345513, -0.671143, 1.0]], ['2, k, 8', [-0.00362763, -0.321717, 1.0]], ['2, k, 9', [0.0378474, -0.494281, 1.0]], ['2, k, 10', [-0.0710442, -0.672908, 1.0]], ['2, k, 11', [-0.125157, -0.739953, 1.0]], ['2, k, 12', [-0.259147, -0.816052, 1.0]], ['2, k, 13', [-0.227098, -1.15258, 1.0]], ['2, k, 14', [-0.260455, -1.46826, 1.0]], ['2, k, 15', [-0.251102, -1.5242, 1.0]], ['2, k, 16', [-0.10582, -0.814168, 1.0]], ['2, k, 17', [-0.129589, -1.16275, 1.0]], ['2, k, 18', [-0.108762, -1.47978, 1.0]], ['2, k, 19', [-0.100357, -1.53557, 1.0]], ['2, k, 20', [-0.181436, -0.296734, 1.0]], ['2, k, 21', [-0.319991, -0.758929, 1.0]], ['2, k, 22', [-0.289034, -0.635161, 1.0]], ['2, k, 23', [-0.16223, -0.780666, 1.0]], ['2, k, 24', [-0.190186, -0.681153, 1.0]]]
[['2, k, 0', [-0.183993, -0.825303, 1.0]], ['2, k, 1', [-0.182982, -0.521787, 1.0]], ['2, k, 2', [-0.180907, -0.222565, 1.0]], ['2, k, 3', [-0.194441, -0.0965603, 1.0]], ['2, k, 4', [-0.339452, -0.327305, 1.0]], ['2, k, 5', [-0.468572, -0.480124, 1.0]], ['2, k, 6', [-0.387226, -0.637439, 1.0]], ['2, k, 7', [-0.344158, -0.671154, 1.0]], ['2, k, 8', [-0.00410421, -0.321544, 1.0]], ['2, k, 9', [0.129384, -0.468783, 1.0]], ['2, k, 10', [-0.00401321, -0.617734, 1.0]], ['2, k, 11', [-0.0684114, -0.6833, 1.0]], ['2, k, 12', [-0.258136, -0.815834, 1.0]], ['2, k, 13', [-0.226262, -1.15279, 1.0]], ['2, k, 14', [-0.260456, -1.46831, 1.0]], ['2, k, 15', [-0.250551, -1.52467, 1.0]], ['2, k, 16', [-0.105079, -0.813791, 1.0]], ['2, k, 17', [-0.129612, -1.16253, 1.0]], ['2, k, 18', [-0.109831, -1.48055, 1.0]], ['2, k, 19', [-0.0997103, -1.53753, 1.0]], ['2, k, 20', [-0.181483, -0.296786, 1.0]], ['2, k, 21', [-0.318529, -0.757633, 1.0]], ['2, k, 22', [-0.288124, -0.636339, 1.0]], ['2, k, 23', [-0.135593, -0.738549, 1.0]], ['2, k, 24', [-0.092602, -0.592569, 1.0]]]
[['2, k, 0', [-0.183484, -0.825245, 1.0]], ['2, k, 1', [-0.182934, -0.521856, 1.0]], ['2, k, 2', [-0.18111, -0.223008, 1.0]], ['2, k, 3', [-0.194844, -0.0969091, 1.0]], ['2, k, 4', [-0.339489, -0.327357, 1.0]], ['2, k, 5', [-0.468726, -0.48054, 1.0]], ['2, k, 6', [-0.386557, -0.637436, 1.0]], ['2, k, 7', [-0.343534, -0.66933, 1.0]], ['2, k, 8', [-0.00408726, -0.321353, 1.0]], ['2, k, 9', [0.128778, -0.468518, 1.0]], ['2, k, 10', [-0.00354495, -0.617608, 1.0]], ['2, k, 11', [-0.0678407, -0.682763, 1.0]], ['2, k, 12', [-0.257547, -0.815856, 1.0]], ['2, k, 13', [-0.225859, -1.15196, 1.0]], ['2, k, 14', [-0.258854, -1.46271, 1.0]], ['2, k, 15', [-0.251549, -1.52102, 1.0]], ['2, k, 16', [-0.104667, -0.813676, 1.0]], ['2, k, 17', [-0.129318, -1.16223, 1.0]], ['2, k, 18', [-0.109824, -1.48103, 1.0]], ['2, k, 19', [-0.099898, -1.53794, 1.0]], ['2, k, 20', [-0.181589, -0.297101, 1.0]], ['2, k, 21', [-0.318539, -0.757636, 1.0]], ['2, k, 22', [-0.288998, -0.622086, 1.0]], ['2, k, 23', [-0.134954, -0.737712, 1.0]], ['2, k, 24', [-0.0935089, -0.591872, 1.0]]]
[['2, k, 0', [-0.182707, -0.825161, 1.0]], ['2, k, 1', [-0.182947, -0.521862, 1.0]], ['2, k, 2', [-0.182392, -0.223195, 1.0]], ['2, k, 3', [-0.19558, -0.0972288, 1.0]], ['2, k, 4', [-0.341134, -0.328161, 1.0]], ['2, k, 5', [-0.468811, -0.481142, 1.0]], ['2, k, 6', [-0.386505, -0.637926, 1.0]], ['2, k, 7', [-0.342893, -0.669534, 1.0]], ['2, k, 8', [-0.00448167, -0.321094, 1.0]], ['2, k, 9', [0.128343, -0.468349, 1.0]], ['2, k, 10', [-0.00358212, -0.617471, 1.0]], ['2, k, 11', [-0.0665791, -0.682911, 1.0]], ['2, k, 12', [-0.256787, -0.815707, 1.0]], ['2, k, 13', [-0.225489, -1.15198, 1.0]], ['2, k, 14', [-0.258977, -1.46272, 1.0]], ['2, k, 15', [-0.2508, -1.5229, 1.0]], ['2, k, 16', [-0.103915, -0.813653, 1.0]], ['2, k, 17', [-0.128879, -1.16197, 1.0]], ['2, k, 18', [-0.10904, -1.48536, 1.0]], ['2, k, 19', [-0.100876, -1.53908, 1.0]], ['2, k, 20', [-0.182411, -0.297243, 1.0]], ['2, k, 21', [-0.3185, -0.75756, 1.0]], ['2, k, 22', [-0.291679, -0.627535, 1.0]], ['2, k, 23', [-0.135271, -0.736103, 1.0]], ['2, k, 24', [-0.0941567, -0.591069, 1.0]]]
[['2, k, 0', [-0.181884, -0.824956, 1.0]], ['2, k, 1', [-0.183101, -0.521954, 1.0]], ['2, k, 2', [-0.184828, -0.224221, 1.0]], ['2, k, 3', [-0.196291, -0.0979714, 1.0]], ['2, k, 4', [-0.341617, -0.328531, 1.0]], ['2, k, 5', [-0.468833, -0.482117, 1.0]], ['2, k, 6', [-0.386308, -0.638706, 1.0]], ['2, k, 7', [-0.343555, -0.669451, 1.0]], ['2, k, 8', [-0.00538394, -0.320719, 1.0]], ['2, k, 9', [0.128014, -0.468216, 1.0]], ['2, k, 10', [-0.0032533, -0.616627, 1.0]], ['2, k, 11', [-0.0667758, -0.682515, 1.0]], ['2, k, 12', [-0.256043, -0.81554, 1.0]], ['2, k, 13', [-0.225039, -1.15233, 1.0]], ['2, k, 14', [-0.259362, -1.46379, 1.0]], ['2, k, 15', [-0.245912, -1.52386, 1.0]], ['2, k, 16', [-0.10305, -0.813405, 1.0]], ['2, k, 17', [-0.128911, -1.16236, 1.0]], ['2, k, 18', [-0.108005, -1.48385, 1.0]], ['2, k, 19', [-0.102935, -1.53899, 1.0]], ['2, k, 20', [-0.184144, -0.297995, 1.0]], ['2, k, 21', [-0.318153, -0.756739, 1.0]], ['2, k, 22', [-0.290684, -0.626082, 1.0]], ['2, k, 23', [-0.132571, -0.73657, 1.0]], ['2, k, 24', [-0.0937483, -0.591736, 1.0]]]
