[['2, k, 0', [-0.0978162, -0.309679, 1.0]], ['2, k, 1', [-0.0980641, 0.00926615, 1.0]], ['2, k, 2', [-0.0977561, 0.32027, 1.0]], ['2, k, 3', [-0.0880129, 0.45356, 1.0]], ['2, k, 4', [-0.258667, 0.206784, 1.0]], ['2, k, 5', [-0.339267, -0.0690915, 1.0]], ['2, k, 6', [-0.413512, -0.298364, 1.0]], ['2, k, 7', [-0.406104, -0.288603, 1.0]], ['2, k, 8', [0.0630218, 0.200198, 1.0]], ['2, k, 9', [0.135467, -0.0758441, 1.0]], ['2, k, 10', [0.205469, -0.307367, 1.0]], ['2, k, 11', [0.192924, -0.309498, 1.0]], ['2, k, 12', [-0.169796, -0.303844, 1.0]], ['2, k, 13', [-0.19045, -0.612223, 1.0]], ['2, k, 14', [-0.151243, -0.975171, 1.0]], ['2, k, 15', [-0.151611, -1.05469, 1.0]], ['2, k, 16', [-0.0231031, -0.306862, 1.0]], ['2, k, 17', [-0.020764, -0.615248, 1.0]], ['2, k, 18', [-0.0466485, -0.966828, 1.0]], ['2, k, 19', [-0.0402527, -1.03906, 1.0]], ['2, k, 20', [-0.0979304, 0.243651, 1.0]], ['2, k, 21', [-0.429417, -0.35769, 1.0]], ['2, k, 22', [-0.35322, -0.327094, 1.0]], ['2, k, 23', [0.203596, -0.375291, 1.0]], ['2, k, 24', [0.141671, -0.337082, 1.0]]]
[['2, k, 0', [-0.0980245, -0.309717, 1.0]], ['2, k, 1', [-0.0983026, 0.00920465, 1.0]], ['2, k, 2', [-0.098241, 0.320126, 1.0]], ['2, k, 3', [-0.0880902, 0.453218, 1.0]], ['2, k, 4', [-0.258685, 0.206509, 1.0]], ['2, k, 5', [-0.339233, -0.0691306, 1.0]], ['2, k, 6', [-0.413485, -0.298369, 1.0]], ['2, k, 7', [-0.406261, -0.288092, 1.0]], ['2, k, 8', [0.0625705, 0.200185, 1.0]], ['2, k, 9', [0.135394, -0.0758532, 1.0]], ['2, k, 10', [0.205539, -0.307312, 1.0]], ['2, k, 11', [0.192879, -0.310589, 1.0]], ['2, k, 12', [-0.170049, -0.30397, 1.0]], ['2, k, 13', [-0.190583, -0.612251, 1.0]], ['2, k, 14', [-0.151331, -0.974816, 1.0]], ['2, k, 15', [-0.151284, -1.05294, 1.0]], ['2, k, 16', [-0.0232727, -0.306841, 1.0]], ['2, k, 17', [-0.020729, -0.615195, 1.0]], ['2, k, 18', [-0.046434, -0.965987, 1.0]], ['2, k, 19', [-0.0402514, -1.03911, 1.0]], ['2, k, 20', [-0.0983376, 0.243534, 1.0]], ['2, k, 21', [-0.433305, -0.355986, 1.0]], ['2, k, 22', [-0.354457, -0.327426, 1.0]], ['2, k, 23', [0.205684, -0.37591, 1.0]], ['2, k, 24', [0.141588, -0.33706, 1.0]]]
[['2, k, 0', [-0.0980651, -0.309779, 1.0]], ['2, k, 1', [-0.0983968, 0.00911672, 1.0]], ['2, k, 2', [-0.0984985, 0.319935, 1.0]], ['2, k, 3', [-0.0880293, 0.453159, 1.0]], ['2, k, 4', [-0.25872, 0.206563, 1.0]], ['2, k, 5', [-0.33928, -0.0691177, 1.0]], ['2, k, 6', [-0.413549, -0.298355, 1.0]], ['2, k, 7', [-0.407272, -0.288758, 1.0]], ['2, k, 8', [0.062551, 0.200168, 1.0]], ['2, k, 9', [0.135311, -0.0760043, 1.0]], ['2, k, 10', [0.205606, -0.307432, 1.0]], ['2, k, 11', [0.192275, -0.310045, 1.0]], ['2, k, 12', [-0.170091, -0.304017, 1.0]], ['2, k, 13', [-0.1906, -0.612203, 1.0]], ['2, k, 14', [-0.150797, -0.97599, 1.0]], ['2, k, 15', [-0.151347, -1.05257, 1.0]], ['2, k, 16', [-0.0233145, -0.306919, 1.0]], ['2, k, 17', [-0.0205618, -0.614666, 1.0]], ['2, k, 18', [-0.0463929, -0.966086, 1.0]], ['2, k, 19', [-0.0403993, -1.03904, 1.0]], ['2, k, 20', [-0.0985503, 0.243368, 1.0]], ['2, k, 21', [-0.431714, -0.358246, 1.0]], ['2, k, 22', [-0.353511, -0.327329, 1.0]], ['2, k, 23', [0.203461, -0.37282, 1.0]], ['2, k, 24', [0.141684, -0.3379, 1.0]]]
[['2, k, 0', [-0.0982337, -0.309829, 1.0]], ['2, k, 1', [-0.098469, 0.00910001, 1.0]], ['2, k, 2', [-0.0985351, 0.319941, 1.0]], ['2, k, 3', [-0.0880246, 0.453163, 1.0]], ['2, k, 4', [-0.258921, 0.206183, 1.0]], ['2, k, 5', [-0.339323, -0.0690894, 1.0]], ['2, k, 6', [-0.41348, -0.298326, 1.0]], ['2, k, 7', [-0.407033, -0.28725, 1.0]], ['2, k, 8', [0.0624479, 0.200162, 1.0]], ['2, k, 9', [0.135122, -0.0760386, 1.0]], ['2, k, 10', [0.20554, -0.307393, 1.0]], ['2, k, 11', [0.192563, -0.310051, 1.0]], ['2, k, 12', [-0.170284, -0.304144, 1.0]], ['2, k, 13', [-0.190599, -0.612161, 1.0]], ['2, k, 14', [-0.150689, -0.975808, 1.0]], ['2, k, 15', [-0.153857, -1.05103, 1.0]], ['2, k, 16', [-0.0234675, -0.306911, 1.0]], ['2, k, 17', [-0.0207071, -0.614873, 1.0]], ['2, k, 18', [-0.0463622, -0.966098, 1.0]], ['2, k, 19', [-0.0413927, -1.03918, 1.0]], ['2, k, 20', [-0.0985991, 0.243366, 1.0]], ['2, k, 21', [-0.428778, -0.355186, 1.0]], ['2, k, 22', [-0.353715, -0.326792, 1.0]], ['2, k, 23', [0.206078, -0.372036, 1.0]], ['2, k, 24', [0.141594, -0.336914, 1.0]]]
[['2, k, 0', [-0.0983892, -0.309974, 1.0]], ['2, k, 1', [-0.0987129, 0.00895245, 1.0]], ['2, k, 2', [-0.0988547, 0.319802, 1.0]], ['2, k, 3', [-0.0879641, 0.45293, 1.0]], ['2, k, 4', [-0.258969, 0.20602, 1.0]], ['2, k, 5', [-0.339297, -0.0689525, 1.0]], ['2, k, 6', [-0.413713, -0.298047, 1.0]], ['2, k, 7', [-0.407026, -0.286914, 1.0]], ['2, k, 8', [0.062439, 0.200107, 1.0]], ['2, k, 9', [0.134939, -0.0759925, 1.0]], ['2, k, 10', [0.205322, -0.307292, 1.0]], ['2, k, 11', [0.192518, -0.311544, 1.0]], ['2, k, 12', [-0.170471, -0.30435, 1.0]], ['2, k, 13', [-0.190428, -0.611432, 1.0]], ['2, k, 14', [-0.150359, -0.974587, 1.0]], ['2, k, 15', [-0.153739, -1.05045, 1.0]], ['2, k, 16', [-0.0236078, -0.307019, 1.0]], ['2, k, 17', [-0.0206528, -0.614738, 1.0]], ['2, k, 18', [-0.0458201, -0.965069, 1.0]], ['2, k, 19', [-0.0428107, -1.03979, 1.0]], ['2, k, 20', [-0.0989012, 0.243225, 1.0]], ['2, k, 21', [-0.429804, -0.355071, 1.0]], ['2, k, 22', [-0.352978, -0.327447, 1.0]], ['2, k, 23', [0.202365, -0.377577, 1.0]], ['2, k, 24', [0.141571, -0.33706, 1.0]]]
[['2, k, 0', [-0.0985378, -0.310084, 1.0]], ['2, k, 1', [-0.0987569, 0.00890338, 1.0]], ['2, k, 2', [-0.0987827, 0.319778, 1.0]], ['2, k, 3', [-0.0880338, 0.452379, 1.0]], ['2, k, 4', [-0.258988, 0.205986, 1.0]], ['2, k, 5', [-0.339205, -0.0688183, 1.0]], ['2, k, 6', [-0.413666, -0.297838, 1.0]], ['2, k, 7', [-0.406755, -0.286999, 1.0]], ['2, k, 8', [0.0623995, 0.199876, 1.0]], ['2, k, 9', [0.134772, -0.075964, 1.0]], ['2, k, 10', [0.204991, -0.307237, 1.0]], ['2, k, 11', [0.191291, -0.309725, 1.0]], ['2, k, 12', [-0.170632, -0.304449, 1.0]], ['2, k, 13', [-0.190719, -0.611683, 1.0]], ['2, k, 14', [-0.150251, -0.974243, 1.0]], ['2, k, 15', [-0.15337, -1.04992, 1.0]], ['2, k, 16', [-0.0237619, -0.307148, 1.0]], ['2, k, 17', [-0.0206694, -0.614763, 1.0]], ['2, k, 18', [-0.0461586, -0.966012, 1.0]], ['2, k, 19', [-0.0434347, -1.04016, 1.0]], ['2, k, 20', [-0.098875, 0.243188, 1.0]], ['2, k, 21', [-0.431388, -0.354608, 1.0]], ['2, k, 22', [-0.353392, -0.326796, 1.0]], ['2, k, 23', [0.201709, -0.375509, 1.0]], ['2, k, 24', [0.141263, -0.338702, 1.0]]]
[['2, k, 0', [-0.0985403, -0.310072, 1.0]], ['2, k, 1', [-0.0987967, 0.00888729, 1.0]], ['2, k, 2', [-0.0989183, 0.319698, 1.0]], ['2, k, 3', [-0.0880322, 0.452421, 1.0]], ['2, k, 4', [-0.259004, 0.205988, 1.0]], ['2, k, 5', [-0.339243, -0.0688325, 1.0]], ['2, k, 6', [-0.413808, -0.297792, 1.0]], ['2, k, 7', [-0.406837, -0.286731, 1.0]], ['2, k, 8', [0.0623423, 0.199763, 1.0]], ['2, k, 9', [0.134582, -0.0760699, 1.0]], ['2, k, 10', [0.204919, -0.307249, 1.0]], ['2, k, 11', [0.192238, -0.310169, 1.0]], ['2, k, 12', [-0.170627, -0.304414, 1.0]], ['2, k, 13', [-0.190703, -0.612047, 1.0]], ['2, k, 14', [-0.150221, -0.976676, 1.0]], ['2, k, 15', [-0.15203, -1.04885, 1.0]], ['2, k, 16', [-0.0237658, -0.307148, 1.0]], ['2, k, 17', [-0.0208525, -0.61591, 1.0]], ['2, k, 18', [-0.0462399, -0.966612, 1.0]], ['2, k, 19', [-0.0433887, -1.04016, 1.0]], ['2, k, 20', [-0.0989838, 0.243127, 1.0]], ['2, k, 21', [-0.429384, -0.355185, 1.0]], ['2, k, 22', [-0.354617, -0.32684, 1.0]], ['2, k, 23', [0.20758, -0.37486, 1.0]], ['2, k, 24', [0.140713, -0.338991, 1.0]]]
[['2, k, 0', [-0.0986161, -0.310081, 1.0]], ['2, k, 1', [-0.0987718, 0.00883416, 1.0]], ['2, k, 2', [-0.0985568, 0.319518, 1.0]], ['2, k, 3', [-0.0880229, 0.452415, 1.0]], ['2, k, 4', [-0.259013, 0.205876, 1.0]], ['2, k, 5', [-0.339571, -0.0690416, 1.0]], ['2, k, 6', [-0.41397, -0.29797, 1.0]], ['2, k, 7', [-0.406745, -0.286865, 1.0]], ['2, k, 8', [0.0623517, 0.19973, 1.0]], ['2, k, 9', [0.134378, -0.0761065, 1.0]], ['2, k, 10', [0.204915, -0.307189, 1.0]], ['2, k, 11', [0.191993, -0.310002, 1.0]], ['2, k, 12', [-0.170711, -0.30443, 1.0]], ['2, k, 13', [-0.190654, -0.612174, 1.0]], ['2, k, 14', [-0.15024, -0.976092, 1.0]], ['2, k, 15', [-0.15335, -1.04907, 1.0]], ['2, k, 16', [-0.0238621, -0.307151, 1.0]], ['2, k, 17', [-0.0208111, -0.615963, 1.0]], ['2, k, 18', [-0.046347, -0.96569, 1.0]], ['2, k, 19', [-0.0435035, -1.04015, 1.0]], ['2, k, 20', [-0.0987361, 0.242984, 1.0]], ['2, k, 21', [-0.431814, -0.354179, 1.0]], ['2, k, 22', [-0.355335, -0.32708, 1.0]], ['2, k, 23', [0.205367, -0.374985, 1.0]], ['2, k, 24', [0.141106, -0.339451, 1.0]]]
[['2, k, 0', [-0.0992466, -0.31044, 1.0]], ['2, k, 1', [-0.0988468, 0.00866893, 1.0]], ['2, k, 2', [-0.0981013, 0.319391, 1.0]], ['2, k, 3', [-0.0880354, 0.452307, 1.0]], ['2, k, 4', [-0.25902, 0.205843, 1.0]], ['2, k, 5', [-0.339474, -0.0689752, 1.0]], ['2, k, 6', [-0.414042, -0.297844, 1.0]], ['2, k, 7', [-0.406836, -0.286679, 1.0]], ['2, k, 8', [0.0621486, 0.199521, 1.0]], ['2, k, 9', [0.134161, -0.0763346, 1.0]], ['2, k, 10', [0.204801, -0.307352, 1.0]], ['2, k, 11', [0.191825, -0.310243, 1.0]], ['2, k, 12', [-0.171295, -0.304745, 1.0]], ['2, k, 13', [-0.190625, -0.612163, 1.0]], ['2, k, 14', [-0.150487, -0.975364, 1.0]], ['2, k, 15', [-0.153125, -1.04885, 1.0]], ['2, k, 16', [-0.0245303, -0.307549, 1.0]], ['2, k, 17', [-0.0198288, -0.612992, 1.0]], ['2, k, 18', [-0.0462906, -0.965891, 1.0]], ['2, k, 19', [-0.043475, -1.04022, 1.0]], ['2, k, 20', [-0.0984637, 0.24284, 1.0]], ['2, k, 21', [-0.435775, -0.351373, 1.0]], ['2, k, 22', [-0.354188, -0.327199, 1.0]], ['2, k, 23', [0.205366, -0.375196, 1.0]], ['2, k, 24', [0.141007, -0.338107, 1.0]]]
[['2, k, 0', [-0.0994501, -0.310503, 1.0]], ['2, k, 1', [-0.098926, 0.00862052, 1.0]], ['2, k, 2', [-0.0981136, 0.319369, 1.0]], ['2, k, 3', [-0.0879701, 0.452021, 1.0]], ['2, k, 4', [-0.259019, 0.20583, 1.0]], ['2, k, 5', [-0.339625, -0.0690283, 1.0]], ['2, k, 6', [-0.414226, -0.297879, 1.0]], ['2, k, 7', [-0.406278, -0.285972, 1.0]], ['2, k, 8', [0.0620711, 0.199344, 1.0]], ['2, k, 9', [0.13412, -0.0763465, 1.0]], ['2, k, 10', [0.204766, -0.307334, 1.0]], ['2, k, 11', [0.191921, -0.309856, 1.0]], ['2, k, 12', [-0.171641, -0.30536, 1.0]], ['2, k, 13', [-0.190846, -0.613281, 1.0]], ['2, k, 14', [-0.151033, -0.974434, 1.0]], ['2, k, 15', [-0.153224, -1.04879, 1.0]], ['2, k, 16', [-0.024825, -0.307285, 1.0]], ['2, k, 17', [-0.0197479, -0.613114, 1.0]], ['2, k, 18', [-0.0464285, -0.965664, 1.0]], ['2, k, 19', [-0.0446501, -1.04052, 1.0]], ['2, k, 20', [-0.0984852, 0.242813, 1.0]], ['2, k, 21', [-0.428103, -0.353321, 1.0]], ['2, k, 22', [-0.355698, -0.327479, 1.0]], ['2, k, 23', [0.203249, -0.373945, 1.0]], ['2, k, 24', [0.141041, -0.337945, 1.0]]]
[['2, k, 0', [-0.0997465, -0.310599, 1.0]], ['2, k, 1', [-0.0991289, 0.00851012, 1.0]], ['2, k, 2', [-0.0982158, 0.319262, 1.0]], ['2, k, 3', [-0.0879815, 0.451951, 1.0]], ['2, k, 4', [-0.259083, 0.205577, 1.0]], ['2, k, 5', [-0.339898, -0.069104, 1.0]], ['2, k, 6', [-0.413848, -0.298198, 1.0]], ['2, k, 7', [-0.406472, -0.28695, 1.0]], ['2, k, 8', [0.0620179, 0.199309, 1.0]], ['2, k, 9', [0.134044, -0.0765094, 1.0]], ['2, k, 10', [0.204727, -0.307461, 1.0]], ['2, k, 11', [0.190878, -0.310259, 1.0]], ['2, k, 12', [-0.172, -0.305803, 1.0]], ['2, k, 13', [-0.190832, -0.613289, 1.0]], ['2, k, 14', [-0.150644, -0.973665, 1.0]], ['2, k, 15', [-0.153235, -1.04837, 1.0]], ['2, k, 16', [-0.0251932, -0.307103, 1.0]], ['2, k, 17', [-0.0198905, -0.612751, 1.0]], ['2, k, 18', [-0.046901, -0.966632, 1.0]], ['2, k, 19', [-0.0448304, -1.0408, 1.0]], ['2, k, 20', [-0.0986116, 0.242704, 1.0]], ['2, k, 21', [-0.432589, -0.352279, 1.0]], ['2, k, 22', [-0.355589, -0.327444, 1.0]], ['2, k, 23', [0.20171, -0.376152, 1.0]], ['2, k, 24', [0.14032, -0.339962, 1.0]]]
