[['2, k, 0', [-0.222212, -0.292971, 1.0]], ['2, k, 1', [-0.225537, 0.0171747, 1.0]], ['2, k, 2', [-0.227183, 0.318809, 1.0]], ['2, k, 3', [-0.229204, 0.438112, 1.0]], ['2, k, 4', [-0.419232, 0.224508, 1.0]], ['2, k, 5', [-0.584801, 0.0398981, 1.0]], ['2, k, 6', [-0.527887, -0.16151, 1.0]], ['2, k, 7', [-0.513449, -0.161499, 1.0]], ['2, k, 8', [-0.0445512, 0.242779, 1.0]], ['2, k, 9', [0.12285, 0.0820445, 1.0]], ['2, k, 10', [0.0738933, -0.133819, 1.0]], ['2, k, 11', [0.0507713, -0.140342, 1.0]], ['2, k, 12', [-0.304219, -0.2925, 1.0]], ['2, k, 13', [-0.351728, -0.688521, 1.0]], ['2, k, 14', [-0.371592, -1.06975, 1.0]], ['2, k, 15', [-0.393311, -1.13672, 1.0]], ['2, k, 16', [-0.133184, -0.284202, 1.0]], ['2, k, 17', [-0.0612245, -0.688752, 1.0]], ['2, k, 18', [-0.0340244, -1.08383, 1.0]], ['2, k, 19', [-0.019989, -1.13379, 1.0]], ['2, k, 20', [-0.227056, 0.24467, 1.0]], ['2, k, 21', [-0.485019, -0.227874, 1.0]], ['2, k, 22', [-0.577003, -0.156449, 1.0]], ['2, k, 23', [0.0140216, -0.206335, 1.0]], ['2, k, 24', [0.0927338, -0.123493, 1.0]]]
[['2, k, 0', [-0.222383, -0.293022, 1.0]], ['2, k, 1', [-0.225767, 0.0171208, 1.0]], ['2, k, 2', [-0.227673, 0.318707, 1.0]], ['2, k, 3', [-0.229443, 0.437844, 1.0]], ['2, k, 4', [-0.41925, 0.224531, 1.0]], ['2, k, 5', [-0.584835, 0.0399452, 1.0]], ['2, k, 6', [-0.528151, -0.161545, 1.0]], ['2, k, 7', [-0.480606, -0.201854, 1.0]], ['2, k, 8', [-0.044681, 0.242798, 1.0]], ['2, k, 9', [0.122793, 0.0820571, 1.0]], ['2, k, 10', [0.0736247, -0.133706, 1.0]], ['2, k, 11', [0.0547459, -0.133604, 1.0]], ['2, k, 12', [-0.30436, -0.292536, 1.0]], ['2, k, 13', [-0.351906, -0.688064, 1.0]], ['2, k, 14', [-0.371882, -1.06936, 1.0]], ['2, k, 15', [-0.393777, -1.13672, 1.0]], ['2, k, 16', [-0.133381, -0.284271, 1.0]], ['2, k, 17', [-0.061489, -0.687768, 1.0]], ['2, k, 18', [-0.0341932, -1.08359, 1.0]], ['2, k, 19', [-0.0200718, -1.13327, 1.0]], ['2, k, 20', [-0.227453, 0.244586, 1.0]], ['2, k, 21', [-0.464683, -0.243323, 1.0]], ['2, k, 22', [-0.506739, -0.211041, 1.0]], ['2, k, 23', [0.0227784, -0.195503, 1.0]], ['2, k, 24', [0.0184259, -0.111321, 1.0]]]
[['2, k, 0', [-0.222874, -0.293298, 1.0]], ['2, k, 1', [-0.226191, 0.0169001, 1.0]], ['2, k, 2', [-0.2282, 0.318445, 1.0]], ['2, k, 3', [-0.229716, 0.436734, 1.0]], ['2, k, 4', [-0.419289, 0.224525, 1.0]], ['2, k, 5', [-0.585099, 0.0404281, 1.0]], ['2, k, 6', [-0.528262, -0.161222, 1.0]], ['2, k, 7', [-0.481037, -0.197637, 1.0]], ['2, k, 8', [-0.0449648, 0.242807, 1.0]], ['2, k, 9', [0.122566, 0.0820926, 1.0]], ['2, k, 10', [0.0729272, -0.133373, 1.0]], ['2, k, 11', [0.0326239, -0.160351, 1.0]], ['2, k, 12', [-0.304753, -0.292775, 1.0]], ['2, k, 13', [-0.352723, -0.685546, 1.0]], ['2, k, 14', [-0.37169, -1.06794, 1.0]], ['2, k, 15', [-0.392095, -1.13762, 1.0]], ['2, k, 16', [-0.133962, -0.28457, 1.0]], ['2, k, 17', [-0.0620743, -0.684144, 1.0]], ['2, k, 18', [-0.0344262, -1.08171, 1.0]], ['2, k, 19', [-0.0193023, -1.13017, 1.0]], ['2, k, 20', [-0.227924, 0.24435, 1.0]], ['2, k, 21', [-0.462166, -0.241621, 1.0]], ['2, k, 22', [-0.503328, -0.215087, 1.0]], ['2, k, 23', [0.00992314, -0.239076, 1.0]], ['2, k, 24', [-0.00264415, -0.137578, 1.0]]]
[['2, k, 0', [-0.223591, -0.293552, 1.0]], ['2, k, 1', [-0.227386, 0.0285663, 1.0]], ['2, k, 2', [-0.228421, 0.357151, 1.0]], ['2, k, 3', [-0.22886, 0.464349, 1.0]], ['2, k, 4', [-0.419539, 0.22464, 1.0]], ['2, k, 5', [-0.585516, 0.0409641, 1.0]], ['2, k, 6', [-0.528607, -0.16075, 1.0]], ['2, k, 7', [-0.489849, -0.185166, 1.0]], ['2, k, 8', [-0.0450583, 0.242934, 1.0]], ['2, k, 9', [0.122366, 0.0821246, 1.0]], ['2, k, 10', [0.0723973, -0.133164, 1.0]], ['2, k, 11', [0.0296965, -0.164073, 1.0]], ['2, k, 12', [-0.305411, -0.292959, 1.0]], ['2, k, 13', [-0.353014, -0.684743, 1.0]], ['2, k, 14', [-0.371483, -1.06794, 1.0]], ['2, k, 15', [-0.392617, -1.13694, 1.0]], ['2, k, 16', [-0.13457, -0.284712, 1.0]], ['2, k, 17', [-0.0623173, -0.683866, 1.0]], ['2, k, 18', [-0.0343433, -1.08109, 1.0]], ['2, k, 19', [-0.0189844, -1.12998, 1.0]], ['2, k, 20', [-0.228638, 0.2784, 1.0]], ['2, k, 21', [-0.471814, -0.249327, 1.0]], ['2, k, 22', [-0.570929, -0.159189, 1.0]], ['2, k, 23', [-0.000511388, -0.25044, 1.0]], ['2, k, 24', [-0.00632245, -0.140889, 1.0]]]
[['2, k, 0', [-0.224418, -0.29407, 1.0]], ['2, k, 1', [-0.22747, 0.0297135, 1.0]], ['2, k, 2', [-0.228252, 0.356958, 1.0]], ['2, k, 3', [-0.228202, 0.460708, 1.0]], ['2, k, 4', [-0.419291, 0.224508, 1.0]], ['2, k, 5', [-0.584842, 0.0417242, 1.0]], ['2, k, 6', [-0.529237, -0.159924, 1.0]], ['2, k, 7', [-0.486175, -0.184476, 1.0]], ['2, k, 8', [-0.0450741, 0.243043, 1.0]], ['2, k, 9', [0.122393, 0.0821272, 1.0]], ['2, k, 10', [0.0723559, -0.132984, 1.0]], ['2, k, 11', [0.0288362, -0.167289, 1.0]], ['2, k, 12', [-0.306121, -0.293488, 1.0]], ['2, k, 13', [-0.353457, -0.683845, 1.0]], ['2, k, 14', [-0.372364, -1.06698, 1.0]], ['2, k, 15', [-0.393234, -1.13641, 1.0]], ['2, k, 16', [-0.135415, -0.285061, 1.0]], ['2, k, 17', [-0.0625229, -0.683191, 1.0]], ['2, k, 18', [-0.034213, -1.08068, 1.0]], ['2, k, 19', [-0.0189406, -1.12845, 1.0]], ['2, k, 20', [-0.228557, 0.278263, 1.0]], ['2, k, 21', [-0.46876, -0.24597, 1.0]], ['2, k, 22', [-0.446427, -0.157523, 1.0]], ['2, k, 23', [-0.00549621, -0.248813, 1.0]], ['2, k, 24', [-0.00415414, -0.139484, 1.0]]]
[['2, k, 0', [-0.224495, -0.294191, 1.0]], ['2, k, 1', [-0.226803, 0.0303465, 1.0]], ['2, k, 2', [-0.226704, 0.355527, 1.0]], ['2, k, 3', [-0.226562, 0.456674, 1.0]], ['2, k, 4', [-0.418457, 0.223973, 1.0]], ['2, k, 5', [-0.584625, 0.0417242, 1.0]], ['2, k, 6', [-0.529309, -0.159647, 1.0]], ['2, k, 7', [-0.486535, -0.182865, 1.0]], ['2, k, 8', [-0.0444931, 0.242591, 1.0]], ['2, k, 9', [0.122489, 0.0819697, 1.0]], ['2, k, 10', [0.0721441, -0.132988, 1.0]], ['2, k, 11', [0.0266319, -0.169748, 1.0]], ['2, k, 12', [-0.306215, -0.293563, 1.0]], ['2, k, 13', [-0.353616, -0.683667, 1.0]], ['2, k, 14', [-0.373046, -1.06546, 1.0]], ['2, k, 15', [-0.393539, -1.1358, 1.0]], ['2, k, 16', [-0.135423, -0.28517, 1.0]], ['2, k, 17', [-0.0626238, -0.682948, 1.0]], ['2, k, 18', [-0.0341604, -1.08055, 1.0]], ['2, k, 19', [-0.0187144, -1.12811, 1.0]], ['2, k, 20', [-0.227352, 0.277166, 1.0]], ['2, k, 21', [-0.462717, -0.25188, 1.0]], ['2, k, 22', [-0.448688, -0.156571, 1.0]], ['2, k, 23', [-0.00785487, -0.256174, 1.0]], ['2, k, 24', [-0.0111394, -0.142816, 1.0]]]
[['2, k, 0', [-0.224346, -0.294291, 1.0]], ['2, k, 1', [-0.225828, 0.030235, 1.0]], ['2, k, 2', [-0.223712, 0.351725, 1.0]], ['2, k, 3', [-0.222955, 0.447923, 1.0]], ['2, k, 4', [-0.417154, 0.223508, 1.0]], ['2, k, 5', [-0.583369, 0.0424146, 1.0]], ['2, k, 6', [-0.52959, -0.158658, 1.0]], ['2, k, 7', [-0.513691, -0.156804, 1.0]], ['2, k, 8', [-0.0435122, 0.241667, 1.0]], ['2, k, 9', [0.123226, 0.0814611, 1.0]], ['2, k, 10', [0.0721078, -0.13307, 1.0]], ['2, k, 11', [0.03045, -0.170948, 1.0]], ['2, k, 12', [-0.306099, -0.293544, 1.0]], ['2, k, 13', [-0.353642, -0.6833, 1.0]], ['2, k, 14', [-0.373262, -1.06498, 1.0]], ['2, k, 15', [-0.393511, -1.1352, 1.0]], ['2, k, 16', [-0.135222, -0.285358, 1.0]], ['2, k, 17', [-0.0625894, -0.683438, 1.0]], ['2, k, 18', [-0.0339015, -1.08079, 1.0]], ['2, k, 19', [-0.0184506, -1.12808, 1.0]], ['2, k, 20', [-0.224902, 0.274152, 1.0]], ['2, k, 21', [-0.476722, -0.229125, 1.0]], ['2, k, 22', [-0.453642, -0.205978, 1.0]], ['2, k, 23', [-0.00660869, -0.252735, 1.0]], ['2, k, 24', [-0.0047007, -0.140482, 1.0]]]
[['2, k, 0', [-0.223936, -0.294177, 1.0]], ['2, k, 1', [-0.224421, 0.0293435, 1.0]], ['2, k, 2', [-0.22009, 0.345396, 1.0]], ['2, k, 3', [-0.218774, 0.43946, 1.0]], ['2, k, 4', [-0.414199, 0.221989, 1.0]], ['2, k, 5', [-0.58194, 0.0426174, 1.0]], ['2, k, 6', [-0.529024, -0.157961, 1.0]], ['2, k, 7', [-0.510209, -0.157657, 1.0]], ['2, k, 8', [-0.0417367, 0.240082, 1.0]], ['2, k, 9', [0.12454, 0.0791874, 1.0]], ['2, k, 10', [0.0724298, -0.134697, 1.0]], ['2, k, 11', [0.0322455, -0.171983, 1.0]], ['2, k, 12', [-0.305684, -0.293408, 1.0]], ['2, k, 13', [-0.353432, -0.684272, 1.0]], ['2, k, 14', [-0.373439, -1.06529, 1.0]], ['2, k, 15', [-0.393429, -1.13506, 1.0]], ['2, k, 16', [-0.134823, -0.285257, 1.0]], ['2, k, 17', [-0.0618911, -0.685408, 1.0]], ['2, k, 18', [-0.033788, -1.08082, 1.0]], ['2, k, 19', [-0.0184268, -1.12817, 1.0]], ['2, k, 20', [-0.221734, 0.268971, 1.0]], ['2, k, 21', [-0.476064, -0.235049, 1.0]], ['2, k, 22', [-0.479149, -0.128868, 1.0]], ['2, k, 23', [-0.00264966, -0.251714, 1.0]], ['2, k, 24', [-0.00618565, -0.144617, 1.0]]]
[['2, k, 0', [-0.222149, -0.294668, 1.0]], ['2, k, 1', [-0.22265, 0.0276711, 1.0]], ['2, k, 2', [-0.21776, 0.339906, 1.0]], ['2, k, 3', [-0.21575, 0.431975, 1.0]], ['2, k, 4', [-0.40994, 0.218785, 1.0]], ['2, k, 5', [-0.58025, 0.0423228, 1.0]], ['2, k, 6', [-0.527027, -0.156391, 1.0]], ['2, k, 7', [-0.482424, -0.177997, 1.0]], ['2, k, 8', [-0.0396145, 0.237529, 1.0]], ['2, k, 9', [0.126456, 0.0770166, 1.0]], ['2, k, 10', [0.0739576, -0.136216, 1.0]], ['2, k, 11', [0.0332346, -0.176759, 1.0]], ['2, k, 12', [-0.303972, -0.293948, 1.0]], ['2, k, 13', [-0.352874, -0.6843, 1.0]], ['2, k, 14', [-0.373554, -1.06552, 1.0]], ['2, k, 15', [-0.393825, -1.13434, 1.0]], ['2, k, 16', [-0.133027, -0.285682, 1.0]], ['2, k, 17', [-0.0613599, -0.686879, 1.0]], ['2, k, 18', [-0.0334919, -1.08158, 1.0]], ['2, k, 19', [-0.018751, -1.12814, 1.0]], ['2, k, 20', [-0.219329, 0.264058, 1.0]], ['2, k, 21', [-0.467006, -0.239867, 1.0]], ['2, k, 22', [-0.442349, -0.150923, 1.0]], ['2, k, 23', [-0.00377735, -0.257799, 1.0]], ['2, k, 24', [-0.00111515, -0.147701, 1.0]]]
[['2, k, 0', [-0.220256, -0.296649, 1.0]], ['2, k, 1', [-0.220198, 0.0246944, 1.0]], ['2, k, 2', [-0.214316, 0.333962, 1.0]], ['2, k, 3', [-0.212654, 0.426318, 1.0]], ['2, k, 4', [-0.405505, 0.214822, 1.0]], ['2, k, 5', [-0.577302, 0.0399366, 1.0]], ['2, k, 6', [-0.525195, -0.15799, 1.0]], ['2, k, 7', [-0.481657, -0.178338, 1.0]], ['2, k, 8', [-0.03677, 0.233493, 1.0]], ['2, k, 9', [0.129097, 0.0737203, 1.0]], ['2, k, 10', [0.0751155, -0.138486, 1.0]], ['2, k, 11', [0.0332641, -0.179091, 1.0]], ['2, k, 12', [-0.30236, -0.295387, 1.0]], ['2, k, 13', [-0.352566, -0.685222, 1.0]], ['2, k, 14', [-0.373736, -1.06594, 1.0]], ['2, k, 15', [-0.394048, -1.13409, 1.0]], ['2, k, 16', [-0.1309, -0.288152, 1.0]], ['2, k, 17', [-0.0606026, -0.688704, 1.0]], ['2, k, 18', [-0.0327608, -1.08206, 1.0]], ['2, k, 19', [-0.0189901, -1.12831, 1.0]], ['2, k, 20', [-0.216042, 0.258525, 1.0]], ['2, k, 21', [-0.464637, -0.240221, 1.0]], ['2, k, 22', [-0.442951, -0.150771, 1.0]], ['2, k, 23', [-0.00146513, -0.257669, 1.0]], ['2, k, 24', [-0.00620503, -0.149534, 1.0]]]
[['2, k, 0', [-0.218347, -0.298964, 1.0]], ['2, k, 1', [-0.216759, 0.0198397, 1.0]], ['2, k, 2', [-0.209445, 0.325433, 1.0]], ['2, k, 3', [-0.208506, 0.413518, 1.0]], ['2, k, 4', [-0.39989, 0.20881, 1.0]], ['2, k, 5', [-0.572071, 0.0363981, 1.0]], ['2, k, 6', [-0.524131, -0.160833, 1.0]], ['2, k, 7', [-0.482246, -0.179164, 1.0]], ['2, k, 8', [-0.0329158, 0.227978, 1.0]], ['2, k, 9', [0.132576, 0.0690444, 1.0]], ['2, k, 10', [0.077117, -0.141631, 1.0]], ['2, k, 11', [0.0354256, -0.180924, 1.0]], ['2, k, 12', [-0.300757, -0.297194, 1.0]], ['2, k, 13', [-0.352515, -0.687848, 1.0]], ['2, k, 14', [-0.373333, -1.0678, 1.0]], ['2, k, 15', [-0.394002, -1.13408, 1.0]], ['2, k, 16', [-0.128745, -0.290944, 1.0]], ['2, k, 17', [-0.0576651, -0.691982, 1.0]], ['2, k, 18', [-0.0326352, -1.08233, 1.0]], ['2, k, 19', [-0.0191059, -1.12834, 1.0]], ['2, k, 20', [-0.211488, 0.250672, 1.0]], ['2, k, 21', [-0.474588, -0.232667, 1.0]], ['2, k, 22', [-0.443092, -0.151513, 1.0]], ['2, k, 23', [-0.000744553, -0.259051, 1.0]], ['2, k, 24', [-0.00350386, -0.150038, 1.0]]]
