[['2, k, 0', [-0.111291, -0.277864, 1.0]], ['2, k, 1', [-0.10993, 0.0493148, 1.0]], ['2, k, 2', [-0.107867, 0.367249, 1.0]], ['2, k, 3', [-0.139451, 0.508266, 1.0]], ['2, k, 4', [-0.302565, 0.268557, 1.0]], ['2, k, 5', [-0.377914, -0.0203185, 1.0]], ['2, k, 6', [-0.43668, -0.257554, 1.0]], ['2, k, 7', [-0.434089, -0.2965, 1.0]], ['2, k, 8', [0.0638027, 0.261716, 1.0]], ['2, k, 9', [0.163124, 0.0114435, 1.0]], ['2, k, 10', [0.191248, -0.236901, 1.0]], ['2, k, 11', [0.183321, -0.305328, 1.0]], ['2, k, 12', [-0.193192, -0.271875, 1.0]], ['2, k, 13', [-0.261528, -0.698736, 1.0]], ['2, k, 14', [-0.332775, -1.05597, 1.0]], ['2, k, 15', [-0.352783, -1.1084, 1.0]], ['2, k, 16', [-0.0258815, -0.275173, 1.0]], ['2, k, 17', [0.0618061, -0.62192, 1.0]], ['2, k, 18', [0.115265, -1.02061, 1.0]], ['2, k, 19', [0.136108, -1.09375, 1.0]], ['2, k, 20', [-0.108504, 0.289122, 1.0]], ['2, k, 21', [-0.427959, -0.352187, 1.0]], ['2, k, 22', [-0.366166, -0.319951, 1.0]], ['2, k, 23', [0.183756, -0.36204, 1.0]], ['2, k, 24', [0.12066, -0.325125, 1.0]]]
[['2, k, 0', [-0.111279, -0.27788, 1.0]], ['2, k, 1', [-0.109952, 0.0492895, 1.0]], ['2, k, 2', [-0.10797, 0.367189, 1.0]], ['2, k, 3', [-0.13942, 0.50822, 1.0]], ['2, k, 4', [-0.302666, 0.268535, 1.0]], ['2, k, 5', [-0.378115, -0.0195746, 1.0]], ['2, k, 6', [-0.43651, -0.25682, 1.0]], ['2, k, 7', [-0.43434, -0.297155, 1.0]], ['2, k, 8', [0.0637994, 0.261716, 1.0]], ['2, k, 9', [0.162904, 0.011107, 1.0]], ['2, k, 10', [0.191254, -0.23678, 1.0]], ['2, k, 11', [0.183379, -0.304266, 1.0]], ['2, k, 12', [-0.19318, -0.271894, 1.0]], ['2, k, 13', [-0.261414, -0.698103, 1.0]], ['2, k, 14', [-0.333561, -1.05543, 1.0]], ['2, k, 15', [-0.352805, -1.10835, 1.0]], ['2, k, 16', [-0.0258701, -0.275184, 1.0]], ['2, k, 17', [0.0617934, -0.62194, 1.0]], ['2, k, 18', [0.115158, -1.02079, 1.0]], ['2, k, 19', [0.136106, -1.09375, 1.0]], ['2, k, 20', [-0.10858, 0.289072, 1.0]], ['2, k, 21', [-0.427088, -0.351352, 1.0]], ['2, k, 22', [-0.366772, -0.31956, 1.0]], ['2, k, 23', [0.18302, -0.359811, 1.0]], ['2, k, 24', [0.142711, -0.308983, 1.0]]]
[['2, k, 0', [-0.111246, -0.277917, 1.0]], ['2, k, 1', [-0.109982, 0.0492034, 1.0]], ['2, k, 2', [-0.10813, 0.367005, 1.0]], ['2, k, 3', [-0.139274, 0.508015, 1.0]], ['2, k, 4', [-0.302774, 0.268407, 1.0]], ['2, k, 5', [-0.378069, -0.0193926, 1.0]], ['2, k, 6', [-0.436475, -0.256554, 1.0]], ['2, k, 7', [-0.434241, -0.297111, 1.0]], ['2, k, 8', [0.0637945, 0.261713, 1.0]], ['2, k, 9', [0.162775, 0.0111032, 1.0]], ['2, k, 10', [0.19126, -0.236723, 1.0]], ['2, k, 11', [0.182217, -0.304168, 1.0]], ['2, k, 12', [-0.193143, -0.271956, 1.0]], ['2, k, 13', [-0.261366, -0.698087, 1.0]], ['2, k, 14', [-0.334006, -1.05499, 1.0]], ['2, k, 15', [-0.352765, -1.10828, 1.0]], ['2, k, 16', [-0.0258417, -0.275203, 1.0]], ['2, k, 17', [0.0629692, -0.640337, 1.0]], ['2, k, 18', [0.11504, -1.02085, 1.0]], ['2, k, 19', [0.135957, -1.09405, 1.0]], ['2, k, 20', [-0.1087, 0.288917, 1.0]], ['2, k, 21', [-0.429156, -0.350956, 1.0]], ['2, k, 22', [-0.36613, -0.319726, 1.0]], ['2, k, 23', [0.182671, -0.359794, 1.0]], ['2, k, 24', [0.120688, -0.3252, 1.0]]]
[['2, k, 0', [-0.111371, -0.278233, 1.0]], ['2, k, 1', [-0.11024, 0.0489465, 1.0]], ['2, k, 2', [-0.108523, 0.366811, 1.0]], ['2, k, 3', [-0.139187, 0.507998, 1.0]], ['2, k, 4', [-0.302877, 0.268391, 1.0]], ['2, k, 5', [-0.378479, -0.0193035, 1.0]], ['2, k, 6', [-0.436605, -0.256515, 1.0]], ['2, k, 7', [-0.434761, -0.297635, 1.0]], ['2, k, 8', [0.0636576, 0.261791, 1.0]], ['2, k, 9', [0.162743, 0.0111258, 1.0]], ['2, k, 10', [0.191247, -0.23664, 1.0]], ['2, k, 11', [0.182597, -0.30435, 1.0]], ['2, k, 12', [-0.193281, -0.272321, 1.0]], ['2, k, 13', [-0.261397, -0.698105, 1.0]], ['2, k, 14', [-0.333987, -1.05499, 1.0]], ['2, k, 15', [-0.352737, -1.10825, 1.0]], ['2, k, 16', [-0.0259527, -0.275464, 1.0]], ['2, k, 17', [0.0631616, -0.642035, 1.0]], ['2, k, 18', [0.11484, -1.02227, 1.0]], ['2, k, 19', [0.135945, -1.09407, 1.0]], ['2, k, 20', [-0.10906, 0.288706, 1.0]], ['2, k, 21', [-0.431307, -0.351127, 1.0]], ['2, k, 22', [-0.366165, -0.319773, 1.0]], ['2, k, 23', [0.18367, -0.359485, 1.0]], ['2, k, 24', [0.120748, -0.325199, 1.0]]]
[['2, k, 0', [-0.111279, -0.278278, 1.0]], ['2, k, 1', [-0.110227, 0.0488031, 1.0]], ['2, k, 2', [-0.108603, 0.366497, 1.0]], ['2, k, 3', [-0.138749, 0.507412, 1.0]], ['2, k, 4', [-0.302898, 0.268327, 1.0]], ['2, k, 5', [-0.378622, -0.0192954, 1.0]], ['2, k, 6', [-0.436834, -0.256493, 1.0]], ['2, k, 7', [-0.434726, -0.297733, 1.0]], ['2, k, 8', [0.0635969, 0.261836, 1.0]], ['2, k, 9', [0.16271, 0.0111112, 1.0]], ['2, k, 10', [0.191225, -0.236586, 1.0]], ['2, k, 11', [0.18215, -0.304449, 1.0]], ['2, k, 12', [-0.193166, -0.272423, 1.0]], ['2, k, 13', [-0.261406, -0.697919, 1.0]], ['2, k, 14', [-0.333925, -1.05504, 1.0]], ['2, k, 15', [-0.352619, -1.1081, 1.0]], ['2, k, 16', [-0.0258834, -0.275473, 1.0]], ['2, k, 17', [0.0617555, -0.633126, 1.0]], ['2, k, 18', [0.114871, -1.02221, 1.0]], ['2, k, 19', [0.13603, -1.09393, 1.0]], ['2, k, 20', [-0.109112, 0.288443, 1.0]], ['2, k, 21', [-0.431521, -0.351299, 1.0]], ['2, k, 22', [-0.365449, -0.318818, 1.0]], ['2, k, 23', [0.184032, -0.361421, 1.0]], ['2, k, 24', [0.121099, -0.324292, 1.0]]]
[['2, k, 0', [-0.111235, -0.278914, 1.0]], ['2, k, 1', [-0.11044, 0.0484703, 1.0]], ['2, k, 2', [-0.109047, 0.366324, 1.0]], ['2, k, 3', [-0.138279, 0.507189, 1.0]], ['2, k, 4', [-0.303183, 0.268229, 1.0]], ['2, k, 5', [-0.378835, -0.0192965, 1.0]], ['2, k, 6', [-0.437487, -0.256364, 1.0]], ['2, k, 7', [-0.436031, -0.296444, 1.0]], ['2, k, 8', [0.0635751, 0.261892, 1.0]], ['2, k, 9', [0.162591, 0.0112016, 1.0]], ['2, k, 10', [0.191137, -0.236532, 1.0]], ['2, k, 11', [0.181494, -0.303959, 1.0]], ['2, k, 12', [-0.193141, -0.273153, 1.0]], ['2, k, 13', [-0.261359, -0.69802, 1.0]], ['2, k, 14', [-0.335322, -1.05503, 1.0]], ['2, k, 15', [-0.352608, -1.10843, 1.0]], ['2, k, 16', [-0.025825, -0.275998, 1.0]], ['2, k, 17', [0.0617245, -0.637091, 1.0]], ['2, k, 18', [0.114486, -1.02408, 1.0]], ['2, k, 19', [0.136005, -1.09393, 1.0]], ['2, k, 20', [-0.109487, 0.288236, 1.0]], ['2, k, 21', [-0.427935, -0.352184, 1.0]], ['2, k, 22', [-0.366183, -0.319922, 1.0]], ['2, k, 23', [0.18083, -0.361622, 1.0]], ['2, k, 24', [0.120688, -0.324181, 1.0]]]
[['2, k, 0', [-0.11128, -0.279042, 1.0]], ['2, k, 1', [-0.110566, 0.0483649, 1.0]], ['2, k, 2', [-0.109256, 0.366251, 1.0]], ['2, k, 3', [-0.137785, 0.507402, 1.0]], ['2, k, 4', [-0.303432, 0.268272, 1.0]], ['2, k, 5', [-0.379293, -0.0187342, 1.0]], ['2, k, 6', [-0.43826, -0.255671, 1.0]], ['2, k, 7', [-0.436943, -0.296753, 1.0]], ['2, k, 8', [0.0634953, 0.261965, 1.0]], ['2, k, 9', [0.162236, 0.0115574, 1.0]], ['2, k, 10', [0.191126, -0.236236, 1.0]], ['2, k, 11', [0.180598, -0.302957, 1.0]], ['2, k, 12', [-0.193181, -0.273257, 1.0]], ['2, k, 13', [-0.261824, -0.698556, 1.0]], ['2, k, 14', [-0.336119, -1.05547, 1.0]], ['2, k, 15', [-0.352869, -1.10884, 1.0]], ['2, k, 16', [-0.0258736, -0.276145, 1.0]], ['2, k, 17', [0.0608902, -0.628859, 1.0]], ['2, k, 18', [0.114448, -1.02406, 1.0]], ['2, k, 19', [0.13598, -1.09404, 1.0]], ['2, k, 20', [-0.109675, 0.288154, 1.0]], ['2, k, 21', [-0.429543, -0.352293, 1.0]], ['2, k, 22', [-0.365974, -0.31975, 1.0]], ['2, k, 23', [0.18423, -0.358226, 1.0]], ['2, k, 24', [0.122544, -0.3214, 1.0]]]
[['2, k, 0', [-0.111295, -0.279037, 1.0]], ['2, k, 1', [-0.110706, 0.0483685, 1.0]], ['2, k, 2', [-0.109612, 0.366273, 1.0]], ['2, k, 3', [-0.137162, 0.507581, 1.0]], ['2, k, 4', [-0.30373, 0.268398, 1.0]], ['2, k, 5', [-0.380484, -0.0183406, 1.0]], ['2, k, 6', [-0.439101, -0.255285, 1.0]], ['2, k, 7', [-0.434478, -0.301013, 1.0]], ['2, k, 8', [0.0633105, 0.262192, 1.0]], ['2, k, 9', [0.161938, 0.0121632, 1.0]], ['2, k, 10', [0.191057, -0.235944, 1.0]], ['2, k, 11', [0.180066, -0.303489, 1.0]], ['2, k, 12', [-0.193199, -0.27326, 1.0]], ['2, k, 13', [-0.261718, -0.698114, 1.0]], ['2, k, 14', [-0.336272, -1.05539, 1.0]], ['2, k, 15', [-0.352553, -1.10851, 1.0]], ['2, k, 16', [-0.0258843, -0.276131, 1.0]], ['2, k, 17', [0.0610505, -0.633887, 1.0]], ['2, k, 18', [0.11446, -1.02555, 1.0]], ['2, k, 19', [0.13609, -1.09397, 1.0]], ['2, k, 20', [-0.109973, 0.288169, 1.0]], ['2, k, 21', [-0.438388, -0.349822, 1.0]], ['2, k, 22', [-0.342066, -0.319252, 1.0]], ['2, k, 23', [0.180331, -0.358347, 1.0]], ['2, k, 24', [0.141554, -0.302562, 1.0]]]
[['2, k, 0', [-0.111442, -0.279046, 1.0]], ['2, k, 1', [-0.111056, 0.048462, 1.0]], ['2, k, 2', [-0.11042, 0.3666, 1.0]], ['2, k, 3', [-0.136674, 0.507988, 1.0]], ['2, k, 4', [-0.303972, 0.268465, 1.0]], ['2, k, 5', [-0.382915, -0.0169993, 1.0]], ['2, k, 6', [-0.440434, -0.254047, 1.0]], ['2, k, 7', [-0.434868, -0.300982, 1.0]], ['2, k, 8', [0.0629784, 0.262742, 1.0]], ['2, k, 9', [0.161669, 0.012874, 1.0]], ['2, k, 10', [0.19105, -0.235019, 1.0]], ['2, k, 11', [0.180545, -0.303085, 1.0]], ['2, k, 12', [-0.193362, -0.273346, 1.0]], ['2, k, 13', [-0.261913, -0.698013, 1.0]], ['2, k, 14', [-0.335773, -1.05571, 1.0]], ['2, k, 15', [-0.352561, -1.10851, 1.0]], ['2, k, 16', [-0.0260136, -0.276062, 1.0]], ['2, k, 17', [0.0608091, -0.636785, 1.0]], ['2, k, 18', [0.113792, -1.02501, 1.0]], ['2, k, 19', [0.13617, -1.09384, 1.0]], ['2, k, 20', [-0.11064, 0.288419, 1.0]], ['2, k, 21', [-0.438393, -0.348758, 1.0]], ['2, k, 22', [-0.339356, -0.317853, 1.0]], ['2, k, 23', [0.183064, -0.35727, 1.0]], ['2, k, 24', [0.120297, -0.322495, 1.0]]]
[['2, k, 0', [-0.11152, -0.278994, 1.0]], ['2, k, 1', [-0.11153, 0.0486128, 1.0]], ['2, k, 2', [-0.111544, 0.366926, 1.0]], ['2, k, 3', [-0.13583, 0.509024, 1.0]], ['2, k, 4', [-0.304889, 0.268985, 1.0]], ['2, k, 5', [-0.38655, -0.0146776, 1.0]], ['2, k, 6', [-0.44236, -0.25192, 1.0]], ['2, k, 7', [-0.436319, -0.299247, 1.0]], ['2, k, 8', [0.0627992, 0.262966, 1.0]], ['2, k, 9', [0.161666, 0.0131967, 1.0]], ['2, k, 10', [0.191019, -0.234742, 1.0]], ['2, k, 11', [0.181524, -0.30216, 1.0]], ['2, k, 12', [-0.193418, -0.273378, 1.0]], ['2, k, 13', [-0.261958, -0.697816, 1.0]], ['2, k, 14', [-0.33572, -1.05572, 1.0]], ['2, k, 15', [-0.352177, -1.10802, 1.0]], ['2, k, 16', [-0.0261315, -0.27584, 1.0]], ['2, k, 17', [0.0607361, -0.640813, 1.0]], ['2, k, 18', [0.114865, -1.02777, 1.0]], ['2, k, 19', [0.136, -1.09418, 1.0]], ['2, k, 20', [-0.111592, 0.288697, 1.0]], ['2, k, 21', [-0.439785, -0.346957, 1.0]], ['2, k, 22', [-0.344623, -0.316833, 1.0]], ['2, k, 23', [0.183161, -0.357421, 1.0]], ['2, k, 24', [0.122731, -0.319406, 1.0]]]
[['2, k, 0', [-0.111859, -0.278852, 1.0]], ['2, k, 1', [-0.112052, 0.0488885, 1.0]], ['2, k, 2', [-0.11216, 0.367349, 1.0]], ['2, k, 3', [-0.135251, 0.509814, 1.0]], ['2, k, 4', [-0.305535, 0.269291, 1.0]], ['2, k, 5', [-0.389196, -0.0135549, 1.0]], ['2, k, 6', [-0.44627, -0.249572, 1.0]], ['2, k, 7', [-0.436679, -0.29814, 1.0]], ['2, k, 8', [0.0624989, 0.263306, 1.0]], ['2, k, 9', [0.161584, 0.0144418, 1.0]], ['2, k, 10', [0.192155, -0.230798, 1.0]], ['2, k, 11', [0.1838, -0.295562, 1.0]], ['2, k, 12', [-0.193707, -0.273465, 1.0]], ['2, k, 13', [-0.262642, -0.697544, 1.0]], ['2, k, 14', [-0.336316, -1.05592, 1.0]], ['2, k, 15', [-0.352351, -1.10828, 1.0]], ['2, k, 16', [-0.0265335, -0.275404, 1.0]], ['2, k, 17', [0.060822, -0.643857, 1.0]], ['2, k, 18', [0.114612, -1.0279, 1.0]], ['2, k, 19', [0.136042, -1.09449, 1.0]], ['2, k, 20', [-0.112196, 0.289084, 1.0]], ['2, k, 21', [-0.431941, -0.34771, 1.0]], ['2, k, 22', [-0.34225, -0.314652, 1.0]], ['2, k, 23', [0.181229, -0.354136, 1.0]], ['2, k, 24', [0.123058, -0.315594, 1.0]]]
