[['2, k, 0', [0.194551, -1.30564, 1.0]], ['2, k, 1', [0.202477, -1.05251, 1.0]], ['2, k, 2', [0.209616, -0.800757, 1.0]], ['2, k, 3', [0.211064, -0.663326, 1.0]], ['2, k, 4', [0.0576839, -0.874392, 1.0]], ['2, k, 5', [-0.0345828, -0.990991, 1.0]], ['2, k, 6', [0.0699287, -0.935166, 1.0]], ['2, k, 7', [0.0944377, -0.91102, 1.0]], ['2, k, 8', [0.356678, -0.866431, 1.0]], ['2, k, 9', [0.472351, -0.973218, 1.0]], ['2, k, 10', [0.258955, -0.943925, 1.0]], ['2, k, 11', [0.178204, -0.994834, 1.0]], ['2, k, 12', [0.124643, -1.29442, 1.0]], ['2, k, 13', [0.157005, -1.01632, 1.0]], ['2, k, 14', [0.0826442, -1.29175, 1.0]], ['2, k, 15', [0.11377, -1.16504, 1.0]], ['2, k, 16', [0.260567, -1.29077, 1.0]], ['2, k, 17', [0.295425, -1.03107, 1.0]], ['2, k, 18', [0.223739, -1.29368, 1.0]], ['2, k, 19', [0.248657, -1.18164, 1.0]], ['2, k, 20', [0.207972, -0.863708, 1.0]], ['2, k, 21', [0.160708, -0.90892, 1.0]], ['2, k, 22', [0.098636, -0.901272, 1.0]], ['2, k, 23', [0.153883, -0.995868, 1.0]], ['2, k, 24', [0.157491, -0.991275, 1.0]]]
[['2, k, 0', [0.210907, -1.2696, 1.0]], ['2, k, 1', [0.211331, -1.03289, 1.0]], ['2, k, 2', [0.209477, -0.799576, 1.0]], ['2, k, 3', [0.210486, -0.661797, 1.0]], ['2, k, 4', [0.0576008, -0.87331, 1.0]], ['2, k, 5', [-0.0172419, -0.966772, 1.0]], ['2, k, 6', [0.0669454, -0.935111, 1.0]], ['2, k, 7', [-0.102731, -0.890229, 1.0]], ['2, k, 8', [0.357397, -0.866243, 1.0]], ['2, k, 9', [0.451619, -0.95171, 1.0]], ['2, k, 10', [0.450834, -0.917045, 1.0]], ['2, k, 11', [0.448445, -0.902148, 1.0]], ['2, k, 12', [0.141246, -1.25857, 1.0]], ['2, k, 13', [0.156843, -1.01551, 1.0]], ['2, k, 14', [0.140294, -1.24306, 1.0]], ['2, k, 15', [0.233521, -1.20117, 1.0]], ['2, k, 16', [0.276787, -1.25788, 1.0]], ['2, k, 17', [0.315847, -0.96484, 1.0]], ['2, k, 18', [0.226392, -1.18347, 1.0]], ['2, k, 19', [0.118042, -1.16113, 1.0]], ['2, k, 20', [0.208963, -0.860086, 1.0]], ['2, k, 21', [-0.145198, -0.887656, 1.0]], ['2, k, 22', [-0.132833, -0.863546, 1.0]], ['2, k, 23', [0.464739, -0.909285, 1.0]], ['2, k, 24', [0.486616, -0.890918, 1.0]]]
[['2, k, 0', [0.330984, -1.22479, 1.0]], ['2, k, 1', [0.271589, -1.0126, 1.0]], ['2, k, 2', [0.209633, -0.799171, 1.0]], ['2, k, 3', [0.210219, -0.660891, 1.0]], ['2, k, 4', [0.0575438, -0.872706, 1.0]], ['2, k, 5', [-0.0185407, -0.948691, 1.0]], ['2, k, 6', [-0.0530385, -0.921519, 1.0]], ['2, k, 7', [-0.122395, -0.882323, 1.0]], ['2, k, 8', [0.357435, -0.865711, 1.0]], ['2, k, 9', [0.416785, -0.908389, 1.0]], ['2, k, 10', [0.425976, -0.890102, 1.0]], ['2, k, 11', [0.441518, -0.896236, 1.0]], ['2, k, 12', [0.260348, -1.21566, 1.0]], ['2, k, 13', [0.1558, -1.0163, 1.0]], ['2, k, 14', [0.137885, -1.22505, 1.0]], ['2, k, 15', [0.235301, -1.19303, 1.0]], ['2, k, 16', [0.396002, -1.21315, 1.0]], ['2, k, 17', [0.315493, -0.96385, 1.0]], ['2, k, 18', [0.2255, -1.18323, 1.0]], ['2, k, 19', [0.117064, -1.16097, 1.0]], ['2, k, 20', [0.218218, -0.856478, 1.0]], ['2, k, 21', [-0.167293, -0.882211, 1.0]], ['2, k, 22', [-0.143692, -0.857171, 1.0]], ['2, k, 23', [0.467814, -0.896678, 1.0]], ['2, k, 24', [0.477946, -0.879813, 1.0]]]
[['2, k, 0', [0.21385, -1.21042, 1.0]], ['2, k, 1', [0.213935, -1.0062, 1.0]], ['2, k, 2', [0.210111, -0.799282, 1.0]], ['2, k, 3', [0.210201, -0.66626, 1.0]], ['2, k, 4', [0.0576333, -0.872134, 1.0]], ['2, k, 5', [-0.00826378, -0.909046, 1.0]], ['2, k, 6', [-0.0472782, -0.891152, 1.0]], ['2, k, 7', [-0.121795, -0.875488, 1.0]], ['2, k, 8', [0.357425, -0.865317, 1.0]], ['2, k, 9', [0.413744, -0.906122, 1.0]], ['2, k, 10', [0.421359, -0.889986, 1.0]], ['2, k, 11', [0.438229, -0.890275, 1.0]], ['2, k, 12', [0.144209, -1.20152, 1.0]], ['2, k, 13', [0.153662, -0.998633, 1.0]], ['2, k, 14', [0.124944, -1.19625, 1.0]], ['2, k, 15', [0.235461, -1.1951, 1.0]], ['2, k, 16', [0.279967, -1.19938, 1.0]], ['2, k, 17', [0.314319, -0.963351, 1.0]], ['2, k, 18', [0.24037, -1.18446, 1.0]], ['2, k, 19', [0.125541, -1.16292, 1.0]], ['2, k, 20', [0.217235, -0.855446, 1.0]], ['2, k, 21', [-0.160658, -0.879254, 1.0]], ['2, k, 22', [-0.153152, -0.850918, 1.0]], ['2, k, 23', [0.458234, -0.9006, 1.0]], ['2, k, 24', [0.47523, -0.880265, 1.0]]]
[['2, k, 0', [0.254919, -1.17867, 1.0]], ['2, k, 1', [0.224461, -0.996867, 1.0]], ['2, k, 2', [0.210391, -0.799091, 1.0]], ['2, k, 3', [0.210133, -0.672942, 1.0]], ['2, k, 4', [0.0576414, -0.871553, 1.0]], ['2, k, 5', [-0.0102368, -0.904059, 1.0]], ['2, k, 6', [-0.0501802, -0.888131, 1.0]], ['2, k, 7', [-0.126672, -0.869232, 1.0]], ['2, k, 8', [0.357282, -0.864874, 1.0]], ['2, k, 9', [0.407559, -0.900601, 1.0]], ['2, k, 10', [0.414374, -0.883113, 1.0]], ['2, k, 11', [0.423673, -0.884022, 1.0]], ['2, k, 12', [0.18924, -1.17056, 1.0]], ['2, k, 13', [0.138232, -0.966973, 1.0]], ['2, k, 14', [0.110132, -1.15781, 1.0]], ['2, k, 15', [0.214822, -1.18272, 1.0]], ['2, k, 16', [0.316495, -1.16781, 1.0]], ['2, k, 17', [0.314115, -0.946403, 1.0]], ['2, k, 18', [0.242889, -1.18377, 1.0]], ['2, k, 19', [0.132935, -1.16354, 1.0]], ['2, k, 20', [0.217298, -0.853531, 1.0]], ['2, k, 21', [-0.15111, -0.874396, 1.0]], ['2, k, 22', [-0.164497, -0.847725, 1.0]], ['2, k, 23', [0.436297, -0.889708, 1.0]], ['2, k, 24', [0.454427, -0.874484, 1.0]]]
[['2, k, 0', [0.253835, -1.17695, 1.0]], ['2, k, 1', [0.225522, -0.994408, 1.0]], ['2, k, 2', [0.210247, -0.799329, 1.0]], ['2, k, 3', [0.209847, -0.667134, 1.0]], ['2, k, 4', [0.057648, -0.871056, 1.0]], ['2, k, 5', [-0.0110393, -0.901483, 1.0]], ['2, k, 6', [-0.0658536, -0.885776, 1.0]], ['2, k, 7', [-0.131815, -0.863779, 1.0]], ['2, k, 8', [0.357148, -0.864559, 1.0]], ['2, k, 9', [0.40713, -0.898558, 1.0]], ['2, k, 10', [0.412516, -0.881016, 1.0]], ['2, k, 11', [0.425514, -0.878763, 1.0]], ['2, k, 12', [0.188763, -1.1691, 1.0]], ['2, k, 13', [0.146762, -0.950395, 1.0]], ['2, k, 14', [0.109873, -1.15038, 1.0]], ['2, k, 15', [0.212147, -1.18166, 1.0]], ['2, k, 16', [0.314304, -1.16592, 1.0]], ['2, k, 17', [0.274186, -0.946552, 1.0]], ['2, k, 18', [0.231066, -1.14001, 1.0]], ['2, k, 19', [0.130514, -1.1581, 1.0]], ['2, k, 20', [0.216992, -0.852946, 1.0]], ['2, k, 21', [-0.171528, -0.87445, 1.0]], ['2, k, 22', [-0.172092, -0.846486, 1.0]], ['2, k, 23', [0.445836, -0.886798, 1.0]], ['2, k, 24', [0.458226, -0.852859, 1.0]]]
[['2, k, 0', [0.215251, -1.17633, 1.0]], ['2, k, 1', [0.219733, -0.991172, 1.0]], ['2, k, 2', [0.210152, -0.799104, 1.0]], ['2, k, 3', [0.209999, -0.672491, 1.0]], ['2, k, 4', [0.0577313, -0.870549, 1.0]], ['2, k, 5', [-0.010888, -0.896524, 1.0]], ['2, k, 6', [-0.0501058, -0.880123, 1.0]], ['2, k, 7', [-0.135066, -0.859423, 1.0]], ['2, k, 8', [0.357071, -0.864244, 1.0]], ['2, k, 9', [0.39839, -0.900103, 1.0]], ['2, k, 10', [0.408004, -0.880827, 1.0]], ['2, k, 11', [0.424023, -0.875001, 1.0]], ['2, k, 12', [0.151795, -1.16846, 1.0]], ['2, k, 13', [0.150855, -0.973295, 1.0]], ['2, k, 14', [0.118332, -1.16476, 1.0]], ['2, k, 15', [0.219893, -1.18731, 1.0]], ['2, k, 16', [0.275419, -1.16626, 1.0]], ['2, k, 17', [0.287947, -0.976215, 1.0]], ['2, k, 18', [0.248238, -1.16185, 1.0]], ['2, k, 19', [0.145577, -1.16084, 1.0]], ['2, k, 20', [0.215382, -0.851208, 1.0]], ['2, k, 21', [-0.16924, -0.861699, 1.0]], ['2, k, 22', [-0.168691, -0.843858, 1.0]], ['2, k, 23', [0.439557, -0.875215, 1.0]], ['2, k, 24', [0.457883, -0.852218, 1.0]]]
[['2, k, 0', [0.159397, -1.13755, 1.0]], ['2, k, 1', [0.19107, -0.970448, 1.0]], ['2, k, 2', [0.210385, -0.798781, 1.0]], ['2, k, 3', [0.210017, -0.676572, 1.0]], ['2, k, 4', [0.0576428, -0.869987, 1.0]], ['2, k, 5', [-0.00959718, -0.892809, 1.0]], ['2, k, 6', [-0.0611061, -0.876335, 1.0]], ['2, k, 7', [-0.136625, -0.856223, 1.0]], ['2, k, 8', [0.356899, -0.86381, 1.0]], ['2, k, 9', [0.400443, -0.898603, 1.0]], ['2, k, 10', [0.407164, -0.879571, 1.0]], ['2, k, 11', [0.424807, -0.871979, 1.0]], ['2, k, 12', [0.0985808, -1.13002, 1.0]], ['2, k, 13', [0.184813, -0.936306, 1.0]], ['2, k, 14', [0.149828, -1.12131, 1.0]], ['2, k, 15', [0.187378, -1.18652, 1.0]], ['2, k, 16', [0.217781, -1.12773, 1.0]], ['2, k, 17', [0.324163, -0.946359, 1.0]], ['2, k, 18', [0.21849, -1.18099, 1.0]], ['2, k, 19', [0.11735, -1.16323, 1.0]], ['2, k, 20', [0.212901, -0.847809, 1.0]], ['2, k, 21', [-0.162726, -0.86449, 1.0]], ['2, k, 22', [-0.170997, -0.837163, 1.0]], ['2, k, 23', [0.434561, -0.881093, 1.0]], ['2, k, 24', [0.451218, -0.84617, 1.0]]]
[['2, k, 0', [0.214137, -1.15885, 1.0]], ['2, k, 1', [0.205147, -0.975194, 1.0]], ['2, k, 2', [0.210325, -0.798507, 1.0]], ['2, k, 3', [0.209893, -0.679864, 1.0]], ['2, k, 4', [0.0576676, -0.869402, 1.0]], ['2, k, 5', [-0.0139566, -0.892549, 1.0]], ['2, k, 6', [-0.0657852, -0.874841, 1.0]], ['2, k, 7', [-0.134837, -0.855667, 1.0]], ['2, k, 8', [0.35655, -0.863475, 1.0]], ['2, k, 9', [0.400518, -0.897289, 1.0]], ['2, k, 10', [0.404689, -0.877712, 1.0]], ['2, k, 11', [0.42403, -0.867362, 1.0]], ['2, k, 12', [0.154775, -1.1512, 1.0]], ['2, k, 13', [0.148825, -0.965587, 1.0]], ['2, k, 14', [0.116619, -1.1457, 1.0]], ['2, k, 15', [0.214646, -1.17156, 1.0]], ['2, k, 16', [0.27034, -1.14943, 1.0]], ['2, k, 17', [0.294397, -0.96917, 1.0]], ['2, k, 18', [0.217723, -1.18108, 1.0]], ['2, k, 19', [0.117554, -1.16329, 1.0]], ['2, k, 20', [0.212559, -0.846852, 1.0]], ['2, k, 21', [-0.171595, -0.853369, 1.0]], ['2, k, 22', [-0.169046, -0.835137, 1.0]], ['2, k, 23', [0.438047, -0.87124, 1.0]], ['2, k, 24', [0.455264, -0.843543, 1.0]]]
[['2, k, 0', [0.209436, -1.18062, 1.0]], ['2, k, 1', [0.207069, -0.984226, 1.0]], ['2, k, 2', [0.210324, -0.798437, 1.0]], ['2, k, 3', [0.209853, -0.682161, 1.0]], ['2, k, 4', [0.0575523, -0.869155, 1.0]], ['2, k, 5', [-0.0128357, -0.892872, 1.0]], ['2, k, 6', [-0.0637172, -0.874648, 1.0]], ['2, k, 7', [-0.135919, -0.854289, 1.0]], ['2, k, 8', [0.356295, -0.863215, 1.0]], ['2, k, 9', [0.400801, -0.895502, 1.0]], ['2, k, 10', [0.404463, -0.876436, 1.0]], ['2, k, 11', [0.423847, -0.864583, 1.0]], ['2, k, 12', [0.15117, -1.16432, 1.0]], ['2, k, 13', [0.150047, -0.979499, 1.0]], ['2, k, 14', [0.117223, -1.15599, 1.0]], ['2, k, 15', [0.215139, -1.17642, 1.0]], ['2, k, 16', [0.264587, -1.18201, 1.0]], ['2, k, 17', [0.290221, -0.996749, 1.0]], ['2, k, 18', [0.194325, -1.18351, 1.0]], ['2, k, 19', [0.117719, -1.16351, 1.0]], ['2, k, 20', [0.21236, -0.846903, 1.0]], ['2, k, 21', [-0.166563, -0.855832, 1.0]], ['2, k, 22', [-0.172651, -0.833704, 1.0]], ['2, k, 23', [0.43662, -0.872256, 1.0]], ['2, k, 24', [0.449824, -0.851134, 1.0]]]
[['2, k, 0', [0.224136, -1.13052, 1.0]], ['2, k, 1', [0.213413, -0.967561, 1.0]], ['2, k, 2', [0.209904, -0.793762, 1.0]], ['2, k, 3', [0.209831, -0.660492, 1.0]], ['2, k, 4', [0.0592179, -0.867692, 1.0]], ['2, k, 5', [-0.0152422, -0.88696, 1.0]], ['2, k, 6', [-0.0630288, -0.870632, 1.0]], ['2, k, 7', [-0.143404, -0.852955, 1.0]], ['2, k, 8', [0.356548, -0.863799, 1.0]], ['2, k, 9', [0.398001, -0.896023, 1.0]], ['2, k, 10', [0.402089, -0.878831, 1.0]], ['2, k, 11', [0.420473, -0.867547, 1.0]], ['2, k, 12', [0.166712, -1.12113, 1.0]], ['2, k, 13', [0.125853, -0.888203, 1.0]], ['2, k, 14', [0.11775, -1.22048, 1.0]], ['2, k, 15', [0.201884, -1.19332, 1.0]], ['2, k, 16', [0.277738, -1.12065, 1.0]], ['2, k, 17', [0.305225, -0.88655, 1.0]], ['2, k, 18', [0.221323, -1.11634, 1.0]], ['2, k, 19', [0.1992, -1.11756, 1.0]], ['2, k, 20', [0.211828, -0.838775, 1.0]], ['2, k, 21', [-0.18578, -0.855171, 1.0]], ['2, k, 22', [-0.188047, -0.83845, 1.0]], ['2, k, 23', [0.433377, -0.871459, 1.0]], ['2, k, 24', [0.458175, -0.843246, 1.0]]]
