[['2, k, 0', [0.0341117, -0.374492, 1.0]], ['2, k, 1', [0.0123335, -0.0688014, 1.0]], ['2, k, 2', [-0.00896193, 0.229575, 1.0]], ['2, k, 3', [-0.0236283, 0.380094, 1.0]], ['2, k, 4', [-0.155057, 0.135737, 1.0]], ['2, k, 5', [-0.258873, 0.0107838, 1.0]], ['2, k, 6', [-0.320923, -0.0209308, 1.0]], ['2, k, 7', [-0.324942, -0.019311, 1.0]], ['2, k, 8', [0.145081, 0.134985, 1.0]], ['2, k, 9', [0.273922, 0.0158663, 1.0]], ['2, k, 10', [0.365812, 0.0196013, 1.0]], ['2, k, 11', [0.357989, -0.00429315, 1.0]], ['2, k, 12', [-0.0348146, -0.369139, 1.0]], ['2, k, 13', [-0.0570803, -0.803969, 1.0]], ['2, k, 14', [-0.0595025, -1.14779, 1.0]], ['2, k, 15', [-0.0907593, -1.20996, 1.0]], ['2, k, 16', [0.102094, -0.369481, 1.0]], ['2, k, 17', [0.142601, -0.79797, 1.0]], ['2, k, 18', [0.142714, -1.16049, 1.0]], ['2, k, 19', [0.180786, -1.21094, 1.0]], ['2, k, 20', [-0.00370213, 0.155976, 1.0]], ['2, k, 21', [-0.33671, -0.0312927, 1.0]], ['2, k, 22', [-0.359127, -0.00846108, 1.0]], ['2, k, 23', [0.37258, -0.00843086, 1.0]], ['2, k, 24', [0.374587, 0.0122613, 1.0]]]
[['2, k, 0', [0.0340592, -0.374483, 1.0]], ['2, k, 1', [0.0123274, -0.0687987, 1.0]], ['2, k, 2', [-0.00891706, 0.229575, 1.0]], ['2, k, 3', [-0.0236337, 0.380056, 1.0]], ['2, k, 4', [-0.155051, 0.135679, 1.0]], ['2, k, 5', [-0.258998, 0.010817, 1.0]], ['2, k, 6', [-0.320832, -0.0210693, 1.0]], ['2, k, 7', [-0.325385, -0.0191358, 1.0]], ['2, k, 8', [0.145157, 0.134865, 1.0]], ['2, k, 9', [0.273921, 0.0158119, 1.0]], ['2, k, 10', [0.364438, -0.00448198, 1.0]], ['2, k, 11', [0.332586, -0.00289577, 1.0]], ['2, k, 12', [-0.0348972, -0.369117, 1.0]], ['2, k, 13', [-0.0573219, -0.801783, 1.0]], ['2, k, 14', [-0.0604816, -1.14822, 1.0]], ['2, k, 15', [-0.090388, -1.2097, 1.0]], ['2, k, 16', [0.102012, -0.369476, 1.0]], ['2, k, 17', [0.142602, -0.796693, 1.0]], ['2, k, 18', [0.141193, -1.14832, 1.0]], ['2, k, 19', [0.181831, -1.20448, 1.0]], ['2, k, 20', [-0.0036765, 0.155977, 1.0]], ['2, k, 21', [-0.341379, -0.0318631, 1.0]], ['2, k, 22', [-0.357283, -0.0119472, 1.0]], ['2, k, 23', [0.365403, -0.0146582, 1.0]], ['2, k, 24', [0.344313, 0.027893, 1.0]]]
[['2, k, 0', [0.034054, -0.374427, 1.0]], ['2, k, 1', [0.0123117, -0.0687985, 1.0]], ['2, k, 2', [-0.00899066, 0.22945, 1.0]], ['2, k, 3', [-0.0236245, 0.380061, 1.0]], ['2, k, 4', [-0.154968, 0.135411, 1.0]], ['2, k, 5', [-0.258856, 0.011061, 1.0]], ['2, k, 6', [-0.319785, -0.0209163, 1.0]], ['2, k, 7', [-0.32862, -0.0176977, 1.0]], ['2, k, 8', [0.145179, 0.134766, 1.0]], ['2, k, 9', [0.273997, 0.0157042, 1.0]], ['2, k, 10', [0.356555, -0.0117041, 1.0]], ['2, k, 11', [0.333007, -0.00238417, 1.0]], ['2, k, 12', [-0.0349022, -0.369053, 1.0]], ['2, k, 13', [-0.0572608, -0.802958, 1.0]], ['2, k, 14', [-0.0602374, -1.15013, 1.0]], ['2, k, 15', [-0.0900052, -1.21097, 1.0]], ['2, k, 16', [0.102008, -0.369417, 1.0]], ['2, k, 17', [0.142646, -0.796703, 1.0]], ['2, k, 18', [0.143283, -1.15191, 1.0]], ['2, k, 19', [0.182898, -1.20684, 1.0]], ['2, k, 20', [-0.00373132, 0.155898, 1.0]], ['2, k, 21', [-0.34292, -0.030197, 1.0]], ['2, k, 22', [-0.359924, -0.0102116, 1.0]], ['2, k, 23', [0.368323, -0.0116776, 1.0]], ['2, k, 24', [0.346169, 0.0279827, 1.0]]]
[['2, k, 0', [0.0340416, -0.374407, 1.0]], ['2, k, 1', [0.0122644, -0.0688278, 1.0]], ['2, k, 2', [-0.00915282, 0.22928, 1.0]], ['2, k, 3', [-0.0236153, 0.380038, 1.0]], ['2, k, 4', [-0.15487, 0.135014, 1.0]], ['2, k, 5', [-0.257397, 0.0109425, 1.0]], ['2, k, 6', [-0.319093, -0.0201254, 1.0]], ['2, k, 7', [-0.325732, -0.0191853, 1.0]], ['2, k, 8', [0.145352, 0.13416, 1.0]], ['2, k, 9', [0.27432, 0.0152112, 1.0]], ['2, k, 10', [0.293508, -0.0968572, 1.0]], ['2, k, 11', [0.332733, -0.00776556, 1.0]], ['2, k, 12', [-0.0349151, -0.369021, 1.0]], ['2, k, 13', [-0.0573701, -0.802737, 1.0]], ['2, k, 14', [-0.065133, -1.16022, 1.0]], ['2, k, 15', [-0.0894623, -1.21399, 1.0]], ['2, k, 16', [0.101998, -0.369409, 1.0]], ['2, k, 17', [0.14274, -0.796566, 1.0]], ['2, k, 18', [0.143597, -1.15217, 1.0]], ['2, k, 19', [0.184537, -1.2069, 1.0]], ['2, k, 20', [-0.00385899, 0.155772, 1.0]], ['2, k, 21', [-0.343641, -0.0299991, 1.0]], ['2, k, 22', [-0.357371, -0.0102532, 1.0]], ['2, k, 23', [0.376304, -0.00489035, 1.0]], ['2, k, 24', [0.324452, 0.0288889, 1.0]]]
[['2, k, 0', [0.0342025, -0.374428, 1.0]], ['2, k, 1', [0.012314, -0.0689579, 1.0]], ['2, k, 2', [-0.0091385, 0.228691, 1.0]], ['2, k, 3', [-0.0234379, 0.379215, 1.0]], ['2, k, 4', [-0.154852, 0.134666, 1.0]], ['2, k, 5', [-0.25679, 0.0099484, 1.0]], ['2, k, 6', [-0.318809, -0.0191572, 1.0]], ['2, k, 7', [-0.327046, -0.0208028, 1.0]], ['2, k, 8', [0.145567, 0.133517, 1.0]], ['2, k, 9', [0.274568, 0.0150694, 1.0]], ['2, k, 10', [0.351315, -0.0308016, 1.0]], ['2, k, 11', [0.33523, -0.00705583, 1.0]], ['2, k, 12', [-0.0347523, -0.369018, 1.0]], ['2, k, 13', [-0.0571875, -0.802101, 1.0]], ['2, k, 14', [-0.0666093, -1.16255, 1.0]], ['2, k, 15', [-0.0890456, -1.21374, 1.0]], ['2, k, 16', [0.102159, -0.36946, 1.0]], ['2, k, 17', [0.142857, -0.797315, 1.0]], ['2, k, 18', [0.143614, -1.15228, 1.0]], ['2, k, 19', [0.183165, -1.20657, 1.0]], ['2, k, 20', [-0.00382414, 0.155327, 1.0]], ['2, k, 21', [-0.35223, -0.0349274, 1.0]], ['2, k, 22', [-0.358031, -0.00758469, 1.0]], ['2, k, 23', [0.360442, -0.0124373, 1.0]], ['2, k, 24', [0.341051, 0.0226925, 1.0]]]
[['2, k, 0', [0.0343473, -0.374062, 1.0]], ['2, k, 1', [0.0123347, -0.069119, 1.0]], ['2, k, 2', [-0.0092318, 0.227159, 1.0]], ['2, k, 3', [-0.0229983, 0.377594, 1.0]], ['2, k, 4', [-0.154735, 0.13394, 1.0]], ['2, k, 5', [-0.256194, 0.00948224, 1.0]], ['2, k, 6', [-0.318254, -0.0190451, 1.0]], ['2, k, 7', [-0.326295, -0.0223698, 1.0]], ['2, k, 8', [0.145917, 0.132662, 1.0]], ['2, k, 9', [0.275737, 0.0137588, 1.0]], ['2, k, 10', [0.354144, -0.0238625, 1.0]], ['2, k, 11', [0.334138, -0.00745324, 1.0]], ['2, k, 12', [-0.0346041, -0.368646, 1.0]], ['2, k, 13', [-0.0576789, -0.798678, 1.0]], ['2, k, 14', [-0.0663825, -1.16129, 1.0]], ['2, k, 15', [-0.0893342, -1.21294, 1.0]], ['2, k, 16', [0.102303, -0.369121, 1.0]], ['2, k, 17', [0.143353, -0.798027, 1.0]], ['2, k, 18', [0.144456, -1.15461, 1.0]], ['2, k, 19', [0.184143, -1.21055, 1.0]], ['2, k, 20', [-0.00387076, 0.154249, 1.0]], ['2, k, 21', [-0.345411, -0.0348388, 1.0]], ['2, k, 22', [-0.354579, -0.0102502, 1.0]], ['2, k, 23', [0.368758, -0.0105448, 1.0]], ['2, k, 24', [0.342316, 0.0240542, 1.0]]]
[['2, k, 0', [0.0346005, -0.374239, 1.0]], ['2, k, 1', [0.0127956, -0.0701903, 1.0]], ['2, k, 2', [-0.00807799, 0.224173, 1.0]], ['2, k, 3', [-0.0222491, 0.373338, 1.0]], ['2, k, 4', [-0.154437, 0.132297, 1.0]], ['2, k, 5', [-0.255112, 0.00703857, 1.0]], ['2, k, 6', [-0.316266, -0.021012, 1.0]], ['2, k, 7', [-0.322236, -0.0264476, 1.0]], ['2, k, 8', [0.146067, 0.130772, 1.0]], ['2, k, 9', [0.276103, 0.0128438, 1.0]], ['2, k, 10', [0.354154, -0.0233859, 1.0]], ['2, k, 11', [0.333366, -0.0122355, 1.0]], ['2, k, 12', [-0.0343836, -0.368769, 1.0]], ['2, k, 13', [-0.0593365, -0.792529, 1.0]], ['2, k, 14', [-0.0664054, -1.16128, 1.0]], ['2, k, 15', [-0.0887275, -1.21164, 1.0]], ['2, k, 16', [0.10259, -0.369379, 1.0]], ['2, k, 17', [0.145131, -0.79739, 1.0]], ['2, k, 18', [0.144404, -1.15462, 1.0]], ['2, k, 19', [0.184445, -1.21044, 1.0]], ['2, k, 20', [-0.00292126, 0.151775, 1.0]], ['2, k, 21', [-0.345334, -0.032523, 1.0]], ['2, k, 22', [-0.351688, -0.0114092, 1.0]], ['2, k, 23', [0.367132, -0.0122537, 1.0]], ['2, k, 24', [0.342404, 0.0164574, 1.0]]]
[['2, k, 0', [0.034995, -0.374467, 1.0]], ['2, k, 1', [0.0131256, -0.0718643, 1.0]], ['2, k, 2', [-0.00786627, 0.220298, 1.0]], ['2, k, 3', [-0.0208398, 0.365558, 1.0]], ['2, k, 4', [-0.15408, 0.130762, 1.0]], ['2, k, 5', [-0.254518, 0.00288226, 1.0]], ['2, k, 6', [-0.314417, -0.0220522, 1.0]], ['2, k, 7', [-0.317173, -0.0285755, 1.0]], ['2, k, 8', [0.146345, 0.126909, 1.0]], ['2, k, 9', [0.276495, 0.0103052, 1.0]], ['2, k, 10', [0.353993, -0.0252767, 1.0]], ['2, k, 11', [0.333119, -0.0166453, 1.0]], ['2, k, 12', [-0.0340222, -0.368801, 1.0]], ['2, k, 13', [-0.0603084, -0.789823, 1.0]], ['2, k, 14', [-0.0664097, -1.15578, 1.0]], ['2, k, 15', [-0.0870283, -1.20412, 1.0]], ['2, k, 16', [0.103019, -0.369862, 1.0]], ['2, k, 17', [0.148342, -0.793662, 1.0]], ['2, k, 18', [0.143993, -1.15151, 1.0]], ['2, k, 19', [0.177611, -1.20133, 1.0]], ['2, k, 20', [-0.00266071, 0.148451, 1.0]], ['2, k, 21', [-0.346064, -0.0328982, 1.0]], ['2, k, 22', [-0.353266, -0.0153355, 1.0]], ['2, k, 23', [0.370899, -0.0112953, 1.0]], ['2, k, 24', [0.347966, 0.00825461, 1.0]]]
[['2, k, 0', [0.0367433, -0.378054, 1.0]], ['2, k, 1', [0.0146812, -0.0782168, 1.0]], ['2, k, 2', [-0.00667474, 0.211386, 1.0]], ['2, k, 3', [-0.0194275, 0.356617, 1.0]], ['2, k, 4', [-0.153908, 0.122301, 1.0]], ['2, k, 5', [-0.253299, -0.00349889, 1.0]], ['2, k, 6', [-0.304809, -0.0369147, 1.0]], ['2, k, 7', [-0.32612, -0.0342704, 1.0]], ['2, k, 8', [0.146529, 0.121854, 1.0]], ['2, k, 9', [0.276524, 0.00614662, 1.0]], ['2, k, 10', [0.354671, -0.069292, 1.0]], ['2, k, 11', [0.350681, -0.0332072, 1.0]], ['2, k, 12', [-0.0322463, -0.372653, 1.0]], ['2, k, 13', [-0.0605769, -0.790012, 1.0]], ['2, k, 14', [-0.0688623, -1.16446, 1.0]], ['2, k, 15', [-0.0868302, -1.20481, 1.0]], ['2, k, 16', [0.104702, -0.373113, 1.0]], ['2, k, 17', [0.150948, -0.796807, 1.0]], ['2, k, 18', [0.145702, -1.1556, 1.0]], ['2, k, 19', [0.184024, -1.20857, 1.0]], ['2, k, 20', [-0.00136074, 0.140095, 1.0]], ['2, k, 21', [-0.344957, -0.0350701, 1.0]], ['2, k, 22', [-0.35086, -0.0200346, 1.0]], ['2, k, 23', [0.349927, -0.035913, 1.0]], ['2, k, 24', [0.34684, -0.0319231, 1.0]]]
[['2, k, 0', [0.0363243, -0.381446, 1.0]], ['2, k, 1', [0.0139215, -0.0847922, 1.0]], ['2, k, 2', [-0.00791126, 0.20266, 1.0]], ['2, k, 3', [-0.0181897, 0.346729, 1.0]], ['2, k, 4', [-0.153494, 0.117858, 1.0]], ['2, k, 5', [-0.251474, -0.0102734, 1.0]], ['2, k, 6', [-0.31065, -0.0376991, 1.0]], ['2, k, 7', [-0.305768, -0.0291035, 1.0]], ['2, k, 8', [0.14738, 0.117077, 1.0]], ['2, k, 9', [0.277789, 0.00301086, 1.0]], ['2, k, 10', [0.35849, -0.0417451, 1.0]], ['2, k, 11', [0.329365, -0.0249838, 1.0]], ['2, k, 12', [-0.0324122, -0.379075, 1.0]], ['2, k, 13', [-0.0629899, -0.786308, 1.0]], ['2, k, 14', [-0.0685991, -1.16426, 1.0]], ['2, k, 15', [-0.0857041, -1.20272, 1.0]], ['2, k, 16', [0.104198, -0.374474, 1.0]], ['2, k, 17', [0.153752, -0.795514, 1.0]], ['2, k, 18', [0.144969, -1.1567, 1.0]], ['2, k, 19', [0.183598, -1.20874, 1.0]], ['2, k, 20', [-0.00249189, 0.131802, 1.0]], ['2, k, 21', [-0.345441, -0.0357658, 1.0]], ['2, k, 22', [-0.323725, 0.00296786, 1.0]], ['2, k, 23', [0.355723, -0.0333902, 1.0]], ['2, k, 24', [0.340173, -0.00798026, 1.0]]]
[['2, k, 0', [0.0359425, -0.388074, 1.0]], ['2, k, 1', [0.0146258, -0.0950185, 1.0]], ['2, k, 2', [-0.00571094, 0.18832, 1.0]], ['2, k, 3', [-0.016242, 0.332837, 1.0]], ['2, k, 4', [-0.151398, 0.10542, 1.0]], ['2, k, 5', [-0.248216, -0.0183903, 1.0]], ['2, k, 6', [-0.312372, -0.0619694, 1.0]], ['2, k, 7', [-0.293504, -0.0305568, 1.0]], ['2, k, 8', [0.150504, 0.107144, 1.0]], ['2, k, 9', [0.279032, -0.00216073, 1.0]], ['2, k, 10', [0.360259, -0.0419362, 1.0]], ['2, k, 11', [0.357, -0.0317028, 1.0]], ['2, k, 12', [-0.0326572, -0.386688, 1.0]], ['2, k, 13', [-0.0653016, -0.787231, 1.0]], ['2, k, 14', [-0.0693979, -1.16146, 1.0]], ['2, k, 15', [-0.0884903, -1.21124, 1.0]], ['2, k, 16', [0.103684, -0.379449, 1.0]], ['2, k, 17', [0.154941, -0.795522, 1.0]], ['2, k, 18', [0.144148, -1.1581, 1.0]], ['2, k, 19', [0.183402, -1.20934, 1.0]], ['2, k, 20', [-0.000728312, 0.11854, 1.0]], ['2, k, 21', [-0.344632, -0.0363234, 1.0]], ['2, k, 22', [-0.31666, -0.00636165, 1.0]], ['2, k, 23', [0.35932, -0.0368771, 1.0]], ['2, k, 24', [0.355869, -0.0282116, 1.0]]]
