[['2, k, 0', [-0.151124, -0.746975, 1.0]], ['2, k, 1', [-0.151244, -0.46381, 1.0]], ['2, k, 2', [-0.150854, -0.184225, 1.0]], ['2, k, 3', [-0.145485, -0.0520872, 1.0]], ['2, k, 4', [-0.295108, -0.275533, 1.0]], ['2, k, 5', [-0.318173, -0.50187, 1.0]], ['2, k, 6', [-0.271097, -0.418892, 1.0]], ['2, k, 7', [-0.24675, -0.352241, 1.0]], ['2, k, 8', [0.0271621, -0.287912, 1.0]], ['2, k, 9', [0.131012, -0.385953, 1.0]], ['2, k, 10', [-0.0586858, -0.372979, 1.0]], ['2, k, 11', [-0.121794, -0.369091, 1.0]], ['2, k, 12', [-0.222866, -0.736836, 1.0]], ['2, k, 13', [-0.339822, -1.0122, 1.0]], ['2, k, 14', [-0.227978, -1.28199, 1.0]], ['2, k, 15', [-0.22902, -1.13999, 1.0]], ['2, k, 16', [-0.0763993, -0.742291, 1.0]], ['2, k, 17', [0.0662088, -0.966768, 1.0]], ['2, k, 18', [-0.0366225, -1.2411, 1.0]], ['2, k, 19', [-0.0592461, -1.28231, 1.0]], ['2, k, 20', [-0.151046, -0.253718, 1.0]], ['2, k, 21', [-0.231784, -0.349751, 1.0]], ['2, k, 22', [-0.275072, -0.350606, 1.0]], ['2, k, 23', [-0.121421, -0.367958, 1.0]], ['2, k, 24', [-0.120933, -0.36648, 1.0]]]
[['2, k, 0', [-0.143163, -0.726562, 1.0]], ['2, k, 1', [-0.149052, -0.458756, 1.0]], ['2, k, 2', [-0.150756, -0.184409, 1.0]], ['2, k, 3', [-0.147369, -0.0506828, 1.0]], ['2, k, 4', [-0.294538, -0.276371, 1.0]], ['2, k, 5', [-0.319261, -0.502012, 1.0]], ['2, k, 6', [-0.405892, -0.439727, 1.0]], ['2, k, 7', [-0.48877, -0.349459, 1.0]], ['2, k, 8', [0.0270338, -0.289246, 1.0]], ['2, k, 9', [0.132648, -0.387426, 1.0]], ['2, k, 10', [-0.0132777, -0.377084, 1.0]], ['2, k, 11', [-0.124771, -0.361138, 1.0]], ['2, k, 12', [-0.215565, -0.717928, 1.0]], ['2, k, 13', [-0.300637, -1.02368, 1.0]], ['2, k, 14', [-0.0653114, -1.19681, 1.0]], ['2, k, 15', [-0.171988, -1.13677, 1.0]], ['2, k, 16', [-0.0667124, -0.717869, 1.0]], ['2, k, 17', [-0.0961229, -1.03838, 1.0]], ['2, k, 18', [0.18227, -0.895492, 1.0]], ['2, k, 19', [0.0635074, -0.917137, 1.0]], ['2, k, 20', [-0.150727, -0.253345, 1.0]], ['2, k, 21', [-0.532744, -0.356274, 1.0]], ['2, k, 22', [-0.533702, -0.337687, 1.0]], ['2, k, 23', [-0.19514, -0.360769, 1.0]], ['2, k, 24', [-0.142774, -0.351423, 1.0]]]
[['2, k, 0', [-0.14154, -0.729946, 1.0]], ['2, k, 1', [-0.148079, -0.457894, 1.0]], ['2, k, 2', [-0.15081, -0.184332, 1.0]], ['2, k, 3', [-0.148022, -0.0499426, 1.0]], ['2, k, 4', [-0.295799, -0.282495, 1.0]], ['2, k, 5', [-0.350336, -0.43525, 1.0]], ['2, k, 6', [-0.438208, -0.384517, 1.0]], ['2, k, 7', [-0.490355, -0.356437, 1.0]], ['2, k, 8', [0.0252393, -0.28986, 1.0]], ['2, k, 9', [0.0225146, -0.352048, 1.0]], ['2, k, 10', [-0.145617, -0.358363, 1.0]], ['2, k, 11', [-0.179236, -0.369218, 1.0]], ['2, k, 12', [-0.213583, -0.721755, 1.0]], ['2, k, 13', [-0.305341, -1.03431, 1.0]], ['2, k, 14', [-0.406854, -1.33252, 1.0]], ['2, k, 15', [-0.360665, -1.20211, 1.0]], ['2, k, 16', [-0.0663511, -0.721846, 1.0]], ['2, k, 17', [-0.00643858, -1.04316, 1.0]], ['2, k, 18', [0.218924, -1.24873, 1.0]], ['2, k, 19', [0.14212, -1.13929, 1.0]], ['2, k, 20', [-0.150667, -0.253024, 1.0]], ['2, k, 21', [-0.540971, -0.364581, 1.0]], ['2, k, 22', [-0.52408, -0.335272, 1.0]], ['2, k, 23', [-0.238301, -0.365618, 1.0]], ['2, k, 24', [-0.207824, -0.358797, 1.0]]]
[['2, k, 0', [-0.141518, -0.729867, 1.0]], ['2, k, 1', [-0.147231, -0.458391, 1.0]], ['2, k, 2', [-0.149787, -0.186768, 1.0]], ['2, k, 3', [-0.147386, -0.0503437, 1.0]], ['2, k, 4', [-0.297643, -0.28722, 1.0]], ['2, k, 5', [-0.429297, -0.368566, 1.0]], ['2, k, 6', [-0.462661, -0.377386, 1.0]], ['2, k, 7', [-0.488878, -0.364834, 1.0]], ['2, k, 8', [0.0257507, -0.293392, 1.0]], ['2, k, 9', [0.128943, -0.387774, 1.0]], ['2, k, 10', [-0.0390128, -0.386734, 1.0]], ['2, k, 11', [-0.0948778, -0.386819, 1.0]], ['2, k, 12', [-0.213495, -0.721621, 1.0]], ['2, k, 13', [-0.312271, -1.03565, 1.0]], ['2, k, 14', [-0.394251, -1.34402, 1.0]], ['2, k, 15', [-0.352884, -1.21015, 1.0]], ['2, k, 16', [-0.0664559, -0.722126, 1.0]], ['2, k, 17', [-0.00563895, -1.04696, 1.0]], ['2, k, 18', [0.147578, -1.32352, 1.0]], ['2, k, 19', [0.096137, -1.19469, 1.0]], ['2, k, 20', [-0.149593, -0.254757, 1.0]], ['2, k, 21', [-0.521586, -0.378745, 1.0]], ['2, k, 22', [-0.527348, -0.347685, 1.0]], ['2, k, 23', [-0.154214, -0.383228, 1.0]], ['2, k, 24', [-0.12412, -0.376416, 1.0]]]
[['2, k, 0', [-0.141483, -0.730046, 1.0]], ['2, k, 1', [-0.147245, -0.458933, 1.0]], ['2, k, 2', [-0.150606, -0.188457, 1.0]], ['2, k, 3', [-0.148326, -0.0529028, 1.0]], ['2, k, 4', [-0.297925, -0.290328, 1.0]], ['2, k, 5', [-0.428738, -0.367014, 1.0]], ['2, k, 6', [-0.409968, -0.377038, 1.0]], ['2, k, 7', [-0.489907, -0.372986, 1.0]], ['2, k, 8', [0.0250351, -0.293931, 1.0]], ['2, k, 9', [0.124047, -0.3927, 1.0]], ['2, k, 10', [-0.0483862, -0.389491, 1.0]], ['2, k, 11', [-0.105747, -0.388855, 1.0]], ['2, k, 12', [-0.213409, -0.722035, 1.0]], ['2, k, 13', [-0.315123, -1.03684, 1.0]], ['2, k, 14', [-0.386878, -1.34998, 1.0]], ['2, k, 15', [-0.335789, -1.22145, 1.0]], ['2, k, 16', [-0.0664806, -0.722323, 1.0]], ['2, k, 17', [-0.00494022, -1.04895, 1.0]], ['2, k, 18', [0.148477, -1.32751, 1.0]], ['2, k, 19', [0.0963173, -1.19795, 1.0]], ['2, k, 20', [-0.150098, -0.256031, 1.0]], ['2, k, 21', [-0.507433, -0.386113, 1.0]], ['2, k, 22', [-0.52584, -0.357337, 1.0]], ['2, k, 23', [-0.165052, -0.38527, 1.0]], ['2, k, 24', [-0.134922, -0.378467, 1.0]]]
[['2, k, 0', [-0.142252, -0.730998, 1.0]], ['2, k, 1', [-0.146903, -0.45951, 1.0]], ['2, k, 2', [-0.148845, -0.189659, 1.0]], ['2, k, 3', [-0.148126, -0.0552139, 1.0]], ['2, k, 4', [-0.301913, -0.295568, 1.0]], ['2, k, 5', [-0.430328, -0.36806, 1.0]], ['2, k, 6', [-0.476979, -0.367106, 1.0]], ['2, k, 7', [-0.490709, -0.383356, 1.0]], ['2, k, 8', [0.0247533, -0.298303, 1.0]], ['2, k, 9', [0.118662, -0.407245, 1.0]], ['2, k, 10', [0.128065, -0.406782, 1.0]], ['2, k, 11', [0.152936, -0.403608, 1.0]], ['2, k, 12', [-0.214219, -0.723077, 1.0]], ['2, k, 13', [-0.322995, -1.03816, 1.0]], ['2, k, 14', [-0.370603, -1.35819, 1.0]], ['2, k, 15', [-0.32088, -1.21935, 1.0]], ['2, k, 16', [-0.0677553, -0.724115, 1.0]], ['2, k, 17', [-0.00212796, -1.05209, 1.0]], ['2, k, 18', [0.0631096, -1.36338, 1.0]], ['2, k, 19', [0.0378119, -1.21956, 1.0]], ['2, k, 20', [-0.148722, -0.257005, 1.0]], ['2, k, 21', [-0.51744, -0.393533, 1.0]], ['2, k, 22', [-0.528649, -0.371623, 1.0]], ['2, k, 23', [0.148616, -0.412866, 1.0]], ['2, k, 24', [0.0691858, -0.403864, 1.0]]]
[['2, k, 0', [-0.141982, -0.731342, 1.0]], ['2, k, 1', [-0.146043, -0.460681, 1.0]], ['2, k, 2', [-0.147419, -0.193003, 1.0]], ['2, k, 3', [-0.149353, -0.0596244, 1.0]], ['2, k, 4', [-0.30175, -0.300964, 1.0]], ['2, k, 5', [-0.429876, -0.373602, 1.0]], ['2, k, 6', [-0.473336, -0.381416, 1.0]], ['2, k, 7', [-0.489534, -0.392644, 1.0]], ['2, k, 8', [0.0242465, -0.302736, 1.0]], ['2, k, 9', [0.115319, -0.421062, 1.0]], ['2, k, 10', [0.144481, -0.426753, 1.0]], ['2, k, 11', [0.150754, -0.419315, 1.0]], ['2, k, 12', [-0.213981, -0.723415, 1.0]], ['2, k, 13', [-0.30055, -1.04341, 1.0]], ['2, k, 14', [-0.362388, -1.3495, 1.0]], ['2, k, 15', [-0.312899, -1.20934, 1.0]], ['2, k, 16', [-0.0672969, -0.724725, 1.0]], ['2, k, 17', [0.00137839, -1.04903, 1.0]], ['2, k, 18', [0.0282602, -1.28971, 1.0]], ['2, k, 19', [0.0141319, -1.157, 1.0]], ['2, k, 20', [-0.147354, -0.259661, 1.0]], ['2, k, 21', [-0.502818, -0.406539, 1.0]], ['2, k, 22', [-0.53095, -0.389435, 1.0]], ['2, k, 23', [0.103901, -0.422805, 1.0]], ['2, k, 24', [0.0609355, -0.415309, 1.0]]]
[['2, k, 0', [-0.141387, -0.734688, 1.0]], ['2, k, 1', [-0.146673, -0.463904, 1.0]], ['2, k, 2', [-0.151799, -0.198565, 1.0]], ['2, k, 3', [-0.149574, -0.063251, 1.0]], ['2, k, 4', [-0.303595, -0.307829, 1.0]], ['2, k, 5', [-0.43201, -0.378804, 1.0]], ['2, k, 6', [-0.475777, -0.379146, 1.0]], ['2, k, 7', [-0.490495, -0.400152, 1.0]], ['2, k, 8', [0.0242781, -0.302675, 1.0]], ['2, k, 9', [0.115789, -0.418956, 1.0]], ['2, k, 10', [0.0758014, -0.427905, 1.0]], ['2, k, 11', [0.11825, -0.433302, 1.0]], ['2, k, 12', [-0.213195, -0.728826, 1.0]], ['2, k, 13', [-0.295047, -1.06049, 1.0]], ['2, k, 14', [-0.325725, -1.34125, 1.0]], ['2, k, 15', [-0.309082, -1.20801, 1.0]], ['2, k, 16', [-0.0667982, -0.726752, 1.0]], ['2, k, 17', [0.00744887, -1.03626, 1.0]], ['2, k, 18', [0.031585, -1.27972, 1.0]], ['2, k, 19', [0.015422, -1.14967, 1.0]], ['2, k, 20', [-0.150441, -0.264593, 1.0]], ['2, k, 21', [-0.528719, -0.413095, 1.0]], ['2, k, 22', [-0.533359, -0.391294, 1.0]], ['2, k, 23', [0.169023, -0.438828, 1.0]], ['2, k, 24', [0.0392834, -0.430534, 1.0]]]
[['2, k, 0', [-0.140337, -0.740608, 1.0]], ['2, k, 1', [-0.145355, -0.467561, 1.0]], ['2, k, 2', [-0.149794, -0.200818, 1.0]], ['2, k, 3', [-0.150278, -0.0667211, 1.0]], ['2, k, 4', [-0.30559, -0.315348, 1.0]], ['2, k, 5', [-0.431337, -0.382368, 1.0]], ['2, k, 6', [-0.471552, -0.397707, 1.0]], ['2, k, 7', [-0.487298, -0.413136, 1.0]], ['2, k, 8', [0.0219818, -0.310373, 1.0]], ['2, k, 9', [0.118988, -0.421446, 1.0]], ['2, k, 10', [0.165252, -0.417507, 1.0]], ['2, k, 11', [0.170596, -0.446669, 1.0]], ['2, k, 12', [-0.212148, -0.735309, 1.0]], ['2, k, 13', [-0.295099, -1.06015, 1.0]], ['2, k, 14', [-0.323908, -1.34482, 1.0]], ['2, k, 15', [-0.291973, -1.21223, 1.0]], ['2, k, 16', [-0.0658127, -0.731802, 1.0]], ['2, k, 17', [0.0107175, -1.04381, 1.0]], ['2, k, 18', [0.0319384, -1.27859, 1.0]], ['2, k, 19', [0.0556372, -1.37278, 1.0]], ['2, k, 20', [-0.148665, -0.267187, 1.0]], ['2, k, 21', [-0.502056, -0.423509, 1.0]], ['2, k, 22', [-0.528962, -0.402825, 1.0]], ['2, k, 23', [0.180111, -0.45562, 1.0]], ['2, k, 24', [0.111751, -0.445936, 1.0]]]
[['2, k, 0', [-0.13723, -0.750411, 1.0]], ['2, k, 1', [-0.142748, -0.473402, 1.0]], ['2, k, 2', [-0.14736, -0.203685, 1.0]], ['2, k, 3', [-0.149695, -0.0699721, 1.0]], ['2, k, 4', [-0.304986, -0.320715, 1.0]], ['2, k, 5', [-0.409837, -0.392214, 1.0]], ['2, k, 6', [-0.460575, -0.393953, 1.0]], ['2, k, 7', [-0.494306, -0.419697, 1.0]], ['2, k, 8', [0.0219484, -0.314584, 1.0]], ['2, k, 9', [0.122229, -0.418319, 1.0]], ['2, k, 10', [0.121172, -0.44305, 1.0]], ['2, k, 11', [0.137482, -0.460891, 1.0]], ['2, k, 12', [-0.209725, -0.743212, 1.0]], ['2, k, 13', [-0.296149, -1.05762, 1.0]], ['2, k, 14', [-0.314649, -1.34877, 1.0]], ['2, k, 15', [-0.289216, -1.21171, 1.0]], ['2, k, 16', [-0.0620791, -0.743157, 1.0]], ['2, k, 17', [0.0145607, -1.04266, 1.0]], ['2, k, 18', [0.031796, -1.27894, 1.0]], ['2, k, 19', [0.0535133, -1.37112, 1.0]], ['2, k, 20', [-0.14628, -0.270612, 1.0]], ['2, k, 21', [-0.526954, -0.433352, 1.0]], ['2, k, 22', [-0.533671, -0.411665, 1.0]], ['2, k, 23', [0.0827822, -0.467368, 1.0]], ['2, k, 24', [0.0488049, -0.456464, 1.0]]]
[['2, k, 0', [-0.135596, -0.757775, 1.0]], ['2, k, 1', [-0.144322, -0.480831, 1.0]], ['2, k, 2', [-0.154277, -0.212501, 1.0]], ['2, k, 3', [-0.15023, -0.0773359, 1.0]], ['2, k, 4', [-0.305662, -0.328421, 1.0]], ['2, k, 5', [-0.426979, -0.403164, 1.0]], ['2, k, 6', [-0.464965, -0.428477, 1.0]], ['2, k, 7', [-0.484347, -0.433949, 1.0]], ['2, k, 8', [0.0198758, -0.323479, 1.0]], ['2, k, 9', [0.143739, -0.426064, 1.0]], ['2, k, 10', [0.167715, -0.448893, 1.0]], ['2, k, 11', [0.17014, -0.476508, 1.0]], ['2, k, 12', [-0.208474, -0.751581, 1.0]], ['2, k, 13', [-0.295859, -1.05916, 1.0]], ['2, k, 14', [-0.315194, -1.34156, 1.0]], ['2, k, 15', [-0.288428, -1.20615, 1.0]], ['2, k, 16', [-0.0601879, -0.74939, 1.0]], ['2, k, 17', [0.0194746, -1.03881, 1.0]], ['2, k, 18', [0.0346468, -1.31895, 1.0]], ['2, k, 19', [0.0544914, -1.40699, 1.0]], ['2, k, 20', [-0.151534, -0.279128, 1.0]], ['2, k, 21', [-0.493186, -0.445204, 1.0]], ['2, k, 22', [-0.532014, -0.417567, 1.0]], ['2, k, 23', [0.188718, -0.483951, 1.0]], ['2, k, 24', [0.109743, -0.473836, 1.0]]]
