[['2, k, 0', [0.0521031, -0.406939, 1.0]], ['2, k, 1', [0.040366, -0.116361, 1.0]], ['2, k, 2', [0.028681, 0.169289, 1.0]], ['2, k, 3', [0.0333167, 0.291913, 1.0]], ['2, k, 4', [-0.0923246, 0.102748, 1.0]], ['2, k, 5', [-0.187573, 0.0770122, 1.0]], ['2, k, 6', [-0.241024, 0.067765, 1.0]], ['2, k, 7', [-0.274859, 0.0379773, 1.0]], ['2, k, 8', [0.153376, 0.100638, 1.0]], ['2, k, 9', [0.147189, -0.166932, 1.0]], ['2, k, 10', [0.221661, -0.069204, 1.0]], ['2, k, 11', [0.255221, -0.0908361, 1.0]], ['2, k, 12', [-0.00427451, -0.402151, 1.0]], ['2, k, 13', [-0.0722565, -0.795613, 1.0]], ['2, k, 14', [-0.0235569, -1.13196, 1.0]], ['2, k, 15', [-0.0492915, -1.20957, 1.0]], ['2, k, 16', [0.107376, -0.403103, 1.0]], ['2, k, 17', [0.1293, -0.752092, 1.0]], ['2, k, 18', [0.171916, -1.19589, 1.0]], ['2, k, 19', [0.177499, -1.23778, 1.0]], ['2, k, 20', [0.0316012, 0.0985619, 1.0]], ['2, k, 21', [-0.289321, -0.00408126, 1.0]], ['2, k, 22', [-0.312301, 0.0367613, 1.0]], ['2, k, 23', [0.254351, -0.0905265, 1.0]], ['2, k, 24', [0.253216, -0.0901226, 1.0]]]
[['2, k, 0', [0.0253422, -0.366623, 1.0]], ['2, k, 1', [0.0315752, -0.102505, 1.0]], ['2, k, 2', [0.0286144, 0.169392, 1.0]], ['2, k, 3', [0.0331793, 0.291776, 1.0]], ['2, k, 4', [-0.0926198, 0.102982, 1.0]], ['2, k, 5', [-0.182711, 0.126663, 1.0]], ['2, k, 6', [-0.237777, 0.120058, 1.0]], ['2, k, 7', [-0.274665, 0.109755, 1.0]], ['2, k, 8', [0.152875, 0.102534, 1.0]], ['2, k, 9', [0.14477, -0.175047, 1.0]], ['2, k, 10', [0.211556, -0.0227324, 1.0]], ['2, k, 11', [0.249086, -0.0275041, 1.0]], ['2, k, 12', [-0.0306919, -0.363811, 1.0]], ['2, k, 13', [-0.0686695, -0.756758, 1.0]], ['2, k, 14', [-0.0447122, -1.15603, 1.0]], ['2, k, 15', [-0.0685533, -1.22902, 1.0]], ['2, k, 16', [0.0808509, -0.361827, 1.0]], ['2, k, 17', [0.137511, -0.810525, 1.0]], ['2, k, 18', [0.172534, -1.18781, 1.0]], ['2, k, 19', [0.126609, -1.24126, 1.0]], ['2, k, 20', [0.0308712, 0.0998582, 1.0]], ['2, k, 21', [-0.284644, 0.0738181, 1.0]], ['2, k, 22', [-0.310361, 0.095619, 1.0]], ['2, k, 23', [0.248263, -0.0274132, 1.0]], ['2, k, 24', [0.247189, -0.0272946, 1.0]]]
[['2, k, 0', [0.0288544, -0.372024, 1.0]], ['2, k, 1', [0.0315003, -0.102961, 1.0]], ['2, k, 2', [0.0286727, 0.169048, 1.0]], ['2, k, 3', [0.0330733, 0.291697, 1.0]], ['2, k, 4', [-0.0888458, 0.0973955, 1.0]], ['2, k, 5', [-0.184255, 0.132423, 1.0]], ['2, k, 6', [-0.244399, 0.163002, 1.0]], ['2, k, 7', [-0.269271, 0.178331, 1.0]], ['2, k, 8', [0.152197, 0.0979243, 1.0]], ['2, k, 9', [0.239359, 0.150849, 1.0]], ['2, k, 10', [0.283088, 0.191258, 1.0]], ['2, k, 11', [0.324139, 0.202496, 1.0]], ['2, k, 12', [-0.0273074, -0.368431, 1.0]], ['2, k, 13', [-0.0639874, -0.849208, 1.0]], ['2, k, 14', [-0.0533777, -1.22612, 1.0]], ['2, k, 15', [-0.106119, -1.27204, 1.0]], ['2, k, 16', [0.0844309, -0.368005, 1.0]], ['2, k, 17', [0.13426, -0.81603, 1.0]], ['2, k, 18', [0.168896, -1.19842, 1.0]], ['2, k, 19', [0.141276, -1.246, 1.0]], ['2, k, 20', [0.0307871, 0.0997947, 1.0]], ['2, k, 21', [-0.27832, 0.1489, 1.0]], ['2, k, 22', [-0.303459, 0.180475, 1.0]], ['2, k, 23', [0.330212, 0.176876, 1.0]], ['2, k, 24', [0.364096, 0.201284, 1.0]]]
[['2, k, 0', [0.0304008, -0.371991, 1.0]], ['2, k, 1', [0.0324364, -0.10233, 1.0]], ['2, k, 2', [0.030085, 0.168609, 1.0]], ['2, k, 3', [0.0326919, 0.292011, 1.0]], ['2, k, 4', [-0.0887736, 0.0973836, 1.0]], ['2, k, 5', [-0.189656, 0.163648, 1.0]], ['2, k, 6', [-0.182772, 0.21138, 1.0]], ['2, k, 7', [-0.258145, 0.240698, 1.0]], ['2, k, 8', [0.152203, 0.0979329, 1.0]], ['2, k, 9', [0.237581, 0.173755, 1.0]], ['2, k, 10', [0.280876, 0.242004, 1.0]], ['2, k, 11', [0.321142, 0.262335, 1.0]], ['2, k, 12', [-0.0258185, -0.368416, 1.0]], ['2, k, 13', [-0.0615861, -0.823098, 1.0]], ['2, k, 14', [-0.049362, -1.22424, 1.0]], ['2, k, 15', [-0.0537417, -1.2695, 1.0]], ['2, k, 16', [0.0859876, -0.367967, 1.0]], ['2, k, 17', [0.140245, -0.858763, 1.0]], ['2, k, 18', [0.154417, -1.21663, 1.0]], ['2, k, 19', [0.136304, -1.25599, 1.0]], ['2, k, 20', [0.0313657, 0.0998772, 1.0]], ['2, k, 21', [-0.273099, 0.220688, 1.0]], ['2, k, 22', [-0.26502, 0.259895, 1.0]], ['2, k, 23', [0.342155, 0.234679, 1.0]], ['2, k, 24', [0.353754, 0.264723, 1.0]]]
[['2, k, 0', [0.0325238, -0.37403, 1.0]], ['2, k, 1', [0.0336077, -0.102968, 1.0]], ['2, k, 2', [0.0320128, 0.167468, 1.0]], ['2, k, 3', [0.0327788, 0.291506, 1.0]], ['2, k, 4', [-0.0861125, 0.090315, 1.0]], ['2, k, 5', [-0.187981, 0.175245, 1.0]], ['2, k, 6', [-0.212816, 0.271847, 1.0]], ['2, k, 7', [-0.251575, 0.307874, 1.0]], ['2, k, 8', [0.152281, 0.0973753, 1.0]], ['2, k, 9', [0.240903, 0.202129, 1.0]], ['2, k, 10', [0.301346, 0.263742, 1.0]], ['2, k, 11', [0.316861, 0.325847, 1.0]], ['2, k, 12', [-0.0230636, -0.3718, 1.0]], ['2, k, 13', [-0.0602722, -0.833001, 1.0]], ['2, k, 14', [-0.0523812, -1.21636, 1.0]], ['2, k, 15', [-0.0820313, -1.26855, 1.0]], ['2, k, 16', [0.0875374, -0.368949, 1.0]], ['2, k, 17', [0.12734, -0.818678, 1.0]], ['2, k, 18', [0.156286, -1.2145, 1.0]], ['2, k, 19', [0.138461, -1.25901, 1.0]], ['2, k, 20', [0.0324395, 0.0994346, 1.0]], ['2, k, 21', [-0.266181, 0.306612, 1.0]], ['2, k, 22', [-0.285907, 0.314397, 1.0]], ['2, k, 23', [0.343769, 0.307974, 1.0]], ['2, k, 24', [0.354257, 0.311491, 1.0]]]
[['2, k, 0', [0.0332383, -0.372953, 1.0]], ['2, k, 1', [0.0341556, -0.102391, 1.0]], ['2, k, 2', [0.0326654, 0.167136, 1.0]], ['2, k, 3', [0.0327752, 0.291588, 1.0]], ['2, k, 4', [-0.0858724, 0.0921091, 1.0]], ['2, k, 5', [-0.183861, 0.210104, 1.0]], ['2, k, 6', [-0.22061, 0.316279, 1.0]], ['2, k, 7', [-0.245696, 0.356203, 1.0]], ['2, k, 8', [0.152424, 0.0985367, 1.0]], ['2, k, 9', [0.243901, 0.234776, 1.0]], ['2, k, 10', [0.288718, 0.338525, 1.0]], ['2, k, 11', [0.31126, 0.376454, 1.0]], ['2, k, 12', [-0.0222793, -0.370623, 1.0]], ['2, k, 13', [-0.0584689, -0.834492, 1.0]], ['2, k, 14', [-0.0560156, -1.21803, 1.0]], ['2, k, 15', [0.0195497, -1.27905, 1.0]], ['2, k, 16', [0.0881457, -0.367926, 1.0]], ['2, k, 17', [0.1318, -0.854587, 1.0]], ['2, k, 18', [0.155785, -1.21504, 1.0]], ['2, k, 19', [0.138997, -1.26162, 1.0]], ['2, k, 20', [0.0328911, 0.0994164, 1.0]], ['2, k, 21', [-0.268139, 0.366682, 1.0]], ['2, k, 22', [-0.282307, 0.353307, 1.0]], ['2, k, 23', [0.339549, 0.375639, 1.0]], ['2, k, 24', [0.345934, 0.369616, 1.0]]]
[['2, k, 0', [0.0332527, -0.372933, 1.0]], ['2, k, 1', [0.034172, -0.103624, 1.0]], ['2, k, 2', [0.0333418, 0.162956, 1.0]], ['2, k, 3', [0.032073, 0.290459, 1.0]], ['2, k, 4', [-0.0853676, 0.0908891, 1.0]], ['2, k, 5', [-0.181356, 0.223532, 1.0]], ['2, k, 6', [-0.216794, 0.350123, 1.0]], ['2, k, 7', [-0.240686, 0.402719, 1.0]], ['2, k, 8', [0.150399, 0.0980367, 1.0]], ['2, k, 9', [0.244664, 0.259768, 1.0]], ['2, k, 10', [0.285442, 0.385879, 1.0]], ['2, k, 11', [0.300546, 0.415893, 1.0]], ['2, k, 12', [-0.0222464, -0.370695, 1.0]], ['2, k, 13', [-0.0582392, -0.825583, 1.0]], ['2, k, 14', [-0.0874096, -1.23593, 1.0]], ['2, k, 15', [-0.103504, -1.28097, 1.0]], ['2, k, 16', [0.088063, -0.367518, 1.0]], ['2, k, 17', [0.131879, -0.857323, 1.0]], ['2, k, 18', [0.151328, -1.21611, 1.0]], ['2, k, 19', [0.161735, -1.26127, 1.0]], ['2, k, 20', [0.0333968, 0.0964889, 1.0]], ['2, k, 21', [-0.253824, 0.426725, 1.0]], ['2, k, 22', [-0.27547, 0.404622, 1.0]], ['2, k, 23', [0.324539, 0.44007, 1.0]], ['2, k, 24', [0.326998, 0.412224, 1.0]]]
[['2, k, 0', [0.0337277, -0.372193, 1.0]], ['2, k, 1', [0.0345491, -0.103725, 1.0]], ['2, k, 2', [0.0337965, 0.162151, 1.0]], ['2, k, 3', [0.0317739, 0.29036, 1.0]], ['2, k, 4', [-0.0871396, 0.094556, 1.0]], ['2, k, 5', [-0.175236, 0.255072, 1.0]], ['2, k, 6', [-0.216336, 0.401482, 1.0]], ['2, k, 7', [-0.236186, 0.445691, 1.0]], ['2, k, 8', [0.150361, 0.0992576, 1.0]], ['2, k, 9', [0.243411, 0.279879, 1.0]], ['2, k, 10', [0.283482, 0.417996, 1.0]], ['2, k, 11', [0.29828, 0.45517, 1.0]], ['2, k, 12', [-0.0218514, -0.370022, 1.0]], ['2, k, 13', [-0.0587545, -0.82351, 1.0]], ['2, k, 14', [-0.0713021, -1.20672, 1.0]], ['2, k, 15', [-0.0622825, -1.26711, 1.0]], ['2, k, 16', [0.0885298, -0.366929, 1.0]], ['2, k, 17', [0.131988, -0.857456, 1.0]], ['2, k, 18', [0.15852, -1.21378, 1.0]], ['2, k, 19', [0.101916, -1.25824, 1.0]], ['2, k, 20', [0.0338695, 0.0958694, 1.0]], ['2, k, 21', [-0.258493, 0.467156, 1.0]], ['2, k, 22', [-0.257012, 0.434692, 1.0]], ['2, k, 23', [0.31621, 0.48581, 1.0]], ['2, k, 24', [0.327519, 0.45752, 1.0]]]
[['2, k, 0', [0.0353559, -0.384153, 1.0]], ['2, k, 1', [0.0343088, -0.105257, 1.0]], ['2, k, 2', [0.0331519, 0.162997, 1.0]], ['2, k, 3', [0.0308732, 0.290205, 1.0]], ['2, k, 4', [-0.0738094, 0.0804858, 1.0]], ['2, k, 5', [-0.169449, 0.270149, 1.0]], ['2, k, 6', [-0.213826, 0.425643, 1.0]], ['2, k, 7', [-0.23328, 0.485695, 1.0]], ['2, k, 8', [0.146057, 0.0962106, 1.0]], ['2, k, 9', [0.23371, 0.290869, 1.0]], ['2, k, 10', [0.2831, 0.437448, 1.0]], ['2, k, 11', [0.299505, 0.494959, 1.0]], ['2, k, 12', [-0.0195631, -0.384857, 1.0]], ['2, k, 13', [-0.0605268, -0.771577, 1.0]], ['2, k, 14', [-0.0769243, -1.16969, 1.0]], ['2, k, 15', [-0.0664869, -1.22924, 1.0]], ['2, k, 16', [0.0896002, -0.375978, 1.0]], ['2, k, 17', [0.126245, -0.756727, 1.0]], ['2, k, 18', [0.138827, -1.13033, 1.0]], ['2, k, 19', [0.142894, -1.17687, 1.0]], ['2, k, 20', [0.0335118, 0.0961496, 1.0]], ['2, k, 21', [-0.249822, 0.515039, 1.0]], ['2, k, 22', [-0.265218, 0.486846, 1.0]], ['2, k, 23', [0.314928, 0.52728, 1.0]], ['2, k, 24', [0.330024, 0.498884, 1.0]]]
[['2, k, 0', [0.0355826, -0.383945, 1.0]], ['2, k, 1', [0.0342633, -0.105074, 1.0]], ['2, k, 2', [0.0326585, 0.164362, 1.0]], ['2, k, 3', [0.0308506, 0.29005, 1.0]], ['2, k, 4', [-0.073919, 0.0837083, 1.0]], ['2, k, 5', [-0.173251, 0.287091, 1.0]], ['2, k, 6', [-0.212164, 0.4684, 1.0]], ['2, k, 7', [-0.230095, 0.519198, 1.0]], ['2, k, 8', [0.146042, 0.0955094, 1.0]], ['2, k, 9', [0.230525, 0.29905, 1.0]], ['2, k, 10', [0.280261, 0.458332, 1.0]], ['2, k, 11', [0.299239, 0.525435, 1.0]], ['2, k, 12', [-0.0186367, -0.382335, 1.0]], ['2, k, 13', [-0.0605109, -0.771541, 1.0]], ['2, k, 14', [-0.0615211, -1.16146, 1.0]], ['2, k, 15', [-0.0893307, -1.2353, 1.0]], ['2, k, 16', [0.0896345, -0.37659, 1.0]], ['2, k, 17', [0.12581, -0.76467, 1.0]], ['2, k, 18', [0.142916, -1.14046, 1.0]], ['2, k, 19', [0.168105, -1.22595, 1.0]], ['2, k, 20', [0.0331745, 0.0971448, 1.0]], ['2, k, 21', [-0.238085, 0.552706, 1.0]], ['2, k, 22', [-0.260988, 0.517709, 1.0]], ['2, k, 23', [0.321148, 0.557562, 1.0]], ['2, k, 24', [0.330312, 0.534642, 1.0]]]
[['2, k, 0', [0.0359933, -0.383552, 1.0]], ['2, k, 1', [0.0341977, -0.104762, 1.0]], ['2, k, 2', [0.0320529, 0.165477, 1.0]], ['2, k, 3', [0.0303596, 0.290268, 1.0]], ['2, k, 4', [-0.085195, 0.0949692, 1.0]], ['2, k, 5', [-0.167367, 0.302579, 1.0]], ['2, k, 6', [-0.213621, 0.518987, 1.0]], ['2, k, 7', [-0.225128, 0.541774, 1.0]], ['2, k, 8', [0.145961, 0.0953891, 1.0]], ['2, k, 9', [0.223505, 0.303005, 1.0]], ['2, k, 10', [0.279703, 0.485077, 1.0]], ['2, k, 11', [0.296582, 0.549652, 1.0]], ['2, k, 12', [-0.017428, -0.380419, 1.0]], ['2, k, 13', [-0.0606153, -0.769857, 1.0]], ['2, k, 14', [-0.0628553, -1.15324, 1.0]], ['2, k, 15', [-0.0854535, -1.23534, 1.0]], ['2, k, 16', [0.0896618, -0.376814, 1.0]], ['2, k, 17', [0.125588, -0.764964, 1.0]], ['2, k, 18', [0.140128, -1.14368, 1.0]], ['2, k, 19', [0.163258, -1.23003, 1.0]], ['2, k, 20', [0.0327067, 0.0981125, 1.0]], ['2, k, 21', [-0.240865, 0.580413, 1.0]], ['2, k, 22', [-0.258784, 0.551899, 1.0]], ['2, k, 23', [0.314465, 0.5926, 1.0]], ['2, k, 24', [0.328001, 0.557078, 1.0]]]
