[['2, k, 0', [0.04409565, 0.01674226, 1.0]], ['2, k, 1', [0.04101397, 0.326719, 1.0]], ['2, k, 2', [0.03935456, 0.6229622, 1.0]], ['2, k, 3', [0.02466569, 0.7471285, 1.0]], ['2, k, 4', [-0.1195526, 0.5024073, 1.0]], ['2, k, 5', [-0.1653536, 0.2558371, 1.0]], ['2, k, 6', [-0.1454548, 0.03538229, 1.0]], ['2, k, 7', [-0.1270538, -0.03674633, 1.0]], ['2, k, 8', [0.2001964, 0.5343179, 1.0]], ['2, k, 9', [0.2570538, 0.2863731, 1.0]], ['2, k, 10', [0.2824628, 0.07812571, 1.0]], ['2, k, 11', [0.2854923, 0.03542393, 1.0]], ['2, k, 12', [-0.0296881, 0.01401929, 1.0]], ['2, k, 13', [-0.05098213, -0.3772196, 1.0]], ['2, k, 14', [-0.05435352, -0.6965316, 1.0]], ['2, k, 15', [-0.07179352, -0.7534164, 1.0]], ['2, k, 16', [0.1162384, 0.01878793, 1.0]], ['2, k, 17', [0.1432752, -0.3894989, 1.0]], ['2, k, 18', [0.1928835, -0.6866869, 1.0]], ['2, k, 19', [0.2546402, -0.728295, 1.0]], ['2, k, 20', [0.03948135, 0.5508431, 1.0]], ['2, k, 21', [-0.1075574, -0.1086827, 1.0]], ['2, k, 22', [-0.1440589, -0.05375248, 1.0]], ['2, k, 23', [0.2953777, -0.04417173, 1.0]], ['2, k, 24', [0.3079942, 0.01318682, 1.0]]]
[['2, k, 0', [0.04542546, 0.01695517, 1.0]], ['2, k, 1', [0.04199253, 0.3268584, 1.0]], ['2, k, 2', [0.03998203, 0.6231102, 1.0]], ['2, k, 3', [0.02540108, 0.7474955, 1.0]], ['2, k, 4', [-0.1185659, 0.5026219, 1.0]], ['2, k, 5', [-0.1627596, 0.2557598, 1.0]], ['2, k, 6', [-0.1431742, 0.03148934, 1.0]], ['2, k, 7', [-0.1277267, -0.03954571, 1.0]], ['2, k, 8', [0.2016913, 0.5347393, 1.0]], ['2, k, 9', [0.2567337, 0.2864041, 1.0]], ['2, k, 10', [0.2822458, 0.07823579, 1.0]], ['2, k, 11', [0.2859618, 0.03553039, 1.0]], ['2, k, 12', [-0.02829196, 0.01417852, 1.0]], ['2, k, 13', [-0.05034346, -0.3761778, 1.0]], ['2, k, 14', [-0.05319503, -0.6964831, 1.0]], ['2, k, 15', [-0.0714728, -0.7533632, 1.0]], ['2, k, 16', [0.1174717, 0.01905109, 1.0]], ['2, k, 17', [0.1433044, -0.3896185, 1.0]], ['2, k, 18', [0.1926583, -0.6866629, 1.0]], ['2, k, 19', [0.2545129, -0.72834, 1.0]], ['2, k, 20', [0.04022332, 0.5509853, 1.0]], ['2, k, 21', [-0.1105773, -0.1093081, 1.0]], ['2, k, 22', [-0.1599871, -0.07135794, 1.0]], ['2, k, 23', [0.2989129, -0.04584098, 1.0]], ['2, k, 24', [0.3132662, 0.01675759, 1.0]]]
[['2, k, 0', [0.0473451, 0.01717448, 1.0]], ['2, k, 1', [0.04345668, 0.3270971, 1.0]], ['2, k, 2', [0.04085701, 0.6234142, 1.0]], ['2, k, 3', [0.02629717, 0.7480171, 1.0]], ['2, k, 4', [-0.116188, 0.5021879, 1.0]], ['2, k, 5', [-0.1609027, 0.2558594, 1.0]], ['2, k, 6', [-0.143239, 0.03137882, 1.0]], ['2, k, 7', [-0.1305725, -0.04021446, 1.0]], ['2, k, 8', [0.2029386, 0.5354432, 1.0]], ['2, k, 9', [0.2563351, 0.2864288, 1.0]], ['2, k, 10', [0.282239, 0.07839943, 1.0]], ['2, k, 11', [0.2854621, 0.03824065, 1.0]], ['2, k, 12', [-0.02616921, 0.01420465, 1.0]], ['2, k, 13', [-0.05015527, -0.3766474, 1.0]], ['2, k, 14', [-0.05335439, -0.6956863, 1.0]], ['2, k, 15', [-0.07105878, -0.7534207, 1.0]], ['2, k, 16', [0.1191556, 0.01944879, 1.0]], ['2, k, 17', [0.1436103, -0.3898087, 1.0]], ['2, k, 18', [0.1920412, -0.686112, 1.0]], ['2, k, 19', [0.2541251, -0.7276694, 1.0]], ['2, k, 20', [0.04128342, 0.5512739, 1.0]], ['2, k, 21', [-0.1163957, -0.1089423, 1.0]], ['2, k, 22', [-0.153028, -0.06051803, 1.0]], ['2, k, 23', [0.2961343, -0.04700777, 1.0]], ['2, k, 24', [0.281989, 0.01399427, 1.0]]]
[['2, k, 0', [0.04799731, 0.0171996, 1.0]], ['2, k, 1', [0.04416709, 0.3271018, 1.0]], ['2, k, 2', [0.04137249, 0.6234204, 1.0]], ['2, k, 3', [0.02715235, 0.7483906, 1.0]], ['2, k, 4', [-0.1141663, 0.5021947, 1.0]], ['2, k, 5', [-0.1592879, 0.2557793, 1.0]], ['2, k, 6', [-0.1445124, 0.03261779, 1.0]], ['2, k, 7', [-0.1349914, -0.04191647, 1.0]], ['2, k, 8', [0.2041337, 0.5359687, 1.0]], ['2, k, 9', [0.2560391, 0.2864813, 1.0]], ['2, k, 10', [0.2822089, 0.07869038, 1.0]], ['2, k, 11', [0.2853633, 0.03597178, 1.0]], ['2, k, 12', [-0.02525237, 0.01432316, 1.0]], ['2, k, 13', [-0.0491256, -0.3768536, 1.0]], ['2, k, 14', [-0.0527245, -0.6922951, 1.0]], ['2, k, 15', [-0.07054403, -0.7511303, 1.0]], ['2, k, 16', [0.1195956, 0.01940788, 1.0]], ['2, k, 17', [0.1441348, -0.3902886, 1.0]], ['2, k, 18', [0.1919108, -0.6859708, 1.0]], ['2, k, 19', [0.2539411, -0.7275816, 1.0]], ['2, k, 20', [0.04188919, 0.5512814, 1.0]], ['2, k, 21', [-0.123076, -0.109281, 1.0]], ['2, k, 22', [-0.1628592, -0.0544259, 1.0]], ['2, k, 23', [0.2950367, -0.0467686, 1.0]], ['2, k, 24', [0.310698, 0.01858417, 1.0]]]
[['2, k, 0', [0.04943683, 0.01749329, 1.0]], ['2, k, 1', [0.04578751, 0.3273846, 1.0]], ['2, k, 2', [0.04289204, 0.6237257, 1.0]], ['2, k, 3', [0.02834404, 0.748885, 1.0]], ['2, k, 4', [-0.112909, 0.5026401, 1.0]], ['2, k, 5', [-0.1590238, 0.2557977, 1.0]], ['2, k, 6', [-0.1463556, 0.03286654, 1.0]], ['2, k, 7', [-0.1410058, -0.04157023, 1.0]], ['2, k, 8', [0.2055249, 0.5367066, 1.0]], ['2, k, 9', [0.2559193, 0.2861232, 1.0]], ['2, k, 10', [0.2821188, 0.07780504, 1.0]], ['2, k, 11', [0.2878173, 0.035462, 1.0]], ['2, k, 12', [-0.02370991, 0.01444597, 1.0]], ['2, k, 13', [-0.04779667, -0.3774066, 1.0]], ['2, k, 14', [-0.05324625, -0.6925631, 1.0]], ['2, k, 15', [-0.0706126, -0.7513289, 1.0]], ['2, k, 16', [0.120867, 0.01987647, 1.0]], ['2, k, 17', [0.1445002, -0.3900639, 1.0]], ['2, k, 18', [0.1931307, -0.6857031, 1.0]], ['2, k, 19', [0.2554379, -0.7281672, 1.0]], ['2, k, 20', [0.04349968, 0.551586, 1.0]], ['2, k, 21', [-0.1307846, -0.1105133, 1.0]], ['2, k, 22', [-0.1718694, -0.05769567, 1.0]], ['2, k, 23', [0.2944629, -0.04332282, 1.0]], ['2, k, 24', [0.3163742, 0.01600384, 1.0]]]
[['2, k, 0', [0.04983417, 0.01738926, 1.0]], ['2, k, 1', [0.04641574, 0.3275033, 1.0]], ['2, k, 2', [0.04369254, 0.6241898, 1.0]], ['2, k, 3', [0.02955212, 0.7490616, 1.0]], ['2, k, 4', [-0.1113703, 0.501999, 1.0]], ['2, k, 5', [-0.1587901, 0.2549436, 1.0]], ['2, k, 6', [-0.1489402, 0.03131439, 1.0]], ['2, k, 7', [-0.1460963, -0.04253572, 1.0]], ['2, k, 8', [0.2066265, 0.5367417, 1.0]], ['2, k, 9', [0.2557699, 0.286094, 1.0]], ['2, k, 10', [0.2819561, 0.07793336, 1.0]], ['2, k, 11', [0.2861564, 0.03600753, 1.0]], ['2, k, 12', [-0.02326373, 0.01441357, 1.0]], ['2, k, 13', [-0.04724829, -0.3774036, 1.0]], ['2, k, 14', [-0.05330535, -0.6929391, 1.0]], ['2, k, 15', [-0.07063475, -0.7513177, 1.0]], ['2, k, 16', [0.12122, 0.01967943, 1.0]], ['2, k, 17', [0.1450592, -0.3900689, 1.0]], ['2, k, 18', [0.1920561, -0.6839143, 1.0]], ['2, k, 19', [0.2544479, -0.7272957, 1.0]], ['2, k, 20', [0.0442853, 0.551957, 1.0]], ['2, k, 21', [-0.1373787, -0.112677, 1.0]], ['2, k, 22', [-0.1813043, -0.05942832, 1.0]], ['2, k, 23', [0.2944328, -0.04803774, 1.0]], ['2, k, 24', [0.2792631, 0.01397662, 1.0]]]
[['2, k, 0', [0.04991714, 0.01740829, 1.0]], ['2, k, 1', [0.04687006, 0.3275856, 1.0]], ['2, k, 2', [0.04463664, 0.6243838, 1.0]], ['2, k, 3', [0.03103037, 0.7491672, 1.0]], ['2, k, 4', [-0.1100232, 0.5016183, 1.0]], ['2, k, 5', [-0.1584931, 0.2538178, 1.0]], ['2, k, 6', [-0.1518566, 0.03189109, 1.0]], ['2, k, 7', [-0.1518788, -0.04352133, 1.0]], ['2, k, 8', [0.2078501, 0.5370481, 1.0]], ['2, k, 9', [0.2558488, 0.2862357, 1.0]], ['2, k, 10', [0.2819165, 0.07820927, 1.0]], ['2, k, 11', [0.285827, 0.03635403, 1.0]], ['2, k, 12', [-0.02317598, 0.01451274, 1.0]], ['2, k, 13', [-0.04688044, -0.3770688, 1.0]], ['2, k, 14', [-0.05311419, -0.6928371, 1.0]], ['2, k, 15', [-0.07064168, -0.751152, 1.0]], ['2, k, 16', [0.121273, 0.01954901, 1.0]], ['2, k, 17', [0.1450465, -0.3903544, 1.0]], ['2, k, 18', [0.1917693, -0.6834362, 1.0]], ['2, k, 19', [0.2542647, -0.7267995, 1.0]], ['2, k, 20', [0.04512085, 0.5521225, 1.0]], ['2, k, 21', [-0.1445944, -0.1143927, 1.0]], ['2, k, 22', [-0.1782577, -0.05727771, 1.0]], ['2, k, 23', [0.3002597, -0.04608502, 1.0]], ['2, k, 24', [0.2869651, 0.01420672, 1.0]]]
[['2, k, 0', [0.05005798, 0.01749835, 1.0]], ['2, k, 1', [0.04737336, 0.3277615, 1.0]], ['2, k, 2', [0.04551772, 0.6246702, 1.0]], ['2, k, 3', [0.03271937, 0.7492567, 1.0]], ['2, k, 4', [-0.1084268, 0.5019177, 1.0]], ['2, k, 5', [-0.1591576, 0.2528086, 1.0]], ['2, k, 6', [-0.1552271, 0.03034646, 1.0]], ['2, k, 7', [-0.1587741, -0.051254, 1.0]], ['2, k, 8', [0.209354, 0.5374, 1.0]], ['2, k, 9', [0.2559273, 0.2861571, 1.0]], ['2, k, 10', [0.2817893, 0.07819337, 1.0]], ['2, k, 11', [0.286573, 0.03684786, 1.0]], ['2, k, 12', [-0.02295705, 0.01479265, 1.0]], ['2, k, 13', [-0.04558808, -0.3769452, 1.0]], ['2, k, 14', [-0.05350842, -0.6928719, 1.0]], ['2, k, 15', [-0.07114723, -0.7491732, 1.0]], ['2, k, 16', [0.1213555, 0.01946534, 1.0]], ['2, k, 17', [0.1460802, -0.3901234, 1.0]], ['2, k, 18', [0.1953485, -0.6846484, 1.0]], ['2, k, 19', [0.2563606, -0.728313, 1.0]], ['2, k, 20', [0.04592756, 0.5523849, 1.0]], ['2, k, 21', [-0.1500541, -0.1187615, 1.0]], ['2, k, 22', [-0.1476287, -0.06502964, 1.0]], ['2, k, 23', [0.294166, -0.0479902, 1.0]], ['2, k, 24', [0.2951611, 0.01276663, 1.0]]]
[['2, k, 0', [0.04996376, 0.01736506, 1.0]], ['2, k, 1', [0.04773132, 0.3277805, 1.0]], ['2, k, 2', [0.04658962, 0.6249858, 1.0]], ['2, k, 3', [0.03468487, 0.7496061, 1.0]], ['2, k, 4', [-0.106539, 0.5017326, 1.0]], ['2, k, 5', [-0.1611063, 0.2532808, 1.0]], ['2, k, 6', [-0.1620787, 0.02737489, 1.0]], ['2, k, 7', [-0.1679843, -0.05438395, 1.0]], ['2, k, 8', [0.2106428, 0.5374925, 1.0]], ['2, k, 9', [0.2561391, 0.2858683, 1.0]], ['2, k, 10', [0.2819109, 0.07803232, 1.0]], ['2, k, 11', [0.2875063, 0.03443713, 1.0]], ['2, k, 12', [-0.02294147, 0.01481376, 1.0]], ['2, k, 13', [-0.0447297, -0.3777907, 1.0]], ['2, k, 14', [-0.052756, -0.6907526, 1.0]], ['2, k, 15', [-0.07102556, -0.7483259, 1.0]], ['2, k, 16', [0.1209642, 0.01897348, 1.0]], ['2, k, 17', [0.1461006, -0.3902596, 1.0]], ['2, k, 18', [0.195758, -0.6851862, 1.0]], ['2, k, 19', [0.2565376, -0.7287661, 1.0]], ['2, k, 20', [0.04680832, 0.5526099, 1.0]], ['2, k, 21', [-0.1601328, -0.118942, 1.0]], ['2, k, 22', [-0.1349436, -0.05124263, 1.0]], ['2, k, 23', [0.2989725, -0.04752957, 1.0]], ['2, k, 24', [0.28427, 0.01400232, 1.0]]]
[['2, k, 0', [0.04975477, 0.01737042, 1.0]], ['2, k, 1', [0.048054, 0.327874, 1.0]], ['2, k, 2', [0.04773609, 0.6252319, 1.0]], ['2, k, 3', [0.03630649, 0.7498907, 1.0]], ['2, k, 4', [-0.1045177, 0.5017354, 1.0]], ['2, k, 5', [-0.1636303, 0.2512306, 1.0]], ['2, k, 6', [-0.1711998, 0.02189187, 1.0]], ['2, k, 7', [-0.1802528, -0.05901727, 1.0]], ['2, k, 8', [0.2112172, 0.5376757, 1.0]], ['2, k, 9', [0.2568206, 0.2857059, 1.0]], ['2, k, 10', [0.2818914, 0.07791181, 1.0]], ['2, k, 11', [0.286629, 0.03573509, 1.0]], ['2, k, 12', [-0.0230065, 0.01493367, 1.0]], ['2, k, 13', [-0.04480893, -0.3773097, 1.0]], ['2, k, 14', [-0.05292427, -0.6909814, 1.0]], ['2, k, 15', [-0.07034375, -0.748989, 1.0]], ['2, k, 16', [0.1205063, 0.01876707, 1.0]], ['2, k, 17', [0.14773, -0.3900333, 1.0]], ['2, k, 18', [0.1958451, -0.6851252, 1.0]], ['2, k, 19', [0.2565482, -0.7286201, 1.0]], ['2, k, 20', [0.04773219, 0.5528165, 1.0]], ['2, k, 21', [-0.1703389, -0.120358, 1.0]], ['2, k, 22', [-0.1465251, -0.05590886, 1.0]], ['2, k, 23', [0.3004208, -0.04422903, 1.0]], ['2, k, 24', [0.2868984, 0.0140702, 1.0]]]
[['2, k, 0', [0.0494748, 0.01756419, 1.0]], ['2, k, 1', [0.04829993, 0.3281258, 1.0]], ['2, k, 2', [0.04832728, 0.6255447, 1.0]], ['2, k, 3', [0.0374109, 0.750353, 1.0]], ['2, k, 4', [-0.1024116, 0.5014126, 1.0]], ['2, k, 5', [-0.166976, 0.2450449, 1.0]], ['2, k, 6', [-0.1854217, 0.00757576, 1.0]], ['2, k, 7', [-0.1961913, -0.06588186, 1.0]], ['2, k, 8', [0.2123624, 0.5381656, 1.0]], ['2, k, 9', [0.2572553, 0.2862962, 1.0]], ['2, k, 10', [0.2817521, 0.07841077, 1.0]], ['2, k, 11', [0.286493, 0.03396174, 1.0]], ['2, k, 12', [-0.02305172, 0.015379, 1.0]], ['2, k, 13', [-0.04389391, -0.3799881, 1.0]], ['2, k, 14', [-0.05262899, -0.690571, 1.0]], ['2, k, 15', [-0.06995555, -0.7489731, 1.0]], ['2, k, 16', [0.1198896, 0.01865561, 1.0]], ['2, k, 17', [0.1488286, -0.3905098, 1.0]], ['2, k, 18', [0.1947483, -0.6843556, 1.0]], ['2, k, 19', [0.2559371, -0.7279071, 1.0]], ['2, k, 20', [0.048255, 0.5531185, 1.0]], ['2, k, 21', [-0.198627, -0.1379586, 1.0]], ['2, k, 22', [-0.1575505, -0.08830632, 1.0]], ['2, k, 23', [0.2940694, -0.04797435, 1.0]], ['2, k, 24', [0.2886821, 0.01419818, 1.0]]]
