[['2, k, 0', [0.198409, -1.13942, 1.0]], ['2, k, 1', [0.202955, -0.864181, 1.0]], ['2, k, 2', [0.206628, -0.591288, 1.0]], ['2, k, 3', [0.212662, -0.44568, 1.0]], ['2, k, 4', [0.0126167, -0.688856, 1.0]], ['2, k, 5', [-0.141148, -0.867617, 1.0]], ['2, k, 6', [-0.0851614, -1.03987, 1.0]], ['2, k, 7', [-0.0356419, -1.06423, 1.0]], ['2, k, 8', [0.401844, -0.690011, 1.0]], ['2, k, 9', [0.557774, -0.840117, 1.0]], ['2, k, 10', [0.4801, -0.99401, 1.0]], ['2, k, 11', [0.400946, -1.05765, 1.0]], ['2, k, 12', [0.107599, -1.12631, 1.0]], ['2, k, 13', [0.12555, -1.43429, 1.0]], ['2, k, 14', [0.10845, -1.68193, 1.0]], ['2, k, 15', [0.0802772, -1.76194, 1.0]], ['2, k, 16', [0.284767, -1.12691, 1.0]], ['2, k, 17', [0.292248, -1.40972, 1.0]], ['2, k, 18', [0.322078, -1.67303, 1.0]], ['2, k, 19', [0.321101, -1.7683, 1.0]], ['2, k, 20', [0.205867, -0.65936, 1.0]], ['2, k, 21', [0.0131481, -1.14731, 1.0]], ['2, k, 22', [0.0196932, -1.02718, 1.0]], ['2, k, 23', [0.347558, -1.12805, 1.0]], ['2, k, 24', [0.348673, -0.995673, 1.0]]]
[['2, k, 0', [0.198455, -1.13936, 1.0]], ['2, k, 1', [0.20295, -0.864173, 1.0]], ['2, k, 2', [0.206547, -0.591308, 1.0]], ['2, k, 3', [0.212762, -0.44599, 1.0]], ['2, k, 4', [0.0126172, -0.68886, 1.0]], ['2, k, 5', [-0.141143, -0.867597, 1.0]], ['2, k, 6', [-0.0851157, -1.03985, 1.0]], ['2, k, 7', [-0.0362989, -1.06502, 1.0]], ['2, k, 8', [0.401797, -0.690067, 1.0]], ['2, k, 9', [0.557774, -0.840424, 1.0]], ['2, k, 10', [0.480182, -0.994262, 1.0]], ['2, k, 11', [0.400928, -1.0584, 1.0]], ['2, k, 12', [0.10765, -1.12623, 1.0]], ['2, k, 13', [0.125516, -1.43411, 1.0]], ['2, k, 14', [0.108665, -1.68239, 1.0]], ['2, k, 15', [0.080659, -1.76263, 1.0]], ['2, k, 16', [0.284808, -1.12686, 1.0]], ['2, k, 17', [0.294119, -1.4069, 1.0]], ['2, k, 18', [0.322078, -1.67194, 1.0]], ['2, k, 19', [0.31988, -1.76709, 1.0]], ['2, k, 20', [0.205816, -0.659367, 1.0]], ['2, k, 21', [0.0131744, -1.14984, 1.0]], ['2, k, 22', [0.0202146, -1.02845, 1.0]], ['2, k, 23', [0.347176, -1.12681, 1.0]], ['2, k, 24', [0.349013, -0.996723, 1.0]]]
[['2, k, 0', [0.198956, -1.13925, 1.0]], ['2, k, 1', [0.203027, -0.864179, 1.0]], ['2, k, 2', [0.20651, -0.591358, 1.0]], ['2, k, 3', [0.212826, -0.446031, 1.0]], ['2, k, 4', [0.0125194, -0.688984, 1.0]], ['2, k, 5', [-0.141104, -0.867582, 1.0]], ['2, k, 6', [-0.0850468, -1.03981, 1.0]], ['2, k, 7', [-0.0360431, -1.06651, 1.0]], ['2, k, 8', [0.401788, -0.690062, 1.0]], ['2, k, 9', [0.557882, -0.840433, 1.0]], ['2, k, 10', [0.480437, -0.994088, 1.0]], ['2, k, 11', [0.400977, -1.05833, 1.0]], ['2, k, 12', [0.108152, -1.12617, 1.0]], ['2, k, 13', [0.125511, -1.43404, 1.0]], ['2, k, 14', [0.10936, -1.68114, 1.0]], ['2, k, 15', [0.0817534, -1.76186, 1.0]], ['2, k, 16', [0.285318, -1.12671, 1.0]], ['2, k, 17', [0.294934, -1.40632, 1.0]], ['2, k, 18', [0.322023, -1.67174, 1.0]], ['2, k, 19', [0.319257, -1.7667, 1.0]], ['2, k, 20', [0.205807, -0.659393, 1.0]], ['2, k, 21', [0.0131397, -1.14683, 1.0]], ['2, k, 22', [0.020499, -1.03109, 1.0]], ['2, k, 23', [0.34736, -1.12741, 1.0]], ['2, k, 24', [0.348954, -0.996308, 1.0]]]
[['2, k, 0', [0.199187, -1.13983, 1.0]], ['2, k, 1', [0.202987, -0.864392, 1.0]], ['2, k, 2', [0.206285, -0.591457, 1.0]], ['2, k, 3', [0.212899, -0.446088, 1.0]], ['2, k, 4', [0.0125459, -0.688993, 1.0]], ['2, k, 5', [-0.141133, -0.867571, 1.0]], ['2, k, 6', [-0.0850155, -1.03986, 1.0]], ['2, k, 7', [-0.0351708, -1.0657, 1.0]], ['2, k, 8', [0.401804, -0.68995, 1.0]], ['2, k, 9', [0.557992, -0.840441, 1.0]], ['2, k, 10', [0.480388, -0.993901, 1.0]], ['2, k, 11', [0.40056, -1.05871, 1.0]], ['2, k, 12', [0.108382, -1.12684, 1.0]], ['2, k, 13', [0.124976, -1.4337, 1.0]], ['2, k, 14', [0.109901, -1.68061, 1.0]], ['2, k, 15', [0.0828444, -1.76104, 1.0]], ['2, k, 16', [0.285543, -1.12719, 1.0]], ['2, k, 17', [0.294647, -1.40643, 1.0]], ['2, k, 18', [0.321956, -1.67157, 1.0]], ['2, k, 19', [0.319246, -1.76641, 1.0]], ['2, k, 20', [0.205645, -0.659509, 1.0]], ['2, k, 21', [0.0139248, -1.14448, 1.0]], ['2, k, 22', [0.0167198, -1.03387, 1.0]], ['2, k, 23', [0.349928, -1.12976, 1.0]], ['2, k, 24', [0.349054, -0.99527, 1.0]]]
[['2, k, 0', [0.199215, -1.13957, 1.0]], ['2, k, 1', [0.203019, -0.86432, 1.0]], ['2, k, 2', [0.206299, -0.591453, 1.0]], ['2, k, 3', [0.212907, -0.446111, 1.0]], ['2, k, 4', [0.0125406, -0.689058, 1.0]], ['2, k, 5', [-0.140958, -0.867882, 1.0]], ['2, k, 6', [-0.0848932, -1.04028, 1.0]], ['2, k, 7', [-0.0343441, -1.06626, 1.0]], ['2, k, 8', [0.401801, -0.689956, 1.0]], ['2, k, 9', [0.557877, -0.840586, 1.0]], ['2, k, 10', [0.480391, -0.994268, 1.0]], ['2, k, 11', [0.400483, -1.0583, 1.0]], ['2, k, 12', [0.108418, -1.12657, 1.0]], ['2, k, 13', [0.125151, -1.43361, 1.0]], ['2, k, 14', [0.109872, -1.68056, 1.0]], ['2, k, 15', [0.0826789, -1.7611, 1.0]], ['2, k, 16', [0.285563, -1.12694, 1.0]], ['2, k, 17', [0.294224, -1.40589, 1.0]], ['2, k, 18', [0.321362, -1.67095, 1.0]], ['2, k, 19', [0.318672, -1.76608, 1.0]], ['2, k, 20', [0.20566, -0.659497, 1.0]], ['2, k, 21', [0.0139363, -1.14533, 1.0]], ['2, k, 22', [0.0191909, -1.0289, 1.0]], ['2, k, 23', [0.350901, -1.12917, 1.0]], ['2, k, 24', [0.348957, -0.995364, 1.0]]]
[['2, k, 0', [0.199868, -1.13988, 1.0]], ['2, k, 1', [0.203218, -0.864304, 1.0]], ['2, k, 2', [0.206211, -0.591199, 1.0]], ['2, k, 3', [0.212953, -0.446115, 1.0]], ['2, k, 4', [0.0128035, -0.689185, 1.0]], ['2, k, 5', [-0.141136, -0.867864, 1.0]], ['2, k, 6', [-0.0812562, -1.03906, 1.0]], ['2, k, 7', [-0.0356081, -1.06675, 1.0]], ['2, k, 8', [0.401927, -0.689878, 1.0]], ['2, k, 9', [0.557823, -0.840636, 1.0]], ['2, k, 10', [0.481196, -0.994502, 1.0]], ['2, k, 11', [0.400976, -1.05948, 1.0]], ['2, k, 12', [0.108957, -1.1269, 1.0]], ['2, k, 13', [0.12507, -1.43374, 1.0]], ['2, k, 14', [0.109771, -1.68044, 1.0]], ['2, k, 15', [0.0826856, -1.76097, 1.0]], ['2, k, 16', [0.286335, -1.12722, 1.0]], ['2, k, 17', [0.294617, -1.4057, 1.0]], ['2, k, 18', [0.32136, -1.6706, 1.0]], ['2, k, 19', [0.318472, -1.76557, 1.0]], ['2, k, 20', [0.205643, -0.659318, 1.0]], ['2, k, 21', [0.0139224, -1.14409, 1.0]], ['2, k, 22', [0.0190897, -1.01756, 1.0]], ['2, k, 23', [0.348495, -1.13001, 1.0]], ['2, k, 24', [0.349548, -0.996795, 1.0]]]
[['2, k, 0', [0.19982, -1.13968, 1.0]], ['2, k, 1', [0.203182, -0.864238, 1.0]], ['2, k, 2', [0.20616, -0.591186, 1.0]], ['2, k, 3', [0.212973, -0.446035, 1.0]], ['2, k, 4', [0.0127573, -0.689175, 1.0]], ['2, k, 5', [-0.140876, -0.867523, 1.0]], ['2, k, 6', [-0.0818957, -1.03912, 1.0]], ['2, k, 7', [-0.0349294, -1.06462, 1.0]], ['2, k, 8', [0.401924, -0.689848, 1.0]], ['2, k, 9', [0.557882, -0.840792, 1.0]], ['2, k, 10', [0.481146, -0.994516, 1.0]], ['2, k, 11', [0.401342, -1.05854, 1.0]], ['2, k, 12', [0.108916, -1.12673, 1.0]], ['2, k, 13', [0.125131, -1.43372, 1.0]], ['2, k, 14', [0.109795, -1.67998, 1.0]], ['2, k, 15', [0.0826754, -1.76041, 1.0]], ['2, k, 16', [0.286276, -1.12697, 1.0]], ['2, k, 17', [0.295409, -1.40478, 1.0]], ['2, k, 18', [0.321441, -1.67153, 1.0]], ['2, k, 19', [0.31813, -1.76663, 1.0]], ['2, k, 20', [0.205598, -0.659295, 1.0]], ['2, k, 21', [0.0131519, -1.14793, 1.0]], ['2, k, 22', [0.0192335, -1.02656, 1.0]], ['2, k, 23', [0.348019, -1.1285, 1.0]], ['2, k, 24', [0.349952, -0.997402, 1.0]]]
[['2, k, 0', [0.199814, -1.13969, 1.0]], ['2, k, 1', [0.203246, -0.864245, 1.0]], ['2, k, 2', [0.206356, -0.591159, 1.0]], ['2, k, 3', [0.213141, -0.445988, 1.0]], ['2, k, 4', [0.012763, -0.689186, 1.0]], ['2, k, 5', [-0.140595, -0.86726, 1.0]], ['2, k, 6', [-0.0823299, -1.0391, 1.0]], ['2, k, 7', [-0.0339367, -1.06634, 1.0]], ['2, k, 8', [0.402071, -0.689821, 1.0]], ['2, k, 9', [0.557951, -0.840733, 1.0]], ['2, k, 10', [0.481268, -0.994112, 1.0]], ['2, k, 11', [0.401302, -1.0595, 1.0]], ['2, k, 12', [0.108902, -1.12676, 1.0]], ['2, k, 13', [0.125126, -1.43368, 1.0]], ['2, k, 14', [0.109737, -1.67993, 1.0]], ['2, k, 15', [0.0826621, -1.76043, 1.0]], ['2, k, 16', [0.286271, -1.12698, 1.0]], ['2, k, 17', [0.295707, -1.40462, 1.0]], ['2, k, 18', [0.32074, -1.6694, 1.0]], ['2, k, 19', [0.317001, -1.76439, 1.0]], ['2, k, 20', [0.205753, -0.65928, 1.0]], ['2, k, 21', [0.0139236, -1.14429, 1.0]], ['2, k, 22', [0.0196819, -1.02673, 1.0]], ['2, k, 23', [0.349873, -1.12946, 1.0]], ['2, k, 24', [0.349368, -0.995709, 1.0]]]
[['2, k, 0', [0.199807, -1.13968, 1.0]], ['2, k, 1', [0.203252, -0.864251, 1.0]], ['2, k, 2', [0.20638, -0.591215, 1.0]], ['2, k, 3', [0.213192, -0.446002, 1.0]], ['2, k, 4', [0.0129407, -0.689285, 1.0]], ['2, k, 5', [-0.139997, -0.868678, 1.0]], ['2, k, 6', [-0.0819811, -1.04067, 1.0]], ['2, k, 7', [-0.0347287, -1.06397, 1.0]], ['2, k, 8', [0.402087, -0.689779, 1.0]], ['2, k, 9', [0.557969, -0.84084, 1.0]], ['2, k, 10', [0.481258, -0.994259, 1.0]], ['2, k, 11', [0.401702, -1.05843, 1.0]], ['2, k, 12', [0.108896, -1.12677, 1.0]], ['2, k, 13', [0.124728, -1.4328, 1.0]], ['2, k, 14', [0.109757, -1.67991, 1.0]], ['2, k, 15', [0.0829608, -1.76022, 1.0]], ['2, k, 16', [0.286257, -1.12696, 1.0]], ['2, k, 17', [0.295373, -1.4033, 1.0]], ['2, k, 18', [0.320721, -1.66942, 1.0]], ['2, k, 19', [0.317104, -1.76441, 1.0]], ['2, k, 20', [0.20577, -0.659319, 1.0]], ['2, k, 21', [0.0131122, -1.14448, 1.0]], ['2, k, 22', [0.0190365, -1.02629, 1.0]], ['2, k, 23', [0.351915, -1.12695, 1.0]], ['2, k, 24', [0.350951, -0.997498, 1.0]]]
[['2, k, 0', [0.199717, -1.13958, 1.0]], ['2, k, 1', [0.203343, -0.864183, 1.0]], ['2, k, 2', [0.20689, -0.591166, 1.0]], ['2, k, 3', [0.213181, -0.445913, 1.0]], ['2, k, 4', [0.013027, -0.689324, 1.0]], ['2, k, 5', [-0.14009, -0.868697, 1.0]], ['2, k, 6', [-0.0820622, -1.04064, 1.0]], ['2, k, 7', [-0.0353001, -1.06436, 1.0]], ['2, k, 8', [0.402108, -0.689703, 1.0]], ['2, k, 9', [0.558007, -0.840818, 1.0]], ['2, k, 10', [0.481242, -0.994288, 1.0]], ['2, k, 11', [0.400779, -1.05753, 1.0]], ['2, k, 12', [0.108745, -1.12667, 1.0]], ['2, k, 13', [0.124716, -1.43267, 1.0]], ['2, k, 14', [0.109856, -1.67998, 1.0]], ['2, k, 15', [0.0831778, -1.76043, 1.0]], ['2, k, 16', [0.286181, -1.1268, 1.0]], ['2, k, 17', [0.295676, -1.40334, 1.0]], ['2, k, 18', [0.320924, -1.66973, 1.0]], ['2, k, 19', [0.31723, -1.76465, 1.0]], ['2, k, 20', [0.206139, -0.659257, 1.0]], ['2, k, 21', [0.0139217, -1.14448, 1.0]], ['2, k, 22', [0.0191962, -1.02773, 1.0]], ['2, k, 23', [0.351928, -1.12701, 1.0]], ['2, k, 24', [0.34923, -0.995995, 1.0]]]
[['2, k, 0', [0.199866, -1.13947, 1.0]], ['2, k, 1', [0.20336, -0.864133, 1.0]], ['2, k, 2', [0.206783, -0.591096, 1.0]], ['2, k, 3', [0.213183, -0.445921, 1.0]], ['2, k, 4', [0.013151, -0.689206, 1.0]], ['2, k, 5', [-0.14013, -0.868934, 1.0]], ['2, k, 6', [-0.0824332, -1.04106, 1.0]], ['2, k, 7', [-0.0329349, -1.06572, 1.0]], ['2, k, 8', [0.402067, -0.689679, 1.0]], ['2, k, 9', [0.557976, -0.840812, 1.0]], ['2, k, 10', [0.481132, -0.994419, 1.0]], ['2, k, 11', [0.401456, -1.05772, 1.0]], ['2, k, 12', [0.108918, -1.1266, 1.0]], ['2, k, 13', [0.124585, -1.43209, 1.0]], ['2, k, 14', [0.109231, -1.6796, 1.0]], ['2, k, 15', [0.0822853, -1.75979, 1.0]], ['2, k, 16', [0.286337, -1.12665, 1.0]], ['2, k, 17', [0.295873, -1.403, 1.0]], ['2, k, 18', [0.320963, -1.66931, 1.0]], ['2, k, 19', [0.317221, -1.7643, 1.0]], ['2, k, 20', [0.206081, -0.659201, 1.0]], ['2, k, 21', [0.0139438, -1.14598, 1.0]], ['2, k, 22', [0.0196005, -1.02577, 1.0]], ['2, k, 23', [0.34959, -1.12852, 1.0]], ['2, k, 24', [0.349366, -0.996341, 1.0]]]
