[['2, k, 0', [-0.1560429, 0.2148772, 1.0]], ['2, k, 1', [-0.1588573, 0.4928052, 1.0]], ['2, k, 2', [-0.1608779, 0.7620206, 1.0]], ['2, k, 3', [-0.1524157, 0.9153574, 1.0]], ['2, k, 4', [-0.305871, 0.6496561, 1.0]], ['2, k, 5', [-0.3774947, 0.3572434, 1.0]], ['2, k, 6', [-0.4028304, 0.11296, 1.0]], ['2, k, 7', [-0.4159887, 0.04320272, 1.0]], ['2, k, 8', [0.01395253, 0.6287647, 1.0]], ['2, k, 9', [0.04185492, 0.3680227, 1.0]], ['2, k, 10', [0.06089057, 0.1156711, 1.0]], ['2, k, 11', [0.060416, 0.04420389, 1.0]], ['2, k, 12', [-0.2186483, 0.2126075, 1.0]], ['2, k, 13', [-0.2565707, -0.2196688, 1.0]], ['2, k, 14', [-0.238555, -0.5342422, 1.0]], ['2, k, 15', [-0.2331971, -0.6215939, 1.0]], ['2, k, 16', [-0.08957884, 0.2115832, 1.0]], ['2, k, 17', [-0.08610084, -0.2271635, 1.0]], ['2, k, 18', [-0.1115933, -0.5536625, 1.0]], ['2, k, 19', [-0.1158943, -0.6231341, 1.0]], ['2, k, 20', [-0.1605333, 0.6959439, 1.0]], ['2, k, 21', [-0.4119788, -0.03284088, 1.0]], ['2, k, 22', [-0.3762354, 0.03996926, 1.0]], ['2, k, 23', [0.05638386, -0.02639096, 1.0]], ['2, k, 24', [0.1074633, 0.06425948, 1.0]]]
[['2, k, 0', [-0.1562282, 0.2147333, 1.0]], ['2, k, 1', [-0.1590306, 0.4927085, 1.0]], ['2, k, 2', [-0.1610587, 0.7619944, 1.0]], ['2, k, 3', [-0.1529325, 0.9151706, 1.0]], ['2, k, 4', [-0.3059412, 0.6496055, 1.0]], ['2, k, 5', [-0.3768181, 0.3571056, 1.0]], ['2, k, 6', [-0.4031642, 0.1127407, 1.0]], ['2, k, 7', [-0.4181241, 0.04377563, 1.0]], ['2, k, 8', [0.0139613, 0.6288226, 1.0]], ['2, k, 9', [0.04203805, 0.3671969, 1.0]], ['2, k, 10', [0.06091147, 0.115783, 1.0]], ['2, k, 11', [0.0602012, 0.04526408, 1.0]], ['2, k, 12', [-0.2188579, 0.2124297, 1.0]], ['2, k, 13', [-0.2564791, -0.2199298, 1.0]], ['2, k, 14', [-0.23841, -0.5345162, 1.0]], ['2, k, 15', [-0.233403, -0.6218528, 1.0]], ['2, k, 16', [-0.08977465, 0.2114663, 1.0]], ['2, k, 17', [-0.08615782, -0.2271496, 1.0]], ['2, k, 18', [-0.111712, -0.5537491, 1.0]], ['2, k, 19', [-0.1157819, -0.6230413, 1.0]], ['2, k, 20', [-0.160709, 0.6958991, 1.0]], ['2, k, 21', [-0.41301, -0.0314434, 1.0]], ['2, k, 22', [-0.3809923, 0.03843374, 1.0]], ['2, k, 23', [0.06016273, -0.02247089, 1.0]], ['2, k, 24', [0.108639, 0.06440446, 1.0]]]
[['2, k, 0', [-0.1564077, 0.2145637, 1.0]], ['2, k, 1', [-0.1591864, 0.4926499, 1.0]], ['2, k, 2', [-0.16124, 0.7620353, 1.0]], ['2, k, 3', [-0.1530449, 0.9151804, 1.0]], ['2, k, 4', [-0.306235, 0.6494941, 1.0]], ['2, k, 5', [-0.3769978, 0.3568101, 1.0]], ['2, k, 6', [-0.4052515, 0.1117516, 1.0]], ['2, k, 7', [-0.4182515, 0.04418317, 1.0]], ['2, k, 8', [0.0139943, 0.6289642, 1.0]], ['2, k, 9', [0.04200007, 0.3670449, 1.0]], ['2, k, 10', [0.06093055, 0.1157062, 1.0]], ['2, k, 11', [0.05978179, 0.04562312, 1.0]], ['2, k, 12', [-0.2191163, 0.2121543, 1.0]], ['2, k, 13', [-0.2567628, -0.2200067, 1.0]], ['2, k, 14', [-0.2383981, -0.534813, 1.0]], ['2, k, 15', [-0.2336491, -0.6217911, 1.0]], ['2, k, 16', [-0.08989927, 0.2113818, 1.0]], ['2, k, 17', [-0.08640664, -0.2260343, 1.0]], ['2, k, 18', [-0.1111808, -0.5532541, 1.0]], ['2, k, 19', [-0.1155154, -0.6227909, 1.0]], ['2, k, 20', [-0.1608761, 0.6959135, 1.0]], ['2, k, 21', [-0.4147392, -0.02961303, 1.0]], ['2, k, 22', [-0.3812242, 0.05234407, 1.0]], ['2, k, 23', [0.0638005, -0.01998827, 1.0]], ['2, k, 24', [0.1045052, 0.07502147, 1.0]]]
[['2, k, 0', [-0.1565427, 0.2142534, 1.0]], ['2, k, 1', [-0.1593043, 0.4925546, 1.0]], ['2, k, 2', [-0.1613864, 0.7620698, 1.0]], ['2, k, 3', [-0.1532768, 0.9152737, 1.0]], ['2, k, 4', [-0.3064576, 0.6492729, 1.0]], ['2, k, 5', [-0.378488, 0.3558907, 1.0]], ['2, k, 6', [-0.4116267, 0.1350541, 1.0]], ['2, k, 7', [-0.4187416, 0.06160729, 1.0]], ['2, k, 8', [0.01402618, 0.6289338, 1.0]], ['2, k, 9', [0.04217167, 0.3668314, 1.0]], ['2, k, 10', [0.06107762, 0.1159895, 1.0]], ['2, k, 11', [0.05938673, 0.0467396, 1.0]], ['2, k, 12', [-0.219279, 0.2117248, 1.0]], ['2, k, 13', [-0.2567356, -0.2204835, 1.0]], ['2, k, 14', [-0.2379341, -0.5352343, 1.0]], ['2, k, 15', [-0.2338201, -0.6221235, 1.0]], ['2, k, 16', [-0.09000736, 0.211185, 1.0]], ['2, k, 17', [-0.08496339, -0.2266819, 1.0]], ['2, k, 18', [-0.1111273, -0.5531141, 1.0]], ['2, k, 19', [-0.1156296, -0.6229475, 1.0]], ['2, k, 20', [-0.1610041, 0.6959154, 1.0]], ['2, k, 21', [-0.4118201, -0.01055892, 1.0]], ['2, k, 22', [-0.3725418, 0.06711637, 1.0]], ['2, k, 23', [0.05628824, -0.02197802, 1.0]], ['2, k, 24', [0.1082537, 0.06490564, 1.0]]]
[['2, k, 0', [-0.15664, 0.2141507, 1.0]], ['2, k, 1', [-0.1593775, 0.4924622, 1.0]], ['2, k, 2', [-0.1614357, 0.7620083, 1.0]], ['2, k, 3', [-0.1535248, 0.9152282, 1.0]], ['2, k, 4', [-0.3067317, 0.6491582, 1.0]], ['2, k, 5', [-0.3812472, 0.3548044, 1.0]], ['2, k, 6', [-0.4111997, 0.1375567, 1.0]], ['2, k, 7', [-0.4188428, 0.07875967, 1.0]], ['2, k, 8', [0.01407309, 0.6289237, 1.0]], ['2, k, 9', [0.04305468, 0.368654, 1.0]], ['2, k, 10', [0.06099465, 0.1158811, 1.0]], ['2, k, 11', [0.05820032, 0.0467314, 1.0]], ['2, k, 12', [-0.2193617, 0.2116351, 1.0]], ['2, k, 13', [-0.2579515, -0.2210058, 1.0]], ['2, k, 14', [-0.2391014, -0.535253, 1.0]], ['2, k, 15', [-0.234464, -0.6218354, 1.0]], ['2, k, 16', [-0.09010839, 0.2110952, 1.0]], ['2, k, 17', [-0.08660444, -0.2269066, 1.0]], ['2, k, 18', [-0.1112177, -0.5530915, 1.0]], ['2, k, 19', [-0.1156669, -0.6228999, 1.0]], ['2, k, 20', [-0.1610577, 0.6958481, 1.0]], ['2, k, 21', [-0.4201955, 0.01280589, 1.0]], ['2, k, 22', [-0.3786225, 0.05807731, 1.0]], ['2, k, 23', [0.05640375, -0.02444738, 1.0]], ['2, k, 24', [0.1097349, 0.06187483, 1.0]]]
[['2, k, 0', [-0.1565992, 0.2141816, 1.0]], ['2, k, 1', [-0.1594035, 0.4924744, 1.0]], ['2, k, 2', [-0.1616045, 0.7620217, 1.0]], ['2, k, 3', [-0.1537016, 0.9152845, 1.0]], ['2, k, 4', [-0.3069962, 0.6492487, 1.0]], ['2, k, 5', [-0.3779177, 0.3941211, 1.0]], ['2, k, 6', [-0.4025581, 0.1925038, 1.0]], ['2, k, 7', [-0.4158338, 0.1553557, 1.0]], ['2, k, 8', [0.01410717, 0.6289742, 1.0]], ['2, k, 9', [0.04309967, 0.3697634, 1.0]], ['2, k, 10', [0.06099947, 0.1164922, 1.0]], ['2, k, 11', [0.05454839, 0.04988525, 1.0]], ['2, k, 12', [-0.2193336, 0.2116599, 1.0]], ['2, k, 13', [-0.2577561, -0.2206788, 1.0]], ['2, k, 14', [-0.2404671, -0.5352078, 1.0]], ['2, k, 15', [-0.2338795, -0.6215922, 1.0]], ['2, k, 16', [-0.09005193, 0.211148, 1.0]], ['2, k, 17', [-0.08859934, -0.2266863, 1.0]], ['2, k, 18', [-0.1118739, -0.536873, 1.0]], ['2, k, 19', [-0.1153249, -0.6231095, 1.0]], ['2, k, 20', [-0.1611803, 0.6958613, 1.0]], ['2, k, 21', [-0.4071641, 0.1035673, 1.0]], ['2, k, 22', [-0.3774252, 0.1428971, 1.0]], ['2, k, 23', [0.05347189, -0.01962526, 1.0]], ['2, k, 24', [0.1056314, 0.06488055, 1.0]]]
[['2, k, 0', [-0.1567268, 0.2143844, 1.0]], ['2, k, 1', [-0.1594871, 0.4925756, 1.0]], ['2, k, 2', [-0.1616671, 0.7620892, 1.0]], ['2, k, 3', [-0.1537369, 0.9151831, 1.0]], ['2, k, 4', [-0.3070707, 0.6491592, 1.0]], ['2, k, 5', [-0.3761583, 0.3989199, 1.0]], ['2, k, 6', [-0.4019637, 0.2233009, 1.0]], ['2, k, 7', [-0.419073, 0.1961919, 1.0]], ['2, k, 8', [0.01415459, 0.6290246, 1.0]], ['2, k, 9', [0.04293108, 0.3706925, 1.0]], ['2, k, 10', [0.0604078, 0.1163261, 1.0]], ['2, k, 11', [0.05622728, 0.05091359, 1.0]], ['2, k, 12', [-0.2195693, 0.2121357, 1.0]], ['2, k, 13', [-0.257163, -0.2205326, 1.0]], ['2, k, 14', [-0.2400244, -0.535041, 1.0]], ['2, k, 15', [-0.2342945, -0.6216469, 1.0]], ['2, k, 16', [-0.090106, 0.2112091, 1.0]], ['2, k, 17', [-0.08875081, -0.226632, 1.0]], ['2, k, 18', [-0.1120131, -0.5367962, 1.0]], ['2, k, 19', [-0.1158397, -0.6237513, 1.0]], ['2, k, 20', [-0.1612472, 0.695936, 1.0]], ['2, k, 21', [-0.4194974, 0.1573764, 1.0]], ['2, k, 22', [-0.379781, 0.1776579, 1.0]], ['2, k, 23', [0.05721033, -0.01798405, 1.0]], ['2, k, 24', [0.1057391, 0.06792214, 1.0]]]
[['2, k, 0', [-0.1568162, 0.2145011, 1.0]], ['2, k, 1', [-0.1595894, 0.492565, 1.0]], ['2, k, 2', [-0.161823, 0.7619451, 1.0]], ['2, k, 3', [-0.1540417, 0.9146567, 1.0]], ['2, k, 4', [-0.3073373, 0.6490742, 1.0]], ['2, k, 5', [-0.375491, 0.4057031, 1.0]], ['2, k, 6', [-0.4103106, 0.2436718, 1.0]], ['2, k, 7', [-0.4227183, 0.2469799, 1.0]], ['2, k, 8', [0.01387504, 0.6291842, 1.0]], ['2, k, 9', [0.04259643, 0.370946, 1.0]], ['2, k, 10', [0.06009044, 0.1168698, 1.0]], ['2, k, 11', [0.0552838, 0.04945331, 1.0]], ['2, k, 12', [-0.2197032, 0.2122401, 1.0]], ['2, k, 13', [-0.2569922, -0.2205692, 1.0]], ['2, k, 14', [-0.2402382, -0.5351005, 1.0]], ['2, k, 15', [-0.2344066, -0.621682, 1.0]], ['2, k, 16', [-0.09015364, 0.211349, 1.0]], ['2, k, 17', [-0.08903808, -0.2267206, 1.0]], ['2, k, 18', [-0.1120825, -0.5533703, 1.0]], ['2, k, 19', [-0.114478, -0.6236348, 1.0]], ['2, k, 20', [-0.1613866, 0.6958334, 1.0]], ['2, k, 21', [-0.4058476, 0.2098346, 1.0]], ['2, k, 22', [-0.370087, 0.2276987, 1.0]], ['2, k, 23', [0.05102687, -0.0184885, 1.0]], ['2, k, 24', [0.1060018, 0.06672578, 1.0]]]
[['2, k, 0', [-0.1568675, 0.21475, 1.0]], ['2, k, 1', [-0.1596481, 0.4927166, 1.0]], ['2, k, 2', [-0.1618935, 0.7620296, 1.0]], ['2, k, 3', [-0.1541863, 0.9147012, 1.0]], ['2, k, 4', [-0.3071744, 0.649262, 1.0]], ['2, k, 5', [-0.3713794, 0.4283458, 1.0]], ['2, k, 6', [-0.3943991, 0.3559639, 1.0]], ['2, k, 7', [-0.4031159, 0.3370657, 1.0]], ['2, k, 8', [0.01393609, 0.6292048, 1.0]], ['2, k, 9', [0.04239997, 0.372382, 1.0]], ['2, k, 10', [0.05963704, 0.1169867, 1.0]], ['2, k, 11', [0.0551422, 0.05070532, 1.0]], ['2, k, 12', [-0.2198498, 0.2127846, 1.0]], ['2, k, 13', [-0.2574121, -0.2198416, 1.0]], ['2, k, 14', [-0.2429678, -0.5604604, 1.0]], ['2, k, 15', [-0.2337385, -0.6377474, 1.0]], ['2, k, 16', [-0.09015168, 0.2114294, 1.0]], ['2, k, 17', [-0.08787798, -0.2267798, 1.0]], ['2, k, 18', [-0.1129018, -0.553129, 1.0]], ['2, k, 19', [-0.1153302, -0.6224546, 1.0]], ['2, k, 20', [-0.1614559, 0.6959422, 1.0]], ['2, k, 21', [-0.4156579, 0.3160492, 1.0]], ['2, k, 22', [-0.3920413, 0.2994303, 1.0]], ['2, k, 23', [0.04954591, -0.01876811, 1.0]], ['2, k, 24', [0.1121172, 0.05609772, 1.0]]]
[['2, k, 0', [-0.1568952, 0.2147909, 1.0]], ['2, k, 1', [-0.1596889, 0.4927073, 1.0]], ['2, k, 2', [-0.1619384, 0.7619652, 1.0]], ['2, k, 3', [-0.1541453, 0.9147767, 1.0]], ['2, k, 4', [-0.3066745, 0.6496807, 1.0]], ['2, k, 5', [-0.3680013, 0.4292934, 1.0]], ['2, k, 6', [-0.3967256, 0.3383542, 1.0]], ['2, k, 7', [-0.3983949, 0.3898544, 1.0]], ['2, k, 8', [0.01367385, 0.6293671, 1.0]], ['2, k, 9', [0.04234896, 0.3766152, 1.0]], ['2, k, 10', [0.05848097, 0.1161939, 1.0]], ['2, k, 11', [0.05356484, 0.05229324, 1.0]], ['2, k, 12', [-0.219917, 0.2127619, 1.0]], ['2, k, 13', [-0.2563559, -0.2201515, 1.0]], ['2, k, 14', [-0.2400991, -0.5348099, 1.0]], ['2, k, 15', [-0.2341406, -0.6214956, 1.0]], ['2, k, 16', [-0.09014483, 0.2115452, 1.0]], ['2, k, 17', [-0.08693244, -0.2268887, 1.0]], ['2, k, 18', [-0.113135, -0.5528277, 1.0]], ['2, k, 19', [-0.1159391, -0.6225222, 1.0]], ['2, k, 20', [-0.1615008, 0.6958923, 1.0]], ['2, k, 21', [-0.3983416, 0.4163357, 1.0]], ['2, k, 22', [-0.4478723, 0.4086118, 1.0]], ['2, k, 23', [0.05166744, -0.01444372, 1.0]], ['2, k, 24', [0.1030334, 0.06714161, 1.0]]]
[['2, k, 0', [-0.1570732, 0.2152834, 1.0]], ['2, k, 1', [-0.1597616, 0.4929215, 1.0]], ['2, k, 2', [-0.1619202, 0.7620336, 1.0]], ['2, k, 3', [-0.1542482, 0.914489, 1.0]], ['2, k, 4', [-0.3062318, 0.6567788, 1.0]], ['2, k, 5', [-0.3681132, 0.4155566, 1.0]], ['2, k, 6', [-0.3827192, 0.4164596, 1.0]], ['2, k, 7', [-0.389686, 0.4458188, 1.0]], ['2, k, 8', [0.01370572, 0.6294429, 1.0]], ['2, k, 9', [0.0424851, 0.3785437, 1.0]], ['2, k, 10', [0.05775304, 0.1151875, 1.0]], ['2, k, 11', [0.05330989, 0.05129687, 1.0]], ['2, k, 12', [-0.2201708, 0.2133644, 1.0]], ['2, k, 13', [-0.2554109, -0.2198088, 1.0]], ['2, k, 14', [-0.2390026, -0.5346707, 1.0]], ['2, k, 15', [-0.2340667, -0.6216321, 1.0]], ['2, k, 16', [-0.09025008, 0.2119431, 1.0]], ['2, k, 17', [-0.0857951, -0.2266697, 1.0]], ['2, k, 18', [-0.1131803, -0.5530587, 1.0]], ['2, k, 19', [-0.1160932, -0.6231632, 1.0]], ['2, k, 20', [-0.1615097, 0.6959996, 1.0]], ['2, k, 21', [-0.3883962, 0.4782176, 1.0]], ['2, k, 22', [-0.4206627, 0.4311218, 1.0]], ['2, k, 23', [0.05326573, -0.01630016, 1.0]], ['2, k, 24', [0.1028525, 0.06873858, 1.0]]]
