[['2, k, 0', [-0.183157, -0.751792, 1.0]], ['2, k, 1', [-0.187714, -0.45569, 1.0]], ['2, k, 2', [-0.191201, -0.164118, 1.0]], ['2, k, 3', [-0.18545, -0.0201523, 1.0]], ['2, k, 4', [-0.378939, -0.256444, 1.0]], ['2, k, 5', [-0.514299, -0.435918, 1.0]], ['2, k, 6', [-0.421637, -0.578705, 1.0]], ['2, k, 7', [-0.370525, -0.611462, 1.0]], ['2, k, 8', [0.00523713, -0.264207, 1.0]], ['2, k, 9', [0.130068, -0.419135, 1.0]], ['2, k, 10', [0.0615509, -0.577863, 1.0]], ['2, k, 11', [0.0202356, -0.609867, 1.0]], ['2, k, 12', [-0.268298, -0.740142, 1.0]], ['2, k, 13', [-0.325619, -1.05925, 1.0]], ['2, k, 14', [-0.340332, -1.4048, 1.0]], ['2, k, 15', [-0.290685, -1.50243, 1.0]], ['2, k, 16', [-0.0932107, -0.743777, 1.0]], ['2, k, 17', [-0.0545653, -1.07704, 1.0]], ['2, k, 18', [-0.0331566, -1.42159, 1.0]], ['2, k, 19', [-0.0732439, -1.49181, 1.0]], ['2, k, 20', [-0.190515, -0.236453, 1.0]], ['2, k, 21', [-0.327925, -0.676691, 1.0]], ['2, k, 22', [-0.329085, -0.561052, 1.0]], ['2, k, 23', [-0.0026192, -0.681387, 1.0]], ['2, k, 24', [-0.00586467, -0.574251, 1.0]]]
[['2, k, 0', [-0.183203, -0.751715, 1.0]], ['2, k, 1', [-0.18783, -0.455554, 1.0]], ['2, k, 2', [-0.191417, -0.163903, 1.0]], ['2, k, 3', [-0.185542, -0.0201338, 1.0]], ['2, k, 4', [-0.378955, -0.25646, 1.0]], ['2, k, 5', [-0.514317, -0.43598, 1.0]], ['2, k, 6', [-0.421625, -0.578769, 1.0]], ['2, k, 7', [-0.370537, -0.612762, 1.0]], ['2, k, 8', [0.00535124, -0.264149, 1.0]], ['2, k, 9', [0.129911, -0.418675, 1.0]], ['2, k, 10', [0.0582604, -0.576686, 1.0]], ['2, k, 11', [0.0102191, -0.614081, 1.0]], ['2, k, 12', [-0.268323, -0.740114, 1.0]], ['2, k, 13', [-0.325541, -1.05931, 1.0]], ['2, k, 14', [-0.340521, -1.40442, 1.0]], ['2, k, 15', [-0.280705, -1.4993, 1.0]], ['2, k, 16', [-0.0932884, -0.743607, 1.0]], ['2, k, 17', [-0.0544339, -1.07654, 1.0]], ['2, k, 18', [-0.0339913, -1.42175, 1.0]], ['2, k, 19', [-0.0746417, -1.49373, 1.0]], ['2, k, 20', [-0.190704, -0.236259, 1.0]], ['2, k, 21', [-0.329223, -0.677219, 1.0]], ['2, k, 22', [-0.328676, -0.560438, 1.0]], ['2, k, 23', [-0.0130262, -0.683428, 1.0]], ['2, k, 24', [-0.0265408, -0.56999, 1.0]]]
[['2, k, 0', [-0.183169, -0.75155, 1.0]], ['2, k, 1', [-0.187835, -0.455536, 1.0]], ['2, k, 2', [-0.191493, -0.163952, 1.0]], ['2, k, 3', [-0.185941, -0.02017, 1.0]], ['2, k, 4', [-0.378986, -0.256437, 1.0]], ['2, k, 5', [-0.514233, -0.436079, 1.0]], ['2, k, 6', [-0.421522, -0.579133, 1.0]], ['2, k, 7', [-0.370872, -0.612347, 1.0]], ['2, k, 8', [0.0053816, -0.2641, 1.0]], ['2, k, 9', [0.129743, -0.417876, 1.0]], ['2, k, 10', [0.0583858, -0.575808, 1.0]], ['2, k, 11', [0.00898394, -0.615384, 1.0]], ['2, k, 12', [-0.268292, -0.739968, 1.0]], ['2, k, 13', [-0.325024, -1.06014, 1.0]], ['2, k, 14', [-0.340312, -1.4046, 1.0]], ['2, k, 15', [-0.280893, -1.5016, 1.0]], ['2, k, 16', [-0.0932531, -0.743441, 1.0]], ['2, k, 17', [-0.0546824, -1.07692, 1.0]], ['2, k, 18', [-0.0336055, -1.4213, 1.0]], ['2, k, 19', [-0.0737724, -1.49234, 1.0]], ['2, k, 20', [-0.190753, -0.236275, 1.0]], ['2, k, 21', [-0.328732, -0.678128, 1.0]], ['2, k, 22', [-0.329352, -0.563243, 1.0]], ['2, k, 23', [-0.0176485, -0.680627, 1.0]], ['2, k, 24', [-0.0248013, -0.568067, 1.0]]]
[['2, k, 0', [-0.183064, -0.751477, 1.0]], ['2, k, 1', [-0.187842, -0.455534, 1.0]], ['2, k, 2', [-0.191678, -0.16404, 1.0]], ['2, k, 3', [-0.186421, -0.0202555, 1.0]], ['2, k, 4', [-0.378973, -0.256467, 1.0]], ['2, k, 5', [-0.513706, -0.436192, 1.0]], ['2, k, 6', [-0.421122, -0.579584, 1.0]], ['2, k, 7', [-0.369946, -0.612205, 1.0]], ['2, k, 8', [0.00540189, -0.263962, 1.0]], ['2, k, 9', [0.129939, -0.417223, 1.0]], ['2, k, 10', [0.0589686, -0.575272, 1.0]], ['2, k, 11', [0.0104937, -0.6105, 1.0]], ['2, k, 12', [-0.268219, -0.739951, 1.0]], ['2, k, 13', [-0.324673, -1.06062, 1.0]], ['2, k, 14', [-0.340547, -1.40424, 1.0]], ['2, k, 15', [-0.281346, -1.50058, 1.0]], ['2, k, 16', [-0.0931172, -0.743294, 1.0]], ['2, k, 17', [-0.0546056, -1.077, 1.0]], ['2, k, 18', [-0.0342861, -1.42403, 1.0]], ['2, k, 19', [-0.0732597, -1.49491, 1.0]], ['2, k, 20', [-0.19087, -0.236328, 1.0]], ['2, k, 21', [-0.329162, -0.679024, 1.0]], ['2, k, 22', [-0.329046, -0.562024, 1.0]], ['2, k, 23', [-0.0177059, -0.67572, 1.0]], ['2, k, 24', [-0.0256265, -0.564861, 1.0]]]
[['2, k, 0', [-0.182756, -0.751277, 1.0]], ['2, k, 1', [-0.187857, -0.455488, 1.0]], ['2, k, 2', [-0.191887, -0.164045, 1.0]], ['2, k, 3', [-0.187012, -0.0201819, 1.0]], ['2, k, 4', [-0.379329, -0.256992, 1.0]], ['2, k, 5', [-0.513473, -0.43625, 1.0]], ['2, k, 6', [-0.420988, -0.57969, 1.0]], ['2, k, 7', [-0.370185, -0.613006, 1.0]], ['2, k, 8', [0.00540867, -0.263839, 1.0]], ['2, k, 9', [0.130257, -0.4162, 1.0]], ['2, k, 10', [0.0593237, -0.574072, 1.0]], ['2, k, 11', [0.0101723, -0.611368, 1.0]], ['2, k, 12', [-0.26797, -0.739932, 1.0]], ['2, k, 13', [-0.324372, -1.0607, 1.0]], ['2, k, 14', [-0.340646, -1.40507, 1.0]], ['2, k, 15', [-0.296387, -1.49121, 1.0]], ['2, k, 16', [-0.092746, -0.742859, 1.0]], ['2, k, 17', [-0.054202, -1.07709, 1.0]], ['2, k, 18', [-0.0340355, -1.42399, 1.0]], ['2, k, 19', [-0.0693497, -1.49457, 1.0]], ['2, k, 20', [-0.191004, -0.23632, 1.0]], ['2, k, 21', [-0.32834, -0.677544, 1.0]], ['2, k, 22', [-0.328696, -0.560263, 1.0]], ['2, k, 23', [-0.0198875, -0.677543, 1.0]], ['2, k, 24', [-0.0212654, -0.56881, 1.0]]]
[['2, k, 0', [-0.182632, -0.751288, 1.0]], ['2, k, 1', [-0.187894, -0.455492, 1.0]], ['2, k, 2', [-0.19218, -0.16407, 1.0]], ['2, k, 3', [-0.187663, -0.0204016, 1.0]], ['2, k, 4', [-0.379397, -0.257052, 1.0]], ['2, k, 5', [-0.512508, -0.437089, 1.0]], ['2, k, 6', [-0.420329, -0.581296, 1.0]], ['2, k, 7', [-0.366902, -0.618122, 1.0]], ['2, k, 8', [0.00539967, -0.263666, 1.0]], ['2, k, 9', [0.130322, -0.415531, 1.0]], ['2, k, 10', [0.0594862, -0.573448, 1.0]], ['2, k, 11', [0.0104931, -0.610509, 1.0]], ['2, k, 12', [-0.267835, -0.74002, 1.0]], ['2, k, 13', [-0.324034, -1.06213, 1.0]], ['2, k, 14', [-0.340591, -1.40466, 1.0]], ['2, k, 15', [-0.338895, -1.44349, 1.0]], ['2, k, 16', [-0.0926391, -0.742822, 1.0]], ['2, k, 17', [-0.0540791, -1.07724, 1.0]], ['2, k, 18', [-0.0337975, -1.42289, 1.0]], ['2, k, 19', [-0.069858, -1.48744, 1.0]], ['2, k, 20', [-0.191205, -0.23634, 1.0]], ['2, k, 21', [-0.321341, -0.685575, 1.0]], ['2, k, 22', [-0.324977, -0.568678, 1.0]], ['2, k, 23', [-0.0198757, -0.676996, 1.0]], ['2, k, 24', [-0.0250543, -0.565743, 1.0]]]
[['2, k, 0', [-0.182419, -0.751277, 1.0]], ['2, k, 1', [-0.187849, -0.455543, 1.0]], ['2, k, 2', [-0.192204, -0.164349, 1.0]], ['2, k, 3', [-0.18809, -0.0206916, 1.0]], ['2, k, 4', [-0.379477, -0.257124, 1.0]], ['2, k, 5', [-0.512544, -0.437114, 1.0]], ['2, k, 6', [-0.420278, -0.581322, 1.0]], ['2, k, 7', [-0.366571, -0.622472, 1.0]], ['2, k, 8', [0.00542213, -0.263537, 1.0]], ['2, k, 9', [0.130385, -0.415266, 1.0]], ['2, k, 10', [0.0595424, -0.573104, 1.0]], ['2, k, 11', [0.0104867, -0.610925, 1.0]], ['2, k, 12', [-0.26765, -0.74006, 1.0]], ['2, k, 13', [-0.323985, -1.0627, 1.0]], ['2, k, 14', [-0.340207, -1.40391, 1.0]], ['2, k, 15', [-0.28072, -1.49323, 1.0]], ['2, k, 16', [-0.0924036, -0.74276, 1.0]], ['2, k, 17', [-0.0536733, -1.07712, 1.0]], ['2, k, 18', [-0.0342104, -1.42329, 1.0]], ['2, k, 19', [-0.0706989, -1.4882, 1.0]], ['2, k, 20', [-0.191204, -0.236544, 1.0]], ['2, k, 21', [-0.323097, -0.685305, 1.0]], ['2, k, 22', [-0.325941, -0.573415, 1.0]], ['2, k, 23', [-0.0198726, -0.677115, 1.0]], ['2, k, 24', [-0.022275, -0.567373, 1.0]]]
[['2, k, 0', [-0.182282, -0.751287, 1.0]], ['2, k, 1', [-0.187899, -0.455606, 1.0]], ['2, k, 2', [-0.192579, -0.164646, 1.0]], ['2, k, 3', [-0.188667, -0.0210203, 1.0]], ['2, k, 4', [-0.379801, -0.257348, 1.0]], ['2, k, 5', [-0.512473, -0.436855, 1.0]], ['2, k, 6', [-0.420482, -0.58134, 1.0]], ['2, k, 7', [-0.365838, -0.622057, 1.0]], ['2, k, 8', [0.0053552, -0.263092, 1.0]], ['2, k, 9', [0.130569, -0.414971, 1.0]], ['2, k, 10', [0.0595534, -0.57282, 1.0]], ['2, k, 11', [0.0105093, -0.610666, 1.0]], ['2, k, 12', [-0.267479, -0.740289, 1.0]], ['2, k, 13', [-0.32403, -1.06326, 1.0]], ['2, k, 14', [-0.340224, -1.40514, 1.0]], ['2, k, 15', [-0.30313, -1.47005, 1.0]], ['2, k, 16', [-0.0923, -0.742652, 1.0]], ['2, k, 17', [-0.0536329, -1.07871, 1.0]], ['2, k, 18', [-0.0349545, -1.42427, 1.0]], ['2, k, 19', [-0.0301405, -1.45795, 1.0]], ['2, k, 20', [-0.191469, -0.236764, 1.0]], ['2, k, 21', [-0.322582, -0.686264, 1.0]], ['2, k, 22', [-0.324398, -0.575856, 1.0]], ['2, k, 23', [-0.0198705, -0.676979, 1.0]], ['2, k, 24', [-0.0228827, -0.56574, 1.0]]]
[['2, k, 0', [-0.182194, -0.751217, 1.0]], ['2, k, 1', [-0.187911, -0.455642, 1.0]], ['2, k, 2', [-0.192769, -0.165009, 1.0]], ['2, k, 3', [-0.18941, -0.0212526, 1.0]], ['2, k, 4', [-0.379944, -0.257455, 1.0]], ['2, k, 5', [-0.512331, -0.43671, 1.0]], ['2, k, 6', [-0.420376, -0.581776, 1.0]], ['2, k, 7', [-0.365887, -0.621624, 1.0]], ['2, k, 8', [0.00537825, -0.262997, 1.0]], ['2, k, 9', [0.130568, -0.414491, 1.0]], ['2, k, 10', [0.0597141, -0.572474, 1.0]], ['2, k, 11', [0.0105042, -0.6108, 1.0]], ['2, k, 12', [-0.2674, -0.740284, 1.0]], ['2, k, 13', [-0.323721, -1.06435, 1.0]], ['2, k, 14', [-0.340423, -1.40525, 1.0]], ['2, k, 15', [-0.30615, -1.46848, 1.0]], ['2, k, 16', [-0.0922122, -0.742531, 1.0]], ['2, k, 17', [-0.0533657, -1.0788, 1.0]], ['2, k, 18', [-0.0344966, -1.42407, 1.0]], ['2, k, 19', [-0.0298707, -1.45611, 1.0]], ['2, k, 20', [-0.191609, -0.237026, 1.0]], ['2, k, 21', [-0.32311, -0.686601, 1.0]], ['2, k, 22', [-0.326548, -0.571964, 1.0]], ['2, k, 23', [-0.0198726, -0.677113, 1.0]], ['2, k, 24', [-0.0238827, -0.567538, 1.0]]]
[['2, k, 0', [-0.182186, -0.751251, 1.0]], ['2, k, 1', [-0.187973, -0.455711, 1.0]], ['2, k, 2', [-0.19294, -0.165156, 1.0]], ['2, k, 3', [-0.189832, -0.0215147, 1.0]], ['2, k, 4', [-0.380148, -0.25768, 1.0]], ['2, k, 5', [-0.512542, -0.436735, 1.0]], ['2, k, 6', [-0.420663, -0.581803, 1.0]], ['2, k, 7', [-0.370303, -0.616764, 1.0]], ['2, k, 8', [0.00545579, -0.262745, 1.0]], ['2, k, 9', [0.130649, -0.413334, 1.0]], ['2, k, 10', [0.0597247, -0.572397, 1.0]], ['2, k, 11', [0.0123452, -0.609188, 1.0]], ['2, k, 12', [-0.267423, -0.74081, 1.0]], ['2, k, 13', [-0.323877, -1.06449, 1.0]], ['2, k, 14', [-0.340557, -1.40554, 1.0]], ['2, k, 15', [-0.338985, -1.43996, 1.0]], ['2, k, 16', [-0.0921777, -0.742163, 1.0]], ['2, k, 17', [-0.0533597, -1.07896, 1.0]], ['2, k, 18', [-0.0344667, -1.42295, 1.0]], ['2, k, 19', [-0.0300309, -1.45426, 1.0]], ['2, k, 20', [-0.191748, -0.237149, 1.0]], ['2, k, 21', [-0.3294, -0.679738, 1.0]], ['2, k, 22', [-0.330027, -0.567936, 1.0]], ['2, k, 23', [-0.0130453, -0.677203, 1.0]], ['2, k, 24', [-0.0217973, -0.568224, 1.0]]]
[['2, k, 0', [-0.182054, -0.751236, 1.0]], ['2, k, 1', [-0.188029, -0.455783, 1.0]], ['2, k, 2', [-0.193318, -0.165441, 1.0]], ['2, k, 3', [-0.190323, -0.0216576, 1.0]], ['2, k, 4', [-0.380524, -0.258026, 1.0]], ['2, k, 5', [-0.512178, -0.436688, 1.0]], ['2, k, 6', [-0.42064, -0.582016, 1.0]], ['2, k, 7', [-0.370761, -0.616597, 1.0]], ['2, k, 8', [0.00541255, -0.262336, 1.0]], ['2, k, 9', [0.131209, -0.412387, 1.0]], ['2, k, 10', [0.0598235, -0.572385, 1.0]], ['2, k, 11', [0.0105965, -0.610034, 1.0]], ['2, k, 12', [-0.267278, -0.741122, 1.0]], ['2, k, 13', [-0.323793, -1.06447, 1.0]], ['2, k, 14', [-0.34103, -1.40524, 1.0]], ['2, k, 15', [-0.343018, -1.48242, 1.0]], ['2, k, 16', [-0.0920167, -0.741885, 1.0]], ['2, k, 17', [-0.0530114, -1.07839, 1.0]], ['2, k, 18', [-0.0355054, -1.42416, 1.0]], ['2, k, 19', [-0.079895, -1.49512, 1.0]], ['2, k, 20', [-0.192034, -0.237379, 1.0]], ['2, k, 21', [-0.329841, -0.681927, 1.0]], ['2, k, 22', [-0.329494, -0.569238, 1.0]], ['2, k, 23', [-0.0198905, -0.677311, 1.0]], ['2, k, 24', [-0.0244458, -0.566208, 1.0]]]
