[['2, k, 0', [0.0216425, -0.02488332, 1.0]], ['2, k, 1', [0.02838735, 0.225996, 1.0]], ['2, k, 2', [0.03241352, 0.4648482, 1.0]], ['2, k, 3', [0.05014714, 0.6089049, 1.0]], ['2, k, 4', [-0.1599619, 0.4093519, 1.0]], ['2, k, 5', [-0.2505726, 0.1955013, 1.0]], ['2, k, 6', [-0.2513981, 0.04980948, 1.0]], ['2, k, 7', [-0.235847, -0.01520383, 1.0]], ['2, k, 8', [0.2207831, 0.3646625, 1.0]], ['2, k, 9', [0.2784498, 0.1617171, 1.0]], ['2, k, 10', [0.3027763, 0.01394336, 1.0]], ['2, k, 11', [0.2974904, -0.0009672932, 1.0]], ['2, k, 12', [-0.05735202, -0.02302107, 1.0]], ['2, k, 13', [-0.1010962, -0.2907062, 1.0]], ['2, k, 14', [-0.07620283, -0.6102429, 1.0]], ['2, k, 15', [-0.05824514, -0.6541497, 1.0]], ['2, k, 16', [0.1000675, -0.02614376, 1.0]], ['2, k, 17', [0.1637376, -0.2931755, 1.0]], ['2, k, 18', [0.1033822, -0.6069338, 1.0]], ['2, k, 19', [0.09655441, -0.6535575, 1.0]], ['2, k, 20', [0.03207259, 0.406761, 1.0]], ['2, k, 21', [-0.2178677, -0.09112397, 1.0]], ['2, k, 22', [-0.2633133, -0.03628603, 1.0]], ['2, k, 23', [0.298388, -0.04532286, 1.0]], ['2, k, 24', [0.250017, -0.04906684, 1.0]]]
[['2, k, 0', [0.02126373, -0.005187565, 1.0]], ['2, k, 1', [0.02719783, 0.2295968, 1.0]], ['2, k, 2', [0.03161, 0.4644366, 1.0]], ['2, k, 3', [0.04909987, 0.6085477, 1.0]], ['2, k, 4', [-0.1600988, 0.4093994, 1.0]], ['2, k, 5', [-0.250998, 0.1955863, 1.0]], ['2, k, 6', [-0.2422679, 0.004589576, 1.0]], ['2, k, 7', [-0.2269307, -0.03783248, 1.0]], ['2, k, 8', [0.2209463, 0.3652799, 1.0]], ['2, k, 9', [0.272437, 0.1730671, 1.0]], ['2, k, 10', [0.301198, 0.06285679, 1.0]], ['2, k, 11', [0.2920987, 0.0144289, 1.0]], ['2, k, 12', [-0.06202231, -0.005947286, 1.0]], ['2, k, 13', [-0.10774, -0.1937441, 1.0]], ['2, k, 14', [-0.0778167, -0.5973765, 1.0]], ['2, k, 15', [-0.06727324, -0.6506159, 1.0]], ['2, k, 16', [0.104527, -0.003272061, 1.0]], ['2, k, 17', [0.1677683, -0.2061297, 1.0]], ['2, k, 18', [0.1115492, -0.5891949, 1.0]], ['2, k, 19', [0.09886386, -0.6440279, 1.0]], ['2, k, 20', [0.03117321, 0.4068752, 1.0]], ['2, k, 21', [-0.210538, -0.1119034, 1.0]], ['2, k, 22', [-0.273186, -0.02700903, 1.0]], ['2, k, 23', [0.2890373, -0.03484955, 1.0]], ['2, k, 24', [0.2503539, -0.02497672, 1.0]]]
[['2, k, 0', [0.02466194, -0.0106442, 1.0]], ['2, k, 1', [0.02750312, 0.2289426, 1.0]], ['2, k, 2', [0.03094717, 0.4642246, 1.0]], ['2, k, 3', [0.04819689, 0.6084427, 1.0]], ['2, k, 4', [-0.1609105, 0.4094255, 1.0]], ['2, k, 5', [-0.2512538, 0.1956834, 1.0]], ['2, k, 6', [-0.2436572, 0.005813238, 1.0]], ['2, k, 7', [-0.2285989, -0.03787635, 1.0]], ['2, k, 8', [0.2211986, 0.3652418, 1.0]], ['2, k, 9', [0.2882192, 0.2031877, 1.0]], ['2, k, 10', [0.3004118, 0.05636389, 1.0]], ['2, k, 11', [0.2860263, 0.02822984, 1.0]], ['2, k, 12', [-0.05322117, -0.01234515, 1.0]], ['2, k, 13', [-0.1007229, -0.2987258, 1.0]], ['2, k, 14', [-0.07582343, -0.617905, 1.0]], ['2, k, 15', [-0.05778369, -0.6567587, 1.0]], ['2, k, 16', [0.1042507, -0.008895109, 1.0]], ['2, k, 17', [0.1618628, -0.29268, 1.0]], ['2, k, 18', [0.1064258, -0.608368, 1.0]], ['2, k, 19', [0.09765669, -0.6526436, 1.0]], ['2, k, 20', [0.03062619, 0.4065844, 1.0]], ['2, k, 21', [-0.2096957, -0.1064859, 1.0]], ['2, k, 22', [-0.2820279, -0.01727709, 1.0]], ['2, k, 23', [0.2778861, -0.01287943, 1.0]], ['2, k, 24', [0.3005285, -0.0232285, 1.0]]]
[['2, k, 0', [0.02569981, -0.0125976, 1.0]], ['2, k, 1', [0.02774725, 0.2287127, 1.0]], ['2, k, 2', [0.03091935, 0.4642258, 1.0]], ['2, k, 3', [0.04717785, 0.6082013, 1.0]], ['2, k, 4', [-0.1615182, 0.4094165, 1.0]], ['2, k, 5', [-0.251516, 0.1959995, 1.0]], ['2, k, 6', [-0.2446077, 0.007727282, 1.0]], ['2, k, 7', [-0.2289807, -0.03586598, 1.0]], ['2, k, 8', [0.2213625, 0.3651632, 1.0]], ['2, k, 9', [0.2977032, 0.2230494, 1.0]], ['2, k, 10', [0.2906386, 0.07521273, 1.0]], ['2, k, 11', [0.2813316, 0.04606108, 1.0]], ['2, k, 12', [-0.05118763, -0.01381775, 1.0]], ['2, k, 13', [-0.1008686, -0.2984133, 1.0]], ['2, k, 14', [-0.07557572, -0.617743, 1.0]], ['2, k, 15', [-0.05467513, -0.6562468, 1.0]], ['2, k, 16', [0.1039269, -0.01151437, 1.0]], ['2, k, 17', [0.1618894, -0.2928136, 1.0]], ['2, k, 18', [0.1062594, -0.607569, 1.0]], ['2, k, 19', [0.097415, -0.6537839, 1.0]], ['2, k, 20', [0.03060078, 0.4065619, 1.0]], ['2, k, 21', [-0.2020966, -0.09674504, 1.0]], ['2, k, 22', [-0.2834248, -0.01697365, 1.0]], ['2, k, 23', [0.2797332, 0.006099203, 1.0]], ['2, k, 24', [0.2384198, 0.01944155, 1.0]]]
[['2, k, 0', [0.0269177, -0.01587792, 1.0]], ['2, k, 1', [0.02797836, 0.2279807, 1.0]], ['2, k, 2', [0.03069261, 0.464167, 1.0]], ['2, k, 3', [0.04605687, 0.6079908, 1.0]], ['2, k, 4', [-0.1621886, 0.4092031, 1.0]], ['2, k, 5', [-0.2519898, 0.1961646, 1.0]], ['2, k, 6', [-0.2449938, 0.007883766, 1.0]], ['2, k, 7', [-0.2293578, -0.03622076, 1.0]], ['2, k, 8', [0.216719, 0.3623827, 1.0]], ['2, k, 9', [0.2982059, 0.2284667, 1.0]], ['2, k, 10', [0.2848676, 0.08406848, 1.0]], ['2, k, 11', [0.2763698, 0.06215802, 1.0]], ['2, k, 12', [-0.04914944, -0.01671924, 1.0]], ['2, k, 13', [-0.1008471, -0.2995015, 1.0]], ['2, k, 14', [-0.07603006, -0.617377, 1.0]], ['2, k, 15', [-0.05119206, -0.6582885, 1.0]], ['2, k, 16', [0.1037405, -0.01482444, 1.0]], ['2, k, 17', [0.1619428, -0.2928358, 1.0]], ['2, k, 18', [0.1058189, -0.6071199, 1.0]], ['2, k, 19', [0.09865159, -0.6545649, 1.0]], ['2, k, 20', [0.03040168, 0.4063961, 1.0]], ['2, k, 21', [-0.2033309, -0.09979254, 1.0]], ['2, k, 22', [-0.2660113, -0.04232279, 1.0]], ['2, k, 23', [0.2709949, 0.0264657, 1.0]], ['2, k, 24', [0.2251592, 0.05339867, 1.0]]]
[['2, k, 0', [0.0270327, -0.01636998, 1.0]], ['2, k, 1', [0.02793113, 0.2277796, 1.0]], ['2, k, 2', [0.03032155, 0.4640808, 1.0]], ['2, k, 3', [0.04484598, 0.6078486, 1.0]], ['2, k, 4', [-0.1629777, 0.4096542, 1.0]], ['2, k, 5', [-0.2522269, 0.1961898, 1.0]], ['2, k, 6', [-0.2456297, 0.00881198, 1.0]], ['2, k, 7', [-0.2291175, -0.03398615, 1.0]], ['2, k, 8', [0.2166596, 0.3627537, 1.0]], ['2, k, 9', [0.2902473, 0.2318451, 1.0]], ['2, k, 10', [0.2811492, 0.09768176, 1.0]], ['2, k, 11', [0.2726099, 0.08514158, 1.0]], ['2, k, 12', [-0.04886105, -0.0170547, 1.0]], ['2, k, 13', [-0.1010549, -0.2997227, 1.0]], ['2, k, 14', [-0.07603813, -0.6175278, 1.0]], ['2, k, 15', [-0.0510279, -0.6583991, 1.0]], ['2, k, 16', [0.1034357, -0.01549605, 1.0]], ['2, k, 17', [0.1621558, -0.2934289, 1.0]], ['2, k, 18', [0.105916, -0.6075062, 1.0]], ['2, k, 19', [0.09796902, -0.6549956, 1.0]], ['2, k, 20', [0.03007502, 0.4062696, 1.0]], ['2, k, 21', [-0.2061246, -0.1019395, 1.0]], ['2, k, 22', [-0.2728813, -0.02818657, 1.0]], ['2, k, 23', [0.2651337, 0.04680438, 1.0]], ['2, k, 24', [0.2136527, 0.07508609, 1.0]]]
[['2, k, 0', [0.02710049, -0.01687977, 1.0]], ['2, k, 1', [0.02788602, 0.2276904, 1.0]], ['2, k, 2', [0.03003423, 0.4642066, 1.0]], ['2, k, 3', [0.04385917, 0.6079524, 1.0]], ['2, k, 4', [-0.1636846, 0.4094367, 1.0]], ['2, k, 5', [-0.2522669, 0.1961094, 1.0]], ['2, k, 6', [-0.2460261, 0.0101467, 1.0]], ['2, k, 7', [-0.229462, -0.03314964, 1.0]], ['2, k, 8', [0.2165782, 0.3632022, 1.0]], ['2, k, 9', [0.3007367, 0.2554573, 1.0]], ['2, k, 10', [0.275363, 0.1164095, 1.0]], ['2, k, 11', [0.2682558, 0.104659, 1.0]], ['2, k, 12', [-0.04857199, -0.01757955, 1.0]], ['2, k, 13', [-0.1010454, -0.2996611, 1.0]], ['2, k, 14', [-0.07550082, -0.6175529, 1.0]], ['2, k, 15', [-0.05089344, -0.6580014, 1.0]], ['2, k, 16', [0.1031598, -0.01597407, 1.0]], ['2, k, 17', [0.16238, -0.2936465, 1.0]], ['2, k, 18', [0.10594, -0.6074999, 1.0]], ['2, k, 19', [0.09734315, -0.6550894, 1.0]], ['2, k, 20', [0.02982706, 0.4063314, 1.0]], ['2, k, 21', [-0.2100436, -0.1052216, 1.0]], ['2, k, 22', [-0.2855975, -0.01072072, 1.0]], ['2, k, 23', [0.2659033, 0.05081627, 1.0]], ['2, k, 24', [0.2176763, 0.09400579, 1.0]]]
[['2, k, 0', [0.02708091, -0.01697799, 1.0]], ['2, k, 1', [0.02778903, 0.2276779, 1.0]], ['2, k, 2', [0.02965996, 0.4642825, 1.0]], ['2, k, 3', [0.04296432, 0.6080713, 1.0]], ['2, k, 4', [-0.1644463, 0.409271, 1.0]], ['2, k, 5', [-0.2527917, 0.1962976, 1.0]], ['2, k, 6', [-0.2494944, 0.03235187, 1.0]], ['2, k, 7', [-0.2358842, -0.01175143, 1.0]], ['2, k, 8', [0.2164208, 0.3635776, 1.0]], ['2, k, 9', [0.30064, 0.2593183, 1.0]], ['2, k, 10', [0.2685185, 0.1543911, 1.0]], ['2, k, 11', [0.2631579, 0.1262146, 1.0]], ['2, k, 12', [-0.04848932, -0.01783484, 1.0]], ['2, k, 13', [-0.1013873, -0.2958785, 1.0]], ['2, k, 14', [-0.07611965, -0.6134223, 1.0]], ['2, k, 15', [-0.05017879, -0.6568427, 1.0]], ['2, k, 16', [0.1028955, -0.01603079, 1.0]], ['2, k, 17', [0.1626016, -0.2935369, 1.0]], ['2, k, 18', [0.1059288, -0.6072585, 1.0]], ['2, k, 19', [0.09645631, -0.6547678, 1.0]], ['2, k, 20', [0.02949824, 0.4063742, 1.0]], ['2, k, 21', [-0.2234014, -0.06705857, 1.0]], ['2, k, 22', [-0.243181, -0.04175488, 1.0]], ['2, k, 23', [0.255298, 0.09189967, 1.0]], ['2, k, 24', [0.2073863, 0.1204472, 1.0]]]
[['2, k, 0', [0.02753074, -0.01770552, 1.0]], ['2, k, 1', [0.0277908, 0.2275904, 1.0]], ['2, k, 2', [0.02916561, 0.4644955, 1.0]], ['2, k, 3', [0.0416946, 0.608234, 1.0]], ['2, k, 4', [-0.1652195, 0.4090574, 1.0]], ['2, k, 5', [-0.2528909, 0.1964563, 1.0]], ['2, k, 6', [-0.2470226, 0.02323154, 1.0]], ['2, k, 7', [-0.2383507, -0.01248926, 1.0]], ['2, k, 8', [0.210183, 0.3680206, 1.0]], ['2, k, 9', [0.2951001, 0.27521, 1.0]], ['2, k, 10', [0.2682002, 0.1599347, 1.0]], ['2, k, 11', [0.2593219, 0.1474458, 1.0]], ['2, k, 12', [-0.04775768, -0.01873218, 1.0]], ['2, k, 13', [-0.1012136, -0.2963422, 1.0]], ['2, k, 14', [-0.0758367, -0.6138462, 1.0]], ['2, k, 15', [-0.04754301, -0.6567897, 1.0]], ['2, k, 16', [0.1029736, -0.01646232, 1.0]], ['2, k, 17', [0.1626262, -0.2935402, 1.0]], ['2, k, 18', [0.1063234, -0.6075658, 1.0]], ['2, k, 19', [0.09602732, -0.6538985, 1.0]], ['2, k, 20', [0.02915894, 0.4064745, 1.0]], ['2, k, 21', [-0.223398, -0.08145203, 1.0]], ['2, k, 22', [-0.203874, -0.0432563, 1.0]], ['2, k, 23', [0.2515009, 0.1148091, 1.0]], ['2, k, 24', [0.2017151, 0.1391842, 1.0]]]
[['2, k, 0', [0.02750092, -0.01778612, 1.0]], ['2, k, 1', [0.02756646, 0.2276497, 1.0]], ['2, k, 2', [0.02829807, 0.464881, 1.0]], ['2, k, 3', [0.04032917, 0.6084144, 1.0]], ['2, k, 4', [-0.165803, 0.4091964, 1.0]], ['2, k, 5', [-0.2533791, 0.1963824, 1.0]], ['2, k, 6', [-0.2469321, 0.01967072, 1.0]], ['2, k, 7', [-0.2423153, -0.008212735, 1.0]], ['2, k, 8', [0.2079627, 0.3703762, 1.0]], ['2, k, 9', [0.2835135, 0.2598146, 1.0]], ['2, k, 10', [0.2574467, 0.1566203, 1.0]], ['2, k, 11', [0.2558183, 0.1704518, 1.0]], ['2, k, 12', [-0.04765033, -0.01906212, 1.0]], ['2, k, 13', [-0.1012086, -0.2967787, 1.0]], ['2, k, 14', [-0.0764799, -0.6129935, 1.0]], ['2, k, 15', [-0.04759537, -0.6586864, 1.0]], ['2, k, 16', [0.102621, -0.01644786, 1.0]], ['2, k, 17', [0.162725, -0.2937862, 1.0]], ['2, k, 18', [0.106177, -0.6075723, 1.0]], ['2, k, 19', [0.0942695, -0.6540974, 1.0]], ['2, k, 20', [0.02843024, 0.4067598, 1.0]], ['2, k, 21', [-0.2242801, -0.05180661, 1.0]], ['2, k, 22', [-0.2159028, -0.04253822, 1.0]], ['2, k, 23', [0.2542692, 0.14331, 1.0]], ['2, k, 24', [0.1977278, 0.1610125, 1.0]]]
[['2, k, 0', [0.02525852, -0.02790209, 1.0]], ['2, k, 1', [0.02625485, 0.2258231, 1.0]], ['2, k, 2', [0.02746433, 0.4652307, 1.0]], ['2, k, 3', [0.03887, 0.6083601, 1.0]], ['2, k, 4', [-0.1661866, 0.4094466, 1.0]], ['2, k, 5', [-0.2539727, 0.1962043, 1.0]], ['2, k, 6', [-0.2468764, 0.0190715, 1.0]], ['2, k, 7', [-0.2407675, -0.006782355, 1.0]], ['2, k, 8', [0.2043698, 0.374157, 1.0]], ['2, k, 9', [0.2877854, 0.2761987, 1.0]], ['2, k, 10', [0.2580367, 0.20615, 1.0]], ['2, k, 11', [0.2537512, 0.192946, 1.0]], ['2, k, 12', [-0.05058078, -0.02992549, 1.0]], ['2, k, 13', [-0.1015458, -0.297727, 1.0]], ['2, k, 14', [-0.0769319, -0.6138981, 1.0]], ['2, k, 15', [-0.04642843, -0.6590965, 1.0]], ['2, k, 16', [0.1005375, -0.02536677, 1.0]], ['2, k, 17', [0.1627658, -0.2939081, 1.0]], ['2, k, 18', [0.1063538, -0.607841, 1.0]], ['2, k, 19', [0.09432034, -0.6534931, 1.0]], ['2, k, 20', [0.0275942, 0.4068129, 1.0]], ['2, k, 21', [-0.2234331, -0.04473199, 1.0]], ['2, k, 22', [-0.2114706, -0.04374915, 1.0]], ['2, k, 23', [0.2428764, 0.1654071, 1.0]], ['2, k, 24', [0.1982128, 0.1803204, 1.0]]]
