[['2, k, 0', [-0.2054355, -0.4365312, 1.0]], ['2, k, 1', [-0.1958667, -0.1958535, 1.0]], ['2, k, 2', [-0.1852338, 0.04166592, 1.0]], ['2, k, 3', [-0.1819345, 0.1698832, 1.0]], ['2, k, 4', [-0.3591161, -0.05958552, 1.0]], ['2, k, 5', [-0.4681786, -0.2495494, 1.0]], ['2, k, 6', [-0.4988019, -0.3858674, 1.0]], ['2, k, 7', [-0.4899689, -0.4398441, 1.0]], ['2, k, 8', [-0.02255144, -0.08395682, 1.0]], ['2, k, 9', [0.03797847, -0.2910567, 1.0]], ['2, k, 10', [0.1075227, -0.3200336, 1.0]], ['2, k, 11', [0.1300072, -0.3138345, 1.0]], ['2, k, 12', [-0.2759701, -0.4259744, 1.0]], ['2, k, 13', [-0.2726194, -0.5466735, 1.0]], ['2, k, 14', [-0.2096963, -0.9029777, 1.0]], ['2, k, 15', [-0.1958318, -0.956449, 1.0]], ['2, k, 16', [-0.1311322, -0.4362632, 1.0]], ['2, k, 17', [-0.05354104, -0.5243028, 1.0]], ['2, k, 18', [-0.009978815, -0.9158683, 1.0]], ['2, k, 19', [-0.0001965184, -0.9857201, 1.0]], ['2, k, 20', [-0.188232, -0.01715264, 1.0]], ['2, k, 21', [-0.4876199, -0.489937, 1.0]], ['2, k, 22', [-0.519983, -0.4534715, 1.0]], ['2, k, 23', [0.1214288, -0.3462622, 1.0]], ['2, k, 24', [0.1911113, -0.2890764, 1.0]]]
[['2, k, 0', [-0.2055102, -0.4366859, 1.0]], ['2, k, 1', [-0.1959762, -0.1959469, 1.0]], ['2, k, 2', [-0.1854219, 0.0415262, 1.0]], ['2, k, 3', [-0.1833903, 0.1694837, 1.0]], ['2, k, 4', [-0.3587342, -0.05966599, 1.0]], ['2, k, 5', [-0.4678127, -0.2500952, 1.0]], ['2, k, 6', [-0.4988222, -0.3863622, 1.0]], ['2, k, 7', [-0.491168, -0.4419506, 1.0]], ['2, k, 8', [-0.02279245, -0.08396463, 1.0]], ['2, k, 9', [0.03792238, -0.2896734, 1.0]], ['2, k, 10', [0.1110953, -0.3079059, 1.0]], ['2, k, 11', [0.1333325, -0.313141, 1.0]], ['2, k, 12', [-0.2761169, -0.4263229, 1.0]], ['2, k, 13', [-0.2726082, -0.5468462, 1.0]], ['2, k, 14', [-0.2093568, -0.9035441, 1.0]], ['2, k, 15', [-0.1954725, -0.9564402, 1.0]], ['2, k, 16', [-0.1311227, -0.4363316, 1.0]], ['2, k, 17', [-0.05354732, -0.524289, 1.0]], ['2, k, 18', [-0.009965996, -0.9156377, 1.0]], ['2, k, 19', [-0.006180908, -0.9828411, 1.0]], ['2, k, 20', [-0.1883785, -0.01727487, 1.0]], ['2, k, 21', [-0.4921429, -0.4911653, 1.0]], ['2, k, 22', [-0.5204729, -0.4548435, 1.0]], ['2, k, 23', [0.1373897, -0.3502615, 1.0]], ['2, k, 24', [0.194668, -0.2903556, 1.0]]]
[['2, k, 0', [-0.2055139, -0.4366973, 1.0]], ['2, k, 1', [-0.1958795, -0.1957807, 1.0]], ['2, k, 2', [-0.1851767, 0.04190655, 1.0]], ['2, k, 3', [-0.1837618, 0.1694157, 1.0]], ['2, k, 4', [-0.358574, -0.05973566, 1.0]], ['2, k, 5', [-0.467741, -0.2500948, 1.0]], ['2, k, 6', [-0.4988439, -0.3864071, 1.0]], ['2, k, 7', [-0.4911228, -0.440621, 1.0]], ['2, k, 8', [-0.02293673, -0.08390186, 1.0]], ['2, k, 9', [0.03053905, -0.2773076, 1.0]], ['2, k, 10', [0.09161586, -0.313985, 1.0]], ['2, k, 11', [0.1372359, -0.3175983, 1.0]], ['2, k, 12', [-0.2760898, -0.4264229, 1.0]], ['2, k, 13', [-0.2725728, -0.5469661, 1.0]], ['2, k, 14', [-0.2093056, -0.903694, 1.0]], ['2, k, 15', [-0.1950864, -0.9561277, 1.0]], ['2, k, 16', [-0.1310982, -0.4363476, 1.0]], ['2, k, 17', [-0.05345815, -0.5246738, 1.0]], ['2, k, 18', [-0.009961817, -0.9156426, 1.0]], ['2, k, 19', [-0.006160092, -0.9828419, 1.0]], ['2, k, 20', [-0.1881475, -0.01694296, 1.0]], ['2, k, 21', [-0.488308, -0.4897055, 1.0]], ['2, k, 22', [-0.5193903, -0.4454432, 1.0]], ['2, k, 23', [0.1430791, -0.3525929, 1.0]], ['2, k, 24', [0.1927562, -0.2907035, 1.0]]]
[['2, k, 0', [-0.2031532, -0.4372522, 1.0]], ['2, k, 1', [-0.1953763, -0.1957967, 1.0]], ['2, k, 2', [-0.1852752, 0.04193734, 1.0]], ['2, k, 3', [-0.1839403, 0.1694797, 1.0]], ['2, k, 4', [-0.3585196, -0.05987842, 1.0]], ['2, k, 5', [-0.4659743, -0.2519014, 1.0]], ['2, k, 6', [-0.4987179, -0.3868325, 1.0]], ['2, k, 7', [-0.4921066, -0.4425032, 1.0]], ['2, k, 8', [-0.02309078, -0.08389354, 1.0]], ['2, k, 9', [0.03040694, -0.2772689, 1.0]], ['2, k, 10', [0.0919692, -0.3146075, 1.0]], ['2, k, 11', [0.1423293, -0.3216124, 1.0]], ['2, k, 12', [-0.273299, -0.4278438, 1.0]], ['2, k, 13', [-0.2725881, -0.5470171, 1.0]], ['2, k, 14', [-0.2093754, -0.9041564, 1.0]], ['2, k, 15', [-0.1942593, -0.9560599, 1.0]], ['2, k, 16', [-0.1285101, -0.4362162, 1.0]], ['2, k, 17', [-0.05343112, -0.5246718, 1.0]], ['2, k, 18', [-0.00990707, -0.9153135, 1.0]], ['2, k, 19', [-0.005851377, -0.9828814, 1.0]], ['2, k, 20', [-0.1881562, -0.01692442, 1.0]], ['2, k, 21', [-0.490093, -0.4881974, 1.0]], ['2, k, 22', [-0.5176746, -0.4656364, 1.0]], ['2, k, 23', [0.154125, -0.3610467, 1.0]], ['2, k, 24', [0.1968431, -0.2999673, 1.0]]]
[['2, k, 0', [-0.2033779, -0.4373708, 1.0]], ['2, k, 1', [-0.1954983, -0.195861, 1.0]], ['2, k, 2', [-0.1855685, 0.04177149, 1.0]], ['2, k, 3', [-0.1841169, 0.1694492, 1.0]], ['2, k, 4', [-0.3584245, -0.0600642, 1.0]], ['2, k, 5', [-0.4662451, -0.2524823, 1.0]], ['2, k, 6', [-0.4987434, -0.3869496, 1.0]], ['2, k, 7', [-0.4914645, -0.4428758, 1.0]], ['2, k, 8', [-0.02320527, -0.08379529, 1.0]], ['2, k, 9', [0.03592461, -0.2796564, 1.0]], ['2, k, 10', [0.1395829, -0.3089796, 1.0]], ['2, k, 11', [0.1483199, -0.318629, 1.0]], ['2, k, 12', [-0.273498, -0.4279716, 1.0]], ['2, k, 13', [-0.2725746, -0.5470546, 1.0]], ['2, k, 14', [-0.2090861, -0.9052777, 1.0]], ['2, k, 15', [-0.1943584, -0.9567159, 1.0]], ['2, k, 16', [-0.1287303, -0.436303, 1.0]], ['2, k, 17', [-0.05339525, -0.5245218, 1.0]], ['2, k, 18', [-0.01008845, -0.9144561, 1.0]], ['2, k, 19', [-0.008095242, -0.9818674, 1.0]], ['2, k, 20', [-0.1883727, -0.01705422, 1.0]], ['2, k, 21', [-0.4878846, -0.4934953, 1.0]], ['2, k, 22', [-0.5243155, -0.4674268, 1.0]], ['2, k, 23', [0.1485626, -0.3589537, 1.0]], ['2, k, 24', [0.2080552, -0.2977865, 1.0]]]
[['2, k, 0', [-0.2035709, -0.4373523, 1.0]], ['2, k, 1', [-0.1955849, -0.1958796, 1.0]], ['2, k, 2', [-0.1856958, 0.0416218, 1.0]], ['2, k, 3', [-0.1840056, 0.1693563, 1.0]], ['2, k, 4', [-0.358402, -0.06012393, 1.0]], ['2, k, 5', [-0.4665376, -0.2525545, 1.0]], ['2, k, 6', [-0.4987786, -0.3870595, 1.0]], ['2, k, 7', [-0.4914345, -0.4414074, 1.0]], ['2, k, 8', [-0.02338878, -0.08363769, 1.0]], ['2, k, 9', [0.02783511, -0.2854566, 1.0]], ['2, k, 10', [0.1203529, -0.3016179, 1.0]], ['2, k, 11', [0.1501331, -0.3153829, 1.0]], ['2, k, 12', [-0.2738337, -0.4279316, 1.0]], ['2, k, 13', [-0.2725652, -0.5472535, 1.0]], ['2, k, 14', [-0.209025, -0.9052989, 1.0]], ['2, k, 15', [-0.1943739, -0.9567503, 1.0]], ['2, k, 16', [-0.1288657, -0.4362797, 1.0]], ['2, k, 17', [-0.05335136, -0.5245441, 1.0]], ['2, k, 18', [-0.01005379, -0.9143347, 1.0]], ['2, k, 19', [-0.009293332, -0.980158, 1.0]], ['2, k, 20', [-0.188475, -0.01716429, 1.0]], ['2, k, 21', [-0.4907414, -0.4921151, 1.0]], ['2, k, 22', [-0.5209232, -0.433553, 1.0]], ['2, k, 23', [0.1562559, -0.3499373, 1.0]], ['2, k, 24', [0.2108694, -0.2933994, 1.0]]]
[['2, k, 0', [-0.2039772, -0.4374823, 1.0]], ['2, k, 1', [-0.1956266, -0.195898, 1.0]], ['2, k, 2', [-0.1856726, 0.04158899, 1.0]], ['2, k, 3', [-0.1840224, 0.1693595, 1.0]], ['2, k, 4', [-0.3582577, -0.06026851, 1.0]], ['2, k, 5', [-0.4664973, -0.252523, 1.0]], ['2, k, 6', [-0.4989327, -0.3872093, 1.0]], ['2, k, 7', [-0.4916641, -0.4422218, 1.0]], ['2, k, 8', [-0.02338898, -0.08374199, 1.0]], ['2, k, 9', [0.03768273, -0.2837107, 1.0]], ['2, k, 10', [0.1411522, -0.3045485, 1.0]], ['2, k, 11', [0.1541865, -0.3073924, 1.0]], ['2, k, 12', [-0.2741649, -0.4280166, 1.0]], ['2, k, 13', [-0.2725542, -0.5472791, 1.0]], ['2, k, 14', [-0.2090084, -0.905111, 1.0]], ['2, k, 15', [-0.1944862, -0.9562907, 1.0]], ['2, k, 16', [-0.1292635, -0.4364328, 1.0]], ['2, k, 17', [-0.05330307, -0.5245468, 1.0]], ['2, k, 18', [-0.00993625, -0.9145345, 1.0]], ['2, k, 19', [-0.00389314, -0.9845518, 1.0]], ['2, k, 20', [-0.188465, -0.0171939, 1.0]], ['2, k, 21', [-0.4909596, -0.4903716, 1.0]], ['2, k, 22', [-0.5175812, -0.4540339, 1.0]], ['2, k, 23', [0.1612816, -0.3419176, 1.0]], ['2, k, 24', [0.2125731, -0.2920553, 1.0]]]
[['2, k, 0', [-0.2042665, -0.4376242, 1.0]], ['2, k, 1', [-0.1956635, -0.1960829, 1.0]], ['2, k, 2', [-0.1855827, 0.04104812, 1.0]], ['2, k, 3', [-0.1839262, 0.1693107, 1.0]], ['2, k, 4', [-0.357866, -0.06022352, 1.0]], ['2, k, 5', [-0.466754, -0.2524534, 1.0]], ['2, k, 6', [-0.4991495, -0.3874038, 1.0]], ['2, k, 7', [-0.4907489, -0.4459093, 1.0]], ['2, k, 8', [-0.02354024, -0.08374301, 1.0]], ['2, k, 9', [0.02806762, -0.2876892, 1.0]], ['2, k, 10', [0.1287623, -0.2870289, 1.0]], ['2, k, 11', [0.1570156, -0.2950802, 1.0]], ['2, k, 12', [-0.2744973, -0.4281027, 1.0]], ['2, k, 13', [-0.2725479, -0.5473986, 1.0]], ['2, k, 14', [-0.2085947, -0.9061229, 1.0]], ['2, k, 15', [-0.1942794, -0.9573481, 1.0]], ['2, k, 16', [-0.1294486, -0.4365868, 1.0]], ['2, k, 17', [-0.05325966, -0.5245632, 1.0]], ['2, k, 18', [-0.009887838, -0.9145809, 1.0]], ['2, k, 19', [-0.003783638, -0.9845071, 1.0]], ['2, k, 20', [-0.1884007, -0.01762796, 1.0]], ['2, k, 21', [-0.4874317, -0.4973841, 1.0]], ['2, k, 22', [-0.5177705, -0.4732926, 1.0]], ['2, k, 23', [0.1579146, -0.3271573, 1.0]], ['2, k, 24', [0.2173823, -0.2869896, 1.0]]]
[['2, k, 0', [-0.2047874, -0.4374902, 1.0]], ['2, k, 1', [-0.1956954, -0.1960562, 1.0]], ['2, k, 2', [-0.1855076, 0.04105388, 1.0]], ['2, k, 3', [-0.1839042, 0.1693318, 1.0]], ['2, k, 4', [-0.3578863, -0.05982232, 1.0]], ['2, k, 5', [-0.4666802, -0.2524585, 1.0]], ['2, k, 6', [-0.4991072, -0.3876077, 1.0]], ['2, k, 7', [-0.4911048, -0.4435948, 1.0]], ['2, k, 8', [-0.02353719, -0.08374864, 1.0]], ['2, k, 9', [0.03771294, -0.3113455, 1.0]], ['2, k, 10', [0.1276767, -0.2893088, 1.0]], ['2, k, 11', [0.1553992, -0.2778499, 1.0]], ['2, k, 12', [-0.2751279, -0.4278779, 1.0]], ['2, k, 13', [-0.2725611, -0.5474591, 1.0]], ['2, k, 14', [-0.208592, -0.9061844, 1.0]], ['2, k, 15', [-0.1941509, -0.9574561, 1.0]], ['2, k, 16', [-0.1298198, -0.4365214, 1.0]], ['2, k, 17', [-0.05330089, -0.5244396, 1.0]], ['2, k, 18', [-0.01009938, -0.9142406, 1.0]], ['2, k, 19', [-0.003908257, -0.9845015, 1.0]], ['2, k, 20', [-0.1883588, -0.01761823, 1.0]], ['2, k, 21', [-0.4836784, -0.4923879, 1.0]], ['2, k, 22', [-0.5216718, -0.4807658, 1.0]], ['2, k, 23', [0.1638496, -0.3077219, 1.0]], ['2, k, 24', [0.2189545, -0.2672307, 1.0]]]
[['2, k, 0', [-0.2053109, -0.4374684, 1.0]], ['2, k, 1', [-0.1959386, -0.1960662, 1.0]], ['2, k, 2', [-0.1856345, 0.04100396, 1.0]], ['2, k, 3', [-0.1838666, 0.1693491, 1.0]], ['2, k, 4', [-0.3578584, -0.05978465, 1.0]], ['2, k, 5', [-0.4668756, -0.2523968, 1.0]], ['2, k, 6', [-0.4990941, -0.3878876, 1.0]], ['2, k, 7', [-0.4924714, -0.4469681, 1.0]], ['2, k, 8', [-0.02367683, -0.08373692, 1.0]], ['2, k, 9', [0.03977498, -0.3031377, 1.0]], ['2, k, 10', [0.1320155, -0.2799657, 1.0]], ['2, k, 11', [0.1543139, -0.2562268, 1.0]], ['2, k, 12', [-0.2757114, -0.4278016, 1.0]], ['2, k, 13', [-0.2725482, -0.5475157, 1.0]], ['2, k, 14', [-0.2085418, -0.906193, 1.0]], ['2, k, 15', [-0.1946125, -0.9597963, 1.0]], ['2, k, 16', [-0.1302116, -0.4365388, 1.0]], ['2, k, 17', [-0.05329565, -0.5251824, 1.0]], ['2, k, 18', [-0.009745526, -0.913882, 1.0]], ['2, k, 19', [-0.00429452, -0.9838297, 1.0]], ['2, k, 20', [-0.1884923, -0.0176596, 1.0]], ['2, k, 21', [-0.4888458, -0.494538, 1.0]], ['2, k, 22', [-0.5221178, -0.4631693, 1.0]], ['2, k, 23', [0.1573002, -0.2800975, 1.0]], ['2, k, 24', [0.2097299, -0.2460263, 1.0]]]
[['2, k, 0', [-0.2057317, -0.4376424, 1.0]], ['2, k, 1', [-0.1962229, -0.1963919, 1.0]], ['2, k, 2', [-0.1858693, 0.04037318, 1.0]], ['2, k, 3', [-0.183966, 0.1693439, 1.0]], ['2, k, 4', [-0.3576916, -0.05972523, 1.0]], ['2, k, 5', [-0.4668468, -0.2523841, 1.0]], ['2, k, 6', [-0.4989653, -0.3879813, 1.0]], ['2, k, 7', [-0.4918935, -0.4444014, 1.0]], ['2, k, 8', [-0.02388158, -0.08395278, 1.0]], ['2, k, 9', [0.04089064, -0.3087065, 1.0]], ['2, k, 10', [0.1268207, -0.2657103, 1.0]], ['2, k, 11', [0.1522835, -0.2271297, 1.0]], ['2, k, 12', [-0.2761018, -0.4278923, 1.0]], ['2, k, 13', [-0.2726814, -0.5468243, 1.0]], ['2, k, 14', [-0.2098747, -0.9033988, 1.0]], ['2, k, 15', [-0.1940182, -0.9576586, 1.0]], ['2, k, 16', [-0.1306166, -0.4367875, 1.0]], ['2, k, 17', [-0.0533131, -0.5251784, 1.0]], ['2, k, 18', [-0.009740767, -0.9138991, 1.0]], ['2, k, 19', [-0.00203765, -0.9851136, 1.0]], ['2, k, 20', [-0.1887203, -0.0181992, 1.0]], ['2, k, 21', [-0.4910139, -0.4929098, 1.0]], ['2, k, 22', [-0.5183797, -0.4359389, 1.0]], ['2, k, 23', [0.1638153, -0.2454649, 1.0]], ['2, k, 24', [0.2094261, -0.2167732, 1.0]]]
