[['2, k, 0', [-0.00541799, -0.352137, 1.0]], ['2, k, 1', [-0.0229171, -0.0297194, 1.0]], ['2, k, 2', [-0.0397999, 0.284303, 1.0]], ['2, k, 3', [-0.0231965, 0.410043, 1.0]], ['2, k, 4', [-0.136245, 0.211936, 1.0]], ['2, k, 5', [-0.0945026, 0.114705, 1.0]], ['2, k, 6', [-0.0401142, 0.0907661, 1.0]], ['2, k, 7', [0.00822978, 0.0766873, 1.0]], ['2, k, 8', [0.0925247, 0.203292, 1.0]], ['2, k, 9', [0.226636, 0.197069, 1.0]], ['2, k, 10', [0.205202, 0.0136829, 1.0]], ['2, k, 11', [0.156724, -0.0335331, 1.0]], ['2, k, 12', [-0.0575497, -0.344915, 1.0]], ['2, k, 13', [-0.111459, -0.576429, 1.0]], ['2, k, 14', [-0.103444, -0.958222, 1.0]], ['2, k, 15', [-0.11771, -1.05928, 1.0]], ['2, k, 16', [0.0468583, -0.348599, 1.0]], ['2, k, 17', [0.115054, -0.652409, 1.0]], ['2, k, 18', [0.129777, -0.994666, 1.0]], ['2, k, 19', [0.14967, -1.05916, 1.0]], ['2, k, 20', [-0.035673, 0.207017, 1.0]], ['2, k, 21', [0.0599666, 0.0464057, 1.0]], ['2, k, 22', [0.0187028, 0.0991112, 1.0]], ['2, k, 23', [0.166088, -0.1054, 1.0]], ['2, k, 24', [0.133981, -0.03407, 1.0]]]
[['2, k, 0', [-0.00948108, -0.352437, 1.0]], ['2, k, 1', [-0.0227457, -0.0304659, 1.0]], ['2, k, 2', [-0.038946, 0.283708, 1.0]], ['2, k, 3', [-0.023184, 0.409918, 1.0]], ['2, k, 4', [-0.136221, 0.211957, 1.0]], ['2, k, 5', [-0.0928269, 0.113358, 1.0]], ['2, k, 6', [-0.000543624, 0.0859096, 1.0]], ['2, k, 7', [0.0207493, 0.0788576, 1.0]], ['2, k, 8', [0.0975753, 0.202986, 1.0]], ['2, k, 9', [0.230462, 0.194757, 1.0]], ['2, k, 10', [0.207905, 0.0131136, 1.0]], ['2, k, 11', [0.155164, -0.0284692, 1.0]], ['2, k, 12', [-0.0618417, -0.345061, 1.0]], ['2, k, 13', [-0.101566, -0.589871, 1.0]], ['2, k, 14', [-0.103361, -0.958676, 1.0]], ['2, k, 15', [-0.1185, -1.05998, 1.0]], ['2, k, 16', [0.0431771, -0.348895, 1.0]], ['2, k, 17', [0.116668, -0.605106, 1.0]], ['2, k, 18', [0.12979, -0.994753, 1.0]], ['2, k, 19', [0.148124, -1.06029, 1.0]], ['2, k, 20', [-0.0351886, 0.20663, 1.0]], ['2, k, 21', [0.0787984, 0.0456526, 1.0]], ['2, k, 22', [0.0387574, 0.0994941, 1.0]], ['2, k, 23', [0.160597, -0.103415, 1.0]], ['2, k, 24', [0.134165, -0.0259531, 1.0]]]
[['2, k, 0', [0.0129394, -0.352362, 1.0]], ['2, k, 1', [-0.0175379, -0.0305151, 1.0]], ['2, k, 2', [-0.0391526, 0.28359, 1.0]], ['2, k, 3', [-0.0232728, 0.410505, 1.0]], ['2, k, 4', [-0.129461, 0.196157, 1.0]], ['2, k, 5', [-0.0864717, 0.101231, 1.0]], ['2, k, 6', [0.0296805, 0.0854949, 1.0]], ['2, k, 7', [0.0711363, 0.071706, 1.0]], ['2, k, 8', [0.109504, 0.206023, 1.0]], ['2, k, 9', [0.3169, 0.183029, 1.0]], ['2, k, 10', [0.48331, 0.172325, 1.0]], ['2, k, 11', [0.560899, 0.172523, 1.0]], ['2, k, 12', [-0.0324365, -0.348795, 1.0]], ['2, k, 13', [-0.102559, -0.616768, 1.0]], ['2, k, 14', [-0.0966831, -0.973607, 1.0]], ['2, k, 15', [-0.119944, -1.0691, 1.0]], ['2, k, 16', [0.0599057, -0.345932, 1.0]], ['2, k, 17', [0.109765, -0.668648, 1.0]], ['2, k, 18', [0.131033, -1.00174, 1.0]], ['2, k, 19', [0.146634, -1.06518, 1.0]], ['2, k, 20', [-0.0348422, 0.206447, 1.0]], ['2, k, 21', [0.130203, 0.0605065, 1.0]], ['2, k, 22', [0.0535567, 0.100117, 1.0]], ['2, k, 23', [0.576609, 0.170906, 1.0]], ['2, k, 24', [0.571683, 0.201873, 1.0]]]
[['2, k, 0', [0.0152418, -0.35122, 1.0]], ['2, k, 1', [-0.0149907, -0.0299961, 1.0]], ['2, k, 2', [-0.0391467, 0.283327, 1.0]], ['2, k, 3', [-0.0237928, 0.411137, 1.0]], ['2, k, 4', [-0.128481, 0.193313, 1.0]], ['2, k, 5', [-0.0834221, 0.0965474, 1.0]], ['2, k, 6', [0.0149145, 0.0946197, 1.0]], ['2, k, 7', [0.0262611, 0.0912913, 1.0]], ['2, k, 8', [0.110278, 0.206687, 1.0]], ['2, k, 9', [0.268148, 0.172458, 1.0]], ['2, k, 10', [0.352063, 0.179425, 1.0]], ['2, k, 11', [0.343608, 0.190707, 1.0]], ['2, k, 12', [-0.0311381, -0.34838, 1.0]], ['2, k, 13', [-0.102625, -0.618481, 1.0]], ['2, k, 14', [-0.0953932, -0.974961, 1.0]], ['2, k, 15', [-0.120281, -1.06792, 1.0]], ['2, k, 16', [0.0626942, -0.343725, 1.0]], ['2, k, 17', [0.111511, -0.675817, 1.0]], ['2, k, 18', [0.1317, -1.0045, 1.0]], ['2, k, 19', [0.145734, -1.06662, 1.0]], ['2, k, 20', [-0.0342381, 0.206212, 1.0]], ['2, k, 21', [0.0845405, 0.0848904, 1.0]], ['2, k, 22', [0.0205564, 0.120363, 1.0]], ['2, k, 23', [0.360337, 0.188996, 1.0]], ['2, k, 24', [0.35674, 0.219838, 1.0]]]
[['2, k, 0', [0.0165546, -0.350891, 1.0]], ['2, k, 1', [-0.0135881, -0.0300637, 1.0]], ['2, k, 2', [-0.0393149, 0.282739, 1.0]], ['2, k, 3', [-0.0240372, 0.411377, 1.0]], ['2, k, 4', [-0.127977, 0.192499, 1.0]], ['2, k, 5', [-0.0823396, 0.0918942, 1.0]], ['2, k, 6', [0.0215123, 0.0954471, 1.0]], ['2, k, 7', [0.0266421, 0.0949459, 1.0]], ['2, k, 8', [0.109913, 0.206584, 1.0]], ['2, k, 9', [0.327395, 0.180662, 1.0]], ['2, k, 10', [0.47326, 0.176519, 1.0]], ['2, k, 11', [0.593026, 0.18974, 1.0]], ['2, k, 12', [-0.0307872, -0.348308, 1.0]], ['2, k, 13', [-0.102892, -0.620579, 1.0]], ['2, k, 14', [-0.0951498, -0.976533, 1.0]], ['2, k, 15', [-0.121567, -1.06816, 1.0]], ['2, k, 16', [0.0648333, -0.342933, 1.0]], ['2, k, 17', [0.112591, -0.680345, 1.0]], ['2, k, 18', [0.132027, -1.00645, 1.0]], ['2, k, 19', [0.144982, -1.06806, 1.0]], ['2, k, 20', [-0.0338378, 0.205694, 1.0]], ['2, k, 21', [0.0856691, 0.090926, 1.0]], ['2, k, 22', [0.0307274, 0.119166, 1.0]], ['2, k, 23', [0.622994, 0.187748, 1.0]], ['2, k, 24', [0.631111, 0.211171, 1.0]]]
[['2, k, 0', [0.0179718, -0.350213, 1.0]], ['2, k, 1', [-0.0123666, -0.0294931, 1.0]], ['2, k, 2', [-0.0393057, 0.282936, 1.0]], ['2, k, 3', [-0.024359, 0.411637, 1.0]], ['2, k, 4', [-0.127534, 0.191507, 1.0]], ['2, k, 5', [-0.0778774, 0.090841, 1.0]], ['2, k, 6', [0.0722383, 0.080282, 1.0]], ['2, k, 7', [0.142718, 0.0692072, 1.0]], ['2, k, 8', [0.109291, 0.206612, 1.0]], ['2, k, 9', [0.32629, 0.184956, 1.0]], ['2, k, 10', [0.476075, 0.179683, 1.0]], ['2, k, 11', [0.595639, 0.196981, 1.0]], ['2, k, 12', [-0.030202, -0.348055, 1.0]], ['2, k, 13', [-0.103612, -0.622975, 1.0]], ['2, k, 14', [-0.0945735, -0.977714, 1.0]], ['2, k, 15', [-0.121619, -1.06849, 1.0]], ['2, k, 16', [0.0667833, -0.341719, 1.0]], ['2, k, 17', [0.113288, -0.683088, 1.0]], ['2, k, 18', [0.132085, -1.00727, 1.0]], ['2, k, 19', [0.144462, -1.06857, 1.0]], ['2, k, 20', [-0.0333676, 0.206008, 1.0]], ['2, k, 21', [0.194613, 0.0581651, 1.0]], ['2, k, 22', [0.123954, 0.0939923, 1.0]], ['2, k, 23', [0.623324, 0.194185, 1.0]], ['2, k, 24', [0.534365, 0.170883, 1.0]]]
[['2, k, 0', [0.0190696, -0.349999, 1.0]], ['2, k, 1', [-0.0113776, -0.0292541, 1.0]], ['2, k, 2', [-0.0393187, 0.283079, 1.0]], ['2, k, 3', [-0.0246914, 0.411933, 1.0]], ['2, k, 4', [-0.126373, 0.18625, 1.0]], ['2, k, 5', [-0.0670169, 0.0838988, 1.0]], ['2, k, 6', [0.0898138, 0.102043, 1.0]], ['2, k, 7', [0.218256, 0.0607807, 1.0]], ['2, k, 8', [0.109074, 0.206577, 1.0]], ['2, k, 9', [0.329519, 0.191205, 1.0]], ['2, k, 10', [0.483687, 0.182044, 1.0]], ['2, k, 11', [0.599506, 0.205558, 1.0]], ['2, k, 12', [-0.0295503, -0.348318, 1.0]], ['2, k, 13', [-0.103371, -0.623623, 1.0]], ['2, k, 14', [-0.0941503, -0.978922, 1.0]], ['2, k, 15', [-0.121637, -1.06888, 1.0]], ['2, k, 16', [0.0681059, -0.340788, 1.0]], ['2, k, 17', [0.113919, -0.686437, 1.0]], ['2, k, 18', [0.13377, -1.03004, 1.0]], ['2, k, 19', [0.140679, -1.0865, 1.0]], ['2, k, 20', [-0.0329615, 0.206192, 1.0]], ['2, k, 21', [0.263415, 0.0654756, 1.0]], ['2, k, 22', [0.249739, 0.062135, 1.0]], ['2, k, 23', [0.621883, 0.198167, 1.0]], ['2, k, 24', [0.553492, 0.181727, 1.0]]]
[['2, k, 0', [0.0206846, -0.349514, 1.0]], ['2, k, 1', [-0.00990139, -0.0287867, 1.0]], ['2, k, 2', [-0.0386053, 0.283416, 1.0]], ['2, k, 3', [-0.0251713, 0.411954, 1.0]], ['2, k, 4', [-0.125272, 0.185285, 1.0]], ['2, k, 5', [-0.0224514, 0.112501, 1.0]], ['2, k, 6', [0.0978471, 0.106689, 1.0]], ['2, k, 7', [0.173171, 0.0718732, 1.0]], ['2, k, 8', [0.107099, 0.208298, 1.0]], ['2, k, 9', [0.301397, 0.16379, 1.0]], ['2, k, 10', [0.497812, 0.18579, 1.0]], ['2, k, 11', [0.581592, 0.208078, 1.0]], ['2, k, 12', [-0.0267399, -0.348458, 1.0]], ['2, k, 13', [-0.103061, -0.623919, 1.0]], ['2, k, 14', [-0.0939988, -0.979418, 1.0]], ['2, k, 15', [-0.121583, -1.06895, 1.0]], ['2, k, 16', [0.0690847, -0.339965, 1.0]], ['2, k, 17', [0.115363, -0.688462, 1.0]], ['2, k, 18', [0.133257, -1.02446, 1.0]], ['2, k, 19', [0.141383, -1.08228, 1.0]], ['2, k, 20', [-0.0319162, 0.20658, 1.0]], ['2, k, 21', [0.231898, 0.0582666, 1.0]], ['2, k, 22', [0.137837, 0.0571342, 1.0]], ['2, k, 23', [0.61607, 0.211003, 1.0]], ['2, k, 24', [0.589607, 0.195095, 1.0]]]
[['2, k, 0', [0.0215423, -0.349996, 1.0]], ['2, k, 1', [-0.00935111, -0.0284956, 1.0]], ['2, k, 2', [-0.0392142, 0.285469, 1.0]], ['2, k, 3', [-0.0255968, 0.411943, 1.0]], ['2, k, 4', [-0.123955, 0.184177, 1.0]], ['2, k, 5', [-0.0227682, 0.11238, 1.0]], ['2, k, 6', [0.10612, 0.110119, 1.0]], ['2, k, 7', [0.178706, 0.0767175, 1.0]], ['2, k, 8', [0.106061, 0.209248, 1.0]], ['2, k, 9', [0.329166, 0.200482, 1.0]], ['2, k, 10', [0.48972, 0.191936, 1.0]], ['2, k, 11', [0.537571, 0.202956, 1.0]], ['2, k, 12', [-0.0255364, -0.349646, 1.0]], ['2, k, 13', [-0.103197, -0.62409, 1.0]], ['2, k, 14', [-0.093799, -0.979716, 1.0]], ['2, k, 15', [-0.121358, -1.06888, 1.0]], ['2, k, 16', [0.0695249, -0.340028, 1.0]], ['2, k, 17', [0.115936, -0.69016, 1.0]], ['2, k, 18', [0.132831, -1.02336, 1.0]], ['2, k, 19', [0.141903, -1.08126, 1.0]], ['2, k, 20', [-0.03202, 0.208086, 1.0]], ['2, k, 21', [0.238583, 0.0609123, 1.0]], ['2, k, 22', [0.158348, 0.0580296, 1.0]], ['2, k, 23', [0.591914, 0.217352, 1.0]], ['2, k, 24', [0.589629, 0.190921, 1.0]]]
[['2, k, 0', [0.0222754, -0.348899, 1.0]], ['2, k, 1', [-0.00870064, -0.0280202, 1.0]], ['2, k, 2', [-0.0387713, 0.284946, 1.0]], ['2, k, 3', [-0.0267201, 0.412008, 1.0]], ['2, k, 4', [-0.122812, 0.183038, 1.0]], ['2, k, 5', [-0.0233812, 0.112281, 1.0]], ['2, k, 6', [0.122759, 0.09601, 1.0]], ['2, k, 7', [0.188123, 0.0822629, 1.0]], ['2, k, 8', [0.105145, 0.209777, 1.0]], ['2, k, 9', [0.280839, 0.189322, 1.0]], ['2, k, 10', [0.480233, 0.193971, 1.0]], ['2, k, 11', [0.537118, 0.210986, 1.0]], ['2, k, 12', [-0.0244313, -0.347412, 1.0]], ['2, k, 13', [-0.102659, -0.624202, 1.0]], ['2, k, 14', [-0.0937129, -0.979796, 1.0]], ['2, k, 15', [-0.121227, -1.0687, 1.0]], ['2, k, 16', [0.0697621, -0.339568, 1.0]], ['2, k, 17', [0.115937, -0.689989, 1.0]], ['2, k, 18', [0.132195, -1.02261, 1.0]], ['2, k, 19', [0.141927, -1.08044, 1.0]], ['2, k, 20', [-0.0314897, 0.207839, 1.0]], ['2, k, 21', [0.247413, 0.0651195, 1.0]], ['2, k, 22', [0.202034, 0.058038, 1.0]], ['2, k, 23', [0.591948, 0.229189, 1.0]], ['2, k, 24', [0.588096, 0.2191, 1.0]]]
[['2, k, 0', [0.0240312, -0.347533, 1.0]], ['2, k, 1', [-0.00777879, -0.026856, 1.0]], ['2, k, 2', [-0.0390264, 0.285573, 1.0]], ['2, k, 3', [-0.0273304, 0.411872, 1.0]], ['2, k, 4', [-0.120645, 0.181484, 1.0]], ['2, k, 5', [0.0407558, 0.110564, 1.0]], ['2, k, 6', [0.17889, 0.103724, 1.0]], ['2, k, 7', [0.183443, 0.108144, 1.0]], ['2, k, 8', [0.10391, 0.210517, 1.0]], ['2, k, 9', [0.332198, 0.199135, 1.0]], ['2, k, 10', [0.498856, 0.201435, 1.0]], ['2, k, 11', [0.542894, 0.218633, 1.0]], ['2, k, 12', [-0.0215729, -0.34576, 1.0]], ['2, k, 13', [-0.100328, -0.641355, 1.0]], ['2, k, 14', [-0.0936505, -0.979895, 1.0]], ['2, k, 15', [-0.122016, -1.06871, 1.0]], ['2, k, 16', [0.0706831, -0.33834, 1.0]], ['2, k, 17', [0.116181, -0.694329, 1.0]], ['2, k, 18', [0.133543, -1.02753, 1.0]], ['2, k, 19', [0.141344, -1.0833, 1.0]], ['2, k, 20', [-0.0313846, 0.208653, 1.0]], ['2, k, 21', [0.250639, 0.098452, 1.0]], ['2, k, 22', [0.172106, 0.0953062, 1.0]], ['2, k, 23', [0.590168, 0.233009, 1.0]], ['2, k, 24', [0.580912, 0.244852, 1.0]]]
[['2, k, 0', [0.0246182, -0.346806, 1.0]], ['2, k, 1', [-0.0068872, -0.025776, 1.0]], ['2, k, 2', [-0.0378431, 0.286794, 1.0]], ['2, k, 3', [-0.028044, 0.412356, 1.0]], ['2, k, 4', [-0.118267, 0.180753, 1.0]], ['2, k, 5', [0.0469078, 0.108156, 1.0]], ['2, k, 6', [0.195022, 0.118571, 1.0]], ['2, k, 7', [0.188073, 0.110881, 1.0]], ['2, k, 8', [0.102126, 0.211844, 1.0]], ['2, k, 9', [0.328161, 0.20498, 1.0]], ['2, k, 10', [0.494206, 0.201338, 1.0]], ['2, k, 11', [0.561856, 0.225907, 1.0]], ['2, k, 12', [-0.0203707, -0.344809, 1.0]], ['2, k, 13', [-0.100855, -0.64356, 1.0]], ['2, k, 14', [-0.0935196, -0.97981, 1.0]], ['2, k, 15', [-0.122111, -1.06851, 1.0]], ['2, k, 16', [0.070769, -0.337639, 1.0]], ['2, k, 17', [0.11637, -0.695746, 1.0]], ['2, k, 18', [0.133916, -1.02502, 1.0]], ['2, k, 19', [0.141721, -1.08199, 1.0]], ['2, k, 20', [-0.0302548, 0.209867, 1.0]], ['2, k, 21', [0.252427, 0.0991531, 1.0]], ['2, k, 22', [0.179329, 0.0971351, 1.0]], ['2, k, 23', [0.605963, 0.234845, 1.0]], ['2, k, 24', [0.589957, 0.231251, 1.0]]]
[['2, k, 0', [0.0253721, -0.346326, 1.0]], ['2, k, 1', [-0.00601921, -0.0253644, 1.0]], ['2, k, 2', [-0.036829, 0.287054, 1.0]], ['2, k, 3', [-0.0286623, 0.412438, 1.0]], ['2, k, 4', [-0.101354, 0.173636, 1.0]], ['2, k, 5', [0.0565345, 0.103752, 1.0]], ['2, k, 6', [0.209749, 0.1222, 1.0]], ['2, k, 7', [0.19456, 0.113763, 1.0]], ['2, k, 8', [0.0924276, 0.217311, 1.0]], ['2, k, 9', [0.324601, 0.20398, 1.0]], ['2, k, 10', [0.496489, 0.20493, 1.0]], ['2, k, 11', [0.556252, 0.227714, 1.0]], ['2, k, 12', [-0.016389, -0.344226, 1.0]], ['2, k, 13', [-0.100617, -0.643995, 1.0]], ['2, k, 14', [-0.09329, -0.980276, 1.0]], ['2, k, 15', [-0.122019, -1.06904, 1.0]], ['2, k, 16', [0.0699433, -0.336747, 1.0]], ['2, k, 17', [0.110431, -0.650954, 1.0]], ['2, k, 18', [0.133801, -1.02407, 1.0]], ['2, k, 19', [0.142154, -1.0815, 1.0]], ['2, k, 20', [-0.0292674, 0.210176, 1.0]], ['2, k, 21', [0.25588, 0.102714, 1.0]], ['2, k, 22', [0.192855, 0.0973678, 1.0]], ['2, k, 23', [0.604952, 0.237846, 1.0]], ['2, k, 24', [0.592167, 0.220433, 1.0]]]
[['2, k, 0', [0.0255351, -0.346091, 1.0]], ['2, k, 1', [-0.00595031, -0.0250067, 1.0]], ['2, k, 2', [-0.0369564, 0.287446, 1.0]], ['2, k, 3', [-0.0294916, 0.412469, 1.0]], ['2, k, 4', [-0.0983041, 0.172764, 1.0]], ['2, k, 5', [0.0930363, 0.118394, 1.0]], ['2, k, 6', [0.24128, 0.122016, 1.0]], ['2, k, 7', [0.209636, 0.103607, 1.0]], ['2, k, 8', [0.0897558, 0.2203, 1.0]], ['2, k, 9', [0.327256, 0.205227, 1.0]], ['2, k, 10', [0.503845, 0.209574, 1.0]], ['2, k, 11', [0.571087, 0.234085, 1.0]], ['2, k, 12', [-0.0149729, -0.343962, 1.0]], ['2, k, 13', [-0.100624, -0.646308, 1.0]], ['2, k, 14', [-0.0931737, -0.98062, 1.0]], ['2, k, 15', [-0.122016, -1.06934, 1.0]], ['2, k, 16', [0.0685783, -0.336278, 1.0]], ['2, k, 17', [0.110449, -0.650958, 1.0]], ['2, k, 18', [0.133831, -1.02573, 1.0]], ['2, k, 19', [0.142327, -1.0812, 1.0]], ['2, k, 20', [-0.0293349, 0.210567, 1.0]], ['2, k, 21', [0.276086, 0.0667038, 1.0]], ['2, k, 22', [0.169907, 0.0691956, 1.0]], ['2, k, 23', [0.614854, 0.236181, 1.0]], ['2, k, 24', [0.602239, 0.216014, 1.0]]]
[['2, k, 0', [0.0258756, -0.346073, 1.0]], ['2, k, 1', [-0.0052441, -0.0249792, 1.0]], ['2, k, 2', [-0.0358115, 0.287493, 1.0]], ['2, k, 3', [-0.0301261, 0.41207, 1.0]], ['2, k, 4', [-0.0950555, 0.173173, 1.0]], ['2, k, 5', [0.0981585, 0.117107, 1.0]], ['2, k, 6', [0.251008, 0.124153, 1.0]], ['2, k, 7', [0.213496, 0.107871, 1.0]], ['2, k, 8', [0.0891341, 0.220452, 1.0]], ['2, k, 9', [0.296559, 0.1956, 1.0]], ['2, k, 10', [0.485423, 0.211407, 1.0]], ['2, k, 11', [0.557133, 0.233127, 1.0]], ['2, k, 12', [-0.0135362, -0.34396, 1.0]], ['2, k, 13', [-0.100546, -0.64809, 1.0]], ['2, k, 14', [-0.0928389, -0.981986, 1.0]], ['2, k, 15', [-0.121925, -1.06755, 1.0]], ['2, k, 16', [0.0680509, -0.336368, 1.0]], ['2, k, 17', [0.110703, -0.6517, 1.0]], ['2, k, 18', [0.134105, -1.02715, 1.0]], ['2, k, 19', [0.141746, -1.08165, 1.0]], ['2, k, 20', [-0.0283017, 0.21061, 1.0]], ['2, k, 21', [0.277861, 0.0725914, 1.0]], ['2, k, 22', [0.183392, 0.0693625, 1.0]], ['2, k, 23', [0.609603, 0.235016, 1.0]], ['2, k, 24', [0.578081, 0.213801, 1.0]]]
